Condition,Sample,original_index,unique_index
surgical infection prevention,3 patients,901,114
children s asthma care,4 patients,902,523
children s asthma care,4 patients,903,523
children s asthma care,4 patients,904,523
heart attack,126 patxents,905,524
heart attack,145 patients,906,525
heart attack,25 patients,907,491
heart attack,68 patients,908,526
heart attack,125 patients,909,527
heart attack,8 patients,910,120
heart attack,16 patients,911,264
heart failure,268 patients,912,528
heart failure,350 patients,913,529
heart failure,90 patients,914,530
heart failure,85 patients,915,518
pneumonia,239 patients,916,200
pneumonia,196 patients,917,23
pneumonia,109 patients,918,521
pneumonia,261 patients,919,531
pneumonia,212 patients,920,532
pneumonia,178 patients,921,533
surgical infection prevention,107 patients,922,69
surgical infection prevention,402 patients,923,534
surgical infection prevention,404 patients,924,535
surgical infection prevention,352 patients,925,536
surgical infection prevention,114 patients,926,537
surgical infection prevention,607 patients,927,538
surgical infection prevention,280 patients,928,539
surgical infection prevention,280 patients,929,539
heart attack,19 patients,930,540
heart attack,16 patients,931,264
heart attack,1 patients,932,91
heart attack,6 patients,933,103
heart attack,15 patients,934,219
heart attack,0 patients,935,5
heart attack,0 patients,936,5
heart failure,51 patients,937,475
heart failure,59 patients,938,76
heart failure,6 patients,939,541
heart failure,8 patients,940,79
pneumonia,39 patients,941,287
pneumonia,2 patients,942,542
pneumonia,5 patients,943,543
pneumonia,36 patients,944,508
pneumonia,30 patients,945,110
pneumonia,31 patients,946,327
surgical infection prevention,empty,947,0
surgical infection prevention,empty,948,0
surgical infection prevention,empty,949,0
surgical infection prevention,empty,950,0
surgical infection prevention,empty,951,0
surgical infection prevention,empty,952,0
surgical infection prevention,empty,953,0
surgical infection prevention,empty,954,0
hexrt attxck,4 patients,955,544
heart attack,1 patients,956,91
heart attack,0 patients,957,5
heart attack,0 patients,958,5
heart attack,2 patients,959,36
heart attack,0 patients,960,5
heart attack,0 patients,961,5
heart failure,70 patients,962,494
heart failure,82 patients,963,545
heart failure,34 patients,964,39
heart failure,15 patients,965,322
pneumonia,72 patients,966,546
pneumonia,49 patients,967,547
pneumonia,24 patients,968,184
pneumonia,85 patients,969,68
pneumonia,67 patients,970,273
pneumonia,37 patients,971,168
surgical infection prevention,27 paxienxs,972,548
surgical infection prevention,397 patients,973,549
surgical xnfection prevention,399 patients,974,550
surgical infection prevention,391 patients,975,551
surgical infection prevention,0 patients,976,50
surgical infection prevention,485 patients,977,552
surgical infection prevention,196 patients,978,553
surgical infection prevention,196 patients,979,553
heart attack,7 patients,980,246
heart attack,2 patients,981,36
heart attack,2 patients,982,36
heart attack,0 patients,983,5
heart attack,3 patients,984,104
heart attack,0 patients,985,5
heart attack,0 patients,986,5
heart failure,24 patients,987,554
heart failure,34 patients,988,39
heart failure,7 patients,989,555
heart failure,7 patients,990,555
pneumonia,92 patients,991,556
pneumonia,103 patients,992,338
pneumonia,29 patients,993,289
pneumonia,105 patients,994,557
pneumonia,74 patients,995,313
pneumonia,55 patients,996,372
surgical infection prevention,8 patients,997,558
surgical infection prevention,28 patients,998,559
surgical infection prevention,25 patients,999,560
