PhoneNumber,HospitalOwner,original_index,unique_index,count
3342836541,voluntary non-profit - private,698,72,23
334x836541,voluntary non-profit - private,699,73,1
3342836541,voluntary non-profit - private,700,72,23
3342836541,voluntary non-profit - private,701,72,23
3342836541,voluntary non-profit - private,702,72,23
3342836541,voluntary non-profit - private,703,72,23
3342836541,voluntary non-profit - private,704,72,23
3342836541,voluntary non-profit - private,705,72,23
3342836541,voluntary non-profit - private,706,72,23
3342836541,voluntary non-profit - private,707,72,23
3342836541,voluntary non-profit - private,708,72,23
3342836541,voluntary non-profit - private,709,72,23
3342836541,voluntary non-profit - private,710,72,23
3342836541,voluntary non-profit - private,711,72,23
3342836541,voluntary non-profit - private,712,72,23
33x28365x1,voluntary non-profit - private,713,74,1
3342836541,voluntary non-profit - private,714,72,23
3342836541,voluntary non-profit - private,715,72,23
2567372000,government - hospital district or authority,716,75,25
2567372000,government - hospital district or authority,717,75,25
2567372000,government - hospital district or authority,718,75,25
2567372000,government - hospital district or authority,719,75,25
2567372000,government - hospital district or authority,720,75,25
2567372000,government - hospital district or authority,721,75,25
2567372000,government - hospital district or authority,722,75,25
2567372000,government - hospital district or authority,723,75,25
2567372000,government - hospital district or authority,724,75,25
2567372000,government - hospital district or authority,725,75,25
2567372000,government - hospital district or authority,726,75,25
2567372000,government - hospital district or authority,727,75,25
2567372000,government - hospital district or authority,728,75,25
2567372000,government - hospital district or authority,729,75,25
2567372000,government - hospital district or authority,730,75,25
2567372000,government - hospital district or authority,731,75,25
2567372000,government - hospital district or authority,732,75,25
2567372000,government - hospital district or authority,733,75,25
2567372000,government - hospital district or authority,734,75,25
2567372000,government - hospital district or authority,735,75,25
2567372000,government - hospital district or authority,736,75,25
2567372000,government - hospital district or authority,737,75,25
2567372000,government - hospital district or authority,738,75,25
2567372000,government - hospital district or authority,739,75,25
2567372000,government - hospital district or authority,740,75,25
3342228466,proprietary,741,76,22
3342228466,proprietary,742,76,22
3342228466,proprietary,743,76,22
3342228466,prxprietary,744,77,1
3342228466,proprietary,745,76,22
3342228466,proprietary,746,76,22
3342228466,proprietary,747,76,22
3342228466,proprietary,748,76,22
3342228466,proprietary,749,76,22
3342228466,proprietary,750,76,22
334xxx8466,proprietary,751,78,1
3342228466,proprietary,752,76,22
3342228466,proprietary,753,76,22
3342228466,proprietary,754,76,22
3342228466,proprietary,755,76,22
3342228466,proprietary,756,76,22
3342228466,proprietary,757,76,22
3342228466,proprietary,758,76,22
3342228466,proprietary,759,76,22
3342228466,proprietary,760,76,22
3342228466,proprietary,761,76,22
3342228466,proprietary,762,76,22
33422284xx,proprietary,763,79,1
3342228466,proprietary,764,76,22
3342228466,proprietary,765,76,22
2562358900,proprietary,766,34,26
2562358900,proprietary,767,34,26
2562358900,proprietary,768,34,26
2562358900,proprietary,769,34,26
2562358900,proprietary,770,34,26
2562358900,proprietary,771,34,26
2562358900,proprietary,772,34,26
2562358900,proprietary,773,34,26
2562651000,government - hospital district or authority,774,80,27
2562651000,government - hospital district or authority,775,80,27
2562651000,government - hospital district or authority,776,80,27
2562651000,government - hospital district or authority,777,80,27
2562651000,government - hospital district or authority,778,80,27
2562651000,government - hospital district or authority,779,80,27
2562651000,government - hospital district or authority,780,80,27
2562651000,government - hospital district or authority,781,80,27
2562651000,government - hospital district or authority,782,80,27
2562651000,government - hospital district or authority,783,80,27
2562651000,goverxmext - hospital district or authority,784,81,1
2562651000,government - hospital district or authority,785,80,27
2562651000,government - hospital district or authority,786,80,27
2562651000,government - hospital district or authority,787,80,27
2562651000,government - hospital district or authority,788,80,27
2562651000,government - hospital district or authority,789,80,27
2562651000,government - hospital district or authority,790,80,27
2562651000,government - hospital district or authority,791,80,27
2562651000,government - hospital district or authority,792,80,27
2562651000,government - hospital district or authority,793,80,27
2562651000,government - hospital district or authority,794,80,27
2562651000,government - hospital district or authority,795,80,27
2562651000,government - hospital district or authority,796,80,27
2562651000,government - hospital district or authority,797,80,27
2562651000,government - hospital district or authority,798,80,27
2562651000,government - hospital district or authority,799,80,27
2562651000,government - hospital district or authority,800,80,27
2562651000,government - hospital district or authority,801,80,27
2564944000,proprietary,802,82,24
2564944000,proprietary,803,82,24
2564944000,proprietary,804,82,24
2564944000,proprietary,805,82,24
2564944000,proprietary,806,82,24
2564944000,proprietary,807,82,24
2564944000,proprietary,808,82,24
2564944000,proprietary,809,82,24
2564944000,proprietary,810,82,24
2564944000,proprietary,811,82,24
2564944000,proprietary,812,82,24
2564944000,proprietary,813,82,24
2564944000,proprietary,814,82,24
2564944000,proprietary,815,82,24
2564944000,proprietary,816,82,24
2564944000,proprietary,817,82,24
2564944000,proprietary,818,82,24
2564944000,proprietary,819,82,24
2564944000,proprietary,820,82,24
2564944000,proprietary,821,82,24
2564944000,proprietary,822,82,24
2564944000,proprietary,823,82,24
2564944xxx,proprietary,824,83,1
2564944000,proprietary,825,82,24
2564944000,proprietary,826,82,24
2057552500,voluntary non-profit - private,827,84,24
2057552500,voluntary non-profit - private,828,84,24
2057552500,voluntary non-profit - private,829,84,24
2057552500,voluntary non-profit - private,830,84,24
2057552500,voluntary non-profit - private,831,84,24
2057552500,voluntary non-profit - private,832,84,24
2057552500,voluntary non-profit - private,833,84,24
2057552500,voluntary non-profit - private,834,84,24
2057552500,voluntary non-profit - private,835,84,24
2057552500,voluntary non-profit - private,836,84,24
2057552500,voluntary non-profit - private,837,84,24
2057552500,voluntary non-profit - private,838,84,24
2057552500,voluntary non-profit - private,839,84,24
2057552500,voluntary non-profit - private,840,84,24
2057552500,voluntary non-profit - private,841,84,24
2057552500,voluntary non-profit - private,842,84,24
2057552500,voluntary non-profit - private,843,84,24
2057552500,voluntary non-profit - private,844,84,24
2057552500,voluntary non-profit - private,845,84,24
2057552500,voluntaxy non-pxofit - pxivate,846,85,1
2057552500,voluntary non-profit - private,847,84,24
2057552500,voluntary non-profit - private,848,84,24
2057552500,voluntary non-profit - private,849,84,24
2057552500,voluntary non-profit - private,850,84,24
2057552500,voluntary non-profit - private,851,84,24
2059216200,voluntary non-profit - private,852,86,21
2059216200,voluntary non-profit - private,853,86,21
2059216200,voluntary non-profit - private,854,86,21
x059x16x00,voluntary non-profit - private,855,87,1
2059216200,voluntary non-profit - private,856,86,21
2059216200,voluntary non-profit - private,857,86,21
2059216200,voluntary non-profit - private,858,86,21
2059216200,voluntary non-profit - private,859,86,21
2059216200,voluntary non-profit - private,860,86,21
2059216200,voluntary non-profit - private,861,86,21
2059216200,voluntary non-profit - private,862,86,21
2059216200,voluntary non-profit - private,863,86,21
2059216200,voluntary non-profit - private,864,86,21
20x9216200,voluntary non-profit - private,865,88,1
2059216200,voluntary non-profit - private,866,86,21
2059216200,voluntary non-profit - private,867,86,21
2059216200,voluxtary xox-profit - private,868,89,1
2059216200,voluntary non-profit - private,869,86,21
2059216200,voluntary non-profit - private,870,86,21
2059216200,voluntary non-profit - private,871,86,21
2059216200,voluntaxy non-pxofit - pxivate,872,90,1
2059216200,voluntary non-profit - private,873,86,21
2059216200,voluntary non-profit - private,874,86,21
2059216200,voluntary non-profit - private,875,86,21
2059216200,voluntary non-profit - private,876,86,21
2059325966,voluntary non-profit - other,877,91,23
2059325966,voluntary non-profit - other,878,91,23
2059325966,voluntary non-profit - other,879,91,23
2059325966,voluntary non-profit - other,880,91,23
x0593x5966,voluntary non-profit - other,881,92,2
2059325966,voluntary non-profit - other,882,91,23
x0593x5966,voluntary non-profit - other,883,92,2
2059325966,voluntary non-profit - other,884,91,23
2059325966,voluntary non-profit - other,885,91,23
2059325966,voluntary non-profit - other,886,91,23
2059325966,voluntary non-profit - other,887,91,23
2059325966,voluntary non-profit - other,888,91,23
2059325966,voluntary non-profit - other,889,91,23
2059325966,voluntary non-profit - other,890,91,23
2059325966,voluntary non-profit - other,891,91,23
2059325966,voluntary non-profit - other,892,91,23
2059325966,voluntary non-profit - other,893,91,23
2059325966,voluntary non-profit - other,894,91,23
2059325966,voluntary non-profit - other,895,91,23
2059325966,voluntary non-profit - other,896,91,23
2059325966,voluntary non-profit - other,897,91,23
2059325966,voluntary non-profit - other,898,91,23
2059325966,voluntary non-profit - other,899,91,23
2059325966,voluntary non-profit - other,900,91,23
2059325966,voluntary non-profit - other,901,91,23
2565435200,proprietary,902,93,27
2565435200,proprietary,903,93,27
2565435200,proprietary,904,93,27
2565435200,proprietary,905,93,27
2565435200,proprietary,906,93,27
2565435200,proprietary,907,93,27
2565435200,proprietary,908,93,27
2565435200,proprietary,909,93,27
2565435200,proprietary,910,93,27
2565435200,proprietary,911,93,27
2565435200,proprietary,912,93,27
2565435200,proprietary,913,93,27
2565435200,proprietary,914,93,27
2565435200,proprietary,915,93,27
x565435x00,proprietary,916,94,1
2565435200,proprietary,917,93,27
2565435200,proprietary,918,93,27
2565435200,proprietary,919,93,27
2565435200,proprietary,920,93,27
2565435200,proprietary,921,93,27
2565435200,proprietary,922,93,27
2565435200,proprietary,923,93,27
2565435200,proprietary,924,93,27
2565435200,proprietary,925,93,27
2565435200,proprietary,926,93,27
2565435200,proprietary,927,93,27
2565435200,proprietary,928,93,27
2565435200,proprietary,929,93,27
3343762205,voluntary non-profit - private,930,95,25
3343762205,voluntary non-profit - private,931,95,25
3343762205,voluntary non-profit - private,932,95,25
3343762205,voluntary non-profit - private,933,95,25
3343762205,voluntary non-profit - private,934,95,25
3343762205,voluntary non-profit - private,935,95,25
3343762205,voluntary non-profit - private,936,95,25
3343762205,voluntary non-profit - private,937,95,25
3343762205,voluntary non-profit - private,938,95,25
3343762205,voluntary non-profit - private,939,95,25
3343762205,voluntary non-profit - private,940,95,25
3343762205,voluntary non-profit - private,941,95,25
3343762205,voluntary non-profit - private,942,95,25
3343762205,voluntary non-profit - private,943,95,25
3343762205,voluntary non-profit - private,944,95,25
3343762205,voluntary non-profit - private,945,95,25
3343762205,voluntary non-profit - private,946,95,25
3343762205,voluntary non-profit - private,947,95,25
3343762205,voluntary non-profit - private,948,95,25
3343762205,voluntary non-profit - private,949,95,25
3343762205,voluntary non-profit - private,950,95,25
3343762205,voluntary non-profit - private,951,95,25
3343762205,voluntary non-profit - private,952,95,25
3343762205,voluntary non-profit - private,953,95,25
3343762205,voluntary non-profit - private,954,95,25
3343470584,proprietary,955,96,25
3343470584,proprietary,956,96,25
3343470584,proprietary,957,96,25
3343470584,proprietary,958,96,25
3343470584,proprietary,959,96,25
3343470584,proprietary,960,96,25
3343470584,proprietary,961,96,25
3343470584,proprietary,962,96,25
3343470584,proprietary,963,96,25
3343470584,proprietary,964,96,25
3343470584,proprietary,965,96,25
3343470584,proprietary,966,96,25
3343470584,proprietary,967,96,25
3343470584,proprietary,968,96,25
3343470584,proprietary,969,96,25
3343470584,proprietary,970,96,25
3343470584,proprietary,971,96,25
3343470584,proprietary,972,96,25
3343470584,proprietary,973,96,25
3343470584,proprietary,974,96,25
3343470584,proprietary,975,96,25
3343470584,proprietary,976,96,25
3343470584,proprietary,977,96,25
3343470584,proprietary,978,96,25
3343470584,proprietary,979,96,25
2052743000,voluntary non-profit - private,980,97,20
2052743000,voluntary non-profit - private,981,97,20
2052743000,voluntary non-profit - private,982,97,20
2052743000,voluntary non-profit - private,983,97,20
2052743000,voluntary non-profit - private,984,97,20
2052743000,voluntary non-profit - private,985,97,20
2052743000,voluntary non-profit - private,986,97,20
2052743000,voluntary non-profit - private,987,97,20
2052743000,voluntary non-profit - private,988,97,20
2052743000,voluntary non-profit - private,989,97,20
2052743000,voluntary non-profit - private,990,97,20
2052743000,voluntary non-profit - private,991,97,20
2052743000,voluntary non-profit - private,992,97,20
2052743000,voluntary non-profit - private,993,97,20
2052743000,voluntary non-profit - private,994,97,20
2052743000,voluntary non-profit - private,995,97,20
2052743000,voluntary non-profit - private,996,97,20
2052743000,voluntary non-profit - private,997,97,20
2052743000,voluntary non-profit - private,998,97,20
2052743000,voluntary non-profit - private,999,97,20
