HospitalType,MeasureCode,original_index,unique_index
acute care hospitals,scip-inf-6,771,5
acute care hospitals,scip-vte-1,772,6
acute care hospitals,scip-vte-2,773,7
acute care hospitals,xax-1,774,69
acute care hospitals,cac-2,775,40
acute care hospitals,cac-3,776,41
acute care hospitals,ami-1,777,8
acute care hospitals,ami-2,778,9
acutexcarexhospitals,ami-3,779,70
acute care hospitals,ami-4,780,11
acute care hospitals,ami-5,781,12
acute care hospitaxs,ami-7a,782,71
acute care hospitals,ami-8a,783,14
acute care hospitals,hf-1,784,15
acute care hospitals,hf-2,785,19
acute care hospitals,hf-3,786,17
acute care hospitals,hf-4,787,18
acute care hospitals,pn-x,788,72
acute care hospitals,pn-3b,789,21
acute care hospitals,pn-4,790,22
acute care hospitals,pn-5c,791,23
acute care hospitals,pn-6,792,24
acute care hospitals,pn-7,793,25
acute care hospitals,scip-card-2,794,0
acute care hospitals,scip-inf-1,795,1
acute care hospitals,scip-inf-2,796,2
acute care hospitals,scip-inf-3,797,3
acute care hospitals,scip-inf-4,798,4
acute care hospitals,scip-inf-6,799,5
acute care hospitals,scip-vte-1,800,6
acute care hospitals,scip-vte-2,801,7
acute care hospitals,ami-1,802,8
acute care hospitals,ami-2,803,9
acute care hospitals,ami-3,804,10
acute care hospitals,ami-4,805,11
acute care hospitals,ami-5,806,12
acute care hospitals,ami-7a,807,13
acute care hospitals,ami-8a,808,14
acute care hospitals,hf-1,809,15
acute care hospitals,hf-2,810,19
acute care hospitals,hf-3,811,17
acute care hospitals,hf-4,812,18
acute care hospitals,pn-2,813,20
axute care hospitals,pn-3b,814,73
acute care hospitals,pn-4,815,22
acute care hospitals,pn-5c,816,23
acute care hospitals,pn-6,817,24
acute care hospitals,pn-7,818,25
acute care hospitals,scip-card-2,819,0
acute care hospitals,scip-inf-1,820,1
acute care hospitals,scip-inf-2,821,2
acute care hospitals,scip-inf-3,822,3
acute care hospitals,scip-inf-4,823,4
acute care hospitals,scip-inf-6,824,5
acute care hospitals,scip-vte-1,825,6
acute care hospitals,scip-vte-2,826,7
acute care hospitals,ami-1,827,8
acute care hospitals,ami-2,828,9
acute care hospitals,ami-3,829,10
acute care hospitals,ami-4,830,11
acute care hospitals,ami-5,831,12
acute care hospitals,ami-7a,832,13
acute care hospitals,ami-8a,833,14
acute care hospitals,hf-1,834,15
acute care hospitals,hf-2,835,19
acute care hospitals,hf-3,836,17
acute care hospitals,hf-4,837,18
acute care hospitals,pn-2,838,20
acute care hospitals,pn-3b,839,21
acute care hospitals,pn-4,840,22
acute care hospitals,pn-5c,841,23
acute care hospitals,pnx6,842,74
acute care hospitals,pn-7,843,25
acute care hospitals,scip-card-2,844,0
acute care hospitals,scip-inf-1,845,1
acute care hospitals,scip-inf-2,846,2
acute care hospitals,scip-inf-3,847,3
acute caxe hospitals,scip-inf-4,848,75
acute care hospitals,scip-inf-6,849,5
acute care hospitals,scip-vte-1,850,6
acute care hospitals,scip-vte-2,851,7
acute care hospitals,ami-1,852,8
acute care hospitals,ami-2,853,9
acute care hospitals,ami-3,854,10
acute care hospitals,ami-4,855,11
acute care hospitals,ami-5,856,12
acute care hospitals,ami-7a,857,13
acute care hospitals,ami-8a,858,14
acute care hospitals,hf-1,859,15
acute care hospitals,hf-2,860,19
acute care hospitals,hf-3,861,17
acute care hospitals,hf-4,862,18
acute care hospitals,pn-2,863,20
acute care hospitals,pn-3b,864,21
acute care hospitals,px-4,865,76
acute care hospitals,pn-5c,866,23
acute care hospitals,pn-6,867,24
acute care hospitals,pn-7,868,25
acute care hospitals,scip-card-2,869,0
acute care hospitals,scip-inf-1,870,1
acute care hospitals,scip-inf-2,871,2
acute care hospitals,scip-inf-3,872,3
acute care hospitals,scip-inf-4,873,4
acute care hospitals,scip-inf-6,874,5
acute care hospitals,scip-vte-1,875,6
acute care hospitals,scip-vte-2,876,7
acute care hoxpitalx,ami-1,877,77
acute care hospitals,ami-2,878,9
acute care hospitals,ami-3,879,10
acute care hospitals,ami-4,880,11
acute care hospitals,ami-5,881,12
acute care hospitals,ami-7a,882,13
acute care hospitals,ami-8a,883,14
acute care hospitals,hf-1,884,15
acute care hospitals,hf-2,885,19
acute care hospitals,hf-3,886,17
acute care hospitals,hf-4,887,18
acute care hospitals,pn-2,888,20
acute care hospitals,pn-3b,889,21
acute care hospitals,pn-4,890,22
acute care hospitals,pn-5c,891,23
acute care hospitals,pn-6,892,24
acute care hospitals,pn-7,893,25
acute care hospitals,scip-card-2,894,0
acute care hospitals,scip-inf-1,895,1
acute care hospitals,scip-inf-2,896,2
acute care hospitals,scip-inf-3,897,3
acute care hospitals,scip-inf-4,898,4
acute care hospitals,scip-inf-6,899,5
acute care hospitals,scip-vte-1,900,6
acute care hospitals,scip-vte-2,901,7
acutexcarexhospitals,cac-1,902,78
acute care hospitals,cac-2,903,40
acute care hospitals,cac-3,904,41
acute care hospitals,ami-1,905,8
acute care hospitals,ami-2,906,9
acute care hospitals,ami-3,907,10
acute care hospitals,ami-4,908,11
acute care hospitals,ami-5,909,12
acute care hospitals,ami-7a,910,13
acute care hospitals,ami-8a,911,14
acute care hospitals,hf-1,912,15
acute care hospitals,hf-2,913,19
acute care hospitals,hf-3,914,17
acute care hospitals,hf-4,915,18
acute care hospitals,pn-2,916,20
acute care hospitals,pn-3b,917,21
acute care hospitals,pn-4,918,22
acute care hospitals,pn-5c,919,23
acute care hospitals,pn-6,920,24
acute care hospitals,pn-7,921,25
acute care hospitals,scip-card-2,922,0
acute care hospitals,scip-inf-1,923,1
acute care hospitals,scip-inf-2,924,2
acute care hospitals,scip-inf-3,925,3
acuxe care hospixals,scip-inf-4,926,79
acute care hospitals,scip-inf-6,927,5
acute care hospitals,scip-vte-1,928,6
acute care hospitals,scip-vte-2,929,7
acute care hospitals,amix1,930,60
acute care hospitals,ami-2,931,9
acute care hospitals,ami-3,932,10
acute care hospitals,ami-4,933,11
acute care hospitals,ami-5,934,12
acute care hospitals,ami-7a,935,13
acute care hospitals,ami-8a,936,14
acute care hospitals,hf-1,937,15
acute care hospitals,hf-2,938,19
acute care hospitals,hf-3,939,17
acute care hospitals,hf-4,940,18
acute care hospitals,pn-2,941,20
acute care hospitals,pn-3b,942,21
acute care hospitals,pn-4,943,22
acute care hospitals,pn-5c,944,23
acute care hospitals,pn-6,945,24
acute care hospitals,pn-7,946,25
acute care hospitals,scip-card-2,947,0
acute care hospitals,scip-inf-1,948,1
acute care hosxitals,scip-inf-2,949,80
acute care hospitals,scip-inf-3,950,3
acute care hospitals,scip-inf-4,951,4
acute care hospitals,scip-inf-6,952,5
acute care hospitals,scip-vte-1,953,6
acute care hospitals,scip-vte-2,954,7
acute care hospitals,ami-1,955,8
acute xare hospitals,ami-2,956,81
acute care hospitals,ami-3,957,10
acute care hospitals,ami-4,958,11
acute care hospitals,ami-5,959,12
acute care hospitals,ami-7a,960,13
acute care hospitals,ami-8a,961,14
acute care hospitals,hf-1,962,15
acute care hospitals,hf-2,963,19
acutexcarexhospitals,hf-3,964,82
acute care hospitals,hf-4,965,18
acute care hospitals,pn-2,966,20
acute care hospitals,pn-3b,967,21
acute care hospitals,pn-4,968,22
acute care hospitals,pn-5c,969,23
acute care hospitals,pn-6,970,24
acute care hospitals,pn-7,971,25
acute care hospitals,scip-card-2,972,0
acute care hospitals,scip-inf-1,973,1
acute care hospitals,scip-inf-2,974,2
acute care hospitals,scip-inf-3,975,3
acutexcarexhospitals,scip-inf-4,976,83
acute care hospitals,scip-inf-6,977,5
acute care hospitals,scip-vte-1,978,6
acute care hospitals,scip-vte-2,979,7
acute care hospitals,ami-1,980,8
acute care hospitals,ami-2,981,9
acute care hospitals,ami-3,982,10
acute care hospitals,ami-4,983,11
acute care hospitals,ami-5,984,12
acute care hospitals,ami-7a,985,13
acute care hospitals,ami-8a,986,14
acute care hospitals,hf-1,987,15
acute care hospitals,hf-2,988,19
acute care hospitals,hf-3,989,17
acute care hospitals,hf-4,990,18
acute care hospitals,pn-2,991,20
acute care hospitals,pn-3b,992,21
acute care hospitals,pn-4,993,22
acute care hospitals,pn-5c,994,23
acute care hospitals,pn-6,995,24
acute care hospitals,pn-7,996,25
acute care hospitals,scip-card-2,997,0
acute care hospitals,scip-inf-1,998,1
acute care hospitals,scip-inf-2,999,2
