City,Stateavg,original_index,unique_index
clanton,al_scip-inf-2,846,761
clanton,al_scip-inf-3,847,762
clanton,al_scip-inf-4,848,763
clanton,al_scip-inf-6,849,764
clanton,al_scip-vte-1,850,765
clanton,al_scip-vte-2,851,766
hamilton,al_ami-1,852,767
hamilton,al_ami-2,853,768
hamilton,al_ami-3,854,769
hamilxon,al_ami-4,855,770
hamilton,al_ami-5,856,771
hamilton,al_ami-7a,857,772
hamilton,al_ami-8a,858,773
hamilton,al_hf-1,859,774
hamilton,al_hf-2,860,775
hamilton,al_hf-3,861,776
hamilton,al_hf-4,862,777
hamilton,al_pn-2,863,778
hamilton,al_pn-3b,864,779
hamilton,al_pn-4,865,780
hamilton,al_pn-5c,866,781
hamilton,al_pn-6,867,782
hamilton,al_pn-7,868,783
hamilton,al_scip-card-2,869,784
hamilton,al_scip-inf-1,870,785
hamilton,al_scip-inf-2,871,786
hamilton,al_scip-inf-3,872,787
hamilton,al_scip-inf-4,873,788
hamilton,al_scip-inf-6,874,789
hamilton,al_scip-vte-1,875,790
hamilton,al_scip-vte-2,876,791
fayette,al_ami-1,877,792
fayette,al_ami-2,878,793
fayette,al_ami-3,879,794
fayette,al_ami-4,880,795
fayette,al_ami-5,881,796
fayette,al_ami-7a,882,797
fayette,al_ami-8a,883,798
fayette,al_hf-1,884,799
fayette,al_hf-2,885,800
fayette,al_hf-3,886,801
fayette,al_hf-4,887,802
fayette,al_pn-2,888,803
fayette,al_pn-3b,889,804
fayette,al_pn-4,890,805
fayette,al_pn-5c,891,806
fayette,al_pn-6,892,807
fayette,al_pn-7,893,808
fayette,al_scip-card-2,894,809
faxette,al_scip-inf-1,895,810
fayette,al_scip-inf-2,896,811
fayette,al_scip-inf-3,897,812
fayette,al_scip-inf-4,898,813
fayette,al_scip-inf-6,899,814
fayette,al_scip-vte-1,900,815
fayette,al_scip-vte-2,901,816
gadsden,al_cac-1,902,817
gadsden,al_cac-2,903,818
gadsden,al_cac-3,904,819
gadsden,al_ami-1,905,717
gadsden,al_ami-2,906,718
gadsden,al_ami-3,907,719
gadsden,al_ami-4,908,720
gadsden,al_ami-5,909,721
gadsden,al_ami-7a,910,722
gadsden,al_ami-8a,911,723
gadsden,al_hf-1,912,724
gadsden,al_hf-2,913,725
gadsden,al_hf-3,914,726
gadsden,al_hf-4,915,727
gadsden,al_pn-2,916,728
gadsden,al_pn-3b,917,729
gadsden,al_pn-4,918,730
gadsden,al_pn-5c,919,731
gadsden,alxpn-6,920,820
gadsden,al_pn-7,921,733
gadsden,al_scip-card-2,922,734
gadsden,al_scip-inf-1,923,735
gadsden,al_scip-inf-2,924,821
gadsden,al_scip-inf-3,925,737
gadsden,al_scip-inf-4,926,738
gadsden,al_scip-inf-6,927,739
gadsden,al_scip-vte-1,928,740
gadsden,al_scip-vte-2,929,741
georgiana,al_ami-1,930,822
georgiana,al_ami-2,931,823
georgiana,al_ami-3,932,824
georgiana,al_ami-4,933,825
georgiana,al_ami-5,934,826
georgiana,al_ami-7a,935,827
georgiana,al_ami-8a,936,828
georgiana,al_hf-1,937,829
georgiana,al_hf-2,938,830
georgiana,al_hf-3,939,831
georgiana,al_hf-4,940,832
georgiana,al_pn-2,941,833
georgiana,al_pn-3b,942,834
georgiana,al_pn-4,943,835
georgiana,al_pn-5c,944,836
georgiana,al_pn-6,945,837
georgiana,al_pn-7,946,838
georgiana,al_scip-card-2,947,839
georgiana,al_scip-inf-1,948,840
geoxgiana,al_scip-inf-2,949,841
georgiana,al_scip-inf-3,950,842
georgiana,al_scip-inf-4,951,843
georgiana,al_scip-inf-6,952,844
georgiana,al_scip-vte-1,953,845
georgiana,al_scip-vte-2,954,846
enterprise,al_ami-1,955,847
enterprise,al_ami-2,956,848
enterprise,al_ami-3,957,849
enterprise,al_ami-4,958,850
enterprise,al_ami-5,959,851
enterprxse,al_ami-7a,960,852
enterprise,al_ami-8a,961,853
enterprise,al_hf-1,962,854
enterprise,al_hf-2,963,855
enterprise,al_hf-3,964,856
enterprise,al_hf-4,965,857
enterprise,al_pn-2,966,858
enterprise,al_pn-3b,967,859
xntxrprisx,al_pn-4,968,860
enterprise,al_pn-5c,969,861
enterprise,al_pn-6,970,862
enterprise,al_pn-7,971,863
enterprise,al_scip-card-2,972,864
enterprise,al_scip-inf-1,973,865
enterprise,al_scip-inf-2,974,866
enterprise,al_scip-inf-3,975,867
enterprise,al_scip-inf-4,976,868
enterprise,al_scip-inf-6,977,869
enterprise,al_scip-vte-1,978,870
enterprise,al_scip-vte-2,979,871
oneonta,al_ami-1,980,872
oneonta,al_ami-2,981,873
oneonta,al_ami-3,982,874
oneonta,al_ami-4,983,875
oneonta,al_ami-5,984,876
onxonta,al_ami-7a,985,877
oneonta,al_ami-8a,986,878
oneonta,al_hf-1,987,879
oneonta,al_hf-2,988,880
oneonta,al_hf-3,989,881
oneonta,al_hf-4,990,882
oneonta,al_pn-2,991,883
oneonta,al_pn-3b,992,884
oneonta,al_pn-4,993,885
oneonta,al_pn-5c,994,886
oneonta,al_pn-6,995,887
oneonta,al_pn-7,996,888
oneonta,al_scip-card-2,997,889
oneonta,al_scip-inf-1,998,890
oneonta,al_scip-inf-2,999,891
