Release Date,Filming Locations,original_index,unique_index
3 August 1986 (USA),,1515,1506
24 July 1985 (USA),"Llechwedd Slate Caverns, Llechwedd Slate Mine, Blaenau Ffestiniog, Gwynedd, Wales, UK",1516,1507
18 August 2006 (USA),"Barwick Studios - 4585 Electronics Place, Los Angeles, California, USA",1517,1508
15 June 2007 (USA),"1102 Del Rey Avenue, Pasadena, California, USA",1518,1509
17 June 2005 (USA),"Brooklyn Bridge, New York City, New York, USA",1519,1510
4 October 1996 (USA),"Columbia Arena 7011 University Ave NE Fridley, Minnesota, USA",1520,1511
29 September 1995 (USA),"Austin, Texas, USA",1521,1512
7 July 1993 (USA),"Chicago, Illinois, USA",1522,1513
14 October 1994 (USA),"Arroyo Grande, California, USA",1523,1514
22 March 1991 (USA),"Brooklyn, New York City, New York, USA",1524,1515
25 March 1994 (USA),"Kramarczuk's Sausage Company, 215 E Hennepin Avenue, Minneapolis, Minnesota, USA",1525,1516
2 October 1992 (USA),"Cook Memorial Arena - 11091 Mississippi Boulevard, Coon Rapids, Minnesota, USA",1526,1517
11 February 1994 (USA),"Texas, USA",1527,1518
24 September 1999 (USA),"Los Angeles, California, USA",1528,1519
22 May 1987 (USA),USA,1529,1520
"Oct 11, 1991 Wide",USA,1530,1521
15 October 1993 (USA),"1400 Tower Grove Drive, Beverly Hills, California, USA",1531,1522
12 November 1993 (USA),Canada,1532,1523
September 1997 (Portugal),"Johannesburg, Gauteng, South Africa",1533,1524
6 April 1990 (USA),"Tennessee, USA",1534,1525
12 August 1994 (USA),"59 Hyde Avenue, Newton, Massachusetts, USA",1535,1526
30 August 1996 (USA),"Richmond, Virginia, USA",1536,1527
4 June 2010 (USA),"Huntington Beach, California, USA",1537,1528
24 July 2009 (USA),"992 S Oakland Avenue, Pasadena, California, USA",1538,1529
4 July 2001 (USA),"Craigdarroch Castle, Victoria, British Columbia, Canada",1539,1530
18 July 2014 (USA),"Tufts University - 169 Holland Street, Somerville, Massachusetts, USA",1540,1531
17 January 2014 (USA),"Atlanta, Georgia, USA",1541,1532
24 December 2014 (USA),"Vancouver, British Columbia, Canada",1542,1533
16 October 2015 (USA),,1543,393
16 January 2015 (USA),"Los Angeles, California, USA",1544,1534
8 December 1982 (USA),"California, USA",1545,1535
14 April 2015 (USA),,1546,1536
20 May 1987 (USA),"635 South Mateo Street, Los Angeles, California, USA",1547,1537
,"Condon, Oregon, USA",1548,1538
25 May 1994 (USA),"Knott's Berry Farm, Buena Park, California, USA",1549,1539
14 August 2015 (USA),,1550,1540
September 2014 (USA),,1551,1541
15 April 2015 (USA),"Ridgefield, Connecticut, USA",1552,1542
4 June 2014 (USA),,1553,1543
March 2015 (USA),,1554,1544
30 January 2015 (USA),"New Orleans, Louisiana, USA",1555,1545
27 March 2015 (USA),,1556,812
15 March 1985 (USA),"Alpine, Texas, USA",1557,1546
2015 (USA),"Jackson, Mississippi, USA",1558,1547
18 October 2002 (Canada),"Jordan Bay, Nova Scotia, Canada",1559,1548
10 September 2014 (USA),"Black River Farm and Ranch 5040 Sheridan Line, Croswell, Michigan, USA",1560,1549
29 June 1988 (USA),"Big Sky Ranch - 4927 Bennett Road, Simi Valley, California, USA",1561,1550
19 October 2007 (USA),"Alberta, Canada",1562,1551
13 June 2008 (USA),"Germanton, North Carolina, USA",1563,1552
4 May 2013 (USA),Canada,1564,1553
27 January 2008 (USA),"Kansas City, Missouri, USA",1565,1554
2 January 2015 (USA),"Benson, Arizona, USA",1566,1555
14 April 1989 (USA),"Los Angeles, California, USA",1567,1556
22 September 2000 (USA),"Roosevelt Hotel, Hollywood, California, USA",1568,1557
19 April 2014 (USA),,1569,1558
21 May 1982 (USA),"Downtown, Los Angeles, California, USA",1570,1559
9 March 2014 (USA),,1571,1560
2015 (South Africa),"Chippewa Falls, Wisconsin, USA",1572,1561
April 2015 (Netherlands),,1573,1562
21 September 1984 (USA),"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",1574,1563
1 August 2014 (USA),"Rich Hill, Missouri, USA",1575,1564
23 June 2015 (USA),"New York City, New York, USA",1576,1565
3 June 1983 (USA),"Castle Green Apartments - 99 S. Raymond, Pasadena, California, USA",1577,1566
19 August 1983 (USA),"Abraham & Straus Department Store, 422 Fulton St., Brooklyn, New York City, New York, USA",1578,1567
6 February 1998 (USA),"Palatine, Illinois, USA",1579,1568
31 December 1965 (USA),"Alberta, Canada",1580,1569
31 October 1997 (USA),"16801 Encino Hills Dr., Encino, California, USA",1581,1570
27 April 2012 (USA),"Aardman Animation Studios, Bradley Stoke, Bristol, England, UK",1582,1571
10 April 2012 (USA),"Dallas Center, Iowa, USA",1583,1572
19 April 2014 (USA),,1584,1558
26 April 2013 (USA),"Huntsville, Alabama, USA",1585,1573
6 March 2012 (USA),"Manhattan, New York City, New York, USA",1586,1574
3 October 2015 (USA),"Long Island, New York, USA",1587,1575
2016 (USA),,1588,457
12 August 1958 (USA),"Alberta, Canada",1589,1576
22 December 1955 (USA),"Guanajuato, Guanajuato, Mexico",1590,1577
11 July 1955 (West Germany),,1591,1578
6 November 1956 (USA),,1592,1579
10 August 1960 (USA),Brazil,1593,1580
10 November 1953 (USA),"Mt. Whitney, California, USA",1594,1581
13 March 1987 (USA),"De Laurentiis Studios, Wilmington, North Carolina, USA",1595,1582
22 August 2012 (USA),,1596,1583
17 December 1999 (USA),"Santa Clarita, California, USA",1597,1584
22 May 2009 (USA),,1598,1585
8 August 2014 (Japan),,1599,1586
21 January 2000 (USA),"Baker, California, USA",1600,1587
15 December 1982 (USA),"Gardnerville, Nevada, USA",1601,1588
19 March 1999 (USA),"Cotati, California, USA",1602,1589
9 August 2002 (USA),"Acton, California, USA",1603,1590
4 August 2000 (USA),"Santa Clarita, California, USA",1604,1591
2 June 1995 (USA),"Adel, Iowa, USA",1605,1592
18 April 2014 (USA),"Los Angeles, California, USA",1606,1593
26 September 2014 (USA),"Haverhill, Massachusetts, USA",1607,1594
11 May 1990 (Turkey),Canada,1608,1595
21 March 2014 (USA),"Chicago, Illinois, USA",1609,1596
25 January 1985 (USA),"Alpine, Texas, USA",1610,1597
16 August 1985 (USA),"Laclede's Landing, St. Louis, Missouri, USA",1611,1598
25 December 2003 (USA),Namibia,1612,1599
27 May 2005 (UK),Botswana,1613,1600
28 July 1995 (USA),"Chiang Mai, Thailand",1614,1601
11 October 2002 (USA),"Baltimore, Maryland, USA",1615,1602
16 February 1990 (USA),"Sierra de Organos, Sombrerete, Zacatecas, Mexico",1616,1603
4 August 1965 (USA),"Greenwich Studios - 12100 Ivan Tors Boulevard, Miami, Florida, USA",1617,1604
27 October 1989 (USA),Austria,1618,1605
22 June 1966 (USA),Kenya,1619,1606
13 September 1996 (USA),"Main Street, St. Helena, Napa Valley, California, USA",1620,1607
7 October 2010 (Netherlands),"Charleston, South Carolina, USA",1621,1608
1 July 1965 (USA),"Salzburg Cathedral, Salzburg, Austria",1622,1609
22 July 2016 (USA),,1623,1610
12 December 2007 (USA),"Bergenfield, New Jersey, USA",1624,1611
1 June 2007 (USA),"Portland, Oregon, USA",1625,1612
1 April 2005 (USA),"Ann Arbor, Michigan, USA",1626,1613
15 December 2000 (USA),"Dresden Room Restaurant - 1760 N. Vermont Avenue, Los Feliz, Los Angeles, California, USA",1627,1614
15 May 1992 (USA),"Burbank, California, USA",1628,1615
8 August 1997 (USA),"Orpheum Theater 842 S. Broadway, Los Angeles, California, USA",1629,1616
5 December 1984 (USA),"2720 Grand River Avenue, Detroit, Michigan, USA",1630,1617
October 2013 (USA),"ThiaMedia Studios, Glendale, California, USA",1631,1618
November 2013 (Canada),,1632,1619
5 February 1999 (USA),"186 South LaSalle Street, Chicago, Illinois, USA",1633,1620
10 July 1998 (USA),"Bradbury Building - 304 S. Broadway, Downtown, Los Angeles, California, USA",1634,1621
5 May 2011 (USA),,1635,1622
22 April 1988 (USA),"Backlot, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",1636,1623
5 September 1997 (USA),"Agua Dulce Air Park - 33638 Agua Dulce Canyon Road, Agua Dulce, California, USA",1637,1624
15 July 2010 (USA),"Akbar - 4356 Sunset Boulevard, Silver Lake, Los Angeles, California, USA",1638,1625
12 April 1991 (USA),"Coney Island Boardwalk, Brooklyn, New York City, New York, USA",1639,1626
13 September 2013 (USA),,1640,1627
January 2011 (USA),,1641,1628
16 March 2001 (USA),"Calgary, Alberta, Canada",1642,1629
14 July 1995 (USA),"Chatsworth, Los Angeles, California, USA",1643,1630
18 February 1994 (USA),"Carson, California, USA",1644,1631
20 May 2005 (South Korea),"Bangkok, Thailand",1645,1632
23 November 2011 (USA),"Théâtre de l'Athénée, Paris, France",1646,1633
21 December 2011 (USA),"Wellington, New Zealand",1647,1634
10 June 2011 (USA),"Arc de Triomphe, Paris 8, Paris, France",1648,1635
9 February 1990 (USA),"Saddle Rock Ranch - 31727 Mullholland Highway, Malibu, California, USA",1649,1636
4 October 1996 (USA),"310 Loma Dr, Los Angeles, California, USA",1650,1637
1 July 2005 (USA),"New York City, New York, USA",1651,1638
15 March 1996 (USA),"Alverno High School - 200 North Michillinda Avenue, Sierra Madre, California, USA",1652,1639
18 April 1997 (USA),"36-42 Maitland Street, Toronto, Ontario, Canada",1653,1640
26 November 1986 (USA),"Baltimore, Maryland, USA",1654,1641
August 2012 (USA),,1655,1642
16 May 2014 (USA),"Colorado, USA",1656,1643
22 April 2014 (USA),,1657,1644
"May 2, 2014 Limited",,1658,1645
31 December 2014 (USA),,1659,1646
September 2012 (Brazil),,1660,1647
21 November 2014 (USA),,1661,1648
12 April 1962 (USA),"Armstrong jr.college, Savannah, Georgia, USA",1662,1649
28 July 1989 (USA),"Los Angeles, California, USA",1663,1650
14 January 1994 (USA),"City Hall - Broad and 15th Streets, Philadelphia, Pennsylvania, USA",1664,1651
5 August 1988 (USA),"Roehampton Church School, Wandsworth, London, England, UK",1665,1652
16 October 2008 (Russia),"Coquitlam, British Columbia, Canada",1666,1653
24 August 2012 (Taiwan),"Providence, Rhode Island, USA",1667,1654
23 February 2007 (USA),"Ashridge Park, Little Gaddesden, Hertfordshire, England, UK",1668,1655
11 October 2013 (USA),Malta,1669,1656
10 October 1980 (USA),"Riviera Country Club - 1250 Capri Drive, Pacific Palisades, Los Angeles, California, USA",1670,1657
October 2015 (USA),,1671,1658
17 May 1991 (USA),"Los Angeles, California, USA",1672,1659
1 March 2016 (USA),,1673,1660
7 April 2017 (USA),,1674,1661
7 August 1998 (USA),"Atlantic City, New Jersey, USA",1675,1662
21 October 2011 (Bulgaria),"Millennium Studios- 300 Douglas Street, Shreveport, Louisiana, USA",1676,1663
26 August 2001 (USA),South Africa,1677,1664
3 November 2015 (USA),,1678,1665
6 September 2012 (United Arab Emirates),"Six Flags New Orleans: Abandoned Amusement Park, Michoud Boulevard, New Orleans, Louisiana, USA",1679,1666
29 July 1994 (USA),"Plaza Hotel - 750 Fifth Avenue, Manhattan, New York City, New York, USA",1680,1667
10 April 1998 (USA),"Grand Central Market, 317 S. Broadway, Los Angeles, California, USA",1681,1668
20 November 1998 (USA),,1682,1669
17 November 2000 (USA),,1683,1670
18 November 2012 (USA),,1684,1671
11 December 1998 (USA),"Los Angeles, California, USA",1685,1672
24 April 2010 (USA),"Park City, Utah, USA",1686,1673
21 October 2003 (USA),"Arlington Heights, Illinois, USA",1687,1674
9 February 1996 (USA),"Bally's Casino Resort - 3645 Las Vegas Boulevard South, Las Vegas, Nevada, USA",1688,1675
6 January 1995 (USA),"Kromeríz, Czech Republic",1689,1676
16 August 2012 (Ukraine),,1690,1677
28 February 2007 (Kuwait),Bulgaria,1691,1678
5 April 2002 (USA),"Alameda, California, USA",1692,1679
2 May 2010 (USA),"Brandon, Florida, USA",1693,1680
14 January 2011 (USA),"2000 Naperville Wheaton Rd., Naperville, Illinois, USA",1694,1681
30 December 1997 (USA),"Castel Film Studios, Bucharest, Romania",1695,1682
3 October 1997 (USA),"McClure Tunnel, Santa Monica, California, USA",1696,1683
2007 (USA),"Granada Hills, Los Angeles, California, USA",1697,1684
15 August 1979 (USA),Philippines,1698,1685
21 January 2005 (USA),"Pacific Central Station, 1150 Station Street, Vancouver, British Columbia, Canada",1699,1686
14 January 2005 (USA),"Hollywood, Los Angeles, California, USA",1700,1687
17 February 2006 (USA),Canada,1701,1688
8 August 2007 (USA),"Heber City, Utah, USA",1702,1689
1 August 1997 (USA),"Lord Kitchener Elementary School, Vancouver, British Columbia, Canada",1703,1690
16 October 2014 (USA),,1704,1691
13 October 2006 (USA),"Astoria, Queens, New York City, New York, USA",1705,1692
4 September 2014 (Malaysia),,1706,1693
28 March 2008 (USA),"Austin, Texas, USA",1707,1694
,,1708,48
2015 (USA),,1709,1043
May 2016 (USA),"Pullman Kitchen - 205 5th Street, Santa Rosa, California, USA",1710,1695
17 June 2010 (United Arab Emirates),Bulgaria,1711,1696
9 December 2011 (USA),"Statue of Liberty, Liberty Island, New York Harbor, New York City, New York, USA",1712,1697
8 April 2011 (USA),"Baton Rouge, Louisiana, USA",1713,1698
,,1714,48
2016 (USA),"Los Angeles, California, USA",1715,1699
,,1716,48
,"Los Angeles, California, USA",1717,188
20 September 2009 (Kuwait),"837 Beacon Ave, Los Angeles, California, USA",1718,1700
2016 (USA),,1719,457
20 December 2002 (USA),"Muttontown Country Club, East Norwich, New York, USA",1720,1701
22 November 1989 (USA),"Natchitoches, Louisiana, USA",1721,1702
19 December 2003 (USA),"Massachusetts, USA",1722,1703
28 May 1999 (USA),"280 Westbourne Park Road, Notting Hill, London, England, UK",1723,1704
20 June 1997 (USA),"Chicago, Illinois, USA",1724,1705
"Mar 23, 1990 Wide","Giorgio Beverly Hills - 273 North Rodeo Drive, Beverly Hills, California, USA",1725,1706
30 July 1999 (USA),"Waugh United Methodist Church - 11453 Long Green Pike, Glen Arm, Maryland, USA",1726,1707
20 July 2001 (USA),"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",1727,1708
21 June 1991 (USA),"Filoli Estate - 86 Cañada Road, Woodside, California, USA",1728,1709
11 August 2006 (USA),"Baltimore, Maryland, USA",1729,1710
5 February 2016 (USA),"Los Angeles, California, USA",1730,1711
2016 (USA),"Norwich Cathedral, Norwich, Norfolk, England, UK",1731,1712
3 June 2015 (France),,1732,1713
February 2016 (USA),"New Mexico, USA",1733,1714
7 March 2008 (USA),"Ealing Studios, Ealing, London, England, UK",1734,1715
10 September 2014 (France),"Castle Coole, Northern Ireland, UK",1735,1716
2016 (USA),"Dublin, Ireland",1736,1717
14 July 2006 (UK),"Brentwood, Los Angeles, California, USA",1737,1718
24 May 1978 (USA),"Los Angeles, California, USA",1738,1719
25 November 2015 (USA),"Philadelphia, Pennsylvania, USA",1739,1720
22 January 2015 (USA),,1740,1721
2014 (USA),,1741,1722
13 November 2015 (USA),Malta,1742,1723
6 November 2015 (USA),"Toronto, Ontario, Canada",1743,1724
6 November 2015 (USA),,1744,806
"Jan 29, 2016 Limited","Quincy, Massachusetts, USA",1745,1725
9 October 2014 (Hungary),"Atlanta, Georgia, USA",1746,1726
13 November 2015 (USA),"Nemocón, Colombia",1747,1727
4 March 2016 (USA),"New Boyana Film Studios, Sofia, Bulgaria",1748,1728
2016 (USA),"Munich, Bavaria, Germany",1749,1729
12 April 2012 (Russia),"Cape Town, Western Cape, South Africa",1750,1730
25 December 2014 (USA),"Vancouver, British Columbia, Canada",1751,1731
20 February 2015 (USA),"Kern County, California, USA",1752,1732
22 May 2015 (USA),"Claydon House, Middle Claydon, Buckinghamshire, England, UK",1753,1733
17 April 2015 (USA),"Jackson Hole Restaurant, Manhattan, New York City, New York, USA",1754,1734
1 July 2011 (USA),"Terminal Island, Wilmington, Los Angeles, California, USA",1755,1735
29 March 2013 (USA),"Mt. Warning National Park, Murwillumbah, New South Wales, Australia",1756,1736
4 November 2011 (Brazil),"Los Angeles, California, USA",1757,1737
2 May 2004 (USA),"Goshen, New York, USA",1758,1738
17 April 2015 (UK),"Prague, Czech Republic",1759,1739
21 April 2014 (USA),"Seattle, Washington, USA",1760,1740
17 January 1992 (USA),"Saint Nicholas Terrace & 135th. Street, Harlem, New York City, New York, USA",1761,1741
26 September 1997 (USA),"Chicago, Illinois, USA",1762,1742
28 September 1994 (USA),"2817 Sauer St, Houston, Texas, USA",1763,1743
"Jun 27, 2001 Wide","11th Avenue / Vernon Avenue, Leimert Park, Los Angeles, California, USA",1764,1744
26 April 1995 (USA),"126th Street, Los Angeles, California, USA",1765,1745
26 May 1993 (USA),USA,1766,1746
23 March 1994 (USA),"New York City, New York, USA",1767,1747
27 April 2012 (UK),,1768,1748
14 March 1997 (USA),"Chicago, Illinois, USA",1769,1749
23 July 1993 (USA),"Simi Valley Drive-In, Simi Valley, California, USA",1770,1750
8 March 1991 (USA),"Grant's Tomb - 122th Street & Riverside Drive, Manhattan, New York City, New York, USA",1771,1751
18 September 1992 (USA),"Los Angeles, California, USA",1772,1752
6 October 1995 (USA),"Mount Vernon, New York, USA",1773,1753
5 June 1998 (USA),"Falls Lake, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1774,1754
15 October 1999 (USA),"421 W. Eighth Street, Los Angeles, California, USA",1775,1755
25 May 2001 (USA),"Hill Crest Inn, 9111 Sepulveda Blvd, North Hills, California, USA",1776,1756
29 January 1964 (USA),"Okaloosa County, Florida, USA",1777,1757
25 June 1982 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",1778,1758
24 March 1972 (USA),"NY Eye and Ear Infirmary, 2nd Avenue & East 13th Street, New York City, New York, USA",1779,1759
24 July 1998 (USA),"Calvados, France",1780,1760
4 February 1994 (USA),"Józefa, Kraków, Malopolskie, Poland",1781,1761
6 January 2009 (USA),"Santa Clarita, California, USA",1782,1762
16 July 2010 (USA),"Bedfordshire, England, UK",1783,1763
6 February 1987 (USA),Philippines,1784,1764
21 September 1990 (USA),"2409 Thirty Second Street, Astoria, Queens, New York City, New York, USA",1785,1765
9 January 2009 (USA),"13140 Charlevoix St, Detroit, Michigan, USA",1786,1766
25 December 2013 (USA),"New York City, New York, USA",1787,1767
14 May 2004 (USA),"Blue Lagoon, Comino, Malta",1788,1768
25 December 2012 (USA),"Jackson Hole, Wyoming, USA",1789,1769
18 July 2008 (USA),"Times Square, Causeway Bay, Hong Kong",1790,1770
10 October 2003 (USA),"5506 Atlas St, Los Angeles, California, USA",1791,1771
19 June 2015 (USA),"Los Angeles, California, USA",1792,1772
14 October 1994 (USA),"St. Croix, U.S. Virgin Islands",1793,1773
16 April 2004 (USA),"Barstow, California, USA",1794,1774
31 October 2012 (USA),"Columbus, Texas, USA",1795,1775
4 January 2002 (USA),"Bayonne, New Jersey, USA",1796,1776
27 February 1981 (Australia),"Apple Valley, California, USA",1797,1777
19 December 1980 (USA),"Downtown, Los Angeles, California, USA",1798,1778
26 December 1973 (UK),"Hugus Alley, Pasadena, California, USA",1799,1779
24 October 1969 (USA),"Lake Sherwood, California, USA",1800,1780
1 November 1967 (USA),"Jacksonville, Florida, USA",1801,1781
23 October 1960 (USA),"State of Morelos, Mexico",1802,1782
7 August 1992 (USA),"Alberta, Canada",1803,1783
19 October 1939 (USA),"Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",1804,1784
16 December 1973 (USA),"Higuerote, Estado Miranda, Venezuela",1805,1785
17 April 2015 (USA),"Warwick, New York, USA",1806,1786
14 October 1967 (Japan),"Belleville, Illinois, USA",1807,1787
11 November 1951 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",1808,1788
"May 1, 1958 Wide","Auberge de la Moutière - 14 Rue Moutière, Montfort-l'Amaury, Yvelines, France",1809,1789
9 December 1983 (USA),"Lincoln International Airport, Lincoln, Nebraska, USA",1810,1790
6 March 2015 (USA),"London, England, UK",1811,1791
24 January 2003 (USA),"Danforth Music Hall - 147 Danforth Ave., Toronto, Ontario, Canada",1812,1792
2 April 1970 (USA),"Almería, Andalucía, Spain",1813,1793
20 December 1985 (USA),"England, UK",1814,1794
16 June 1969 (Brazil),"Holy Name Cemetery, Jersey City, New Jersey, USA",1815,1795
22 May 2008 (USA),"Bridgeport, Connecticut, USA",1816,1796
8 May 2015 (USA),"Manhattan, New York City, New York, USA",1817,1797
7 April 1995 (USA),,1818,1041
6 August 1999 (USA),,1819,1798
13 May 2005 (USA),"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",1820,1799
23 April 2010 (USA),"21 W Dayton St, Pasadena, California, USA",1821,1800
27 September 2002 (USA),"Atlanta, Georgia, USA",1822,1801
19 September 2008 (USA),"Massachusetts, USA",1823,1802
19 March 2010 (USA),"60-15 Eliot Avenue, Middle Village, Queens, New York City, New York, USA",1824,1803
14 July 2006 (USA),"Kaua'i, Hawaii, USA",1825,1804
13 July 1990 (USA),"Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA",1826,1805
8 May 1998 (USA),"Washington, DC, USA",1827,1806
24 September 2008 (South Africa),,1828,1807
25 January 2011 (USA),,1829,1808
22 August 2008 (USA),"Playboy Mansion - 10236 Charing Cross Road, Holmby Hills, Los Angeles, California, USA",1830,1809
19 August 2014 (USA),"Bucharest, Romania",1831,1810
7 February 2003 (USA),"Action Under Water Studios, Hertford Road, Waltham Cross, Hertfordshire, England, UK",1832,1811
6 November 2014 (Singapore),"Los Angeles, California, USA",1833,1812
21 June 2002 (USA),"Butter Island, Penobscot Bay, Maine, USA",1834,1813
25 December 2003 (USA),"Burrard SkyTrain Station, Vancouver, British Columbia, Canada",1835,1814
31 May 1996 (USA),"Grove Street, Bishop, California, USA",1836,1815
1 May 2013 (Philippines),"DeKalb, Illinois, USA",1837,1816
17 April 2015 (USA),"Los Angeles, California, USA",1838,1817
21 January 1983 (USA),"Baltimore, Maryland, USA",1839,1818
15 November 1989 (USA),"Atlanta, Georgia, USA",1840,1819
October 2010 (USA),,1841,1820
12 November 1982 (USA),"3662 Mountain View Avenue, Los Angeles, California, USA",1842,1821
13 January 1989 (USA),,1843,1822
16 July 1999 (USA),"Buntzen Lake, Anmore, British Columbia, Canada",1844,1823
30 January 1998 (USA),"Vancouver, British Columbia, Canada",1845,1824
22 June 2012 (Iceland),"Lockhart, Texas, USA",1846,1825
15 January 1999 (USA),"Newport News, Virginia, USA",1847,1826
24 November 1983 (USA),"Montréal, Québec, Canada",1848,1827
10 January 1997 (USA),"Chicago, Illinois, USA",1849,1828
28 August 2013 (France),,1850,1829
9 August 1989 (USA),"Harbor Star Stage, San Pedro, Los Angeles, California, USA",1851,1830
21 June 1985 (USA),"Christchurch, Hampshire, England, UK",1852,1831
22 June 1990 (USA),"1811 McDuffie St, Houston, Texas, USA",1853,1832
5 September 1991 (Germany),"Los Angeles River, California, USA",1854,1833
25 May 2007 (USA),"Metairie, Louisiana, USA",1855,1834
13 May 1983 (USA),"Goodyear Tire & Rubber Plant, Los Angeles, California, USA",1856,1835
29 May 1981 (USA),"Goldwyn Studios, 1041 North Formosa Avenue, West Hollywood, California, USA",1857,1836
14 January 1970 (USA),"Mendocino, California, USA",1858,1837
,,1859,48
27 July 1994 (USA),"Buftea Studios, Bucharest, Romania",1860,1838
28 March 2006 (China),"Ashland-Belle Helene Plantation - State Highway 75, Geismer, Louisiana, USA",1861,1839
5 September 2008 (USA),Australia,1862,1840
30 November 2012 (USA),"Claiborne Avenue Bridge, New Orleans, Louisiana, USA",1863,1841
10 November 2011 (Croatia),"Elyria, Ohio, USA",1864,1842
15 March 1946 (USA),,1865,1843
12 April 2002 (USA),"Los Angeles Center Studios - 450 S. Bixel Street, Downtown, Los Angeles, California, USA",1866,1844
10 November 1989 (USA),"Boston, Massachusetts, USA",1867,1845
10 January 2014 (USA),"Los Angeles, California, USA",1868,1846
7 February 2003 (Norway),"Circus Liquor - 5600 Vineland Avenue, North Hollywood, Los Angeles, California, USA",1869,1847
19 June 1987 (West Germany),"Portland, Oregon, USA",1870,1848
29 September 1991 (USA),"Maupin, Oregon, USA",1871,1849
14 November 2003 (USA),"Whitaker Middle School, 5700 NE 39th, Portland, Oregon, USA",1872,1850
20 May 1994 (USA),"Terrebonne, Oregon, USA",1873,1851
24 October 2007 (France),"Burnside Skatepark, Portland, Oregon, USA",1874,1852
26 June 1998 (USA),"Buffalo, New York, USA",1875,1853
6 October 1995 (USA),"King City Secondary School, King City, Ontario, Canada",1876,1854
13 May 2005 (France),"Garrison, New York, USA",1877,1855
30 July 1982 (USA),"Bell's Amusement Park - 3901 E. 21st Street, Tulsa, Oklahoma, USA",1878,1856
21 October 1983 (USA),"Sapulpa, Oklahoma, USA",1879,1857
20 September 2002 (Greece),Argentina,1880,1858
,,1881,48
16 March 1990 (USA),"Hamakua Coast, Hawaii, USA",1882,1859
28 January 2011 (USA),"Blue Island, Illinois, USA",1883,1860
21 October 2005 (USA),"Columbia University - Broadway & 116th Street, Manhattan, New York City, New York, USA",1884,1861
21 April 2000 (USA),"Cinecittà Studios, Cinecittà, Rome, Lazio, Italy",1885,1862
27 July 2007 (USA),USA,1886,1863
6 December 2002 (USA),"Berlin, Germany",1887,1864
28 July 1995 (USA),"Huntington Beach, California, USA",1888,1865
7 September 2007 (USA),"Clifton, Arizona, USA",1889,1866
16 June 2000 (USA),"Broadway & 20th Street, Chelsea, Manhattan, New York City, New York, USA",1890,1867
18 February 2000 (USA),"Queensland, Australia",1891,1868
15 June 2005 (USA),"Coalhouse Fort, East Tilbury, Essex, England, UK",1892,1869
24 July 1996 (USA),"Canton, Mississippi, USA",1893,1870
25 September 2009 (USA),"Boston, Massachusetts, USA",1894,1871
10 November 2006 (USA),"Baja California, Mexico",1895,1872
15 July 2011 (USA),"England, UK",1896,1873
20 June 1975 (USA),"Martha's Vineyard, Massachusetts, USA",1897,1874
23 May 1997 (USA),"Jurassic Kahili Ranch, Kilauea, Kauai, Hawaii, USA",1898,1875
24 January 2014 (USA),"Plainview, Nebraska, USA",1899,1876
18 July 2001 (USA),"Jurassic Kahili Ranch, Kilauea, Kauai, Hawaii, USA",1900,1877
4 July 1990 (USA),"Alpena Airport, Alpena, Michigan, USA",1901,1878
27 June 2007 (USA),"105 Freeway, Los Angeles, California, USA",1902,1879
8 October 1976 (USA),"Champs Elysées, Paris 8, Paris, France",1903,1880
14 December 2005 (USA),"Beach Road, Parnell, Auckland, New Zealand",1904,1881
22 October 2011 (USA),"Front Sight Resorts, Nevada, USA",1905,1882
9 August 2013 (USA),"Fremont, Wisconsin, USA",1906,1883
29 January 1975 (France),,1907,1884
20 February 1932 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",1908,1885
22 December 1933 (USA),"Santa Catalina Island, Channel Islands, California, USA",1909,1886
4 July 2008 (Mexico),"Los Angeles, California, USA",1910,1887
13 June 2008 (USA),"Minneapolis, Minnesota, USA",1911,1888
17 December 1976 (USA),"Stage 32, Paramount Pictures - 5555 Melrose Ave. Los Angeles, California, USA",1912,1889
"Aug 27, 1943 Limited","Stage 28, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1913,1890
12 January 1940 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1914,1891
1 December 1944 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1915,1892
20 October 1932 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1916,1893
13 May 1935 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1917,1894
13 March 1942 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1918,1895
3 January 1932 (USA),"Busch Gardens - S. Grove Avenue, Pasadena, California, USA",1919,1896
11 April 2014 (USA),"Austin, Texas, USA",1920,1897
