Actors,original_index,unique_index
"Jon Heder,Tom Arnold,Rebecca Black",1474,1428
"Shay Garner,Pat Morrell,Bob O'Connell",1475,1429
"Hilary Duff,Haylie Duff,Charlie Sheen",1476,1430
"Jaime Pressly,Cloris Leachman,Christopher Lloyd",1477,1431
"Sylvester Stallone,Talia Shire,Burt Young",1478,1432
"Aaron Bybee,Laura Schulthies,Joey Lopez",1479,1433
"Chris Phillips,Maureen O'Connell,Peter Newman",1480,1434
"Tom Arnold,Jessica Lundy,Bug Hall",1481,1435
"Chevy Chase,Dan Aykroyd,Steve Forrest",1482,1436
"Vera Farmiga,Mark Strong,Harry Lloyd",1483,1437
"Matthew Fox,Jeffrey Donovan,Quinn McColgan",1484,1438
"Ella Purnell,Nolan Gerard Funk,Brian Geraghty",1485,1439
"Sharyn Moffett,Jacqueline White,Walter Reed",1486,1440
"Donna Corcoran,Ward Bond,Frances Dee",1487,1441
"Lorenzo Music,Judith Kahan,Marshall Efron",1488,1442
"Jim Varney,Douglas Seale,Oliver Clark",1489,1443
"Jim Carrey,Ewan McGregor,Leslie Mann",1490,1444
"Jim Carrey,Jeff Daniels,Rob Riggle",1491,1445
"John Belushi,Karen Allen,Tom Hulce",1492,1446
"Ernie Reyes Sr.,Rob Schneider,Ernie Reyes Jr.",1493,1447
"Shaquille O'Neal,Francis Capra,Ally Walker",1494,1448
"Hulk Hogan,Matthew McCurley,Lesley-Anne Down",1495,1449
"Macaulay Culkin,Edward Herrmann,John Larroquette",1496,1450
"Jim Varney,Linda Kash,Bill Byrge",1497,1451
"John Goodman,Charles Fleischer,Blaze Berdahl",1498,1452
"Mickey Rooney,Kurt Russell,Pearl Bailey",1499,1453
"Vincent Price,Barrie Ingham,Val Bettin",1500,1454
"Bob Newhart,Eva Gabor,Geraldine Page",1501,1455
"Kevin Bacon,Bob Hoskins,Bridget Fonda",1502,1456
"Michelle Nicastro,Brian Nissen,Katja Zoch",1503,1457
"Michael Crawford,Ben Vereen,Ellen Blain",1504,1458
"Charlie Sheen,Sheena Easton,Dom DeLuise",1505,1459
"Jack Palance,Howard McGillin,Michelle Nicastro",1506,1460
"David Bowie,Jennifer Connelly,Toby Froud",1507,1461
"Jonathan Brandis,Kenny Morrison,Clarissa Burt",1508,1462
"Samantha Mathis,Christian Slater,Robin Williams",1509,1463
"Jessalyn Gilsig,Cary Elwes,Andrea Corr",1510,1464
"Michelle Nicastro,Douglas Sills,Jake Williamson",1511,1465
"Joey Lawrence,Billy Joel,Cheech Marin",1512,1466
"Rupert Friend,Hannah Ware,Zachary Quinto",1513,1467
"Zac Efron,Wes Bentley,Emily Ratajkowski",1514,1468
"Victor Buono,James Gregory,James Earl Jones",1515,1469
"Grant Bardsley,Freddie Jones,Susan Sheridan",1516,1470
"Hilary Duff,Haylie Duff,Anjelica Huston",1517,1471
"Emma Roberts,Tate Donovan,Max Thieriot",1518,1472
"Hilary Duff,Heather Locklear,Aria Wallace",1519,1473
"Emilio Estevez,Jeffrey Nordling,David Selby",1520,1474
"Steve Guttenberg,Olivia d'Abo,Jay O. Sanders",1521,1475
"Thomas Ian Nicholas,Gary Busey,Albert Hall",1522,1476
"Rick Moranis,Ed O'Neill,Shawna Waldron",1523,1477
"Paige Turco,David Warner,Michelan Sisti",1524,1478
"Emilio Estevez,Kathryn Erbe,Michael Tucker",1525,1479
"Emilio Estevez,Joss Ackland,Lane Smith",1526,1480
"Brian Bonsall,Karen Duffy,James Rebhorn",1527,1481
"Jim Varney,Joey Zimmerman,Todd Bosley",1528,1482
"Jim Varney,Victoria Racimo,John Vernon",1529,1483
"Jim Varney,Eartha Kitt,Austin Nagler",1530,1484
"Diedrich Bader,Erika Eleniak,Jim Varney",1531,1485
"Jim Varney,Ron James,Tom Butler",1532,1486
"Jim Varney,Linda Kash,Jamie Bartlett",1533,1487
"Jim Varney,Gailard Sartain,Bill Byrge",1534,1488
"Pat Morita,Hilary Swank,Michael Ironside",1535,1489
"Sinbad,Brock Pierce,Blake Boyd",1536,1490
"Owen Wilson,Judy Greer,Lee Pace",1537,1491
"Will Arnett,Penélope Cruz,Zach Galifianakis",1538,1492
"Alec Baldwin,Tobey Maguire,Jeff Goldblum",1539,1493
"Jason Segel,Cameron Diaz,Rob Corddry",1540,1494
"Ice Cube,Kevin Hart,Tika Sumpter",1541,1495
"James Franco,Seth Rogen,Randall Park",1542,1496
"Amy Montgomery,Maggie Montgomery",1543,1497
"Kevin Hart,Josh Gad,Kaley Cuoco",1544,1498
"Nick Nolte,Eddie Murphy,Annette O'Toole",1545,1499
"Lucius Hoyos,Zoe Fraser,Marty Adams",1546,1500
"Eddie Murphy,Judge Reinhold,Jürgen Prochnow",1547,1501
"Susan Anspach,Bert Conway,William Douglas",1548,1502
"Eddie Murphy,Jon Tenney,Joey Travolta",1549,1503
"Paris Warner,Lisa Clark,Hailey Smith",1550,1504
"Paul Kaitson,Andrew Kaitson,Kelly Kaitson",1551,1505
"Art LaFleur,Kandis Erickson,Sean Mahon",1552,1506
"Luke Perry,Brooke Langton,Ariana Bagley",1553,1507
"Shannon Brown,Suzette Brown,Robyn Coffin",1554,1508
"John Schneider,Wendell Pierce,Ali Landry",1555,1509
"Melanie Alexander,Quinn Allman,Raphael Barker",1556,1510
"Richard Farnsworth,Melissa Gilbert,Michael Schoeffling",1557,1511
"Candi Brooks,Tina Davey,Aiden Flowers",1558,1512
"Gabriel Byrne,Lindze Letherman,Rachel Skarsten",1559,1513
"Annelyse Ahmad,Syndney Anderson,Bonnie Ball",1560,1514
"Eddie Murphy,Arsenio Hall,James Earl Jones",1561,1515
"Kay Panabaker,Don Johnson,Lori Loughlin",1562,1516
"Alex Hugh,Mickey Rooney,Jan Rooney",1563,1517
"Kris Kristofferson,Jodelle Ferland,Chelah Horsdal",1564,1518
"Peter Coyote,Jason London,Vivien Cardone",1565,1519
"Sarah Lieving,Aaron Johnson Araza,Jesse Bell",1566,1520
"John Cusack,Ione Skye,John Mahoney",1567,1521
"Billy Crudup,Patrick Fugit,Kate Hudson",1568,1522
"Glen Campbell,Kim Campbell,Ronald Petersen",1569,1523
"Steve Martin,Rachel Ward,Alan Ladd",1570,1524
"Keith Nagel,Sam Cohen,Sophie Sabatini",1571,1525
"Lorena Segura York,Garrett Westton,Bill Engvall",1572,1526
"Ellen Burstyn,Mackenzie Foy,Josh Lucas",1573,1527
"Steve Martin,Lily Tomlin,Victoria Tennant",1574,1528
"Alyssa Jewell,Andrew Jewell,Elizabeth Jewell",1575,1529
"Jacqueline Kim,James Urbaniak,Freya Adams",1576,1530
"Steve Martin,Kathleen Turner,David Warner",1577,1531
"Rodney Dangerfield,Joe Pesci,Geraldine Fitzgerald",1578,1532
"Dan Aykroyd,John Goodman,Walter Levine",1579,1533
"Omar Sharif,Julie Christie,Geraldine Chaplin",1580,1534
"Mark Wahlberg,Julianne Moore,Burt Reynolds",1581,1535
"Hugh Grant,Salma Hayek,Jeremy Piven",1582,1536
"Brandon Tyler Russell,Freddie James,Peter Fonda",1583,1537
"Clara Mamet,William H. Macy,Jared Gilman",1584,1538
"Thomas Horn,Josh Lucas,Mira Sorvino",1585,1539
"Maxwell Beer,Ryan Simpkins,Nimo Gandhi",1586,1540
"Kiernan Shipka,Kara Hayward,Meg Ryan",1587,1541
"Mae Whitman,Mira Sorvino,Ralph Macchio",1588,1542
"Winston Hibler,Volmer Sørensen",1589,1543
"Pedro Armendáriz,Joseph Calleia,Rodolfo Acosta",1590,1544
Winston Hibler,1591,1037
Winston Hibler,1592,1037
Winston Hibler,1593,1037
Winston Hibler,1594,1037
"Bruce Campbell,Sarah Berry,Dan Hicks",1595,1545
"Derek Ambrosi,Michael Ballhaus,Andrzej Bartkowiak",1596,1546
"Jodie Foster,Yun-Fat Chow,Bai Ling",1597,1547
"Marlon Wayans,Shawn Wayans,Shoshana Bush",1598,1548
"Mona Marshall,Wasabi Mizuta,Johnny Yong Bosch",1599,1549
"Woody Harrelson,Antonio Banderas,Lolita Davidovich",1600,1550
"Clint Eastwood,Kyle Eastwood,John McIntire",1601,1551
"Clint Eastwood,Isaiah Washington,LisaGay Hamilton",1602,1552
"Clint Eastwood,Jeff Daniels,Anjelica Huston",1603,1553
"Clint Eastwood,Tommy Lee Jones,Donald Sutherland",1604,1554
"Clint Eastwood,Meryl Streep,Annie Corley",1605,1555
"Johnny Depp,Rebecca Hall,Morgan Freeman",1606,1556
"Denzel Washington,Marton Csokas,Chloë Grace Moretz",1607,1557
"Kevin Costner,Sara Botsford,Paul Soles",1608,1558
"Shailene Woodley,Theo James,Kate Winslet",1609,1559
"Kevin Costner,Judd Nelson,Sam Robards",1610,1560
"Kevin Costner,David Marshall Grant,Rae Dawn Chong",1611,1561
"Biana Tamimi,Richard Romanus,Patrick Elyas",1612,1562
"Alex Michaeletos,Campbell Scott,Hope Davis",1613,1563
"Danny Glover,Ray Liotta,Denis Leary",1614,1564
"Alexis Bledel,Jonathan Jackson,Sissy Spacek",1615,1565
"Kevin Costner,Anthony Quinn,Madeleine Stowe",1616,1566
"Marshall Thompson,Betsy Drake,Richard Haydn",1617,1567
"Tchéky Karyo,Bart the Bear,Youk the Bear",1618,1568
"Virginia McKenna,Bill Travers,Geoffrey Keen",1619,1569
"Jeff Daniels,Anna Paquin,Dana Delany",1620,1570
"Kevin Costner,Ivana Baquero,Samantha Mathis",1621,1571
"Tony Curtis,Natalie Wood,Jack Lemmon",1622,1572
"Keke Palmer,John Leguizamo,Queen Latifah",1623,1573
"Gabrielle Union,Morris Chestnut,Queen Latifah",1624,1574
"Kevin Costner,Demi Moore,William Hurt",1625,1575
"Joan Allen,Kevin Costner,Erika Christensen",1626,1576
"Mel Gibson,Helen Hunt,Marisa Tomei",1627,1577
"Mel Gibson,Danny Glover,Joe Pesci",1628,107
"Mel Gibson,Julia Roberts,Patrick Stewart",1629,1578
"Eddie Murphy,Judge Reinhold,John Ashton",1630,1579
"Tim O'Leary,Ted Trent,Jane Wiedlin",1631,1580
"Thierry Amar,Efrim Menuck,Jessica Moss",1632,1581
"Mel Gibson,Gregg Henry,Maria Bello",1633,1582
"Mel Gibson,Danny Glover,Joe Pesci",1634,107
,1635,651
"Steven Seagal,Pam Grier,Henry Silva",1636,1583
"Steven Seagal,Kris Kristofferson,Marg Helgenberger",1637,1584
"Joanne McGee,Carol Goans,Stewart Carrico",1638,1585
"Steven Seagal,William Forsythe,Jerry Orbach",1639,1586
"Ben Weaver,Karmine Alers,S. Lue McWilliams",1640,1587
"Harry Bruton,Ray Carnay,Cody Curtis",1641,1588
"Steven Seagal,DMX,Isaiah Washington",1642,1589
"Steven Seagal,Eric Bogosian,Everett McGill",1643,1590
"Steven Seagal,Michael Caine,Joan Chen",1644,1591
"Steven Seagal,Takao Ohsawa,Juliette Marquis",1645,1592
"Asa Butterfield,Chloë Grace Moretz,Christopher Lee",1646,1593
"Jamie Bell,Andy Serkis,Daniel Craig",1647,1594
"Owen Wilson,Rachel McAdams,Kathy Bates",1648,1595
"Steven Seagal,Kelly LeBrock,William Sadler",1649,1596
"Steven Seagal,Keenen Ivory Wayans,Bob Gunton",1650,1597
"Heather Berman,Emma Therese Biegacki,Eva Carrozza",1651,1598
"Kurt Russell,Halle Berry,Steven Seagal",1652,1599
"Wesley Snipes,Diane Lane,Daniel Benzali",1653,1600
"Harrison Ford,Helen Mirren,River Phoenix",1654,1601
Marika Bournaki,1655,1602
,1656,651
Angela Sun,1657,1603
"Emelie Salinas,Leonila Salinas,Jose Antonio Vargas",1658,1604
,1659,651
"Li An,Elena Andrade,Petra Costa",1660,1605
,1661,651
"Gregory Peck,Robert Mitchum,Polly Bergen",1662,1606
"Tom Hanks,Mare Winningham,Craig T. Nelson",1663,1607
"Tom Hanks,Denzel Washington,Roberta Maxwell",1664,1608
"John Cleese,Jamie Lee Curtis,Kevin Kline",1665,1609
"Ryan Reynolds,Emily Mortimer,Stuart Townsend",1666,1610
"Rashida Jones,Andy Samberg,Elijah Wood",1667,1611
"Ioan Gruffudd,Albert Finney,Michael Gambon",1668,1612
"Tom Hanks,Barkhad Abdi,Barkhad Abdirahman",1669,1613
"Goldie Hawn,Eileen Brennan,Armand Assante",1670,1614
"Edward James Olmos,Rico Rodriguez,Cheech Marin",1671,1615
"Bill Murray,Richard Dreyfuss,Julie Hagerty",1672,1616
"Kelsey Grammer,Jeff Foxworthy,Johnny Orlando",1673,1617
,1674,651
"Nicolas Cage,Gary Sinise,John Heard",1675,1618
"Nicolas Cage,Nicole Kidman,Cam Gigandet",1676,1619
"Veronica Hamel,Jack Scalia,David Warner",1677,1620
"Amy Poehler,Diane Lane,Bill Hader",1678,1621
"Nicolas Cage,Malin Akerman,Josh Lucas",1679,1622
"Nicolas Cage,Bridget Fonda,Rosie Perez",1680,1623
"Nicolas Cage,Meg Ryan,Andre Braugher",1681,1624
"Elizabeth Daily,Christine Cavanaugh,Kath Soucie",1682,1625
"Christine Cavanaugh,Elizabeth Daily,Cheryl Chase",1683,1626
"Alex Evert,Leah Watson,Cassy Clayman",1684,1627
"Michael Keaton,Kelly Preston,Joseph Cross",1685,1628
"Bobby Coleman,Bobb'e J. Thompson,Christian Martyn",1686,1629
"Joe Mantegna,Anne Archer,Pierrino Mascarino",1687,1630
"Nicolas Cage,Elisabeth Shue,Julian Sands",1688,1631
"Gary Oldman,Jeroen Krabbé,Isabella Rossellini",1689,1632
"Mae Whitman,Lucy Hale,Timothy Dalton",1690,1633
"Michael Jai White,Scott Adkins,Ben Cross",1691,1634
"Jim Caviezel,Morgan Freeman,Ashley Judd",1692,1635
"Jim Fitzpatrick,Jodi Knotts,Jim Kelly",1693,1636
"Vince Vaughn,Kevin James,Winona Ryder",1694,1637
"Kristina Wayborn,Jim Fitzpatrick,Sally Kirkland",1695,1638
"Morgan Freeman,Ashley Judd,Cary Elwes",1696,1639
"Matt Dallas,Sal Landi,Jane Higginson",1697,1640
"Martin Sheen,Marlon Brando,Robert Duvall",1698,1641
"Ice Cube,Nia Long,Aleisha Allen",1699,1642
"Frankie Muniz,David Spade,Snoop Dogg",1700,1643
"Paul Walker,Jason Biggs,Bruce Greenwood",1701,1644
"Cuba Gooding Jr.,Lochlyn Munro,Richard Gant",1702,1645
"Michael Jeter,Kevin Zegers,Wendy Makkena",1703,1646
"Tia Carrere,Christopher Lloyd,Frank Collison",1704,1647
"Robert Downey Jr.,Rosario Dawson,Shia LaBeouf",1705,1648
"Sean Astin,Tim Curry,Russell Peters",1706,1649
"Ryan Phillippe,Abbie Cornish,Joseph Gordon-Levitt",1707,1650
"Frankie Shaw,Beverly D'Angelo,Shay Mitchell",1708,1651
"Britt Robertson,Eddie Murphy,Natascha McElhone",1709,1652
"Christina Ricci,Courteney Cox,Sharon Stone",1710,1653
"Scott Adkins,Mykel Shannon Jenkins,Mark Ivanir",1711,1654
"Sarah Jessica Parker,Jessica Biel,Ashton Kutcher",1712,1655
"Michael Jai White,Dean Geyer,Alex Meraz",1713,1656
"Abbie Cornish,Dermot Mulroney,Justin Long",1714,1657
"Haley Joel Osment,Michelle Trachtenberg,Camilla Luddington",1715,1658
"Kevin Smith,Jason Lee,Shannen Doherty",1716,1659
"Johnny Depp,Haley Joel Osment,Natasha Lyonne",1717,1660
"Michael Jai White,Julian Sands,Eamonn Walker",1718,1661
"Kevin Smith,Genesis Rodriguez,Harley Quinn Smith",1719,1662
"Sandra Bullock,Hugh Grant,Alicia Witt",1720,1663
"Shirley MacLaine,Olympia Dukakis,Sally Field",1721,1664
"Julia Roberts,Kirsten Dunst,Julia Stiles",1722,1665
"Hugh Grant,Julia Roberts,Richard McCabe",1723,1666
"Julia Roberts,Dermot Mulroney,Cameron Diaz",1724,1667
"Richard Gere,Julia Roberts,Jason Alexander",1725,1668
"Julia Roberts,Richard Gere,Joan Cusack",1726,1669
"Julia Roberts,John Cusack,Billy Crystal",1727,1670
"Julia Roberts,Campbell Scott,Vincent D'Onofrio",1728,1671
"Channing Tatum,Jenna Dewan Tatum,Damaine Radcliff",1729,1672
"Scarlett Johansson,Channing Tatum,Frances McDormand",1730,1673
"Alicia Vikander,Cara Delevingne,Holliday Grainger",1731,1674
"Al Pacino,Holly Hunter,Harmony Korine",1732,1675
"Natalie Portman,Ewan McGregor,Rodrigo Santoro",1733,1676
"Frances McDormand,Amy Adams,Ciarán Hinds",1734,1677
"Jessica Chastain,Colin Farrell,Samantha Morton",1735,1678
"Lochlann O'Mearáin,Ali Eagle,Dominique Roberts",1736,1679
"Naomi Watts,Jennifer Syme,Greg Freitas",1737,1680
"Lawrence Hilton-Jacobs,Bryan O'Dell,Renn Woods",1738,1681
"Sylvester Stallone,Michael B. Jordan,Tessa Thompson",1739,1682
"Melissa Rauch,Gary Cole,Haley Lu Richardson",1740,1683
"Al Pacino,Jessica Chastain,Kevin Anderson",1741,1684
"Brad Pitt,Angelina Jolie,Mélanie Laurent",1742,1685
"Rachel McAdams,Liev Schreiber,Mark Ruffalo",1743,1686
"Bryan Cranston,Elle Fanning,Diane Lane",1744,1687
"Chris Pine,Holliday Grainger,Ben Foster",1745,1688
"Jeremy Renner,Robert Patrick,Jena Sims",1746,1689
"Cote de Pablo,James Brolin,Lou Diamond Phillips",1747,1690
"Gerard Butler,Morgan Freeman,Charlotte Riley",1748,1691
"Shailene Woodley,Nicolas Cage,Scott Eastwood",1749,1692
"Halle Berry,Olivier Martinez,Ralph Brown",1750,1693
"Amy Adams,Christoph Waltz,Danny Huston",1751,1694
"Kevin Costner,Maria Bello,Ramiro Rodriguez",1752,1695
"Carey Mulligan,Matthias Schoenaerts,Michael Sheen",1753,1696
"Ben Stiller,Naomi Watts,Adam Driver",1754,1697
"Kenny Johnson,Erin Daniels,David Marciano",1755,1698
"Toni Collette,Anthony LaPaglia,Liev Schreiber",1756,1699
"Michael Sheen,Maria Bello,Kyle Gallner",1757,1700
"Jae Chae,Gigi Jhong,Bryan Kim",1758,1701
"Tom Hardy,Gary Oldman,Noomi Rapace",1759,1702
"Toni Collette,Thomas Haden Church,Nina Arianda",1760,1703
"Omar Epps,Tupac Shakur,Jermaine 'Huggy' Hopkins",1761,1704
"Vanessa Williams,Vivica A. Fox,Nia Long",1762,1705
"Allen Payne,Jada Pinkett Smith,Bokeem Woodbine",1763,1706
"AlexSandra Wright,Tyrese Gibson,Taraji P. Henson",1764,1707
"Ice Cube,Chris Tucker,Nia Long",1765,1708
"Tyrin Turner,Larenz Tate,June Kyoto Lu",1766,1709
"Duane Martin,Tupac Shakur,Leon",1767,1710
"Kevin Hart,Taraji P. Henson,Will 'Spank' Horton",1768,1711
"Larenz Tate,Nia Long,Isaiah Washington",1769,1712
"Janet Jackson,Tupac Shakur,Regina King",1770,1713
"Wesley Snipes,Ice-T,Allen Payne",1771,1714
"Byron Minns,Glenn Plummer,Lexie Bigham",1772,1715
"Larenz Tate,Keith David,Chris Tucker",1773,1716
"Jim Carrey,Ed Harris,Laura Linney",1774,1717
"Brad Pitt,Edward Norton,Helena Bonham Carter",1775,1718
"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",1776,1719
"Peter Sellers,George C. Scott,Sterling Hayden",1777,1720
"Harrison Ford,Rutger Hauer,Sean Young",1778,1721
"Marlon Brando,Al Pacino,James Caan",1779,1722
"Tom Hanks,Matt Damon,Tom Sizemore",1780,1723
"Liam Neeson,Ralph Fiennes,Ben Kingsley",1781,1724
"Rebekah Brandes,Daniel Bonjour,Greg Cirulnick",1782,1725
"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page",1783,1726
"Charlie Sheen,Tom Berenger,Willem Dafoe",1784,1727
"Robert De Niro,Ray Liotta,Joe Pesci",1785,1728
"Clint Eastwood,Bee Vang,Christopher Carley",1786,1729
"Leonardo DiCaprio,Jonah Hill,Margot Robbie",1787,1730
"Brad Pitt,Eric Bana,Orlando Bloom",1788,1731
"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",1789,1732
"Christian Bale,Heath Ledger,Aaron Eckhart",1790,1733
"Uma Thurman,David Carradine,Daryl Hannah",1791,1734
"John Cusack,Paul Dano,Elizabeth Banks",1792,1735
"Tim Robbins,Morgan Freeman,Bob Gunton",1793,1736
"Uma Thurman,David Carradine,Michael Madsen",1794,1737
"Andrew Pozza,Liddy Bisanz,Donny Boaz",1795,1738
"Russell Crowe,Ed Harris,Jennifer Connelly",1796,1739
"Donald Sutherland,Mary Tyler Moore,Judd Hirsch",1797,1740
"Robert De Niro,Cathy Moriarty,Joe Pesci",1798,1741
"Paul Newman,Robert Redford,Robert Shaw",1799,1742
"Paul Newman,Robert Redford,Katharine Ross",1800,1743
"Paul Newman,George Kennedy,Strother Martin",1801,1744
"Yul Brynner,Steve McQueen,Charles Bronson",1802,1745
"Clint Eastwood,Gene Hackman,Morgan Freeman",1803,1746
"James Stewart,Jean Arthur,Claude Rains",1804,1747
"Steve McQueen,Dustin Hoffman,Victor Jory",1805,1748
"James Franco,Jonah Hill,Felicity Jones",1806,1749
"Sidney Poitier,Rod Steiger,Warren Oates",1807,1750
"Gene Kelly,Leslie Caron,Oscar Levant",1808,1751
"Leslie Caron,Maurice Chevalier,Louis Jourdan",1809,1752
"Shirley MacLaine,Debra Winger,Jack Nicholson",1810,1753
"Judi Dench,Maggie Smith,Bill Nighy",1811,1754
"Renée Zellweger,Catherine Zeta-Jones,Richard Gere",1812,1755
"George C. Scott,Karl Malden,Stephen Young",1813,1756
"Meryl Streep,Robert Redford,Klaus Maria Brandauer",1814,1757
"Dustin Hoffman,Jon Voight,Sylvia Miles",1815,1758
"Harrison Ford,Cate Blanchett,Shia LaBeouf",1816,1759
"Diane Keaton,Morgan Freeman,Cynthia Nixon",1817,1760
"Bill Farmer,Jason Marsden,Jim Cummings",1818,1761
"Eli Marienthal,Harry Connick Jr.,Jennifer Aniston",1819,1762
"Jennifer Lopez,Michael Vartan,Jane Fonda",1820,1763
"Jennifer Lopez,Alex O'Loughlin,Michaela Watkins",1821,1764
"Reese Witherspoon,Patrick Dempsey,Josh Lucas",1822,1765
"Kate Hudson,Dane Cook,Jason Biggs",1823,1766
"Jennifer Aniston,Gerard Butler,Gio Perez",1824,1767
"Kate Hudson,Owen Wilson,Matt Dillon",1825,1768
"Patrick Swayze,Demi Moore,Whoopi Goldberg",1826,1769
"Robert Duvall,Téa Leoni,Elijah Wood",1827,1770
"Joel McHale,Mike Epps,Jane Krakowski",1828,1771
"Matthew J. Munn,Nika Futterman,Matthew W. Taylor",1829,1772
"Anna Faris,Colin Hanks,Emma Stone",1830,1773
"Christoph Waltz,Lucas Hedges,Mélanie Thierry",1831,1774
"Jackie Chan,Owen Wilson,Fann Wong",1832,1775
"Katie Cassidy,Garret Dillahunt,Michelle Trachtenberg",1833,1776
"Tom Cruise,Colin Farrell,Samantha Morton",1834,1777
"Ben Affleck,Aaron Eckhart,Uma Thurman",1835,1778
"Charlie Sheen,Lindsay Crouse,Richard Schiff",1836,1779
"Dennis Quaid,Zac Efron,Kim Dickens",1837,1780
"Simon Abkarian,Angela Sarafyan,Sam Page",1838,1781
"Kate McNeil,Eileen Davidson,Janis Ward",1839,1782
"Pamela Springsteen,Tracy Griffith,Michael J. Pollard",1840,1783
Paul Schaefer,1841,1784
"Michelle Michaels,Robin Stille,Michael Villella",1842,1785
"Greg Evigan,Nancy Everhard,Taurean Blacque",1843,1786
"Bridget Fonda,Bill Pullman,Oliver Platt",1844,1787
"Treat Williams,Famke Janssen,Anthony Heald",1845,1788
"Jack Black,Shirley MacLaine,Matthew McConaughey",1846,1789
"Jamie Lee Curtis,William Baldwin,Donald Sutherland",1847,1790
"Peter Weller,Jennifer Dale,Lawrence Dane",1848,1791
"Penelope Ann Miller,Tom Sizemore,Linda Hunt",1849,1792
"Brian Jannelle,Adrian Guillette,Arthur Smith",1850,1793
"Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn",1851,1794
"Steve Railsback,Mathilda May,Peter Firth",1852,1795
"Peter Weller,Belinda Bauer,John Glover",1853,1796
"Rutger Hauer,Mimi Rogers,Joan Chen",1854,1797
"Ashley Judd,Michael Shannon,Harry Connick Jr.",1855,1798
"Roy Scheider,Warren Oates,Candy Clark",1856,1799
"James Farentino,Melody Anderson,Jack Albertson",1857,1800
"Sandra Dee,Dean Stockwell,Ed Begley",1858,1801
"Linden Chiles,Matthew Greene,Evelyn Hammid",1859,1802
"Jon Finch,Blake Adams,Ashley Laurence",1860,1803
"Mark LaCour,Tim Verkaik,Eddie Moore",1861,1804
"Matthew McConaughey,Woody Harrelson,Willie Nelson",1862,1805
"Brad Pitt,Ray Liotta,Richard Jenkins",1863,1806
"Michael Shannon,Jessica Chastain,Shea Whigham",1864,1807
"Rita Hayworth,Glenn Ford,George Macready",1865,1808
"Bill Paxton,Matthew McConaughey,Powers Boothe",1866,1809
"Jack Lemmon,Ted Danson,Olympia Dukakis",1867,1810
"Joaquin Phoenix,Amy Adams,Scarlett Johansson",1868,1811
"Jason Schwartzman,John Leguizamo,Patrick Fugit",1869,1812
"Tim Streeter,Doug Cooeyate,Ray Monge",1870,1813
"River Phoenix,Keanu Reeves,James Russo",1871,1814
"Elias McConnell,Alex Frost,Eric Deulen",1872,1815
"Uma Thurman,Lorraine Bracco,Pat Morita",1873,1816
"Gabe Nevins,Daniel Liu,Taylor Momsen",1874,1817
"Vincent Gallo,Christina Ricci,Ben Gazzara",1875,1818
"Nicole Kidman,Matt Dillon,Joaquin Phoenix",1876,1819
"Michael Pitt,Lukas Haas,Asia Argento",1877,1820
"Matt Dillon,Jim Metzler,Meg Tilly",1878,1821
"Matt Dillon,Mickey Rourke,Diane Lane",1879,1822
"Casey Affleck,Matt Damon",1880,1823
"Judith Malina,Danijela Stajnfeld,Jack Engelhard",1881,1824
"Balthazar Getty,Chris Furrh,Danuel Pipoly",1882,1825
"Colin O'Donoghue,Anthony Hopkins,Ciarán Hinds",1883,1826
"Ewan McGregor,Naomi Watts,Ryan Gosling",1884,1827
"Matthew McConaughey,Bill Paxton,Harvey Keitel",1885,1828
"Christian Bale,Steve Zahn,Jeremy Davies",1886,1829
"Christian Bale,Sean Bean,Emily Watson",1887,1830
"Kevin Costner,Jeanne Tripplehorn,Dennis Hopper",1888,1831
"Russell Crowe,Christian Bale,Ben Foster",1889,1832
"Samuel L. Jackson,Vanessa Williams,Christian Bale",1890,1833
"Radha Mitchell,Cole Hauser,Vin Diesel",1891,1834
"Christian Bale,Michael Caine,Ken Watanabe",1892,1835
"Matthew McConaughey,Sandra Bullock,Samuel L. Jackson",1893,1836
"Bruce Willis,Radha Mitchell,Ving Rhames",1894,1837
"Christian Bale,Eva Longoria,Freddy Rodríguez",1895,1838
"Daniel Radcliffe,Emma Watson,Rupert Grint",1896,142
"Roy Scheider,Robert Shaw,Richard Dreyfuss",1897,1839
"Jeff Goldblum,Julianne Moore,Pete Postlethwaite",1898,1840
"Bruce Dern,Will Forte,June Squibb",1899,1841
"Sam Neill,William H. Macy,Téa Leoni",1900,1842
"Bruce Willis,William Atherton,Bonnie Bedelia",1901,1843
"Bruce Willis,Justin Long,Timothy Olyphant",1902,1844
"Dustin Hoffman,Laurence Olivier,Roy Scheider",1903,1845
"Naomi Watts,Jack Black,Adrien Brody",1904,1846
"Nichelle Nichols,Ethan Keogh,Susan Smythe",1905,1847
"Kaleb Shorey,Nick Sommer,Stephanie Leigh Rose",1906,1848
"L.M. Kit Carson,Eileen Dietz,Louise Levine",1907,1849
"Wallace Ford,Leila Hyams,Olga Baclanova",1908,1850
"Robert Armstrong,Helen Mack,Frank Reicher",1909,1851
"Ana Claudia Talancón,Colin Hanks,Jordana Spiro",1910,1852
"Larry C. Brubaker,Todd Cobery,Linda Flanders",1911,1853
"Jeff Bridges,Charles Grodin,Jessica Lange",1912,1854
