journal_title,journal_issn,original_index,unique_index
Cancer Epidemiology Biomarkers and Prevention,,629,490
,,630,3
,,631,3
Onkologie,0378-584X,632,491
Rheumatology (United Kingdom),1462-0324,633,492
,,634,3
Neurol Res,0161-6412 (Print) 0161-6412,635,493
Helicobacter,1523-5378,636,494
Haematologica,0390-6078,637,147
The Australian journal of rural health,1440-1584,638,495
,,639,3
Journal of medicinal chemistry,1520-4804,640,496
Journal of Women's Health (15409996),1540-9996,641,497
"Public health nursing (Boston, Mass.)",1525-1446,642,498
Circulation,1524-4539,643,499
Acta dermato-venereologica,Jan-55,644,500
,,645,3
Protein science : a publication of the Protein Society,1469-896X,646,501
"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",0889-5406,647,502
"JAAPA: Journal of the American Academy of Physician Assistants (Haymarket Media, Inc.)",1547-1896,648,503
American journal of infection control,0196-6553,649,504
Journal of Aging & Physical Activity,1063-8652,650,505
"Hepatology (Baltimore, Md.)",1527-3350,651,506
Microb Drug Resist,1076-6294 (Print)     1076-6294,652,507
Stroke; a journal of cerebral circulation,0039-2499,653,508
J Grad Med Educ,1949-8349 (Print)     1949-8357,654,509
Health & Social Work,0360-7283,655,510
"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",1460-2385,656,168
Oral oncology,1879-0593,657,511
Stroke; a journal of cerebral circulation,1524-4628,658,512
Current drug targets,1873-5592,659,513
Epilepsy research,1872-6844,660,514
,,661,3
The Journal of heart valve disease,0966-8519,662,515
PLoS One,1932-6203,663,25
Academic radiology,1878-4046,664,516
,,665,3
Chinese Journal of Evidence-Based Medicine,1672-2531,666,517
American Journal of Education,0195-6744,667,518
Cases J,1757-1626,668,519
,,669,3
,,670,3
,,671,3
Acta Derm.-Venereol.,-9262,672,520
Environmental monitoring and assessment,1573-2959,673,521
Acta Neurol Scand,Jan-14,674,522
,,675,3
,,676,3
,,677,3
,,678,3
Journal of Experimental Psychology: General,0096-3445,679,523
Science and Children,"0036-8148, 0036-8148",680,524
Basic and Clinical Pharmacology and Toxicology,,681,525
Health Education Research,0268-1153,682,526
Infection and immunity,0019-9567,683,527
,,684,3
Photomedicine and laser surgery,1557-8550,685,528
Eastern Mediterranean Health Journal,1020-3397,686,529
J Bone Joint Surg Am,0021-9355 (Print),687,530
"Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics",1528-395X,688,531
,,689,3
Clinical radiology,Sep-60,690,532
Vaccine,,691,533
FASEB Journal. Conference: Experimental Biology,,692,534
Blood pressure monitoring,1473-5725,693,535
Psicothema,0214-9915,694,536
Am J Public Health,1541-0048,695,537
J Anal Toxicol,0146-4760 (Print) 0146-4760,696,538
Energy Policy,0301-4215,697,296
,,698,3
Business Wire,,699,539
,,700,3
"Respirology (Carlton, Vic.)",1440-1843,701,540
Cochrane Database Syst Rev,1469-493X,702,15
,,703,3
BioMed research international,2314-6141,704,289
J Appl Physiol,0021-8987 (Print)     0021-8987,705,541
Annals of medicine,1365-2060,706,542
European journal of clinical nutrition,0954-3007,707,543
Journal of personality and social psychology,0022-3514,708,544
J Hand Surg Am,0363-5023,709,545
Physiotherapy Theory and Practice,09593985 (ISSN),710,546
,,711,3
BMC neurology,1471-2377,712,547
,,713,3
Nicotine & Tobacco Research,1462-2203,714,548
Pharmacy practice,1885-642X,715,549
NeuroRehabilitation,1053-8135,716,550
Microsurgery,1098-2752,717,551
International Journal of Neuroscience,0020-7454,718,552
Bjog,1470-0328 (Print) 1470-0328,719,553
Behaviour Research and Therapy,,720,554
J Pediatr (Rio J),0021-7557,721,555
Journal of Cardiovascular Electrophysiology,,722,556
Molecular plant pathology,1364-3703,723,557
,,724,3
,,725,3
,,726,3
,,727,3
Bioelectromagnetics,1521-186X,728,558
Journal of Mathematics Teacher Education,"1386-4416, 1386-4416",729,559
,,730,3
Occupational and environmental medicine,1470-7926,731,560
J. Clin. Psychiatry,0160-6689,732,561
,,733,3
"Violencia contra a crianca: revelando o perfil dos atendimentos em servicos de emergencia, Brasil, 2006 e 2007.",1678-4464,734,562
Birth,1523-536X,735,563
Journal of addictive diseases,1545-0848,736,564
Psychosomatic medicine,0033-3174,737,565
J. Clin. Oncol.,0732-183X,738,566
J Hosp Infect,0195-6701 (Print) 0195-6701,739,567
Australian and New Zealand Journal of Psychiatry,Apr-74,740,568
,,741,3
,,742,3
,,743,3
DEV. BIOL. STAND.,0301-5149,744,569
Circulation,Sep-22,745,570
Ann Rheum Dis,Mar-67,746,571
,,747,3
Hawaii J Med Public Health,2165-8242,748,572
"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz",1437-1588,749,573
,,750,3
Diabetes forecast,0095-8301,751,574
,,752,3
Biomedical reports,2049-9434,753,575
Nihon Koshu Eisei Zasshi,0546-1766 (Print) 0546-1766,754,576
Am J Health Syst Pharm,1079-2082 (Print) 1079-2082,755,577
Oncology nursing forum,0190-535X,756,578
,,757,3
Nurs Stand,0029-6570 (Print) 0029-6570,758,579
Value Health,1098-3015,759,580
EXPERIMENTAL CELL RESEARCH,,760,581
Leukemia & Lymphoma,1042-8194,761,582
RADIOLOGY,0033-8419,762,583
,,763,3
Headache,1526-4610,764,584
Res Nurs Health,1098-240X,765,585
,,766,3
No shinkei geka. Neurological surgery,0301-2603,767,586
Circulation journal : official journal of the Japanese Circulation Society,1347-4820,768,587
PLoS One,1932-6203,769,25
Pr̩vention de l'insuffisance r̩nale induite par les produits de contrnste iodes,0221-0363,770,588
Ann. Hematol.,0939-5555,771,589
Journal of the National Cancer Institute,1460-2105,772,158
"AIDS (London, England)",1473-5571,773,590
"Oral surgery, oral medicine, and oral pathology",0030-4220,774,591
Arch Intern Med,0003-9926 (Print) 0003-9926,775,592
,,776,3
,,777,3
,,778,3
Operative dentistry,0361-7734,779,593
Mov Disord,0885-3185,780,594
Psychological assessment,1939-134X,781,595
,,782,3
Turkish Online Journal of Educational Technology - TOJET,1303-6521,783,596
Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,1592-7830,784,452
European Journal of Cancer,,785,597
Indian Journal of Psychiatry,,786,598
Stomatologii��a,0039-1735,787,599
BMC medicine,1741-7015,788,600
,,789,3
"Oral surgery, oral medicine, oral pathology and oral radiology",2212-4411,790,601
"Journal of cardiovascular medicine (Hagerstown, Md.)",1558-2035,791,348
"Exposicion severa a plomo ambiental en una poblacion infantil de Antofagasta, Chile.",0034-9887,792,602
Critical Care Nurse,,793,603
"Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine",0969-8043,794,604
Journal of clinical epidemiology,1878-5921,795,605
,,796,3
J Hand Surg Am,0363-5023,797,545
,,798,3
European journal of preventive cardiology,2047-4881,799,606
Journal of the National Cancer Institute,1460-2105,800,158
Alcohol Research & Health,1535-7414,801,607
,,802,3
European Journal of Cancer Care,0961-5423,803,608
Brain and Language,0093-934X,804,609
Chin. J. Evid.-Based Med.,1672-2531,805,610
Angewandte Chemie (International ed. in English),1521-3773,806,611
Cardiology in the young,1467-1107,807,207
Issues Ment Health Nurs,1096-4673,808,612
Das Mikorklima der Wohnungen und seine hygienische Normierung.,0049-8610,809,613
,,810,3
,,811,3
,,812,3
Acta clinica Belgica,1784-3286,813,614
Journal of Biological Chemistry,0021-9258,814,615
,,815,3
Journal of Oral & Maxillofacial Surgery,,816,616
Acta Endocrinologica. Supplementum,0300-9750,817,617
,,818,3
Crit. Care Med.,0090-3493,819,618
,,820,3
"Obesity (Silver Spring, Md.)",1930-739X,821,619
,,822,3
JAMA internal medicine,2168-6114,823,620
Journal of hypertension,1473-5598,824,621
Thorax,1468-3296,825,622
International Medicine & Health Guidance News [Guo Ji Yi Yao Wei Sheng Dao Bao],,826,623
Journal of the American Geriatrics Society,1532-5415,827,624
,,828,3
World journal for pediatric & congenital heart surgery,2150-136X,829,625
,,830,3
CANCER,0008-543X,831,61
,,832,3
The American journal of medicine,1555-7162,833,626
Intensive care medicine,0342-4642,834,627
Clinical & Translational Oncology: Official Publication of the Federation of Spanish Oncology Societes & of the National Cancer Institute of Mexico,,835,628
Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,0884-0431,836,629
Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology,1399-3038,837,630
"Shock (Augusta, Ga.)",1540-0514,838,631
,,839,3
,,840,3
The New England journal of medicine,1533-4406,841,632
Foot Ankle Int,1071-1007 (Print) 1071-1007,842,633
Military Medicine,,843,634
,,844,3
Focus on Alternative and Complementary Therapies,,845,135
Int J Surg,1743-9159,846,635
,,847,3
Ann Rheum Dis,Mar-67,848,571
,,849,3
International Journal of Oral & Maxillofacial Implants,0882-2786,850,636
,,851,3
Circulation,Sep-22,852,570
Human gene therapy,1043-0342,853,637
Respiration; international review of thoracic diseases,1423-0356,854,638
,,855,3
,,856,3
Circulation,Sep-22,857,570
Pediatrics,,858,312
Value in Health,,859,482
European respiratory journal,,860,639
Oral diseases,1601-0825,861,640
Prediccion de la masa muscular apendicular esqueletica basado en mediciones antropometricas en Adultos Mayores Chilenos.,1699-5198,862,641
"Tratamiento antibiotico intravenoso domiciliario del absceso hepatico: seguridad, eficacia y factores pronosticos de reingreso hospitalario.",0025-7753,863,642
,,864,3
Pediatrics,1098-4275,865,643
Cochrane Database Syst. Rev.,1469-493X,866,42
Cancer chemotherapy and pharmacology,1432-0843,867,90
Japanese Journal of Clinical Oncology,,868,644
,,869,3
Pediatric Infectious Disease Journal,,870,645
Bmj Open,2044-6055,871,646
The Behavioral and brain sciences,0140-525X,872,647
,,873,3
Archives of gynecology and obstetrics,1432-0711,874,648
,,875,3
,,876,3
,,877,3
Psychological medicine,1469-8978,878,649
Academic Medicine: Journal Of The Association Of American Medical Colleges,1040-2446,879,650
Nepal Medical College journal : NMCJ,,880,67
Journal of Psychopharmacology,,881,651
Cost Effectiveness and Resource Allocation,1478-7547 (electronic),882,652
Nippon Seikeigeka Gakkai zasshi,,883,653
"Basic Rights: Subsistence, Affluence and U.S. Foreign Policy",,884,654
,,885,3
,,886,3
Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,1522-726X,887,478
PLoS One,1932-6203,888,25
Pain practice,,889,655
"Child: Care, Health & Development",0305-1862,890,656
J Hand Surg Am,0363-5023,891,545
,,892,3
The European respiratory journal,1399-3003,893,657
,,894,3
Sci Eng Ethics,1353-3452 (Print)     1353-3452,895,658
British journal of clinical pharmacology,0306-5251,896,659
,,897,3
,,898,3
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,1537-6591,899,660
Anesthesiology,Mar-22,900,661
,,901,3
Reviews in endocrine & metabolic disorders,1573-2606,902,662
Autonomic Neuroscience: Basic and Clinical,1566-0702,903,663
Chest,1931-3543,904,664
Hospital practice (1995),,905,665
ProQuest LLC,978-1-2673-2110-7,906,165
The journal of ECT,1533-4112,907,666
Integrative Physiological and Behavioral Science,1053881X (ISSN),908,667
Cancer,1097-0142,909,328
Proceedings of the National Academy of Sciences of the United States of America,0027-8424,910,668
PLoS medicine,,911,669
Psychology of Women Quarterly,"0361-6843, Print 1471-6402, Electronic",912,670
European journal of radiology,1872-7727,913,671
Psycho-oncology,1099-1611,914,672
Bioelectromagnetics,1521-186X,915,558
,,916,3
Journal of the American College of Cardiology,1558-3597,917,673
Anaesthesia,Mar-09,918,674
JAMA neurology,2168-6157,919,675
La Pediatria medica e chirurgica : Medical and surgical pediatrics,0391-5387,920,676
Drug Topics,,921,677
European respiratory journal,,922,639
J. Chin. Integr. Med.,1672-1977,923,678
European Journal Of Anaesthesiology,1365-2346,924,456
Functional Neurology,0393-5264,925,140
Medical Teacher,"1466-187X, Electronic 0142-159X, Print",926,679
Pediatrics,,927,312
,,928,3
Neurosurgical Focus,1092-0684,929,680
International journal of medical informatics,1872-8243,930,681
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,1527-7755,931,20
,,932,3
,,933,3
,,934,3
JRSM open,2054-2704,935,682
Am J Crit Care,1062-3264 (Print)     1062-3264,936,683
J Surg Res,0022-4804,937,684
Clin Nutr,0261-5614,938,685
Chronic Illness,"1742-3953, 1742-3953",939,686
Pharmacogenomics,,940,687
Tech Coloproctol,1123-6337 (Print) 1123-6337,941,688
Am. J. Ther.,-5990,942,689
Aging Ment Health,1364-6915,943,690
Journal of environmental monitoring : JEM,1464-0325,944,691
,,945,3
Journal of Consulting and Clinical Psychology,,946,178
,,947,3
,,948,3
,,949,3
PloS one,1932-6203,950,692
,,951,3
,,952,3
International journal of obesity (2005),1476-5497,953,435
Neuropsychopharmacology,0893-133X,954,693
J. Thromb. Haemost.,1538-7933,955,694
Journal of Environmental Psychology,0272-4944,956,695
Current opinion in pediatrics,1531-698X,957,696
Annals of internal medicine,1539-3704,958,295
European journal of pediatrics,1432-1076,959,697
Journal of Rheumatology,,960,698
Phytotherapy research : PTR,0951-418X,961,699
Gait & Posture,0966-6362 DO  - http://dx.doi.org/10.1016/j.gaitpost.2010.04.002,962,700
Current Opinion in Infectious Diseases,0951-7375,963,701
Brain and behavior,2162-3279,964,702
"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",1535-5667,965,703
Laryngo- rhino- otologie,0935-8943,966,704
Journal of health care for the poor and underserved,1049-2089,967,705
Acta paediatrica Scandinavica. Supplement,0300-8843,968,706
Journal of Neurotrauma,,969,707
Pain Practice,,970,708
JOURNAL OF CELL BIOLOGY,0021-9525,971,709
Am. J. Cardiovasc. Drugs,1175-3277,972,710
Planta,1432-2048,973,711
Surgical infections,1557-8674,974,712
Steroids,1878-5867,975,713
,,976,3
The Journal of antimicrobial chemotherapy,1460-2091,977,714
GeneReviews(R),,978,715
Endocrinology,1945-7170,979,182
Proceedings of SPIE - The International Society for Optical Engineering,,980,716
Clin Obstet Gynecol,0009-9201 (Print) 0009-9201,981,717
Int J Epidemiol,0300-5771 (Print) 0300-5771,982,718
Am J Clin Nutr,Feb-65,983,341
Biology of Blood and Marrow Transplantation,1083-8791,984,719
British Journal of Anaesthesia,0007-0912,985,720
,,986,3
J Hum Hypertens,0950-9240 (Print) 0950-9240,987,721
,,988,3
"Acta radiologica (Stockholm, Sweden : 1987)",1600-0455,989,722
Am J Clin Nutr,Feb-65,990,341
American journal of respiratory and critical care medicine,1535-4970,991,723
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,1423-0380,992,241
CLINICAL TRIALS,,993,724
Burns : journal of the International Society for Burn Injuries,0305-4179,994,725
Am Rev Respir Dis,0003-0805 (Print) 0003-0805,995,726
Review of Scientific Instruments,,996,727
Female pelvic medicine & reconstructive surgery,2154-4212,997,728
International Journal of Colorectal Disease,-4473,998,729
European Journal of Health Economics,,999,730
