style,brewery-name,original_index,unique_index
American Pale Ale (APA),Chapman's Brewing,587,451
English Brown Ale,Chapman's Brewing,588,452
American Strong Ale,Chatham Brewing,589,453
Märzen / Oktoberfest,Chatham Brewing,590,454
American IPA,Cheboygan Brewing Company,591,455
Fruit / Vegetable Beer,Cheboygan Brewing Company,592,456
Altbier,Cheboygan Brewing Company,593,457
American Double / Imperial IPA,Christian Moerlein Brewing Company,594,458
American Pilsner,Churchkey Can Company,595,459
Cider,Ciderboys,596,460
Cider,Ciderboys,597,460
Bock,Cigar City Brewing Company,598,461
American IPA,Cigar City Brewing Company,599,462
American Black Ale,Cigar City Brewing Company,600,463
American Brown Ale,Cigar City Brewing Company,601,464
Märzen / Oktoberfest,Cigar City Brewing Company,602,465
American Porter,Cigar City Brewing Company,603,466
American IPA,Cigar City Brewing Company,604,462
American IPA,Cigar City Brewing Company,605,462
American IPA,Cigar City Brewing Company,606,462
American Pale Ale (APA),Cigar City Brewing Company,607,467
American IPA,Cigar City Brewing Company,608,462
American IPA,Cigar City Brewing Company,609,462
American IPA,Cigar City Brewing Company,610,462
American Pale Ale (APA),Cigar City Brewing Company,611,467
American Pale Wheat Ale,Cigar City Brewing Company,612,468
American IPA,Cigar City Brewing Company,613,462
American IPA,Cigar City Brewing Company,614,462
American Porter,Cigar City Brewing Company,615,466
American Pale Ale (APA),Cigar City Brewing Company,616,467
English Brown Ale,Cigar City Brewing Company,617,469
American Brown Ale,Cigar City Brewing Company,618,464
Munich Helles Lager,Cigar City Brewing Company,619,470
American Amber / Red Ale,Cigar City Brewing Company,620,471
American IPA,Cigar City Brewing Company,621,462
Witbier,Cigar City Brewing Company,622,472
Light Lager,Cisco Brewers,623,473
Pumpkin Ale,Cisco Brewers,624,474
Witbier,Cisco Brewers,625,475
Munich Helles Lager,Cisco Brewers,626,476
American IPA,Cisco Brewers,627,477
Light Lager,Cisco Brewers,628,473
English Pale Ale,Cisco Brewers,629,478
American IPA,Claremont Craft Ales,630,479
American Black Ale,Coalition Brewing Company,631,480
American Pale Wheat Ale,Coalition Brewing Company,632,481
American Blonde Ale,Coastal Empire Beer Company,633,482
American Brown Ale,Coastal Empire Beer Company,634,483
Kölsch,Coastal Extreme Brewing Company,635,484
American IPA,Coastal Extreme Brewing Company,636,485
American Amber / Red Ale,Coastal Extreme Brewing Company,637,486
American Amber / Red Ale,Coastal Extreme Brewing Company,638,486
Fruit / Vegetable Beer,College Street Brewhouse and Pub,639,487
American IPA,Confluence Brewing Company,640,488
German Pilsener,Confluence Brewing Company,641,489
American Blonde Ale,Confluence Brewing Company,642,490
American Pilsner,Core Brewing & Distilling Company,643,491
American Amber / Red Ale,Core Brewing & Distilling Company,644,492
Oatmeal Stout,Core Brewing & Distilling Company,645,493
Extra Special / Strong Bitter (ESB),Core Brewing & Distilling Company,646,494
American Pale Lager,Cottrell Brewing,647,495
Kölsch,Covington Brewhouse,648,496
American Blonde Ale,Crabtree Brewing Company,649,497
Oatmeal Stout,Crabtree Brewing Company,650,498
American Black Ale,Crabtree Brewing Company,651,499
American Pale Ale (APA),Crazy Mountain Brewing Company,652,500
Belgian Strong Pale Ale,Crazy Mountain Brewing Company,653,501
American Stout,Crazy Mountain Brewing Company,654,502
American Amber / Red Ale,Crazy Mountain Brewing Company,655,503
American Amber / Red Ale,Crazy Mountain Brewing Company,656,503
Witbier,Crazy Mountain Brewing Company,657,504
American Pale Ale (APA),Crazy Mountain Brewing Company,658,500
American Amber / Red Ale,Crazy Mountain Brewing Company,659,503
American IPA,Creature Comforts,660,505
Berliner Weissbier,Creature Comforts,661,506
American Blonde Ale,Crooked Fence Brewing Company,662,507
American Porter,Crooked Fence Brewing Company,663,508
American Pale Ale (APA),Crooked Fence Brewing Company,664,509
American Amber / Red Ale,Crow Peak Brewing Company,665,510
Herbed / Spiced Beer,Crow Peak Brewing Company,666,511
American Brown Ale,Crow Peak Brewing Company,667,512
American Blonde Ale,Crow Peak Brewing Company,668,513
Cream Ale,Crow Peak Brewing Company,669,514
American Porter,Crow Peak Brewing Company,670,515
American IPA,Crow Peak Brewing Company,671,516
American Amber / Red Ale,Crystal Springs Brewing Company,672,517
Kölsch,Crystal Springs Brewing Company,673,518
American Blonde Ale,Cutters Brewing Company,674,519
Witbier,Cutters Brewing Company,675,520
Scottish Ale,Cutters Brewing Company,676,521
American IPA,Cutters Brewing Company,677,522
English Pale Ale,D.L. Geary Brewing Company,678,523
Kölsch,D.L. Geary Brewing Company,679,524
Scotch Ale / Wee Heavy,DC Brau Brewing Company,680,525
American Blonde Ale,DC Brau Brewing Company,681,526
Hefeweizen,DC Brau Brewing Company,682,527
American Porter,DC Brau Brewing Company,683,528
American Double / Imperial IPA,DC Brau Brewing Company,684,529
American IPA,DC Brau Brewing Company,685,530
Belgian Pale Ale,DC Brau Brewing Company,686,531
American Pale Ale (APA),DC Brau Brewing Company,687,532
American IPA,Dad & Dude's Breweria,688,533
American IPA,Dad & Dude's Breweria,689,533
American IPA,Daredevil Brewing Company,690,534
American Pale Lager,Dave's Brewfarm,691,535
American Blonde Ale,David's Ale Works,692,536
American Pale Ale (APA),David's Ale Works,693,537
American Amber / Red Ale,Dead Armadillo Craft Brewing,694,538
Euro Pale Lager,Deep Ellum Brewing Company,695,539
American Brown Ale,Deep Ellum Brewing Company,696,540
American Double / Imperial IPA,Deep Ellum Brewing Company,697,541
American Pale Ale (APA),Deep Ellum Brewing Company,698,542
Baltic Porter,Deep Ellum Brewing Company,699,543
Saison / Farmhouse Ale,Deep Ellum Brewing Company,700,544
German Pilsener,Deep Ellum Brewing Company,701,545
American Blonde Ale,Deep Ellum Brewing Company,702,546
American IPA,Deep Ellum Brewing Company,703,547
American IPA,Defiance Brewing Company,704,548
English Pale Mild Ale,Defiance Brewing Company,705,549
Irish Dry Stout,Denali Brewing Company,706,550
American Blonde Ale,Denali Brewing Company,707,551
American IPA,Denali Brewing Company,708,552
Irish Red Ale,Denali Brewing Company,709,553
American IPA,Denver Beer Company,710,554
American Porter,Denver Beer Company,711,555
American Pale Ale (APA),Deschutes Brewery,712,556
Hefeweizen,Destihl Brewery,713,557
Abbey Single Ale,Destihl Brewery,714,558
American IPA,Destihl Brewery,715,559
Gose,Destihl Brewery,716,560
Fruit / Vegetable Beer,Destihl Brewery,717,561
American Double / Imperial IPA,Destihl Brewery,718,562
Abbey Single Ale,Destihl Brewery,719,558
American Pale Ale (APA),Devil's Backbone Brewing Company,720,563
American Pale Ale (APA),Devil's Backbone Brewing Company,721,563
American Amber / Red Ale,Devil's Canyon Brewery,722,564
American Black Ale,Devil's Canyon Brewery,723,565
American IPA,Devil's Canyon Brewery,724,566
Scotch Ale / Wee Heavy,Devil's Canyon Brewery,725,567
American Pale Ale (APA),Dick's Brewing Company,726,568
American IPA,Dirty Bucket Brewing Company,727,569
American Amber / Red Ale,Dock Street Brewery,728,570
Hefeweizen,Dolores River Brewery,729,571
Extra Special / Strong Bitter (ESB),Dolores River Brewery,730,572
American Double / Imperial IPA,Dolores River Brewery,731,573
American Pale Ale (APA),Dolores River Brewery,732,574
Irish Dry Stout,Dolores River Brewery,733,575
English Dark Mild Ale,Dolores River Brewery,734,576
Cider,Downeast Cider House,735,577
Cider,Downeast Cider House,736,577
American IPA,Dry Dock Brewing Company,737,578
Fruit / Vegetable Beer,Dry Dock Brewing Company,738,579
Hefeweizen,Dry Dock Brewing Company,739,580
American Amber / Red Ale,Dry Dock Brewing Company,740,581
American IPA,Due South Brewing Company,741,582
American Pale Wheat Ale,Dundee Brewing Company,742,583
Pumpkin Ale,Eddyline Brewery & Restaurant,743,584
American IPA,Eddyline Brewery & Restaurant,744,585
American Pale Ale (APA),Eddyline Brewery & Restaurant,745,586
Pumpkin Ale,Eddyline Brewery & Restaurant,746,584
Fruit / Vegetable Beer,Eddyline Brewery & Restaurant,747,587
German Pilsener,Eddyline Brewery & Restaurant,748,588
American IPA,Eddyline Brewery & Restaurant,749,585
Extra Special / Strong Bitter (ESB),Elevator Brewing Company,750,589
American Amber / Red Lager,Emerald City Beer Company,751,590
American Brown Ale,Engine 15 Brewing,752,591
American Adjunct Lager,Engine House 9,753,592
Fruit / Vegetable Beer,Epic Brewing,754,593
American Pale Ale (APA),Epic Brewing,755,594
American Pale Lager,Epic Brewing,756,595
American IPA,Epic Brewing,757,596
American IPA,Everybody's Brewing,758,597
American IPA,Everybody's Brewing,759,597
American Blonde Ale,Evil Czech Brewery,760,598
Belgian IPA,Evil Czech Brewery,761,599
American Pale Wheat Ale,Evil Czech Brewery,762,600
American Pale Ale (APA),Evil Czech Brewery,763,601
American Porter,Evil Czech Brewery,764,602
Czech Pilsener,Evil Czech Brewery,765,603
Berliner Weissbier,Evil Twin Brewing,766,604
American Double / Imperial IPA,Evil Twin Brewing,767,605
American Pale Ale (APA),Evil Twin Brewing,768,606
American IPA,Evil Twin Brewing,769,607
American Pale Ale (APA),Evil Twin Brewing,770,606
American Pale Ale (APA),Fargo Brewing Company,771,608
Scottish Ale,Fargo Brewing Company,772,609
American IPA,Fargo Brewing Company,773,610
American Pale Ale (APA),Fat Head's Brewery,774,611
American IPA,Fat Head's Brewery,775,612
American Stout,Fate Brewing Company,776,613
Belgian Pale Ale,Fate Brewing Company,777,614
Roggenbier,Fate Brewing Company,778,615
Kölsch,Fate Brewing Company,779,616
American IPA,Fate Brewing Company,780,617
American Amber / Red Ale,Fearless Brewing Company,781,618
Fruit / Vegetable Beer,Fearless Brewing Company,782,619
American IPA,Fearless Brewing Company,783,620
American Amber / Red Ale,Fearless Brewing Company,784,618
American Double / Imperial IPA,Fearless Brewing Company,785,621
Scottish Ale,Fearless Brewing Company,786,622
American Double / Imperial IPA,Fiddlehead Brewing Company,787,623
American Double / Imperial IPA,Fiddlehead Brewing Company,788,623
American Double / Imperial IPA,Fiddlehead Brewing Company,789,623
American Porter,Fiddlehead Brewing Company,790,624
Kristalweizen,Figueroa Mountain Brewing Company,791,625
Czech Pilsener,Figueroa Mountain Brewing Company,792,626
Kölsch,Figueroa Mountain Brewing Company,793,627
American Double / Imperial IPA,Finch's Beer Company,794,628
American Black Ale,Finch's Beer Company,795,629
Belgian Strong Dark Ale,Finch's Beer Company,796,630
American Pale Wheat Ale,Finch's Beer Company,797,631
American Stout,Finch's Beer Company,798,632
American Amber / Red Ale,Finch's Beer Company,799,633
American Pale Ale (APA),Finch's Beer Company,800,634
American IPA,Finch's Beer Company,801,635
American Pale Ale (APA),Finch's Beer Company,802,634
American Blonde Ale,Finch's Beer Company,803,636
American IPA,Firestone Walker Brewing Company,804,637
American IPA,Firestone Walker Brewing Company,805,637
German Pilsener,Firestone Walker Brewing Company,806,638
American Blonde Ale,Firestone Walker Brewing Company,807,639
American Blonde Ale,Firestone Walker Brewing Company,808,639
Doppelbock,Flat 12 Bierwerks,809,640
American Blonde Ale,Flat 12 Bierwerks,810,641
American IPA,Flat 12 Bierwerks,811,642
American IPA,Flat Rock Brewing Company,812,643
American Pale Ale (APA),Flesk Brewing Company,813,644
American IPA,Flying Dog Brewery,814,645
American Pale Lager,Flying Dog Brewery,815,646
American Porter,Flying Mouse Brewery,816,647
American IPA,Flying Mouse Brewery,817,648
Saison / Farmhouse Ale,Foolproof Brewing Company,818,649
American IPA,Foolproof Brewing Company,819,650
American Porter,Foolproof Brewing Company,820,651
American Blonde Ale,Foolproof Brewing Company,821,652
Witbier,Forgotten Boardwalk,822,653
American IPA,Forgotten Boardwalk,823,654
Belgian Pale Ale,Fort George Brewery,824,655
American IPA,Fort George Brewery,825,656
American IPA,Fort George Brewery,826,656
American IPA,Fort George Brewery,827,656
American Black Ale,Fort George Brewery,828,657
American IPA,Fort George Brewery,829,656
American Pale Ale (APA),Fort George Brewery,830,658
Witbier,Fort George Brewery,831,659
American Pale Ale (APA),Fort George Brewery,832,658
American Double / Imperial Stout,Fort George Brewery,833,660
American Amber / Red Lager,Fort George Brewery,834,661
American IPA,Fort George Brewery,835,656
American Amber / Red Ale,Fort Pitt Brewing Company,836,662
American Pale Wheat Ale,Fort Point Beer Company,837,663
American Amber / Red Ale,Fort Point Beer Company,838,664
Kölsch,Fort Point Beer Company,839,665
American IPA,Fort Point Beer Company,840,666
Scotch Ale / Wee Heavy,Founders Brewing Company,841,667
American IPA,Founders Brewing Company,842,668
American IPA,Founders Brewing Company,843,668
American IPA,Four Corners Brewing Company,844,669
American Porter,Four Corners Brewing Company,845,670
American Blonde Ale,Four Corners Brewing Company,846,671
Oatmeal Stout,Four Fathers Brewing,847,672
Belgian Pale Ale,Four Fathers Brewing,848,673
American IPA,Four Fathers Brewing,849,674
American IPA,Four Fathers Brewing,850,674
American Pale Lager,Four Horsemen Brewing Company,851,675
Kölsch,Four Peaks Brewing Company,852,676
,Four Peaks Brewing Company,853,677
American Porter,Four Peaks Brewing Company,854,678
Fruit / Vegetable Beer,Four Peaks Brewing Company,855,679
American IPA,Four Peaks Brewing Company,856,680
Scottish Ale,Four Peaks Brewing Company,857,681
Kölsch,Four Peaks Brewing Company,858,676
American Porter,Four String Brewing Company,859,682
American Pale Wheat Ale,Four String Brewing Company,860,683
American Pale Ale (APA),Four String Brewing Company,861,684
American White IPA,Four String Brewing Company,862,685
American Amber / Red Ale,Frankenmuth Brewery,863,686
American IPA,Frankenmuth Brewery,864,687
Munich Helles Lager,Frankenmuth Brewery,865,688
,Freetail Brewing Company,866,689
American Brown Ale,Freetail Brewing Company,867,690
Witbier,Freetail Brewing Company,868,691
Munich Helles Lager,Freetail Brewing Company,869,692
American Amber / Red Ale,Freetail Brewing Company,870,693
Witbier,Freetail Brewing Company,871,691
American IPA,Freetail Brewing Company,872,694
Berliner Weissbier,Freetail Brewing Company,873,695
American IPA,Fremont Brewing Company,874,696
American Pale Ale (APA),Fremont Brewing Company,875,697
English Strong Ale,Fremont Brewing Company,876,698
Saison / Farmhouse Ale,Fremont Brewing Company,877,699
American Pale Ale (APA),Fremont Brewing Company,878,697
American Pale Ale (APA),Fremont Brewing Company,879,697
American IPA,Fremont Brewing Company,880,696
Kölsch,French Broad Brewery,881,700
Scotch Ale / Wee Heavy,French Broad Brewery,882,701
Extra Special / Strong Bitter (ESB),French Broad Brewery,883,702
American IPA,Frog Level Brewing Company,884,703
American Pale Ale (APA),Fullsteam Brewery,885,704
American IPA,Geneva Lake Brewing Company,886,705
American Blonde Ale,Geneva Lake Brewing Company,887,706
American Amber / Red Ale,Geneva Lake Brewing Company,888,707
American IPA,Glabrous Brewing Company,889,708
American Pale Lager,Golden Road Brewing,890,709
Saison / Farmhouse Ale,Golden Road Brewing,891,710
American IPA,Golden Road Brewing,892,711
American IPA,Golden Road Brewing,893,711
American IPA,Golden Road Brewing,894,711
American IPA,Golden Road Brewing,895,711
Hefeweizen,Golden Road Brewing,896,712
American IPA,Golden Road Brewing,897,711
American IPA,Golden Road Brewing,898,711
Kölsch,Golden Road Brewing,899,713
American Brown Ale,Golden Road Brewing,900,714
American IPA,Golden Road Brewing,901,711
American IPA,Golden Road Brewing,902,711
American IPA,Golden Road Brewing,903,711
Hefeweizen,Golden Road Brewing,904,712
American Porter,Gonzo's BiggDogg Brewing,905,715
American IPA,Good Life Brewing Company,906,716
American Pale Wheat Ale,Good Life Brewing Company,907,717
American Pale Ale (APA),Good People Brewing Company,908,718
American Double / Imperial IPA,Good People Brewing Company,909,719
Oatmeal Stout,Good People Brewing Company,910,720
American IPA,Good People Brewing Company,911,721
American Brown Ale,Good People Brewing Company,912,722
American Pale Ale (APA),Goodlife Brewing Co.,913,723
American IPA,Goose Island Brewery Company,914,724
American Pale Ale (APA),Goose Island Brewing Company,915,725
American Pale Ale (APA),Goose Island Brewing Company,916,725
American Pale Wheat Ale,Goose Island Brewing Company,917,726
American Pale Wheat Ale,Goose Island Brewing Company,918,726
American Pale Wheat Ale,Goose Island Brewing Company,919,726
American Pale Lager,Gore Range Brewery,920,727
American Pale Wheat Ale,Grand Canyon Brewing Company,921,728
American Pilsner,Grand Canyon Brewing Company,922,729
American Amber / Red Ale,Grand Canyon Brewing Company,923,730
American IPA,Grand Canyon Brewing Company,924,731
American Pale Wheat Ale,Grapevine Craft Brewery,925,732
English Brown Ale,Grapevine Craft Brewery,926,733
American Pale Ale (APA),Grapevine Craft Brewery,927,734
American Blonde Ale,Great Crescent Brewery,928,735
Fruit / Vegetable Beer,Great Crescent Brewery,929,736
American Porter,Great Crescent Brewery,930,737
American IPA,Great Crescent Brewery,931,738
Dortmunder / Export Lager,Great Crescent Brewery,932,739
American Blonde Ale,Great Crescent Brewery,933,735
American Porter,Great Crescent Brewery,934,737
Märzen / Oktoberfest,Great Crescent Brewery,935,740
American Brown Ale,Great Crescent Brewery,936,741
Fruit / Vegetable Beer,Great Crescent Brewery,937,736
Dortmunder / Export Lager,Great Crescent Brewery,938,739
American Dark Wheat Ale,Great Crescent Brewery,939,742
Witbier,Great Crescent Brewery,940,743
American Stout,Great Crescent Brewery,941,744
English Stout,Great Crescent Brewery,942,745
American Porter,Great Crescent Brewery,943,737
Euro Dark Lager,Great Crescent Brewery,944,746
English Dark Mild Ale,Great Crescent Brewery,945,747
American IPA,Great Crescent Brewery,946,738
American Blonde Ale,Great Crescent Brewery,947,735
American Pale Ale (APA),Great Divide Brewing Company,948,748
Old Ale,Great Divide Brewing Company,949,749
American Pale Wheat Ale,Great Divide Brewing Company,950,750
American IPA,Great Divide Brewing Company,951,751
Tripel,Great Divide Brewing Company,952,752
American IPA,Great Divide Brewing Company,953,751
Russian Imperial Stout,Great Divide Brewing Company,954,753
Saison / Farmhouse Ale,Great Divide Brewing Company,955,754
American IPA,Great Divide Brewing Company,956,751
American Pale Lager,Great Northern Brewing Company,957,755
American Pale Lager,Great Northern Brewing Company,958,755
American Pale Ale (APA),Great Raft Brewing Company,959,756
American Pale Lager,Great Raft Brewing Company,960,757
Fruit / Vegetable Beer,Great River Brewery,961,758
American Brown Ale,Great River Brewery,962,759
American Blonde Ale,Great River Brewery,963,760
American Blonde Ale,Great River Brewery,964,760
Vienna Lager,Great River Brewery,965,761
Irish Red Ale,Great River Brewery,966,762
Vienna Lager,Great River Brewery,967,761
Witbier,Great River Brewery,968,763
Irish Red Ale,Great River Brewery,969,762
American Pale Ale (APA),Great River Brewery,970,764
Rye Beer,Great River Brewery,971,765
American Brown Ale,Great River Brewery,972,759
American IPA,Great River Brewery,973,766
Märzen / Oktoberfest,Great River Brewery,974,767
American Amber / Red Ale,Great River Brewery,975,768
American Stout,Great River Brewery,976,769
American Pale Ale (APA),Great River Brewery,977,764
Irish Red Ale,Great River Brewery,978,762
American Pale Ale (APA),Green Room Brewing,979,770
American Pale Ale (APA),Greenbrier Valley Brewing Company,980,771
American Black Ale,Greenbrier Valley Brewing Company,981,772
Märzen / Oktoberfest,Grey Sail Brewing Company,982,773
American Double / Imperial IPA,Grey Sail Brewing Company,983,774
Märzen / Oktoberfest,Grey Sail Brewing of Rhode Island,984,775
American Pale Ale (APA),Grey Sail Brewing of Rhode Island,985,776
Witbier,Grey Sail Brewing of Rhode Island,986,777
American Blonde Ale,Grey Sail Brewing of Rhode Island,987,778
American Porter,Grey Sail Brewing of Rhode Island,988,779
American Pale Ale (APA),Grey Sail Brewing of Rhode Island,989,776
Cream Ale,Grey Sail Brewing of Rhode Island,990,780
American Pale Wheat Ale,Griffin Claw Brewing Company,991,781
Winter Warmer,Griffin Claw Brewing Company,992,782
Pumpkin Ale,Griffin Claw Brewing Company,993,783
Czech Pilsener,Griffin Claw Brewing Company,994,784
American Amber / Red Ale,Griffin Claw Brewing Company,995,785
American IPA,Griffin Claw Brewing Company,996,786
American Pale Ale (APA),Griffin Claw Brewing Company,997,787
American IPA,Griffin Claw Brewing Company,998,786
Tripel,Griffin Claw Brewing Company,999,788
Altbier,Grimm Brothers Brewhouse,1000,789
American IPA,Hale's Ales,1001,790
American Pale Ale (APA),Hale's Ales,1002,791
American IPA,Half Acre Beer Company,1003,792
American Double / Imperial Pilsner,Half Acre Beer Company,1004,793
German Pilsener,Half Acre Beer Company,1005,794
American Pale Wheat Ale,Half Acre Beer Company,1006,795
English India Pale Ale (IPA),Half Acre Beer Company,1007,796
American Brown Ale,Half Acre Beer Company,1008,797
American Blonde Ale,Half Acre Beer Company,1009,798
American Pale Ale (APA),Half Acre Beer Company,1010,799
American IPA,Half Full Brewery,1011,800
American Blonde Ale,Half Full Brewery,1012,801
Fruit / Vegetable Beer,Hangar 24 Craft Brewery,1013,802
Munich Helles Lager,Hangar 24 Craft Brewery,1014,803
American IPA,Hardywood Park Craft Brewery,1015,804
Cream Ale,Hardywood Park Craft Brewery,1016,805
American Pale Ale (APA),Hardywood Park Craft Brewery,1017,806
Herbed / Spiced Beer,Harpoon Brewery,1018,807
American White IPA,Harpoon Brewery,1019,808
Cider,Harpoon Brewery,1020,809
Kölsch,Harpoon Brewery,1021,810
American IPA,Harpoon Brewery,1022,811
Pumpkin Ale,Harpoon Brewery,1023,812
Märzen / Oktoberfest,Harpoon Brewery,1024,813
American IPA,Harpoon Brewery,1025,811
Kölsch,Harpoon Brewery,1026,810
American Pale Wheat Ale,Harpoon Brewery,1027,814
Kölsch,Harpoon Brewery,1028,810
American IPA,Harpoon Brewery,1029,811
American Blonde Ale,Harvest Moon Brewing Company,1030,815
Witbier,Harvest Moon Brewing Company,1031,816
American Blonde Ale,Hawai'i Nui Brewing Co.,1032,817
American Pale Ale (APA),Hawai'i Nui Brewing Co.,1033,818
American Brown Ale,Hawai'i Nui Brewing Co.,1034,819
American Brown Ale,Hawai'i Nui Brewing Co.,1035,819
Flanders Red Ale,Hawai'i Nui Brewing Co.,1036,820
Belgian IPA,Headlands Brewing Company,1037,821
American Pale Lager,Headlands Brewing Company,1038,822
American Double / Imperial IPA,Headlands Brewing Company,1039,823
American IPA,Heavy Seas Beer,1040,824
Märzen / Oktoberfest,Heavy Seas Beer,1041,825
Cream Ale,Heavy Seas Beer,1042,826
Cream Ale,Hess Brewing Company,1043,827
American IPA,Hess Brewing Company,1044,828
American Double / Imperial Stout,Hess Brewing Company,1045,829
American Pilsner,High Hops Brewery,1046,830
American Pale Ale (APA),High Hops Brewery,1047,831
American Pale Wheat Ale,High Noon Saloon And Brewery,1048,832
Fruit / Vegetable Beer,High Noon Saloon And Brewery,1049,833
American Amber / Red Ale,High Noon Saloon And Brewery,1050,834
American Pale Ale (APA),Hilliard's Beer,1051,835
Czech Pilsener,Hilliard's Beer,1052,836
American Blonde Ale,Hilliard's Beer,1053,837
American Amber / Red Ale,Hilliard's Beer,1054,838
Saison / Farmhouse Ale,Hilliard's Beer,1055,839
American White IPA,Hinterland Brewery,1056,840
Saison / Farmhouse Ale,Hop Farm Brewing Company,1057,841
American Brown Ale,Hop Farm Brewing Company,1058,842
American IPA,Hop Farm Brewing Company,1059,843
American Blonde Ale,Hop Valley Brewing Company,1060,844
American Strong Ale,Hop Valley Brewing Company,1061,845
American IPA,Hop Valley Brewing Company,1062,846
American Blonde Ale,Hop Valley Brewing Company,1063,844
American Pale Lager,Hop Valley Brewing Company,1064,847
American IPA,Hop Valley Brewing Company,1065,846
American IPA,Hop Valley Brewing Company,1066,846
American Blonde Ale,Hop Valley Brewing Company,1067,844
American IPA,Hops & Grain Brewery,1068,848
American Pale Lager,Hops & Grain Brewery,1069,849
Altbier,Hops & Grain Brewery,1070,850
American Pale Ale (APA),Hops & Grain Brewery,1071,851
American Porter,Hops & Grains Brewing Company,1072,852
Cider,Hopworks Urban Brewery,1073,853
Radler,Hopworks Urban Brewery,1074,854
American Pale Wheat Ale,Hopworks Urban Brewery,1075,855
American Pale Wheat Ale,Hopworks Urban Brewery,1076,855
American Pale Wheat Ale,Hopworks Urban Brewery,1077,855
American Pale Wheat Ale,Hopworks Urban Brewery,1078,855
American Pale Wheat Ale,Hopworks Urban Brewery,1079,855
American Pale Wheat Ale,Hopworks Urban Brewery,1080,855
American Pale Wheat Ale,Hopworks Urban Brewery,1081,855
American Pale Wheat Ale,Hopworks Urban Brewery,1082,855
American Pale Wheat Ale,Hopworks Urban Brewery,1083,855
American Pale Wheat Ale,Hopworks Urban Brewery,1084,855
American Pale Wheat Ale,Hopworks Urban Brewery,1085,855
American Pale Wheat Ale,Hopworks Urban Brewery,1086,855
American Amber / Red Ale,Hopworks Urban Brewery,1087,856
American Stout,Hopworks Urban Brewery,1088,857
American IPA,Hopworks Urban Brewery,1089,858
American Strong Ale,Hopworks Urban Brewery,1090,859
American White IPA,Hopworks Urban Brewery,1091,860
American Amber / Red Ale,Hopworks Urban Brewery,1092,856
American Strong Ale,Hopworks Urban Brewery,1093,859
Czech Pilsener,Hopworks Urban Brewery,1094,861
American IPA,Hopworks Urban Brewery,1095,858
American Pale Wheat Ale,Horny Goat Brew Pub,1096,862
Hefeweizen,Horny Goat Brew Pub,1097,863
Märzen / Oktoberfest,Horny Goat Brew Pub,1098,864
American Pale Ale (APA),Howard Brewing Company,1099,865
Vienna Lager,Howard Brewing Company,1100,866
American IPA,Indeed Brewing Company,1101,867
Winter Warmer,Indeed Brewing Company,1102,868
Fruit / Vegetable Beer,Indeed Brewing Company,1103,869
American Pale Wheat Ale,Indeed Brewing Company,1104,870
American Black Ale,Indeed Brewing Company,1105,871
American Pale Ale (APA),Indeed Brewing Company,1106,872
American Amber / Red Ale,Independence Brewing Company,1107,873
American Pale Ale (APA),Independence Brewing Company,1108,874
Witbier,Independence Brewing Company,1109,875
American Pale Ale (APA),Indiana City Brewing,1110,876
American IPA,Infamous Brewing Company,1111,877
Cream Ale,Infamous Brewing Company,1112,878
American Blonde Ale,Intuition Ale Works,1113,879
American IPA,Intuition Ale Works,1114,880
American Pale Ale (APA),Intuition Ale Works,1115,881
American Blonde Ale,Ipswich Ale Brewery,1116,882
American IPA,Iron Hill Brewery & Restaurant,1117,883
Keller Bier / Zwickel Bier,Jack's Abby Craft Lagers,1118,884
American Pale Lager,Jack's Abby Craft Lagers,1119,885
American India Pale Lager,Jack's Abby Craft Lagers,1120,886
American India Pale Lager,Jack's Abby Craft Lagers,1121,886
American India Pale Lager,Jack's Abby Craft Lagers,1122,886
Cider,Jack's Hard Cider (Hauser Estate...,1123,887
Cider,Jack's Hard Cider (Hauser Estate...,1124,887
American Pale Ale (APA),Jackalope Brewing Company,1125,888
Fruit / Vegetable Beer,Jackie O's Pub & Brewery,1126,889
American IPA,Jackie O's Pub & Brewery,1127,890
American IPA,Jackie O's Pub & Brewery,1128,890
American Amber / Red Ale,Jackie O's Pub & Brewery,1129,891
English Brown Ale,Jackie O's Pub & Brewery,1130,892
American IPA,Jailbreak Brewing Company,1131,893
American Strong Ale,James Page Brewing Company,1132,894
Hefeweizen,James Page Brewing Company,1133,895
American Porter,James Page Brewing Company,1134,896
American Pale Ale (APA),James Page Brewing Company,1135,897
American Blonde Ale,James Page Brewing Company,1136,898
American IPA,James Page Brewing Company,1137,899
Hefeweizen,Joseph James Brewing Company,1138,900
American Pale Ale (APA),Joseph James Brewing Company,1139,901
American Double / Imperial IPA,Joseph James Brewing Company,1140,902
American Adjunct Lager,Joseph James Brewing Company,1141,903
American IPA,Kalona Brewing Company,1142,904
Doppelbock,Kalona Brewing Company,1143,905
Hefeweizen,Karbach Brewing Company,1144,906
Munich Dunkel Lager,Karbach Brewing Company,1145,907
American Pale Ale (APA),Karbach Brewing Company,1146,908
Märzen / Oktoberfest,Karbach Brewing Company,1147,909
Kölsch,Karbach Brewing Company,1148,910
Saison / Farmhouse Ale,Karbach Brewing Company,1149,911
American Double / Imperial IPA,Karbach Brewing Company,1150,912
American Amber / Red Lager,Karbach Brewing Company,1151,913
Hefeweizen,Karbach Brewing Company,1152,906
American IPA,Karbach Brewing Company,1153,914
Euro Dark Lager,KelSo Beer Company,1154,915
American IPA,KelSo Beer Company,1155,916
