ounces,original_index,unique_index,count
12.0 ounce,980,2,360
12.0 ounce,981,2,360
16.0 ounce,982,6,202
12.0 oz,983,0,393
16.0 oz. Alumi-Tek,984,8,38
12.0 oz.,985,1,580
16.0 ounce,986,6,202
16.0 ounce,987,6,202
16.0 OZ.,988,10,50
12.0 oz.,989,1,580
12.0 oz.,990,1,580
16.0 oz.,991,7,327
16.0 ounce,992,6,202
16.0 ounce,993,6,202
16.0 ounce,994,6,202
16.0 ounce,995,6,202
16.0 OZ.,996,10,50
16.0 ounce,997,6,202
12.0 oz,998,0,393
16.0 oz,999,9,220
12.0 oz.,1000,1,580
12.0 oz,1001,0,393
12.0 ounce,1002,2,360
16.0 oz.,1003,7,327
16.0 oz.,1004,7,327
16.0 oz.,1005,7,327
16.0 oz,1006,9,220
16.0 oz,1007,9,220
16.0 oz.,1008,7,327
16.0 oz,1009,9,220
16.0 oz,1010,9,220
12.0 oz. Alumi-Tek,1011,4,87
12.0 oz,1012,0,393
12.0 oz. Alumi-Tek,1013,4,87
12.0 oz,1014,0,393
16.0 oz.,1015,7,327
12.0 oz,1016,0,393
12.0 ounce,1017,2,360
12.0 oz,1018,0,393
12.0 ounce,1019,2,360
12.0 oz.,1020,1,580
12.0 oz.,1021,1,580
12.0 ounce,1022,2,360
12.0 oz.,1023,1,580
12.0 oz.,1024,1,580
12.0 ounce,1025,2,360
12.0 oz,1026,0,393
12.0 oz.,1027,1,580
12.0 OZ.,1028,3,98
12.0 oz,1029,0,393
12.0 oz.,1030,1,580
12.0 oz.,1031,1,580
12.0 ounce,1032,2,360
12.0 oz,1033,0,393
19.2 oz.,1034,15,6
12.0 ounce,1035,2,360
19.2 oz,1036,16,4
16.0 oz.,1037,7,327
16.0 oz,1038,9,220
16.0 ounce,1039,6,202
12.0 oz,1040,0,393
12.0 oz,1041,0,393
12.0 OZ.,1042,3,98
16.0 OZ.,1043,10,50
16.0 oz,1044,9,220
16.0 oz,1045,9,220
12.0 ounce,1046,2,360
12.0 oz. Alumi-Tek,1047,4,87
12.0 oz,1048,0,393
12.0 oz.,1049,1,580
12.0 ounce,1050,2,360
16.0 oz. Alumi-Tek,1051,8,38
16.0 oz.,1052,7,327
16.0 oz.,1053,7,327
16.0 oz.,1054,7,327
16.0 oz,1055,9,220
16.0 oz.,1056,7,327
12.0 oz.,1057,1,580
12.0 ounce,1058,2,360
12.0 oz,1059,0,393
12.0 oz,1060,0,393
12.0 oz.,1061,1,580
12.0 oz.,1062,1,580
12.0 oz.,1063,1,580
12.0 ounce,1064,2,360
12.0 oz.,1065,1,580
12.0 oz.,1066,1,580
12.0 oz.,1067,1,580
12.0 oz,1068,0,393
12.0 oz.,1069,1,580
12.0 oz.,1070,1,580
12.0 ounce,1071,2,360
12.0 oz.,1072,1,580
16.0 oz,1073,9,220
16.0 oz,1074,9,220
16.0 ounce,1075,6,202
16.0 oz.,1076,7,327
16.0 ounce,1077,6,202
16.0 ounce,1078,6,202
16.0 ounce,1079,6,202
16.0 oz,1080,9,220
16.0 ounce,1081,6,202
16.0 oz,1082,9,220
16.0 oz. Alumi-Tek,1083,8,38
16.0 oz,1084,9,220
16.0 oz,1085,9,220
16.0 oz,1086,9,220
16.0 oz,1087,9,220
16.0 oz.,1088,7,327
16.0 oz.,1089,7,327
16.0 oz.,1090,7,327
16.0 oz,1091,9,220
16.0 ounce,1092,6,202
16.0 oz,1093,9,220
16.0 oz,1094,9,220
16.0 oz.,1095,7,327
12.0 oz.,1096,1,580
12.0 oz.,1097,1,580
16.0 oz.,1098,7,327
12.0 oz.,1099,1,580
12.0 oz.,1100,1,580
12.0 oz,1101,0,393
12.0 ounce,1102,2,360
12.0 ounce,1103,2,360
12.0 oz.,1104,1,580
12.0 ounce,1105,2,360
12.0 oz,1106,0,393
12.0 oz,1107,0,393
12.0 oz.,1108,1,580
12.0 oz. Alumi-Tek,1109,4,87
12.0 oz,1110,0,393
12.0 oz.,1111,1,580
12.0 oz.,1112,1,580
12.0 oz.,1113,1,580
12.0 oz,1114,0,393
12.0 oz,1115,0,393
12.0 oz,1116,0,393
16.0 oz.,1117,7,327
16.0 oz,1118,9,220
12.0 OZ.,1119,3,98
16.0 oz.,1120,7,327
12.0 ounce,1121,2,360
12.0 oz. Alumi-Tek,1122,4,87
12.0 OZ.,1123,3,98
12.0 oz.,1124,1,580
12.0 oz.,1125,1,580
12.0 ounce,1126,2,360
12.0 ounce,1127,2,360
12.0 oz.,1128,1,580
12.0 oz,1129,0,393
12.0 ounce,1130,2,360
12.0 oz.,1131,1,580
12.0 ounce,1132,2,360
12.0 oz.,1133,1,580
12.0 oz,1134,0,393
12.0 OZ.,1135,3,98
12.0 oz.,1136,1,580
12.0 oz,1137,0,393
12.0 ounce,1138,2,360
12.0 oz,1139,0,393
12.0 oz,1140,0,393
12.0 oz,1141,0,393
12.0 oz. Alumi-Tek,1142,4,87
12.0 oz.,1143,1,580
12.0 oz.,1144,1,580
12.0 oz.,1145,1,580
12.0 oz.,1146,1,580
12.0 ounce,1147,2,360
12.0 ounce,1148,2,360
12.0 oz. Alumi-Tek,1149,4,87
12.0 OZ.,1150,3,98
12.0 oz.,1151,1,580
12.0 oz.,1152,1,580
12.0 oz,1153,0,393
12.0 oz.,1154,1,580
12.0 oz,1155,0,393
12.0 ounce,1156,2,360
12.0 oz,1157,0,393
12.0 ounce,1158,2,360
12.0 oz. Alumi-Tek,1159,4,87
12.0 oz,1160,0,393
16.0 oz.,1161,7,327
16.0 ounce,1162,6,202
16.0 oz.,1163,7,327
16.0 oz.,1164,7,327
16.0 ounce,1165,6,202
16.0 oz.,1166,7,327
12.0 oz.,1167,1,580
12.0 oz.,1168,1,580
12.0 oz.,1169,1,580
12.0 oz,1170,0,393
12.0 oz. Alumi-Tek,1171,4,87
12.0 oz,1172,0,393
12.0 oz,1173,0,393
12.0 oz.,1174,1,580
12.0 oz.,1175,1,580
12.0 OZ.,1176,3,98
12.0 oz. Alumi-Tek,1177,4,87
12.0 oz.,1178,1,580
16.0 ounce,1179,6,202
16.0 oz.,1180,7,327
24.0 oz.,1181,13,9
16.0 oz,1182,9,220
12.0 oz.,1183,1,580
12.0 oz,1184,0,393
12.0 oz.,1185,1,580
16.0 oz.,1186,7,327
16.0 oz.,1187,7,327
16.0 ounce,1188,6,202
12.0 oz.,1189,1,580
12.0 oz.,1190,1,580
12.0 ounce,1191,2,360
12.0 ounce,1192,2,360
12.0 oz,1193,0,393
12.0 ounce,1194,2,360
12.0 oz,1195,0,393
12.0 ounce,1196,2,360
12.0 oz,1197,0,393
12.0 oz. Alumi-Tek,1198,4,87
12.0 oz.,1199,1,580
16.0 oz,1200,9,220
12.0 oz.,1201,1,580
12.0 oz.,1202,1,580
12.0 oz,1203,0,393
12.0 oz.,1204,1,580
12.0 OZ.,1205,3,98
16.0 ounce,1206,6,202
16.0 oz.,1207,7,327
12.0 oz,1208,0,393
12.0 oz,1209,0,393
12.0 oz.,1210,1,580
12.0 oz.,1211,1,580
12.0 oz.,1212,1,580
12.0 oz,1213,0,393
16.0 oz,1214,9,220
12.0 oz.,1215,1,580
12.0 ounce,1216,2,360
12.0 ounce,1217,2,360
12.0 oz,1218,0,393
12.0 oz.,1219,1,580
16.0 ounce,1220,6,202
12.0 OZ.,1221,3,98
12.0 ounce,1222,2,360
16.0 oz,1223,9,220
16.0 oz,1224,9,220
16.0 OZ.,1225,10,50
16.0 oz.,1226,7,327
12.0 oz,1227,0,393
12.0 oz.,1228,1,580
16.0 oz.,1229,7,327
16.0 ounce,1230,6,202
16.0 oz.,1231,7,327
16.0 ounce,1232,6,202
12.0 oz. Silo Can,1233,11,7
12.0 oz.,1234,1,580
12.0 oz. Alumi-Tek,1235,4,87
12.0 oz.,1236,1,580
12.0 ounce,1237,2,360
12.0 oz. Silo Can,1238,11,7
12.0 oz,1239,0,393
12.0 oz,1240,0,393
12.0 ounce,1241,2,360
12.0 oz,1242,0,393
12.0 oz.,1243,1,580
12.0 oz,1244,0,393
12.0 ounce,1245,2,360
16.0 OZ.,1246,10,50
12.0 oz.,1247,1,580
12.0 oz.,1248,1,580
12.0 ounce,1249,2,360
12.0 ounce,1250,2,360
12.0 oz.,1251,1,580
16.0 OZ.,1252,10,50
12.0 oz.,1253,1,580
12.0 ounce,1254,2,360
12.0 oz.,1255,1,580
12.0 oz.,1256,1,580
12.0 ounce,1257,2,360
12.0 ounce,1258,2,360
12.0 oz.,1259,1,580
12.0 oz.,1260,1,580
12.0 oz.,1261,1,580
12.0 ounce,1262,2,360
12.0 ounce,1263,2,360
12.0 oz,1264,0,393
12.0 oz,1265,0,393
12.0 oz,1266,0,393
12.0 ounce,1267,2,360
12.0 ounce,1268,2,360
12.0 ounce,1269,2,360
12.0 ounce,1270,2,360
12.0 oz,1271,0,393
12.0 OZ.,1272,3,98
12.0 oz,1273,0,393
12.0 oz.,1274,1,580
16.0 oz,1275,9,220
16.0 ounce,1276,6,202
16.0 oz,1277,9,220
16.0 oz.,1278,7,327
16.0 oz.,1279,7,327
16.0 oz,1280,9,220
16.0 OZ.,1281,10,50
16.0 oz.,1282,7,327
16.0 OZ.,1283,10,50
12.0 oz,1284,0,393
16.0 oz.,1285,7,327
12.0 ounce,1286,2,360
12.0 oz.,1287,1,580
12.0 oz.,1288,1,580
12.0 ounce,1289,2,360
16.0 ounce,1290,6,202
12.0 OZ.,1291,3,98
12.0 oz,1292,0,393
12.0 oz.,1293,1,580
12.0 ounce,1294,2,360
12.0 oz,1295,0,393
12.0 oz,1296,0,393
12.0 oz. Alumi-Tek,1297,4,87
12.0 oz,1298,0,393
12.0 oz.,1299,1,580
16.0 oz,1300,9,220
12.0 oz,1301,0,393
12.0 oz. Alumi-Tek,1302,4,87
12.0 oz. Alumi-Tek,1303,4,87
12.0 oz.,1304,1,580
12.0 oz,1305,0,393
12.0 oz.,1306,1,580
12.0 oz,1307,0,393
12.0 OZ.,1308,3,98
12.0 ounce,1309,2,360
12.0 oz,1310,0,393
12.0 oz.,1311,1,580
12.0 oz,1312,0,393
12.0 ounce,1313,2,360
12.0 oz.,1314,1,580
12.0 oz.,1315,1,580
16.0 OZ.,1316,10,50
16.0 oz.,1317,7,327
16.0 ounce,1318,6,202
19.2 oz,1319,16,4
12.0 OZ.,1320,3,98
12.0 oz.,1321,1,580
12.0 oz.,1322,1,580
12.0 oz,1323,0,393
12.0 ounce,1324,2,360
12.0 oz,1325,0,393
12.0 ounce,1326,2,360
12.0 oz.,1327,1,580
12.0 oz,1328,0,393
12.0 oz.,1329,1,580
12.0 oz.,1330,1,580
12.0 oz.,1331,1,580
12.0 oz.,1332,1,580
12.0 ounce,1333,2,360
12.0 oz.,1334,1,580
16.0 oz.,1335,7,327
16.0 oz.,1336,7,327
16.0 ounce,1337,6,202
16.0 oz.,1338,7,327
16.0 oz,1339,9,220
16.0 OZ.,1340,10,50
24.0 ounce,1341,17,7
24.0 oz,1342,14,4
24.0 ounce,1343,17,7
24.0 oz,1344,14,4
24.0 oz.,1345,13,9
24.0 oz. Alumi-Tek,1346,18,2
24.0 oz,1347,14,4
24.0 ounce,1348,17,7
12.0 ounce,1349,2,360
12.0 oz. Alumi-Tek,1350,4,87
16.0 oz.,1351,7,327
16.0 oz.,1352,7,327
16.0 OZ.,1353,10,50
16.0 ounce,1354,6,202
16.0 oz.,1355,7,327
16.0 oz.,1356,7,327
16.0 oz,1357,9,220
16.0 ounce,1358,6,202
16.0 oz.,1359,7,327
16.0 oz,1360,9,220
24.0 oz.,1361,13,9
16.0 ounce,1362,6,202
12.0 oz.,1363,1,580
12.0 ounce,1364,2,360
16.0 oz.,1365,7,327
12.0 oz.,1366,1,580
16.0 oz.,1367,7,327
12.0 oz. Alumi-Tek,1368,4,87
12.0 oz.,1369,1,580
24.0 oz.,1370,13,9
12.0 oz.,1371,1,580
12.0 OZ.,1372,3,98
12.0 OZ.,1373,3,98
32.0 oz. Alumi-Tek,1374,19,1
32.0 OZ.,1375,20,1
32.0 oz.,1376,21,3
32.0 oz.,1377,21,3
16.0 OZ.,1378,10,50
16.0 oz.,1379,7,327
16.0 ounce,1380,6,202
16.0 oz.,1381,7,327
24.0 ounce,1382,17,7
24.0 oz. Alumi-Tek,1383,18,2
12.0 oz.,1384,1,580
16.0 oz.,1385,7,327
16.0 oz.,1386,7,327
16.0 ounce,1387,6,202
16.0 ounce,1388,6,202
16.0 oz.,1389,7,327
16.0 ounce,1390,6,202
16.0 oz.,1391,7,327
16.0 ounce,1392,6,202
12.0 oz,1393,0,393
16.0 OZ.,1394,10,50
16.0 ounce,1395,6,202
16.0 oz,1396,9,220
12.0 oz.,1397,1,580
12.0 ounce,1398,2,360
12.0 ounce,1399,2,360
12.0 oz.,1400,1,580
12.0 oz,1401,0,393
12.0 oz.,1402,1,580
12.0 oz,1403,0,393
12.0 oz,1404,0,393
12.0 oz,1405,0,393
12.0 oz.,1406,1,580
12.0 oz,1407,0,393
12.0 ounce,1408,2,360
16.0 oz.,1409,7,327
12.0 ounce,1410,2,360
12.0 oz.,1411,1,580
12.0 ounce,1412,2,360
12.0 oz.,1413,1,580
12.0 OZ.,1414,3,98
12.0 ounce,1415,2,360
12.0 ounce,1416,2,360
12.0 oz.,1417,1,580
12.0 oz,1418,0,393
12.0 OZ.,1419,3,98
16.0 oz,1420,9,220
16.0 oz.,1421,7,327
16.0 oz.,1422,7,327
16.0 ounce,1423,6,202
12.0 oz.,1424,1,580
16.0 ounce,1425,6,202
16.0 oz.,1426,7,327
16.0 oz,1427,9,220
16.0 oz.,1428,7,327
16.0 oz. Alumi-Tek,1429,8,38
16.0 oz.,1430,7,327
16.0 oz,1431,9,220
16.0 oz,1432,9,220
16.0 ounce,1433,6,202
16.0 oz.,1434,7,327
16.0 oz.,1435,7,327
12.0 oz,1436,0,393
12.0 ounce,1437,2,360
12.0 ounce,1438,2,360
12.0 oz,1439,0,393
12.0 oz. Alumi-Tek,1440,4,87
12.0 ounce,1441,2,360
12.0 oz.,1442,1,580
12.0 oz.,1443,1,580
12.0 ounce,1444,2,360
12.0 oz,1445,0,393
12.0 oz.,1446,1,580
12.0 oz.,1447,1,580
12.0 oz.,1448,1,580
16.0 ounce,1449,6,202
12.0 oz.,1450,1,580
12.0 oz.,1451,1,580
12.0 oz.,1452,1,580
12.0 oz.,1453,1,580
16.0 oz,1454,9,220
16.0 oz.,1455,7,327
16.0 oz.,1456,7,327
12.0 oz.,1457,1,580
12.0 ounce,1458,2,360
12.0 ounce,1459,2,360
12.0 oz.,1460,1,580
12.0 oz.,1461,1,580
12.0 ounce,1462,2,360
12.0 OZ.,1463,3,98
12.0 oz.,1464,1,580
12.0 ounce,1465,2,360
16.0 oz.,1466,7,327
16.0 oz.,1467,7,327
12.0 oz,1468,0,393
12.0 ounce,1469,2,360
12.0 OZ.,1470,3,98
12.0 oz.,1471,1,580
16.0 oz.,1472,7,327
16.0 oz.,1473,7,327
16.0 oz.,1474,7,327
12.0 OZ.,1475,3,98
12.0 oz,1476,0,393
12.0 oz. Alumi-Tek,1477,4,87
12.0 oz.,1478,1,580
12.0 oz. Alumi-Tek,1479,4,87
12.0 oz,1480,0,393
12.0 ounce,1481,2,360
12.0 oz,1482,0,393
12.0 oz,1483,0,393
12.0 oz.,1484,1,580
12.0 oz.,1485,1,580
16.0 oz,1486,9,220
16.0 oz.,1487,7,327
16.0 oz.,1488,7,327
12.0 ounce,1489,2,360
12.0 oz.,1490,1,580
12.0 oz,1491,0,393
12.0 oz,1492,0,393
16.0 ounce,1493,6,202
16.0 oz,1494,9,220
16.0 oz.,1495,7,327
16.0 oz.,1496,7,327
16.0 oz,1497,9,220
16.0 oz.,1498,7,327
16.0 oz.,1499,7,327
16.0 oz.,1500,7,327
16.0 oz.,1501,7,327
12.0 ounce,1502,2,360
12.0 oz.,1503,1,580
12.0 ounce,1504,2,360
12.0 oz.,1505,1,580
12.0 ounce,1506,2,360
12.0 oz,1507,0,393
12.0 oz.,1508,1,580
12.0 ounce,1509,2,360
12.0 oz,1510,0,393
12.0 oz,1511,0,393
12.0 ounce,1512,2,360
16.0 oz,1513,9,220
12.0 oz.,1514,1,580
12.0 OZ.,1515,3,98
12.0 oz,1516,0,393
16.0 ounce,1517,6,202
16.0 ounce,1518,6,202
16.0 oz,1519,9,220
16.0 ounce,1520,6,202
12.0 oz.,1521,1,580
12.0 oz.,1522,1,580
12.0 oz,1523,0,393
12.0 oz.,1524,1,580
12.0 oz,1525,0,393
12.0 ounce,1526,2,360
12.0 oz,1527,0,393
16.0 oz,1528,9,220
16.0 oz.,1529,7,327
16.0 oz,1530,9,220
16.0 ounce,1531,6,202
16.0 oz,1532,9,220
16.0 oz.,1533,7,327
16.0 oz.,1534,7,327
16.0 oz.,1535,7,327
16.0 oz.,1536,7,327
16.0 oz,1537,9,220
16.0 ounce,1538,6,202
16.0 oz.,1539,7,327
16.0 OZ.,1540,10,50
16.0 oz,1541,9,220
16.0 ounce,1542,6,202
16.0 oz,1543,9,220
16.0 oz.,1544,7,327
16.0 oz.,1545,7,327
16.0 oz,1546,9,220
16.0 oz.,1547,7,327
16.0 oz,1548,9,220
12.0 oz.,1549,1,580
12.0 ounce,1550,2,360
12.0 oz,1551,0,393
19.2 oz. Alumi-Tek,1552,22,1
16.0 oz,1553,9,220
32.0 oz.,1554,21,3
12.0 ounce,1555,2,360
16.0 ounce,1556,6,202
12.0 oz. Alumi-Tek,1557,4,87
12.0 ounce,1558,2,360
12.0 OZ.,1559,3,98
12.0 oz,1560,0,393
19.2 OZ.,1561,23,4
19.2 oz.,1562,15,6
16.0 ounce,1563,6,202
19.2 OZ.,1564,23,4
16.0 oz,1565,9,220
12.0 ounce,1566,2,360
12.0 oz,1567,0,393
12.0 oz,1568,0,393
12.0 oz.,1569,1,580
12.0 ounce,1570,2,360
16.0 oz.,1571,7,327
16.0 oz,1572,9,220
16.0 oz.,1573,7,327
12.0 ounce,1574,2,360
16.0 ounce,1575,6,202
12.0 ounce,1576,2,360
12.0 oz.,1577,1,580
12.0 ounce,1578,2,360
12.0 OZ.,1579,3,98
12.0 ounce,1580,2,360
12.0 oz.,1581,1,580
12.0 oz,1582,0,393
12.0 oz.,1583,1,580
12.0 oz.,1584,1,580
12.0 oz.,1585,1,580
12.0 oz.,1586,1,580
12.0 oz.,1587,1,580
12.0 oz.,1588,1,580
12.0 oz,1589,0,393
12.0 ounce,1590,2,360
12.0 oz.,1591,1,580
12.0 oz,1592,0,393
12.0 oz.,1593,1,580
12.0 oz,1594,0,393
12.0 oz,1595,0,393
12.0 ounce,1596,2,360
12.0 OZ.,1597,3,98
12.0 oz,1598,0,393
16.0 oz,1599,9,220
12.0 oz,1600,0,393
19.2 oz.,1601,15,6
12.0 oz.,1602,1,580
12.0 oz,1603,0,393
12.0 oz,1604,0,393
12.0 oz.,1605,1,580
12.0 oz. Alumi-Tek,1606,4,87
12.0 oz,1607,0,393
16.0 ounce,1608,6,202
16.0 ounce,1609,6,202
16.0 oz.,1610,7,327
16.0 ounce,1611,6,202
16.0 oz.,1612,7,327
12.0 oz.,1613,1,580
12.0 oz,1614,0,393
12.0 oz,1615,0,393
12.0 oz.,1616,1,580
12.0 oz.,1617,1,580
12.0 ounce,1618,2,360
12.0 OZ.,1619,3,98
12.0 oz.,1620,1,580
12.0 ounce,1621,2,360
12.0 oz.,1622,1,580
12.0 oz.,1623,1,580
12.0 ounce,1624,2,360
12.0 ounce,1625,2,360
12.0 oz,1626,0,393
12.0 oz,1627,0,393
12.0 oz.,1628,1,580
12.0 oz.,1629,1,580
12.0 ounce,1630,2,360
12.0 oz.,1631,1,580
12.0 oz.,1632,1,580
12.0 OZ.,1633,3,98
12.0 ounce,1634,2,360
12.0 oz. Alumi-Tek,1635,4,87
12.0 oz,1636,0,393
12.0 ounce,1637,2,360
12.0 oz,1638,0,393
12.0 oz,1639,0,393
16.0 oz.,1640,7,327
16.0 oz.,1641,7,327
16.0 oz.,1642,7,327
16.0 oz. Alumi-Tek,1643,8,38
12.0 oz.,1644,1,580
16.0 oz.,1645,7,327
16.0 oz,1646,9,220
12.0 oz.,1647,1,580
12.0 oz.,1648,1,580
12.0 ounce,1649,2,360
16.0 oz,1650,9,220
16.0 ounce,1651,6,202
16.0 oz.,1652,7,327
16.0 oz.,1653,7,327
16.0 oz,1654,9,220
16.0 oz,1655,9,220
16.0 ounce,1656,6,202
16.0 ounce,1657,6,202
16.0 oz.,1658,7,327
12.0 oz.,1659,1,580
12.0 ounce,1660,2,360
16.0 oz,1661,9,220
16.0 oz,1662,9,220
16.0 ounce,1663,6,202
12.0 OZ.,1664,3,98
12.0 ounce,1665,2,360
12.0 ounce,1666,2,360
12.0 oz.,1667,1,580
12.0 oz.,1668,1,580
12.0 OZ.,1669,3,98
12.0 oz.,1670,1,580
12.0 ounce,1671,2,360
12.0 oz.,1672,1,580
12.0 OZ.,1673,3,98
12.0 oz.,1674,1,580
12.0 oz.,1675,1,580
12.0 oz.,1676,1,580
16.0 oz.,1677,7,327
12.0 oz,1678,0,393
12.0 oz,1679,0,393
12.0 ounce,1680,2,360
12.0 OZ.,1681,3,98
12.0 oz.,1682,1,580
12.0 oz.,1683,1,580
12.0 OZ.,1684,3,98
12.0 oz,1685,0,393
12.0 oz.,1686,1,580
12.0 oz,1687,0,393
12.0 oz.,1688,1,580
12.0 oz.,1689,1,580
12.0 oz,1690,0,393
12.0 oz.,1691,1,580
12.0 oz.,1692,1,580
16.0 oz.,1693,7,327
16.0 oz,1694,9,220
16.0 oz.,1695,7,327
16.0 oz.,1696,7,327
16.0 ounce,1697,6,202
16.0 ounce,1698,6,202
16.0 oz.,1699,7,327
12.0 oz.,1700,1,580
12.0 oz,1701,0,393
16.0 ounce,1702,6,202
16.0 oz.,1703,7,327
16.0 ounce,1704,6,202
16.0 ounce,1705,6,202
12.0 ounce,1706,2,360
12.0 oz.,1707,1,580
16.0 ounce,1708,6,202
12.0 OZ.,1709,3,98
16.0 oz.,1710,7,327
16.0 oz.,1711,7,327
16.0 oz.,1712,7,327
16.0 oz.,1713,7,327
16.0 oz.,1714,7,327
16.0 oz.,1715,7,327
16.0 oz.,1716,7,327
16.0 oz.,1717,7,327
12.0 oz,1718,0,393
12.0 oz,1719,0,393
12.0 ounce,1720,2,360
12.0 ounce,1721,2,360
12.0 ounce,1722,2,360
12.0 ounce,1723,2,360
12.0 oz.,1724,1,580
12.0 oz.,1725,1,580
12.0 oz,1726,0,393
12.0 ounce,1727,2,360
12.0 oz.,1728,1,580
12.0 oz,1729,0,393
12.0 oz.,1730,1,580
12.0 oz.,1731,1,580
12.0 oz. Alumi-Tek,1732,4,87
12.0 oz.,1733,1,580
12.0 oz.,1734,1,580
12.0 oz.,1735,1,580
16.0 oz. Alumi-Tek,1736,8,38
16.0 oz,1737,9,220
16.0 oz.,1738,7,327
16.0 ounce,1739,6,202
16.0 oz.,1740,7,327
16.0 ounce,1741,6,202
16.0 oz,1742,9,220
12.0 oz,1743,0,393
12.0 OZ.,1744,3,98
12.0 oz. Alumi-Tek,1745,4,87
12.0 oz,1746,0,393
12.0 oz. Alumi-Tek,1747,4,87
12.0 oz.,1748,1,580
12.0 oz.,1749,1,580
12.0 OZ.,1750,3,98
12.0 oz.,1751,1,580
12.0 oz. Alumi-Tek,1752,4,87
12.0 oz,1753,0,393
12.0 oz.,1754,1,580
12.0 oz.,1755,1,580
12.0 ounce,1756,2,360
12.0 ounce,1757,2,360
16.0 oz,1758,9,220
16.0 oz.,1759,7,327
16.0 oz.,1760,7,327
16.0 ounce,1761,6,202
16.0 oz. Alumi-Tek,1762,8,38
16.0 oz.,1763,7,327
16.0 ounce,1764,6,202
12.0 oz. Alumi-Tek,1765,4,87
16.0 oz,1766,9,220
16.0 oz.,1767,7,327
16.0 ounce,1768,6,202
16.0 OZ.,1769,10,50
12.0 ounce,1770,2,360
12.0 ounce,1771,2,360
12.0 oz.,1772,1,580
12.0 oz.,1773,1,580
12.0 oz,1774,0,393
12.0 oz.,1775,1,580
12.0 oz.,1776,1,580
12.0 oz,1777,0,393
12.0 oz.,1778,1,580
12.0 oz.,1779,1,580
16.0 oz.,1780,7,327
16.0 ounce,1781,6,202
12.0 oz,1782,0,393
12.0 oz.,1783,1,580
12.0 oz.,1784,1,580
12.0 ounce,1785,2,360
12.0 oz.,1786,1,580
16.0 ounce,1787,6,202
16.0 oz,1788,9,220
12.0 oz.,1789,1,580
12.0 ounce,1790,2,360
12.0 oz.,1791,1,580
12.0 oz,1792,0,393
12.0 OZ.,1793,3,98
12.0 oz.,1794,1,580
12.0 ounce,1795,2,360
12.0 oz.,1796,1,580
12.0 oz,1797,0,393
12.0 oz.,1798,1,580
12.0 ounce,1799,2,360
12.0 ounce,1800,2,360
12.0 oz,1801,0,393
12.0 oz.,1802,1,580
12.0 ounce,1803,2,360
12.0 oz.,1804,1,580
12.0 ounce,1805,2,360
12.0 oz,1806,0,393
16.0 ounce,1807,6,202
12.0 ounce,1808,2,360
16.0 ounce,1809,6,202
12.0 ounce,1810,2,360
12.0 oz,1811,0,393
12.0 oz.,1812,1,580
12.0 oz.,1813,1,580
12.0 oz.,1814,1,580
12.0 oz.,1815,1,580
12.0 oz.,1816,1,580
16.0 oz.,1817,7,327
12.0 oz,1818,0,393
12.0 oz.,1819,1,580
12.0 oz.,1820,1,580
12.0 oz,1821,0,393
12.0 oz.,1822,1,580
12.0 ounce,1823,2,360
12.0 oz.,1824,1,580
12.0 oz. Alumi-Tek,1825,4,87
12.0 oz.,1826,1,580
12.0 oz.,1827,1,580
12.0 oz.,1828,1,580
16.0 oz,1829,9,220
16.0 oz,1830,9,220
16.0 oz.,1831,7,327
16.0 ounce,1832,6,202
16.0 oz,1833,9,220
16.0 ounce,1834,6,202
16.0 ounce,1835,6,202
16.0 oz.,1836,7,327
16.0 oz.,1837,7,327
12.0 oz.,1838,1,580
12.0 ounce,1839,2,360
12.0 oz.,1840,1,580
12.0 oz,1841,0,393
12.0 oz.,1842,1,580
12.0 oz.,1843,1,580
12.0 ounce,1844,2,360
12.0 oz.,1845,1,580
12.0 oz.,1846,1,580
12.0 oz.,1847,1,580
16.0 oz.,1848,7,327
12.0 ounce,1849,2,360
12.0 oz.,1850,1,580
16.0 oz.,1851,7,327
12.0 oz. Alumi-Tek,1852,4,87
16.0 oz,1853,9,220
12.0 oz.,1854,1,580
12.0 oz.,1855,1,580
12.0 oz,1856,0,393
12.0 oz. Alumi-Tek,1857,4,87
12.0 oz,1858,0,393
12.0 OZ.,1859,3,98
16.0 ounce,1860,6,202
24.0 ounce,1861,17,7
12.0 oz.,1862,1,580
12.0 oz.,1863,1,580
12.0 ounce,1864,2,360
16.0 OZ.,1865,10,50
16.0 ounce,1866,6,202
16.0 oz.,1867,7,327
16.0 oz.,1868,7,327
16.0 oz,1869,9,220
12.0 oz. Alumi-Tek,1870,4,87
16.0 oz.,1871,7,327
16.0 oz.,1872,7,327
16.0 ounce,1873,6,202
12.0 oz,1874,0,393
16.0 OZ.,1875,10,50
16.0 ounce,1876,6,202
16.0 ounce,1877,6,202
16.0 oz.,1878,7,327
16.0 oz.,1879,7,327
16.0 ounce,1880,6,202
12.0 oz,1881,0,393
12.0 oz,1882,0,393
12.0 OZ.,1883,3,98
12.0 ounce,1884,2,360
12.0 oz.,1885,1,580
12.0 oz,1886,0,393
12.0 oz.,1887,1,580
12.0 ounce,1888,2,360
12.0 oz.,1889,1,580
12.0 oz,1890,0,393
12.0 oz,1891,0,393
12.0 oz.,1892,1,580
12.0 oz,1893,0,393
12.0 ounce,1894,2,360
24.0 ounce,1895,17,7
24.0 ounce,1896,17,7
12.0 ounce,1897,2,360
12.0 oz. Alumi-Tek,1898,4,87
12.0 oz,1899,0,393
