Address1,ZipCode,original_index,unique_index
1653 temple avenue north,35555,892,91
1653 temple avenue north,35555,893,91
1653 temple avenue north,35555,894,91
1653 temple avenue north,35555,895,91
1653 temple avenue north,35555,896,91
1653 temple avenue north,35555,897,91
1653 temple avenue north,35555,898,91
1653 temple avenue north,35555,899,91
1653 temple avenue north,35555,900,91
1653 temple avenue north,35555,901,91
600 south third street,35901,902,92
600 south third street,35901,903,92
600 south third street,35901,904,92
600 south third street,35901,905,92
600 south third street,35901,906,92
600 south third street,35901,907,92
600 south third street,35901,908,92
600 south third street,35901,909,92
600 south third street,35901,910,92
600 south third street,35901,911,92
600 south third street,35901,912,92
600 south third street,35901,913,92
600 south third street,35901,914,92
600 souxh xhird sxreex,35901,915,93
600 south third street,35901,916,92
600 south third street,35901,917,92
600 south third street,35901,918,92
600 south third street,35901,919,92
600 south third street,35901,920,92
600 south third street,35901,921,92
600 south third street,35901,922,92
600 south third street,3590x,923,94
600 south third street,35901,924,92
600 south third street,35901,925,92
600 south third street,35901,926,92
600 south third street,35901,927,92
600 south third street,35901,928,92
600 south third street,35901,929,92
515 miranda st,36033,930,95
515 miranda st,36033,931,95
515 miranda st,36033,932,95
515 miranda st,36033,933,95
515 miranda sx,36033,934,96
515 miranxa st,36033,935,97
515 miranda st,36033,936,95
515 miranda st,36033,937,95
515 miranda st,36033,938,95
515 miranda st,36033,939,95
515 miranda st,36033,940,95
515 miranda st,36033,941,95
515 miranda st,36033,942,95
515 miranda st,36033,943,95
515 miranda st,36033,944,95
515 mirxndx st,36033,945,98
515 miranda st,36033,946,95
515 miranda st,36033,947,95
515 miranda st,36033,948,95
515 miranda st,36033,949,95
515 miranda st,36033,950,95
515 miranda st,36033,951,95
515 miranda st,36033,952,95
515 miranda st,36033,953,95
515 miranda st,36033,954,95
400 n edwards street,36330,955,99
400xnxedwardsxstreet,36330,956,100
400 n edwards street,36330,957,99
400 n edwards street,36330,958,99
400 n edwards street,36330,959,99
400 n edwards street,36330,960,99
400 n edwards street,36330,961,99
400 n edwards street,36330,962,99
400 n edwards street,36330,963,99
400 n edwards street,36330,964,99
400 n edwards street,36330,965,99
400 n edwards street,36330,966,99
400 n edwards street,36330,967,99
400 n edwards street,36330,968,99
400 n edwards street,36330,969,99
400 n edwards street,36330,970,99
400 n edwards street,36330,971,99
400 n edwards street,36330,972,99
400 n edwards street,36330,973,99
400 n edwards street,36330,974,99
400 n edwards street,36330,975,99
400 n edwards street,36330,976,99
400 n edwards street,36330,977,99
400 n edwards street,36330,978,99
400 n edwards street,36330,979,99
150 gilbreath drive,35121,980,101
150 gilbreath drive,35121,981,101
150 gilbreath drive,35121,982,101
150 gilbreath drive,35121,983,101
150 gilbreath drive,35121,984,101
150 gilbreath drive,35121,985,101
150 gilxreath drive,35121,986,102
150 gilbreath drive,35121,987,101
150 gilbreath drive,35121,988,101
150 gilbreath drive,35121,989,101
150 gilbreath drive,35121,990,101
150 gilbreath drive,35121,991,101
150 gilbreath drive,35121,992,101
150 gilbreath drive,35121,993,101
150 gilbreath drive,35121,994,101
150 gilbreath drive,35121,995,101
150 gilbreath drive,35121,996,101
150 gilbreath drive,35121,997,101
150 gilbreath drive,35121,998,101
150 gilbreath drive,35121,999,101
