Year,Release Date,original_index,unique_index
2014,,1881,1649
1990,16 March 1990 (USA),1882,1650
2011,28 January 2011 (USA),1883,1651
2005,21 October 2005 (USA),1884,1652
2000,21 April 2000 (USA),1885,1653
2006,27 July 2007 (USA),1886,1654
2002,6 December 2002 (USA),1887,1655
1995,28 July 1995 (USA),1888,1439
2007,7 September 2007 (USA),1889,1656
2000,16 June 2000 (USA),1890,1657
2000,18 February 2000 (USA),1891,1658
2005,15 June 2005 (USA),1892,1659
1996,24 July 1996 (USA),1893,1660
2009,25 September 2009 (USA),1894,1661
2005,10 November 2006 (USA),1895,1662
2011,15 July 2011 (USA),1896,1663
1975,20 June 1975 (USA),1897,1664
1997,23 May 1997 (USA),1898,1665
2013,24 January 2014 (USA),1899,1666
2001,18 July 2001 (USA),1900,1667
1990,4 July 1990 (USA),1901,1668
2007,27 June 2007 (USA),1902,1669
1976,8 October 1976 (USA),1903,1670
2005,14 December 2005 (USA),1904,1671
2008,22 October 2011 (USA),1905,1672
2013,9 August 2013 (USA),1906,1092
1967,29 January 1975 (France),1907,1673
1932,20 February 1932 (USA),1908,1674
1933,22 December 1933 (USA),1909,1675
2006,4 July 2008 (Mexico),1910,1676
2008,13 June 2008 (USA),1911,1091
1976,17 December 1976 (USA),1912,1677
1942 1943 1944,"Aug 27, 1943 Limited",1913,1678
1940,12 January 1940 (USA),1914,1679
1944,1 December 1944 (USA),1915,1680
1932,20 October 1932 (USA),1916,1681
1935,13 May 1935 (USA),1917,1682
1942,13 March 1942 (USA),1918,1683
1931,3 January 1932 (USA),1919,1684
2013,11 April 2014 (USA),1920,1685
2008,20 January 2008 (USA),1921,1686
2011,18 November 2011 (USA),1922,1687
2000,26 January 2001 (USA),1923,1688
2009,9 April 2009 (Australia),1924,1689
2001 2002 2003,"Jan 1, 2002 Wide",1925,1690
2008,10 February 2012 (UK),1926,1691
2008,20 August 2008 (USA),1927,1692
2009,5 June 2009 (USA),1928,1693
2002,27 September 2002 (USA),1929,1599
2007,21 December 2007 (USA),1930,1125
1943,5 November 1943 (USA),1931,1694
1936,11 May 1936 (USA),1932,1695
1948,15 June 1948 (USA),1933,1696
1945,7 December 1945 (USA),1934,1697
1940,20 September 1940 (USA),1935,1698
1944,22 December 1944 (USA),1936,1699
1954,19 June 1954 (USA),1937,1700
1988,2 July 1988 (South Korea),1938,1701
1956,26 April 1956 (USA),1939,1702
1955,22 July 1955 (Finland),1940,1703
2005,5 August 2005 (USA),1941,733
1942,23 October 1942 (USA),1942,1704
1985,8 November 1985 (USA),1943,1705
1980,28 May 1980 (France),1944,1706
2006,17 November 2006 (USA),1945,149
1969,23 October 1969 (Sweden),1946,1707
1964,11 July 1964 (Japan),1947,1708
1977 1978 1979,"Dec 8, 1978 Wide",1948,1709
2008,28 March 2008 (USA),1949,1513
1939,17 January 1940 (USA),1950,1710
1954,22 June 1954 (Japan),1951,1711
1971,23 December 1971 (USA),1952,1712
1976,22 December 1976 (USA),1953,1713
1973,25 December 1973 (USA),1954,1714
1970,16 June 1970 (USA),1955,1715
1986,5 December 1986 (USA),1956,1716
1968,2 October 1968 (USA),1957,1717
1968,3 August 1968 (USA),1958,1718
1972,14 July 1972 (USA),1959,1719
1958,2 April 1958 (USA),1960,1720
1954,16 December 1954 (Portugal),1961,1721
2009,19 June 2009 (USA),1962,1722
2008,3 May 2008 (USA),1963,1723
2014,21 February 2014 (USA),1964,1724
2014,22 August 2014 (USA),1965,1725
2014,16 May 2014 (USA),1966,1093
1998,1 May 1998 (USA),1967,1726
2002,10 January 2003 (USA),1968,1727
2007,25 December 2007 (USA),1969,1728
1998,16 January 1998 (USA),1970,1729
2003,3 October 2003 (USA),1971,1286
2004,30 July 2004 (USA),1972,452
1965,23 June 1965 (USA),1973,1730
2003,2 July 2003 (USA),1974,512
2002,24 May 2002 (USA),1975,697
2000,19 May 2000 (USA),1976,1731
1934,17 August 1934 (USA),1977,1732
1974,20 December 1974 (USA),1978,1733
1944,November 1944 (USA),1979,1734
1962,22 April 1962 (USA),1980,1735
1951,30 June 1951 (USA),1981,1736
1955,24 November 1955 (Argentina),1982,1737
1950,13 October 1950 (USA),1983,1738
1940,26 December 1940 (USA),1984,1739
1961,25 September 1961 (USA),1985,1740
1946,6 September 1946 (USA),1986,1741
1961,18 December 1961 (Sweden),1987,1742
2001,13 July 2001 (USA),1988,1212
1957,20 April 1957 (USA),1989,1743
1966,19 October 1966 (USA),1990,1744
1948,2 July 1948 (USA),1991,1745
2011,9 September 2011 (USA),1992,341
1964,25 December 1964 (Finland),1993,582
1974,17 December 1974 (USA),1994,1746
1947 1948 1949,"Aug 20, 1948 Limited",1995,1747
1939,11 May 1939 (USA),1996,1748
1972,17 December 1972 (USA),1997,1749
1981,11 December 1981 (USA),1998,1750
1942,24 December 1942 (Mexico),1999,1751
1953,14 October 1953 (USA),2000,1752
1950,17 May 1950 (USA),2001,1753
1949,3 September 1949 (USA),2002,1754
1947,13 November 1947 (USA),2003,1755
1949,January 1950 (USA),2004,1756
1950 1951 1952,"Aug 15, 1951 Wide",2005,1757
1947,February 1948 (USA),2006,1758
1935,1936 (Turkey),2007,1759
1955,10 June 1955 (Belgium),2008,1760
2005,21 October 2005 (USA),2009,1652
2013,26 April 2013 (USA),2010,1415
1958,1 May 1958 (UK),2011,1761
2013,28 March 2013 (USA),2012,1762
2013,30 August 2013 (Taiwan),2013,1763
2008,20 June 2008 (USA),2014,1764
2003,16 April 2003 (USA),2015,1765
1941,18 October 1941 (USA),2016,1766
1952,30 July 1952 (USA),2017,1767
1980,28 May 1980 (France),2018,1706
1944,20 January 1945 (USA),2019,1768
1948,31 July 1948 (USA),2020,1769
1955,3 June 1955 (USA),2021,1770
1998,25 November 1998 (USA),2022,836
1995,15 December 1995 (USA),2023,893
1961,4 November 1961 (Japan),2024,1771
1964,8 April 1964 (USA),2025,1772
1953,2 September 1953 (USA),2026,1773
1957,30 June 1957 (USA),2027,1774
1957,13 February 1957 (USA),2028,1775
1967,26 October 1967 (USA),2029,1776
1966,19 August 1966 (UK),2030,1777
1963,5 December 1963 (USA),2031,1778
1934,23 February 1934 (USA),2032,1779
1950,15 January 1951 (Sweden),2033,1780
1957,April 1957 (USA),2034,699
1943,22 September 1944 (Sweden),2035,1781
1942,1 December 1942 (Sweden),2036,1782
1940,12 April 1940 (USA),2037,1783
1970,29 October 1970 (USA),2038,1784
1963,5 June 1963 (USA),2039,1785
1938,26 November 1938 (USA),2040,1786
1957,25 October 1957 (West Germany),2041,1787
1931,7 March 1931 (USA),2042,1788
2002,8 February 2002 (USA),2043,1789
1944,20 July 1944 (USA),2044,1790
1938,3 November 1938 (France),2045,1791
1932,11 September 1932 (USA),2046,1792
1950,26 May 1950 (USA),2047,1793
1937,2 October 1937 (USA),2048,1794
1944,2 October 1944 (Brazil),2049,1795
1993,12 February 1993 (USA),2050,1796
1997,10 October 1997 (USA),2051,1797
1988,November 1988 (USA),2052,1798
1972,10 September 1972 (Sweden),2053,1799
1980,20 June 1980 (USA),2054,935
1979,21 December 1979 (USA),2055,1800
1986,17 January 1986 (USA),2056,1801
1986,20 June 1986 (USA),2057,1802
1980 1981 1982,"Apr 17, 1981 Limited",2058,1803
2012,21 November 2012 (USA),2059,748
2002,25 January 2002 (USA),2060,292
1976,23 June 1976 (USA),2061,1804
2005,4 March 2005 (USA),2062,931
2001 2002 2003,"Mar 8, 2002 Wide",2063,1805
2000,4 August 2000 (USA),2064,1431
1991,8 November 1991 (USA),2065,1806
2012,17 November 2012 (Japan),2066,1807
1977,24 June 1977 (USA),2067,1808
1985,1 November 1985 (USA),2068,1809
2015,25 September 2015 (USA),2069,470
1987,30 October 1992 (USA),2070,1810
2018,4 May 2018 (USA),2071,1811
1944,23 September 1944 (USA),2072,1812
1938,18 February 1938 (USA),2073,1813
1939,15 May 1939 (USA),2074,1814
1941,21 March 1941 (USA),2075,1815
1940,12 January 1940 (USA),2076,1679
1937,21 October 1937 (USA),2077,1816
1994,4 March 1994 (USA),2078,1817
1936,17 September 1936 (USA),2079,1818
1938,15 June 1938 (USA),2080,1819
1993,8 October 1993 (USA),2081,948
2003,20 June 2003 (USA),2082,1820
1994,28 October 1994 (USA),2083,1821
2012,2015 (USA),2084,1822
2011,26 May 2011 (Belarus),2085,1823
2002,18 October 2002 (USA),2086,1824
1999,10 March 2000 (UK),2087,1825
2005,9 September 2005 (UK),2088,1826
2012,1 November 2013 (USA),2089,1827
2002,27 June 2003 (UK),2090,1828
2012,9 November 2012 (Bulgaria),2091,1829
2006,9 March 2007 (USA),2092,1830
2014,17 October 2014 (USA),2093,1831
2011,20 May 2011 (USA),2094,1832
2014,17 December 2014 (USA),2095,1833
1939,20 October 1939 (USA),2096,1834
2014,21 November 2014 (USA),2097,1472
2006,28 July 2006 (USA),2098,1314
2008,25 December 2008 (USA),2099,1246
2002,25 December 2002 (USA),2100,1835
2008,25 December 2008 (USA),2101,1246
2004,25 June 2004 (USA),2102,1253
2012,5 October 2012 (USA),2103,830
1989,9 June 1989 (USA),2104,1836
2018,28 May 2018 (USA),2105,1837
2015,1 June 2015 (USA),2106,1838
2016,2016 (USA),2107,438
2016,22 July 2016 (USA),2108,1446
1990,30 March 1990 (USA),2109,1839
2011,29 April 2011 (USA),2110,1840
1931,19 September 1931 (USA),2111,1841
1969,11 June 1969 (USA),2112,1842
1959,4 April 1959 (USA),2113,1843
1967,27 May 1967 (USA),2114,1844
1975,November 1975 (USA),2115,1845
1970,18 December 1970 (USA),2116,1846
1995,20 October 1995 (USA),2117,1847
1970,29 July 1970 (USA),2118,1848
1971,26 May 1971 (USA),2119,1849
2014,8 August 2014 (USA),2120,1850
2014,7 March 2014 (USA),2121,829
2014,15 August 2014 (USA),2122,1851
1995,7 April 1995 (USA),2123,960
2003,18 July 2003 (USA),2124,1852
1996,22 May 1996 (USA),2125,1853
1953,26 August 1953 (USA),2126,1854
2008,25 December 2008 (USA),2127,1246
2006,5 May 2006 (USA),2128,1855
1994,11 March 1994 (USA),2129,1856
1997,7 November 1997 (USA),2130,1857
1929,3 August 1929 (USA),2131,1858
1997,6 June 1997 (USA),2132,1859
2001,25 May 2001 (USA),2133,1860
2017,3 March 2017 (USA),2134,1861
2008,1 August 2008 (USA),2135,1862
2002,22 March 2002 (USA),2136,1863
2002,19 April 2002 (USA),2137,1864
2004,2 April 2004 (USA),2138,665
2008,11 July 2008 (USA),2139,927
2006,19 May 2006 (USA),2140,835
2007,27 April 2007 (USA),2141,1865
1996,7 June 1996 (USA),2142,1866
2009 2010 2011,"Jul 14, 2010 Wide",2143,1867
2003,30 May 2003 (USA),2144,599
2008,14 February 2008 (USA),2145,296
2008,22 August 2008 (USA),2146,1607
2002,11 October 2002 (USA),2147,1440
2004,12 March 2004 (USA),2148,1868
2007,21 December 2007 (USA),2149,1125
2012,11 May 2012 (USA),2150,1869
2009,1 July 2009 (USA),2151,846
2010,25 December 2010 (USA),2152,1870
1990,14 December 1990 (USA),2153,1871
2001,8 June 2001 (USA),2154,1872
2005,16 September 2005 (USA),2155,1873
2004,8 December 2004 (USA),2156,1874
2009,23 January 2009 (USA),2157,1875
1992,13 November 1992 (USA),2158,1876
2012,20 January 2012 (USA),2159,651
2004,10 December 2004 (USA),2160,1877
2001,7 December 2001 (USA),2161,1878
2007,8 June 2007 (USA),2162,916
2011,16 December 2011 (USA),2163,786
2007,19 January 2007 (USA),2164,1879
2009,15 May 2009 (USA),2165,1880
2007,16 February 2007 (USA),2166,1300
2008,31 October 2008 (USA),2167,188
2010,13 August 2010 (USA),2168,201
2009,6 February 2009 (USA),2169,543
2010,2 April 2010 (USA),2170,1881
2009,9 September 2009 (USA),2171,1882
1983,17 June 1983 (USA),2172,1883
1984,8 June 1984 (USA),2173,1884
1984,8 June 1984 (USA),2174,1884
1995,16 June 1995 (USA),2175,180
1997,20 June 1997 (USA),2176,1523
2006,28 June 2006 (USA),2177,1885
1988,30 March 1988 (USA),2178,1886
1980,19 June 1981 (USA),2179,1887
1989,23 June 1989 (USA),2180,616
1989,16 June 1989 (USA),2181,1888
2013 2014 2015,"Jan 17, 2014 Wide",2182,1889
2013,1 November 2013 (USA),2183,1890
1989,14 July 1989 (USA),2184,1891
1937,11 June 1937 (USA),2185,1892
2011,17 June 2011 (USA),2186,926
1982,9 July 1982 (USA),2187,1893
2010,28 May 2010 (USA),2188,1894
2011,7 October 2011 (USA),2189,328
2012,9 March 2012 (USA),2190,1895
2011,18 February 2011 (USA),2191,811
2003,14 November 2003 (USA),2192,1643
1946,12 October 1946 (Sweden),2193,1896
1973,26 May 1973 (France),2194,1897
1990,15 June 1990 (USA),2195,60
1997,19 September 1997 (USA),2196,1898
1941,20 June 1941 (USA),2197,1899
1995,15 September 1995 (USA),2198,1900
2000,19 January 2001 (USA),2199,1901
1930,28 August 1930 (USA),2200,1902
1990,26 December 1990 (USA),2201,1903
2007,2 November 2007 (USA),2202,602
1940,6 December 1940 (USA),2203,1904
1938,30 September 1938 (USA),2204,1905
2003,15 October 2003 (USA),2205,1906
2007,19 October 2007 (USA),2206,1396
2002,29 March 2002 (USA),2207,604
1998,20 November 1998 (USA),2208,1016
2005,11 February 2005 (USA),2209,1907
1999,30 June 1999 (USA),2210,902
2008,19 December 2008 (USA),2211,944
2006,15 December 2006 (USA),2212,1247
2000,3 November 2000 (USA),2213,1908
1996,27 November 1996 (USA),2214,1267
2012,16 November 2012 (USA),2215,1909
1935,15 November 1935 (USA),2216,1910
1997,31 December 1997 (USA),2217,1911
1932,17 May 1932 (USA),2218,1912
2005,8 April 2005 (USA),2219,1182
1993,1 October 1993 (USA),2220,519
1993,25 February 1994 (USA),2221,1913
2002,20 December 2002 (USA),2222,1520
1985,11 December 1985 (USA),2223,1914
1989,8 December 1989 (USA),2224,1915
1984,30 March 1984 (USA),2225,1916
1989,22 September 1989 (USA),2226,1917
1993,7 April 1993 (USA),2227,1918
2001,28 September 2001 (USA),2228,904
2011,29 September 2011 (Germany),2229,1919
2012,6 July 2012 (USA),2230,1920
2010,12 March 2010 (USA),2231,1921
2008,26 September 2008 (USA),2232,316
2007,13 April 2007 (USA),2233,1922
2008,28 March 2008 (USA),2234,1513
1956,December 1956 (USA),2235,639
1986,21 February 1986 (USA),2236,1923
1997 1998 1999,"Mar 20, 1998 Wide",2237,1924
2006,31 March 2006 (USA),2238,850
1993,21 May 1993 (USA),2239,1925
1986 1987 1988,"Jul 3, 1987 Wide",2240,1926
1996,28 June 1996 (USA),2241,1927
2008,24 January 2009 (USA),2242,424
2003,16 January 2004 (USA),2243,1928
2005 2006 2007,"Oct 27, 2006 Wide",2244,1929
2001,5 October 2001 (USA),2245,1930
2002,10 January 2003 (USA),2246,1727
1956,1 June 1956 (USA),2247,1931
2009,3 June 2010 (Argentina),2248,1932
1981,24 April 1981 (USA),2249,1933
1986,23 April 1986 (USA),2250,1934
2003,6 June 2003 (Spain),2251,1935
1974,1974 (USA),2252,1936
1997,3 October 1997 (USA),2253,1503
2008,23 January 2009 (USA),2254,1302
2002 2003 2004,"Aug 15, 2003 Wide",2255,1937
1995,17 November 1995 (USA),2256,1938
1997,21 February 1997 (USA),2257,1939
1977,31 December 1978 (Poland),2258,1940
1986,17 October 1986 (USA),2259,1941
1992,11 December 1992 (USA),2260,529
1988,16 December 1988 (USA),2261,1942
1990,27 June 1990 (USA),2262,1943
1983,5 August 1983 (USA),2263,1338
1981,25 December 1981 (USA),2264,1944
1988,29 July 1988 (USA),2265,1945
1993,30 June 1993 (USA),2266,1946
1996,13 December 1996 (USA),2267,1947
2008,22 February 2008 (USA),2268,1948
2005,23 September 2005 (USA),2269,1949
2006,3 March 2006 (USA),2270,956
2006,7 April 2006 (USA),2271,1950
2008,29 February 2008 (USA),2272,396
1972,12 October 1972 (USA),2273,1951
2002,9 August 2002 (USA),2274,1430
2005,29 April 2005 (USA),2275,1952
2008,20 January 2008 (USA),2276,1686
2015,2015 (USA),2277,260
2002,10 April 2003 (Germany),2278,1953
2006,1 September 2006 (UK),2279,1954
2009,16 February 2010 (USA),2280,1955
2006,7 February 2007 (France),2281,1956
2008,25 April 2008 (USA),2282,1957
2011,18 November 2011 (USA),2283,1687
2009,4 September 2009 (USA),2284,1958
2002,1 June 2002 (USA),2285,1959
1993,,2286,1960
1975,10 September 1975 (France),2287,1961
2001,11 July 2001 (USA),2288,1962
2009,12 May 2010 (USA),2289,1963
1999,3 November 1999 (France),2290,1964
1990,17 August 1990 (USA),2291,1965
1996,31 May 1996 (USA),2292,1611
2010,14 May 2010 (USA),2293,1966
1999,30 April 1999 (USA),2294,1967
1995,7 July 1995 (USA),2295,1968
1996,16 August 1996 (USA),2296,1969
1994,24 June 1994 (USA),2297,143
1997,25 December 1997 (USA),2298,276
1982,12 March 1982 (USA),2299,1970
2007,21 November 2007 (USA),2300,868
1975 1976 1977,"Nov 16, 1976 Wide",2301,1971
2010,27 August 2010 (USA),2302,1972
1989,21 April 1989 (USA),2303,1973
1995,24 March 1995 (USA),2304,1974
1994,21 April 1995 (USA),2305,1975
1983,9 December 1983 (USA),2306,1065
1936,12 October 1936 (Brazil),2307,1976
2000,31 March 2000 (UK),2308,1977
1933,21 October 1933 (USA),2309,1978
1994 1995 1996,"Aug 25, 1995 Wide",2310,1979
2007,21 June 2007 (Israel),2311,1980
1941,27 September 1941 (USA),2312,1981
1995,25 December 1995 (USA),2313,1982
2006 2007 2008,"Apr 6, 2007 Wide",2314,1983
2010,3 September 2010 (USA),2315,1984
1996,19 January 1996 (USA),2316,1985
1997,25 December 1997 (USA),2317,276
2003,12 September 2003 (USA),2318,1986
1996,6 December 1996 (USA),2319,649
2004,6 May 2005 (USA),2320,1987
2001,23 February 2001 (USA),2321,798
1993,24 November 1993 (USA),2322,1221
1987,14 August 1987 (USA),2323,378
2002,22 February 2002 (USA),2324,1988
2006,29 September 2006 (USA),2325,1026
2008,1 August 2008 (USA),2326,1862
2003,15 August 2003 (USA),2327,1989
1998 1999 2000,"Sep 17, 1999 Wide",2328,1990
1990,2 March 1990 (USA),2329,1991
1987,6 March 1987 (USA),2330,1992
1992,9 October 1992 (USA),2331,1993
1998,6 March 1998 (USA),2332,1994
1990,27 July 1990 (USA),2333,1995
1985,8 February 1985 (USA),2334,1996
1992,5 June 1992 (USA),2335,1997
1994,3 August 1994 (USA),2336,1998
1997,25 July 1997 (USA),2337,1999
1998,25 September 1998 (USA),2338,2000
1991,15 November 1991 (USA),2339,2001
2002,12 July 2002 (USA),2340,1037
2008,17 July 2008 (Greece),2341,2002
1967,20 January 1978 (Finland),2342,2003
1972,14 June 1972 (USA),2343,2004
2007,2008 (USA),2344,2005
2006,28 April 2006 (USA),2345,287
2002,14 June 2002 (USA),2346,2006
2008,5 September 2008 (USA),2347,1633
2000,22 December 2000 (USA),2348,2007
2005,28 October 2005 (USA),2349,1082
2009,24 April 2009 (USA),2350,2008
2013,21 September 2014 (UK),2351,2009
2014,23 January 2015 (South Africa),2352,2010
2015,10 April 2015 (USA),2353,2011
2003,7 February 2003 (USA),2354,1609
2008,8 February 2008 (USA),2355,2012
2006,10 March 2006 (USA),2356,2013
1998,17 July 1998 (USA),2357,2014
2012,17 October 2012 (Belgium),2358,2015
2011,29 June 2012 (UK),2359,2016
1998,29 July 1998 (USA),2360,882
2013,22 November 2013 (USA),2361,1105
2007,20 April 2007 (USA),2362,2017
2012,10 May 2013 (USA),2363,2018
2007,19 October 2007 (USA),2364,1396
1986,27 February 1987 (USA),2365,2019
2014,11 April 2014 (USA),2366,827
2011,23 September 2011 (USA),2367,1003
1999,14 January 2000 (USA),2368,53
2000,22 December 2000 (USA),2369,2007
2010,17 December 2010 (USA),2370,804
2010,1 October 2010 (USA),2371,2020
2009,19 June 2009 (USA),2372,1722
2013,22 February 2013 (USA),2373,2021
2003,26 September 2003 (USA),2374,2022
2004,2 April 2004 (USA),2375,665
2010,24 November 2010 (USA),2376,794
2003,24 October 2003 (USA),2377,2023
1984,11 May 1984 (USA),2378,479
2005,30 September 2005 (USA),2379,2024
2000,28 April 2000 (USA),2380,2025
1980,15 February 1980 (USA),2381,2026
1971,1 June 1971 (France),2382,2027
1969,6 February 1970 (Norway),2383,2028
1933,17 November 1933 (USA),2384,2029
1980,10 October 1980 (USA),2385,1481
1989 1990 1991,"Nov 30, 1990 Wide",2386,2030
1942,6 June 1942 (USA),2387,2031
1973,14 October 1973 (USA),2388,2032
1998 1999 2000,"Mar 5, 1999 Wide",2389,364
1996,18 October 1996 (USA),2390,2033
2000,10 November 2000 (USA),2391,2034
1968,21 December 1968 (Italy),2392,2035
1991,22 November 1991 (USA),2393,144
1974,20 June 1974 (USA),2394,2036
1976,27 November 1976 (USA),2395,2037
1993,19 November 1993 (USA),2396,2038
2007,21 November 2007 (USA),2397,868
2004,23 January 2004 (USA),2398,2039
2011,21 December 2011 (USA),2399,1462
1974,June 1974 (France),2400,2040
1979,16 March 1979 (USA),2401,2041
2004,3 December 2004 (USA),2402,2042
1996,3 April 1996 (USA),2403,2043
2006,1 September 2006 (USA),2404,2044
1991,12 July 1991 (USA),2405,2045
1997,13 June 1997 (USA),2406,2046
1986,8 May 1987 (USA),2407,2047
2002,15 March 2002 (USA),2408,851
2003,3 June 2003 (USA),2409,2048
2006,16 June 2006 (USA),2410,899
2013,25 December 2013 (USA),2411,1573
2008,12 December 2008 (USA),2412,2049
2015,5 June 2015 (USA),2413,2050
1990,November 1990 (USA),2414,2051
2001,16 February 2001 (USA),2415,2052
1988,22 April 1988 (USA),2416,1139
2010,14 January 2011 (UK),2417,2053
1991,,2418,2054
1997,20 June 1997 (USA),2419,1523
1999,19 October 1999 (USA),2420,2055
1988,October 1988 (USA),2421,2056
1986,11 April 1986 (USA),2422,2057
1996,25 June 1997 (USA),2423,2058
1974,15 December 1974 (USA),2424,2059
1999,25 June 1999 (USA),2425,2060
1998,6 November 1998 (USA),2426,550
2003,11 April 2003 (USA),2427,2061
2006,23 June 2006 (USA),2428,2062
2011,11 February 2011 (USA),2429,895
2007,20 July 2007 (USA),2430,2063
2004,13 February 2004 (USA),2431,2064
2002,28 June 2002 (USA),2432,2065
2008,6 June 2008 (USA),2433,847
2010,25 June 2010 (USA),2434,2066
1998,16 January 1998 (USA),2435,1729
1996,9 February 1996 (USA),2436,2067
2008,11 April 2008 (USA),2437,2068
1980,25 July 1980 (USA),2438,2069
1988,2 September 1988 (USA),2439,2070
1988,15 June 1988 (USA),2440,2071
1992,27 March 1992 (USA),2441,2072
1994,30 March 1994 (USA),2442,953
1998,17 April 1998 (USA),2443,2073
1991 1992 1993,"Jul 1, 1992 Wide",2444,2074
1930,1 March 1930 (USA),2445,2075
1985,1 March 1985 (USA),2446,2076
2006,10 February 2006 (USA),2447,123
1932,15 October 1932 (USA),2448,2077
1957,10 December 1957 (Portugal),2449,2078
1954,8 September 1954 (USA),2450,2079
1940,22 March 1940 (USA),2451,2080
1945 1946 1947,"Aug 3, 1946 Wide",2452,2081
1921,30 October 1921 (USA),2453,2082
1967,25 October 1967 (USA),2454,2083
1946,14 September 1946 (USA),2455,2084
1964,11 June 1964 (USA),2456,2085
2000,19 January 2001 (USA),2457,1901
1993,3 September 1993 (USA),2458,2086
2001,9 March 2001 (USA),2459,2087
2002,6 December 2002 (USA),2460,1655
2013,27 August 2013 (USA),2461,2088
1998,11 September 1998 (USA),2462,2089
2008,24 October 2008 (USA),2463,2090
1967,19 December 1967 (USA),2464,2091
1987,9 October 1987 (USA),2465,324
1946,7 January 1947 (USA),2466,2092
1977,3 November 1977 (USA),2467,2093
1948,17 March 1948 (USA),2468,2094
1947,2 May 1947 (USA),2469,2095
1945,21 February 1946 (Sweden),2470,2096
1946,May 1947 (USA),2471,2097
1942,5 March 1943 (USA),2472,2098
1944,January 1945 (USA),2473,2099
1993,14 May 1993 (USA),2474,2100
1959,14 January 1960 (Sweden),2475,2101
1954,23 December 1954 (USA),2476,2102
1951,24 September 1951 (USA),2477,2103
1933,24 November 1933 (USA),2478,2104
1939,22 December 1939 (USA),2479,2105
1944,26 January 1945 (USA),2480,2106
1962,15 June 1962 (USA),2481,2107
1987,March 1987 (USA),2482,2108
1995,4 August 1995 (USA),2483,2109
1990,11 July 1990 (USA),2484,2110
2011,24 June 2011 (Lithuania),2485,2111
2004,28 May 2004 (USA),2486,1120
2005,4 February 2005 (USA),2487,2112
2008,2 May 2008 (USA),2488,2113
2010,29 January 2010 (USA),2489,2114
2007,3 July 2007 (USA),2490,302
2009,13 February 2009 (USA),2491,204
2005,16 December 2005 (USA),2492,2115
1977,11 March 1977 (USA),2493,2116
1948,27 May 1948 (USA),2494,2117
1999,16 June 2000 (USA),2495,2118
1944,4 February 1945 (Brazil),2496,2119
1939 1940 1941,"Nov 13, 1940 Wide",2497,2120
1946,15 August 1946 (USA),2498,2121
2002,16 July 2002 (USA),2499,2122
1941,20 June 1941 (USA),2500,1899
1950,19 July 1950 (USA),2501,2123
1948,19 January 1949 (USA),2502,2124
2009,7 August 2009 (USA),2503,301
1996,2 August 1996 (USA),2504,1205
1968,13 March 1969 (USA),2505,2125
1977,24 June 1977 (USA),2506,1808
1980,25 June 1980 (USA),2507,2126
1974,6 June 1974 (USA),2508,2127
1993,17 December 1993 (USA),2509,2128
1993,12 February 1993 (USA),2510,1796
1992,3 April 1992 (USA),2511,2129
1998,9 October 1998 (USA),2512,2130
1995,26 May 1995 (USA),2513,1209
2013,1 October 2013 (USA),2514,2131
1982 1983 1984,"Nov 18, 1983 Wide",2515,2132
2010,8 June 2010 (USA),2516,2133
2008,31 October 2008 (USA),2517,188
1997,4 April 1997 (USA),2518,2134
2006,21 July 2006 (USA),2519,1022
1999,12 November 1999 (USA),2520,2135
2011,30 September 2011 (UK),2521,2136
2002,13 December 2002 (USA),2522,2137
1995,20 October 1995 (USA),2523,1847
1994,4 November 1994 (Italy),2524,2138
1990,24 August 1990 (USA),2525,2139
1993 1994 1995,"Jan 1, 1994 Wide",2526,2140
1984,23 March 1984 (USA),2527,2141
2015,,2528,1514
2014,10 September 2015 (Kuwait),2529,2142
2014,,2530,1649
2014,26 April 2014 (USA),2531,2143
2015,23 July 2015 (Denmark),2532,2144
2008,2 July 2008 (USA),2533,1117
2014,24 October 2014 (USA),2534,2145
2002,7 August 2002 (USA),2535,2146
2014,13 May 2014 (USA),2536,2147
2006,8 December 2006 (USA),2537,2148
2010,21 June 2010 (USA),2538,2149
1996,5 April 1996 (USA),2539,2150
2014,7 April 2015 (USA),2540,2151
2006,10 August 2006 (Israel),2541,2152
2010,19 March 2010 (USA),2542,1601
2011,25 March 2011 (USA),2543,2153
2009,16 January 2009 (USA),2544,2154
2008,4 April 2008 (USA),2545,2155
2008,25 December 2008 (USA),2546,1246
2003,7 November 2003 (USA),2547,2156
2005,18 February 2005 (USA),2548,756
1973,1 March 1973 (USA),2549,2157
1997,15 October 1997 (USA),2550,2158
2014,2014 (USA),2551,2159
1995,30 August 1995 (USA),2552,2160
2015,31 October 2015 (USA),2553,2161
2014,15 August 2014 (USA),2554,1851
2013,17 August 2013 (USA),2555,2162
2008,30 August 2008 (USA),2556,2163
2010,22 April 2012 (USA),2557,2164
2006,17 November 2006 (USA),2558,149
2007,18 July 2008 (USA),2559,2165
2010,31 August 2011 (France),2560,2166
2003,18 July 2003 (USA),2561,1852
1973,5 January 1974 (Brazil),2562,2167
1971,25 June 1971 (USA),2563,2168
2008,29 August 2008 (USA),2564,2169
2010,1 October 2010 (USA),2565,2020
2008,January 2008 (USA),2566,2170
2006,18 April 2007 (France),2567,2171
2014,21 October 2014 (USA),2568,2172
1988,25 August 1988 (USA),2569,2173
1996,10 June 1996 (USA),2570,2174
2004,28 February 2004 (USA),2571,2175
2011,10 September 2011 (USA),2572,2176
2013,18 September 2013 (USA),2573,2177
