ProviderNumber,HospitalOwner,original_index,unique_index
10044,voluntary non-profit - private,875,85
10044,voluntary non-profit - private,876,85
10045,voluntary non-profit - other,877,89
1xx45,voluntary non-profit - other,878,90
10045,voluntary non-profit - other,879,89
10045,voluntary non-profit - other,880,89
10045,voluntary non-profit - other,881,89
10045,voluntary non-profit - other,882,89
10045,voluntary non-profit - other,883,89
10045,voluntary non-profit - other,884,89
10045,voluntary non-profit - other,885,89
10045,voluntary non-profit - other,886,89
10045,voluntary non-profit - other,887,89
x0045,voluntary non-profit - other,888,91
10045,voluntary non-profit - other,889,89
10045,voluntary non-profit - other,890,89
10045,voluntary non-profit - other,891,89
10045,voluntary non-profit - other,892,89
10045,voluntary non-profit - other,893,89
10045,voluntary non-profit - other,894,89
10045,voluntary non-profit - other,895,89
10045,voluntary non-profit - other,896,89
10045,voluntary non-profit - other,897,89
10045,voluntary non-profit - other,898,89
10045,voluntary non-profit - other,899,89
10045,voluntary non-profit - other,900,89
10045,voluntary non-profit - other,901,89
10046,proprietary,902,92
10046,proprietary,903,92
10046,proprietary,904,92
10046,proprietary,905,92
10046,proprietary,906,92
10046,proprietary,907,92
10046,proprietary,908,92
10046,proprietary,909,92
10046,proprietary,910,92
10046,proprietary,911,92
10046,proprietary,912,92
10046,proprietary,913,92
10046,proprietary,914,92
10046,proprietary,915,92
10046,proprietary,916,92
10046,proprietary,917,92
10046,proprietary,918,92
10046,proprietary,919,92
10046,proprietary,920,92
10046,proprietary,921,92
10046,proprietary,922,92
10046,proprietary,923,92
10046,proprietary,924,92
10046,proprietary,925,92
10046,proprietary,926,92
10046,proprietary,927,92
10046,proprietary,928,92
10046,proprietary,929,92
10047,voluntary non-profit - private,930,93
10047,voluntary non-profit - private,931,93
10047,voluntary non-profit - private,932,93
1xx47,voluntary non-profit - private,933,94
10047,voluntary non-profit - private,934,93
10047,voluntary non-profit - private,935,93
10047,voluntary non-profit - private,936,93
10047,voluntary non-profit - private,937,93
10047,voluntary non-profit - private,938,93
10047,voluntary non-profit - private,939,93
10047,voluntary non-profit - private,940,93
10047,voluntary non-profit - private,941,93
10047,voluntary non-profit - private,942,93
10047,voluntary non-profit - private,943,93
10047,voluntary non-profit - private,944,93
10047,voluntary non-profit - private,945,93
10047,voluntary non-profit - private,946,93
10047,voluntary non-profit - private,947,93
10047,voluntary non-profit - private,948,93
10047,voluntary non-profit - private,949,93
10047,voluntary non-profit - private,950,93
10047,voluntary non-profit - private,951,93
10047,voluntary non-profit - private,952,93
10047,voluntary non-profit - private,953,93
10047,voluntary non-profit - private,954,93
1004x,proprietary,955,95
10049,proprietary,956,96
10049,proprietary,957,96
10049,proprietary,958,96
10049,proprietary,959,96
10049,proprietary,960,96
10049,proprietary,961,96
10049,proprietary,962,96
10049,proprietary,963,96
10049,proprietary,964,96
10049,proprietary,965,96
10049,proprietary,966,96
10049,proprietary,967,96
10049,proprietary,968,96
10049,proprietary,969,96
10049,proprietary,970,96
10049,proprietary,971,96
10049,proprietary,972,96
10049,proprietary,973,96
10049,proprietary,974,96
10049,proprietary,975,96
10049,proprietary,976,96
10049,proprietary,977,96
10049,proprietary,978,96
10049,proprietary,979,96
10050,voluntary non-profit - private,980,97
10050,voluntary non-profit - private,981,97
10050,voluntary non-profit - private,982,97
10050,voluntary non-profit - private,983,97
10050,voluntary non-profit - private,984,97
10050,voluntary non-profit - private,985,97
10050,voluntary non-profit - private,986,97
10050,voluntary non-profit - private,987,97
10050,voluntary non-profit - private,988,97
10050,voluntary non-profit - private,989,97
10050,voluntary non-profit - private,990,97
10050,voluntary non-profit - private,991,97
10050,voluntary non-profit - private,992,97
10050,voluntary non-profit - private,993,97
10050,voluntary non-profit - private,994,97
10050,voluntary non-profit - private,995,97
10050,voluntary non-profit - private,996,97
10050,voluntary non-profit - private,997,97
10050,voluntary non-profit - private,998,97
10050,voluntary non-profit - private,999,97
