Release Date,Country,original_index,unique_index
2 October 1937 (USA),USA,2048,1876
2 October 1944 (Brazil),USA,2049,1877
12 February 1993 (USA),USA,2050,1878
10 October 1997 (USA),"USA,UK",2051,1879
November 1988 (USA),USA,2052,1880
10 September 1972 (Sweden),USA,2053,1881
20 June 1980 (USA),USA,2054,957
21 December 1979 (USA),USA,2055,1882
17 January 1986 (USA),USA,2056,1883
20 June 1986 (USA),USA,2057,1884
"Apr 17, 1981 Limited",USA,2058,1885
21 November 2012 (USA),"USA,Taiwan,UK",2059,1886
25 January 2002 (USA),"UK,USA,Ireland",2060,1887
23 June 1976 (USA),USA,2061,1888
4 March 2005 (USA),"USA,Germany",2062,1889
"Mar 8, 2002 Wide",USA,2063,1890
4 August 2000 (USA),"USA,Germany",2064,1891
8 November 1991 (USA),USA,2065,1892
17 November 2012 (Japan),USA,2066,1893
24 June 1977 (USA),USA,2067,1894
1 November 1985 (USA),USA,2068,1895
25 September 2015 (USA),"UK,USA,Iceland",2069,1896
30 October 1992 (USA),USA,2070,1897
4 May 2018 (USA),USA,2071,1898
23 September 1944 (USA),USA,2072,1899
18 February 1938 (USA),USA,2073,1900
15 May 1939 (USA),USA,2074,1901
21 March 1941 (USA),USA,2075,1902
12 January 1940 (USA),USA,2076,1755
21 October 1937 (USA),USA,2077,1903
4 March 1994 (USA),USA,2078,1904
17 September 1936 (USA),USA,2079,1905
15 June 1938 (USA),USA,2080,1906
8 October 1993 (USA),USA,2081,971
20 June 2003 (USA),USA,2082,1907
28 October 1994 (USA),"France,USA",2083,1908
2015 (USA),USA,2084,258
26 May 2011 (Belarus),"USA,Germany,Saudi Arabia",2085,1909
18 October 2002 (USA),"USA,Germany,Canada",2086,1910
10 March 2000 (UK),"UK,USA",2087,1911
9 September 2005 (UK),"USA,UK",2088,1912
1 November 2013 (USA),USA,2089,1913
27 June 2003 (UK),"UK,USA",2090,1914
9 November 2012 (Bulgaria),"USA,France",2091,1915
9 March 2007 (USA),USA,2092,1916
17 October 2014 (USA),"USA,China,UK",2093,1917
20 May 2011 (USA),"USA,UK",2094,1918
17 December 2014 (USA),"New Zealand,USA",2095,1919
20 October 1939 (USA),USA,2096,1920
21 November 2014 (USA),USA,2097,1539
28 July 2006 (USA),"USA,Germany,Paraguay,Uruguay",2098,1921
25 December 2008 (USA),USA,2099,1288
25 December 2002 (USA),"USA,Canada",2100,1922
25 December 2008 (USA),"UK,USA",2101,1923
25 June 2004 (USA),USA,2102,1296
5 October 2012 (USA),USA,2103,839
9 June 1989 (USA),USA,2104,1924
28 May 2018 (USA),USA,2105,1925
1 June 2015 (USA),USA,2106,1926
2016 (USA),USA,2107,441
22 July 2016 (USA),USA,2108,1507
30 March 1990 (USA),"USA,Hong Kong",2109,1927
29 April 2011 (USA),USA,2110,1928
19 September 1931 (USA),USA,2111,1929
11 June 1969 (USA),USA,2112,1930
4 April 1959 (USA),USA,2113,1931
27 May 1967 (USA),USA,2114,1932
November 1975 (USA),USA,2115,1933
18 December 1970 (USA),USA,2116,1934
20 October 1995 (USA),USA,2117,1935
29 July 1970 (USA),USA,2118,1936
26 May 1971 (USA),"USA,Mexico",2119,1937
8 August 2014 (USA),USA,2120,1938
7 March 2014 (USA),USA,2121,838
15 August 2014 (USA),"USA,France",2122,1939
7 April 1995 (USA),USA,2123,985
18 July 2003 (USA),USA,2124,1940
22 May 1996 (USA),USA,2125,1941
26 August 1953 (USA),USA,2126,1942
25 December 2008 (USA),"USA,Germany",2127,1943
5 May 2006 (USA),"USA,Germany,China",2128,1944
11 March 1994 (USA),"UK,Germany,USA",2129,1945
7 November 1997 (USA),USA,2130,1946
3 August 1929 (USA),USA,2131,1947
6 June 1997 (USA),USA,2132,1948
25 May 2001 (USA),USA,2133,1639
3 March 2017 (USA),USA,2134,1949
1 August 2008 (USA),"USA,China,Germany,Canada",2135,1950
22 March 2002 (USA),"USA,Germany",2136,1951
19 April 2002 (USA),"USA,Germany,Belgium",2137,1952
2 April 2004 (USA),USA,2138,1953
11 July 2008 (USA),"USA,Germany",2139,1954
19 May 2006 (USA),"USA,Malta,France,UK",2140,1955
27 April 2007 (USA),USA,2141,1956
7 June 1996 (USA),USA,2142,1957
"Jul 14, 2010 Wide",USA,2143,1958
30 May 2003 (USA),"USA,France,UK",2144,1959
14 February 2008 (USA),"USA,Canada",2145,1960
22 August 2008 (USA),"USA,Germany,UK",2146,1961
11 October 2002 (USA),"France,USA",2147,1962
12 March 2004 (USA),USA,2148,1963
21 December 2007 (USA),"USA,UK",2149,1964
11 May 2012 (USA),"USA,Australia",2150,1965
1 July 2009 (USA),"USA,Japan",2151,1966
25 December 2010 (USA),"UK,USA,Australia",2152,1967
14 December 1990 (USA),USA,2153,1968
8 June 2001 (USA),"USA,Australia",2154,1969
16 September 2005 (USA),"USA,Germany,France",2155,1970
8 December 2004 (USA),USA,2156,1971
23 January 2009 (USA),"USA,New Zealand",2157,1972
13 November 1992 (USA),USA,2158,1973
20 January 2012 (USA),USA,2159,655
10 December 2004 (USA),USA,2160,1974
7 December 2001 (USA),USA,2161,1975
8 June 2007 (USA),USA,2162,933
16 December 2011 (USA),USA,2163,793
19 January 2007 (USA),USA,2164,1976
15 May 2009 (USA),"USA,Italy",2165,1977
16 February 2007 (USA),"USA,Australia",2166,1978
31 October 2008 (USA),USA,2167,1979
13 August 2010 (USA),USA,2168,199
6 February 2009 (USA),USA,2169,1980
2 April 2010 (USA),USA,2170,1981
9 September 2009 (USA),USA,2171,1982
17 June 1983 (USA),"UK,USA",2172,1983
8 June 1984 (USA),USA,2173,1984
8 June 1984 (USA),USA,2174,1984
16 June 1995 (USA),"USA,UK",2175,1985
20 June 1997 (USA),"USA,UK",2176,1986
28 June 2006 (USA),USA,2177,1987
30 March 1988 (USA),USA,2178,1988
19 June 1981 (USA),"USA,UK",2179,1989
23 June 1989 (USA),"USA,UK",2180,1990
16 June 1989 (USA),USA,2181,1991
"Jan 17, 2014 Wide","Canada,South Korea,USA",2182,1992
1 November 2013 (USA),USA,2183,1913
14 July 1989 (USA),"UK,Mexico,USA",2184,1993
11 June 1937 (USA),USA,2185,1994
17 June 2011 (USA),USA,2186,947
9 July 1982 (USA),USA,2187,1995
28 May 2010 (USA),USA,2188,1996
7 October 2011 (USA),"USA,India",2189,1997
9 March 2012 (USA),USA,2190,739
18 February 2011 (USA),USA,2191,1998
14 November 2003 (USA),USA,2192,1721
12 October 1946 (Sweden),USA,2193,1999
26 May 1973 (France),USA,2194,2000
15 June 1990 (USA),USA,2195,60
19 September 1997 (USA),USA,2196,2001
20 June 1941 (USA),USA,2197,2002
15 September 1995 (USA),"USA,Germany",2198,2003
19 January 2001 (USA),"UK,USA",2199,2004
28 August 1930 (USA),USA,2200,2005
26 December 1990 (USA),USA,2201,2006
2 November 2007 (USA),"USA,UK",2202,2007
6 December 1940 (USA),USA,2203,2008
30 September 1938 (USA),USA,2204,2009
15 October 2003 (USA),"USA,Australia",2205,2010
19 October 2007 (USA),USA,2206,1453
29 March 2002 (USA),USA,2207,2011
20 November 1998 (USA),USA,2208,1043
11 February 2005 (USA),USA,2209,2012
30 June 1999 (USA),USA,2210,916
19 December 2008 (USA),USA,2211,2013
15 December 2006 (USA),USA,2212,2014
3 November 2000 (USA),USA,2213,2015
27 November 1996 (USA),USA,2214,1311
16 November 2012 (USA),"USA,India",2215,2016
15 November 1935 (USA),USA,2216,2017
31 December 1997 (USA),"USA,Ireland",2217,2018
17 May 1932 (USA),USA,2218,2019
8 April 2005 (USA),USA,2219,2020
1 October 1993 (USA),USA,2220,523
25 February 1994 (USA),"Ireland,UK,USA",2221,2021
20 December 2002 (USA),"USA,Italy",2222,2022
11 December 1985 (USA),USA,2223,2023
8 December 1989 (USA),USA,2224,2024
30 March 1984 (USA),"USA,Mexico",2225,2025
22 September 1989 (USA),USA,2226,2026
7 April 1993 (USA),USA,2227,2027
28 September 2001 (USA),"USA,Australia,Switzerland,Canada",2228,2028
29 September 2011 (Germany),USA,2229,2029
6 July 2012 (USA),USA,2230,2030
12 March 2010 (USA),"France,USA,Spain,UK",2231,2031
26 September 2008 (USA),"USA,Germany",2232,2032
13 April 2007 (USA),USA,2233,2033
28 March 2008 (USA),USA,2234,1583
December 1956 (USA),USA,2235,643
21 February 1986 (USA),USA,2236,2034
"Mar 20, 1998 Wide",USA,2237,2035
31 March 2006 (USA),"UK,Germany,Spain,USA",2238,2036
21 May 1993 (USA),USA,2239,2037
"Jul 3, 1987 Wide",USA,2240,2038
28 June 1996 (USA),USA,2241,2039
24 January 2009 (USA),"France,Spain,USA",2242,2040
16 January 2004 (USA),USA,2243,2041
"Oct 27, 2006 Wide","France,USA,Mexico",2244,2042
5 October 2001 (USA),"USA,Australia",2245,2043
10 January 2003 (USA),USA,2246,1804
1 June 1956 (USA),USA,2247,2044
3 June 2010 (Argentina),USA,2248,2045
24 April 1981 (USA),USA,2249,2046
23 April 1986 (USA),"UK,USA",2250,2047
6 June 2003 (Spain),"USA,Spain",2251,2048
1974 (USA),"Canada,USA",2252,2049
3 October 1997 (USA),"France,USA",2253,2050
23 January 2009 (USA),"USA,UK,France",2254,2051
"Aug 15, 2003 Wide",USA,2255,2052
17 November 1995 (USA),USA,2256,2053
21 February 1997 (USA),"France,USA",2257,2054
31 December 1978 (Poland),USA,2258,2055
17 October 1986 (USA),USA,2259,2056
11 December 1992 (USA),USA,2260,533
16 December 1988 (USA),USA,2261,2057
27 June 1990 (USA),USA,2262,2058
5 August 1983 (USA),USA,2263,1391
25 December 1981 (USA),USA,2264,2059
29 July 1988 (USA),USA,2265,2060
30 June 1993 (USA),USA,2266,2061
13 December 1996 (USA),USA,2267,2062
22 February 2008 (USA),USA,2268,2063
23 September 2005 (USA),USA,2269,2064
3 March 2006 (USA),"Germany,USA",2270,2065
7 April 2006 (USA),"Germany,USA",2271,2066
29 February 2008 (USA),"UK,USA",2272,2067
12 October 1972 (USA),USA,2273,2068
9 August 2002 (USA),USA,2274,1490
29 April 2005 (USA),USA,2275,2069
20 January 2008 (USA),USA,2276,1761
2015 (USA),USA,2277,258
10 April 2003 (Germany),"Germany,USA",2278,2070
1 September 2006 (UK),"UK,USA",2279,2071
16 February 2010 (USA),USA,2280,2072
7 February 2007 (France),"France,Poland,USA",2281,2073
25 April 2008 (USA),USA,2282,2074
18 November 2011 (USA),USA,2283,1762
4 September 2009 (USA),USA,2284,2075
1 June 2002 (USA),USA,2285,2076
,USA,2286,47
10 September 1975 (France),"France,USA",2287,2077
11 July 2001 (USA),"USA,Japan",2288,2078
12 May 2010 (USA),USA,2289,2079
3 November 1999 (France),"France,UK,USA",2290,2080
17 August 1990 (USA),USA,2291,2081
31 May 1996 (USA),USA,2292,2082
14 May 2010 (USA),"USA,UK",2293,2083
30 April 1999 (USA),"USA,UK,Germany",2294,2084
7 July 1995 (USA),USA,2295,2085
16 August 1996 (USA),USA,2296,2086
24 June 1994 (USA),USA,2297,143
25 December 1997 (USA),USA,2298,273
12 March 1982 (USA),USA,2299,2087
21 November 2007 (USA),USA,2300,878
"Nov 16, 1976 Wide",USA,2301,2088
27 August 2010 (USA),"USA,France",2302,2089
21 April 1989 (USA),USA,2303,2090
24 March 1995 (USA),USA,2304,2091
21 April 1995 (USA),USA,2305,2092
9 December 1983 (USA),USA,2306,1094
12 October 1936 (Brazil),USA,2307,2093
31 March 2000 (UK),"UK,France,USA",2308,2094
21 October 1933 (USA),USA,2309,2095
"Aug 25, 1995 Wide",USA,2310,2096
21 June 2007 (Israel),USA,2311,2097
27 September 1941 (USA),USA,2312,2098
25 December 1995 (USA),USA,2313,2099
"Apr 6, 2007 Wide",USA,2314,2100
3 September 2010 (USA),USA,2315,725
19 January 1996 (USA),USA,2316,2101
25 December 1997 (USA),USA,2317,273
12 September 2003 (USA),USA,2318,1340
6 December 1996 (USA),"USA,UK",2319,2102
6 May 2005 (USA),"Germany,USA",2320,2103
23 February 2001 (USA),USA,2321,805
24 November 1993 (USA),USA,2322,1260
14 August 1987 (USA),USA,2323,379
22 February 2002 (USA),"USA,Germany",2324,2104
29 September 2006 (USA),USA,2325,1054
1 August 2008 (USA),USA,2326,278
15 August 2003 (USA),USA,2327,2105
"Sep 17, 1999 Wide",USA,2328,2106
2 March 1990 (USA),USA,2329,2107
6 March 1987 (USA),USA,2330,2108
9 October 1992 (USA),"France,USA",2331,2109
6 March 1998 (USA),USA,2332,2110
27 July 1990 (USA),USA,2333,2111
8 February 1985 (USA),USA,2334,2112
5 June 1992 (USA),USA,2335,2113
3 August 1994 (USA),USA,2336,2114
25 July 1997 (USA),"USA,Germany",2337,2115
25 September 1998 (USA),"UK,France,USA",2338,2116
15 November 1991 (USA),USA,2339,2117
12 July 2002 (USA),USA,2340,2118
17 July 2008 (Greece),USA,2341,2119
20 January 1978 (Finland),USA,2342,2120
14 June 1972 (USA),USA,2343,2121
2008 (USA),USA,2344,193
28 April 2006 (USA),"USA,UK,France",2345,2122
14 June 2002 (USA),USA,2346,2123
5 September 2008 (USA),USA,2347,1711
22 December 2000 (USA),USA,2348,2124
28 October 2005 (USA),"USA,Germany",2349,2125
24 April 2009 (USA),USA,2350,2126
21 September 2014 (UK),USA,2351,2127
23 January 2015 (South Africa),"USA,Italy",2352,2128
10 April 2015 (USA),USA,2353,2129
7 February 2003 (USA),"USA,Germany",2354,2130
8 February 2008 (USA),USA,2355,2131
10 March 2006 (USA),USA,2356,2132
17 July 1998 (USA),"USA,Germany",2357,2133
17 October 2012 (Belgium),USA,2358,2134
29 June 2012 (UK),USA,2359,2135
29 July 1998 (USA),"Germany,USA",2360,2136
22 November 2013 (USA),USA,2361,1135
20 April 2007 (USA),"USA,Germany",2362,2137
10 May 2013 (USA),USA,2363,2138
19 October 2007 (USA),USA,2364,1453
27 February 1987 (USA),"UK,USA",2365,2139
11 April 2014 (USA),USA,2366,836
23 September 2011 (USA),USA,2367,1029
14 January 2000 (USA),USA,2368,2140
22 December 2000 (USA),"USA,Australia",2369,2141
17 December 2010 (USA),USA,2370,1177
1 October 2010 (USA),USA,2371,2142
19 June 2009 (USA),USA,2372,1799
22 February 2013 (USA),"USA,United Arab Emirates",2373,2143
26 September 2003 (USA),USA,2374,2144
2 April 2004 (USA),USA,2375,1953
24 November 2010 (USA),USA,2376,801
24 October 2003 (USA),USA,2377,2145
11 May 1984 (USA),USA,2378,483
30 September 2005 (USA),"USA,Canada",2379,2146
28 April 2000 (USA),USA,2380,2147
15 February 1980 (USA),"USA,West Germany",2381,2148
1 June 1971 (France),USA,2382,2149
6 February 1970 (Norway),USA,2383,2150
17 November 1933 (USA),USA,2384,2151
10 October 1980 (USA),"USA,UK",2385,2152
"Nov 30, 1990 Wide",USA,2386,2153
6 June 1942 (USA),USA,2387,2154
14 October 1973 (USA),USA,2388,2155
"Mar 5, 1999 Wide","USA,Australia",2389,2156
18 October 1996 (USA),USA,2390,2157
10 November 2000 (USA),USA,2391,2158
21 December 1968 (Italy),"Italy,USA,Spain",2392,2159
22 November 1991 (USA),USA,2393,144
20 June 1974 (USA),USA,2394,2160
27 November 1976 (USA),USA,2395,2161
19 November 1993 (USA),USA,2396,2162
21 November 2007 (USA),USA,2397,878
23 January 2004 (USA),"USA,Canada",2398,2163
21 December 2011 (USA),"USA,Sweden,Norway",2399,2164
June 1974 (France),USA,2400,2165
16 March 1979 (USA),USA,2401,2166
3 December 2004 (USA),"Spain,USA",2402,2167
3 April 1996 (USA),USA,2403,2168
1 September 2006 (USA),"USA,Czech Republic",2404,2169
12 July 1991 (USA),"USA,Japan",2405,2170
13 June 1997 (USA),USA,2406,2171
8 May 1987 (USA),USA,2407,2172
15 March 2002 (USA),"USA,Australia",2408,2173
3 June 2003 (USA),"USA,Japan",2409,2174
16 June 2006 (USA),"USA,Australia",2410,2175
25 December 2013 (USA),USA,2411,1649
12 December 2008 (USA),"USA,Canada",2412,2176
5 June 2015 (USA),USA,2413,2177
November 1990 (USA),USA,2414,2178
16 February 2001 (USA),USA,2415,2179
22 April 1988 (USA),USA,2416,1517
14 January 2011 (UK),USA,2417,2180
,"USA,Canada",2418,2181
20 June 1997 (USA),USA,2419,1593
19 October 1999 (USA),USA,2420,2182
October 1988 (USA),USA,2421,2183
11 April 1986 (USA),USA,2422,2184
25 June 1997 (USA),USA,2423,2185
15 December 1974 (USA),USA,2424,2186
25 June 1999 (USA),USA,2425,2187
6 November 1998 (USA),USA,2426,553
11 April 2003 (USA),USA,2427,2188
23 June 2006 (USA),USA,2428,2189
11 February 2011 (USA),USA,2429,2190
20 July 2007 (USA),USA,2430,2191
13 February 2004 (USA),USA,2431,2192
28 June 2002 (USA),USA,2432,2193
6 June 2008 (USA),USA,2433,857
25 June 2010 (USA),USA,2434,2194
16 January 1998 (USA),"USA,UK,Denmark,France,Japan,New Zealand,Germany",2435,2195
9 February 1996 (USA),USA,2436,1564
11 April 2008 (USA),USA,2437,2196
25 July 1980 (USA),USA,2438,2197
2 September 1988 (USA),USA,2439,2198
15 June 1988 (USA),USA,2440,2199
27 March 1992 (USA),USA,2441,2200
30 March 1994 (USA),USA,2442,2201
17 April 1998 (USA),USA,2443,2202
"Jul 1, 1992 Wide",USA,2444,2203
1 March 1930 (USA),USA,2445,2204
1 March 1985 (USA),USA,2446,2205
10 February 2006 (USA),USA,2447,2206
15 October 1932 (USA),USA,2448,2207
10 December 1957 (Portugal),USA,2449,2208
8 September 1954 (USA),USA,2450,2209
22 March 1940 (USA),USA,2451,2210
"Aug 3, 1946 Wide",USA,2452,2211
30 October 1921 (USA),USA,2453,2212
25 October 1967 (USA),USA,2454,2213
14 September 1946 (USA),USA,2455,2214
11 June 1964 (USA),USA,2456,2215
19 January 2001 (USA),USA,2457,161
3 September 1993 (USA),USA,2458,2216
9 March 2001 (USA),"USA,Germany",2459,2217
6 December 2002 (USA),"USA,Australia",2460,2218
27 August 2013 (USA),USA,2461,2219
11 September 1998 (USA),USA,2462,2220
24 October 2008 (USA),"USA,Germany",2463,2221
19 December 1967 (USA),USA,2464,2222
9 October 1987 (USA),USA,2465,322
7 January 1947 (USA),USA,2466,2223
3 November 1977 (USA),USA,2467,2224
17 March 1948 (USA),USA,2468,2225
2 May 1947 (USA),USA,2469,2226
21 February 1946 (Sweden),USA,2470,2227
May 1947 (USA),USA,2471,2228
5 March 1943 (USA),USA,2472,1076
January 1945 (USA),USA,2473,2229
14 May 1993 (USA),"UK,USA",2474,2230
14 January 1960 (Sweden),USA,2475,2231
23 December 1954 (USA),USA,2476,2232
24 September 1951 (USA),USA,2477,2233
24 November 1933 (USA),USA,2478,2234
22 December 1939 (USA),USA,2479,2235
26 January 1945 (USA),USA,2480,2236
15 June 1962 (USA),USA,2481,2237
March 1987 (USA),USA,2482,2238
4 August 1995 (USA),"Australia,USA",2483,2239
11 July 1990 (USA),USA,2484,2240
24 June 2011 (Lithuania),USA,2485,2241
28 May 2004 (USA),USA,2486,1151
4 February 2005 (USA),USA,2487,2242
2 May 2008 (USA),"USA,UK",2488,2243
29 January 2010 (USA),USA,2489,2244
3 July 2007 (USA),"USA,Australia",2490,2245
13 February 2009 (USA),USA,2491,2246
16 December 2005 (USA),USA,2492,2247
11 March 1977 (USA),USA,2493,2248
27 May 1948 (USA),USA,2494,2249
16 June 2000 (USA),USA,2495,2250
4 February 1945 (Brazil),USA,2496,2251
"Nov 13, 1940 Wide",USA,2497,2252
15 August 1946 (USA),USA,2498,2253
16 July 2002 (USA),USA,2499,2254
20 June 1941 (USA),USA,2500,2002
19 July 1950 (USA),"UK,USA",2501,2255
19 January 1949 (USA),USA,2502,2256
7 August 2009 (USA),USA,2503,44
2 August 1996 (USA),USA,2504,1244
13 March 1969 (USA),USA,2505,2257
24 June 1977 (USA),USA,2506,1894
25 June 1980 (USA),USA,2507,2258
6 June 1974 (USA),USA,2508,2259
17 December 1993 (USA),USA,2509,2260
12 February 1993 (USA),USA,2510,1878
3 April 1992 (USA),USA,2511,2261
9 October 1998 (USA),USA,2512,2262
26 May 1995 (USA),USA,2513,2263
1 October 2013 (USA),USA,2514,2264
"Nov 18, 1983 Wide","USA,Canada",2515,2265
8 June 2010 (USA),USA,2516,2266
31 October 2008 (USA),USA,2517,1979
4 April 1997 (USA),USA,2518,2267
21 July 2006 (USA),USA,2519,1050
12 November 1999 (USA),USA,2520,2268
30 September 2011 (UK),USA,2521,2269
13 December 2002 (USA),USA,2522,2270
20 October 1995 (USA),USA,2523,1935
4 November 1994 (Italy),USA,2524,2271
24 August 1990 (USA),"UK,USA",2525,2272
"Jan 1, 1994 Wide",USA,2526,2273
23 March 1984 (USA),USA,2527,2274
,USA,2528,47
10 September 2015 (Kuwait),USA,2529,2275
,USA,2530,47
26 April 2014 (USA),USA,2531,2276
23 July 2015 (Denmark),USA,2532,2277
2 July 2008 (USA),"USA,Canada",2533,2278
24 October 2014 (USA),USA,2534,2279
7 August 2002 (USA),USA,2535,2280
13 May 2014 (USA),USA,2536,2281
8 December 2006 (USA),USA,2537,2282
21 June 2010 (USA),USA,2538,2283
5 April 1996 (USA),"USA,UK",2539,2284
7 April 2015 (USA),"Germany,USA",2540,2285
10 August 2006 (Israel),USA,2541,2286
19 March 2010 (USA),USA,2542,1677
25 March 2011 (USA),USA,2543,2287
16 January 2009 (USA),"USA,Germany",2544,2288
4 April 2008 (USA),USA,2545,2289
25 December 2008 (USA),USA,2546,1288
7 November 2003 (USA),"USA,Germany",2547,2290
18 February 2005 (USA),USA,2548,2291
1 March 1973 (USA),USA,2549,2292
15 October 1997 (USA),USA,2550,2293
2014 (USA),USA,2551,1609
30 August 1995 (USA),"Canada,USA",2552,2294
31 October 2015 (USA),USA,2553,2295
15 August 2014 (USA),"USA,Bermuda,Ecuador",2554,2296
17 August 2013 (USA),USA,2555,2297
30 August 2008 (USA),USA,2556,2298
22 April 2012 (USA),USA,2557,2299
17 November 2006 (USA),"UK,Czech Republic,USA,Germany,Bahamas",2558,2300
18 July 2008 (USA),USA,2559,2301
31 August 2011 (France),"Canada,USA,France,Germany,UK",2560,2302
18 July 2003 (USA),USA,2561,1940
5 January 1974 (Brazil),USA,2562,2303
25 June 1971 (USA),USA,2563,2304
29 August 2008 (USA),"UK,USA",2564,2305
1 October 2010 (USA),USA,2565,2142
January 2008 (USA),USA,2566,2306
18 April 2007 (France),USA,2567,2307
21 October 2014 (USA),"USA,Greece",2568,2308
25 August 1988 (USA),USA,2569,2309
10 June 1996 (USA),USA,2570,2310
28 February 2004 (USA),USA,2571,2311
10 September 2011 (USA),USA,2572,2312
18 September 2013 (USA),USA,2573,2313
26 September 2009 (USA),USA,2574,2314
27 August 1999 (USA),USA,2575,2315
25 December 1986 (USA),USA,2576,2316
12 August 2015 (USA),USA,2577,2317
26 June 2014 (USA),USA,2578,2318
5 August 1983 (USA),USA,2579,1391
16 October 2013 (France),USA,2580,2319
2 October 2009 (USA),USA,2581,393
30 June 2006 (USA),USA,2582,2320
23 September 2008 (USA),USA,2583,2321
10 April 1998 (USA),"USA,UK",2584,2322
20 December 1989 (USA),USA,2585,2323
3 October 2008 (USA),USA,2586,2324
12 April 2013 (USA),"USA,France",2587,2325
20 June 2013 (Netherlands),USA,2588,2326
15 February 1978 (USA),USA,2589,2327
6 January 1978 (USA),USA,2590,2328
27 January 1984 (USA),USA,2591,164
1 September 2014 (Netherlands),"Australia,USA",2592,2329
7 March 1941 (USA),USA,2593,2330
19 April 1940 (USA),USA,2594,2331
16 March 1979 (USA),USA,2595,2166
12 February 1982 (USA),"UK,USA",2596,2332
13 April 1994 (USA),USA,2597,2333
May 1975 (USA),USA,2598,2334
14 May 1969 (USA),USA,2599,2335
3 May 1974 (USA),USA,2600,2336
June 1977 (USA),USA,2601,2337
17 January 1963 (Norway),USA,2602,2338
17 March 1978 (USA),USA,2603,2339
March 1976 (USA),USA,2604,2340
3 October 1955 (USA),USA,2605,2341
16 October 1998 (USA),"USA,Australia",2606,2342
22 July 1964 (USA),USA,2607,2343
January 1966 (USA),USA,2608,2344
25 June 1993 (USA),USA,2609,2345
1 July 1994 (USA),USA,2610,2346
13 December 1996 (USA),USA,2611,2062
10 November 2005 (Germany),"USA,Germany,Belgium",2612,2347
21 August 1998 (USA),USA,2613,26
19 March 1999 (USA),USA,2614,1489
"Nov 7, 1997 Wide","UK,USA",2615,2348
28 August 1992 (USA),USA,2616,2349
11 November 1994 (USA),USA,2617,638
28 April 2006 (USA),"UK,Germany,USA",2618,2350
11 July 2008 (USA),USA,2619,949
26 December 1973 (USA),USA,2620,2351
22 June 2001 (USA),USA,2621,2352
22 November 2000 (USA),"USA,UK",2622,2353
13 August 2010 (USA),"USA,UK,Canada,Japan",2623,2354
11 April 2001 (USA),USA,2624,2355
5 June 1987 (USA),USA,2625,2356
12 June 1998 (USA),"Canada,USA",2626,2357
26 April 2002 (USA),USA,2627,188
29 May 1998 (USA),USA,2628,2358
28 July 1995 (USA),USA,2629,1499
10 November 2000 (USA),USA,2630,2158
13 February 1998 (USA),USA,2631,2359
23 July 1993 (USA),USA,2632,1634
6 September 1996 (USA),USA,2633,2360
31 July 1991 (USA),USA,2634,2361
24 June 1987 (USA),USA,2635,2362
25 November 1987 (USA),USA,2636,2363
18 August 1995 (USA),USA,2637,2364
12 July 1971 (Sweden),USA,2638,2365
20 December 1996 (USA),USA,2639,367
16 January 1998 (USA),USA,2640,1806
30 August 1996 (USA),USA,2641,1434
26 August 1997 (USA),"Canada,USA",2642,2366
19 November 1999 (USA),"UK,USA",2643,2367
22 November 2002 (USA),"UK,USA",2644,2368
17 November 1995 (USA),"UK,USA",2645,2369
21 February 2003 (USA),USA,2646,2370
19 August 2005 (USA),USA,2647,343
1 June 2007 (USA),USA,2648,608
7 June 2013 (USA),USA,2649,676
14 April 2000 (USA),USA,2650,2371
14 December 1988 (USA),USA,2651,2372
1922 (Poland),USA,2652,2373
4 September 2009 (USA),USA,2653,2075
16 March 2007 (USA),USA,2654,2374
25 December 1999 (USA),USA,2655,245
5 June 2009 (USA),"USA,Germany",2656,2375
6 August 2008 (USA),USA,2657,2376
5 November 2010 (USA),USA,2658,787
16 April 2010 (USA),"UK,USA",2659,2377
24 September 2004 (USA),"UK,France,USA",2660,2378
20 April 2007 (USA),"UK,France,USA",2661,2379
"Oct 6, 2006 Wide","UK,USA,France,Italy",2662,2380
12 June 2013 (USA),USA,2663,2381
22 June 2007 (USA),USA,2664,1365
10 August 2001 (USA),USA,2665,133
4 July 2001 (USA),"USA,Canada",2666,2382
24 October 2003 (USA),"USA,Canada",2667,2383
12 April 2013 (USA),USA,2668,1221
30 July 2004 (USA),"USA,Canada,Germany",2669,2384
4 February 2000 (USA),USA,2670,2385
14 April 2006 (USA),USA,2671,2386
1 August 2003 (USA),"USA,Germany",2672,2387
6 April 2012 (USA),USA,2673,2388
19 May 2000 (USA),USA,2674,1810
12 December 1997 (USA),USA,2675,1304
11 June 1986 (USA),USA,2676,2389
15 February 1985 (USA),USA,2677,2390
22 November 2006 (USA),"USA,Germany",2678,2391
27 August 2004 (USA),USA,2679,2392
16 January 2004 (USA),USA,2680,2041
4 November 2011 (USA),USA,2681,2393
21 October 2011 (USA),"USA,France,UK",2682,2394
18 July 2003 (USA),"UK,France,USA",2683,2395
2 March 2012 (USA),USA,2684,2396
5 August 2005 (USA),"Canada,USA",2685,2397
20 February 2004 (USA),"USA,Czech Republic",2686,2398
21 March 1986 (USA),"Canada,USA",2687,2399
15 November 1985 (USA),"USA,Japan,France",2688,2400
14 April 2006 (USA),"Canada,USA",2689,2401
11 March 2011 (USA),"USA,Canada",2690,2402
29 April 2011 (USA),USA,2691,1928
19 September 2008 (USA),"USA,France",2692,2403
10 May 2015 (Germany),USA,2693,2404
10 May 1995 (USA),USA,2694,2405
30 March 2001 (USA),USA,2695,2406
