style,original_index,unique_index,count
American Amber / Red Ale,838,19,133.0
Kölsch,839,24,42.0
American IPA,840,2,424.0
Scotch Ale / Wee Heavy,841,59,15.0
American IPA,842,2,424.0
American IPA,843,2,424.0
American IPA,844,2,424.0
American Porter,845,5,68.0
American Blonde Ale,846,18,108.0
Oatmeal Stout,847,4,18.0
Belgian Pale Ale,848,31,24.0
American IPA,849,2,424.0
American IPA,850,2,424.0
American Pale Lager,851,0,39.0
Kölsch,852,24,42.0
,853,78,
American Porter,854,5,68.0
Fruit / Vegetable Beer,855,14,49.0
American IPA,856,2,424.0
Scottish Ale,857,77,19.0
Kölsch,858,24,42.0
American Porter,859,5,68.0
American Pale Wheat Ale,860,22,97.0
American Pale Ale (APA),861,1,245.0
American White IPA,862,56,11.0
American Amber / Red Ale,863,19,133.0
American IPA,864,2,424.0
Munich Helles Lager,865,42,20.0
,866,78,
American Brown Ale,867,21,70.0
Witbier,868,40,51.0
Munich Helles Lager,869,42,20.0
American Amber / Red Ale,870,19,133.0
Witbier,871,40,51.0
American IPA,872,2,424.0
Berliner Weissbier,873,20,11.0
American IPA,874,2,424.0
American Pale Ale (APA),875,1,245.0
English Strong Ale,876,15,4.0
Saison / Farmhouse Ale,877,6,52.0
American Pale Ale (APA),878,1,245.0
American Pale Ale (APA),879,1,245.0
American IPA,880,2,424.0
Kölsch,881,24,42.0
Scotch Ale / Wee Heavy,882,59,15.0
Extra Special / Strong Bitter (ESB),883,45,20.0
American IPA,884,2,424.0
American Pale Ale (APA),885,1,245.0
American IPA,886,2,424.0
American Blonde Ale,887,18,108.0
American Amber / Red Ale,888,19,133.0
American IPA,889,2,424.0
American Pale Lager,890,0,39.0
Saison / Farmhouse Ale,891,6,52.0
American IPA,892,2,424.0
American IPA,893,2,424.0
American IPA,894,2,424.0
American IPA,895,2,424.0
Hefeweizen,896,48,40.0
American IPA,897,2,424.0
American IPA,898,2,424.0
Kölsch,899,24,42.0
American Brown Ale,900,21,70.0
American IPA,901,2,424.0
American IPA,902,2,424.0
American IPA,903,2,424.0
Hefeweizen,904,48,40.0
American Porter,905,5,68.0
American IPA,906,2,424.0
American Pale Wheat Ale,907,22,97.0
American Pale Ale (APA),908,1,245.0
American Double / Imperial IPA,909,3,105.0
Oatmeal Stout,910,4,18.0
American IPA,911,2,424.0
American Brown Ale,912,21,70.0
American Pale Ale (APA),913,1,245.0
American IPA,914,2,424.0
American Pale Ale (APA),915,1,245.0
American Pale Ale (APA),916,1,245.0
American Pale Wheat Ale,917,22,97.0
American Pale Wheat Ale,918,22,97.0
American Pale Wheat Ale,919,22,97.0
American Pale Lager,920,0,39.0
American Pale Wheat Ale,921,22,97.0
American Pilsner,922,32,25.0
American Amber / Red Ale,923,19,133.0
American IPA,924,2,424.0
American Pale Wheat Ale,925,22,97.0
English Brown Ale,926,34,18.0
American Pale Ale (APA),927,1,245.0
American Blonde Ale,928,18,108.0
Fruit / Vegetable Beer,929,14,49.0
American Porter,930,5,68.0
American IPA,931,2,424.0
Dortmunder / Export Lager,932,57,6.0
American Blonde Ale,933,18,108.0
American Porter,934,5,68.0
Märzen / Oktoberfest,935,44,30.0
American Brown Ale,936,21,70.0
Fruit / Vegetable Beer,937,14,49.0
Dortmunder / Export Lager,938,57,6.0
American Dark Wheat Ale,939,84,7.0
Witbier,940,40,51.0
American Stout,941,13,39.0
English Stout,942,85,2.0
American Porter,943,5,68.0
Euro Dark Lager,944,47,5.0
English Dark Mild Ale,945,63,6.0
American IPA,946,2,424.0
American Blonde Ale,947,18,108.0
American Pale Ale (APA),948,1,245.0
Old Ale,949,86,2.0
American Pale Wheat Ale,950,22,97.0
American IPA,951,2,424.0
Tripel,952,10,11.0
American IPA,953,2,424.0
Russian Imperial Stout,954,72,11.0
Saison / Farmhouse Ale,955,6,52.0
American IPA,956,2,424.0
American Pale Lager,957,0,39.0
American Pale Lager,958,0,39.0
American Pale Ale (APA),959,1,245.0
American Pale Lager,960,0,39.0
Fruit / Vegetable Beer,961,14,49.0
American Brown Ale,962,21,70.0
American Blonde Ale,963,18,108.0
American Blonde Ale,964,18,108.0
Vienna Lager,965,39,20.0
Irish Red Ale,966,64,12.0
Vienna Lager,967,39,20.0
Witbier,968,40,51.0
Irish Red Ale,969,64,12.0
American Pale Ale (APA),970,1,245.0
Rye Beer,971,46,18.0
American Brown Ale,972,21,70.0
American IPA,973,2,424.0
Märzen / Oktoberfest,974,44,30.0
American Amber / Red Ale,975,19,133.0
American Stout,976,13,39.0
American Pale Ale (APA),977,1,245.0
Irish Red Ale,978,64,12.0
American Pale Ale (APA),979,1,245.0
American Pale Ale (APA),980,1,245.0
American Black Ale,981,16,36.0
Märzen / Oktoberfest,982,44,30.0
American Double / Imperial IPA,983,3,105.0
Märzen / Oktoberfest,984,44,30.0
American Pale Ale (APA),985,1,245.0
Witbier,986,40,51.0
American Blonde Ale,987,18,108.0
American Porter,988,5,68.0
American Pale Ale (APA),989,1,245.0
Cream Ale,990,38,29.0
American Pale Wheat Ale,991,22,97.0
Winter Warmer,992,12,15.0
Pumpkin Ale,993,30,23.0
Czech Pilsener,994,52,28.0
American Amber / Red Ale,995,19,133.0
American IPA,996,2,424.0
American Pale Ale (APA),997,1,245.0
American IPA,998,2,424.0
Tripel,999,10,11.0
Altbier,1000,35,13.0
American IPA,1001,2,424.0
American Pale Ale (APA),1002,1,245.0
American IPA,1003,2,424.0
American Double / Imperial Pilsner,1004,87,2.0
German Pilsener,1005,29,36.0
American Pale Wheat Ale,1006,22,97.0
English India Pale Ale (IPA),1007,51,13.0
American Brown Ale,1008,21,70.0
American Blonde Ale,1009,18,108.0
American Pale Ale (APA),1010,1,245.0
American IPA,1011,2,424.0
American Blonde Ale,1012,18,108.0
Fruit / Vegetable Beer,1013,14,49.0
Munich Helles Lager,1014,42,20.0
American IPA,1015,2,424.0
Cream Ale,1016,38,29.0
American Pale Ale (APA),1017,1,245.0
Herbed / Spiced Beer,1018,75,9.0
American White IPA,1019,56,11.0
Cider,1020,8,37.0
Kölsch,1021,24,42.0
American IPA,1022,2,424.0
Pumpkin Ale,1023,30,23.0
Märzen / Oktoberfest,1024,44,30.0
American IPA,1025,2,424.0
Kölsch,1026,24,42.0
American Pale Wheat Ale,1027,22,97.0
Kölsch,1028,24,42.0
American IPA,1029,2,424.0
American Blonde Ale,1030,18,108.0
Witbier,1031,40,51.0
American Blonde Ale,1032,18,108.0
American Pale Ale (APA),1033,1,245.0
American Brown Ale,1034,21,70.0
American Brown Ale,1035,21,70.0
Flanders Red Ale,1036,88,1.0
Belgian IPA,1037,7,18.0
American Pale Lager,1038,0,39.0
American Double / Imperial IPA,1039,3,105.0
American IPA,1040,2,424.0
Märzen / Oktoberfest,1041,44,30.0
Cream Ale,1042,38,29.0
Cream Ale,1043,38,29.0
American IPA,1044,2,424.0
American Double / Imperial Stout,1045,41,9.0
American Pilsner,1046,32,25.0
American Pale Ale (APA),1047,1,245.0
American Pale Wheat Ale,1048,22,97.0
Fruit / Vegetable Beer,1049,14,49.0
American Amber / Red Ale,1050,19,133.0
American Pale Ale (APA),1051,1,245.0
Czech Pilsener,1052,52,28.0
American Blonde Ale,1053,18,108.0
American Amber / Red Ale,1054,19,133.0
Saison / Farmhouse Ale,1055,6,52.0
American White IPA,1056,56,11.0
Saison / Farmhouse Ale,1057,6,52.0
American Brown Ale,1058,21,70.0
American IPA,1059,2,424.0
American Blonde Ale,1060,18,108.0
American Strong Ale,1061,53,14.0
American IPA,1062,2,424.0
American Blonde Ale,1063,18,108.0
American Pale Lager,1064,0,39.0
American IPA,1065,2,424.0
American IPA,1066,2,424.0
American Blonde Ale,1067,18,108.0
American IPA,1068,2,424.0
American Pale Lager,1069,0,39.0
Altbier,1070,35,13.0
American Pale Ale (APA),1071,1,245.0
American Porter,1072,5,68.0
Cider,1073,8,37.0
Radler,1074,61,3.0
American Pale Wheat Ale,1075,22,97.0
American Pale Wheat Ale,1076,22,97.0
American Pale Wheat Ale,1077,22,97.0
American Pale Wheat Ale,1078,22,97.0
American Pale Wheat Ale,1079,22,97.0
American Pale Wheat Ale,1080,22,97.0
American Pale Wheat Ale,1081,22,97.0
American Pale Wheat Ale,1082,22,97.0
American Pale Wheat Ale,1083,22,97.0
American Pale Wheat Ale,1084,22,97.0
American Pale Wheat Ale,1085,22,97.0
American Pale Wheat Ale,1086,22,97.0
American Amber / Red Ale,1087,19,133.0
American Stout,1088,13,39.0
American IPA,1089,2,424.0
American Strong Ale,1090,53,14.0
American White IPA,1091,56,11.0
American Amber / Red Ale,1092,19,133.0
American Strong Ale,1093,53,14.0
Czech Pilsener,1094,52,28.0
American IPA,1095,2,424.0
American Pale Wheat Ale,1096,22,97.0
Hefeweizen,1097,48,40.0
Märzen / Oktoberfest,1098,44,30.0
American Pale Ale (APA),1099,1,245.0
Vienna Lager,1100,39,20.0
American IPA,1101,2,424.0
Winter Warmer,1102,12,15.0
Fruit / Vegetable Beer,1103,14,49.0
American Pale Wheat Ale,1104,22,97.0
American Black Ale,1105,16,36.0
American Pale Ale (APA),1106,1,245.0
American Amber / Red Ale,1107,19,133.0
American Pale Ale (APA),1108,1,245.0
Witbier,1109,40,51.0
American Pale Ale (APA),1110,1,245.0
American IPA,1111,2,424.0
Cream Ale,1112,38,29.0
American Blonde Ale,1113,18,108.0
American IPA,1114,2,424.0
American Pale Ale (APA),1115,1,245.0
American Blonde Ale,1116,18,108.0
American IPA,1117,2,424.0
Keller Bier / Zwickel Bier,1118,89,3.0
American Pale Lager,1119,0,39.0
American India Pale Lager,1120,90,3.0
American India Pale Lager,1121,90,3.0
American India Pale Lager,1122,90,3.0
Cider,1123,8,37.0
Cider,1124,8,37.0
American Pale Ale (APA),1125,1,245.0
Fruit / Vegetable Beer,1126,14,49.0
American IPA,1127,2,424.0
American IPA,1128,2,424.0
American Amber / Red Ale,1129,19,133.0
English Brown Ale,1130,34,18.0
American IPA,1131,2,424.0
American Strong Ale,1132,53,14.0
Hefeweizen,1133,48,40.0
American Porter,1134,5,68.0
American Pale Ale (APA),1135,1,245.0
American Blonde Ale,1136,18,108.0
American IPA,1137,2,424.0
Hefeweizen,1138,48,40.0
American Pale Ale (APA),1139,1,245.0
American Double / Imperial IPA,1140,3,105.0
American Adjunct Lager,1141,76,18.0
American IPA,1142,2,424.0
Doppelbock,1143,67,7.0
Hefeweizen,1144,48,40.0
Munich Dunkel Lager,1145,60,4.0
American Pale Ale (APA),1146,1,245.0
Märzen / Oktoberfest,1147,44,30.0
Kölsch,1148,24,42.0
Saison / Farmhouse Ale,1149,6,52.0
American Double / Imperial IPA,1150,3,105.0
American Amber / Red Lager,1151,26,29.0
Hefeweizen,1152,48,40.0
American IPA,1153,2,424.0
Euro Dark Lager,1154,47,5.0
American IPA,1155,2,424.0
Czech Pilsener,1156,52,28.0
Scottish Ale,1157,77,19.0
American Blonde Ale,1158,18,108.0
American IPA,1159,2,424.0
Scottish Ale,1160,77,19.0
Scotch Ale / Wee Heavy,1161,59,15.0
American IPA,1162,2,424.0
American IPA,1163,2,424.0
American Pale Ale (APA),1164,1,245.0
American IPA,1165,2,424.0
Scotch Ale / Wee Heavy,1166,59,15.0
Witbier,1167,40,51.0
American Pale Ale (APA),1168,1,245.0
Scottish Ale,1169,77,19.0
American Brown Ale,1170,21,70.0
American Brown Ale,1171,21,70.0
American Blonde Ale,1172,18,108.0
American Amber / Red Ale,1173,19,133.0
American Amber / Red Ale,1174,19,133.0
Czech Pilsener,1175,52,28.0
American IPA,1176,2,424.0
Hefeweizen,1177,48,40.0
American Blonde Ale,1178,18,108.0
American IPA,1179,2,424.0
American Pale Wheat Ale,1180,22,97.0
American Amber / Red Lager,1181,26,29.0
American Amber / Red Lager,1182,26,29.0
American Amber / Red Lager,1183,26,29.0
American Amber / Red Lager,1184,26,29.0
American Dark Wheat Ale,1185,84,7.0
Belgian Strong Dark Ale,1186,23,6.0
Hefeweizen,1187,48,40.0
American IPA,1188,2,424.0
Maibock / Helles Bock,1189,74,5.0
Kölsch,1190,24,42.0
Hefeweizen,1191,48,40.0
American IPA,1192,2,424.0
American Amber / Red Ale,1193,19,133.0
English Brown Ale,1194,34,18.0
Cream Ale,1195,38,29.0
American Pilsner,1196,32,25.0
American IPA,1197,2,424.0
American IPA,1198,2,424.0
American IPA,1199,2,424.0
Czech Pilsener,1200,52,28.0
Kölsch,1201,24,42.0
American IPA,1202,2,424.0
American Amber / Red Ale,1203,19,133.0
Hefeweizen,1204,48,40.0
Scottish Ale,1205,77,19.0
German Pilsener,1206,29,36.0
Saison / Farmhouse Ale,1207,6,52.0
American Stout,1208,13,39.0
American Amber / Red Ale,1209,19,133.0
Fruit / Vegetable Beer,1210,14,49.0
American IPA,1211,2,424.0
American Pale Ale (APA),1212,1,245.0
American Porter,1213,5,68.0
American Stout,1214,13,39.0
American Pale Ale (APA),1215,1,245.0
Hefeweizen,1216,48,40.0
American Brown Ale,1217,21,70.0
English India Pale Ale (IPA),1218,51,13.0
American Amber / Red Ale,1219,19,133.0
Altbier,1220,35,13.0
Fruit / Vegetable Beer,1221,14,49.0
Altbier,1222,35,13.0
Gose,1223,37,10.0
German Pilsener,1224,29,36.0
American IPA,1225,2,424.0
American IPA,1226,2,424.0
American IPA,1227,2,424.0
Czech Pilsener,1228,52,28.0
American Stout,1229,13,39.0
Hefeweizen,1230,48,40.0
American Pale Ale (APA),1231,1,245.0
American Blonde Ale,1232,18,108.0
English Dark Mild Ale,1233,63,6.0
Belgian Pale Ale,1234,31,24.0
American Pale Ale (APA),1235,1,245.0
American Pilsner,1236,32,25.0
American IPA,1237,2,424.0
American Amber / Red Ale,1238,19,133.0
American Pale Ale (APA),1239,1,245.0
American Amber / Red Ale,1240,19,133.0
American Pale Ale (APA),1241,1,245.0
American Brown Ale,1242,21,70.0
American Double / Imperial IPA,1243,3,105.0
American Blonde Ale,1244,18,108.0
Winter Warmer,1245,12,15.0
Fruit / Vegetable Beer,1246,14,49.0
Kölsch,1247,24,42.0
American Pale Ale (APA),1248,1,245.0
American IPA,1249,2,424.0
American Brown Ale,1250,21,70.0
American Amber / Red Ale,1251,19,133.0
Fruit / Vegetable Beer,1252,14,49.0
Hefeweizen,1253,48,40.0
Fruit / Vegetable Beer,1254,14,49.0
German Pilsener,1255,29,36.0
American IPA,1256,2,424.0
German Pilsener,1257,29,36.0
American Amber / Red Ale,1258,19,133.0
Winter Warmer,1259,12,15.0
Märzen / Oktoberfest,1260,44,30.0
Belgian Pale Ale,1261,31,24.0
American IPA,1262,2,424.0
Pumpkin Ale,1263,30,23.0
American Pale Wheat Ale,1264,22,97.0
Tripel,1265,10,11.0
Fruit / Vegetable Beer,1266,14,49.0
American Double / Imperial IPA,1267,3,105.0
American Double / Imperial IPA,1268,3,105.0
American IPA,1269,2,424.0
American Blonde Ale,1270,18,108.0
American Brown Ale,1271,21,70.0
American Pale Ale (APA),1272,1,245.0
German Pilsener,1273,29,36.0
American IPA,1274,2,424.0
American IPA,1275,2,424.0
American Pale Ale (APA),1276,1,245.0
Russian Imperial Stout,1277,72,11.0
American Pale Ale (APA),1278,1,245.0
American Double / Imperial IPA,1279,3,105.0
Saison / Farmhouse Ale,1280,6,52.0
American Stout,1281,13,39.0
American Amber / Red Ale,1282,19,133.0
American Double / Imperial IPA,1283,3,105.0
American Double / Imperial IPA,1284,3,105.0
Rye Beer,1285,46,18.0
Saison / Farmhouse Ale,1286,6,52.0
American Stout,1287,13,39.0
American IPA,1288,2,424.0
Shandy,1289,91,3.0
American IPA,1290,2,424.0
German Pilsener,1291,29,36.0
Light Lager,1292,80,12.0
Light Lager,1293,80,12.0
American Pale Lager,1294,0,39.0
Fruit / Vegetable Beer,1295,14,49.0
American Blonde Ale,1296,18,108.0
American IPA,1297,2,424.0
American Pale Wheat Ale,1298,22,97.0
English Pale Ale,1299,25,12.0
English Pale Ale,1300,25,12.0
American Brown Ale,1301,21,70.0
Czech Pilsener,1302,52,28.0
Saison / Farmhouse Ale,1303,6,52.0
Belgian Strong Dark Ale,1304,23,6.0
Fruit / Vegetable Beer,1305,14,49.0
American Amber / Red Ale,1306,19,133.0
Witbier,1307,40,51.0
American IPA,1308,2,424.0
American Pale Wheat Ale,1309,22,97.0
Munich Helles Lager,1310,42,20.0
American Porter,1311,5,68.0
American IPA,1312,2,424.0
American Porter,1313,5,68.0
Witbier,1314,40,51.0
American Pale Ale (APA),1315,1,245.0
Cider,1316,8,37.0
Cider,1317,8,37.0
Cider,1318,8,37.0
American IPA,1319,2,424.0
American IPA,1320,2,424.0
American Blonde Ale,1321,18,108.0
American Porter,1322,5,68.0
American Amber / Red Ale,1323,19,133.0
American Pale Ale (APA),1324,1,245.0
Fruit / Vegetable Beer,1325,14,49.0
American Brown Ale,1326,21,70.0
American IPA,1327,2,424.0
American Blonde Ale,1328,18,108.0
American Amber / Red Ale,1329,19,133.0
American IPA,1330,2,424.0
American IPA,1331,2,424.0
Witbier,1332,40,51.0
American Brown Ale,1333,21,70.0
American IPA,1334,2,424.0
American Double / Imperial IPA,1335,3,105.0
American IPA,1336,2,424.0
Wheat Ale,1337,92,1.0
American Double / Imperial IPA,1338,3,105.0
Cream Ale,1339,38,29.0
Kölsch,1340,24,42.0
American Double / Imperial IPA,1341,3,105.0
American IPA,1342,2,424.0
American IPA,1343,2,424.0
Belgian IPA,1344,7,18.0
Saison / Farmhouse Ale,1345,6,52.0
Berliner Weissbier,1346,20,11.0
American IPA,1347,2,424.0
American Pale Ale (APA),1348,1,245.0
American Pilsner,1349,32,25.0
American IPA,1350,2,424.0
Witbier,1351,40,51.0
Irish Red Ale,1352,64,12.0
American Pale Ale (APA),1353,1,245.0
American Double / Imperial IPA,1354,3,105.0
American Amber / Red Ale,1355,19,133.0
American IPA,1356,2,424.0
Saison / Farmhouse Ale,1357,6,52.0
Witbier,1358,40,51.0
Vienna Lager,1359,39,20.0
American Amber / Red Ale,1360,19,133.0
American Malt Liquor,1361,93,1.0
Bock,1362,62,7.0
Light Lager,1363,80,12.0
American Pale Lager,1364,0,39.0
American Pale Lager,1365,0,39.0
American Pale Lager,1366,0,39.0
American Pale Lager,1367,0,39.0
American Pale Lager,1368,0,39.0
American Pale Lager,1369,0,39.0
American Adjunct Lager,1370,76,18.0
Light Lager,1371,80,12.0
American Adjunct Lager,1372,76,18.0
American Adjunct Lager,1373,76,18.0
Belgian Pale Ale,1374,31,24.0
American IPA,1375,2,424.0
American Pale Ale (APA),1376,1,245.0
American Double / Imperial IPA,1377,3,105.0
American Brown Ale,1378,21,70.0
American Pale Wheat Ale,1379,22,97.0
California Common / Steam Beer,1380,36,6.0
American IPA,1381,2,424.0
English Brown Ale,1382,34,18.0
American Pale Ale (APA),1383,1,245.0
American Pale Ale (APA),1384,1,245.0
American IPA,1385,2,424.0
American IPA,1386,2,424.0
American Pale Ale (APA),1387,1,245.0
American Amber / Red Ale,1388,19,133.0
Saison / Farmhouse Ale,1389,6,52.0
American Pale Wheat Ale,1390,22,97.0
American Stout,1391,13,39.0
American Amber / Red Ale,1392,19,133.0
American Amber / Red Ale,1393,19,133.0
American Brown Ale,1394,21,70.0
American Double / Imperial IPA,1395,3,105.0
American Pale Ale (APA),1396,1,245.0
American Blonde Ale,1397,18,108.0
Extra Special / Strong Bitter (ESB),1398,45,20.0
Munich Helles Lager,1399,42,20.0
Märzen / Oktoberfest,1400,44,30.0
American Pale Wheat Ale,1401,22,97.0
Schwarzbier,1402,43,9.0
German Pilsener,1403,29,36.0
Cream Ale,1404,38,29.0
American Pale Ale (APA),1405,1,245.0
Hefeweizen,1406,48,40.0
American Blonde Ale,1407,18,108.0
American IPA,1408,2,424.0
American Amber / Red Ale,1409,19,133.0
Witbier,1410,40,51.0
American IPA,1411,2,424.0
Light Lager,1412,80,12.0
Witbier,1413,40,51.0
Hefeweizen,1414,48,40.0
American Amber / Red Lager,1415,26,29.0
American Pale Lager,1416,0,39.0
American Pale Lager,1417,0,39.0
American Blonde Ale,1418,18,108.0
American Pale Wheat Ale,1419,22,97.0
Light Lager,1420,80,12.0
American Pilsner,1421,32,25.0
Milk / Sweet Stout,1422,28,10.0
German Pilsener,1423,29,36.0
American Pale Wheat Ale,1424,22,97.0
Cream Ale,1425,38,29.0
American Pale Wheat Ale,1426,22,97.0
American Porter,1427,5,68.0
Bock,1428,62,7.0
Märzen / Oktoberfest,1429,44,30.0
American Blonde Ale,1430,18,108.0
American Black Ale,1431,16,36.0
American Double / Imperial IPA,1432,3,105.0
American Double / Imperial IPA,1433,3,105.0
American Black Ale,1434,16,36.0
American Blonde Ale,1435,18,108.0
Pumpkin Ale,1436,30,23.0
American IPA,1437,2,424.0
Hefeweizen,1438,48,40.0
English Brown Ale,1439,34,18.0
American Pale Ale (APA),1440,1,245.0
American IPA,1441,2,424.0
German Pilsener,1442,29,36.0
American IPA,1443,2,424.0
American IPA,1444,2,424.0
American Pale Lager,1445,0,39.0
Euro Dark Lager,1446,47,5.0
Czech Pilsener,1447,52,28.0
American Amber / Red Lager,1448,26,29.0
American Pale Wheat Ale,1449,22,97.0
American Pale Wheat Ale,1450,22,97.0
American Amber / Red Ale,1451,19,133.0
American Pale Lager,1452,0,39.0
American Amber / Red Ale,1453,19,133.0
American Pale Lager,1454,0,39.0
American IPA,1455,2,424.0
American Amber / Red Ale,1456,19,133.0
American IPA,1457,2,424.0
American Pale Wheat Ale,1458,22,97.0
American Amber / Red Ale,1459,19,133.0
Berliner Weissbier,1460,20,11.0
American IPA,1461,2,424.0
American Pilsner,1462,32,25.0
American Amber / Red Ale,1463,19,133.0
Belgian Pale Ale,1464,31,24.0
American Double / Imperial IPA,1465,3,105.0
Belgian Pale Ale,1466,31,24.0
American Double / Imperial IPA,1467,3,105.0
American Pilsner,1468,32,25.0
American Amber / Red Ale,1469,19,133.0
American IPA,1470,2,424.0
American Pale Ale (APA),1471,1,245.0
American Stout,1472,13,39.0
American Double / Imperial IPA,1473,3,105.0
American IPA,1474,2,424.0
English Dark Mild Ale,1475,63,6.0
American Blonde Ale,1476,18,108.0
Dunkelweizen,1477,68,4.0
American Blonde Ale,1478,18,108.0
American Amber / Red Ale,1479,19,133.0
English Brown Ale,1480,34,18.0
Witbier,1481,40,51.0
Cream Ale,1482,38,29.0
American IPA,1483,2,424.0
Witbier,1484,40,51.0
American Pale Ale (APA),1485,1,245.0
American Amber / Red Ale,1486,19,133.0
American Pale Ale (APA),1487,1,245.0
American IPA,1488,2,424.0
English India Pale Ale (IPA),1489,51,13.0
American Stout,1490,13,39.0
Irish Red Ale,1491,64,12.0
German Pilsener,1492,29,36.0
American IPA,1493,2,424.0
Milk / Sweet Stout,1494,28,10.0
English Brown Ale,1495,34,18.0
Pumpkin Ale,1496,30,23.0
American Porter,1497,5,68.0
Extra Special / Strong Bitter (ESB),1498,45,20.0
American IPA,1499,2,424.0
American IPA,1500,2,424.0
American Pale Ale (APA),1501,1,245.0
German Pilsener,1502,29,36.0
American Pale Wheat Ale,1503,22,97.0
American IPA,1504,2,424.0
Czech Pilsener,1505,52,28.0
Pumpkin Ale,1506,30,23.0
American IPA,1507,2,424.0
Fruit / Vegetable Beer,1508,14,49.0
American IPA,1509,2,424.0
American Amber / Red Ale,1510,19,133.0
American Stout,1511,13,39.0
American IPA,1512,2,424.0
Baltic Porter,1513,9,6.0
English Bitter,1514,94,3.0
Keller Bier / Zwickel Bier,1515,89,3.0
American Pale Ale (APA),1516,1,245.0
American Pale Wheat Ale,1517,22,97.0
Dunkelweizen,1518,68,4.0
Altbier,1519,35,13.0
Kölsch,1520,24,42.0
Belgian Strong Dark Ale,1521,23,6.0
Scotch Ale / Wee Heavy,1522,59,15.0
American Porter,1523,5,68.0
Hefeweizen,1524,48,40.0
American Pale Ale (APA),1525,1,245.0
American Pale Ale (APA),1526,1,245.0
Hefeweizen,1527,48,40.0
Scottish Ale,1528,77,19.0
American Brown Ale,1529,21,70.0
Saison / Farmhouse Ale,1530,6,52.0
American Pale Ale (APA),1531,1,245.0
American Stout,1532,13,39.0
Rye Beer,1533,46,18.0
American Pale Lager,1534,0,39.0
American Brown Ale,1535,21,70.0
American Stout,1536,13,39.0
American Porter,1537,5,68.0
Pumpkin Ale,1538,30,23.0
American Pale Wheat Ale,1539,22,97.0
American Blonde Ale,1540,18,108.0
American IPA,1541,2,424.0
American Pale Ale (APA),1542,1,245.0
American Pale Wheat Ale,1543,22,97.0
American Pale Lager,1544,0,39.0
American Amber / Red Lager,1545,26,29.0
American Pale Lager,1546,0,39.0
Euro Dark Lager,1547,47,5.0
Light Lager,1548,80,12.0
Saison / Farmhouse Ale,1549,6,52.0
Saison / Farmhouse Ale,1550,6,52.0
American IPA,1551,2,424.0
American Pale Ale (APA),1552,1,245.0
Scotch Ale / Wee Heavy,1553,59,15.0
,1554,78,
,1555,78,
American IPA,1556,2,424.0
English Brown Ale,1557,34,18.0
American IPA,1558,2,424.0
American Pale Ale (APA),1559,1,245.0
American Pale Ale (APA),1560,1,245.0
Czech Pilsener,1561,52,28.0
American IPA,1562,2,424.0
American IPA,1563,2,424.0
American Pale Ale (APA),1564,1,245.0
American Brown Ale,1565,21,70.0
American Pale Ale (APA),1566,1,245.0
American Pale Ale (APA),1567,1,245.0
American Double / Imperial IPA,1568,3,105.0
American Pale Ale (APA),1569,1,245.0
American Pale Ale (APA),1570,1,245.0
American Double / Imperial IPA,1571,3,105.0
Belgian Dark Ale,1572,17,11.0
Belgian Strong Pale Ale,1573,69,7.0
American Strong Ale,1574,53,14.0
American Double / Imperial IPA,1575,3,105.0
American Double / Imperial IPA,1576,3,105.0
American Double / Imperial IPA,1577,3,105.0
Russian Imperial Stout,1578,72,11.0
Czech Pilsener,1579,52,28.0
American Double / Imperial IPA,1580,3,105.0
Scottish Ale,1581,77,19.0
American Double / Imperial IPA,1582,3,105.0
American Pale Ale (APA),1583,1,245.0
American Double / Imperial IPA,1584,3,105.0
Russian Imperial Stout,1585,72,11.0
Russian Imperial Stout,1586,72,11.0
Scottish Ale,1587,77,19.0
Scottish Ale,1588,77,19.0
Scottish Ale,1589,77,19.0
American Pale Ale (APA),1590,1,245.0
American Pale Ale (APA),1591,1,245.0
American Pale Ale (APA),1592,1,245.0
American Pale Ale (APA),1593,1,245.0
American Pale Ale (APA),1594,1,245.0
American Brown Ale,1595,21,70.0
American Double / Imperial IPA,1596,3,105.0
American Double / Imperial IPA,1597,3,105.0
Russian Imperial Stout,1598,72,11.0
American Double / Imperial IPA,1599,3,105.0
Scottish Ale,1600,77,19.0
American Pale Ale (APA),1601,1,245.0
American Pale Ale (APA),1602,1,245.0
American White IPA,1603,56,11.0
American Pale Ale (APA),1604,1,245.0
American Pale Ale (APA),1605,1,245.0
American IPA,1606,2,424.0
American Dark Wheat Ale,1607,84,7.0
Irish Red Ale,1608,64,12.0
American Pale Ale (APA),1609,1,245.0
Kölsch,1610,24,42.0
English Bitter,1611,94,3.0
American Porter,1612,5,68.0
American Pale Ale (APA),1613,1,245.0
American IPA,1614,2,424.0
American Pale Lager,1615,0,39.0
American Pale Ale (APA),1616,1,245.0
American Brown Ale,1617,21,70.0
Kölsch,1618,24,42.0
American Pilsner,1619,32,25.0
American Pale Wheat Ale,1620,22,97.0
Light Lager,1621,80,12.0
American Pilsner,1622,32,25.0
American IPA,1623,2,424.0
American IPA,1624,2,424.0
American Pale Wheat Ale,1625,22,97.0
German Pilsener,1626,29,36.0
American Brown Ale,1627,21,70.0
American Blonde Ale,1628,18,108.0
American Black Ale,1629,16,36.0
American IPA,1630,2,424.0
American Pale Ale (APA),1631,1,245.0
American IPA,1632,2,424.0
American Pale Lager,1633,0,39.0
American Pale Wheat Ale,1634,22,97.0
Czech Pilsener,1635,52,28.0
American Pale Ale (APA),1636,1,245.0
