article_title,author_list,original_index,unique_index,count
[Toxicology and clinical significance of base-catalized degradation of sevoflurane to Compound A].,"{""R M Jones"",""P Conzen""}",237,237,1.0
"Functionality and feedback: a protocol for a realist synthesis of the collation, interpretation and utilisation of PROMs data to improve patient care","{""C. Mills"",""S. Dalkin"",""J. Greenhalgh"",""C. Wood"",""L. Wood"",""J. Wright"",""E. Gibbons"",""N. Black"",""J. M. Valderas"",""R. Pawson"",""D. Meads""}",238,238,1.0
Case report. Cutaneous cryptococcosis in a patient with systemic erythematous lupus.,"{""L Ramos"",""S Mathur�_n"",""A Mateo"",""C L�_pez"",""C G�_mez""}",239,239,1.0
A method for determining skeletal lengths from DXA images.,"{""Glen M Blake"",""Tim D Spector"",""Ignac Fogelman"",""Usha Chinappen-Horsley""}",240,240,1.0
Imaging for target volume delineation in rectal cancer radiotherapy--a systematic review.,"{""R Webster"",""E Spezi"",""S Mukherjee"",""R Adams"",""S Gwynne"",""J Staffurth"",""B Coles""}",241,241,1.0
The influence of smoking and impaired glucose homoeostasis on the outcome in patients presenting with an acute coronary syndrome: a cross-sectional study.,"{""Anders Halling"",""H̴kan Odeberg"",""Henrik Forssell"",""Jacob Odeberg"",""Marie-Louise Persson"",""Lennart R̴stam"",""Ivar Vaara"",""Ulf Lindblad"",""Michael Freitag""}",242,242,1.0
Systematic review exploring the effect of exercise in pulmonary rehabilitation on depression levels in patients with chronic obstructive pulmonary disease,"{""Patil S."",""Horobin H.""}",243,243,1.0
Environmental and genomic factors as well as interventions influencing smoking cessation: a systematic review of reviews and a proposed working model.,"{""A Brand"",""J Van der Heyden"",""S de Viron"",""H Van Oyen"",""N Malats""}",244,244,1.0
"Impact of seasonality on recruitment, retention, adherence, and outcomes in a web-based smoking cessation intervention: randomized controlled trial","{""Mushro A"",""Niaura R S"",""Graham A L"",""Cobb N K"",""Fang Y"",""Cha S""}",245,245,1.0
White matter diffusivity predicts memory in patients with subjective and mild cognitive impairment and normal CSF total tau levels.,"{""Ramune Grambaite"",""Anders M Fjell"",""Tormod Fladby"",""Kristine B Walhovd"",""Vidar Stenset"",""Ivar Reinvang""}",246,246,1.0
Comparison between open and closed suction systems: a systematic review.,"{""Luiz Rog̩rio de Carvalho Oliveira"",""Nilza Aparecida Almeida de Carvalho"",""Fl��vio C L Cavalcanti Ara̼jo"",""Izabela Menezes Pagotto"",""Paulo Chiavone""}",247,247,1.0
Association between interleukin-10 promoter polymorphisms and endometriosis: a meta-analysis.,"{""Qiong Chen"",""Wei Fan"",""Qianhong Ma"",""Zhongying Huang"",""Zhun Xiao"",""Shangwei Li""}",248,248,1.0
Overactive bladder: Optimizing quality of care,"{""Lemack G.E.""}",249,249,1.0
Thyroid-related autoantibodies and celiac disease: a role for a gluten-free diet?,"{""E. Mainardi"",""G. Moscato"",""A. Montanelli"",""M. Dotti"",""R. Nano""}",250,250,1.0
Providing access to specialty care for severely disabled institutional residents: an academic health center telemedicine model,"{""A. K. Marcee"",""S. P. Roaten"",""J. B. Morrow"",""K. J. Kowalske"",""L. E. Snell"",""L. L. Goetz""}",251,251,1.0
A robust method for diagnosis of morphological arrhythmias based on Hermitian model of higher-order statistics,"{""Address Correspondence"",""S. Karimifard"",""Addresses Author"",""ahmadian@sina.tums.ac.ir "",""Tehran Medical Physics"",""Tehran Medical Physics"",""Department of Biomedical Systems S. Karimifard"",""Tums Tehran Iran Email University of Medical Sciences"",""A. Ahmadian"",""Tums Tehran Iran University of Medical Sciences"",""Systems Department of Biomedical""}",252,252,1.0
Shared decision making and the future of managed care,"{""J. E. Wennberg""}",253,253,1.0
Specific plasma factors blocking human maternal cell-mediated immune reaction to placental antigens.,"{""V Youtananukorn"",""P Mantangkasombut""}",254,254,1.0
MicroRNAs: a new piece in the paediatric cardiovascular disease puzzle.,"{""Dalia Elimam"",""Keith A Webster"",""Ahmed Omran"",""Fei Yin"",""Lina A Shehadeh""}",255,255,1.0
Association of Ureaplasma urealyticum colonization with development of bronchopulmonary dysplasia: a systemic review and meta-analysis.,"{""Jia-rui Pu"",""Dan Li"",""De-hua Yang"",""Li-duan Zheng"",""Xiao-dan Zheng"",""Hong Mei"",""Xuan Xiang"",""Qiang-song Tong""}",256,256,1.0
Mortality at older ages and moves in residential and sheltered housing: evidence from the UK,"{""J. Falkingham"",""M. Evandrou"",""A. Vlachantoni"",""J. Robards""}",257,257,1.0
A multinational study of thromboprophylaxis practice in critically ill children.,"{""Sarah H O'Brien"",""Marisa Tucci"",""Antonio Rodriguez Nunez"",""Philip C Spinella"",""Li Qin"",""Edward Vincent S Faustino"",""Adrienne G Randolph"",""Edward Truemper"",""Simon Li"",""Kimberly Marohn"",""Sheila Hanson"",""Michael Yung"",""[Collective Name] PROphylaxis against ThRombosis prACTice (PROTRACT) Study Investigators of the PALISI BloodNet""}",258,258,1.0
Asymmetric inheritance of mitochondrial content in aging budding yeast cells,"{""E. A. Martin"",""L. F. Costa"",""H. Li"",""Y. Zhang"",""M. P. Viana"",""S. M. Rafelski"",""W. F. Marshall""}",259,259,1.0
Physical activity moderates time-of-day differences in older adults' working memory performance.,"{""DeLosh EL"",""Bugg JM"",""Clegg BA""}",260,260,1.0
Uses of the electrical skin resistance method in the study of patients with neck and upper extremity pain,"{""C.P. Richter"",""L.H. Riley Jr.""}",261,261,1.0
[New aspects in hernia surgery].,"{""P E Goretzki"",""B J Lammers"",""T Otto""}",262,262,1.0
An exploration of self-reported negative affect by adolescents as a reason for smoking: implications for tobacco prevention and intervention programs,"{""J. Robinson"",""D. W. Smith"",""B. Colwell"",""S. L. Stevens"",""C. McMillan""}",263,263,1.0
Diagnosis of peripheral lung cancer with three echoic features via endobronchial ultrasound,"{""H. C. Chen"",""S. M. Lin"",""C. L. Chou"",""C. T. Yu"",""H. P. Kuo"",""C. H. Kuo""}",264,264,1.0
A meta-analysis of labor supply effects of interventions for major depressive disorder.,"{""Justin W Timbie"",""Marcela Horvitz-Lennon"",""Sharon-Lise T Normand"",""Richard G Frank""}",265,265,1.0
Combined pharmacotherapy and psychological treatment for depression: a systematic review.,"{""Paola Bollini"",""Giuseppe Tibaldi"",""Bruce Kupelnick"",""Carmine Munizza"",""Sandro Pampallona""}",266,266,1.0
Dyspareunia and sexual dysfunction following vaginal delivery in thai primiparous women with second degree perineal tear: A prospective cohort study,"{""A. Ungkanungdecha"",""C. Chayachinda"",""J. Veeragul"",""J. Jisabai""}",267,267,1.0
eComment. EuroSCORE II - corrected in-hospital mortality rate in a modern cohort of patients undergoing cardiac surgery,"{""D. G. Nezic""}",268,268,1.0
"The effect of a cervical lateral glide on the upper limb neurodynamic test: a blinded, placebo-controlled investigation","{""A Green"",""J Lewis"",""C Worsfold"",""J Saranga""}",269,269,1.0
Thoracic Aortic Aneurysm: Reading the Enemy's Playbook,"{""Elefteriades J.A.""}",270,270,1.0
Early predicting of blood component quality by Statistical Process Control,"{""H. Jungk"",""W. Madla"",""V. Schottstedt"",""T. Alt""}",271,271,1.0
Lifetime risk of suicide in affective disorders,"{""A. S. Lee"",""S. Davies"",""P. C. Naik""}",272,272,1.0
A geographic analysis of chronically homeless adults before and after enrollment in a multi-site supported housing initiative: community characteristics and migration,"{""R. A. Rosenheck"",""J. Tsai"",""A. S. Mares""}",273,273,1.0
Fetal cleft lip and palate detection by three-dimensional ultrasonography,"{""Lee W."",""Kirk J.S."",""Shaheen K.W."",""Romero R."",""Hodges A.N."",""Comstock C.H.""}",274,274,1.0
Substance Abuse and Trauma in Incarcerated Women,"{""NCT01413984 ""}",275,275,1.0
Use of Job Design to Reduce Mechanical Stress on the Back,"{""D. W. Badger""}",276,276,1.0
Rehabilitation of swallowing by exercise in tube-fed patients with pharyngeal dysphagia secondary to abnormal UES opening.,"{""Mark Kern"",""Karen Dikeman"",""Barbara Grande"",""Marta Kazandjian"",""Terilynn Nitschke"",""Stephanie Daniels"",""Benson Massey"",""Reza Shaker"",""Caryn Easterling""}",277,277,1.0
A meta-analysis of two genome-wide association studies identifies 3 new loci for alcohol dependence.,"{""Min Zeng"",""Yue Pan"",""Qunyuan Zhang"",""Ke-Sheng Wang"",""Nagesh Aragam"",""Xuefeng Liu""}",278,278,1.0
Crowdsourced Multimedia Enhanced Spatio-temporal Constraint Based on-Demand Social Network for Group Mobility,"{""Ahmad Qamar"",""Muhammad Shahid"",""Md. Abdur Rahman"",""Ahmed Lbath"",""Akhlaq Ahmad"",""Faizan Ur Rehman"",""Abdullah Murad"",""Bilal Sadiq""}",279,279,1.0
Impaired default network functional connectivity in autosomal dominant Alzheimer disease.,"{""Virginia D Buckles"",""Andrew J Saykin"",""Eric McDade"",""Stephen P Salloway"",""Aaron P Schultz"",""Peter R Schofield"",""Randall Bateman"",""Adam M Brickman"",""Nick C Fox"",""John C Morris"",""John M Ringman"",""Christopher C Rowe"",""Paul Thompson"",""Clifford Jack"",""Beau M Ances"",""Allison M Goate"",""Robert A Koeppe"",""Stephen Correia"",""Jasmeer P Chhatwal"",""Caroline A Sullivan"",""Anne M Fagan"",""Richard Mayeux"",""Daniel S Marcus"",""Tammie L S Benzinger"",""Keith Johnson"",""Reisa A Sperling"",""Chengjie Xiong""}",280,280,1.0
Cranial reconstruction of major traumatic defects in children with osteoinductive and resorbable materials,"{""R. R. M. Bos"",""E. W. Hoving"",""M. Wagemakers""}",281,281,1.0
Meta-analysis of the effects of sometribove zinc suspension on the production and health of lactating dairy cows.,"{""William W Thatcher"",""Normand R St-Pierre"",""Dale E Bauman"",""Joseph S Hogan"",""K Larry Smith"",""Robert J Collier"",""George A Milliken"",""Jan K Shearer""}",282,282,1.0
"Journal of Health Communication : International Perspectives The Effect of an Internet-Based , Stage- Matched Message Intervention on Young Taiwanese Women ' s Physical Activity","{""Sheu-jen Huang"",""Maiga Chang"",""Wen-chi Hung"",""Janie Chang""}",283,283,1.0
Azathioprine for multiple sclerosis,"{""Ilaria Casetta"",""Gerardo Iuliano"",""Graziella Filippini""}",284,284,1.0
Wound care,{NULL},285,285,1.0
Comparison between incidental malignant and benign breast lesions detected by computed tomography: a systematic review.,"{""Jasmin Abbas"",""Cholpan Jasaabuu"",""Andreas Gunter Bach"",""Alexey Surov"",""Dominik Schramm"",""Andreas Wienke""}",286,286,1.0
"Plant Kunitz proteinase inhibitor attenuates inflammation, oxidative stress and remodeling induced by elastase in mice","{""N. M. Pinheiro"",""R. Almeida-Reis"",""L. Oliva"",""M. A. Martins"",""M. L. V. Oliva"",""O. A. Theodoro-Junior"",""E. A. Leick"",""I. F. L. C. Tib̩rio"",""C. M. Prado"",""R. F. Righetti"",""B. T. M. Oliveira""}",287,287,1.0
Streptococcus pneumoniae carriage in the Gaza strip,"{""G. Rahav"",""G. Regev-Yochay"",""I. Abullaish"",""A. Elhamdany"",""R. Malley"",""M. Raz"",""A. Goral"",""Y. Roytman"",""B. Shainberg"",""M. Varon"",""A. Ziv""}",288,288,1.0
Direct healthcare costs and cost-effectiveness of acute coronary syndrome secondary prevention with ticagrelor compared to clopidogrel: Economic evaluation from the public payer's perspective in Poland based on the PLATO trial results,"{""M. Niewada"",""J. Pawe��ska"",""A. Budaj"",""T. Macioch"",""P. Perkowski""}",289,289,1.0
Changes in renal blood flow measured by radionuclide angiography following exhausting exercise in humans.,"{""S Ikawa"",""M Sudoh"",""M Suzuki"",""S Matsubara"",""M Shiota"",""K Kawakami""}",290,290,1.0
Hormonal and dietary characteristics in obese human subjects with and without food addiction.,"{""Pardis Pedram"",""Guang Sun""}",291,291,1.0
Importance of membrane materials for blood purification devices in critical care.,"{""Narumi Tomisawa"",""Akihiro C Yamashita""}",292,292,1.0
Myofascial trigger points: Spontaneous electrical activity and its consequences for pain induction and propagation,"{""Ge H.-Y."",""Fern��ndez-de-las-Pe̱as C."",""Yue S.-W.""}",293,293,1.0
Treatment of large vessel vasculitis,"{""M. A. Alba"",""S. Prieto-Gonzalez"",""A. Garcia-Martinez"",""M. C. Cid"",""M. Butjosa"",""G. Espigol-Frigole"",""J. Hernandez-Rodriguez""}",294,294,1.0
Quantitative assessment of the influence of common variations (rs8034191 and rs1051730) at 15q25 and lung cancer risk.,"{""Bin Hu"",""Hong-ju Mao"",""Jing Zhao"",""Ying Huang"",""Rong-huan Yu"",""Chao Guan""}",295,295,1.0
Cognitive deficits and psychosis in Parkinson's disease: A review of pathophysiology and therapeutic options,"{""T. Foltynie"",""R.A. Barker"",""S.J.G. Lewis"",""C.H. Williams-Gray""}",296,296,1.0
Incidence of multi-resistance in gram-negative aerobes from intensive care units of 10 German hospitals.,"{""R Asanger"",""P M Shah"",""F M Kahan""}",297,297,1.0
Tuberculosis and high altitude. Worth a try in extensively drug-resistant tuberculosis?,"{""J. F. Murray""}",298,298,1.0
Cultural humility: essential foundation for clinical researchers.,"{""Katherine A Yeager"",""Susan Bauer-Wu""}",299,299,1.0
Primary external fixation versus plaster immobilization of the intra-articular unstable distal radial fracture in the elderly,"{""J. Oskam"",""J. H. Hegeman"",""J. Palen"",""H. J. Duis"",""P. A. M. Vierhout""}",300,300,1.0
High resolution EPR spectroscopy of C(60)F and C(70)F in solid argon: reassignment of C(70)F regioisomers,"{""D. A. Tyurin"",""V. A. Belov"",""D. N. Laikov"",""A. V. Akimov"",""E. Y. Misochko""}",301,301,1.0
Clinical and radiological results of calcium phosphate cement-assisted balloon osteoplasty for Colles' fractures in osteoporotic senile female patients,"{""A. Sudo"",""S. Ishiguro"",""K. Iida""}",302,302,1.0
Explosive power and asymmetry in leg muscle function in frequent fallers and non-fallers aged over 65,"{""Rutherford OM"",""Kennedy J"",""Skelton DA""}",303,303,1.0
Anxiety and depression in patients with chronic obstructive pulmonary disease: an open agenda for research.,"{""Costin M."",""Dumbrav�_ E.L."",""Postolache P."",""Cojocaru D.C.""}",304,304,1.0
Classification of autogenous skull grafts in cranial reconstruction,"{""S. Pelofsky"",""P. D. Hunter""}",305,305,1.0
An Assessment of Voluntary Adolescent Mental Health Screening and Referral in a Children's Hospital Emergency Department,"{""NCT00750412 ""}",306,306,1.0
Implementing participatory intervention and research in communities: lessons from the Kahnawake Schools Diabetes Prevention Project in Canada,"{""T Delormier"",""A C Macaulay"",""M Cargo"",""A M McComber"",""L Potvin""}",307,307,1.0
Bile acid metabolism by fresh human colonic contents: a comparison of caecal versus faecal samples.,"{""R H Dowling"",""G M Murphy"",""P B Hylemon"",""G French"",""M J Veysey"",""L A Thomas""}",308,308,1.0
The role of viral infection in pulmonary exacerbations of     bronchiectasis in adults: a prospective study,"{""Gao YH"",""Lin ZY"",""Zhang GJ"",""Zhong NS"",""Chen RC"",""Gao Y"",""Tang Y"",""Lin ZM"",""Xu G"",""Li HM"",""Guan WJ""}",309,309,1.0
Feverfew (Tanacetum parthenium L.): A systematic review.,{NULL},310,310,1.0
Impact of second-line drug resistance on tuberculosis treatment outcomes in the United States: MDR-TB is bad enough,"{""J. P. Cegielski"",""S. P. Althomsons""}",311,311,1.0
Muscle variables of importance for physiological performance in competitive football.,"{""Sebastien Racinais"",""Olivier Girard"",""Lars Nybo"",""Magni Mohr"",""Martin Thomassen""}",312,312,1.0
Chapter 25 - Skin Manifestations of HIV Infection,"{""Gary P. Wormser"",""Alvin E. Friedman-Kien"",""Miguel Sanchez""}",313,313,1.0
Recurrent distal 16q duplication and terminal 22q deletion: prenatal diagnosis and genetic counseling,"{""D. D. Town"",""C. P. Chen"",""Y. N. Su"",""W. CN  - PubMed DA  - Dec DO  - 10.1016/s1028-4559(10)60117-9 DP  - NLM ET  - 2011/01/05 Wang"",""C. W. Pan"",""C. C. Lee"",""F. J. Tsai"",""P. C. Wu"",""M. C. Huang""}",314,314,1.0
Role of core-needle biopsy in thyroid nodules with initially nondiagnostic cytologic results.,"{""Qiao-Hong Hu"",""Zhi-Liang Huang"",""Xiao-Ming Fan"",""Shuang-Xi Chen"",""Xiang-Yang Song"",""Xiao-Ying Qiu""}",315,315,1.0
The endoplasmic reticulum-associated VP7 of rotavirus is targeted to axons and dendrites in polarized neurons,"{""K. Kristensson"",""L. Svensson"",""H. B. Greenberg"",""K. Weclewicz""}",316,316,1.0
Telemedicine in the management of chronic pain: a cost analysis study,"{""R. Kern"",""A. Pronovost"",""P. Peng""}",317,317,1.0
Moderation of cognition-intention and cognition-behaviour relations: a meta-analysis of properties of variables from the theory of planned behaviour.,"{""Paschal Sheeran"",""Richard Cooke""}",318,318,1.0
"Normalisation of left ventricular systolic function after change from VVI pacing to biventricular pacing in a child with congenital complete atrioventricular block, long-QT syndrome, and congenital muscular dystrophy: a 10-year follow-up.","{""Jesper I Reimers"",""Sabrina G Elles��e"",""Henrik �� Andersen""}",319,319,1.0
Estimating the Effect of Land Leases on Prices of Inner-city Apartment Buildings,"{""Christian T. L. Janssen""}",320,320,1.0
Radiographic detection of artificially created horizontal root fracture using different cone beam CT units with small fields of view.,"{""S Murat"",""H Avsever"",""S Y�_ksel"",""C S Paksoy"",""B Onder"",""K Kamburoglu""}",321,321,1.0
Pharmacological treatments for obsessive-compulsive disorder in children and adolescents: a qualitative review.,"{""Angel Rosa-Alc����zar"",""Ana I Rosa-Alc����zar"",""Marina Iniesta-Sep���lveda""}",322,322,1.0
Anterior approach unilateral right sacrospinous fixation for recurrent pelvic organ prolapse following multiple colorectal surgeries.,"{""Enie Akhtar Bt Nawawi"",""Ahlam M Al-Kharabsheh"",""Tsia-Shu Lo""}",323,323,1.0
A community-based trachoma survey: Prevalence and risk factors in the Tigray region of northern Ethiopia,"{""J. De La Camera"",""M. M. Mesfin"",""A. M. Kedir"",""G. Amanual"",""T. Araya"",""I. G. Tareke""}",324,324,1.0
Corneal collagen cross-linking for nonectatic disorders: A systematic review.,{NULL},325,325,1.0
Multiple dural arteriovenous fistulas presenting as rapidly progressive dementia.,"{""Diana Duro"",""Augusto Gouḷo"",""Gon̤alo Santos"",""Nuno Mendon̤a"",""Isabel Santana"",""Eg�_dio Machado""}",326,326,1.0
Methodological Review of the Quality of Reach Out and Read: Does It &quot;Work&quot;?,{NULL},327,327,1.0
New therapies in soft tissue sarcoma,"{""Bruno Vincenzi"",""Daniele Santini"",""Giuseppe Tonini"",""Anna Maria Frezza""}",328,328,1.0
Descemet's stripping endothelial keratoplasty: safety and outcomes: a report by the American Academy of Ophthalmology,{NULL},329,329,1.0
Usefulness of a Survey on Underage Drinking in a Rural American Indian Community Health Clinic,"{""Joel W. Grube"",""Juan A. Luna"",""David A. Gilder"",""Jennifer Roberts"",""Daniel Calac"",""Cindy L. Ehlers"",""Roland S. Moore""}",330,330,1.0
Antidiabetic oral treatment in older people: does frailty matter?,"{""Angela Marie Abbatecola"",""Andrea Corsonello"",""Silvia Bustacchini"",""Fabrizia Lattanzio"",""Giuseppe Paolisso""}",331,331,1.0
Body and Illness: Considering Visayan Filipino Children's Perspectives Within Local and Global Relationships of Inequality,"{""Aitken Alderson Anderson Aptekar Backett-Milburn Beazley Becker Bello Berman Billig Bluebond-Langner Borchgrevink Bucholtz Christensen Constantino Cornwall Dell Clark DiCarlo Diprose Douglas Downe Geissler Goodenough Hart James James Jocano Katz Koppitz L Aguilar"",""Lisa M. Mitchell""}",332,332,1.0
"[Dinggui Oil Capsule in treating irritable bowel syndrome with stagnation of qi and cold: a prospective, multi-center, randomized, placebo-controlled, double-blind trial]","{""M. D. Jiang"",""Z. J. Fan"",""T. Q. DA  - Jul DP  - NLM ET  - 2007/07/17 Li"",""Q. Xia"",""L. Wang"",""Z. Yu"",""R. M. Zhang"",""F. X. Zhang"",""X. N. Yang"",""H. R. Zhang""}",333,333,1.0
Evaluation of technical quality of endodontic treatment--reliability of intraoral radiographs.,"{""M Eckerbom"",""T Magnusson""}",334,334,1.0
Experience in one centre using the buttoned device for occlusion of atrial septal defect: comparison with the Amplatzer septal occluder.,"{""G Vaksmann"",""A Vincentelli"",""C Francart"",""M A Cajot"",""G M Brevi̬re"",""F Godart"",""J M Coullet"",""P Devos"",""C Rey""}",335,335,1.0
"Consciousness, coma, and caring for the brain-injured patient.","{""Carmelo Graffagnino"",""DaiWai M Olson""}",336,336,1.0
Long-term outcome for immune suppression and immune related lymphoproliferative disorder: Prospective data from the United Kingdom Children's Leukaemia and Cancer Group registry 1994-2004,"{""A. Wotherspoon"",""M.M. Taj"",""N. Hadzic"",""M. Burke"",""R. Hobson"",""S.E. Height"",""M. Viskaduraki"",""C.R. Pinkerton""}",337,337,1.0
"Pulsed cyclophosphamide, thalidomide and dexamethasone: an oral regimen for previously treated patients with multiple myeloma.","{""Meletios A Dimopoulos"",""Nikolaos Anagnostopoulos"",""Markela P Zorzou"",""Athanasios Anagnostopoulos"",""Eleni Efstathiou"",""Christos Poziopoulos"",""George Hamilos"",""Vassiliki Grigoraki"",""Dimitra Gika"",""Athanasios Zomas"",""Irini Xilouri""}",338,338,1.0
A controlled trial of anterior spinal fusion and d̩bridement in the surgical management of tuberculosis of the spine in patients on standard chemotherapy: a study in two centres in South Africa. Seventh Report of the Medical Research Council Working Party on tuberculosis of the spine,{NULL},339,339,1.0
Stress across the life course and depression in a rapidly developing population: the Guangzhou Biobank Cohort Study.,"{""Stephen E Gilman"",""Chaoqiang Jiang"",""Kar Keung Cheng"",""C Mary Schooling"",""Tai Hing Lam"",""Michael Y Ni"",""Gabriel M Leung"",""Weisen Zhang""}",340,340,1.0
Glucocorticosteroid treatment of vasogenic oedema,"{""W. Bodsch"",""T. Rommel""}",341,341,1.0
Non-surgical treatments for anal fissure in adults.,{NULL},342,342,1.0
Spontaneous pneumomediastinum in a healthy adolescent.,"{""Renata Vrsalovi����"",""Eva Verona"",""Iva Mihatov-Stefanovi����"",""Biserka Cicak""}",343,343,1.0
Pharmacotherapy for inherited colorectal cancer. [Review] [42 refs],{NULL},344,344,1.0
The vascular depression hypothesis: The influence of age on the relationship between cerebrovascular risk factors and depressive symptoms in community dwelling elders,"{""S. A. Murrell"",""B. T. Mast"",""A. R. Azar""}",345,345,1.0
The link between smoking and impotence: two decades of evidence.,"{""N D Osgood"",""T O Tengs""}",346,346,1.0
Stapled haemorrhoidopexy for the treatment of haemorrhoids: a systematic review.,"{""H Weatherly"",""D Epstein"",""J Burch"",""N Woolacott"",""D Jayne"",""D Fox"",""A Baba-Akbari Sari""}",347,347,1.0
Rapid diagnosis of Mycobacterium tuberculosis infection in children using interferon-gamma release assays (IGRAs).,"{""Barbara Zeligs"",""Stephen M Peters"",""Onorina Di Mita"",""Shahla Riazi"",""Henry Yeager"",""German A Benavides"",""Joseph A Bellanti""}",348,348,1.0
L2 spinal nerve-block effects on acute low back pain from osteoporotic vertebral fracture,"{""S. Orita"",""M. Takaso"",""S. Ohtori"",""S. Kishida"",""G. Inoue"",""M. Suzuki"",""K. Yamauchi"",""N. Ochiai"",""M. Yamashita"",""Y. Eguchi"",""K. Takahashi""}",349,349,1.0
Depression treatment preferences among Japanese undergraduates: using conjoint analysis,"{""S. Sakamoto"",""Y. Okumura""}",350,350,1.0
"Alcohol-related road traffic injuries in Eldoret, Kenya","{""W Odero""}",351,351,1.0
A study of the clinicians approach to patients' driving status in the memory clinic setting,"{""M. Thomas"",""E. Fairholme"",""N. Nichols"",""M. George""}",352,352,1.0
Frequency of CDH1 germline mutations in gastric carcinoma coming from high- and low-risk areas: metanalysis and systematic review of the literature.,"{""Franco Roviello"",""Daniele Marrelli"",""Carla Vindigni"",""Valeria Pascale"",""Giovanni Corso""}",353,353,1.0
Recovery of postoperative cognitive function in elderly patients after a long duration of desflurane anesthesia: a pilot study.,"{""Michiko Osuda"",""Satoshi Kazuma"",""Michiaki Yamakage"",""Shunsuke Tachibana"",""Tomo Hayase""}",354,354,1.0
The change in eating disorder symptoms scale: Scale development and psychometric properties,"{""D. L. Spangler""}",355,355,1.0
Detecting and monitoring the symptoms of Parkinson's disease using smartphones: A pilot study.,"{""S Arora"",""A Zhan"",""S Donohue"",""E R Dorsey"",""K M Biglan"",""V Venkataraman"",""M A Little""}",356,356,1.0
Osteoid osteoma in a 16-year-old boy presenting with atrophy of the left thigh: diagnostic difficulties.,"{""Akin Uz�_mc�_gil"",""Meral Top̤u"",""M Fani Bozkurt"",""Sinem Akg�_l""}",357,357,1.0
Systematic review of economic aspects of alternative modes of delivery,"{""R. McCandlish"",""S. Petrou"",""J. Henderson"",""L. Kumiega""}",358,358,1.0
Specific collaborative group intervention for patients with medically unexplained symptoms in general practice: A cluster randomized controlled trial,"{""Sauer N."",""Szecsenyi J."",""Faber R."",""Guthrie E."",""Schaefert R."",""Herzog W."",""Boelter R."",""Wild B."",""Kaufmann C."",""Schellberg D.""}",359,359,1.0
Disruption of the gastroesophageal junction by central obesity and waist belt: role of raised intra-abdominal pressure.,"{""Y Y Lee"",""K E L McColl""}",360,360,1.0
[Perineal regional anaesthesia: indications in gynaecologic and proctologic surgery and in obstetric],"{""F. Bolandard"",""M. Bonnin"",""P. Duband"",""J. E. Bazin"",""J. P. Mission""}",361,361,1.0
Effects of a three-month combined training program on the cardiopulmonary and muscle strength capacities of type 2 diabetic subjects.,"{""O Serresse"",""C Boudreau-Lariviere"",""S Grelier"",""R Zory""}",362,362,1.0
Unique monoclonal antibodies specifically bind surface structures on human fetal erythroid blood cells.,"{""Silke Zimmermann"",""Stefan A Stachelhaus"",""Christiane Hollmann""}",363,363,1.0
Extended-release naltrexone plus medical management alcohol treatment in primary care: Findings at 15 months,"{""Marc N. Gourevitch"",""Jennifer McNeely"",""David Stevens"",""John Rotrosen"",""Ellie Grossman"",""Laura Huben"",""Marc Manseau"",""Joshua D. Lee""}",364,364,1.0
Multiparametric MRI for recurrent prostate cancer post radical prostatectomy and postradiation therapy.,"{""Valeria Panebianco"",""Flavio Barchetti""}",365,365,1.0
The Impact of Culture on Learning: Exploring Student Perceptions,"{""Prem Ramburuth"",""Massimiliano Tani""}",366,366,1.0
[Changes in plasma concentrations of human hepatocyte growth factor before and after major intra-abdominal surgery under nitrous oxide-sevoflurane anesthesia].,"{""H Fukuda"",""H Kasuda"",""J Saitoh"",""H Mitsuhata"",""Y Hirabayashi"",""K Saitoh"",""R Shimizu""}",367,367,1.0
Surgical treatment of pathologic fractures of humerus,"{""B. Rossi"",""A. Piccioli"",""G. Maccauro"",""L. Scaramuzzo"",""F. Frenos"",""R. Capanna""}",368,368,1.0
"Balancing Identity, Motivation, and Internal Dialogue in the Making of Solos: Conquering the High Wire","{""Carey E. Andrzejewski""}",369,369,1.0
"Modification of aspects of the endocrine response to tracheal intubation by lignocaine, halothane and thiopentone.","{""O Widholm"",""A M Lehtinen"",""J Hovorka""}",370,370,1.0
Fluid resuscitation in sepsis: a systematic review and network meta-analysis.,"{""Waleed Alhazzani"",""Lehana Thabane"",""Deborah J Cook"",""Wojciech Szczeklik"",""Anees Sindi"",""Qi Zhou"",""Sultan Altayyar"",""Anna Wludarczyk"",""Gordon H Guyatt"",""[Collective Name] Fluids in Sepsis and Septic Shock Group"",""Michael Wang"",""Guowei Li"",""Roman Jaeschke"",""Diane Heels-Ansdell"",""Alison Fox-Robichaud"",""Bram Rochwerg"",""Fayez Alshamsi"",""Wang-Chun Ip"",""Djillali Annane"",""Lawrence Mbuagbaw""}",371,371,1.0
CO2 emission inventories for Chinese cities in highly urbanized areas compared with European cities,"{""W. Yu"",""R. Pagani"",""L. Huang""}",372,372,1.0
Measuring the value of research data: a citation analysis of oceanographic data sets,"{""C. W. Belter""}",373,373,1.0
Trends in the quality of data from 5168 oligonucleotide microarrays from a single facility,"{""David B. Finkelstein""}",374,374,1.0
Nomogram to predict anastomotic leakage after laparoscopic anterior resection with intracorporeal rectal transection and double-stapling technique anastomosis for rectal cancer.,"{""Qiang Huang"",""Yang Wu"",""Zhi Qiang Zhu"",""Wei Liang"",""Feng Shao"",""Han Hui Yao""}",375,375,1.0
