Actors,Cast,original_index,unique_index
"Anna Faris,Colin Hanks,Emma Stone","Anna Faris,Colin Hanks,Emma Stone,Kat Dennings,Hugh M. Hefner,Christopher McDonald,Beverly D'Angelo,Katharine McPhee,Rumer Willis,Kiely Williams,Dana Goodman,Kimberly Makkouk,Monet Mazur,Tyson Ritter,Sarah Wright",1830,1804
"Christoph Waltz,Lucas Hedges,Mélanie Thierry","Christoph Waltz,Gwendoline Christie,Rupert Friend,Ray Cooper,Lily Cole,David Thewlis,Sanjeev Bhaskar,Peter Stormare,Ben Whishaw,Mélanie Thierry,Matt Damon,Lucas Hedges,Margarita Doyle,Tilda Swinton,Emil Hostina",1831,1805
"Jackie Chan,Owen Wilson,Fann Wong","Jackie Chan,Owen Wilson,Aaron Taylor-Johnson,Tom Fisher,Aidan Gillen,Fann Wong,Donnie Yen,Oliver Cotton,Alison King,Constantine Gregory,Jonathan Harvey,Richard Haas,Anna-Louise Plowman,Georgina Chapman,John Owens",1832,1806
"Katie Cassidy,Garret Dillahunt,Michelle Trachtenberg","Katie Cassidy,Garret Dillahunt,Michelle Trachtenberg,Michael Imperioli,Gina Gershon,Sasha Grey,Kunal Nayyar,Ashlynn Yennie,Billy Campbell,Eliza Dushku,Sir Hollywood,Luke Barnett,T.V. Carpio,Brad Culver,Jessica Lee",1833,1807
"Tom Cruise,Colin Farrell,Samantha Morton","Tom Cruise,Max von Sydow,Steve Harris,Neal McDonough,Patrick Kilpatrick,Jessica Capshaw,Richard Coca,Keith Campbell,Kirk B.R. Woller,Klea Scott,Frank Grillo,Anna Maria Horsford,Sarah Simmons,Eugene Osment,James Henderson",1834,1808
"Ben Affleck,Aaron Eckhart,Uma Thurman","Ben Affleck,Aaron Eckhart,Uma Thurman,Paul Giamatti,Colm Feore,Joe Morton,Michael C. Hall,Peter Friedman,Kathryn Morris,Ivana Milicevic,Christopher Kennedy,Fulvio Cecere,John Cassini,Callum Keith Rennie,Michelle Harrison",1835,1809
"Charlie Sheen,Lindsay Crouse,Richard Schiff","Charlie Sheen,Lindsay Crouse,Richard Schiff,Shane,Ron Silver,Teri Polo,Phyllis Applegate,Alan Coates,Leon Rippy,Buddy Joe Hooker,Javier Morga,Tony T. Johnson,Catalina Botello,Georg Lillitsch,David Villalpando",1836,1810
"Dennis Quaid,Zac Efron,Kim Dickens","Dennis Quaid,Kim Dickens,Aaron B. Oduber,Jacob R. Oduber,Zac Efron,Patrick W. Stevens,Guy Massey,John Hoogenakker,Laura Atwood,Dan Waller,Maika Monroe,Phil Ridarelli,Clancy Brown,Ben Marten,Matthew Petersen",1837,1811
"Simon Abkarian,Angela Sarafyan,Sam Page","Simon Abkarian,Angela Sarafyan,Sam Page,Nikolai Kinski,Jim Piddock,Debra Christofferson,Courtney Halverson,Christopher Clausi,Myles Cranford,Marc Forget,Robert Hallak,David Imani,Mercy Malick,Sunny Suljic,Lory Tatoulian",1838,1812
"Kate McNeil,Eileen Davidson,Janis Ward","Kate McNeil,Eileen Davidson,Janis Ward,Robin Meloy,Harley Jane Kozak,Jodi Draigie,Ellen Dorsher,Lois Kelso Hunt,Christopher Lawrence,Michael Kuhn,Michael Sergio,Ruth Walsh,Ed Heath,Jean Schertler,Larry Singer",1839,1813
"Pamela Springsteen,Tracy Griffith,Michael J. Pollard","Pamela Springsteen,Tracy Griffith,Michael J. Pollard,Mark Oliver,Haynes Brooke,Sandra Dorsey,Daryl Wilcher,Kim Wall,Kyle Holman,Cliff Brand,Kashina Kessler,Randi Layne,Chung Yen Tsay,Jarrett Beal,Sonya Maddox",1840,1814
Paul Schaefer,Paul Schaefer,1841,1815
"Michelle Michaels,Robin Stille,Michael Villella","Michelle Michaels,Robin Stille,Michael Villella,Debra De Liso,Andree Honore,Gina Smika Hunter,Jennifer Meyers,Joseph Alan Johnson,David Millbern,Jim Boyce,Pamela Roylance,Brinke Stevens,Rigg Kennedy,Jean Vargas,Anna Patton",1842,1816
"Greg Evigan,Nancy Everhard,Taurean Blacque","Taurean Blacque,Nancy Everhard,Greg Evigan,Miguel Ferrer,Nia Peeples,Matt McCoy,Cindy Pickett,Marius Weyers,Elya Baskin,Thom Bray,Ronn Carroll",1843,1817
"Bridget Fonda,Bill Pullman,Oliver Platt","Bill Pullman,Bridget Fonda,Oliver Platt,Brendan Gleeson,Betty White,David Lewis,Tim Dixon,Natassia Malthe,Mariska Hargitay,Meredith Salenger,Jed Rees,Richard Leacock,Jake T. Roberts,Warren Takeuchi,Ty Olsson",1844,1818
"Treat Williams,Famke Janssen,Anthony Heald","Treat Williams,Famke Janssen,Anthony Heald,Kevin J. O'Connor,Wes Studi,Derrick O'Connor,Jason Flemyng,Cliff Curtis,Clifton Powell,Trevor Goddard,Djimon Hounsou,Una Damon,Clint Curtis,Warren Takeuchi,Linden Banks",1845,1819
"Jack Black,Shirley MacLaine,Matthew McConaughey","Jack Black,Shirley MacLaine,Matthew McConaughey,Brady Coleman,Richard Robichaux,Rick Dial,Brandon Smith,Larry Jack Dotson,Merrilee McCommas,Mathew Greer,Marjorie Dome,Tim Cariker,Fern Luker,Jack Payne,Sonny Carl Davis",1846,1820
"Jamie Lee Curtis,William Baldwin,Donald Sutherland","Jamie Lee Curtis,William Baldwin,Donald Sutherland,Joanna Pacula,Marshall Bell,Sherman Augustus,Cliff Curtis,Julio Oscar Mechoso,Yuri Chervotkin,Keith Flippen,Olga Rzhepetskaya-Retchin,Levan Uchaneyshvili,David Eggby",1847,1821
"Peter Weller,Jennifer Dale,Lawrence Dane","Peter Weller,Jennifer Dale,Lawrence Dane,Kenneth Welsh,Louis Del Grande,Shannon Tweed,Keith Knight,Maury Chaykin,Leif Anderson,Jimmy Tapp,Gayle Garfinkle,Earl Pennington,Jacklin Webb,Bronwen Mantel,Monik Nantel",1848,1822
"Penelope Ann Miller,Tom Sizemore,Linda Hunt","Penelope Ann Miller,Tom Sizemore,Linda Hunt,James Whitmore,Clayton Rohner,Chi Muoi Lo,Thomas Ryan,Robert Lesser,Diane Robin,Lewis Van Bergen,Constance Towers,Francis X. McCarthy,Audra Lindley,John Kapelos,Tico Wells",1849,1823
"Brian Jannelle,Adrian Guillette,Arthur Smith","Brian Jannelle,Adrian Guillette,Arthur Smith,Asterias Vulgaris,Callinectes Sapidus,Christopher Swampstead,Cleona Celata,Clyde Lee,Declan Conneely,Fulmarus Glarialis,F.V. Athena,Gadus Morhud,Hippoglossus Hippoglossus,Homarus Americanus,Johnny Gatcombe",1850,1824
"Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn","Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn,Leo Burmester,Todd Graff,John Bedford Lloyd,J.C. Quinn,Kimberly Scott,Captain Kidd Brewer Jr.,George Robert Klek,Christopher Murphy,Adam Nelson,Dick Warlock,Jimmie Ray Weeks,J. Kenneth Campbell",1851,1825
"Steve Railsback,Mathilda May,Peter Firth","Steve Railsback,Peter Firth,Frank Finlay,Mathilda May,Patrick Stewart,Michael Gothard,Nicholas Ball,Aubrey Morris,Nancy Paul,John Hallam,John Keegan,Chris Jagger,Bill Malin,Jerome Willis,Derek Benfield",1852,1826
"Peter Weller,Belinda Bauer,John Glover","Belinda Bauer,John Glover,Mario Machado,Leeza Gibbons,John Ingle,Tom Noonan,Roger Aaron Brown,Gabriel Damon,Mark Rolston,Lila Finn,John Hateley,Gage Tarrant,Thomas Rosales Jr.,Brandon Smith,Wallace Merck",1853,1827
"Rutger Hauer,Mimi Rogers,Joan Chen","Rutger Hauer,Mimi Rogers,Joan Chen,James Remar,Stephen Tobolowsky,Basil Wallace,Grand L. Bush,Denis Forest,Glenn Plummer,Belle Avery,Ismael 'East' Carlo,Ed Crick,Zaid Farid,Richard Gilbert-Hill,Colin Hamilton",1854,1828
"Ashley Judd,Michael Shannon,Harry Connick Jr.","Ashley Judd,Michael Shannon,Harry Connick Jr.,Lynn Collins,Brían F. O'Byrne,Neil Bergeron,Bob Neill",1855,1829
"Roy Scheider,Warren Oates,Candy Clark","Roy Scheider,Warren Oates,Candy Clark,Daniel Stern,Paul Roebling,David Sheiner,Joe Santos,Malcolm McDowell,Ed Bernard,Jason Bernard,Mario Machado,James Murtaugh,Pat McNamara,Jack Murdock,Clifford A. Pellow",1856,1830
"James Farentino,Melody Anderson,Jack Albertson","James Farentino,Melody Anderson,Jack Albertson,Dennis Redfield,Nancy Locke,Lisa Blount,Robert Englund,Bill Quinn,Michael Currie,Christopher Allport,Joseph G. Medalis,Macon McCalman,Lisa Marie,Estelle Omens,Barry Corbin",1857,1831
"Sandra Dee,Dean Stockwell,Ed Begley","Sandra Dee,Dean Stockwell,Ed Begley,Lloyd Bochner,Sam Jaffe,Joanne Moore Jordan,Donna Baccala,Talia Shire,Michael Fox,Jason Wingreen,Barboura Morris,Beach Dickerson,Michael Haynes,Toby Russ,Jack Pierce",1858,1832
"Linden Chiles,Matthew Greene,Evelyn Hammid","Linden Chiles,Matthew Greene,Evelyn Hammid,Mihran Konanyan,Kevin Shayer",1859,1833
"Jon Finch,Blake Adams,Ashley Laurence","Jon Finch,Blake Adams,Ashley Laurence,Jeffrey Combs,Allison Mackie,Paul Mantee,Vincent Schiavelli,Joseph Leavengood,Michael Todd,Cristina Stoica,Luana Stoica,Adrian Pintea,Ilinca Goia",1860,1834
"Mark LaCour,Tim Verkaik,Eddie Moore","Mark LaCour,Tim Verkaik,Eddie Moore,Joan Parmelee,David Hatcher,Todd Leger,Joe Jennings,Bonnie Darensbourg,Jay Reed,Jesse Carnes,Robert Carnes,Ann Darphin,Johnny Grimmet,Shane Grimmet,Mark McCormick",1861,1835
"Matthew McConaughey,Woody Harrelson,Willie Nelson","Matthew McConaughey,Alexie Gilmore,Jeffrey Nordling,Woody Harrelson,Zachary Knighton,Todd Stashwick,Nathan Phillips,Ramon Rodriguez,Scott Glenn,John Terry,Sarah Wright,K.D. Aubert,Willie Nelson,Johnny Sneed,Nancy Fish",1862,1836
"Brad Pitt,Ray Liotta,Richard Jenkins","Brad Pitt,Scoot McNairy,Ben Mendelsohn,James Gandolfini,Richard Jenkins,Vincent Curatola,Ray Liotta,Trevor Long,Max Casella,Sam Shepard,Slaine,Linara Washington,Ross Brodar,Wade Allen,Christopher Berry",1863,1837
"Michael Shannon,Jessica Chastain,Shea Whigham","Michael Shannon,Jessica Chastain,Tova Stewart,Shea Whigham,Katy Mixon,Natasha Randall,Ron Kennard,Scott Knisley,Robert Longstreet,Heather Caldwell,Sheila Hullihen,John Kloock,Marianna Alacchi,Jacque Jovic,Bob Maines",1864,1838
"Rita Hayworth,Glenn Ford,George Macready","Rita Hayworth,Glenn Ford,George Macready,Joseph Calleia,Steven Geray,Joe Sawyer,Gerald Mohr,Mark Roberts,Ludwig Donath,Donald Douglas",1865,1839
"Bill Paxton,Matthew McConaughey,Powers Boothe","Bill Paxton,Matthew McConaughey,Powers Boothe,Matt O'Leary,Jeremy Sumpter,Luke Askew,Levi Kreis,Derk Cheetwood,Missy Crider,Alan Davidson,Cynthia Ettinger,Vincent Chase,Gwen McGee,Edmond Scott Ratliff,Rebecca Tilney",1866,1840
"Jack Lemmon,Ted Danson,Olympia Dukakis","Jack Lemmon,Ted Danson,Olympia Dukakis,Kathy Baker,Kevin Spacey,Ethan Hawke,Zakes Mokae,J.T. Walsh,Peter Michael Goetz,John Apicella,Richard McGonagle,Bill Morey,Mary Fogarty,Art Frankel,Ray Girardin",1867,1841
"Joaquin Phoenix,Amy Adams,Scarlett Johansson","Joaquin Phoenix,Lynn Adrianna,Lisa Renee Pitts,Gabe Gomez,Chris Pratt,Artt Butler,May Lindstrom,Rooney Mara,Bill Hader,Kristen Wiig,Brian Johnson,Scarlett Johansson,Amy Adams,Matt Letscher,Spike Jonze",1868,1842
"Jason Schwartzman,John Leguizamo,Patrick Fugit","Jason Schwartzman,Mickey Rourke,Brittany Murphy,John Leguizamo,Patrick Fugit,Mena Suvari,Chloe Hunter,Elisa Bocanegra,Julia Mendoza,China Chow,Nicholas Gonzalez,Deborah Harry,Josh Peck,Charlotte Ayanna,Eric Roberts",1869,1843
"Tim Streeter,Doug Cooeyate,Ray Monge","Tim Streeter,Doug Cooeyate,Ray Monge,Nyla McCarthy,Sam Downey,Robert Lee Pitchlynn,Eric Pedersen,Marty Christiansen,George Conner,Don Chambers,Walt Curtis,Kenny Presler,Conde Benavides,Cristo Stoyos,Matt Cooeyate",1870,1844
"River Phoenix,Keanu Reeves,James Russo","River Phoenix,Keanu Reeves,James Russo,William Richert,Rodney Harvey,Chiara Caselli,Michael Parker,Jessie Thomas,Flea,Grace Zabriskie,Tom Troupe,Udo Kier,Sally Curtice,Robert Lee Pitchlynn,Mickey Cottrell",1871,1845
"Elias McConnell,Alex Frost,Eric Deulen","Alex Frost,Eric Deulen,John Robinson,Elias McConnell,Jordan Taylor,Carrie Finklea,Nicole George,Brittany Mountain,Alicia Miles,Kristen Hicks,Bennie Dixon,Nathan Tyson,Timothy Bottoms,Matt Malloy,Ellis Williams",1872,1846
"Uma Thurman,Lorraine Bracco,Pat Morita","Uma Thurman,Lorraine Bracco,Pat Morita,Angie Dickinson,Keanu Reeves,John Hurt,Rain Phoenix,Ed Begley Jr.,Carol Kane,Sean Young,Crispin Glover,Roseanne Barr,Buck Henry,Grace Zabriskie,Treva Jeffryes",1873,1847
"Gabe Nevins,Daniel Liu,Taylor Momsen","Gabe Nevins,Daniel Liu,Jake Miller,Taylor Momsen,Lauren McKinney,Scott Patrick Green,John Michael Burrowes,Grace Carter,Jay 'Smay' Williamson,Christopher Doyle,Dillon Hines,Emma Nevins,Brad Peterson,Winfield Jackson,Joe Schweitzer",1874,1848
"Vincent Gallo,Christina Ricci,Ben Gazzara","Vincent Gallo,Christina Ricci,Ben Gazzara,Mickey Rourke,Rosanna Arquette,Jan-Michael Vincent,Anjelica Huston,Kevin Pollak,Alex Karras,John Sansone,Manny Fried,John Rummel,Bob Wahl,Penny Wolfgang,Anthony Mydcarz",1875,1849
"Nicole Kidman,Matt Dillon,Joaquin Phoenix","Nicole Kidman,Matt Dillon,Joaquin Phoenix,Casey Affleck,Illeana Douglas,Alison Folland,Dan Hedaya,Wayne Knight,Kurtwood Smith,Holland Taylor,Susan Traylor,Maria Tucci,Tim Hopper,Michael Rispoli,Buck Henry",1876,1850
"Michael Pitt,Lukas Haas,Asia Argento","Michael Pitt,Lukas Haas,Asia Argento,Scott Patrick Green,Nicole Vicius,Ricky Jay,Ryan Orion,Harmony Korine,Rodrigo Lopresti,Kim Gordon,Adam Friberg,Andy Friberg,Thadeus A. Thomas,Chip Marks,Kurt Loder",1877,1851
"Matt Dillon,Jim Metzler,Meg Tilly","Matt Dillon,Jim Metzler,Meg Tilly,Bill McKinney,Frances Lee McCain,Ben Johnson,Emilio Estevez,Jack Thibeau,Zeljko Ivanek,Tom Virtue,Pamela Ludwig,Jeff Fleury,Suzanne Costollos,Marilyn Redfield,Mark Arnott",1878,1852
"Matt Dillon,Mickey Rourke,Diane Lane","Matt Dillon,Mickey Rourke,Diane Lane,Dennis Hopper,Diana Scarwid,Vincent Spano,Nicolas Cage,Chris Penn,Laurence Fishburne,William Smith,Michael Higgins,Glenn Withrow,Tom Waits,Herb Rice,Maybelle Wallace",1879,1853
"Casey Affleck,Matt Damon","Casey Affleck,Matt Damon",1880,1854
"Judith Malina,Danijela Stajnfeld,Jack Engelhard","Judith Malina,Danijela Stajnfeld,Jack Engelhard,Tom Chapin,David Amram,Augustus Wilson,Romeo Lacandola,Erica Lee Hammond,Dermot McEvoy,Avery Miles,David Cesar,Alfredo Guenzani,Chris Johnson,Richard Reeves,Kevin Necciai",1881,1855
"Balthazar Getty,Chris Furrh,Danuel Pipoly","Balthazar Getty,Chris Furrh,Danuel Pipoly,James Badge Dale,Andrew Taft,Edward Taft,Gary Rule,Terry Wells,Braden MacDonald,Angus Burgin,Martin Zentz,Brian Jacobs,Vincent Amabile,David Weinstein,Chuck Bell",1882,1856
"Colin O'Donoghue,Anthony Hopkins,Ciarán Hinds","Anthony Hopkins,Colin O'Donoghue,Alice Braga,Ciarán Hinds,Toby Jones,Rutger Hauer,Marta Gastini,Maria Grazia Cucinotta,Arianna Veronesi,Andrea Calligari,Chris Marquette,Torrey DeVitto,Ben Cheetham,Marija Karan,Rosa Pianeta",1883,1857
"Ewan McGregor,Naomi Watts,Ryan Gosling","Ewan McGregor,Ryan Gosling,Kate Burton,Naomi Watts,Elizabeth Reaser,Bob Hoskins,Janeane Garofalo,BD Wong,John Tormey,José Ramón Rosario,Becky Ann Baker,Lisa Kron,Gregory Mitchell,John Dominici,Jessica Hecht",1884,1858
"Matthew McConaughey,Bill Paxton,Harvey Keitel","Matthew McConaughey,Bill Paxton,Harvey Keitel,Jon Bon Jovi,David Keith,Thomas Kretschmann,Jake Weber,Jack Noseworthy,Tom Guiry,Will Estes,Terrence 'T.C.' Carson,Erik Palladino,Dave Power,Derk Cheetwood,Matthew Settle",1885,1859
"Christian Bale,Steve Zahn,Jeremy Davies","Zach Grenier,Marshall Bell,Christian Bale,Toby Huss,Pat Healy,GQ,James Oliver,Brad Carr,Saichia Wongwiroj,François Chau,Teerawat Mulvilai,Yuttana Muenwaja,Kriangsak Ming-olo,Somkuan 'Kuan' Siroon,Chorn Solyda",1886,1860
"Christian Bale,Sean Bean,Emily Watson","Christian Bale,Dominic Purcell,Sean Bean,Christian Kahrmann,John Keogh,Sean Pertwee,William Fichtner,Angus Macfadyen,David Barrash,Dirk Martens,Taye Diggs,Matthew Harbour,Maria Pia Calzone,Emily Siewert,Emily Watson",1887,1861
"Kevin Costner,Jeanne Tripplehorn,Dennis Hopper","Kevin Costner,Chaim Girafi,Rick Aviles,R.D. Call,Zitto Kazann,Leonardo Cimino,Zakes Mokae,Luke Ka'ili Jr.,Anthony DeMasters,Willy Petrovic,Jack Kehler,Jeanne Tripplehorn,Lanny Flaherty,Robert A. Silverman,Gerard Murphy",1888,1862
"Russell Crowe,Christian Bale,Ben Foster","Russell Crowe,Christian Bale,Logan Lerman,Dallas Roberts,Ben Foster,Peter Fonda,Vinessa Shaw,Alan Tudyk,Luce Rains,Gretchen Mol,Lennie Loftin,Rio Alexander,Johnny Whitworth,Shawn Howell,Pat Ricotti",1889,1863
"Samuel L. Jackson,Vanessa Williams,Christian Bale","Samuel L. Jackson,Vanessa Williams,Jeffrey Wright,Christian Bale,Busta Rhymes,Dan Hedaya,Toni Collette,Richard Roundtree,Ruben Santiago-Hudson,Josef Sommer,Lynne Thigpen,Philip Bosco,Pat Hingle,Lee Tergesen,Daniel von Bargen",1890,1864
"Radha Mitchell,Cole Hauser,Vin Diesel","Vin Diesel,Radha Mitchell,Cole Hauser,Keith David,Lewis Fitz-Gerald,Claudia Black,Rhiana Griffith,John Moore,Simon Burke,Les Chantery,Sam Sari,Firass Dirani,Ric Anderson,Vic Wilson,Angela Moore",1891,1865
"Christian Bale,Michael Caine,Ken Watanabe","Christian Bale,Michael Caine,Liam Neeson,Katie Holmes,Gary Oldman,Cillian Murphy,Tom Wilkinson,Rutger Hauer,Ken Watanabe,Mark Boone Junior,Linus Roache,Morgan Freeman,Larry Holden,Gerard Murphy,Colin McFarlane",1892,1866
"Matthew McConaughey,Sandra Bullock,Samuel L. Jackson","Matthew McConaughey,Sandra Bullock,Samuel L. Jackson,Kevin Spacey,Oliver Platt,Charles S. Dutton,Brenda Fricker,Donald Sutherland,Kiefer Sutherland,Patrick McGoohan,Ashley Judd,Tonea Stewart,Rae'Ven Larrymore Kelly,Darrin Mitchell,LaConte McGrew",1893,1867
"Bruce Willis,Radha Mitchell,Ving Rhames","Bruce Willis,Radha Mitchell,Rosamund Pike,Boris Kodjoe,James Francis Ginty,James Cromwell,Ving Rhames,Jack Noseworthy,Devin Ratray,Michael Cudlitz,Jeffrey De Serrano,Helena Mattsson,Michael Phillip,Danny F Smith,Brian A. Parrish",1894,1868
"Christian Bale,Eva Longoria,Freddy Rodríguez","Christian Bale,Freddy Rodríguez,Eva Longoria,Chaka Forman,Tammy Trull,J.K. Simmons,Michael Monks,Samantha Esteban,Tania Verafield,Noel Gugliemi,Adriana Millan,Geo Corvera,Cesar Garcia,Terry Crews,Emilio Rivera",1895,1869
"Daniel Radcliffe,Emma Watson,Rupert Grint","Ralph Fiennes,Michael Gambon,Alan Rickman,Daniel Radcliffe,Rupert Grint,Emma Watson,Evanna Lynch,Domhnall Gleeson,Clémence Poésy,Warwick Davis,John Hurt,Helena Bonham Carter,Graham Duff,Anthony Allgood,Rusty Goffe",1896,1870
"Roy Scheider,Robert Shaw,Richard Dreyfuss","Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary,Murray Hamilton,Carl Gottlieb,Jeffrey Kramer,Susan Backlinie,Jonathan Filley,Ted Grossman,Chris Rebello,Jay Mello,Lee Fierro,Jeffrey Voorhees,Craig Kingsbury",1897,1871
"Jeff Goldblum,Julianne Moore,Pete Postlethwaite","Jeff Goldblum,Julianne Moore,Pete Postlethwaite,Arliss Howard,Richard Attenborough,Vince Vaughn,Vanessa Lee Chester,Peter Stormare,Harvey Jason,Richard Schiff,Thomas F. Duffy,Joseph Mazzello,Ariana Richards,Thomas Rosales Jr.,Camilla Belle",1898,1872
"Bruce Dern,Will Forte,June Squibb","Bruce Dern,Will Forte,June Squibb,Bob Odenkirk,Stacy Keach,Mary Louise Wilson,Rance Howard,Tim Driscoll,Devin Ratray,Angela McEwan,Glendora Stitt,Elizabeth Moore,Kevin Kunkel,Dennis McCoig,Ronald Vosta",1899,1873
"Sam Neill,William H. Macy,Téa Leoni","Sam Neill,William H. Macy,Téa Leoni,Alessandro Nivola,Trevor Morgan,Michael Jeter,John Diehl,Bruce A. Young,Laura Dern,Taylor Nichols,Mark Harelik,Julio Oscar Mechoso,Blake Michael Bryan,Sarah Danielle Goldberg,Linda Park",1900,1874
"Bruce Willis,William Atherton,Bonnie Bedelia","Bruce Willis,Bonnie Bedelia,William Atherton,Reginald VelJohnson,Franco Nero,William Sadler,John Amos,Dennis Franz,Art Evans,Fred Dalton Thompson,Tom Bower,Sheila McCarthy,Don Harvey,Tony Ganios,Peter Nelson",1901,1875
"Bruce Willis,Justin Long,Timothy Olyphant","Bruce Willis,Timothy Olyphant,Justin Long,Maggie Q,Cliff Curtis,Jonathan Sadowski,Andrew Friedman,Kevin Smith,Yorgo Constantine,Cyril Raffaelli,Chris Palermo,Mary Elizabeth Winstead,Sung Kang,Zeljko Ivanek,Christina Chang",1902,1876
"Dustin Hoffman,Laurence Olivier,Roy Scheider","Dustin Hoffman,Laurence Olivier,Roy Scheider,William Devane,Marthe Keller,Fritz Weaver,Richard Bright,Marc Lawrence,Allen Joseph,Tito Goya,Ben Dova,Lou Gilbert,Jacques Marin,James Wing Woo,Nicole Deslauriers",1903,1877
"Naomi Watts,Jack Black,Adrien Brody","Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks,Andy Serkis,Evan Parke,Jamie Bell,Lobo Chan,John Sumner,Craig Hall,Kyle Chandler,William Johnson,Mark Hadlow,Geraldine Brophy",1904,1878
"Nichelle Nichols,Ethan Keogh,Susan Smythe","Nichelle Nichols,Ethan Keogh,Susan Smythe,Claudia Lynx,Alexander Wraith,Mark Gilvary,J. Neil Schulman,Said Faraj,Mara Marini,Vince Martorano,Hope McBane,Michele Redmond,Keyaria Rodriguez,Angela Rosiek,Ron Czechorosky",1905,1879
"Kaleb Shorey,Nick Sommer,Stephanie Leigh Rose","Kaleb Shorey,Nick Sommer,Stephanie Leigh Rose,Marla Van Lanen,Johnathon Krautkramer,Mike Goltz,Kevin Sommerfield,Steve Goltz,Hannah Herdt,Elise McCready,Mercedes Redman,Jerry Lesperance,Tink,Spencer Harlan,Brady Simenson",1906,1880
"L.M. Kit Carson,Eileen Dietz,Louise Levine","L.M. Kit Carson,Eileen Dietz,Lorenzo Mans,Louise Levine,Fern McBride,Michel Lévine,Robert Lesser,Jack Baran",1907,1881
"Wallace Ford,Leila Hyams,Olga Baclanova","Wallace Ford,Leila Hyams,Olga Baclanova,Roscoe Ates,Henry Victor,Harry Earles,Daisy Earles,Rose Dione,Daisy Hilton,Violet Hilton,Schlitze,Josephine Joseph,Johnny Eck,Frances O'Connor,Peter Robinson",1908,1882
"Robert Armstrong,Helen Mack,Frank Reicher","Robert Armstrong,Helen Mack,Frank Reicher,John Marston,Victor Wong,Ed Brady",1909,1883
"Ana Claudia Talancón,Colin Hanks,Jordana Spiro","Colin Hanks,Ana Claudia Talancón,Jordana Spiro,Jonathon Trent,Alex Boling,Tony Armatrading,Nicole Layson,Morgan Star",1910,1884
"Larry C. Brubaker,Todd Cobery,Linda Flanders","Larry C. Brubaker,Todd Cobery,Linda Flanders,Michelle Lekas,Nathan Paulson,Mark L. Rosen,Ryan Schaddelee,Raymond P. Whalen,Julie Wilson",1911,1885
"Jeff Bridges,Charles Grodin,Jessica Lange","Jeff Bridges,Charles Grodin,Jessica Lange,John Randolph,Rene Auberjonois,Julius Harris,Jack O'Halloran,Dennis Fimple,Ed Lauter,Jorge Moreno,Mario Gallo,John Lone,Garry Walberg,John Agar,Keny Long",1912,1886
"Nelson Eddy,Susanna Foster,Claude Rains","Nelson Eddy,Susanna Foster,Claude Rains,Edgar Barrier,Leo Carrillo,Jane Farrar,J. Edward Bromberg,Fritz Feld,Frank Puglia,Steven Geray,Barbara Everest,Hume Cronyn,Fritz Leiber,Nicki Andre,Gladys Blake",1913,1887
"Cedric Hardwicke,Vincent Price,Nan Grey","Cedric Hardwicke,Vincent Price,Nan Grey,John Sutton,Cecil Kellaway,Alan Napier,Forrester Harvey",1914,1888
"Boris Karloff,Lon Chaney Jr.,J. Carrol Naish","Boris Karloff,Lon Chaney Jr.,J. Carrol Naish,John Carradine,Anne Gwynne,Peter Coe,Lionel Atwill,George Zucco,Elena Verdugo,Sig Ruman,William Edmunds,Charles Miller,Philip Van Zandt,Julius Tannen,Hans Herbert",1915,1889
"Boris Karloff,Melvyn Douglas,Charles Laughton","Boris Karloff,Melvyn Douglas,Charles Laughton,Lilian Bond,Ernest Thesiger,Eva Moore,Raymond Massey,Gloria Stuart,Elspeth Dudgeon,Brember Wills",1916,1890
"Henry Hull,Warner Oland,Valerie Hobson","Henry Hull,Warner Oland,Valerie Hobson,Lester Matthews,Lawrence Grant,Spring Byington,Clark Williams,J.M. Kerrigan,Charlotte Granville,Ethel Griffies,Zeffie Tilbury,Jeanne Bartlett",1917,1891
"Cedric Hardwicke,Lon Chaney Jr.,Ralph Bellamy","Lon Chaney Jr.,Cedric Hardwicke,Ralph Bellamy,Lionel Atwill,Bela Lugosi,Evelyn Ankers,Janet Ann Gallow,Barton Yarborough,Doris Lloyd,Leyland Hodgson,Olaf Hytten,Holmes Herbert",1918,1892
"Fredric March,Miriam Hopkins,Rose Hobart","Fredric March,Miriam Hopkins,Rose Hobart,Holmes Herbert,Halliwell Hobbes,Edgar Norton,Tempe Pigott",1919,1893
"Nicolas Cage,Tye Sheridan,Gary Poulter","Nicolas Cage,Tye Sheridan,Gary Poulter,Ronnie Gene Blevins,Adriene Mishler,Brian Mays,Aj Wilson McPhaul,Sue Rock,Heather Kafka,Brenda Isaacs Booth,Anna Niemtschk,Elbert Hill III,Milton Fountain,Roderick L. Polk,Aaron Spivey-Sorrells",1920,1894
"Nick Stahl,Vera Farmiga,Rachel Black","Nick Stahl,Rachel Black,Jessica Hecht,Jacob Pitts,Ashlie Atkinson,Jamie McShane,Pablo Schreiber,Jeane Fournier,Carmela Marner,Phil LaMarr,Matthew Carey,Ben Siegler,Michal Sinnott,Joshua Leonard,Vera Farmiga",1921,1895
