Release Date,Language,original_index,unique_index
August 2015 (USA),English,1361,1276
9 June 2015 (USA),English,1362,1277
21 November 2008 (USA),"English,German",1363,1278
21 April 2015 (USA),English,1364,1279
25 December 2012 (USA),English,1365,260
3 August 2012 (USA),English,1366,1280
20 August 2010 (USA),English,1367,758
23 December 2011 (USA),English,1368,1281
8 March 2013 (USA),English,1369,1282
25 December 2008 (USA),English,1370,1283
15 December 2006 (USA),English,1371,1284
27 January 1989 (USA),English,1372,1285
18 October 2013 (Iceland),"English,Spanish",1373,1286
January 1990 (USA),"English,Hungarian",1374,1287
24 September 2005 (USA),English,1375,1288
3 July 2007 (USA),"English,French,Spanish,Russian",1376,1289
6 January 2006 (USA),"English,Czech,German,Dutch,Slovak,Japanese,Icelandic,Russian,Spanish",1377,1290
15 November 2002 (USA),English,1378,1178
25 June 2004 (USA),"English,Arabic",1379,1291
31 July 2009 (USA),English,1380,1292
1954 (UK),English,1381,1293
1958 (UK),English,1382,1294
5 September 1941 (USA),English,1383,1295
November 1972 (USA),English,1384,1296
29 March 1963 (USA),English,1385,1297
21 November 1975 (USA),English,1386,1298
12 December 1997 (USA),"English,Polish",1387,1299
19 June 1992 (USA),English,1388,1300
20 July 1984 (USA),English,1389,1301
23 November 2011 (USA),English,1390,1302
6 June 1908 (USA),English,1391,1303
17 December 1982 (USA),English,1392,969
10 November 2004 (USA),English,1393,1304
26 June 1998 (USA),English,1394,240
27 November 1996 (USA),"English,Spanish",1395,1305
2 February 1996 (USA),English,1396,322
5 August 1994 (USA),English,1397,1306
17 January 1997 (USA),English,1398,1307
19 July 1991 (USA),"English,Italian,Russian",1399,1308
"Feb 17, 1989 Wide","English,French,German,Greek, Ancient (to 1453)",1400,1309
10 February 1995 (USA),"English,French,Spanish",1401,1310
31 March 1995 (USA),English,1402,1311
31 July 1998 (USA),English,1403,1312
31 July 1987 (USA),"English,Arabic,French,German,Russian,Czech,Slovak,Dari,Pushto",1404,1313
19 December 1997 (USA),"English,German,Danish,Mandarin,Cantonese",1405,1314
21 July 1973 (Sweden),"English,Spanish",1406,1315
15 July 2005 (USA),English,1407,899
12 June 2014 (Chile),"Spanish,English",1408,1316
18 June 2004 (USA),"English,German",1409,1317
30 March 2007 (USA),"English,Japanese",1410,1318
9 July 2004 (USA),"English,French,Spanish",1411,1319
18 December 2013 (USA),English,1412,1320
"Aug 4, 2006 Wide","English,French",1413,1321
25 July 2008 (USA),"English,Spanish",1414,1322
16 February 1996 (USA),English,1415,534
23 October 1998 (USA),English,1416,1323
10 July 2009 (USA),"English,German",1417,1324
23 February 2007 (USA),"English,Chinese",1418,1325
7 July 2000 (USA),English,1419,1326
3 October 2003 (USA),English,1420,1327
22 December 2010 (USA),English,1421,1328
16 May 2012 (USA),"English,Hebrew",1422,1329
9 July 1999 (USA),English,1423,1330
22 March 2002 (UK),"English,French,Spanish",1424,1331
6 June 1986 (USA),English,1425,1332
17 September 2010 (USA),English,1426,236
12 September 2003 (USA),English,1427,1333
8 June 2007 (USA),"English,Slovak,Italian,Czech",1428,1334
"Jan 13, 2005 Wide",English,1429,1335
26 March 2004 (USA),English,1430,191
31 July 2009 (USA),English,1431,1292
17 November 2000 (USA),English,1432,1336
7 December 2007 (USA),"English,Icelandic,Russian,French",1433,1337
6 November 2009 (USA),English,1434,1338
17 December 2004 (USA),English,1435,932
22 June 1984 (USA),"English,Japanese",1436,1339
7 June 1985 (USA),"English,Spanish,Cantonese,Italian",1437,1340
15 December 2006 (USA),English,1438,1284
16 February 2007 (USA),English,1439,1341
11 November 2005 (USA),English,1440,1342
23 January 2009 (USA),English,1441,1343
18 December 1998 (USA),"English,Hebrew",1442,1344
16 November 2007 (USA),English,1443,1345
5 August 1994 (USA),English,1444,1306
8 October 2004 (USA),"English,French",1445,1346
18 March 2005 (USA),English,1446,1347
23 November 2005 (USA),English,1447,1348
9 May 2003 (USA),"English,Klingon,German",1448,1349
7 August 2013 (USA),English,1449,1350
30 April 2016 (USA),English,1450,1351
12 February 2010 (USA),"English,Greek, Ancient (to 1453)",1451,1352
3 August 2007 (USA),English,1452,1353
30 September 2008 (USA),English,1453,1354
8 July 2011 (USA),English,1454,1355
22 June 2007 (USA),English,1455,1356
23 October 2009 (USA),English,1456,1357
15 February 2013 (USA),English,1457,1358
28 July 2006 (USA),English,1458,1359
11 June 2010 (USA),"English,Chinese",1459,1360
21 May 2009 (USA),"English,Italian",1460,1361
18 July 1986 (USA),English,1461,1362
2 July 2003 (USA),English,1462,1363
25 May 1979 (USA),"English,Spanish",1463,1364
22 May 1992 (USA),English,1464,197
1 June 1990 (USA),English,1465,1365
4 October 1985 (USA),English,1466,1366
15 July 1994 (USA),"English,French,Arabic,German",1467,1367
13 August 2004 (USA),"English,Italian",1468,1368
21 November 1990 (USA),English,1469,548
9 July 2010 (USA),"English,Spanish,Russian",1470,1369
17 July 1987 (USA),English,1471,1370
13 November 1987 (USA),English,1472,1371
26 January 2012 (Peru),"Spanish,English",1473,1372
11 July 2011 (China),"Mandarin,English",1474,1373
,English,1475,47
12 February 2013 (USA),English,1476,1374
29 August 2012 (USA),English,1477,337
3 December 1976 (USA),English,1478,1375
1997 (USA),"Hungarian,English",1479,1376
11 May 1989 (West Germany),English,1480,1377
30 August 1996 (USA),English,1481,1378
6 December 1985 (USA),"English,Russian",1482,1379
17 April 2015 (USA),English,1483,811
31 July 2015 (USA),English,1484,1380
25 September 2015 (USA),English,1485,50
15 May 1947 (USA),English,1486,1381
2 April 1954 (USA),English,1487,1382
5 August 1983 (USA),English,1488,1383
11 November 1988 (USA),English,1489,1384
7 January 2011 (USA),English,1490,1385
14 November 2014 (USA),"English,Cantonese",1491,1386
28 July 1978 (USA),"English,Italian",1492,1387
20 August 1993 (USA),English,1493,1388
17 July 1996 (USA),English,1494,1389
16 August 1996 (UK),English,1495,1390
21 December 1994 (USA),"English,Latin",1496,1391
14 December 1994 (USA),English,1497,1392
24 November 1993 (USA),English,1498,1256
10 July 1981 (USA),English,1499,1393
2 July 1986 (USA),"English,French,German,Italian",1500,1394
22 June 1977 (USA),English,1501,1395
22 December 1995 (USA),English,1502,1396
4 August 1998 (USA),English,1503,1397
18 June 1993 (USA),English,1504,1398
29 March 1996 (USA),English,1505,1399
18 November 1994 (USA),English,1506,1400
27 June 1986 (USA),English,1507,1401
8 February 1991 (USA),English,1508,163
10 April 1992 (USA),English,1509,1402
15 May 1998 (USA),English,1510,1403
18 July 1997 (USA),English,1511,1404
18 November 1988 (USA),English,1512,973
21 August 2015 (USA),English,1513,1405
28 August 2015 (USA),English,1514,113
3 August 1986 (USA),English,1515,1406
24 July 1985 (USA),English,1516,1407
18 August 2006 (USA),English,1517,1408
15 June 2007 (USA),English,1518,1409
17 June 2005 (USA),English,1519,1410
4 October 1996 (USA),English,1520,1411
29 September 1995 (USA),English,1521,1412
7 July 1993 (USA),English,1522,1413
14 October 1994 (USA),English,1523,1414
22 March 1991 (USA),English,1524,1415
25 March 1994 (USA),"English,Icelandic",1525,1416
2 October 1992 (USA),English,1526,571
11 February 1994 (USA),English,1527,1417
24 September 1999 (USA),English,1528,1418
22 May 1987 (USA),English,1529,1419
"Oct 11, 1991 Wide",English,1530,1229
15 October 1993 (USA),English,1531,1420
12 November 1993 (USA),English,1532,1421
September 1997 (Portugal),English,1533,1422
6 April 1990 (USA),English,1534,1423
12 August 1994 (USA),English,1535,1424
30 August 1996 (USA),English,1536,1378
4 June 2010 (USA),English,1537,1425
24 July 2009 (USA),English,1538,289
4 July 2001 (USA),English,1539,1426
18 July 2014 (USA),English,1540,1154
17 January 2014 (USA),English,1541,1427
24 December 2014 (USA),"English,Korean",1542,1428
16 October 2015 (USA),English,1543,379
16 January 2015 (USA),English,1544,1429
8 December 1982 (USA),English,1545,1430
14 April 2015 (USA),English,1546,1431
20 May 1987 (USA),English,1547,1432
,English,1548,47
25 May 1994 (USA),English,1549,1433
14 August 2015 (USA),English,1550,475
September 2014 (USA),English,1551,1434
15 April 2015 (USA),English,1552,1435
4 June 2014 (USA),English,1553,1436
March 2015 (USA),English,1554,1437
30 January 2015 (USA),English,1555,1438
27 March 2015 (USA),English,1556,771
15 March 1985 (USA),English,1557,1439
2015 (USA),English,1558,258
18 October 2002 (Canada),English,1559,1440
10 September 2014 (USA),English,1560,1441
29 June 1988 (USA),English,1561,1442
19 October 2007 (USA),English,1562,1443
13 June 2008 (USA),English,1563,1444
4 May 2013 (USA),English,1564,1445
27 January 2008 (USA),English,1565,1446
2 January 2015 (USA),English,1566,1447
14 April 1989 (USA),English,1567,1448
22 September 2000 (USA),"English,French",1568,1449
19 April 2014 (USA),English,1569,1450
21 May 1982 (USA),English,1570,1451
9 March 2014 (USA),English,1571,1452
2015 (South Africa),English,1572,1453
April 2015 (Netherlands),English,1573,1454
21 September 1984 (USA),English,1574,1455
1 August 2014 (USA),English,1575,1108
23 June 2015 (USA),"English,French",1576,1456
3 June 1983 (USA),English,1577,120
19 August 1983 (USA),English,1578,1457
6 February 1998 (USA),"English,Russian",1579,1458
31 December 1965 (USA),"English,Russian,French",1580,1459
31 October 1997 (USA),English,1581,1460
27 April 2012 (USA),English,1582,1461
10 April 2012 (USA),English,1583,1462
19 April 2014 (USA),English,1584,1450
26 April 2013 (USA),English,1585,1463
6 March 2012 (USA),English,1586,1464
3 October 2015 (USA),English,1587,1465
2016 (USA),English,1588,442
12 August 1958 (USA),English,1589,1466
22 December 1955 (USA),English,1590,1467
11 July 1955 (West Germany),English,1591,1468
6 November 1956 (USA),English,1592,1469
10 August 1960 (USA),English,1593,1470
10 November 1953 (USA),English,1594,1471
13 March 1987 (USA),English,1595,1472
22 August 2012 (USA),English,1596,1473
17 December 1999 (USA),"English,Thai,French",1597,1474
22 May 2009 (USA),English,1598,897
8 August 2014 (Japan),"Japanese,English",1599,1475
21 January 2000 (USA),English,1600,1476
15 December 1982 (USA),English,1601,1477
19 March 1999 (USA),English,1602,1478
9 August 2002 (USA),"English,Spanish",1603,1479
4 August 2000 (USA),English,1604,1480
2 June 1995 (USA),English,1605,1481
18 April 2014 (USA),English,1606,1482
26 September 2014 (USA),"English,Russian,Spanish",1607,1483
11 May 1990 (Turkey),English,1608,1484
21 March 2014 (USA),"English,Spanish",1609,1485
25 January 1985 (USA),English,1610,1486
16 August 1985 (USA),English,1611,1487
25 December 2003 (USA),English,1612,791
27 May 2005 (UK),English,1613,1488
28 July 1995 (USA),"English,Vietnamese",1614,1489
11 October 2002 (USA),"English,French",1615,1490
16 February 1990 (USA),"English,Spanish",1616,1491
4 August 1965 (USA),English,1617,1492
27 October 1989 (USA),English,1618,1493
22 June 1966 (USA),English,1619,1494
13 September 1996 (USA),English,1620,1239
7 October 2010 (Netherlands),English,1621,1495
1 July 1965 (USA),English,1622,174
22 July 2016 (USA),English,1623,1496
12 December 2007 (USA),English,1624,1497
1 June 2007 (USA),English,1625,608
1 April 2005 (USA),English,1626,285
15 December 2000 (USA),"English,French",1627,1498
15 May 1992 (USA),English,1628,710
8 August 1997 (USA),English,1629,1499
5 December 1984 (USA),English,1630,1500
October 2013 (USA),English,1631,1501
November 2013 (Canada),English,1632,1502
5 February 1999 (USA),English,1633,1503
10 July 1998 (USA),"English,Cantonese,Mandarin",1634,1504
5 May 2011 (USA),"Hebrew,English,Arabic",1635,1505
22 April 1988 (USA),"English,Spanish,Assyrian Neo-Aramaic",1636,1506
5 September 1997 (USA),English,1637,1507
15 July 2010 (USA),English,1638,1508
12 April 1991 (USA),"English,Italian,Spanish",1639,1509
13 September 2013 (USA),English,1640,688
January 2011 (USA),English,1641,1510
16 March 2001 (USA),English,1642,1511
14 July 1995 (USA),English,1643,1512
18 February 1994 (USA),"English,Inuktitut",1644,1513
20 May 2005 (South Korea),"English,Japanese",1645,1514
23 November 2011 (USA),English,1646,1302
21 December 2011 (USA),English,1647,1515
10 June 2011 (USA),"English,French,Spanish,German",1648,1516
9 February 1990 (USA),English,1649,1517
4 October 1996 (USA),English,1650,1411
1 July 2005 (USA),"English,Spanish",1651,1518
15 March 1996 (USA),English,1652,759
18 April 1997 (USA),English,1653,1519
26 November 1986 (USA),"English,Spanish",1654,1520
August 2012 (USA),"English,French",1655,1521
16 May 2014 (USA),English,1656,1522
22 April 2014 (USA),English,1657,1523
"May 2, 2014 Limited","English,Tagalog,Spanish",1658,1524
31 December 2014 (USA),English,1659,1525
September 2012 (Brazil),"Portuguese,English",1660,1526
21 November 2014 (USA),English,1661,1527
12 April 1962 (USA),English,1662,1528
28 July 1989 (USA),English,1663,1529
14 January 1994 (USA),English,1664,1530
5 August 1988 (USA),"English,Italian,Russian,French",1665,1531
16 October 2008 (Russia),English,1666,1532
24 August 2012 (Taiwan),English,1667,1533
23 February 2007 (USA),English,1668,1534
11 October 2013 (USA),"English,Somali",1669,1535
10 October 1980 (USA),English,1670,1536
October 2015 (USA),English,1671,1537
17 May 1991 (USA),English,1672,1538
1 March 2016 (USA),English,1673,1539
7 April 2017 (USA),English,1674,1540
7 August 1998 (USA),English,1675,1541
21 October 2011 (Bulgaria),English,1676,1542
26 August 2001 (USA),English,1677,1543
3 November 2015 (USA),English,1678,1544
6 September 2012 (United Arab Emirates),"English,Swedish",1679,1545
29 July 1994 (USA),English,1680,1546
10 April 1998 (USA),English,1681,1547
20 November 1998 (USA),English,1682,1035
17 November 2000 (USA),English,1683,1336
18 November 2012 (USA),English,1684,1548
11 December 1998 (USA),English,1685,1549
24 April 2010 (USA),English,1686,1550
21 October 2003 (USA),English,1687,1551
9 February 1996 (USA),"English,Russian",1688,1552
6 January 1995 (USA),English,1689,1553
16 August 2012 (Ukraine),English,1690,1554
28 February 2007 (Kuwait),English,1691,1555
5 April 2002 (USA),"English,Spanish",1692,1556
2 May 2010 (USA),English,1693,1557
14 January 2011 (USA),English,1694,1558
30 December 1997 (USA),English,1695,1559
3 October 1997 (USA),"English,Mandarin",1696,1560
2007 (USA),English,1697,1561
15 August 1979 (USA),"English,French,Vietnamese",1698,1562
21 January 2005 (USA),English,1699,1563
14 January 2005 (USA),English,1700,1222
17 February 2006 (USA),English,1701,1564
8 August 2007 (USA),English,1702,1565
1 August 1997 (USA),English,1703,1566
16 October 2014 (USA),English,1704,1567
13 October 2006 (USA),"English,Spanish",1705,1568
4 September 2014 (Malaysia),English,1706,1569
28 March 2008 (USA),English,1707,1570
,English,1708,47
2015 (USA),English,1709,258
May 2016 (USA),English,1710,1571
17 June 2010 (United Arab Emirates),"English,Spanish,Portuguese",1711,1572
9 December 2011 (USA),English,1712,1573
8 April 2011 (USA),English,1713,1574
,English,1714,47
2016 (USA),English,1715,442
,English,1716,47
,English,1717,47
20 September 2009 (Kuwait),English,1718,1575
2016 (USA),English,1719,442
20 December 2002 (USA),English,1720,1576
22 November 1989 (USA),English,1721,1065
19 December 2003 (USA),"English,Italian",1722,1577
28 May 1999 (USA),"English,Spanish",1723,1578
20 June 1997 (USA),"English,French,Italian",1724,1579
"Mar 23, 1990 Wide",English,1725,1580
30 July 1999 (USA),English,1726,1581
20 July 2001 (USA),English,1727,1582
21 June 1991 (USA),English,1728,1583
11 August 2006 (USA),English,1729,1584
5 February 2016 (USA),English,1730,1585
2016 (USA),English,1731,442
3 June 2015 (France),English,1732,1586
February 2016 (USA),English,1733,1587
7 March 2008 (USA),English,1734,1588
10 September 2014 (France),English,1735,1589
2016 (USA),English,1736,442
14 July 2006 (UK),English,1737,1590
24 May 1978 (USA),English,1738,1591
25 November 2015 (USA),English,1739,1592
22 January 2015 (USA),English,1740,1593
2014 (USA),English,1741,1594
13 November 2015 (USA),"English,French",1742,1595
6 November 2015 (USA),English,1743,765
6 November 2015 (USA),English,1744,765
"Jan 29, 2016 Limited",English,1745,1596
9 October 2014 (Hungary),English,1746,1597
13 November 2015 (USA),"English,Spanish",1747,1598
4 March 2016 (USA),English,1748,820
2016 (USA),English,1749,442
12 April 2012 (Russia),English,1750,1599
25 December 2014 (USA),"English,French,Italian",1751,1600
20 February 2015 (USA),"English,Spanish",1752,1601
22 May 2015 (USA),English,1753,1602
17 April 2015 (USA),English,1754,811
1 July 2011 (USA),English,1755,200
29 March 2013 (USA),English,1756,1603
4 November 2011 (Brazil),English,1757,1604
2 May 2004 (USA),English,1758,1605
17 April 2015 (UK),English,1759,1606
21 April 2014 (USA),English,1760,1607
17 January 1992 (USA),English,1761,1608
26 September 1997 (USA),English,1762,1609
28 September 1994 (USA),English,1763,1610
"Jun 27, 2001 Wide",English,1764,1611
26 April 1995 (USA),English,1765,1612
26 May 1993 (USA),English,1766,1613
23 March 1994 (USA),English,1767,1614
27 April 2012 (UK),English,1768,1615
14 March 1997 (USA),English,1769,1616
23 July 1993 (USA),English,1770,1617
8 March 1991 (USA),English,1771,1618
18 September 1992 (USA),English,1772,1619
6 October 1995 (USA),English,1773,1620
5 June 1998 (USA),English,1774,1621
15 October 1999 (USA),English,1775,1622
25 May 2001 (USA),English,1776,1623
29 January 1964 (USA),"English,Russian",1777,1624
25 June 1982 (USA),"English,German,Cantonese,Japanese,Hungarian",1778,1625
24 March 1972 (USA),"English,Italian,Latin",1779,1626
24 July 1998 (USA),"English,French,German,Czech",1780,1627
4 February 1994 (USA),"English,Hebrew,German,Polish",1781,1628
6 January 2009 (USA),English,1782,1629
16 July 2010 (USA),"English,Japanese,French",1783,1630
6 February 1987 (USA),"English,Vietnamese",1784,1631
21 September 1990 (USA),"English,Italian",1785,1632
9 January 2009 (USA),"English,Hmong",1786,1633
25 December 2013 (USA),"English,French",1787,1634
14 May 2004 (USA),English,1788,1635
25 December 2012 (USA),"English,German,French",1789,1636
18 July 2008 (USA),"English,Mandarin",1790,1637
10 October 2003 (USA),"English,Japanese,French",1791,1638
19 June 2015 (USA),English,1792,232
14 October 1994 (USA),English,1793,1414
16 April 2004 (USA),"English,Cantonese,Mandarin,Spanish",1794,1639
31 October 2012 (USA),English,1795,1640
4 January 2002 (USA),English,1796,1051
27 February 1981 (Australia),English,1797,1641
19 December 1980 (USA),English,1798,1642
26 December 1973 (UK),English,1799,1643
24 October 1969 (USA),"English,Spanish",1800,1644
1 November 1967 (USA),English,1801,1645
23 October 1960 (USA),"English,Spanish",1802,1646
7 August 1992 (USA),English,1803,976
19 October 1939 (USA),English,1804,1647
16 December 1973 (USA),"English,Spanish",1805,1648
17 April 2015 (USA),"English,Ibo",1806,1649
14 October 1967 (Japan),English,1807,1650
11 November 1951 (USA),"English,French,German",1808,1651
"May 1, 1958 Wide","English,French",1809,1652
9 December 1983 (USA),English,1810,1653
6 March 2015 (USA),English,1811,1654
24 January 2003 (USA),"English,Hungarian",1812,1655
2 April 1970 (USA),"English,German,French,Russian,Arabic,Italian",1813,1656
20 December 1985 (USA),"English,Swahili",1814,1657
16 June 1969 (Brazil),"English,Italian",1815,1658
22 May 2008 (USA),"English,German,Russian",1816,1659
8 May 2015 (USA),English,1817,1660
7 April 1995 (USA),English,1818,979
6 August 1999 (USA),English,1819,1661
13 May 2005 (USA),English,1820,1662
23 April 2010 (USA),English,1821,1663
27 September 2002 (USA),English,1822,1664
19 September 2008 (USA),English,1823,1665
19 March 2010 (USA),English,1824,1666
14 July 2006 (USA),English,1825,1667
13 July 1990 (USA),English,1826,1668
8 May 1998 (USA),English,1827,1669
24 September 2008 (South Africa),English,1828,1670
25 January 2011 (USA),English,1829,1671
22 August 2008 (USA),English,1830,1672
19 August 2014 (USA),English,1831,1673
7 February 2003 (USA),"English,Mandarin",1832,1674
6 November 2014 (Singapore),English,1833,1675
21 June 2002 (USA),"English,Swedish",1834,1676
25 December 2003 (USA),English,1835,791
31 May 1996 (USA),English,1836,1677
1 May 2013 (Philippines),English,1837,1678
17 April 2015 (USA),English,1838,811
21 January 1983 (USA),English,1839,1679
15 November 1989 (USA),English,1840,1680
October 2010 (USA),English,1841,1681
12 November 1982 (USA),English,1842,1682
13 January 1989 (USA),English,1843,1190
16 July 1999 (USA),English,1844,39
30 January 1998 (USA),"English,Korean",1845,1683
22 June 2012 (Iceland),English,1846,1684
15 January 1999 (USA),"English,Russian",1847,1685
24 November 1983 (USA),English,1848,1686
10 January 1997 (USA),English,1849,1687
28 August 2013 (France),English,1850,1688
9 August 1989 (USA),English,1851,1689
21 June 1985 (USA),English,1852,1690
22 June 1990 (USA),English,1853,1691
5 September 1991 (Germany),English,1854,1692
25 May 2007 (USA),English,1855,1126
13 May 1983 (USA),English,1856,1693
29 May 1981 (USA),English,1857,350
14 January 1970 (USA),English,1858,1694
,English,1859,47
27 July 1994 (USA),English,1860,1695
28 March 2006 (China),English,1861,1696
5 September 2008 (USA),English,1862,1697
30 November 2012 (USA),English,1863,1698
10 November 2011 (Croatia),English,1864,1699
15 March 1946 (USA),"English,Spanish,French,German",1865,1700
12 April 2002 (USA),English,1866,1701
10 November 1989 (USA),English,1867,1702
10 January 2014 (USA),English,1868,1703
7 February 2003 (Norway),English,1869,1704
19 June 1987 (West Germany),"English,Spanish",1870,1705
29 September 1991 (USA),"English,Italian",1871,1706
14 November 2003 (USA),"English,German",1872,1707
20 May 1994 (USA),"English,German",1873,1708
24 October 2007 (France),English,1874,1709
26 June 1998 (USA),English,1875,240
6 October 1995 (USA),English,1876,1620
13 May 2005 (France),English,1877,1710
30 July 1982 (USA),English,1878,1711
21 October 1983 (USA),English,1879,196
20 September 2002 (Greece),English,1880,1712
,English,1881,47
16 March 1990 (USA),English,1882,1713
28 January 2011 (USA),"English,Welsh,Italian,Latin,Russian,Hungarian",1883,1714
21 October 2005 (USA),English,1884,1715
21 April 2000 (USA),"English,German",1885,1716
27 July 2007 (USA),"English,Lao,Vietnamese",1886,1717
6 December 2002 (USA),English,1887,1718
28 July 1995 (USA),English,1888,1719
7 September 2007 (USA),"English,Chinese",1889,1720
16 June 2000 (USA),"English,German,Spanish",1890,1721
18 February 2000 (USA),"English,Arabic",1891,1722
15 June 2005 (USA),"English,Urdu,Mandarin",1892,1723
24 July 1996 (USA),English,1893,1724
25 September 2009 (USA),English,1894,1725
10 November 2006 (USA),"English,Spanish,Korean",1895,1726
15 July 2011 (USA),English,1896,1727
20 June 1975 (USA),English,1897,1728
23 May 1997 (USA),"English,Spanish",1898,1729
24 January 2014 (USA),"English,Spanish",1899,1730
18 July 2001 (USA),"English,Spanish",1900,1731
4 July 1990 (USA),"English,Spanish",1901,1732
27 June 2007 (USA),"English,Italian,French",1902,1733
8 October 1976 (USA),"English,French,German,Spanish,Yiddish",1903,1734
14 December 2005 (USA),English,1904,1735
22 October 2011 (USA),English,1905,1736
9 August 2013 (USA),English,1906,1737
29 January 1975 (France),English,1907,1738
20 February 1932 (USA),"English,German,French",1908,1739
22 December 1933 (USA),English,1909,1740
4 July 2008 (Mexico),"English,Spanish",1910,1741
13 June 2008 (USA),English,1911,1444
17 December 1976 (USA),English,1912,1742
"Aug 27, 1943 Limited",English,1913,1743
12 January 1940 (USA),English,1914,1744
1 December 1944 (USA),English,1915,1745
20 October 1932 (USA),English,1916,1746
13 May 1935 (USA),"English,Cantonese,Latin",1917,1747
13 March 1942 (USA),English,1918,1748
3 January 1932 (USA),English,1919,1749
11 April 2014 (USA),English,1920,1750
20 January 2008 (USA),English,1921,1751
18 November 2011 (USA),"English,Portuguese",1922,1752
26 January 2001 (USA),"English,German,Luxembourgish",1923,1753
9 April 2009 (Australia),English,1924,1754
"Jan 1, 2002 Wide",English,1925,1755
10 February 2012 (UK),English,1926,1756
20 August 2008 (USA),English,1927,1757
5 June 2009 (USA),English,1928,1758
27 September 2002 (USA),English,1929,1664
21 December 2007 (USA),English,1930,1759
5 November 1943 (USA),English,1931,1760
11 May 1936 (USA),"English,German",1932,1761
15 June 1948 (USA),English,1933,1762
7 December 1945 (USA),English,1934,1763
20 September 1940 (USA),English,1935,1764
22 December 1944 (USA),"English,French",1936,1765
19 June 1954 (USA),English,1937,1766
2 July 1988 (South Korea),English,1938,1767
26 April 1956 (USA),English,1939,1768
22 July 1955 (Finland),English,1940,1769
5 August 2005 (USA),English,1941,732
23 October 1942 (USA),English,1942,1770
8 November 1985 (USA),English,1943,1771
28 May 1980 (France),"English,French,Italian,German",1944,1772
17 November 2006 (USA),English,1945,149
23 October 1969 (Sweden),"English,German",1946,1773
11 July 1964 (Japan),"English,German",1947,1774
"Dec 8, 1978 Wide","English,Russian,Vietnamese,French",1948,1775
28 March 2008 (USA),English,1949,1570
17 January 1940 (USA),English,1950,1776
22 June 1954 (Japan),English,1951,1777
23 December 1971 (USA),English,1952,1778
22 December 1976 (USA),English,1953,1779
25 December 1973 (USA),English,1954,1780
16 June 1970 (USA),"English,Spanish,French",1955,1781
5 December 1986 (USA),"English,Spanish",1956,1782
2 October 1968 (USA),English,1957,1783
3 August 1968 (USA),English,1958,1784
14 July 1972 (USA),"English,Spanish",1959,1785
2 April 1958 (USA),"English,French,German",1960,1786
16 December 1954 (Portugal),English,1961,1787
19 June 2009 (USA),English,1962,1788
3 May 2008 (USA),English,1963,1789
21 February 2014 (USA),"English,French,German,Serbian",1964,1790
22 August 2014 (USA),English,1965,1791
16 May 2014 (USA),"English,Hindi",1966,1792
1 May 1998 (USA),English,1967,1793
10 January 2003 (USA),"English,Japanese",1968,1794
25 December 2007 (USA),English,1969,1795
16 January 1998 (USA),"English,Syriac,Assyrian Neo-Aramaic",1970,1796
3 October 2003 (USA),English,1971,1327
30 July 2004 (USA),English,1972,1797
23 June 1965 (USA),"English,German,Italian",1973,1798
2 July 2003 (USA),English,1974,1363
24 May 2002 (USA),English,1975,698
19 May 2000 (USA),English,1976,1799
17 August 1934 (USA),English,1977,1800
20 December 1974 (USA),"English,Italian,Spanish,Latin,Sicilian",1978,1801
November 1944 (USA),English,1979,1802
22 April 1962 (USA),English,1980,1803
30 June 1951 (USA),"English,French",1981,1804
24 November 1955 (Argentina),English,1982,1805
13 October 1950 (USA),"English,Spanish,Latin",1983,1806
26 December 1940 (USA),"English,French",1984,1807
25 September 1961 (USA),English,1985,1808
6 September 1946 (USA),"English,French,Portuguese",1986,1809
18 December 1961 (Sweden),"English,German",1987,1810
13 July 2001 (USA),English,1988,1811
20 April 1957 (USA),English,1989,1812
19 October 1966 (USA),English,1990,1813
2 July 1948 (USA),"English,German",1991,1814
9 September 2011 (USA),"English,Spanish",1992,1815
25 December 1964 (Finland),English,1993,585
17 December 1974 (USA),English,1994,1816
"Aug 20, 1948 Limited","English,German",1995,1817
11 May 1939 (USA),English,1996,1818
17 December 1972 (USA),"English,Italian",1997,1819
11 December 1981 (USA),English,1998,1820
24 December 1942 (Mexico),English,1999,1821
14 October 1953 (USA),English,2000,1822
17 May 1950 (USA),English,2001,1823
3 September 1949 (USA),English,2002,1824
13 November 1947 (USA),"English,American Sign Language",2003,1825
January 1950 (USA),English,2004,1826
"Aug 15, 1951 Wide",English,2005,1827
February 1948 (USA),English,2006,1828
1936 (Turkey),"English,Polynesian",2007,1829
10 June 1955 (Belgium),English,2008,1830
21 October 2005 (USA),"English,Japanese",2009,1831
26 April 2013 (USA),English,2010,1463
1 May 1958 (UK),"English,Spanish",2011,1832
28 March 2013 (USA),English,2012,1833
30 August 2013 (Taiwan),English,2013,1834
20 June 2008 (USA),"English,Russian,Panjabi,Arabic",2014,1835
16 April 2003 (USA),"English,Tibetan,Panjabi,German",2015,1836
18 October 1941 (USA),English,2016,1837
30 July 1952 (USA),"English,Spanish",2017,1838
28 May 1980 (France),English,2018,1839
20 January 1945 (USA),"English,French",2019,1840
31 July 1948 (USA),"English,Italian",2020,1841
3 June 1955 (USA),English,2021,1842
25 November 1998 (USA),English,2022,840
15 December 1995 (USA),"English,French",2023,902
4 November 1961 (Japan),"English,Portuguese",2024,1843
8 April 1964 (USA),English,2025,1844
2 September 1953 (USA),"English,Italian,German",2026,1845
30 June 1957 (USA),"English,French",2027,1846
