ReviewCount,Description,original_index,unique_index
"669 user,123 critic",A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1106,1099
"1,482 user,478 critic","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",1107,1100
"2,085 user,265 critic","The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1108,1101
"1,402 user,156 critic",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,1109,1102
"899 user,167 critic","After a simple jewelery heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",1110,1103
"2,690 user,268 critic",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1111,1104
"1,278 user,246 critic","A family heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future.",1112,1105
"848 user,198 critic","A mentally unstable Vietnam war veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",1113,1106
"291 user,105 critic",Allied P.O.W.s plan for several hundred of their number to escape from a German camp during World War II.,1114,1107
"201 user,193 critic","Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue them.",1115,1108
"748 user,224 critic",Archaeologist and adventurer Indiana Jones is hired by the US government to find the Ark of the Covenant before the Nazis.,1116,1109
"226 user,189 critic","Three teens discover that their neighbor's house is really a living, breathing, scary monster.",1117,1110
"137 user,242 critic",The events leading up to the sword fighting cat's meeting with Shrek and his friends.,1118,1111
"74 user,75 critic","An orphan with terrible aunts for guardians, befriends human like bugs who live inside a giant peach, who take the boy on a journey to New York City.",1119,1112
"193 user,237 critic","A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",1120,1113
"419 user,195 critic","Jack Skellington, king of Halloween Town, discovers Christmas Town, but doesn't quite understand the concept.",1121,1114
"97 user,106 critic","Boog, a domesticated 900lb. Grizzly bear finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",1122,1115
"246 user,160 critic","After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion.",1123,1116
"142 user,200 critic",Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.,1124,1117
"40 user,25 critic",Berkeley record store clerk Nick Brady (Jonathan Scarfe) begins to experience strange visions from an entity he calls VALIS that cause him to uproot his family and move to Los Angeles where...,1125,1118
"205 user,82 critic","In the future, an alien race uses androids as bombs to attack Earth. A government weapons specialist is accused of being one such android and sets out to prove his innocence.",1126,1119
"101 user,81 critic",Underwater deep-sea miners encounter a Soviet wreck and bring back a dangerous cargo to their base on the ocean floor with horrifying results. The crew of the mining base must fight to ...,1127,1120
"59 user,20 critic",A man travels to an island with his girlfriend in search of his relatives but he finds maybe more than what he wanted to know.,1128,1121
"241 user,65 critic","The true story of Billy Hayes, an American college student who is caught smuggling drugs out of Turkey and thrown into prison.",1129,1122
1 user,"A new interpretation of Pink Floyd's classic concept album updates the story from WWII to Vietnam, blending animation and archival footage with original images and live music. As rock star ...",1130,1123
"93 user,86 critic","When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement.",1131,1124
"79 user,40 critic",A pharmacy-robbing dope fiend and his crew pop pills and evade the law.,1132,1125
"215 user,141 critic","To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",1133,1126
"234 user,112 critic","When a street urchin vies for the love of a beautiful princess, he uses a genie's magic power to make himself off as a prince in order to marry her.",1134,1127
"150 user,95 critic",The son of the Greek Gods Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,1135,1128
"565 user,138 critic","A brood of fire-breathing dragons emerges from the earth and begins setting fire to everything, establishing dominance over the planet.",1136,1129
"3,596 user,308 critic",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,1137,1130
"1,395 user,249 critic","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the universe from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader.",1138,1131
"699 user,221 critic","John McClane, officer of the NYPD, tries to save wife Holly Gennaro and several others, taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles.",1139,1132
"293 user,108 critic","After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985... without interfering with his first trip.",1140,1133
"246 user,101 critic","Enjoying a peaceable existence in 1885, Doctor Emmet Brown is about to be killed by Buford 'Mad Dog' Tannen. Marty McFly travels back in time to save his friend.",1141,1134
"152 user,97 critic","A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",1142,1135
"186 user,126 critic","A practical man returns to his homeland, is attacked by a creature of folklore, and infected with a horrific disease his disciplined mind tells him can not possibly exist.",1143,1136
"478 user,171 critic",An obsessed scientist assembles a living being from parts of exhumed corpses.,1144,1137
"229 user,141 critic",Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein (goaded by an even madder scientist) builds his monster a mate.,1145,1138
"98 user,61 critic","Larry Talbot chips Frankenstein's monster out of a block of ice. When Talbot changes to the Wolf Man, the two creatures do battle.",1146,1139
"172 user,103 critic",A strange prehistoric beast lurks in the depths of the Amazonian jungle. A group of scientists try to capture the animal and bring it back to civilization for study.,1147,1140
"106 user,57 critic","One of the sons of Frankenstein finds his father's monster in a coma and revives him, only to find out he is controlled by Ygor who is bent on revenge.",1148,1141
"150 user,108 critic",A living mummy stalks the beautiful woman he believes is the reincarnation of his lover.,1149,1142
"152 user,75 critic",A US Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers in World War II.,1150,1143
"189 user,52 critic","The events of D-Day, told on a grand scale from both the Allied and German points of view.",1151,1144
"264 user,117 critic","After settling his differences with a Japanese PoW camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.",1152,1145
"224 user,55 critic",Allied agents stage a daring raid on a castle where the Nazis are holding an American General prisoner... but that's not all that's really going on.,1153,1146
"175 user,42 critic",A group of U.S. soldiers sneaks across enemy lines to get their hands on a secret stash of Nazi treasure.,1154,1147
"118 user,19 critic",A dramatization of the battle that became the turning point of the Pacific Theatre of World War II.,1155,1148
"200 user,55 critic","A historical telling of the failed attempt to capture several bridges on a road to Germany in World War II, in a campaign called Operation Market-Garden.",1156,1149
"226 user,73 critic",A reluctant dwarf must play a critical role in protecting a special baby from an evil queen.,1157,1150
"181 user,50 critic","Philipe Gastone, a thief, escapes from the dungeon at Aquila, sparking a manhunt. He is nearly captured when Captain Navarre befriends him. Navarre has been hunted by the Bishop's men for ...",1158,1151
"126 user,26 critic",A dramatization of Nazi Germany's final Western Front counterattack of World War II.,1159,1152
"77 user,22 critic","During World War II, several oddly assorted military experts are teamed in a mission to raid and destroy a bridge vital to enemy strategy.",1160,1153
"155 user,78 critic",A dramatization of the Japanese attack on Pearl Harbor and the series of American blunders that allowed it to happen.,1161,1154
"218 user,77 critic","A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.",1162,1155
"284 user,145 critic",A young adventurer named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.,1163,1156
"212 user,126 critic",A Disney animated version of 'Treasure Island'. The only difference is that the film is set in outer space with alien worlds and other galactic wonders.,1164,1157
"824 user,145 critic","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel while succumbing to greed.",1165,1158
"44 user,23 critic","During World War 2, an undercover British soldier tries get word to the Allies that the Germans have tons of supplies buried in 5 excavations across Egypt.",1166,1159
"146 user,128 critic","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to re-jump start his career, but the situation quickly escalates into an out-of-control circus.",1167,1160
"147 user,99 critic","In 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second in command are falling in love.",1168,1161
"236 user,126 critic","Private detective Philip Marlowe is hired by a rich family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",1169,1162
"143 user,83 critic",A playboy becomes interested in the daughter of his family's chauffeur. But it's his more serious brother who would be the better man for her.,1170,1163
"235 user,174 critic","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",1171,1164
"234 user,94 critic",Three WWII veterans return home to small-town America to discover that they and their families have been irreparably changed.,1172,1165
"116 user,51 critic","Comedy about Coca-Cola's man in West Berlin, who may be fired if he can't keep his American boss's daughter from marrying a Communist.",1173,1166
"444 user,185 critic",A hack screenwriter writes a screenplay for a former silent-film star who has faded into Hollywood obscurity.,1174,1167
"196 user,74 critic",Leonard Vole is arrested on suspicion of murdering an elderly acquaintance. He employs an experienced but aging barrister as his defense attorney.,1175,1168
"308 user,166 critic",An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.,1176,1169
"131 user,91 critic",The desperate life of a chronic alcoholic is followed through a four day drinking bout.,1177,1170
"782 user,201 critic","In an alternate Victorian Age world, a group of famous contemporary fantasy, SF and adventure characters team up on a secret mission.",1178,1171
"191 user,130 critic","Snow White, pursued by a jealous queen, hides with the Dwarfs, but the queen learns of this and prepares to feed her a poison apple.",1179,1172
"1,221 user,592 critic","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death.",1180,1173
"1,687 user,693 critic",Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,1181,1174
"242 user,136 critic","Despite trying to keep his swashbuckling to a minimum, a threat to California's pending statehood causes the adventure-loving Alejandro de la Vega (Banderas) -- and his wife, Elena (Zeta-Jones) -- to take action.",1182,1175
"1,393 user,287 critic",Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.,1183,1176
"1,049 user,639 critic",A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,1184,1177
"2,006 user,287 critic","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",1185,1178
"528 user,476 critic","When Dr Jane Foster gets cursed with a powerful object, Thor must protect it before an army and its ruthless leader try to get their hands on it to take over the remains of Earth.",1186,1179
"729 user,507 critic","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",1187,1180
"655 user,503 critic","Steve Rogers, a rejected military soldier transforms into Captain America after taking a dose of a 'Super-Soldier serum'. But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",1188,1181
"233 user,84 critic",A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,1189,1182
"1,047 user,283 critic","The X-Men band together to find a mutant assassin who has made an attempt on the President's life, while the Mutant Academy is attacked by military forces.",1190,1183
"619 user,351 critic","Bruce Banner, a scientist on the run from the U.S. Government must find a cure for the monster he emerges whenever he loses his temper. However, Banner then must fight a soldier whom unleashes himself as a threat stronger than he.",1191,1184
"798 user,473 critic","In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",1192,1185
"655 user,583 critic","In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",1193,1186
"968 user,650 critic","United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.",1194,1187
"1,454 user,589 critic","The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",1195,1188
"25 user,39 critic","Frank Bartlett has been tortured, embarrassed, and humiliated by his brother Bruce -- usually on film -- his entire life. Now that Bruce is finally off drugs and has turned his life around, things should be different. They are not.",1196,1189
"1,397 user,322 critic","Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",1197,1190
"867 user,536 critic",A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.,1198,1191
"612 user,510 critic",A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,1199,1192
"716 user,567 critic","A military officer is brought into an alien war against an extraterrestrial enemy who can reset the day and know the future. When this officer is enabled with the same power, he teams up with a Special Forces warrior to try and end the war.",1200,1193
"1,366 user,639 critic","A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug.",1201,1194
"1,237 user,304 critic","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, and make their final alliances for one last decisive battle.",1202,1195
"1,932 user,661 critic","Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games, a televised fight to the death in which two teenagers from each of the twelve Districts of Panem are chosen at random to compete.",1203,1196
"946 user,503 critic","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",1204,1197
"2,098 user,267 critic","Blacksmith Will Turner teams up with eccentric pirate 'Captain' Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",1205,1198
"1,827 user,312 critic","Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",1206,1199
"2,496 user,311 critic","A seventeen-year-old aristocrat falls in love with a kind, but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",1207,1200
"673 user,486 critic",Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,1208,1201
"521 user,427 critic","When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons.",1209,1202
"1,895 user,387 critic","Your friendly neighborhood web-slinger is back, only this time his sunny outlook has become partially overcast in the third chapter of director Sam Raimi's Spider-Man saga. Tobey Maguire, Kirsten Dunst, and James Franco return to reprise their roles from the previous two installments, with Thomas Haden Church, Topher Grace, and Bryce Dallas Howard making their first appearances in the series as Flint Marko (aka Sandman), Eddie Brock (aka Venom), and Gwen Stacy, respectively. Peter Parker,(Maguire) has finally leaned to walk the middle ground between being the superhero that his city needs and the man that Mary Jane (Dunst) loves. All is well in New York City until one night, as Peter and M.J. sit gazing at the stars, a falling comet streams across the sky and crashes into the ground close by. But this isn't any ordinary shooting star, and upon impact the mysterious space rock is split open to reveal a shape-shifting symbiote with the power to overtake anything that it comes into contact with. Later, as Harry Osborn (James Franco) acquires his late father's flying board, engineers a powerful new Goblin outfit, and takes to the sky to avenge dad's death, the mysterious space sludge infects both Peter's Spider-Man suit and ambitious street photographer Eddie Brock (Grace). Peter's strange new suit gives him a newfound sense of power as it gradually overpowers his personality, and he discovers that escaped convict Flint Marko was in fact the man responsible for the death of Uncle Ben (Cliff Robertson). Unfortunately for Peter, Marko has recently acquired the power to morph at will and quickly completes his transformation into the dreaded Sandman. As the Sandman gives in to his darkest criminal instincts and the slithering space symbiote transforms Eddie Brock into the nightmarish fanged villain known as Venom, the citizens of New York City must once again call on Spider-Man to fend off destructive forces that are far too powerful for the likes of mortal man. ~ Jason Buchanan, Rovi",1210,1203
"323 user,67 critic","The Autobots must stop a colossal planet consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",1211,1204
"896 user,421 critic","The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",1212,1205
"1,298 user,295 critic",Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,1213,1206
"632 user,345 critic","A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years.",1214,1207
"1,899 user,329 critic","When a cure is found to treat mutations, lines are drawn amongst the X-Men, led by Professor Charles Xavier, and the Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",1215,1208
"90 user,43 critic","Cole Thornton, a gunfighter for hire, joins forces with an old friend, Sheriff J.P. Hara. Together with an old Indian fighter and a gambler, they help a rancher and his family fight a rival rancher that is trying to steal their water.",1216,1209
"1,433 user,359 critic","Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",1217,1210
"898 user,367 critic","Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic (Mark Wahlberg), his daughter (Nicola Peltz), and her back street racing boyfriend (Jack Reynor) for help.",1218,1211
"2,736 user,396 critic","As Earth is invaded by alien tripod fighting machines, one family fights for survival.",1219,1212
"599 user,207 critic",Agent J needs help so he is sent to find Agent K and restore his memory.,1220,1213
"587 user,314 critic",Hancock is a superhero whose ill considered behavior regularly causes damage in the millions. He changes when one person he saves helps him improve his public image.,1221,1214
"1,047 user,365 critic",A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,1222,1215
"1,162 user,163 critic","After discovering that an asteroid the size of Texas is going to impact Earth in less than a month, N.A.S.A. recruits a misfit team of deep core drillers to save the planet.",1223,1216
"1,149 user,238 critic","Jack Hall, paleoclimatologist, must make a daring trek across America to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",1224,1217
"367 user,321 critic","Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.",1225,1218
"493 user,171 critic",A retired master car thief must come back to the industry and steal 50 cars with his crew in one night to save his brother's life.,1226,1219
"1,335 user,231 critic",The notorious monster hunter is sent to Transylvania to stop Count Dracula who is using Dr. Frankenstein's research and a werewolf for some sinister purpose.,1227,1220
"790 user,232 critic",A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,1228,1221
"825 user,194 critic",Video game adventuress Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,1229,1222
"286 user,189 critic",Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.,1230,1223
"509 user,327 critic",A CIA agent goes on the run after a defector accuses her of being a Russian spy.,1231,1224
"480 user,161 critic","An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",1232,1225
"44 user,121 critic","When Dusty learns that his engine is damaged and he may never race again, he joins a forest fire and rescue unit to be trained as a firefighter, or else his air strip will be shut down.",1233,1226
"2,397 user,294 critic","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",1234,1227
"3,134 user,329 critic",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,1235,1228
"4,994 user,294 critic",A meek hobbit of the Shire and eight companions set out on a journey to Mount Doom to destroy the One Ring and the dark lord Sauron.,1236,1229
"3,506 user,296 critic","Two Jedi Knights escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to reclaim their old glory.",1237,1230
"3,240 user,335 critic","As the Clone Wars near an end, the Sith Lord Darth Sidious steps out of the shadows, at which time Anakin succumbs to his emotions, becoming Darth Vader and putting his relationships with Obi-Wan and Padme at risk.",1238,1231
"3,456 user,266 critic","Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé, while Obi-Wan investigates an assassination attempt on the Senator and discovers a secret clone army crafted for the Jedi.",1239,1232
"509 user,143 critic","After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees, and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",1240,1233
"418 user,150 critic","A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.",1241,1234
"410 user,152 critic","Investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",1242,1235
"146 user,43 critic",A misfit bunch of friends come together to right the injustices which exist in a small town.,1243,1236
"214 user,93 critic","A fake Fabergé egg and a fellow agent's death lead James Bond to uncover an international jewel-smuggling operation, headed by the mysterious Octopussy, being used to disguise a nuclear attack on N.A.T.O. forces.",1244,1237
"5 user,6 critic","A modernized version of the story which inspired Verdi's opera, 'La Forza del Destino'.",1245,1238
"436 user,82 critic","A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating.",1246,1239
"70 user,22 critic","In 1881, cattle baron John Chisum pays a bounty to Patrick Floyd Garrett to kill outlaw Billy the Kid.",1247,1240
"232 user,69 critic","Routinely exploited by her wicked stepmother, the downtrodden Sam Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.",1248,1241
"152 user,76 critic","Now settled in Genovia, Princess Mia faces a new revelation: she is being primed for an arranged marriage to an English suitor.",1249,1242
"270 user,128 critic","An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",1250,1243
"206 user,223 critic","A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",1251,1244
"655 user,457 critic",The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,1252,1245
"1,885 user,292 critic",Harry finds himself mysteriously selected as an under-aged competitor in a dangerous tournament between three schools of magic.,1253,1246
"221 user,225 critic","Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world.",1254,1247
"613 user,424 critic","As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.",1255,1248
"968 user,373 critic","As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as 'the property of the Half-Blood Prince' and begins to learn more about Lord Voldemort's dark past.",1256,1249
"1,102 user,329 critic","With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",1257,1250
"847 user,232 critic","Harry ignores warnings not to return to Hogwarts, only to find the school plagued by a series of mysterious attacks and a strange voice haunting him.",1258,1251
"871 user,161 critic",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,1259,1252
"302 user,49 critic","A prep school student needing money agrees to 'babysit' a blind man, but the job is not at all what he anticipated.",1260,1253
"126 user,20 critic","A lawyer (Al Pacino) is forced to defend a guilty judge, while defending other innocent clients, and trying to find punishment for the guilty and provide justice for the innocent.",1261,1254
"232 user,112 critic","An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",1262,1255
"379 user,170 critic","A biography of sports legend, Muhammad Ali, from his early days to his days in the ring.",1263,1256
"375 user,87 critic",Three trappers protect a British Colonel's daughters in the midst of the French and Indian War.,1264,1257
"187 user,68 critic",A remake of the Alfred Hitchcock classic Dial M for Murder (1954).,1265,1258
"243 user,295 critic","Now out of prison but still disgraced by his peers, Gordon Gekko works his future son-in-law, an idealistic stock broker, when he sees an opportunity to take down a Wall Street enemy and rebuild his empire.",1266,1259
"195 user,91 critic",A married man's one night stand comes back to haunt him when that lover begins to stalk him and his family.,1267,1260
"93 user,53 critic","A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",1268,1261
"865 user,222 critic","A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",1269,1262
"250 user,118 critic","An ex-tennis pro carries out a plot to murder his wife. When things go wrong, he improvises a brilliant plan B.",1270,1263
"75 user,37 critic","A rude, contemptuous talk show host becomes overwhelmed by the hatred that surrounds his program just before it goes national.",1271,1264
"158 user,82 critic","A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.",1272,1265
"377 user,82 critic","A borderline personality disordered defense worker frustrated with the various flaws he sees in society, begins to psychotically and violently lash out against them.",1273,1266
"172 user,70 critic","The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.",1274,1267
"626 user,215 critic","Stuart Shepard finds himself trapped in a phone booth, pinned down by an extortionist's sniper rifle.",1275,1268
"81 user,43 critic",A New York press agent must scramble when his major client becomes embroiled in a huge scandal.,1276,1269
"339 user,143 critic","Clark Johnson's big-screen adaptation of the 1970s television series S.W.A.T. stars Colin Farrell as Jim Street, a young special weapons and tactics team member who, in the film's opening sequence, is demoted after his hothead partner Jeremy Renner shoots a hostage while trying to kill her captor. In need of good press, the higher-ups call in SWAT expert Hondo Harrelson (Samuel L. Jackson) to put together an elite team that can bring some luster back to the badge. He chooses Street, veteran T.J.,(Josh Charles), and tough single mother Chris Sanchez (Michelle Rodriguez). The new team survives a series of tests before hitting the streets. Their first big assignment involves transporting an international criminal (Olivier Martinez) to federal authorities. The criminal had offered a hundred million dollars to anyone who can bust him out.",1277,1270
"22 user,33 critic","The story of Scotty Pelk, a socially inept video store clerk who gets fired from his job and becomes a sensation as an online film critic.",1278,1271
"226 user,114 critic","A producer's film is endangered when his star walks off, so he decides to digitally create an actress to substitute for the star, becoming an overnight sensation that everyone thinks is a real person.",1279,1272
"259 user,155 critic","On the day that a serial killer that he helped put away is supposed to be executed, a noted forensic psychologist and college professor receives a call informing him that he has 88 minutes left to live.",1280,1273
"202 user,80 critic","The story of the famous and influential 1960s rock band and its lead singer and composer, Jim Morrison, from his days as a UCLA film student in Los Angeles, to his untimely death in Paris, France at age 27 in 1971.",1281,1274
"120 user,48 critic","A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.",1282,1275
"35 user,27 critic",The final movie in Oliver Stone's Vietnam trilogy follows the true story of a Vietnamese village girl who survives a life of suffering and hardship during and after the Vietnam war. As a ...,1283,1276
"586 user,132 critic",Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,1284,1277
"371 user,89 critic","Lt. John Dunbar, exiled to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",1285,1278
"312 user,159 critic",A dramatization of President Kennedy's administration's struggle to contain the Cuban Missile Crisis in October of 1962.,1286,1279
"263 user,117 critic","Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt.",1287,1280
"410 user,114 critic","Federal Agent Eliot Ness sets out to stop Al Capone; because of rampant corruption, he assembles a small, hand-picked team.",1288,1281
,"To fight crime, a new hero is created - but there are a few small glitches to iron out.",1289,1282
"26 user,49 critic",A fictionalized account in four segments of the life of Japan's celebrated twentieth-century author Yukio Mishima. Three of the segments parallel events in Mishima's life with his novels (...,1290,1283
"562 user,241 critic",Two Port Authority police officers become trapped under the rubble of the World Trade Center.,1291,1284
"41 user,61 critic","A young cop is assigned to a precinct in the working class neighborhood where he grew up, and an old secret threatens to destroy his life and his family.",1292,1285
"121 user,177 critic",A pair of aging stickup men try to get the old gang back together for one last hurrah before one of the guys takes his last assignment - to kill his comrade.,1293,1286
