style,ounces,original_index,unique_index
American Amber / Red Ale,12.0 OZ.,665,101
Herbed / Spiced Beer,12.0 oz,666,282
American Brown Ale,12.0 oz.,667,146
American Blonde Ale,12.0 oz,668,32
Cream Ale,12.0 ounce,669,79
American Porter,12.0 oz,670,98
American IPA,12.0 oz.,671,23
American Amber / Red Ale,16.0 oz.,672,215
Kölsch,16.0 oz,673,70
American Blonde Ale,16.0 oz,674,241
Witbier,16.0 oz.,675,131
Scottish Ale,16.0 oz,676,283
American IPA,16.0 oz.,677,39
English Pale Ale,12.0 oz,678,145
Kölsch,12.0 oz. Alumi-Tek,679,284
Scotch Ale / Wee Heavy,12.0 oz,680,285
American Blonde Ale,12.0 oz,681,32
Hefeweizen,12.0 oz,682,139
American Porter,12.0 oz.,683,113
American Double / Imperial IPA,12.0 oz.,684,25
American IPA,12.0 oz.,685,23
Belgian Pale Ale,12.0 ounce,686,286
American Pale Ale (APA),12.0 oz,687,20
American IPA,16.0 oz.,688,39
American IPA,16.0 ounce,689,37
American IPA,16.0 ounce,690,37
American Pale Lager,12.0 oz.,691,287
American Blonde Ale,12.0 oz,692,32
American Pale Ale (APA),12.0 oz,693,20
American Amber / Red Ale,12.0 ounce,694,83
Euro Pale Lager,12.0 ounce,695,288
American Brown Ale,12.0 oz.,696,146
American Double / Imperial IPA,12.0 oz,697,3
American Pale Ale (APA),12.0 oz,698,20
Baltic Porter,12.0 oz.,699,15
Saison / Farmhouse Ale,16.0 oz,700,190
German Pilsener,12.0 oz.,701,106
American Blonde Ale,12.0 oz.,702,29
American IPA,12.0 oz,703,35
American IPA,12.0 oz,704,35
English Pale Mild Ale,12.0 oz,705,289
Irish Dry Stout,12.0 ounce,706,290
American Blonde Ale,12.0 oz.,707,29
American IPA,12.0 oz,708,35
Irish Red Ale,12.0 oz,709,291
American IPA,12.0 oz,710,35
American Porter,12.0 oz.,711,113
American Pale Ale (APA),12.0 oz.,712,1
Hefeweizen,12.0 oz,713,139
Abbey Single Ale,12.0 OZ.,714,292
American IPA,12.0 ounce,715,2
Gose,12.0 OZ.,716,293
Fruit / Vegetable Beer,12.0 oz.,717,22
American Double / Imperial IPA,12.0 oz.,718,25
Abbey Single Ale,12.0 ounce,719,294
American Pale Ale (APA),12.0 oz.,720,1
American Pale Ale (APA),12.0 OZ.,721,69
American Amber / Red Ale,16.0 oz.,722,215
American Black Ale,16.0 OZ.,723,295
American IPA,16.0 oz,724,43
Scotch Ale / Wee Heavy,16.0 oz,725,296
American Pale Ale (APA),12.0 oz.,726,1
American IPA,16.0 ounce,727,37
American Amber / Red Ale,12.0 OZ.,728,101
Hefeweizen,16.0 oz. Alumi-Tek,729,297
Extra Special / Strong Bitter (ESB),16.0 oz.,730,298
American Double / Imperial IPA,16.0 ounce,731,53
American Pale Ale (APA),16.0 oz,732,85
Irish Dry Stout,16.0 ounce,733,299
English Dark Mild Ale,16.0 oz,734,300
Cider,12.0 oz,735,301
Cider,12.0 oz,736,301
American IPA,12.0 OZ.,737,4
Fruit / Vegetable Beer,12.0 ounce,738,21
Hefeweizen,12.0 oz,739,139
American Amber / Red Ale,12.0 ounce,740,83
American IPA,12.0 ounce,741,2
American Pale Wheat Ale,12.0 oz.,742,36
Pumpkin Ale,16.0 ounce,743,58
American IPA,16.0 ounce,744,37
American Pale Ale (APA),16.0 OZ.,745,65
Pumpkin Ale,16.0 oz.,746,247
Fruit / Vegetable Beer,16.0 ounce,747,302
German Pilsener,16.0 ounce,748,277
American IPA,16.0 oz,749,43
Extra Special / Strong Bitter (ESB),16.0 oz.,750,298
American Amber / Red Lager,16.0 oz. Silo Can,751,303
American Brown Ale,12.0 ounce,752,109
American Adjunct Lager,16.0 ounce,753,304
Fruit / Vegetable Beer,12.0 oz. Alumi-Tek,754,305
American Pale Ale (APA),12.0 oz,755,20
American Pale Lager,12.0 oz.,756,287
American IPA,12.0 oz.,757,23
American IPA,12.0 ounce,758,2
American IPA,12.0 oz.,759,23
American Blonde Ale,16.0 ounce,760,243
Belgian IPA,16.0 ounce,761,306
American Pale Wheat Ale,16.0 oz.,762,132
American Pale Ale (APA),16.0 oz.,763,56
American Porter,16.0 oz,764,205
Czech Pilsener,16.0 oz,765,307
Berliner Weissbier,12.0 oz,766,31
American Double / Imperial IPA,16.0 oz.,767,46
American Pale Ale (APA),12.0 oz.,768,1
American IPA,12.0 oz,769,35
American Pale Ale (APA),12.0 oz.,770,1
American Pale Ale (APA),12.0 oz.,771,1
Scottish Ale,12.0 oz.,772,308
American IPA,12.0 oz,773,35
American Pale Ale (APA),12.0 oz,774,20
American IPA,16.0 oz.,775,39
American Stout,16.0 oz,776,209
Belgian Pale Ale,16.0 oz.,777,191
Roggenbier,16.0 oz.,778,309
Kölsch,16.0 oz,779,70
American IPA,16.0 ounce,780,37
American Amber / Red Ale,16.0 ounce,781,189
Fruit / Vegetable Beer,16.0 oz.,782,207
American IPA,16.0 OZ.,783,71
American Amber / Red Ale,16.0 OZ.,784,242
American Double / Imperial IPA,16.0 oz,785,211
Scottish Ale,16.0 ounce,786,310
American Double / Imperial IPA,12.0 oz.,787,25
American Double / Imperial IPA,16.0 oz.,788,46
American Double / Imperial IPA,16.0 oz.,789,46
American Porter,16.0 oz.,790,102
Kristalweizen,12.0 oz.,791,311
Czech Pilsener,12.0 oz.,792,138
Kölsch,12.0 oz.,793,251
American Double / Imperial IPA,16.0 oz.,794,46
American Black Ale,16.0 ounce,795,212
Belgian Strong Dark Ale,16.0 oz.,796,38
American Pale Wheat Ale,16.0 ounce,797,237
American Stout,16.0 oz.,798,144
American Amber / Red Ale,16.0 oz. Alumi-Tek,799,312
American Pale Ale (APA),16.0 ounce,800,150
American IPA,16.0 ounce,801,37
American Pale Ale (APA),16.0 oz,802,85
American Blonde Ale,16.0 oz,803,241
American IPA,12.0 oz,804,35
American IPA,12.0 oz.,805,23
German Pilsener,12.0 oz.,806,106
American Blonde Ale,12.0 oz,807,32
American Blonde Ale,12.0 oz,808,32
Doppelbock,16.0 oz.,809,313
American Blonde Ale,16.0 ounce,810,243
American IPA,16.0 ounce,811,37
American IPA,12.0 ounce,812,2
American Pale Ale (APA),16.0 oz,813,85
American IPA,12.0 ounce,814,2
American Pale Lager,12.0 oz.,815,287
American Porter,12.0 oz.,816,113
American IPA,12.0 ounce,817,2
Saison / Farmhouse Ale,12.0 oz. Alumi-Tek,818,314
American IPA,12.0 oz,819,35
American Porter,12.0 ounce,820,6
American Blonde Ale,12.0 oz,821,32
Witbier,12.0 oz.,822,108
American IPA,12.0 oz.,823,23
Belgian Pale Ale,12.0 oz.,824,89
American IPA,12.0 ounce,825,2
American IPA,16.0 oz.,826,39
American IPA,16.0 oz.,827,39
American Black Ale,16.0 oz.,828,229
American IPA,16.0 ounce,829,37
American Pale Ale (APA),16.0 oz.,830,56
Witbier,16.0 oz.,831,131
American Pale Ale (APA),16.0 oz,832,85
American Double / Imperial Stout,16.0 ounce,833,315
American Amber / Red Lager,16.0 oz,834,316
American IPA,16.0 ounce,835,37
American Amber / Red Ale,12.0 oz.,836,30
American Pale Wheat Ale,12.0 oz.,837,36
American Amber / Red Ale,12.0 ounce,838,83
Kölsch,12.0 oz,839,97
American IPA,12.0 oz,840,35
Scotch Ale / Wee Heavy,12.0 ounce,841,317
American IPA,12.0 oz.,842,23
American IPA,12.0 oz.,843,23
American IPA,12.0 oz,844,35
American Porter,12.0 ounce,845,6
American Blonde Ale,12.0 oz,846,32
Oatmeal Stout,16.0 oz,847,278
Belgian Pale Ale,16.0 ounce,848,318
American IPA,16.0 oz.,849,39
American IPA,16.0 oz. Alumi-Tek,850,99
American Pale Lager,12.0 oz. Alumi-Tek,851,319
Kölsch,12.0 oz,852,97
,12.0 oz,853,320
American Porter,12.0 oz.,854,113
Fruit / Vegetable Beer,12.0 oz.,855,22
American IPA,12.0 oz,856,35
Scottish Ale,12.0 oz.,857,308
Kölsch,12.0 oz,858,97
American Porter,12.0 ounce,859,6
American Pale Wheat Ale,12.0 oz.,860,36
American Pale Ale (APA),12.0 oz. Alumi-Tek,861,67
American White IPA,12.0 ounce,862,321
American Amber / Red Ale,12.0 oz.,863,30
American IPA,12.0 oz. Alumi-Tek,864,73
Munich Helles Lager,12.0 ounce,865,322
,12.0 oz. Alumi-Tek,866,323
American Brown Ale,12.0 oz.,867,146
Witbier,12.0 oz.,868,108
Munich Helles Lager,12.0 oz.,869,104
American Amber / Red Ale,12.0 oz.,870,30
Witbier,12.0 ounce,871,90
American IPA,12.0 oz,872,35
Berliner Weissbier,12.0 ounce,873,281
American IPA,12.0 ounce,874,2
American Pale Ale (APA),12.0 oz,875,20
English Strong Ale,12.0 ounce,876,324
Saison / Farmhouse Ale,12.0 oz,877,325
American Pale Ale (APA),12.0 oz,878,20
American Pale Ale (APA),12.0 oz.,879,1
American IPA,12.0 oz,880,35
Kölsch,12.0 oz.,881,251
Scotch Ale / Wee Heavy,12.0 oz,882,285
Extra Special / Strong Bitter (ESB),12.0 oz.,883,158
American IPA,16.0 oz. Alumi-Tek,884,99
American Pale Ale (APA),12.0 OZ.,885,69
American IPA,12.0 oz.,886,23
American Blonde Ale,12.0 ounce,887,147
American Amber / Red Ale,12.0 ounce,888,83
American IPA,12.0 oz,889,35
American Pale Lager,16.0 oz,890,326
Saison / Farmhouse Ale,12.0 OZ.,891,9
American IPA,16.0 oz.,892,39
American IPA,16.0 oz.,893,39
American IPA,16.0 oz,894,43
American IPA,16.0 oz.,895,39
Hefeweizen,16.0 ounce,896,327
American IPA,16.0 oz,897,43
American IPA,12.0 oz,898,35
Kölsch,16.0 oz,899,70
American Brown Ale,16.0 oz.,900,133
American IPA,16.0 oz.,901,39
American IPA,16.0 oz.,902,39
American IPA,16.0 oz.,903,39
Hefeweizen,16.0 ounce,904,327
American Porter,16.0 ounce,905,93
American IPA,12.0 ounce,906,2
American Pale Wheat Ale,12.0 oz.,907,36
American Pale Ale (APA),12.0 oz.,908,1
American Double / Imperial IPA,12.0 oz,909,3
Oatmeal Stout,12.0 oz.,910,328
American IPA,12.0 ounce,911,2
American Brown Ale,12.0 ounce,912,109
American Pale Ale (APA),12.0 OZ.,913,69
American IPA,12.0 oz.,914,23
American Pale Ale (APA),16.0 oz.,915,56
American Pale Ale (APA),12.0 oz.,916,1
American Pale Wheat Ale,16.0 oz,917,271
American Pale Wheat Ale,12.0 ounce,918,112
American Pale Wheat Ale,12.0 oz.,919,36
American Pale Lager,12.0 ounce,920,121
American Pale Wheat Ale,12.0 oz.,921,36
American Pilsner,12.0 oz.,922,245
American Amber / Red Ale,12.0 oz. Silo Can,923,329
American IPA,12.0 oz.,924,23
American Pale Wheat Ale,12.0 oz.,925,36
English Brown Ale,12.0 oz.,926,330
American Pale Ale (APA),12.0 oz.,927,1
American Blonde Ale,16.0 oz.,928,178
Fruit / Vegetable Beer,16.0 OZ.,929,276
American Porter,16.0 oz,930,205
American IPA,16.0 oz.,931,39
Dortmunder / Export Lager,16.0 oz,932,331
American Blonde Ale,16.0 oz.,933,178
American Porter,16.0 oz.,934,102
Märzen / Oktoberfest,16.0 oz.,935,332
American Brown Ale,16.0 OZ.,936,235
Fruit / Vegetable Beer,16.0 oz.,937,207
Dortmunder / Export Lager,16.0 oz.,938,333
American Dark Wheat Ale,16.0 oz.,939,334
Witbier,16.0 oz,940,335
American Stout,16.0 oz,941,209
English Stout,16.0 oz,942,336
American Porter,16.0 oz.,943,102
Euro Dark Lager,16.0 oz,944,337
English Dark Mild Ale,16.0 oz.,945,338
American IPA,16.0 oz.,946,39
American Blonde Ale,16.0 oz,947,241
American Pale Ale (APA),12.0 oz,948,20
Old Ale,12.0 oz,949,339
American Pale Wheat Ale,12.0 oz.,950,36
American IPA,12.0 ounce,951,2
Tripel,12.0 oz,952,340
American IPA,12.0 oz.,953,23
Russian Imperial Stout,12.0 ounce,954,341
Saison / Farmhouse Ale,12.0 OZ.,955,9
American IPA,12.0 oz.,956,23
American Pale Lager,24.0 oz.,957,342
American Pale Lager,12.0 ounce,958,121
American Pale Ale (APA),12.0 ounce,959,11
American Pale Lager,12.0 oz,960,0
Fruit / Vegetable Beer,12.0 oz,961,50
American Brown Ale,16.0 ounce,962,52
American Blonde Ale,12.0 ounce,963,147
American Blonde Ale,12.0 oz.,964,29
Vienna Lager,12.0 oz.,965,183
Irish Red Ale,16.0 ounce,966,343
Vienna Lager,16.0 OZ.,967,344
Witbier,16.0 oz.,968,131
Irish Red Ale,16.0 oz. Alumi-Tek,969,345
American Pale Ale (APA),16.0 oz.,970,56
Rye Beer,16.0 oz.,971,130
American Brown Ale,16.0 ounce,972,52
American IPA,16.0 oz,973,43
Märzen / Oktoberfest,16.0 oz.,974,332
American Amber / Red Ale,16.0 oz.,975,215
American Stout,16.0 oz.,976,144
American Pale Ale (APA),16.0 oz,977,85
Irish Red Ale,16.0 oz,978,346
American Pale Ale (APA),12.0 oz.,979,1
American Pale Ale (APA),12.0 ounce,980,11
American Black Ale,12.0 ounce,981,27
Märzen / Oktoberfest,16.0 ounce,982,267
American Double / Imperial IPA,12.0 oz,983,3
Märzen / Oktoberfest,16.0 oz. Alumi-Tek,984,347
American Pale Ale (APA),12.0 oz.,985,1
Witbier,16.0 ounce,986,204
American Blonde Ale,16.0 ounce,987,243
American Porter,16.0 OZ.,988,348
American Pale Ale (APA),12.0 oz.,989,1
Cream Ale,12.0 oz.,990,84
American Pale Wheat Ale,16.0 oz.,991,132
Winter Warmer,16.0 ounce,992,349
Pumpkin Ale,16.0 ounce,993,58
Czech Pilsener,16.0 ounce,994,172
American Amber / Red Ale,16.0 ounce,995,189
American IPA,16.0 OZ.,996,71
American Pale Ale (APA),16.0 ounce,997,150
American IPA,12.0 oz,998,35
Tripel,16.0 oz,999,221
Altbier,12.0 oz.,1000,166
American IPA,12.0 oz,1001,35
American Pale Ale (APA),12.0 ounce,1002,11
American IPA,16.0 oz.,1003,39
American Double / Imperial Pilsner,16.0 oz.,1004,350
German Pilsener,16.0 oz.,1005,351
American Pale Wheat Ale,16.0 oz,1006,271
English India Pale Ale (IPA),16.0 oz,1007,223
American Brown Ale,16.0 oz.,1008,133
American Blonde Ale,16.0 oz,1009,241
American Pale Ale (APA),16.0 oz,1010,85
American IPA,12.0 oz. Alumi-Tek,1011,73
American Blonde Ale,12.0 oz,1012,32
Fruit / Vegetable Beer,12.0 oz. Alumi-Tek,1013,305
Munich Helles Lager,12.0 oz,1014,117
American IPA,16.0 oz.,1015,39
Cream Ale,12.0 oz,1016,82
American Pale Ale (APA),12.0 ounce,1017,11
Herbed / Spiced Beer,12.0 oz,1018,282
American White IPA,12.0 ounce,1019,321
Cider,12.0 oz.,1020,13
Kölsch,12.0 oz.,1021,251
American IPA,12.0 ounce,1022,2
Pumpkin Ale,12.0 oz.,1023,352
Märzen / Oktoberfest,12.0 oz.,1024,111
American IPA,12.0 ounce,1025,2
Kölsch,12.0 oz,1026,97
American Pale Wheat Ale,12.0 oz.,1027,36
Kölsch,12.0 OZ.,1028,116
American IPA,12.0 oz,1029,35
American Blonde Ale,12.0 oz.,1030,29
Witbier,12.0 oz.,1031,108
American Blonde Ale,12.0 ounce,1032,147
American Pale Ale (APA),12.0 oz,1033,20
American Brown Ale,19.2 oz.,1034,353
American Brown Ale,12.0 ounce,1035,109
Flanders Red Ale,19.2 oz,1036,354
Belgian IPA,16.0 oz.,1037,195
American Pale Lager,16.0 oz,1038,326
American Double / Imperial IPA,16.0 ounce,1039,53
American IPA,12.0 oz,1040,35
Märzen / Oktoberfest,12.0 oz,1041,184
Cream Ale,12.0 OZ.,1042,355
Cream Ale,16.0 OZ.,1043,356
American IPA,16.0 oz,1044,43
American Double / Imperial Stout,16.0 oz,1045,217
American Pilsner,12.0 ounce,1046,357
American Pale Ale (APA),12.0 oz. Alumi-Tek,1047,67
American Pale Wheat Ale,12.0 oz,1048,74
Fruit / Vegetable Beer,12.0 oz.,1049,22
American Amber / Red Ale,12.0 ounce,1050,83
American Pale Ale (APA),16.0 oz. Alumi-Tek,1051,72
Czech Pilsener,16.0 oz.,1052,358
American Blonde Ale,16.0 oz.,1053,178
American Amber / Red Ale,16.0 oz.,1054,215
Saison / Farmhouse Ale,16.0 oz,1055,190
American White IPA,16.0 oz.,1056,359
Saison / Farmhouse Ale,12.0 oz.,1057,8
American Brown Ale,12.0 ounce,1058,109
American IPA,12.0 oz,1059,35
American Blonde Ale,12.0 oz,1060,32
American Strong Ale,12.0 oz.,1061,360
American IPA,12.0 oz.,1062,23
American Blonde Ale,12.0 oz.,1063,29
American Pale Lager,12.0 ounce,1064,121
American IPA,12.0 oz.,1065,23
American IPA,12.0 oz.,1066,23
American Blonde Ale,12.0 oz.,1067,29
American IPA,12.0 oz,1068,35
American Pale Lager,12.0 oz.,1069,287
Altbier,12.0 oz.,1070,166
American Pale Ale (APA),12.0 ounce,1071,11
American Porter,12.0 oz.,1072,113
Cider,16.0 oz,1073,253
Radler,16.0 oz,1074,361
American Pale Wheat Ale,16.0 ounce,1075,237
American Pale Wheat Ale,16.0 oz.,1076,132
American Pale Wheat Ale,16.0 ounce,1077,237
American Pale Wheat Ale,16.0 ounce,1078,237
American Pale Wheat Ale,16.0 ounce,1079,237
American Pale Wheat Ale,16.0 oz,1080,271
American Pale Wheat Ale,16.0 ounce,1081,237
American Pale Wheat Ale,16.0 oz,1082,271
American Pale Wheat Ale,16.0 oz. Alumi-Tek,1083,362
American Pale Wheat Ale,16.0 oz,1084,271
American Pale Wheat Ale,16.0 oz,1085,271
American Pale Wheat Ale,16.0 oz,1086,271
American Amber / Red Ale,16.0 oz,1087,142
American Stout,16.0 oz.,1088,144
American IPA,16.0 oz.,1089,39
American Strong Ale,16.0 oz.,1090,363
American White IPA,16.0 oz,1091,364
American Amber / Red Ale,16.0 ounce,1092,189
American Strong Ale,16.0 oz,1093,365
Czech Pilsener,16.0 oz,1094,307
American IPA,16.0 oz.,1095,39
American Pale Wheat Ale,12.0 oz.,1096,36
Hefeweizen,12.0 oz.,1097,186
Märzen / Oktoberfest,16.0 oz.,1098,332
American Pale Ale (APA),12.0 oz.,1099,1
Vienna Lager,12.0 oz.,1100,183
American IPA,12.0 oz,1101,35
Winter Warmer,12.0 ounce,1102,26
Fruit / Vegetable Beer,12.0 ounce,1103,21
American Pale Wheat Ale,12.0 oz.,1104,36
American Black Ale,12.0 ounce,1105,27
American Pale Ale (APA),12.0 oz,1106,20
American Amber / Red Ale,12.0 oz,1107,154
American Pale Ale (APA),12.0 oz.,1108,1
Witbier,12.0 oz. Alumi-Tek,1109,272
American Pale Ale (APA),12.0 oz,1110,20
American IPA,12.0 oz.,1111,23
Cream Ale,12.0 oz.,1112,84
American Blonde Ale,12.0 oz.,1113,29
American IPA,12.0 oz,1114,35
American Pale Ale (APA),12.0 oz,1115,20
American Blonde Ale,12.0 oz,1116,32
American IPA,16.0 oz.,1117,39
Keller Bier / Zwickel Bier,16.0 oz,1118,366
American Pale Lager,12.0 OZ.,1119,367
American India Pale Lager,16.0 oz.,1120,368
American India Pale Lager,12.0 ounce,1121,369
American India Pale Lager,12.0 oz. Alumi-Tek,1122,370
Cider,12.0 OZ.,1123,88
Cider,12.0 oz.,1124,13
American Pale Ale (APA),12.0 oz.,1125,1
Fruit / Vegetable Beer,12.0 ounce,1126,21
American IPA,12.0 ounce,1127,2
American IPA,12.0 oz.,1128,23
American Amber / Red Ale,12.0 oz,1129,154
English Brown Ale,12.0 ounce,1130,115
American IPA,12.0 oz.,1131,23
American Strong Ale,12.0 ounce,1132,371
Hefeweizen,12.0 oz.,1133,186
American Porter,12.0 oz,1134,98
American Pale Ale (APA),12.0 OZ.,1135,69
American Blonde Ale,12.0 oz.,1136,29
American IPA,12.0 oz,1137,35
Hefeweizen,12.0 ounce,1138,152
American Pale Ale (APA),12.0 oz,1139,20
American Double / Imperial IPA,12.0 oz,1140,3
American Adjunct Lager,12.0 oz,1141,244
American IPA,12.0 oz. Alumi-Tek,1142,73
Doppelbock,12.0 oz.,1143,372
Hefeweizen,12.0 oz.,1144,186
Munich Dunkel Lager,12.0 oz.,1145,373
American Pale Ale (APA),12.0 oz.,1146,1
Märzen / Oktoberfest,12.0 ounce,1147,374
Kölsch,12.0 ounce,1148,275
Saison / Farmhouse Ale,12.0 oz. Alumi-Tek,1149,314
American Double / Imperial IPA,12.0 OZ.,1150,375
American Amber / Red Lager,12.0 oz.,1151,51
Hefeweizen,12.0 oz.,1152,186
American IPA,12.0 oz,1153,35
Euro Dark Lager,12.0 oz.,1154,376
American IPA,12.0 oz,1155,35
Czech Pilsener,12.0 ounce,1156,177
Scottish Ale,12.0 oz,1157,377
American Blonde Ale,12.0 ounce,1158,147
American IPA,12.0 oz. Alumi-Tek,1159,73
Scottish Ale,12.0 oz,1160,377
Scotch Ale / Wee Heavy,16.0 oz.,1161,171
American IPA,16.0 ounce,1162,37
American IPA,16.0 oz.,1163,39
American Pale Ale (APA),16.0 oz.,1164,56
American IPA,16.0 ounce,1165,37
Scotch Ale / Wee Heavy,16.0 oz.,1166,171
Witbier,12.0 oz.,1167,108
American Pale Ale (APA),12.0 oz.,1168,1
Scottish Ale,12.0 oz.,1169,308
American Brown Ale,12.0 oz,1170,33
American Brown Ale,12.0 oz. Alumi-Tek,1171,239
American Blonde Ale,12.0 oz,1172,32
American Amber / Red Ale,12.0 oz,1173,154
American Amber / Red Ale,12.0 oz.,1174,30
Czech Pilsener,12.0 oz.,1175,138
American IPA,12.0 OZ.,1176,4
Hefeweizen,12.0 oz. Alumi-Tek,1177,378
American Blonde Ale,12.0 oz.,1178,29
American IPA,16.0 ounce,1179,37
American Pale Wheat Ale,16.0 oz.,1180,132
American Amber / Red Lager,24.0 oz.,1181,379
American Amber / Red Lager,16.0 oz,1182,316
American Amber / Red Lager,12.0 oz.,1183,51
American Amber / Red Lager,12.0 oz,1184,48
American Dark Wheat Ale,12.0 oz.,1185,380
Belgian Strong Dark Ale,16.0 oz.,1186,38
Hefeweizen,16.0 oz.,1187,381
American IPA,16.0 ounce,1188,37
Maibock / Helles Bock,12.0 oz.,1189,382
Kölsch,12.0 oz.,1190,251
Hefeweizen,12.0 ounce,1191,152
American IPA,12.0 ounce,1192,2
American Amber / Red Ale,12.0 oz,1193,154
English Brown Ale,12.0 ounce,1194,115
Cream Ale,12.0 oz,1195,82
American Pilsner,12.0 ounce,1196,357
American IPA,12.0 oz,1197,35
American IPA,12.0 oz. Alumi-Tek,1198,73
American IPA,12.0 oz.,1199,23
Czech Pilsener,16.0 oz,1200,307
Kölsch,12.0 oz.,1201,251
American IPA,12.0 oz.,1202,23
American Amber / Red Ale,12.0 oz,1203,154
Hefeweizen,12.0 oz.,1204,186
Scottish Ale,12.0 OZ.,1205,383
German Pilsener,16.0 ounce,1206,277
Saison / Farmhouse Ale,16.0 oz.,1207,220
American Stout,12.0 oz,1208,384
American Amber / Red Ale,12.0 oz,1209,154
Fruit / Vegetable Beer,12.0 oz.,1210,22
American IPA,12.0 oz.,1211,23
American Pale Ale (APA),12.0 oz.,1212,1
American Porter,12.0 oz,1213,98
American Stout,16.0 oz,1214,209
American Pale Ale (APA),12.0 oz.,1215,1
Hefeweizen,12.0 ounce,1216,152
American Brown Ale,12.0 ounce,1217,109
English India Pale Ale (IPA),12.0 oz,1218,385
American Amber / Red Ale,12.0 oz.,1219,30
Altbier,16.0 ounce,1220,268
Fruit / Vegetable Beer,12.0 OZ.,1221,128
Altbier,12.0 ounce,1222,260
Gose,16.0 oz,1223,96
German Pilsener,16.0 oz,1224,57
American IPA,16.0 OZ.,1225,71
American IPA,16.0 oz.,1226,39
American IPA,12.0 oz,1227,35
Czech Pilsener,12.0 oz.,1228,138
American Stout,16.0 oz.,1229,144
Hefeweizen,16.0 ounce,1230,327
American Pale Ale (APA),16.0 oz.,1231,56
American Blonde Ale,16.0 ounce,1232,243
English Dark Mild Ale,12.0 oz. Silo Can,1233,386
Belgian Pale Ale,12.0 oz.,1234,89
American Pale Ale (APA),12.0 oz. Alumi-Tek,1235,67
American Pilsner,12.0 oz.,1236,245
American IPA,12.0 ounce,1237,2
American Amber / Red Ale,12.0 oz. Silo Can,1238,329
American Pale Ale (APA),12.0 oz,1239,20
American Amber / Red Ale,12.0 oz,1240,154
American Pale Ale (APA),12.0 ounce,1241,11
American Brown Ale,12.0 oz,1242,33
American Double / Imperial IPA,12.0 oz.,1243,25
American Blonde Ale,12.0 oz,1244,32
Winter Warmer,12.0 ounce,1245,26
Fruit / Vegetable Beer,16.0 OZ.,1246,276
Kölsch,12.0 oz.,1247,251
American Pale Ale (APA),12.0 oz.,1248,1
American IPA,12.0 ounce,1249,2
American Brown Ale,12.0 ounce,1250,109
American Amber / Red Ale,12.0 oz.,1251,30
Fruit / Vegetable Beer,16.0 OZ.,1252,276
Hefeweizen,12.0 oz.,1253,186
Fruit / Vegetable Beer,12.0 ounce,1254,21
German Pilsener,12.0 oz.,1255,106
American IPA,12.0 oz.,1256,23
German Pilsener,12.0 ounce,1257,387
American Amber / Red Ale,12.0 ounce,1258,83
Winter Warmer,12.0 oz.,1259,176
Märzen / Oktoberfest,12.0 oz.,1260,111
Belgian Pale Ale,12.0 oz.,1261,89
American IPA,12.0 ounce,1262,2
Pumpkin Ale,12.0 ounce,1263,388
American Pale Wheat Ale,12.0 oz,1264,74
Tripel,12.0 oz,1265,340
Fruit / Vegetable Beer,12.0 oz,1266,50
American Double / Imperial IPA,12.0 ounce,1267,7
American Double / Imperial IPA,12.0 ounce,1268,7
American IPA,12.0 ounce,1269,2
American Blonde Ale,12.0 ounce,1270,147
American Brown Ale,12.0 oz,1271,33
American Pale Ale (APA),12.0 OZ.,1272,69
German Pilsener,12.0 oz,1273,156
American IPA,12.0 oz.,1274,23
American IPA,16.0 oz,1275,43
American Pale Ale (APA),16.0 ounce,1276,150
Russian Imperial Stout,16.0 oz,1277,389
American Pale Ale (APA),16.0 oz.,1278,56
American Double / Imperial IPA,16.0 oz.,1279,46
Saison / Farmhouse Ale,16.0 oz,1280,190
American Stout,16.0 OZ.,1281,390
American Amber / Red Ale,16.0 oz.,1282,215
American Double / Imperial IPA,16.0 OZ.,1283,149
American Double / Imperial IPA,12.0 oz,1284,3
Rye Beer,16.0 oz.,1285,130
Saison / Farmhouse Ale,12.0 ounce,1286,143
American Stout,12.0 oz.,1287,19
American IPA,12.0 oz.,1288,23
Shandy,12.0 ounce,1289,391
American IPA,16.0 ounce,1290,37
German Pilsener,12.0 OZ.,1291,392
Light Lager,12.0 oz,1292,393
Light Lager,12.0 oz.,1293,273
American Pale Lager,12.0 ounce,1294,121
Fruit / Vegetable Beer,12.0 oz,1295,50
American Blonde Ale,12.0 oz,1296,32
American IPA,12.0 oz. Alumi-Tek,1297,73
American Pale Wheat Ale,12.0 oz,1298,74
English Pale Ale,12.0 oz.,1299,274
English Pale Ale,16.0 oz,1300,44
American Brown Ale,12.0 oz,1301,33
Czech Pilsener,12.0 oz. Alumi-Tek,1302,394
Saison / Farmhouse Ale,12.0 oz. Alumi-Tek,1303,314
Belgian Strong Dark Ale,12.0 oz.,1304,395
Fruit / Vegetable Beer,12.0 oz,1305,50
American Amber / Red Ale,12.0 oz.,1306,30
Witbier,12.0 oz,1307,234
American IPA,12.0 OZ.,1308,4
American Pale Wheat Ale,12.0 ounce,1309,112
Munich Helles Lager,12.0 oz,1310,117
American Porter,12.0 oz.,1311,113
American IPA,12.0 oz,1312,35
American Porter,12.0 ounce,1313,6
Witbier,12.0 oz.,1314,108
American Pale Ale (APA),12.0 oz.,1315,1
Cider,16.0 OZ.,1316,396
Cider,16.0 oz.,1317,87
Cider,16.0 ounce,1318,397
American IPA,19.2 oz,1319,398
American IPA,12.0 OZ.,1320,4
American Blonde Ale,12.0 oz.,1321,29
