beer_name,style,original_index,unique_index,count
Caldera Pale Ale (2007),American Pale Ale (APA),514,502,1.0
Caldera Pale Ale (2011),American Pale Ale (APA),515,503,1.0
Ashland Amber Ale,American Amber / Red Ale,516,504,1.0
Caldera IPA,American IPA,517,505,1.0
Remain in Light,American Pilsner,518,506,1.0
Flower Child (2014),American IPA,519,507,1.0
THP White (2006),Witbier,520,508,1.0
THP Amber (2006),American Amber / Red Ale,521,509,1.0
THP Light (2006),American Blonde Ale,522,510,1.0
THP Dark (2006),English Dark Mild Ale,523,511,1.0
Imperial Pumpkin Stout,Pumpkin Ale,524,512,1.0
Dead-Eye DIPA,American Double / Imperial IPA,525,513,1.0
Fisherman's IPA,American IPA,526,514,1.0
Fisherman's Pils,German Pilsener,527,515,1.0
Fisherman's Brew,American Amber / Red Ale,528,516,1.0
Cape Cod Red,American Amber / Red Ale,529,517,1.0
Beach Blonde,American Blonde Ale,530,39,2.0
Dark Voyage Black IPA (2013),American Black Ale,531,518,1.0
Wisconsin Amber,Vienna Lager,532,519,1.0
Lake House,Munich Helles Lager,533,520,2.0
Ghost Ship White IPA,American IPA,534,521,1.0
Lake House,Munich Helles Lager,535,520,2.0
Mutiny IPA,American IPA,536,522,1.0
Wisconsin Amber (1998),Vienna Lager,537,523,1.0
Island Wheat,American Pale Wheat Ale,538,524,1.0
Wisconsin Amber (2013),Vienna Lager,539,525,1.0
U.S. Pale Ale,American Pale Ale (APA),540,526,1.0
Supper Club Lager,American Pale Lager,541,527,1.0
Carolina Lighthouse (2007),American Blonde Ale,542,528,1.0
Carolina Blonde (2006),American Blonde Ale,543,529,1.0
Carolina Blonde Light (2005),American Blonde Ale,544,530,1.0
Santa's Secret,Winter Warmer,545,531,1.0
Flagship IPA,English India Pale Ale (IPA),546,532,1.0
Sky Blue Golden Ale,Kölsch,547,533,1.0
Epitome,American Black Ale,548,534,1.0
Monkey Chased the Weasel,Berliner Weissbier,549,535,1.0
077XX,American Double / Imperial IPA,550,536,1.0
Boat Beer,American IPA,551,537,1.0
Granny Smith Hard Apple Cider,Cider,552,538,1.0
Dry Hard Apple Cider,Cider,553,539,1.0
Farmer Ted's Cream Ale,Cream Ale,554,540,1.0
Firewater India Pale Ale,American IPA,555,541,2.0
White Zombie Ale,Witbier,556,542,2.0
King Winterbolt Winter Ale,Winter Warmer,557,543,1.0
White Zombie Ale,Witbier,558,542,2.0
Firewater India Pale Ale,American IPA,559,541,2.0
Farmer Ted's Farmhouse Cream Ale,Cream Ale,560,544,1.0
Whitecap Wit,Witbier,561,545,1.0
Seiche Scottish Ale,Scottish Ale,562,546,1.0
Peanut Butter Jelly Time,American Brown Ale,563,547,1.0
King Coconut,American Porter,564,548,1.0
Gone A-Rye,American Double / Imperial IPA,565,549,1.0
Special Release,,566,550,
Dankosaurus,American IPA,567,551,1.0
Scruffy's Smoked Alt,Smoked Beer,568,552,1.0
Elliott's Phoned Home Pale Ale,American Pale Ale (APA),569,553,1.0
The Lawn Ranger,Cream Ale,570,554,1.0
All American Blonde Ale,American Blonde Ale,571,555,1.0
All American Red Ale,American Amber / Red Ale,572,556,1.0
Main St. Virginia Ale,Altbier,573,557,2.0
Chin Music Amber Lager,American Amber / Red Lager,574,558,1.0
Main St. Virginia Ale,Altbier,575,557,2.0
Ray Ray’s Pale Ale,American Pale Ale (APA),576,559,1.0
Chai Ale,Herbed / Spiced Beer,577,560,1.0
Lucky Day IPA,American IPA,578,561,1.0
Terrace Hill Double IPA,American Double / Imperial IPA,579,562,1.0
Catch 23,American Black Ale,580,563,1.0
Stickin' In My Rye,Rye Beer,581,564,1.0
Black Me Stout,American Stout,582,565,1.0
Killer Kolsch,Kölsch,583,566,1.0
Missile IPA,American IPA,584,567,1.0
Enlighten,Kölsch,585,568,1.0
Ale Cider,Fruit / Vegetable Beer,586,569,1.0
Pail Ale,American Pale Ale (APA),587,570,1.0
Englishman,English Brown Ale,588,571,1.0
8 Barrel,American Strong Ale,589,572,1.0
Oktoberfest,Märzen / Oktoberfest,590,573,6.0
IPA #11,American IPA,591,574,1.0
Blood Orange Honey,Fruit / Vegetable Beer,592,575,1.0
Lighthouse Amber,Altbier,593,576,1.0
Bay of Bengal Double IPA (2014),American Double / Imperial IPA,594,577,1.0
Churchkey Pilsner Style Beer,American Pilsner,595,578,1.0
First Press,Cider,596,579,1.0
Magic Apple,Cider,597,580,1.0
Cubano Espresso,Bock,598,581,1.0
Operation Homefront,American IPA,599,582,1.0
Wandering Pelican,American Black Ale,600,583,1.0
Sugar Plum,American Brown Ale,601,584,1.0
Oktoberfest,Märzen / Oktoberfest,602,573,6.0
Puppy's Breath Porter,American Porter,603,585,1.0
Happening Now,American IPA,604,586,1.0
Hopped on the High Seas (Hop #529),American IPA,605,587,1.0
Hopped on the High Seas (Calypso),American IPA,606,588,1.0
Wiregrass Post-Prohibition Ale,American Pale Ale (APA),607,589,1.0
Dry-Hopped On The High Seas Caribbean-Style IPA,American IPA,608,590,1.0
Hopped on the High Seas (Citra),American IPA,609,591,1.0
Hopped on the High Seas (Ahtanum),American IPA,610,592,1.0
Gwar Beer,American Pale Ale (APA),611,593,1.0
Tropical Heatwave,American Pale Wheat Ale,612,594,1.0
Humidor Series India Pale Ale,American IPA,613,595,1.0
Jai Alai IPA Aged on White Oak,American IPA,614,596,1.0
José Martí American Porter,American Porter,615,597,1.0
Invasion Pale Ale,American Pale Ale (APA),616,598,1.0
Maduro Brown Ale,English Brown Ale,617,599,1.0
Maduro Brown Ale,American Brown Ale,618,600,1.0
Hotter Than Helles Lager,Munich Helles Lager,619,601,1.0
Tocobaga Red Ale,American Amber / Red Ale,620,602,1.0
Jai Alai IPA,American IPA,621,603,1.0
Florida Cracker Belgian Wit,Witbier,622,604,1.0
Shark Tracker Light lager,Light Lager,623,605,1.0
Pumple Drumkin,Pumpkin Ale,624,606,1.0
Grey Lady,Witbier,625,607,1.0
Summer of Lager,Munich Helles Lager,626,608,1.0
Indie Pale Ale,American IPA,627,609,1.0
Sankaty Light Lager,Light Lager,628,610,1.0
Whale's Tale Pale Ale,English Pale Ale,629,611,1.0
Jacaranada Rye IPA,American IPA,630,612,1.0
Cascadian Dark Ale,American Black Ale,631,613,1.0
Wheat the People,American Pale Wheat Ale,632,614,1.0
Tybee Island Blonde,American Blonde Ale,633,615,1.0
Savannah Brown Ale,American Brown Ale,634,616,1.0
Rhode Island Blueberry,Kölsch,635,617,1.0
Newport Storm IPA,American IPA,636,618,1.0
Hurricane Amber Ale (2004),American Amber / Red Ale,637,619,1.0
Hurricane Amber Ale,American Amber / Red Ale,638,620,1.0
Big Blue Van,Fruit / Vegetable Beer,639,621,1.0
Des Moines IPA,American IPA,640,622,1.0
Capital Gold Golden Lager,German Pilsener,641,623,1.0
Farmer John's Multi-Grain Ale,American Blonde Ale,642,624,1.0
Behemoth,American Pilsner,643,625,1.0
Arkansas Red,American Amber / Red Ale,644,626,1.0
Core Oatmeal Stout,Oatmeal Stout,645,627,1.0
Core ESB,Extra Special / Strong Bitter (ESB),646,628,1.0
Chester's Beer (2005),American Pale Lager,647,629,1.0
Heiner Brau Kölsch,Kölsch,648,630,1.0
Trigger Blonde Ale,American Blonde Ale,649,631,1.0
Crabtree Oatmeal Stout,Oatmeal Stout,650,632,1.0
Eclipse Black IPA,American Black Ale,651,633,1.0
Neomexicanus Native,American Pale Ale (APA),652,634,1.0
Old Soul,Belgian Strong Pale Ale,653,635,1.0
Snowcat Coffee Stout,American Stout,654,636,1.0
WinterWonderGrass Festival Ale,American Amber / Red Ale,655,637,1.0
Boohai Red Ale,American Amber / Red Ale,656,638,1.0
Lava Lake Wit,Witbier,657,639,1.0
Mountain Livin' Pale Ale,American Pale Ale (APA),658,640,1.0
Crazy Mountain Amber Ale,American Amber / Red Ale,659,641,1.0
Tropicalia,American IPA,660,642,1.0
Athena,Berliner Weissbier,661,643,1.0
Aviator Raspberry Blonde,American Blonde Ale,662,644,1.0
3 Picket Porter,American Porter,663,645,1.0
Rusty Nail Pale Ale,American Pale Ale (APA),664,646,1.0
Red Water Irish Style Red,American Amber / Red Ale,665,647,1.0
Mjöllnir,Herbed / Spiced Beer,666,648,1.0
Bear Butte Nut Brown Ale,American Brown Ale,667,649,1.0
Easy Livin' Summer Ale,American Blonde Ale,668,650,1.0
Canyon Cream Ale,Cream Ale,669,651,1.0
Pile O'Dirt Porter,American Porter,670,652,1.0
11th Hour IPA,American IPA,671,653,1.0
South Ridge Amber Ale,American Amber / Red Ale,672,654,1.0
Summertime Ale,Kölsch,673,655,1.0
Lost River Blonde Ale,American Blonde Ale,674,656,1.0
Monon Wheat,Witbier,675,657,1.0
Floyd's Folly,Scottish Ale,676,658,1.0
Half Court IPA,American IPA,677,659,1.0
Geary's Pale Ale,English Pale Ale,678,660,1.0
Geary's Summer Ale,Kölsch,679,661,1.0
Stone of Arbroath,Scotch Ale / Wee Heavy,680,662,1.0
The Tradition,American Blonde Ale,681,663,1.0
El Hefe Speaks,Hefeweizen,682,664,1.0
Penn Quarter Porter,American Porter,683,665,1.0
On the Wings of Armageddon,American Double / Imperial IPA,684,666,1.0
The Corruption,American IPA,685,667,1.0
The Citizen,Belgian Pale Ale,686,668,1.0
The Public,American Pale Ale (APA),687,669,1.0
Dank IPA,American IPA,688,670,1.0
Dank IPA (2012),American IPA,689,671,1.0
Lift Off IPA,American IPA,690,672,1.0
BrewFarm Select Golden Lager,American Pale Lager,691,673,1.0
Sprocket Blonde Ale (2006),American Blonde Ale,692,674,1.0
Sprocket Pale Ale (2006),American Pale Ale (APA),693,675,1.0
Dead Armadillo Amber Ale,American Amber / Red Ale,694,676,1.0
Neato Bandito,Euro Pale Lager,695,677,1.0
Oak Cliff Coffee Ale,American Brown Ale,696,678,1.0
Dream Crusher Double IPA,American Double / Imperial IPA,697,679,1.0
Deep Ellum Pale Ale,American Pale Ale (APA),698,680,1.0
Double Brown Stout,Baltic Porter,699,681,1.0
Farmhouse Wit,Saison / Farmhouse Ale,700,682,1.0
Rye Pils Session Lager,German Pilsener,701,683,1.0
Dallas Blonde,American Blonde Ale,702,684,1.0
Deep Ellum IPA,American IPA,703,685,1.0
Thrasher Session India Pale Ale,American IPA,704,686,1.0
Gutch English Style Mild Ale,English Pale Mild Ale,705,687,1.0
Chuli Stout,Irish Dry Stout,706,688,1.0
Mother Ale,American Blonde Ale,707,689,1.0
Twister Creek India Pale Ale,American IPA,708,690,1.0
Single Engine Red,Irish Red Ale,709,691,1.0
Incredible Pedal IPA,American IPA,710,692,1.0
Graham Cracker Porter,American Porter,711,693,1.0
Mirror Pond Pale Ale,American Pale Ale (APA),712,694,1.0
Weissenheimer,Hefeweizen,713,695,1.0
Abbey's Single (2015- ),Abbey Single Ale,714,696,1.0
Vertex IPA,American IPA,715,697,1.0
Here Gose Nothin',Gose,716,698,1.0
Strawberry Blonde,Fruit / Vegetable Beer,717,699,1.0
Hoperation Overload,American Double / Imperial IPA,718,700,1.0
Abbey's Single Ale (Current),Abbey Single Ale,719,701,1.0
Bravo Four Point,American Pale Ale (APA),720,702,1.0
Striped Bass Pale Ale,American Pale Ale (APA),721,703,1.0
Deadicated Amber,American Amber / Red Ale,722,704,1.0
Kaleidoscope Collaboration 2012,American Black Ale,723,705,1.0
California Sunshine Rye IPA,American IPA,724,706,1.0
Full Boar Scotch Ale,Scotch Ale / Wee Heavy,725,707,1.0
12 Man Pale Ale,American Pale Ale (APA),726,708,1.0
Filthy Hoppin' IPA,American IPA,727,709,1.0
Dock Street Amber Beer (1992),American Amber / Red Ale,728,710,1.0
Dolores River Hefeweizen,Hefeweizen,729,711,1.0
Dolores River ESB,Extra Special / Strong Bitter (ESB),730,712,1.0
Snaggletooth Double Pale Ale,American Double / Imperial IPA,731,713,1.0
Dolores River Pale Ale,American Pale Ale (APA),732,714,1.0
Dolores River Dry Stout,Irish Dry Stout,733,715,1.0
Dolores River Mild,English Dark Mild Ale,734,716,1.0
Cranberry Blend,Cider,735,717,1.0
Orignal Blend,Cider,736,718,1.0
Hop Abomination,American IPA,737,719,1.0
Apricot Blonde,Fruit / Vegetable Beer,738,720,1.0
Dry Dock Hefeweizen,Hefeweizen,739,721,1.0
Dry Dock Amber Ale,American Amber / Red Ale,740,722,1.0
Category 3 IPA,American IPA,741,723,1.0
Dundee Summer Wheat Beer,American Pale Wheat Ale,742,724,1.0
Pumpkin Patch Ale,Pumpkin Ale,743,725,1.0
Crank Yanker IPA,American IPA,744,726,1.0
River Runners Pale Ale,American Pale Ale (APA),745,727,1.0
Pumpkin Patch Ale (2012),Pumpkin Ale,746,728,1.0
Mountain Fairy Raspberry Wheat,Fruit / Vegetable Beer,747,729,1.0
Boater Beer,German Pilsener,748,730,1.0
Crank Yanker IPA (2011),American IPA,749,731,1.0
Bleeding Buckeye Red Ale,Extra Special / Strong Bitter (ESB),750,732,1.0
Dottie Seattle Lager,American Amber / Red Lager,751,733,1.0
Nut Sack Imperial Brown Ale,American Brown Ale,752,734,1.0
Underachiever,American Adjunct Lager,753,735,1.0
Lil' Brainless Raspberries,Fruit / Vegetable Beer,754,736,1.0
Element 29,American Pale Ale (APA),755,737,1.0
Hop Syndrome,American Pale Lager,756,738,1.0
Escape to Colorado,American IPA,757,739,1.0
Little Sister India Style Session Ale,American IPA,758,740,1.0
Country Boy IPA,American IPA,759,741,1.0
Blonde Czich,American Blonde Ale,760,742,1.0
White Reaper,Belgian IPA,761,743,1.0
Bobblehead,American Pale Wheat Ale,762,744,1.0
Lucky Dog,American Pale Ale (APA),763,745,1.0
Voodoo,American Porter,764,746,1.0
General George Patton Pilsner,Czech Pilsener,765,747,1.0
Nomader Weiss,Berliner Weissbier,766,748,1.0
Molotov Lite,American Double / Imperial IPA,767,749,1.0
Hipster Ale (Two Roads Brewing),American Pale Ale (APA),768,750,1.0
Bikini Beer,American IPA,769,751,1.0
Hipster Ale (Westbrook Brewing),American Pale Ale (APA),770,752,1.0
Iron Horse Pale Ale,American Pale Ale (APA),771,753,1.0
Stone's Throw IPA,Scottish Ale,772,754,1.0
Wood Chipper India Pale Ale,American IPA,773,755,1.0
Trail Head,American Pale Ale (APA),774,756,1.0
Hop Stalker Fresh Hop IPA,American IPA,775,757,1.0
Sudice American Stout,American Stout,776,758,1.0
Parcae Belgian Style Pale Ale,Belgian Pale Ale,777,759,1.0
Norns Roggenbier,Roggenbier,778,760,1.0
Laimas Kölsch Style Ale,Kölsch,779,761,1.0
Moirai India Pale Ale,American IPA,780,762,1.0
Loki Red Ale,American Amber / Red Ale,781,763,1.0
Peaches & Cream,Fruit / Vegetable Beer,782,764,1.0
Quaff India Style Session Ale,American IPA,783,765,1.0
Loki Red Ale (2013),American Amber / Red Ale,784,766,1.0
Mjolnir Imperial IPA,American Double / Imperial IPA,785,767,1.0
Fearless Scottish Ale,Scottish Ale,786,768,1.0
Mastermind,American Double / Imperial IPA,787,769,1.0
Hyzer Flip,American Double / Imperial IPA,788,770,1.0
Second Fiddle,American Double / Imperial IPA,789,771,1.0
Hodad Porter,American Porter,790,772,1.0
Weiss Weiss Baby,Kristalweizen,791,773,1.0
Czech Yo Self,Czech Pilsener,792,774,1.0
FMB 101,Kölsch,793,775,1.0
Hardcore Chimera,American Double / Imperial IPA,794,776,1.0
Sobek & Set,American Black Ale,795,777,1.0
Nuclear Winter,Belgian Strong Dark Ale,796,778,1.0
Wet Hot American Wheat Ale,American Pale Wheat Ale,797,779,1.0
Secret Stache Stout,American Stout,798,780,1.0
Fascist Pig Ale,American Amber / Red Ale,799,781,1.0
Cut Throat Pale Ale,American Pale Ale (APA),800,782,1.0
Threadless IPA,American IPA,801,783,1.0
Cut Throat Pale Ale (2011),American Pale Ale (APA),802,784,1.0
Golden Wing Blonde Ale,American Blonde Ale,803,785,1.0
Easy Jack,American IPA,804,786,1.0
Union Jack,American IPA,805,787,1.0
Pivo Pils,German Pilsener,806,788,1.0
805 Blonde Ale,American Blonde Ale,807,789,1.0
805,American Blonde Ale,808,790,1.0
Deflator,Doppelbock,809,791,1.0
Hinchtown Hammer Down,American Blonde Ale,810,792,1.0
Half Cycle IPA,American IPA,811,793,1.0
Inclined Plane Ale,American IPA,812,794,1.0
Moped Traveler,American Pale Ale (APA),813,795,1.0
Snake Dog IPA,American IPA,814,796,1.0
Underdog Atlantic Lager,American Pale Lager,815,797,1.0
Flying Mouse 8,American Porter,816,798,1.0
Flying Mouse 4,American IPA,817,799,1.0
La Ferme Urbaine Farmhouse Ale,Saison / Farmhouse Ale,818,800,1.0
Backyahd IPA,American IPA,819,801,1.0
Raincloud Robust Porter,American Porter,820,802,1.0
Barstool American Golden Ale,American Blonde Ale,821,803,1.0
What the Butler Saw,Witbier,822,804,1.0
1916 Shore Shiver,American IPA,823,805,1.0
Quick WIT,Belgian Pale Ale,824,806,1.0
The Optimist,American IPA,825,807,1.0
Suicide Squeeze IPA,American IPA,826,808,1.0
Java the Hop,American IPA,827,809,1.0
Next Adventure Black IPA,American Black Ale,828,810,1.0
3-Way IPA (2013),American IPA,829,811,1.0
Tender Loving Empire NWPA,American Pale Ale (APA),830,812,1.0
Quick Wit Belgianesque Ale,Witbier,831,813,1.0
Sunrise Oatmeal Pale Ale,American Pale Ale (APA),832,814,1.0
Cavatica Stout,American Double / Imperial Stout,833,815,1.0
1811 Lager,American Amber / Red Lager,834,816,1.0
Vortex IPA,American IPA,835,817,1.0
Fort Pitt Ale,American Amber / Red Ale,836,818,1.0
Park,American Pale Wheat Ale,837,819,1.0
Westfalia,American Amber / Red Ale,838,820,1.0
KSA,Kölsch,839,821,1.0
Villager,American IPA,840,822,1.0
Dirty Bastard,Scotch Ale / Wee Heavy,841,823,1.0
Centennial IPA,American IPA,842,824,1.0
All Day IPA,American IPA,843,825,1.0
El Chingon IPA,American IPA,844,826,1.0
Block Party Robust Porter,American Porter,845,827,1.0
Local Buzz,American Blonde Ale,846,828,1.0
Feel Like Maplin' Love,Oatmeal Stout,847,829,1.0
Father's Beer,Belgian Pale Ale,848,830,1.0
The 26th,American IPA,849,831,1.0
The Gadget,American IPA,850,832,1.0
Leprechaun Lager,American Pale Lager,851,833,1.0
Sunbru Kölsch,Kölsch,852,834,2.0
Kilt Lifter Scottish-Style Ale,,853,835,
Pumpkin Porter,American Porter,854,836,1.0
Four Peaks Peach Ale,Fruit / Vegetable Beer,855,837,1.0
Hop Knot IPA,American IPA,856,838,1.0
Kilt Lifter Scottish-Style Ale (2009),Scottish Ale,857,839,1.0
Sunbru Kölsch,Kölsch,858,834,2.0
Four String Vanilla Porter,American Porter,859,840,1.0
Suncaster Summer Wheat,American Pale Wheat Ale,860,841,1.0
Brass Knuckle Pale Ale,American Pale Ale (APA),861,842,1.0
Big Star White IPA,American White IPA,862,843,1.0
Old Detroit,American Amber / Red Ale,863,844,1.0
Batch 69 IPA,American IPA,864,845,1.0
Twisted Helles Summer Lager,Munich Helles Lager,865,846,1.0
OktoberFiesta,,866,847,
Texicali,American Brown Ale,867,848,1.0
Pinata Protest,Witbier,868,849,1.0
Bat Outta Helles,Munich Helles Lager,869,850,1.0
Original,American Amber / Red Ale,870,851,1.0
Rye Wit,Witbier,871,852,1.0
Soul Doubt,American IPA,872,853,1.0
Yo Soy Un Berliner,Berliner Weissbier,873,854,1.0
77 Fremont Select Spring Session IPA,American IPA,874,855,1.0
Fremont Organic Pale Ale,American Pale Ale (APA),875,856,1.0
Abominable Ale,English Strong Ale,876,857,1.0
Harvest Ale,Saison / Farmhouse Ale,877,858,1.0
Fremont Summer Ale,American Pale Ale (APA),878,859,1.0
Universale Pale Ale,American Pale Ale (APA),879,860,1.0
Interurban IPA,American IPA,880,861,1.0
Gateway Kolsch Style Ale,Kölsch,881,862,1.0
Wee-Heavy-Er Scotch Ale,Scotch Ale / Wee Heavy,882,863,1.0
13 Rebels ESB,Extra Special / Strong Bitter (ESB),883,864,1.0
Salamander Slam,American IPA,884,865,1.0
Cack-A-Lacky,American Pale Ale (APA),885,866,1.0
No Wake IPA,American IPA,886,867,1.0
Boathouse Blonde,American Blonde Ale,887,868,1.0
Cedar Point,American Amber / Red Ale,888,869,1.0
Clean Shave IPA,American IPA,889,870,1.0
Might As Well IPL,American Pale Lager,890,871,1.0
Saison Pamplemousse,Saison / Farmhouse Ale,891,872,1.0
2020 IPA,American IPA,892,873,1.0
Wolf Among Weeds IPA,American IPA,893,874,1.0
Better Weather IPA,American IPA,894,875,1.0
Point the Way IPA,American IPA,895,876,2.0
Golden Road Hefeweizen,Hefeweizen,896,877,1.0
Heal the Bay IPA,American IPA,897,878,1.0
Point the Way IPA,American IPA,898,876,2.0
Cabrillo Kölsch,Kölsch,899,879,1.0
Get Up Offa That Brown,American Brown Ale,900,880,1.0
Burning Bush Smoked IPA,American IPA,901,881,1.0
Wolf Among Weeds IPA (2012),American IPA,902,882,1.0
Point the Way IPA (2012),American IPA,903,883,1.0
Golden Road Hefeweizen (2012),Hefeweizen,904,884,1.0
Vanilla Porter,American Porter,905,885,2.0
Descender IPA,American IPA,906,886,1.0
Sweet As Pacific Ale,American Pale Wheat Ale,907,887,1.0
Good People Pale Ale,American Pale Ale (APA),908,888,1.0
Snake Handler Double IPA,American Double / Imperial IPA,909,889,1.0
Coffee Oatmeal Stout,Oatmeal Stout,910,890,1.0
Good People IPA,American IPA,911,891,1.0
Good People American Brown Ale,American Brown Ale,912,892,1.0
Mountain Rescue Pale Ale,American Pale Ale (APA),913,893,1.0
Goose Island India Pale Ale,American IPA,914,894,1.0
312 Urban Pale Ale,American Pale Ale (APA),915,895,2.0
312 Urban Pale Ale,American Pale Ale (APA),916,895,2.0
312 Urban Wheat Ale,American Pale Wheat Ale,917,896,2.0
312 Urban Wheat Ale,American Pale Wheat Ale,918,896,2.0
312 Urban Wheat Ale (2012),American Pale Wheat Ale,919,897,1.0
Beaver Logger,American Pale Lager,920,898,1.0
White Water Wheat,American Pale Wheat Ale,921,899,1.0
Grand Canyon American Pilsner,American Pilsner,922,900,1.0
Grand Canyon Sunset Amber Ale,American Amber / Red Ale,923,901,1.0
Black Iron India Pale Ale,American IPA,924,902,1.0
Monarch Classic American Wheat,American Pale Wheat Ale,925,903,1.0
Sir William's English Brown Ale,English Brown Ale,926,904,1.0
Lakefire Rye Pale Ale,American Pale Ale (APA),927,905,1.0
Beer Agent Re-Ignition,American Blonde Ale,928,906,1.0
Cherry Ale,Fruit / Vegetable Beer,929,907,1.0
Bourbon Barrel Aged Coconut Porter,American Porter,930,908,1.0
Great Crescent IPA,American IPA,931,909,1.0
Aurora Lager,Dortmunder / Export Lager,932,910,1.0
Great Crescent Blonde Ale,American Blonde Ale,933,911,1.0
Great Crescent Coconut Porter,American Porter,934,912,1.0
Great Crescent Oktoberfest Lager,Märzen / Oktoberfest,935,913,1.0
Great Crescent Brown Ale,American Brown Ale,936,914,1.0
Cherry Ale (1),Fruit / Vegetable Beer,937,915,1.0
Aurora Lager (2011),Dortmunder / Export Lager,938,916,1.0
Frosted Fields Winter Wheat,American Dark Wheat Ale,939,917,1.0
Great Crescent Belgian Style Wit,Witbier,940,918,1.0
Bourbon's Barrel Stout,American Stout,941,919,1.0
Great Crescent Stout,English Stout,942,920,1.0
Great Crescent Coconut Porter (2012),American Porter,943,921,1.0
Great Crescent Dark Lager,Euro Dark Lager,944,922,1.0
Great Crescent Mild Ale,English Dark Mild Ale,945,923,1.0
Great Crescent IPA (2011),American IPA,946,924,1.0
Great Crescent Blonde Ale (2011),American Blonde Ale,947,925,1.0
Denver Pale Ale (Artist Series No. 1),American Pale Ale (APA),948,926,1.0
Hibernation Ale,Old Ale,949,927,1.0
Whitewater,American Pale Wheat Ale,950,928,1.0
Rumble,American IPA,951,929,1.0
Orabelle,Tripel,952,930,1.0
Lasso,American IPA,953,931,1.0
Yeti  Imperial Stout,Russian Imperial Stout,954,932,1.0
Colette,Saison / Farmhouse Ale,955,933,1.0
Titan IPA,American IPA,956,934,1.0
Black Star Double Hopped Golden Lager (24 oz.),American Pale Lager,957,935,1.0
Black Star Double Hopped Golden Lager (12 oz.),American Pale Lager,958,936,1.0
Commotion APA,American Pale Ale (APA),959,937,1.0
Southern Drawl Pale Lager,American Pale Lager,960,938,1.0
Chickawawa Lemonale,Fruit / Vegetable Beer,961,939,1.0
Barrel Aged Farmer,American Brown Ale,962,940,1.0
Great River Golden Ale,American Blonde Ale,963,941,1.0
Dirty Blonde Chocolate Ale,American Blonde Ale,964,942,1.0
Dos Pistolas,Vienna Lager,965,943,1.0
Owney Irish Style Red Ale,Irish Red Ale,966,944,1.0
Aaah Bock Lager,Vienna Lager,967,945,1.0
Widespread Wit,Witbier,968,946,1.0
Roller Dam Red Ale,Irish Red Ale,969,947,1.0
483 Pale Ale,American Pale Ale (APA),970,948,1.0
Hop A Potamus Double Dark Rye Pale Ale,Rye Beer,971,949,1.0
Farmer Brown Ale,American Brown Ale,972,950,1.0
Big Cock IPA,American IPA,973,951,1.0
Oktoberfest,Märzen / Oktoberfest,974,573,6.0
40th Annual Bix Street Fest Copper Ale (Current),American Amber / Red Ale,975,952,1.0
Redband Stout,American Stout,976,953,1.0
483 Pale Ale (2010),American Pale Ale (APA),977,954,1.0
Roller Dam Red Ale (2010),Irish Red Ale,978,955,1.0
Pablo Beach Pale Ale,American Pale Ale (APA),979,956,1.0
Wild Trail Pale Ale,American Pale Ale (APA),980,957,1.0
Mothman Black IPA,American Black Ale,981,958,1.0
Autumn Winds Fest Beer,Märzen / Oktoberfest,982,959,1.0
Captain's Daughter,American Double / Imperial IPA,983,960,1.0
Autumn Winds,Märzen / Oktoberfest,984,961,1.0
Flying Jenny Extra Pale Ale,American Pale Ale (APA),985,962,1.0
Hazy Day Belgian-Style Wit,Witbier,986,963,1.0
Bring Back the Beach Blonde Ale,American Blonde Ale,987,964,1.0
Leaning Chimney Smoked Porter,American Porter,988,965,1.0
Flying Jenny Extra Pale Ale (2012),American Pale Ale (APA),989,966,1.0
Flagship Ale,Cream Ale,990,967,1.0
Mr. Blue Sky,American Pale Wheat Ale,991,968,1.0
3 Scrooges,Winter Warmer,992,969,1.0
Screamin’ Pumpkin,Pumpkin Ale,993,970,1.0
Grand Trunk Bohemian Pils,Czech Pilsener,994,971,1.0
El Rojo,American Amber / Red Ale,995,972,1.0
Norm's Raggedy Ass IPA,American IPA,996,973,1.0
Grind Line,American Pale Ale (APA),997,974,1.0
Norm's Gateway IPA,American IPA,998,975,1.0
Lemon Shandy Tripel,Tripel,999,976,1.0
Little Red Cap,Altbier,1000,977,1.0
Supergoose IPA,American IPA,1001,978,1.0
Hale's Pale American Ale,American Pale Ale (APA),1002,979,1.0
Heyoka IPA,American IPA,1003,980,1.0
Guest Lager,American Double / Imperial Pilsner,1004,981,1.0
Pony Pilsner,German Pilsener,1005,982,1.0
Akari Shogun American Wheat Ale,American Pale Wheat Ale,1006,983,1.0
Meat Wave,English India Pale Ale (IPA),1007,984,1.0
Over Ale,American Brown Ale,1008,985,1.0
Gossamer Golden Ale,American Blonde Ale,1009,986,1.0
Daisy Cutter Pale Ale,American Pale Ale (APA),1010,987,1.0
Pursuit,American IPA,1011,988,1.0
Half Full Bright Ale,American Blonde Ale,1012,989,1.0
Orange Wheat,Fruit / Vegetable Beer,1013,990,1.0
Hangar 24 Helles Lager,Munich Helles Lager,1014,991,1.0
The Great Return,American IPA,1015,992,1.0
Hardywood Cream Ale,Cream Ale,1016,993,1.0
Capital Trail Pale Ale,American Pale Ale (APA),1017,994,1.0
UFO Gingerland,Herbed / Spiced Beer,1018,995,1.0
The Long Thaw White IPA,American White IPA,1019,996,1.0
Honey Cider,Cider,1020,997,1.0
Harpoon Summer Beer,Kölsch,1021,998,1.0
Harpoon IPA,American IPA,1022,999,1.0
UFO Pumpkin,Pumpkin Ale,1023,1000,1.0
