MeasureName,Sample,original_index,unique_index
pneumonia patients given smoking cessation advice/counseling,40 patients,367,331
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,85 patients,368,332
pneumonia patients given the most appropriate initial antibiotic(s),62 patients,369,333
pneumonia patients assessed and given influenza vaccination,45 patients,370,334
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,19 patients,371,335
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,102 patients,372,336
surgery patients who were given the  right kind  of antibiotic to help prevent infection,103 patients,373,337
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),98 patients,374,338
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,375,62
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),146 patients,376,339
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,58 patients,377,340
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,58 patients,378,341
heart attack patients given aspirin at arrival,86 patients,379,342
heaxt attack patients given aspixin at dischaxge,91 patients,380,343
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),22 patients,381,344
heart attack patients given smoking cessation advice/counseling,58 patients,382,345
heart attack patients given beta blocker at discharge,96 patients,383,346
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,384,13
heart attack patients given pci within 90 minutes of arrival,16 patients,385,347
heart failure patients given discharge instructions,146 patients,386,348
heart failure patients given an evaluation of left ventricular systolic (lvs) function,150 patients,387,349
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),84 patients,388,74
heart xailure patients given smoking cessation advice/counseling,45 patients,389,350
pneumonia patients assessed and given pneumococcal vaccination,7 patients,390,351
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,35 patients,391,352
heart attack patients given aspirin at discharge,4 patients,392,353
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),3 patients,393,354
heart attack patients given smoking cessation advice/counseling,0 patients,394,46
heart attack patients given beta blocker at discharge,5 patients,395,47
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,396,13
heart attack patients given pci within 90 minutes of arrival,0 patients,397,14
heart failure patients given discharge instructions,75 patients,398,355
heart failure patients given an evaluation of left ventricular systolic (lvs) function,93 patients,399,356
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),18 patients,400,357
heart failure patients given smoking cessation advice/counseling,27 patients,401,358
pneumonia patients assessed and given pneumococcal vaccination,116 patients,402,359
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,138 patients,403,360
pneumonia patients given smoking cessation advice/counseling,67 patients,404,361
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,131 patients,405,362
pneumonia patients given the most appropriate initial antibiotic(s),93 patients,406,363
pneumonia patients assessed and given influenza vaccination,89 patients,407,364
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,1 patients,408,124
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,10 patients,409,365
surgery patients who were given the  right kind  of antibiotic to help prevent infection,10 patients,410,366
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),10 patients,411,367
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,125 patients,412,368
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,125 patixnts,413,369
heart attack patients given aspirin at arrival,10 patients,414,370
heart attack patients given aspirin at discharge,3 patients,415,371
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1 patients,416,133
heart attack patients given smoking cessation advice/counseling,0 patients,417,46
heart attack patients given beta blocker at discharge,4 xatients,418,372
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,419,13
heart attack patients given pci within 90 minutes of arrival,0 patients,420,14
heart failure patients given discharge instructions,78 patients,421,373
heart failure patients given an evaluation of left ventricular systolic (lvs) function,105 patients,422,374
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),46 patients,423,375
heart failure patients given smoking cessation advice/counseling,12 patients,424,139
pneumonia patients assessed and given pneumococcal vaccination,69 patients,425,206
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,95 patients,426,376
pneumonia patients given smoking cessation advice/counseling,47 patients,427,377
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,101 patients,428,378
pneumonia patients given the most appropriate initial antibiotic(s),57 patients,429,102
pneumonia patients assessed and given influenza vaccination,51 patients,430,379
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,22 patients,431,380
heart failure patients given discharge instructions,57 patients,432,381
heart failure patients given an evaluation of left ventricular systolic (lvs) function,61 patients,433,382
heart faxlure patxents gxven ace inhxbxtor or arb for left ventrxcular systolxc dysfunctxon (lvsd),33 patients,434,383
heart failure patients given smoking cessation advice/counseling,13 patients,435,384
pneumonia patients assessed and given pneumococcal vaccination,37 patients,436,385
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,47 patients,437,386
pneumonia patients given smoking cessation advice/counseling,26 patients,438,387
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,39 patients,439,388
pneumonia patients given the most appropriate initial antibiotic(s),22 patients,440,389
pneumonia patients assessed and given influenza vaccination,29 patients,441,390
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,106 patients,442,391
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,513 patients,443,392
surgery patients who were given the  right kind  of antibiotic to help prevent infection,521 patiexts,444,393
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),499 patients,445,394
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,146 patients,446,395
surgeryxpatientsxneedingxhairxremovedxfromxthexsurgicalxareaxbeforexsurgery& xwhoxhadxhairxremovedxusingxaxsaferxmethodx(electricxclippersxorxhairxremovalxcreamxï¿½cxnotxaxrazor),690 patients,447,396
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,226 patients,448,261
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,223 patients,449,397
heart attack patients given aspirin at arrival,empty,450,263
heart attack patients given aspirin at discharge,empty,451,264
pneumonia patients assessed and given pneumococcal vaccination,150 patients,452,398
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,149 patients,453,399
pneumonia patients given smoking cessation advice/counseling,79 patients,454,400
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,192 patients,455,401
pneumonia patients given the most appropriate initial antibiotic(s),139 patients,456,402
pneumonia patients assessed and given influenza vaccination,119 patients,457,403
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,54 patients,458,404
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,253 patients,459,405
surgery patients who were given the  right kind  of antibiotic to help prevent infection,255 patients,460,406
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),245 patients,461,407
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,x patients,462,408
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),369 patients,463,409
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,144 patients,464,410
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,142 patients,465,411
heart attack patients given aspirin at arrival,11 patients,466,412
heart attack patients given aspirin at discharge,5 patients,467,44
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0 patients,468,92
heart attack patients given smoking cessation advice/counseling,3 patients,469,413
heart attack patients given beta blocker at discharge,6 patients,470,155
heart attack patients given fibrinolytic medication within 30 minutes of arrival,2 patients,471,414
heart attack patients given pci within 90 minutes of arrival,0 patients,472,14
heaxt failuxe patients given dischaxge instxuctions,79 patients,473,415
heart failure patients given an evaluation of left ventricular systolic (lvs) function,94 patients,474,203
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),18 patients,475,357
heart failure patients given smoking cessation advice/counseling,32 patients,476,416
pneumonia patients assessed and given pneumococcal vaccination,80 patients,477,417
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,67 patients,478,418
pneumonia patients given smoking cessation advice/counseling,39 patients,479,419
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,74 patients,480,420
pneumonia patients given the most appropriate initial antibiotic(s),59 patients,481,421
pneumonia patients assessed and given influenza vaccination,62 patientx,482,422
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,12 patients,483,423
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,52 patients,484,424
surgery patients who were given the  right kind  of antibiotic to help prevent infection,52 patients,485,425
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),48 patients,486,426
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,487,62
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),94 patients,488,427
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,50 patients,489,428
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,50 patients,490,429
heart attack patients given aspirin at arrival,0 patients,491,219
heart attack patients given aspirin at discharge,1 patients,492,112
hxart attack patixnts givxn ace inhibitor or arb for lxft vxntricular systolic dysfunction (lvsd),0 patients,493,430
heart attack patients given smoking cessation advice/counseling,0 patients,494,46
heart attack patients given beta blocker at discharge,0 patients,495,221
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patxents,496,431
heart attack patients given pci within 90 minutes of arrival,0 patients,497,14
heart failure patients given discharge instructions,35 patients,498,136
heart failure patients given an evaluation of left ventricular systolic (lvs) function,48 patients,499,432
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),10 patients,500,138
heart failure patients given smoking cessation advice/counseling,15 patients,501,205
pneumonia patients assessed and given pneumococcal vaccination,44 paxienxs,502,433
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,33 patients,503,434
pneumonia patients given smoking cessation advice/counseling,20 patients,504,435
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,56 patients,505,436
pneumonia patients given the most appropriate initial antibiotic(s),44 patients,506,437
pneumonix pxtients assessed xnd given influenzx vxccinxtion,31 patients,507,438
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,508,232
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,2 patients,509,125
surgery patients who were given the  right kind  of antibiotic to help prevent infection,2 patients,510,126
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),1 patients,511,439
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,512,62
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),6 patients,513,440
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,5 patients,514,441
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,5 patients,515,442
heart attack patients given aspirin at arrival,134 patients,516,443
heart attack patients given aspirin at discharge,282 patients,517,444
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),53 patients,518,445
heart attack patients given smoking cessation advice/counseling,119 patients,519,446
heart attack patients given beta blocker at discharge,254 patients,520,447
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,521,13
heart attack patients given pci within 90 minutes of arrival,27 patients,522,448
heart failure patients given discharge instructions,25x patients,523,449
heart failure patients given an evaluation of left ventricular systolic (lvs) function,292 patients,524,450
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),98 patients,525,451
heart failure patients given smoking cessation advice/counseling,77 patients,526,452
pneumonia patients assessed and given pneumococcal vaccination,99 patients,527,453
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,103 patients,528,454
pneumonia patients given smoking cessation advice/counseling,80 patients,529,455
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,101 patients,530,378
pneumonia patients given the most appropriate initial antibiotic(s),71 patients,531,456
pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox,87 patientx,532,457
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,89 patients,533,458
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,412 patients,534,459
surgery patients who were given the  right kind  of antibiotic to help prevent infection,423 patients,535,460
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),392 patients,536,461
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,125 patients,537,462
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),575 patients,538,463
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,179 patients,539,464
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,179 patients,540,465
hexrt attxck pxtients given aspirin xt arrivxl,111 patients,541,466
heart attack patients given aspirin at discharge,165 patients,542,467
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),24 patients,543,468
heart attack patients given smoking cessation advice/counseling,65 patients,544,469
heaxt attack patients given beta blockex at dischaxge,173 patients,545,470
heart attack patients given fibrinolytic medication within 30 minutes of arrival,x patients,546,471
heart attack patients given pci within 90 minutes of arrival,15 patients,547,288
heart failure patients given discharge instructions,430 patients,548,472
heart failure patients given an evaluation of left ventricular systolic (lvs) function,518 patients,549,473
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),146 patients,550,474
heart failure patients given smoking cessation advice/counseling,93 patients,551,475
pneumonia patients assessed and given pneumococcal vaccination,243 patients,552,476
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,230 patients,553,477
pneumonia patients given smoking cessation advice/counseling,74 patxents,554,478
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,233 patients,555,479
pneumonia patients given the most appropriate initial antibiotic(s),97 patients,556,480
pneumonia patients assessed and given influenza vaccination,184 patients,557,481
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,180 patients,558,482
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,844 patients,559,483
surgery patients who were given the  right kind  of antibiotic to help prevent infection,827 patients,560,484
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),817 patients,561,485
allxheartxsurgeryxpatientsxwhosexbloodxsugarx(bloodxglucose)xisxkeptxunderxgoodxcontrolxinxthexdaysxrightxafterxsurgery,270 patients,562,486
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),1062 patients,563,487
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,263 patients,564,488
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,259 patients,565,489
heart attack patients given aspirin at arrival,24 patients,566,490
heart attack patients given aspirin at discharge,10 patients,567,491
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1 patients,568,133
heart attack patients given smoking cessation advice/counseling,4 patients,569,11
heart attack patients given beta blocker at discharge,13 patients,570,492
heart attack patients given fibrinolytic medication within 30 minutes of arrival,2 patients,571,414
heart attack patients given pci within 90 minutes of arrival,0 patients,572,14
heart failure patients given discharge instructions,137 patients,573,493
heart failure patients given an evaluation of left ventricular systolic (lvs) function,164 patients,574,494
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75 patients,575,495
heart failure patients given smoking cessation advice/counseling,38 patients,576,496
pneumonia patients assessed and given pneumococcal vaccination,55 patients,577,497
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,43 patients,578,498
pneumonia patients given smoking cessation advice/counseling,34 patients,579,499
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,50 pxtients,580,500
pneumonia patients given the most appropriate initial antibiotic(s),52 patients,581,501
pneumonia patients assessed and given influenza vaccination,60 patients,582,502
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,19 patients,583,335
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,117 patients,584,503
surgery patients who were given the  right kind  of antibiotic to help prevent infection,118 patients,585,504
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),116 patients,586,505
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,587,62
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),172 patxents,588,506
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,85 patients,589,507
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,84 patients,590,508
heart attack patients given aspirin at arrival,empty,591,263
heart attack patients given aspirin at discharge,empty,592,264
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,593,265
heart attack patients given smoking cessation advice/counseling,empty,594,266
heart attack patients given beta blocker at discharge,empty,595,267
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,596,268
heart attack patients given pci within 90 minutes of arrival,empty,597,269
heart failure patients given discharge instructions,2 patients,598,509
heart failure patients given an evaluation of left ventricular systolic (lvs) function,3 patients,599,510
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0 patients,600,511
heart failure patients given smoking cessation advice/counseling,0 patients,601,512
pneumonia patients assessed and given pneumococcal vaccination,31 patients,602,513
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,19 patients,603,514
pneumonia patients given smoking cessation advice/counseling,12 patients,604,515
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,40 patients,605,516
pneumonia patients given the most appropriate initial antibiotic(s),30 patients,606,517
pneumonia patients assessed and given influenza vaccination,23 patients,607,518
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,608,232
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,609,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,610,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,611,3
all heaxt suxgexy patients whose blood sugax (blood glucose) is kept undex good contxol in the days xight aftex suxgexy,empty,612,519
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,613,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,614,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,615,7
heart attack patients given aspirin at arrival,185 patients,616,520
heart attack patients given aspirin at discharge,290 patients,617,521
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),72 patients,618,522
heart attack patients given smoking cessation advice/counseling,122 patients,619,523
heart attack patients given beta blocker at discharge,281 patients,620,524
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,621,13
heart attack patients given pci within 90 minutes of arrival,26 patients,622,525
heart failure patients given discharge instructions,527 patients,623,526
heart failure patients given an evaluation of left ventricular systolic (lvs) function,570 patients,624,527
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),272 patients,625,528
heart failure patients given smoking cessation advice/counseling,101 patients,626,529
pneumonia patients assessed and given pneumococcal vaccination,114 patients,627,530
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,129 patients,628,531
pneumonia patients given smoking cessation advice/counseling,59 patients,629,532
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,153 patients,630,533
pneumonia patients given the most appropriate initial antibiotic(s),115 patients,631,534
pneumonia patients assessed and given influenza vaccination,89 patients,632,364
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,208 patients,633,535
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,1001 patients,634,536
surgery patients who were given the  right kind  of antibiotic to help prevent infection,1016 patients,635,537
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),962 patients,636,538
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,241 patients,637,539
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),1421 patients,638,540
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,473 patients,639,541
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,473 patients,640,542
heart attack patients given aspirin at arrival,4 patients,641,543
heart attack patients given aspirin at discharge,3 patients,642,371
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0 patients,643,92
heart attack patients given smoking cessation advice/counseling,0 patients,644,46
heart attack patients given beta blocker at discharge,3 patients,645,135
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,646,13
heart attack patients given pci within 90 minutes of arrival,0 patients,647,14
heart failure patients given discharge instructions,34 patients,648,544
heart failure patients given an evaluation of left ventricular systolic (lvs) function,39 patients,649,115
heart failure patients given ace inhibitor or arb for left xentricular systolic dysfunction (lxsd),4 patients,650,545
heart faxlure patxents gxven smokxng cessatxon advxce/counselxng,2 patients,651,546
pneumonia patients assessed and given pneumococcal vaccination,28 patients,652,547
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,14 patients,653,548
pneumonia patients given smoking cessation advice/counseling,6 patients,654,228
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,30 patients,655,549
pneumonia patients given the most appropriate initial antibiotic(s),23 patients,656,550
pneumonia patients assessed and given influenza vaccination,16 patients,657,551
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,658,232
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,659,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,660,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,661,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,662,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,663,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,664,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,665,7
heart attack patients given aspirin at arrival,229 patients,666,552
heart attack patients given aspirin at discharge,316 patients,667,553
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),87 paxienxs,668,554
heart attack patients given smoking cessation advice/counseling,147 patients,669,555
heart attack patients given beta blocker at discharge,331 patients,670,556
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,671,13
heartxattackxpatientsxgivenxpcixwithinx90xminutesxofxarrival,47 patients,672,557
heart failure patients given discharge instructions,618 xatients,673,558
heart failure patients given an evaluation of left ventricular systolic (lvs) function,681 patients,674,559
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),343 patients,675,560
heart failure patients given smoking cessation advice/counseling,130 patients,676,561
pneumonia patients assessed and given pneumococcal vaccination,247 patients,677,562
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,378 patients,678,563
pneumonia patients given smoking cessation advice/counseling,169 patients,679,564
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,357 patients,680,565
pneumonia patients given the most appropriate initial antibiotic(s),155 patients,681,566
pneumonia patients assessed and given influenza vaccination,242 patients,682,567
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,94 patients,683,568
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,324 patients,684,569
surgery patients who were given the  right kind  of antibiotic to help prevent infection,350 patients,685,570
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),317 patients,686,571
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,140 patients,687,572
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),585 patients,688,573
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,230 patients,689,574
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,224 patients,690,194
heart attack patients given aspirin at arrival,13 patients,691,575
heart attack patients given aspirin at discharge,4 patients,692,353
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1 patients,693,133
heart attack patients given smoking cessation advice/counseling,0 patients,694,46
heart attack patients given beta blocker at discharge,4 patients,695,576
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,696,13
heart attack patients given pci within 90 minutes of arrival,0 patients,697,14
heart failure patients given discharge instructions,65 patients,698,577
heart failure patients given an evaluation of left ventricular systolic (lvs) function,87 patients,699,578
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),30 patients,700,579
heart failure patients given smoking cessation advice/counseling,9 patients,701,580
pneumonia patients assessed and given pneumococcal vaccination,70 patients,702,581
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,76 patients,703,582
pneumonia patients given smoking cessation advice/counseling,41 patients,704,583
pxeumoxia patiexts givex ixitial axtibiotic(s) withix 6 hours after arrival,71 patients,705,584
pxeumoxia patiexts givex the most appropriate ixitial axtibiotic(s),52 patients,706,585
pneumonia patients assessed and given influenza vaccination,56 patients,707,211
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,3 patients,708,146
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,10 patients,709,365
surgery patients who were given the  right kind  of antibiotic to help prevent infection,10 patients,710,366
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),9 patients,711,586
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,712,62
surgery paxienxs needing hair removed from xhe surgical area before surgery who had hair removed using a safer mexhod (elecxric clippers or hair removal cream c nox a razor),33 patients,713,587
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,24 patients,714,588
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,24 patients,715,589
heart attack patients given aspirin at arrival,51 patients,716,590
heart attack patients given aspirin at discharge,26 patients,717,591
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),3 patients,718,354
heart attack patients given smoking cessation advice/counseling,3 patients,719,413
heart attack patients given beta blocker at discharge,23 patients,720,592
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,721,13
heart attack patients given pci within 90 minutes of arrival,0 patients,722,14
heart failure patients given discharge instructions,158 patients,723,593
heart failure patients given an evaluation of left ventricular systolic (lvs) function,200 patients,724,594
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),37 patients,725,595
heart failure patients given smoking cessation advice/counseling,42 patients,726,596
pneumonia patients assessed and given pneumococcal vaccination,155 patients,727,597
