beer_name,abv,original_index,unique_index,count
Invasion Pale Ale,0.05%,616,605,1.0
Maduro Brown Ale,0.055,617,606,1.0
Maduro Brown Ale,0.055%,618,607,1.0
Hotter Than Helles Lager,0.05%,619,608,1.0
Tocobaga Red Ale,0.07200000000000001%,620,609,1.0
Jai Alai IPA,0.075,621,610,1.0
Florida Cracker Belgian Wit,0.05%,622,611,1.0
Shark Tracker Light lager,0.048,623,612,1.0
Pumple Drumkin,0.06,624,613,1.0
Grey Lady,0.045,625,614,1.0
Summer of Lager,0.062%,626,615,1.0
Indie Pale Ale,0.065,627,616,1.0
Sankaty Light Lager,0.038%,628,617,1.0
Whale's Tale Pale Ale,0.055999999999999994%,629,618,1.0
Jacaranada Rye IPA,0.067,630,619,1.0
Cascadian Dark Ale,0.06%,631,620,1.0
Wheat the People,0.044,632,621,1.0
Tybee Island Blonde,0.047,633,622,1.0
Savannah Brown Ale,0.062,634,623,1.0
Rhode Island Blueberry,0.046,635,624,1.0
Newport Storm IPA,0.065,636,625,1.0
Hurricane Amber Ale (2004),0.052,637,626,1.0
Hurricane Amber Ale,0.052,638,627,1.0
Big Blue Van,0.058,639,628,1.0
Des Moines IPA,0.068,640,629,1.0
Capital Gold Golden Lager,0.048,641,630,1.0
Farmer John's Multi-Grain Ale,0.056,642,631,1.0
Behemoth,0.05,643,632,1.0
Arkansas Red,0.052,644,633,1.0
Core Oatmeal Stout,0.057,645,634,1.0
Core ESB,0.061,646,635,1.0
Chester's Beer (2005),0.038,647,636,1.0
Heiner Brau Kölsch,0.05%,648,637,1.0
Trigger Blonde Ale,0.048%,649,638,1.0
Crabtree Oatmeal Stout,0.075%,650,639,1.0
Eclipse Black IPA,0.077,651,640,1.0
Neomexicanus Native,0.06,652,641,1.0
Old Soul,0.075%,653,642,1.0
Snowcat Coffee Stout,0.059,654,643,1.0
WinterWonderGrass Festival Ale,,655,644,
Boohai Red Ale,,656,645,
Lava Lake Wit,0.052,657,646,1.0
Mountain Livin' Pale Ale,0.06,658,647,1.0
Crazy Mountain Amber Ale,0.052,659,648,1.0
Tropicalia,0.065,660,649,1.0
Athena,0.045%,661,650,1.0
Aviator Raspberry Blonde,0.049%,662,651,1.0
3 Picket Porter,0.055%,663,652,1.0
Rusty Nail Pale Ale,0.056,664,653,1.0
Red Water Irish Style Red,0.065,665,654,1.0
Mjöllnir,0.066,666,655,1.0
Bear Butte Nut Brown Ale,0.055%,667,656,1.0
Easy Livin' Summer Ale,0.045,668,657,1.0
Canyon Cream Ale,0.055%,669,658,1.0
Pile O'Dirt Porter,0.069,670,659,1.0
11th Hour IPA,0.06,671,660,1.0
South Ridge Amber Ale,0.06%,672,661,1.0
Summertime Ale,0.052,673,662,1.0
Lost River Blonde Ale,0.049%,674,663,1.0
Monon Wheat,0.054,675,664,1.0
Floyd's Folly,0.08,676,665,1.0
Half Court IPA,0.063,677,666,1.0
Geary's Pale Ale,0.045%,678,667,1.0
Geary's Summer Ale,0.06%,679,668,1.0
Stone of Arbroath,0.08,680,669,1.0
The Tradition,0.05%,681,670,1.0
El Hefe Speaks,0.053,682,671,1.0
Penn Quarter Porter,0.055,683,672,1.0
On the Wings of Armageddon,0.092,684,673,1.0
The Corruption,0.065%,685,674,1.0
The Citizen,0.07,686,675,1.0
The Public,0.06,687,676,1.0
Dank IPA,0.065%,688,677,1.0
Dank IPA (2012),0.065%,689,678,1.0
Lift Off IPA,0.07200000000000001%,690,679,1.0
BrewFarm Select Golden Lager,0.055,691,680,1.0
Sprocket Blonde Ale (2006),0.05,692,681,1.0
Sprocket Pale Ale (2006),0.05,693,682,1.0
Dead Armadillo Amber Ale,0.063%,694,683,1.0
Neato Bandito,0.06%,695,684,1.0
Oak Cliff Coffee Ale,0.075%,696,685,1.0
Dream Crusher Double IPA,0.085,697,686,1.0
Deep Ellum Pale Ale,0.06%,698,687,1.0
Double Brown Stout,0.07,699,688,1.0
Farmhouse Wit,0.048,700,689,1.0
Rye Pils Session Lager,0.046,701,690,1.0
Dallas Blonde,0.052000000000000005%,702,691,1.0
Deep Ellum IPA,0.07,703,692,1.0
Thrasher Session India Pale Ale,0.045,704,693,1.0
Gutch English Style Mild Ale,0.05,705,694,1.0
Chuli Stout,0.059,706,695,1.0
Mother Ale,0.056,707,696,1.0
Twister Creek India Pale Ale,0.065,708,697,1.0
Single Engine Red,0.058,709,698,1.0
Incredible Pedal IPA,0.07,710,699,1.0
Graham Cracker Porter,0.05%,711,700,1.0
Mirror Pond Pale Ale,0.05%,712,701,1.0
Weissenheimer,0.052000000000000005%,713,702,1.0
Abbey's Single (2015- ),0.049%,714,703,1.0
Vertex IPA,0.063%,715,704,1.0
Here Gose Nothin',0.05,716,705,1.0
Strawberry Blonde,0.05%,717,706,1.0
Hoperation Overload,0.096,718,707,1.0
Abbey's Single Ale (Current),0.049%,719,708,1.0
Bravo Four Point,0.044000000000000004%,720,709,1.0
Striped Bass Pale Ale,0.052,721,710,1.0
Deadicated Amber,0.054000000000000006%,722,711,1.0
Kaleidoscope Collaboration 2012,,723,712,
California Sunshine Rye IPA,0.071,724,713,1.0
Full Boar Scotch Ale,0.074,725,714,1.0
12 Man Pale Ale,0.045%,726,715,1.0
Filthy Hoppin' IPA,0.065%,727,716,1.0
Dock Street Amber Beer (1992),,728,717,
Dolores River Hefeweizen,,729,718,
Dolores River ESB,,730,719,
Snaggletooth Double Pale Ale,,731,720,
Dolores River Pale Ale,,732,721,
Dolores River Dry Stout,,733,722,
Dolores River Mild,,734,723,
Cranberry Blend,0.049,735,724,1.0
Orignal Blend,0.051,736,725,1.0
Hop Abomination,0.066%,737,726,1.0
Apricot Blonde,0.051,738,727,1.0
Dry Dock Hefeweizen,0.043,739,728,1.0
Dry Dock Amber Ale,0.057999999999999996%,740,729,1.0
Category 3 IPA,0.061%,741,730,1.0
Dundee Summer Wheat Beer,0.045%,742,731,1.0
Pumpkin Patch Ale,0.05,743,732,1.0
Crank Yanker IPA,0.078,744,733,1.0
River Runners Pale Ale,0.06,745,734,1.0
Pumpkin Patch Ale (2012),0.05,746,735,1.0
Mountain Fairy Raspberry Wheat,0.055,747,736,1.0
Boater Beer,0.045,748,737,1.0
Crank Yanker IPA (2011),0.078,749,738,1.0
Bleeding Buckeye Red Ale,0.057%,750,739,1.0
Dottie Seattle Lager,0.049,751,740,1.0
Nut Sack Imperial Brown Ale,0.07,752,741,1.0
Underachiever,0.05%,753,742,1.0
Lil' Brainless Raspberries,0.052,754,743,1.0
Element 29,0.052,755,744,1.0
Hop Syndrome,0.05%,756,745,1.0
Escape to Colorado,0.062,757,746,1.0
Little Sister India Style Session Ale,0.043%,758,747,1.0
Country Boy IPA,0.062,759,748,1.0
Blonde Czich,0.049%,760,749,1.0
White Reaper,0.07%,761,750,1.0
Bobblehead,0.051,762,751,1.0
Lucky Dog,0.052,763,752,1.0
Voodoo,0.048,764,753,1.0
General George Patton Pilsner,0.054,765,754,1.0
Nomader Weiss,0.04%,766,755,1.0
Molotov Lite,0.085,767,756,1.0
Hipster Ale (Two Roads Brewing),0.055,768,757,1.0
Bikini Beer,0.027000000000000003%,769,758,1.0
Hipster Ale (Westbrook Brewing),0.055%,770,759,1.0
Iron Horse Pale Ale,0.05,771,760,1.0
Stone's Throw IPA,0.045,772,761,1.0
Wood Chipper India Pale Ale,0.067,773,762,1.0
Trail Head,0.063%,774,763,1.0
Hop Stalker Fresh Hop IPA,0.07,775,764,1.0
Sudice American Stout,0.07,776,765,1.0
Parcae Belgian Style Pale Ale,0.05%,777,766,1.0
Norns Roggenbier,0.05,778,767,1.0
Laimas Kölsch Style Ale,0.05,779,768,1.0
Moirai India Pale Ale,0.07%,780,769,1.0
Loki Red Ale,0.075%,781,770,1.0
Peaches & Cream,0.046,782,771,1.0
Quaff India Style Session Ale,0.051,783,772,1.0
Loki Red Ale (2013),0.075,784,773,1.0
Mjolnir Imperial IPA,0.069,785,774,1.0
Fearless Scottish Ale,0.05,786,775,1.0
Mastermind,0.081,787,776,1.0
Hyzer Flip,0.08199999999999999%,788,777,1.0
Second Fiddle,0.082,789,778,1.0
Hodad Porter,0.055%,790,779,1.0
Weiss Weiss Baby,0.045,791,780,1.0
Czech Yo Self,0.055%,792,781,1.0
FMB 101,0.048,793,782,1.0
Hardcore Chimera,0.09%,794,783,1.0
Sobek & Set,0.08,795,784,1.0
Nuclear Winter,0.086,796,785,1.0
Wet Hot American Wheat Ale,0.05,797,786,1.0
Secret Stache Stout,0.053%,798,787,1.0
Fascist Pig Ale,0.08%,799,788,1.0
Cut Throat Pale Ale,0.055,800,789,1.0
Threadless IPA,0.075,801,790,1.0
Cut Throat Pale Ale (2011),0.055,802,791,1.0
Golden Wing Blonde Ale,0.047%,803,792,1.0
Easy Jack,0.045,804,793,1.0
Union Jack,0.075,805,794,1.0
Pivo Pils,0.053,806,795,1.0
805 Blonde Ale,0.047,807,796,1.0
805,0.047,808,797,1.0
Deflator,0.065,809,798,1.0
Hinchtown Hammer Down,0.05,810,799,1.0
Half Cycle IPA,0.06,811,800,1.0
Inclined Plane Ale,,812,801,
Moped Traveler,0.055%,813,802,1.0
Snake Dog IPA,0.071%,814,803,1.0
Underdog Atlantic Lager,0.047,815,804,1.0
Flying Mouse 8,0.04,816,805,1.0
Flying Mouse 4,0.07,817,806,1.0
La Ferme Urbaine Farmhouse Ale,0.078,818,807,1.0
Backyahd IPA,0.06%,819,808,1.0
Raincloud Robust Porter,0.065%,820,809,1.0
Barstool American Golden Ale,0.045,821,810,1.0
What the Butler Saw,0.05,822,811,1.0
1916 Shore Shiver,0.069,823,812,1.0
Quick WIT,0.052000000000000005%,824,813,1.0
The Optimist,0.062%,825,814,1.0
Suicide Squeeze IPA,0.045,826,815,1.0
Java the Hop,0.065,827,816,1.0
Next Adventure Black IPA,0.062,828,817,1.0
3-Way IPA (2013),0.067,829,818,1.0
Tender Loving Empire NWPA,0.058,830,819,1.0
Quick Wit Belgianesque Ale,0.052,831,820,1.0
Sunrise Oatmeal Pale Ale,0.055,832,821,1.0
Cavatica Stout,0.088,833,822,1.0
1811 Lager,0.051,834,823,1.0
Vortex IPA,0.07400000000000001%,835,824,1.0
Fort Pitt Ale,,836,825,
Park,0.047%,837,826,1.0
Westfalia,0.056,838,827,1.0
KSA,0.046,839,828,1.0
Villager,0.063,840,829,1.0
Dirty Bastard,0.085,841,830,1.0
Centennial IPA,0.072,842,831,1.0
All Day IPA,0.047,843,832,1.0
El Chingon IPA,0.076%,844,833,1.0
Block Party Robust Porter,0.057,845,834,1.0
Local Buzz,0.052,846,835,1.0
Feel Like Maplin' Love,0.055,847,836,1.0
Father's Beer,0.05,848,837,1.0
The 26th,0.06,849,838,1.0
The Gadget,0.064,850,839,1.0
Leprechaun Lager,0.04%,851,840,1.0
Sunbru Kölsch,0.052,852,841,2.0
Kilt Lifter Scottish-Style Ale,0.06,853,842,1.0
Pumpkin Porter,0.051,854,843,1.0
Four Peaks Peach Ale,0.042,855,844,1.0
Hop Knot IPA,0.067,856,845,1.0
Kilt Lifter Scottish-Style Ale (2009),0.06,857,846,1.0
Sunbru Kölsch,0.052,858,841,2.0
Four String Vanilla Porter,0.06,859,847,1.0
Suncaster Summer Wheat,0.05%,860,848,1.0
Brass Knuckle Pale Ale,0.057,861,849,1.0
Big Star White IPA,0.07,862,850,1.0
Old Detroit,0.055999999999999994%,863,851,1.0
Batch 69 IPA,0.069,864,852,1.0
Twisted Helles Summer Lager,0.055,865,853,1.0
OktoberFiesta,0.053,866,854,1.0
Texicali,0.065%,867,855,1.0
Pinata Protest,0.06,868,856,1.0
Bat Outta Helles,0.042,869,857,1.0
Original,0.068,870,858,1.0
Rye Wit,0.042,871,859,1.0
Soul Doubt,0.059,872,860,1.0
Yo Soy Un Berliner,0.044,873,861,1.0
77 Fremont Select Spring Session IPA,0.04,874,862,1.0
Fremont Organic Pale Ale,0.045,875,863,1.0
Abominable Ale,0.08,876,864,1.0
Harvest Ale,0.065%,877,865,1.0
Fremont Summer Ale,0.065,878,866,1.0
Universale Pale Ale,0.055999999999999994%,879,867,1.0
Interurban IPA,0.065%,880,868,1.0
Gateway Kolsch Style Ale,0.053%,881,869,1.0
Wee-Heavy-Er Scotch Ale,0.07%,882,870,1.0
13 Rebels ESB,0.052000000000000005%,883,871,1.0
Salamander Slam,0.07%,884,872,1.0
Cack-A-Lacky,0.05%,885,873,1.0
No Wake IPA,0.072,886,874,1.0
Boathouse Blonde,0.049,887,875,1.0
Cedar Point,0.05,888,876,1.0
Clean Shave IPA,0.067,889,877,1.0
Might As Well IPL,0.072,890,878,1.0
Saison Pamplemousse,0.057999999999999996%,891,879,1.0
2020 IPA,0.074,892,880,1.0
Wolf Among Weeds IPA,0.08,893,881,1.0
Better Weather IPA,0.094,894,882,1.0
Point the Way IPA,0.059000000000000004%,895,883,2.0
Golden Road Hefeweizen,0.046,896,884,1.0
Heal the Bay IPA,0.068,897,885,1.0
Point the Way IPA,0.059000000000000004%,898,883,2.0
Cabrillo Kölsch,0.05,899,886,1.0
Get Up Offa That Brown,0.055,900,887,1.0
Burning Bush Smoked IPA,0.08,901,888,1.0
Wolf Among Weeds IPA (2012),0.08,902,889,1.0
Point the Way IPA (2012),0.059,903,890,1.0
Golden Road Hefeweizen (2012),0.046%,904,891,1.0
Vanilla Porter,0.07,905,892,1.0
Descender IPA,0.07,906,893,1.0
Sweet As Pacific Ale,0.06,907,894,1.0
Good People Pale Ale,0.055999999999999994%,908,895,1.0
Snake Handler Double IPA,0.093,909,896,1.0
Coffee Oatmeal Stout,0.06,910,897,1.0
Good People IPA,0.06,911,898,1.0
Good People American Brown Ale,0.057999999999999996%,912,899,1.0
Mountain Rescue Pale Ale,0.055,913,900,1.0
Goose Island India Pale Ale,0.059,914,901,1.0
312 Urban Pale Ale,0.054,915,902,1.0
312 Urban Pale Ale,0.054000000000000006%,916,903,1.0
312 Urban Wheat Ale,0.042%,917,904,2.0
312 Urban Wheat Ale,0.042%,918,904,2.0
312 Urban Wheat Ale (2012),0.042%,919,905,1.0
Beaver Logger,0.052000000000000005%,920,906,1.0
White Water Wheat,0.05,921,907,1.0
Grand Canyon American Pilsner,0.052000000000000005%,922,908,1.0
Grand Canyon Sunset Amber Ale,0.054,923,909,1.0
Black Iron India Pale Ale,,924,910,
Monarch Classic American Wheat,0.043,925,911,1.0
Sir William's English Brown Ale,0.049,926,912,1.0
Lakefire Rye Pale Ale,0.055,927,913,1.0
Beer Agent Re-Ignition,0.053,928,914,1.0
Cherry Ale,0.057,929,915,1.0
Bourbon Barrel Aged Coconut Porter,0.056,930,916,1.0
Great Crescent IPA,0.062,931,917,1.0
Aurora Lager,0.057,932,918,1.0
Great Crescent Blonde Ale,0.053,933,919,1.0
Great Crescent Coconut Porter,0.056,934,920,1.0
Great Crescent Oktoberfest Lager,0.057%,935,921,1.0
Great Crescent Brown Ale,0.045,936,922,1.0
Cherry Ale (1),0.057,937,923,1.0
Aurora Lager (2011),0.057%,938,924,1.0
Frosted Fields Winter Wheat,0.06%,939,925,1.0
Great Crescent Belgian Style Wit,0.051,940,926,1.0
Bourbon's Barrel Stout,0.075,941,927,1.0
Great Crescent Stout,0.08,942,928,1.0
Great Crescent Coconut Porter (2012),0.055999999999999994%,943,929,1.0
Great Crescent Dark Lager,0.057,944,930,1.0
Great Crescent Mild Ale,0.042,945,931,1.0
Great Crescent IPA (2011),0.062%,946,932,1.0
Great Crescent Blonde Ale (2011),0.053%,947,933,1.0
Denver Pale Ale (Artist Series No. 1),0.05,948,934,1.0
Hibernation Ale,0.087,949,935,1.0
Whitewater,0.061%,950,936,1.0
Rumble,0.071,951,937,1.0
Orabelle,0.083%,952,938,1.0
Lasso,0.05,953,939,1.0
Yeti  Imperial Stout,0.095%,954,940,1.0
Colette,0.073%,955,941,1.0
Titan IPA,0.071,956,942,1.0
Black Star Double Hopped Golden Lager (24 oz.),0.045%,957,943,1.0
Black Star Double Hopped Golden Lager (12 oz.),0.045,958,944,1.0
Commotion APA,0.052,959,945,1.0
Southern Drawl Pale Lager,0.052,960,946,1.0
Chickawawa Lemonale,0.05,961,947,1.0
Barrel Aged Farmer,0.07%,962,948,1.0
Great River Golden Ale,0.048,963,949,1.0
Dirty Blonde Chocolate Ale,0.048,964,950,1.0
Dos Pistolas,0.048%,965,951,1.0
Owney Irish Style Red Ale,0.05,966,952,1.0
Aaah Bock Lager,0.06%,967,953,1.0
Widespread Wit,0.055,968,954,1.0
Roller Dam Red Ale,0.054000000000000006%,969,955,1.0
483 Pale Ale,0.053,970,956,1.0
Hop A Potamus Double Dark Rye Pale Ale,0.09%,971,957,1.0
Farmer Brown Ale,0.07,972,958,1.0
Big Cock IPA,0.07%,973,959,1.0
Oktoberfest,0.059000000000000004%,974,960,1.0
40th Annual Bix Street Fest Copper Ale (Current),0.048,975,961,1.0
Redband Stout,0.06%,976,962,1.0
483 Pale Ale (2010),0.053%,977,963,1.0
Roller Dam Red Ale (2010),0.054,978,964,1.0
Pablo Beach Pale Ale,0.05%,979,965,1.0
Wild Trail Pale Ale,0.057,980,966,1.0
Mothman Black IPA,0.067,981,967,1.0
Autumn Winds Fest Beer,0.058,982,968,1.0
Captain's Daughter,0.085,983,969,1.0
Autumn Winds,0.058,984,970,1.0
Flying Jenny Extra Pale Ale,0.06%,985,971,1.0
Hazy Day Belgian-Style Wit,0.04,986,972,1.0
Bring Back the Beach Blonde Ale,0.055,987,973,1.0
Leaning Chimney Smoked Porter,0.06,988,974,1.0
Flying Jenny Extra Pale Ale (2012),0.06%,989,975,1.0
Flagship Ale,0.049%,990,976,1.0
Mr. Blue Sky,0.045,991,977,1.0
3 Scrooges,0.065%,992,978,1.0
Screamin’ Pumpkin,0.05,993,979,1.0
Grand Trunk Bohemian Pils,0.05%,994,980,1.0
El Rojo,0.065,995,981,1.0
Norm's Raggedy Ass IPA,0.075,996,982,1.0
Grind Line,0.05%,997,983,1.0
Norm's Gateway IPA,0.04,998,984,1.0
Lemon Shandy Tripel,0.09,999,985,1.0
Little Red Cap,0.063,1000,986,1.0
Supergoose IPA,0.069,1001,987,1.0
Hale's Pale American Ale,0.047,1002,988,1.0
Heyoka IPA,0.07,1003,989,1.0
Guest Lager,0.08,1004,990,1.0
Pony Pilsner,0.057%,1005,991,1.0
Akari Shogun American Wheat Ale,0.055,1006,992,1.0
Meat Wave,0.06,1007,993,1.0
Over Ale,0.06,1008,994,1.0
Gossamer Golden Ale,0.042,1009,995,1.0
Daisy Cutter Pale Ale,0.052,1010,996,1.0
Pursuit,0.07,1011,997,1.0
Half Full Bright Ale,0.052,1012,998,1.0
Orange Wheat,0.046,1013,999,1.0
Hangar 24 Helles Lager,0.043,1014,1000,1.0
The Great Return,0.075,1015,1001,1.0
Hardywood Cream Ale,0.044,1016,1002,1.0
Capital Trail Pale Ale,0.056,1017,1003,1.0
UFO Gingerland,0.052,1018,1004,1.0
The Long Thaw White IPA,0.062,1019,1005,1.0
Honey Cider,0.048,1020,1006,1.0
Harpoon Summer Beer,0.05%,1021,1007,1.0
Harpoon IPA,0.059,1022,1008,1.0
UFO Pumpkin,0.059000000000000004%,1023,1009,1.0
Harpoon Octoberfest,0.055,1024,1010,1.0
Harpoon IPA (2012),0.059000000000000004%,1025,1011,1.0
Harpoon Summer Beer (2012),0.05%,1026,1012,1.0
UFO White,0.048,1027,1013,1.0
Harpoon Summer Beer (2010),0.05,1028,1014,1.0
Harpoon IPA (2010),0.059000000000000004%,1029,1015,1.0
Great Falls Select Pale Ale,,1030,1016,
Beltian White,0.048%,1031,1017,1.0
Kaua'i Golden Ale,0.049,1032,1018,1.0
Sunset Amber,0.054000000000000006%,1033,1019,1.0
Hapa Brown Ale,0.064%,1034,1020,1.0
Hapa Brown Ale,0.064,1035,1021,1.0
Southern Cross,0.083,1036,1022,1.0
Groupe G,0.076,1037,1023,1.0
Pt. Bonita Rustic Lager,0.062%,1038,1024,1.0
Hill 88 Double IPA,0.088,1039,1025,1.0
Loose Cannon,0.072,1040,1026,1.0
AARGHtoberfest!,0.06%,1041,1027,1.0
Davy Jones Lager,0.06,1042,1028,1.0
Grazias,0.063%,1043,1029,1.0
Habitus IPA,0.08%,1044,1030,1.0
Ex Umbris Rye Imperial Stout,0.099,1045,1031,1.0
The Golden One,0.063,1046,1032,1.0
The Power of Zeus,0.07,1047,1033,1.0
Tonganoxie Honey Wheat,0.044,1048,1034,1.0
Oregon Trail Unfiltered Raspberry Wheat,0.045%,1049,1035,1.0
Annie's Amber Ale,0.055,1050,1036,1.0
The 12th Can™,0.045%,1051,1037,1.0
Hilliard's Pils,0.055%,1052,1038,1.0
Hilliard's Blonde,0.049,1053,1039,1.0
Hilliard's Amber Ale,0.055,1054,1040,1.0
Hilliard's Saison,0.066%,1055,1041,1.0
White Cap White IPA,0.042,1056,1042,1.0
Provision,0.042,1057,1043,1.0
One Nut Brown,0.047%,1058,1044,1.0
Hop Farm IPA,0.057999999999999996%,1059,1045,1.0
Double D Blonde,0.049,1060,1046,1.0
Festeroo Winter Ale,0.078%,1061,1047,1.0
Proxima IPA,0.063,1062,1048,1.0
Double D Blonde (2013),0.049,1063,1049,1.0
541 American Lager,0.048,1064,1050,1.0
Alphadelic IPA,0.065,1065,1051,1.0
Alphadelic IPA (2011),0.065,1066,1052,1.0
Double D Blonde (2011),0.049,1067,1053,1.0
Green House India Pale Ale,0.07,1068,1054,1.0
The One They Call Zoe,0.051,1069,1055,1.0
Alteration,0.051,1070,1056,1.0
Pale Dog,0.06,1071,1057,1.0
Porter Culture,0.065,1072,1058,1.0
Hard Cider,0.068,1073,1059,1.0
Totally Radler,0.027000000000000003%,1074,1060,1.0
Nonstop Hef Hop,0.039,1075,1061,6.0
Nonstop Hef Hop,0.039,1076,1061,6.0
Nonstop Hef Hop,0.039,1077,1061,6.0
Nonstop Hef Hop,0.039%,1078,1062,6.0
Nonstop Hef Hop,0.039%,1079,1062,6.0
Nonstop Hef Hop,0.039,1080,1061,6.0
Nonstop Hef Hop,0.039%,1081,1062,6.0
Nonstop Hef Hop,0.039%,1082,1062,6.0
Nonstop Hef Hop,0.039,1083,1061,6.0
Nonstop Hef Hop,0.039%,1084,1062,6.0
Nonstop Hef Hop,0.039,1085,1061,6.0
Nonstop Hef Hop,0.039%,1086,1062,6.0
Rise Up Red,0.058,1087,1063,1.0
Survival Stout,0.057999999999999996%,1088,1064,1.0
Hopworks IPA,0.066%,1089,1065,1.0
Abominable Winter Ale,0.073%,1090,1066,1.0
Pigwar White India Pale Ale,0.06,1091,1067,1.0
Rise-Up Red (2014),0.058,1092,1068,1.0
Abominable Winter Ale (2012),0.073,1093,1069,1.0
HUB Lager,0.051,1094,1070,1.0
Hopworks IPA (2012),0.066,1095,1071,1.0
Watermelon Wheat,0.055999999999999994%,1096,1072,1.0
Laka Laka Pineapple,0.051,1097,1073,1.0
Oktoberfest,0.06,1098,1074,1.0
Trail Maker Pale Ale,0.065%,1099,1075,1.0
Action Man Lager,0.055,1100,1076,1.0
Let It Ride IPA,0.068%,1101,1077,1.0
Stir Crazy Winter Ale,0.065,1102,1078,1.0
Sweet Yamma Jamma Ale,0.05,1103,1079,1.0
Shenanigans Summer Ale,0.046,1104,1080,1.0
Midnight Ryder,0.065,1105,1081,1.0
Day Tripper Pale Ale,0.054000000000000006%,1106,1082,1.0
Oklahoma Suks,0.048,1107,1083,1.0
Power & Light,0.055,1108,1084,1.0
White Rabbit,0.059,1109,1085,1.0
Tribute,0.057999999999999996%,1110,1086,1.0
Infamous IPA,0.07,1111,1087,1.0
Hijack,0.055%,1112,1088,1.0
Jon Boat Coastal Ale,0.045%,1113,1089,1.0
I-10 IPA,0.068,1114,1090,1.0
People's Pale Ale,0.053,1115,1091,1.0
Summer Ale,0.049,1116,1092,1.0
Appreciation Ale,,1117,1093,
House Lager,0.052,1118,1094,1.0
Leisure Time,0.048,1119,1095,1.0
Excess IPL,0.072,1120,1096,1.0
Hoponius Union,0.067%,1121,1097,1.0
Calyptra,0.049%,1122,1098,1.0
Helen's Blend,0.05,1123,1099,1.0
Jack's Hard Cider,0.051,1124,1100,1.0
Thunder Ann,0.055%,1125,1101,1.0
Razz Wheat,0.055,1126,1102,1.0
Hop Ryot,0.065,1127,1103,1.0
Mystic Mama IPA,0.07%,1128,1104,1.0
Firefly Amber Ale,0.05,1129,1105,1.0
Chomolungma Honey Nut Brown Ale,0.067,1130,1106,1.0
Welcome to Scoville,0.069%,1131,1107,1.0
Bastian,,1132,1108,
Healani,0.045,1133,1109,1.0
Yabba Dhaba Chai Tea Porter,0.055,1134,1110,1.0
A Capella Gluten Free Pale Ale,0.055,1135,1111,1.0
Casper White Stout,0.06,1136,1112,1.0
JP's Ould Sod Irish Red IPA,0.06%,1137,1113,1.0
Weize Guy,0.05%,1138,1114,1.0
Fox Tail Gluten Free Ale,0.05%,1139,1115,1.0
Hop Box Imperial IPA,0.09300000000000001%,1140,1116,1.0
Joseph James American Lager,0.052,1141,1117,1.0
Sucha Much IPA,0.071,1142,1118,1.0
Lewbricator Wheat Dopplebock,0.075,1143,1119,1.0
Weisse Versa (2012),0.052000000000000005%,1144,1120,1.0
Mother in Lager,0.057999999999999996%,1145,1121,1.0
Weekend Warrior Pale Ale,0.055,1146,1122,1.0
Karbachtoberfest,0.055,1147,1123,1.0
Love Street Summer Seasonal (2014),0.047%,1148,1124,1.0
Barn Burner Saison,0.066%,1149,1125,1.0
Rodeo Clown Double IPA,0.095%,1150,1126,1.0
Sympathy for the Lager,0.049%,1151,1127,1.0
Weisse Versa,0.052,1152,1128,1.0
Hopadillo India Pale Ale,0.066%,1153,1129,1.0
KelSo Nut Brown Lager,0.057,1154,1130,1.0
KelSo India Pale Ale,0.06,1155,1131,1.0
KelSo Pilsner,0.055,1156,1132,1.0
Skilak Scottish Ale,0.057999999999999996%,1157,1133,1.0
Peninsula Brewers Reserve (PBR),0.05,1158,1134,1.0
Sunken Island IPA,0.068,1159,1135,1.0
Skilak Scottish Ale (2011),0.058,1160,1136,1.0
Cold Smoke Scotch Ale (2007),0.065%,1161,1137,1.0
Double Haul IPA (2009),0.065%,1162,1138,1.0
Double Haul IPA (2006),0.065,1163,1139,1.0
Eddy Out Pale Ale,0.055,1164,1140,1.0
Double Haul IPA,0.065%,1165,1141,1.0
Cold Smoke Scotch Ale,0.065,1166,1142,1.0
U. P. Witbier,,1167,1143,
November Gale Pale Ale,,1168,1144,
Olde Ore Dock Scottish Ale,,1169,1145,
Widow Maker Black Ale,,1170,1146,
Lift Bridge Brown Ale,,1171,1147,
Pick Axe Blonde Ale,,1172,1148,
Red Jacket Amber Ale,,1173,1149,
Amber Ale,0.051,1174,1150,1.0
King Street Pilsner,0.055,1175,1151,1.0
King Street IPA,0.06,1176,1152,1.0
King Street Hefeweizen,0.057%,1177,1153,1.0
King Street Blonde Ale,0.049,1178,1154,1.0
India Pale Ale,0.063,1179,1155,1.0
Blackberry Wheat,0.048,1180,1156,1.0
Longboard Island Lager,0.046%,1181,1157,2.0
Longboard Island Lager,0.046%,1182,1157,2.0
Longboard Island Lager,0.046,1183,1158,2.0
Longboard Island Lager,0.046,1184,1158,2.0
Choc Beer (2003),0.04%,1185,1159,1.0
Bellingham Beer Week 2013 Collaboration,0.08,1186,1160,1.0
A Slice of Hefen,0.054,1187,1161,1.0
Elevated IPA,0.07200000000000001%,1188,1162,1.0
Rumspringa Golden Bock,0.066%,1189,1163,1.0
Lancaster German Style Kölsch,0.048,1190,1164,1.0
Beach Cruiser,0.045,1191,1165,1.0
I.P. Eh!,0.068%,1192,1166,1.0
Schoolhouse Honey,0.05%,1193,1167,1.0
10 Degrees of Separation,0.055,1194,1168,1.0
Laughing Dog Cream Ale,0.05,1195,1169,1.0
