owner                                       ,original_index,unique_index
proprietary                                 ,920,9
proprietary                                 ,921,9
proprietary                                 ,922,9
proprietary                                 ,923,9
proprietary                                 ,924,9
proprietary                                 ,925,9
proprietary                                 ,926,9
proprietary                                 ,927,9
proprietary                                 ,928,9
proprietary                                 ,929,9
voluntary non-profit - private              ,930,0
voluntary non-profit - private              ,931,0
voluntary non-profit - private              ,932,0
voluntary non-profit - private              ,933,0
voluntary non-profit - private              ,934,0
voluntary non-profit - private              ,935,0
voluntary non-profit - private              ,936,0
voluntary non-profit - private              ,937,0
voluntary non-profit - private              ,938,0
voluntary non-profit - private              ,939,0
voluntary non-profit - private              ,940,0
voluntary non-profit - private              ,941,0
voluntary non-profit - private              ,942,0
voluntary non-profit - private              ,943,0
voluntary non-profit - private              ,944,0
voluntary non-profit - private              ,945,0
voluntary non-profit - private              ,946,0
voluntary non-profit - private              ,947,0
voluntary non-profit - private              ,948,0
voluntary non-profit - private              ,949,0
voluntary non-profit - private              ,950,0
voluntary non-profit - private              ,951,0
voluntary non-profit - private              ,952,0
voluntary non-profit - private              ,953,0
voluntary non-profit - private              ,954,0
proprietary                                 ,955,9
proprietary                                 ,956,9
proprietary                                 ,957,9
proprietary                                 ,958,9
proprietary                                 ,959,9
proprietary                                 ,960,9
proprietary                                 ,961,9
proprietary                                 ,962,9
proprietary                                 ,963,9
proprietary                                 ,964,9
proprietary                                 ,965,9
proprietary                                 ,966,9
proprietary                                 ,967,9
proprietary                                 ,968,9
proprietary                                 ,969,9
proprietary                                 ,970,9
proprietary                                 ,971,9
proprietary                                 ,972,9
proprietary                                 ,973,9
proprietary                                 ,974,9
proprietary                                 ,975,9
proprietary                                 ,976,9
proprietary                                 ,977,9
proprietary                                 ,978,9
proprietary                                 ,979,9
voluntary non-profit - private              ,980,0
voluntary non-profit - private              ,981,0
voluntary non-profit - private              ,982,0
voluntary non-profit - private              ,983,0
voluntary non-profit - private              ,984,0
voluntary non-profit - private              ,985,0
voluntary non-profit - private              ,986,0
voluntary non-profit - private              ,987,0
voluntary non-profit - private              ,988,0
voluntary non-profit - private              ,989,0
voluntary non-profit - private              ,990,0
voluntary non-profit - private              ,991,0
voluntary non-profit - private              ,992,0
voluntary non-profit - private              ,993,0
voluntary non-profit - private              ,994,0
voluntary non-profit - private              ,995,0
voluntary non-profit - private              ,996,0
voluntary non-profit - private              ,997,0
voluntary non-profit - private              ,998,0
voluntary non-profit - private              ,999,0
