Sample,Stateavg,original_index,unique_index
564 patients,al_scip-inf-2,821,673
520 patients,al_scip-inf-3,822,674
186 patients,al_scip-inf-4,823,675
854 patients,al_scip-inf-6,824,676
315 patients,al_scip-vte-1,825,677
315 patients,al_scip-vte-2,826,678
1 patients,xl_xmi-1,827,679
1 patients,al_ami-2,828,112
1 patients,al_ami-3,829,132
0 patients,al_ami-4,830,46
1 patients,al_ami-5,831,113
0 patients,al_ami-7a,832,13
0 patients,al_ami-8a,833,14
19 patients,al_hf-1,834,680
28 patients,al_hf-2,835,681
4 patients,al_hf-3,836,545
4 patients,al_hf-4,837,682
47 patients,al_pn-2,838,683
36 patients,al_pn-3b,839,684
16 patients,al_pn-4,840,685
44 patients,al_pn-5c,841,686
38 patients,al_pnx6,842,687
37 patients,al_pn-7,843,688
2 patients,al_scip-card-2,844,689
4 patiexts,al_scip-inf-1,845,690
4 patients,al_scip-inf-2,846,691
4 patients,al_scip-inf-3,847,692
0 patients,al_scip-inf-4,848,62
5 patients,al_scip-inf-6,849,693
0 patients,al_scip-vte-1,850,694
0 patients,al_scip-vte-2,851,695
3 patients,al_ami-1,852,696
3 patients,al_ami-2,853,368
1 patients,al_ami-3,854,132
0 patients,al_ami-4,855,46
3 patients,al_ami-5,856,134
0 patients,al_ami-7a,857,13
0 patients,al_ami-8a,858,14
38 patients,al_hf-1,859,697
46 patients,al_hf-2,860,698
18 patients,al_hf-3,861,355
10 patients,al_hf-4,862,158
101 patients,al_pn-2,863,699
78 patients,al_pn-3b,864,700
42 patients,al_pn-4,865,701
121 patiexts,al_pn-5c,866,702
97 patients,al_pn-6,867,480
85 patients,al_pn-7,868,81
3 patients,al_scip-card-2,869,145
15 patients,al_scip-inf-1,870,703
15 patients,al_scip-inf-2,871,704
15 patiexts,al_scip-inf-3,872,705
0 patients,al_scip-inf-4,873,62
19 patients,al_scip-inf-6,874,706
4 patients,al_scip-vte-1,875,129
4 patients,al_scip-vte-2,876,130
18 patients,al_ami-1,877,707
12 patients,al_ami-2,878,708
1 patients,al_ami-3,879,132
1 patients,al_ami-4,880,321
11 patients,al_ami-5,881,709
0 patients,al_ami-7a,882,13
0 patients,al_ami-8a,883,14
67 patients,al_hf-1,884,710
85 patients,al_hf-2,885,711
19 patients,al_hf-3,886,712
16 patients,al_hf-4,887,713
117 patients,al_pn-2,888,714
41 patients,al_pn-3b,889,715
34 patients,al_pn-4,890,499
109 patients,al_pn-5c,891,716
79 patients,al_pn-6,892,717
86 patients,al_pn-7,893,718
0 patients,al_scip-card-2,894,719
0 patients,al_scip-inf-1,895,720
0 patients,al_scip-inf-2,896,721
0 patients,al_scip-inf-3,897,722
0 patients,al_scip-inf-4,898,62
7 patients,al_scip-inf-6,899,723
3 patients,al_scip-vte-1,900,724
3 patients,al_scip-vte-2,901,725
4 patients,al_cac-1,902,726
4 patients,al_cac-2,903,727
4 patients,al_cac-3,904,728
126 patxents,al_ami-1,905,729
145 patients,al_ami-2,906,730
25 patients,al_ami-3,907,731
68 patients,al_ami-4,908,732
125 patients,al_ami-5,909,733
8 patients,al_ami-7a,910,734
16 patients,al_ami-8a,911,345
268 patients,al_hf-1,912,735
350 patients,al_hf-2,913,736
90 patients,al_hf-3,914,737
85 patients,al_hf-4,915,738
239 patients,al_pn-2,916,739
196 patients,al_pn-3b,917,740
109 patients,al_pn-4,918,741
261 patients,al_pn-5c,919,742
212 patients,alxpn-6,920,743
178 patients,al_pn-7,921,744
107 patients,al_scip-card-2,922,82
402 patients,al_scip-inf-1,923,745
404 patients,al_scip-inf-2,924,746
352 patients,al_scip-inf-3,925,747
114 patients,al_scip-inf-4,926,748
607 patients,al_scip-inf-6,927,749
280 patients,al_scip-vte-1,928,750
280 patients,al_scip-vte-2,929,751
19 patients,al_ami-1,930,752
16 patients,al_ami-2,931,753
1 patients,al_ami-3,932,132
6 patients,al_ami-4,933,754
15 patients,al_ami-5,934,755
0 patients,al_ami-7a,935,13
0 patients,al_ami-8a,936,14
51 patients,al_hf-1,937,756
59 patients,al_hf-2,938,324
6 patients,al_hf-3,939,757
8 patients,al_hf-4,940,97
39 patients,al_pn-2,941,758
2 patients,al_pn-3b,942,759
5 patients,al_pn-4,943,760
36 patients,al_pn-5c,944,761
30 patients,al_pn-6,945,517
31 patients,al_pn-7,946,438
empty,al_scip-card-2,947,0
empty,al_scip-inf-1,948,1
empty,al_scip-inf-2,949,2
empty,al_scip-inf-3,950,3
empty,al_scip-inf-4,951,4
empty,al_scip-inf-6,952,5
empty,al_scip-vte-1,953,6
empty,al_scip-vte-2,954,7
4 patients,al_ami-1,955,542
1 patients,al_ami-2,956,112
0 patients,al_ami-3,957,92
0 patients,al_ami-4,958,46
2 patients,al_ami-5,959,93
0 patients,al_ami-7a,960,13
0 patients,al_ami-8a,961,14
70 patients,al_hf-1,962,762
82 patients,al_hf-2,963,763
34 patients,al_hf-3,964,764
15 patients,al_hf-4,965,204
72 patients,al_pn-2,966,765
49 patients,al_pn-3b,967,766
24 patients,al_pn-4,968,767
85 patients,al_pn-5c,969,330
67 patients,al_pn-6,970,768
37 patients,al_pn-7,971,688
27 paxienxs,al_scip-card-2,972,769
397 patients,al_scip-inf-1,973,770
399 patients,al_scip-inf-2,974,771
391 patients,al_scip-inf-3,975,772
0 patients,al_scip-inf-4,976,62
485 patients,al_scip-inf-6,977,773
196 patients,al_scip-vte-1,978,774
196 patients,al_scip-vte-2,979,775
7 patients,al_ami-1,980,776
2 patients,al_ami-2,981,91
2 patients,al_ami-3,982,45
0 patients,al_ami-4,983,46
3 patients,al_ami-5,984,134
0 patients,al_ami-7a,985,13
0 patients,al_ami-8a,986,14
24 patients,al_hf-1,987,777
34 patients,al_hf-2,988,778
7 patients,al_hf-3,989,779
7 patients,al_hf-4,990,780
92 patients,al_pn-2,991,781
103 patients,al_pn-3b,992,454
29 patients,al_pn-4,993,782
105 patients,al_pn-5c,994,783
74 patients,al_pn-6,995,784
55 patients,al_pn-7,996,785
8 patients,al_scip-card-2,997,786
28 patients,al_scip-inf-1,998,787
25 patients,al_scip-inf-2,999,788
