Filming Locations,original_index,unique_index
"400 East 14th Street, Manhattan, New York City, New York, USA",1267,732
"Interurban Building - 102 Occidental Ave S, Seattle, Washington, USA",1268,733
"California, USA",1269,27
"Stage 20, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",1270,734
"Building One, Studios at Las Colinas - 6301 North O'Connor Road, Irving, Texas, USA",1271,735
"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",1272,209
"MacArthur Park, Los Angeles, California, USA",1273,736
"Milo Butterfingers - Dallas, Texas, USA",1274,737
"Los Angeles, California, USA",1275,10
"New York City, New York, USA",1276,9
"California, USA",1277,27
"Portland, Oregon, USA",1278,24
"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",1279,362
"Koerner Plaza, University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada",1280,738
"Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",1281,303
"Old Tucson Studios, Tucson, Arizona, USA",1282,386
"Bangkok, Thailand",1283,739
"Las Vegas, New Mexico, USA",1284,740
"Badlands National Park, Interior, South Dakota, USA",1285,741
"Alhambra, California, USA",1286,742
"11219 S St Lawrence Ave, Chicago, Illinois, USA",1287,743
"40 miles south, Great Falls, Montana, USA",1288,744
,1289,3
"Tokyo, Japan",1290,745
"Clifton, New Jersey, USA",1291,746
"Astoria, Queens, New York City, New York, USA",1292,747
"Three Clubs, 1123 VINE ST, Hollywood, California, USA",1293,748
UK,1294,35
"Atlanta, Georgia, USA",1295,154
"Los Angeles, California, USA",1296,10
"Baton Rouge, Louisiana, USA",1297,229
"Rickwood Field - 1137 2nd Avenue W, Birmingham, Alabama, USA",1298,749
"Covington, Georgia, USA",1299,750
"Franklin Field - 235 S. 33rd Street, University of Pennsylvania, Philadelphia, Pennsylvania, USA",1300,751
"Agnes Scott College - 141 E. College Avenue, Decatur, Georgia, USA",1301,239
"Agoura High School - 28545 W. Driver Avenue, Agoura Hills, California, USA",1302,752
"St. Rita of Cascia High School 6310 S. Claremont Street, Chicago, Illinois, USA",1303,753
"Safari Inn - 1911 W. Olive Avenue, Burbank, California, USA",1304,754
"Abbotsford, British Columbia, Canada",1305,755
"Berwyn, Illinois, USA",1306,756
USA,1307,21
"Circuit de Magny-Cours, Nevers, Nièvre, France",1308,757
"Philadelphia, Pennsylvania, USA",1309,758
"Atlanta, Georgia, USA",1310,154
,1311,3
"Glendale, California, USA",1312,93
"Astoria, Queens, New York City, New York, USA",1313,747
"Intersection of Washington Street and Water Street, Dumbo, Brooklyn, New York City, New York, USA",1314,759
"357 Desert Inn Road, Las Vegas, Nevada, USA",1315,760
"1 Bush Street, San Francisco, California, USA",1316,761
"MTA Subway, Hollywood and Highland Terminal, Los Angeles, California, USA",1317,762
"16th Street, Oakland, California, USA",1318,763
"Alameda, California, USA",1319,28
"St. Vincent Catholic Church - 621 W. Adams Blvd., Los Angeles, California, USA",1320,764
"Pacific Electric Building, Los Angeles, California, USA",1321,454
"Napa, Napa Valley, California, USA",1322,765
"Warner Road, St. Paul, Minnesota, USA",1323,766
"El Camino College, Torrance, California, USA",1324,767
"53rd Street & Blackstone Avenue, Hyde Park, Chicago, Illinois, USA",1325,768
"Chicago, Illinois, USA",1326,230
"Chicago, Illinois, USA",1327,230
"Stage 11, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",1328,769
"Casa Loma - 1 Austin Terrace, Casa Loma, Toronto, Ontario, Canada",1329,770
"Chicago, Illinois, USA",1330,230
"Thiene, Vicenza, Veneto, Italy",1331,771
"Kahnawake, Québec, Canada",1332,772
"Backlot, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",1333,773
"Culver City, California, USA",1334,278
"Dorset, England, UK",1335,774
"20th Century Fox Ranch, Malibu Creek State Park - 1925 Las Virgenes Road, Calabasas, California, USA",1336,775
"Yokohama, Kanagawa, Honshu, Japan",1337,776
"Cedar City, Utah, USA",1338,777
USA,1339,21
"Downtown, Los Angeles, California, USA",1340,94
"100 Embarcadero Street, San Francisco, California, USA",1341,778
,1342,3
"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",1343,355
"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",1344,355
,1345,3
,1346,3
"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",1347,355
,1348,3
,1349,3
"Phoenix, Arizona, USA",1350,503
"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",1351,355
"Château de Chambord, Chambord, Loir-et-Cher, France",1352,779
"Loire Valley, Loire, France",1353,780
"Baldwin Park, California, USA",1354,781
"Birchmount Collegiate, Toronto, Ontario, Canada",1355,782
"Fontana di Trevi, Rome, Lazio, Italy",1356,783
"Astoria, Oregon, USA",1357,784
Canada,1358,190
"Santa Clarita, California, USA",1359,26
"Connecticut, USA",1360,621
,1361,3
"Budapest, Hungary",1362,17
"Bronx, New York City, New York, USA",1363,315
"Nashville, Tennessee, USA",1364,785
"Fresno, California, USA",1365,786
"Eagle Ridge Pool, 1200 Lansdowne Drive, Coquitlam, Canada",1366,787
"Hambleden, Buckinghamshire, England, UK",1367,788
"990 N. Allen St., Pasadena, California, USA",1368,789
"Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA",1369,644
"Santa Paula, California, USA",1370,790
"Attwood, Melbourne, Victoria, Australia",1371,791
"Braxton, Mississippi, USA",1372,792
"Sea World, San Diego, California, USA",1373,793
"Budapest, Hungary",1374,17
,1375,3
"Ontario, Canada",1376,794
"Milovice, Nymburk District, Czech Republic",1377,795
"Auburn Hills, Michigan, USA",1378,796
"Baghdad, Iraq",1379,797
"Kentucky, USA",1380,798
"Stage 18, Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",1381,799
"Union St & Montgomery St, San Francisco, California, USA",1382,800
"California, USA",1383,27
"Piru Mansion - 829 & 837 Park Road, Piru, California, USA",1384,801
"17110 Bodega Lane, Bodega, California, USA",1385,802
"Depoe Bay, Oregon, USA",1386,803
"3026 Normandy Pl., Evanston, Illinois, USA",1387,804
"Burbank, California, USA",1388,49
"Bavaria Studios, Bavariafilmplatz 7, Geiselgasteig, Grünwald, Bavaria, Germany",1389,642
,1390,3
"Central Park, Manhattan, New York City, New York, USA",1391,228
"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",1392,395
"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",1393,209
"2100 Green Street, San Francisco, California, USA",1394,805
"Kenwood House, Hampstead Heath, Hampstead, London, England, UK",1395,806
"S. Myrtle Ave. & W. Lime Ave., Monrovia, California, USA",1396,807
"Los Angeles, California, USA",1397,10
"950 Mei Ling Way, Los Angeles, California, USA",1398,808
"Los Angeles, California, USA",1399,10
"California, USA",1400,27
"Northern Secondary School, Toronto, Ontario, Canada",1401,809
"BCE Place, Toronto, Ontario, Canada",1402,810
"Blair Field, Recreation Park - 4700 E. 10th Street, Long Beach, California, USA",1403,811
"Antonigasse Tram terminus, Vienna, Austria",1404,812
"Jaws, Peahi Beach, Maui, Hawaii, USA",1405,813
"Downtown, Los Angeles, California, USA",1406,94
"Assateague Island National Seashore, Maryland, USA",1407,814
"Valparaiso, Chile",1408,815
"1201 Santa Fe Avenue, Long Beach, California, USA",1409,816
"Santa Clarita, California, USA",1410,26
"Dresden Room Restaurant - 1760 N. Vermont Avenue, Los Feliz, Los Angeles, California, USA",1411,817
"Atlanta, Georgia, USA",1412,154
"Charlotte Motor Speedway, Speedway Parkway, Concord, North Carolina, USA",1413,818
"Veterans Hospital - 1611 Plummer Street, North Hills, Los Angeles, California, USA",1414,819
"Pitt Meadows, British Columbia, Canada",1415,820
"Hollywood Sign, Hollywood, Los Angeles, California, USA",1416,821
"Amman, Jordan",1417,822
"Pasadena, California, USA",1418,823
"Pasadena City College - 1570 E Colorado Blvd, Pasadena, California, USA",1419,824
"Buckley Country Day School - I.U. Willets Road, Herricks, Long Island, New York, USA",1420,825
"Chicago Hilton & Towers - 720 S. Michigan Avenue, Downtown, Chicago, Illinois, USA",1421,826
"7 West 30th Street, New York City, New York, USA",1422,827
USA,1423,21
"Bray Studios, Down Place, Oakley Green, Berkshire, England, UK",1424,100
,1425,3
,1426,3
"Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",1427,828
"Barrandov Studios, Prague, Czech Republic",1428,477
,1429,3
"Britannia Beach, British Columbia, Canada",1430,18
"Albany, Auckland, New Zealand",1431,829
"Stage 16, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1432,830
"BCE Place, Toronto, Ontario, Canada",1433,810
,1434,3
"London, England, UK",1435,22
"5225 Lankershim Boulevard, North Hollywood, Los Angeles, California, USA",1436,831
"California, USA",1437,27
"Tatabánya, Hungary",1438,832
New Zealand,1439,833
"Los Angeles, California, USA",1440,10
"Laigueglia, Liguria, Italy",1441,834
,1442,3
"Cinespace Film Studios, Toronto, Ontario, Canada",1443,835
"1000 Block Figueroa Terrace, Los Angeles, California, USA",1444,836
"Flagstaff, Arizona, USA",1445,837
"Millbrook, Ontario, Canada",1446,838
"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",1447,209
"Milbank & McFie House - 3340 Country Club Drive, Midtown, Los Angeles, California, USA",1448,839
"Burnaby, British Columbia, Canada",1449,840
,1450,3
"Las Vegas Boulevard South, Las Vegas, Nevada, USA",1451,841
"Providence, Rhode Island, USA",1452,171
"Los Angeles, California, USA",1453,10
"Central Park, Manhattan, New York City, New York, USA",1454,228
"Charlottesville, Virginia, USA",1455,842
,1456,3
,1457,3
,1458,3
"Beijing, China",1459,843
"Albuquerque Studios - 5650 University Boulevard SE, Albuquerque, New Mexico, USA",1460,844
"Acton Lane Power Station, Acton Lane, Acton, London, England, UK",1461,845
"Santa Clarita, California, USA",1462,26
"Shepperton Studios, Shepperton, Surrey, England, UK",1463,32
"Buckinghamshire, England, UK",1464,596
"Valley of Fire State Park - Route 169, Overton, Nevada, USA",1465,846
"Harold Lloyd's Greenacres Estate - 1740 Green Acres Drive, Beverly Hills, California, USA",1466,847
"Santa Clarita, California, USA",1467,26
"Mont-Blanc, Chamonix, Haute-Savoie, France",1468,848
"Belmont Tunnel - 1304 West 2nd Street, Los Angeles, California, USA",1469,849
"Hamilton Pool, Dripping Springs, Texas, USA",1470,850
"Dallas Municipal Building - 106 South Harwood, Dallas, Texas, USA",1471,851
"Sony Pictures Plaza, Culver City, California, USA",1472,852
,1473,3
,1474,3
"Pirates World Amusement Park - Sheridan Street, Dania, Florida, USA",1475,608
,1476,3
,1477,3
"2822-2824 Rosehill St, Philadelphia, Pensylvannia, USA",1478,853
,1479,3
,1480,3
"Toronto, Ontario, Canada",1481,87
"Lancaster, California, USA",1482,854
Romania,1483,80
,1484,3
"Anchorage, Alaska, USA",1485,855
,1486,3
,1487,3
"Main Post Office - 2000 Allston Way, Berkeley, California, USA",1488,856
"Disney's Hollywood Studios, Walt Disney World, Lake Buena Vista, Florida, USA",1489,106
USA,1490,21
"Atlanta, Georgia, USA",1491,154
"729 East 11th Street, Eugene, Oregon, USA",1492,857
"Chiang Mai, Thailand",1493,858
"Brooklyn, New York City, New York, USA",1494,33
"Arizona, USA",1495,188
"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",1496,362
Canada,1497,190
,1498,3
,1499,3
,1500,3
,1501,3
"Central Park, Manhattan, New York City, New York, USA",1502,228
,1503,3
,1504,3
,1505,3
,1506,3
"West Wycombe Park, West Wycombe, Buckinghamshire, England, UK",1507,859
Argentina,1508,860
,1509,3
"Austin, Texas, USA",1510,203
,1511,3
"New York City, New York, USA",1512,9
"Berlin, Germany",1513,12
"Los Angeles, California, USA",1514,10
,1515,3
"Llechwedd Slate Caverns, Llechwedd Slate Mine, Blaenau Ffestiniog, Gwynedd, Wales, UK",1516,861
"Barwick Studios - 4585 Electronics Place, Los Angeles, California, USA",1517,862
"1102 Del Rey Avenue, Pasadena, California, USA",1518,863
"Brooklyn Bridge, New York City, New York, USA",1519,688
"Columbia Arena 7011 University Ave NE Fridley, Minnesota, USA",1520,864
"Austin, Texas, USA",1521,203
"Chicago, Illinois, USA",1522,230
"Arroyo Grande, California, USA",1523,865
"Brooklyn, New York City, New York, USA",1524,33
"Kramarczuk's Sausage Company, 215 E Hennepin Avenue, Minneapolis, Minnesota, USA",1525,866
"Cook Memorial Arena - 11091 Mississippi Boulevard, Coon Rapids, Minnesota, USA",1526,867
"Texas, USA",1527,626
"Los Angeles, California, USA",1528,10
USA,1529,21
USA,1530,21
"1400 Tower Grove Drive, Beverly Hills, California, USA",1531,868
Canada,1532,190
"Johannesburg, Gauteng, South Africa",1533,869
"Tennessee, USA",1534,870
"59 Hyde Avenue, Newton, Massachusetts, USA",1535,871
"Richmond, Virginia, USA",1536,872
"Huntington Beach, California, USA",1537,873
"992 S Oakland Avenue, Pasadena, California, USA",1538,874
"Craigdarroch Castle, Victoria, British Columbia, Canada",1539,875
"Tufts University - 169 Holland Street, Somerville, Massachusetts, USA",1540,876
"Atlanta, Georgia, USA",1541,154
"Vancouver, British Columbia, Canada",1542,47
,1543,3
"Los Angeles, California, USA",1544,10
"California, USA",1545,27
,1546,3
"635 South Mateo Street, Los Angeles, California, USA",1547,877
"Condon, Oregon, USA",1548,878
"Knott's Berry Farm, Buena Park, California, USA",1549,879
,1550,3
,1551,3
"Ridgefield, Connecticut, USA",1552,880
,1553,3
,1554,3
"New Orleans, Louisiana, USA",1555,48
,1556,3
"Alpine, Texas, USA",1557,881
"Jackson, Mississippi, USA",1558,882
"Jordan Bay, Nova Scotia, Canada",1559,883
"Black River Farm and Ranch 5040 Sheridan Line, Croswell, Michigan, USA",1560,884
"Big Sky Ranch - 4927 Bennett Road, Simi Valley, California, USA",1561,885
"Alberta, Canada",1562,462
"Germanton, North Carolina, USA",1563,886
Canada,1564,190
"Kansas City, Missouri, USA",1565,887
"Benson, Arizona, USA",1566,888
"Los Angeles, California, USA",1567,10
"Roosevelt Hotel, Hollywood, California, USA",1568,889
,1569,3
"Downtown, Los Angeles, California, USA",1570,94
,1571,3
"Chippewa Falls, Wisconsin, USA",1572,890
,1573,3
"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",1574,209
"Rich Hill, Missouri, USA",1575,891
"New York City, New York, USA",1576,9
"Castle Green Apartments - 99 S. Raymond, Pasadena, California, USA",1577,312
"Abraham & Straus Department Store, 422 Fulton St., Brooklyn, New York City, New York, USA",1578,892
"Palatine, Illinois, USA",1579,893
"Alberta, Canada",1580,462
"16801 Encino Hills Dr., Encino, California, USA",1581,894
"Aardman Animation Studios, Bradley Stoke, Bristol, England, UK",1582,895
"Dallas Center, Iowa, USA",1583,896
,1584,3
"Huntsville, Alabama, USA",1585,897
"Manhattan, New York City, New York, USA",1586,200
"Long Island, New York, USA",1587,898
,1588,3
"Alberta, Canada",1589,462
"Guanajuato, Guanajuato, Mexico",1590,899
,1591,3
,1592,3
Brazil,1593,900
"Mt. Whitney, California, USA",1594,901
"De Laurentiis Studios, Wilmington, North Carolina, USA",1595,902
,1596,3
"Santa Clarita, California, USA",1597,26
,1598,3
,1599,3
"Baker, California, USA",1600,903
"Gardnerville, Nevada, USA",1601,904
"Cotati, California, USA",1602,905
"Acton, California, USA",1603,906
"Santa Clarita, California, USA",1604,26
"Adel, Iowa, USA",1605,907
"Los Angeles, California, USA",1606,10
"Haverhill, Massachusetts, USA",1607,908
Canada,1608,190
"Chicago, Illinois, USA",1609,230
"Alpine, Texas, USA",1610,881
"Laclede's Landing, St. Louis, Missouri, USA",1611,909
Namibia,1612,910
Botswana,1613,541
"Chiang Mai, Thailand",1614,858
"Baltimore, Maryland, USA",1615,38
"Sierra de Organos, Sombrerete, Zacatecas, Mexico",1616,911
"Greenwich Studios - 12100 Ivan Tors Boulevard, Miami, Florida, USA",1617,912
Austria,1618,913
Kenya,1619,914
"Main Street, St. Helena, Napa Valley, California, USA",1620,915
"Charleston, South Carolina, USA",1621,508
"Salzburg Cathedral, Salzburg, Austria",1622,916
,1623,3
"Bergenfield, New Jersey, USA",1624,917
"Portland, Oregon, USA",1625,24
"Ann Arbor, Michigan, USA",1626,351
"Dresden Room Restaurant - 1760 N. Vermont Avenue, Los Feliz, Los Angeles, California, USA",1627,817
"Burbank, California, USA",1628,49
"Orpheum Theater 842 S. Broadway, Los Angeles, California, USA",1629,918
"2720 Grand River Avenue, Detroit, Michigan, USA",1630,919
"ThiaMedia Studios, Glendale, California, USA",1631,920
,1632,3
"186 South LaSalle Street, Chicago, Illinois, USA",1633,921
"Bradbury Building - 304 S. Broadway, Downtown, Los Angeles, California, USA",1634,238
,1635,3
"Backlot, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",1636,773
"Agua Dulce Air Park - 33638 Agua Dulce Canyon Road, Agua Dulce, California, USA",1637,922
"Akbar - 4356 Sunset Boulevard, Silver Lake, Los Angeles, California, USA",1638,923
"Coney Island Boardwalk, Brooklyn, New York City, New York, USA",1639,924
,1640,3
,1641,3
"Calgary, Alberta, Canada",1642,631
"Chatsworth, Los Angeles, California, USA",1643,925
"Carson, California, USA",1644,926
"Bangkok, Thailand",1645,739
"Théâtre de l'Athénée, Paris, France",1646,927
"Wellington, New Zealand",1647,554
"Arc de Triomphe, Paris 8, Paris, France",1648,928
"Saddle Rock Ranch - 31727 Mullholland Highway, Malibu, California, USA",1649,929
"310 Loma Dr, Los Angeles, California, USA",1650,930
"New York City, New York, USA",1651,9
"Alverno High School - 200 North Michillinda Avenue, Sierra Madre, California, USA",1652,931
"36-42 Maitland Street, Toronto, Ontario, Canada",1653,932
"Baltimore, Maryland, USA",1654,38
,1655,3
"Colorado, USA",1656,933
,1657,3
,1658,3
,1659,3
,1660,3
,1661,3
"Armstrong jr.college, Savannah, Georgia, USA",1662,934
"Los Angeles, California, USA",1663,10
"City Hall - Broad and 15th Streets, Philadelphia, Pennsylvania, USA",1664,935
"Roehampton Church School, Wandsworth, London, England, UK",1665,936
"Coquitlam, British Columbia, Canada",1666,937
"Providence, Rhode Island, USA",1667,171
"Ashridge Park, Little Gaddesden, Hertfordshire, England, UK",1668,938
Malta,1669,52
"Riviera Country Club - 1250 Capri Drive, Pacific Palisades, Los Angeles, California, USA",1670,939
,1671,3
"Los Angeles, California, USA",1672,10
,1673,3
,1674,3
"Atlantic City, New Jersey, USA",1675,940
"Millennium Studios- 300 Douglas Street, Shreveport, Louisiana, USA",1676,564
South Africa,1677,262
,1678,3
"Six Flags New Orleans: Abandoned Amusement Park, Michoud Boulevard, New Orleans, Louisiana, USA",1679,941
"Plaza Hotel - 750 Fifth Avenue, Manhattan, New York City, New York, USA",1680,942
"Grand Central Market, 317 S. Broadway, Los Angeles, California, USA",1681,943
,1682,3
,1683,3
,1684,3
"Los Angeles, California, USA",1685,10
"Park City, Utah, USA",1686,944
"Arlington Heights, Illinois, USA",1687,457
"Bally's Casino Resort - 3645 Las Vegas Boulevard South, Las Vegas, Nevada, USA",1688,945
"Kromeríz, Czech Republic",1689,946
,1690,3
Bulgaria,1691,375
"Alameda, California, USA",1692,28
"Brandon, Florida, USA",1693,947
"2000 Naperville Wheaton Rd., Naperville, Illinois, USA",1694,948
"Castel Film Studios, Bucharest, Romania",1695,949
"McClure Tunnel, Santa Monica, California, USA",1696,950
"Granada Hills, Los Angeles, California, USA",1697,951
Philippines,1698,364
"Pacific Central Station, 1150 Station Street, Vancouver, British Columbia, Canada",1699,952
"Hollywood, Los Angeles, California, USA",1700,586
Canada,1701,190
"Heber City, Utah, USA",1702,953
"Lord Kitchener Elementary School, Vancouver, British Columbia, Canada",1703,954
,1704,3
"Astoria, Queens, New York City, New York, USA",1705,747
,1706,3
"Austin, Texas, USA",1707,203
,1708,3
,1709,3
"Pullman Kitchen - 205 5th Street, Santa Rosa, California, USA",1710,955
Bulgaria,1711,375
"Statue of Liberty, Liberty Island, New York Harbor, New York City, New York, USA",1712,258
"Baton Rouge, Louisiana, USA",1713,229
,1714,3
"Los Angeles, California, USA",1715,10
,1716,3
"Los Angeles, California, USA",1717,10
"837 Beacon Ave, Los Angeles, California, USA",1718,956
,1719,3
"Muttontown Country Club, East Norwich, New York, USA",1720,957
"Natchitoches, Louisiana, USA",1721,958
"Massachusetts, USA",1722,959
"280 Westbourne Park Road, Notting Hill, London, England, UK",1723,960
"Chicago, Illinois, USA",1724,230
"Giorgio Beverly Hills - 273 North Rodeo Drive, Beverly Hills, California, USA",1725,961
"Waugh United Methodist Church - 11453 Long Green Pike, Glen Arm, Maryland, USA",1726,962
"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",1727,362
"Filoli Estate - 86 Cañada Road, Woodside, California, USA",1728,963
"Baltimore, Maryland, USA",1729,38
"Los Angeles, California, USA",1730,10
"Norwich Cathedral, Norwich, Norfolk, England, UK",1731,964
,1732,3
"New Mexico, USA",1733,965
"Ealing Studios, Ealing, London, England, UK",1734,966
"Castle Coole, Northern Ireland, UK",1735,967
"Dublin, Ireland",1736,394
"Brentwood, Los Angeles, California, USA",1737,469
"Los Angeles, California, USA",1738,10
"Philadelphia, Pennsylvania, USA",1739,758
,1740,3
,1741,3
Malta,1742,52
"Toronto, Ontario, Canada",1743,87
,1744,3
"Quincy, Massachusetts, USA",1745,968
"Atlanta, Georgia, USA",1746,154
"Nemocón, Colombia",1747,969
"New Boyana Film Studios, Sofia, Bulgaria",1748,970
"Munich, Bavaria, Germany",1749,971
"Cape Town, Western Cape, South Africa",1750,972
"Vancouver, British Columbia, Canada",1751,47
"Kern County, California, USA",1752,973
"Claydon House, Middle Claydon, Buckinghamshire, England, UK",1753,974
"Jackson Hole Restaurant, Manhattan, New York City, New York, USA",1754,975
"Terminal Island, Wilmington, Los Angeles, California, USA",1755,976
"Mt. Warning National Park, Murwillumbah, New South Wales, Australia",1756,977
"Los Angeles, California, USA",1757,10
"Goshen, New York, USA",1758,978
"Prague, Czech Republic",1759,191
"Seattle, Washington, USA",1760,486
"Saint Nicholas Terrace & 135th. Street, Harlem, New York City, New York, USA",1761,979
"Chicago, Illinois, USA",1762,230
"2817 Sauer St, Houston, Texas, USA",1763,980
"11th Avenue / Vernon Avenue, Leimert Park, Los Angeles, California, USA",1764,981
"126th Street, Los Angeles, California, USA",1765,982
USA,1766,21
"New York City, New York, USA",1767,9
,1768,3
"Chicago, Illinois, USA",1769,230
"Simi Valley Drive-In, Simi Valley, California, USA",1770,983
"Grant's Tomb - 122th Street & Riverside Drive, Manhattan, New York City, New York, USA",1771,984
"Los Angeles, California, USA",1772,10
"Mount Vernon, New York, USA",1773,985
"Falls Lake, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1774,986
"421 W. Eighth Street, Los Angeles, California, USA",1775,987
"Hill Crest Inn, 9111 Sepulveda Blvd, North Hills, California, USA",1776,988
"Okaloosa County, Florida, USA",1777,989
"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",1778,56
"NY Eye and Ear Infirmary, 2nd Avenue & East 13th Street, New York City, New York, USA",1779,990
"Calvados, France",1780,991
"Józefa, Kraków, Malopolskie, Poland",1781,992
"Santa Clarita, California, USA",1782,26
"Bedfordshire, England, UK",1783,993
Philippines,1784,364
"2409 Thirty Second Street, Astoria, Queens, New York City, New York, USA",1785,994
"13140 Charlevoix St, Detroit, Michigan, USA",1786,995
"New York City, New York, USA",1787,9
"Blue Lagoon, Comino, Malta",1788,996
"Jackson Hole, Wyoming, USA",1789,997
"Times Square, Causeway Bay, Hong Kong",1790,998
"5506 Atlas St, Los Angeles, California, USA",1791,999
"Los Angeles, California, USA",1792,10
"St. Croix, U.S. Virgin Islands",1793,1000
"Barstow, California, USA",1794,1001
"Columbus, Texas, USA",1795,1002
"Bayonne, New Jersey, USA",1796,1003
"Apple Valley, California, USA",1797,1004
"Downtown, Los Angeles, California, USA",1798,94
"Hugus Alley, Pasadena, California, USA",1799,1005
"Lake Sherwood, California, USA",1800,120
"Jacksonville, Florida, USA",1801,1006
"State of Morelos, Mexico",1802,1007
"Alberta, Canada",1803,462
"Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",1804,70
"Higuerote, Estado Miranda, Venezuela",1805,1008
"Warwick, New York, USA",1806,1009
"Belleville, Illinois, USA",1807,1010
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",1808,54
"Auberge de la Moutière - 14 Rue Moutière, Montfort-l'Amaury, Yvelines, France",1809,1011
"Lincoln International Airport, Lincoln, Nebraska, USA",1810,1012
"London, England, UK",1811,22
"Danforth Music Hall - 147 Danforth Ave., Toronto, Ontario, Canada",1812,1013
"Almería, Andalucía, Spain",1813,358
"England, UK",1814,45
"Holy Name Cemetery, Jersey City, New Jersey, USA",1815,1014
"Bridgeport, Connecticut, USA",1816,1015
"Manhattan, New York City, New York, USA",1817,200
,1818,3
,1819,3
"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",1820,209
"21 W Dayton St, Pasadena, California, USA",1821,1016
"Atlanta, Georgia, USA",1822,154
"Massachusetts, USA",1823,959
"60-15 Eliot Avenue, Middle Village, Queens, New York City, New York, USA",1824,1017
"Kaua'i, Hawaii, USA",1825,128
"Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA",1826,116
"Washington, DC, USA",1827,1018
,1828,3
,1829,3
"Playboy Mansion - 10236 Charing Cross Road, Holmby Hills, Los Angeles, California, USA",1830,1019
"Bucharest, Romania",1831,1020
"Action Under Water Studios, Hertford Road, Waltham Cross, Hertfordshire, England, UK",1832,1021
"Los Angeles, California, USA",1833,10
"Butter Island, Penobscot Bay, Maine, USA",1834,1022
"Burrard SkyTrain Station, Vancouver, British Columbia, Canada",1835,1023
"Grove Street, Bishop, California, USA",1836,1024
"DeKalb, Illinois, USA",1837,1025
"Los Angeles, California, USA",1838,10
"Baltimore, Maryland, USA",1839,38
"Atlanta, Georgia, USA",1840,154
,1841,3
"3662 Mountain View Avenue, Los Angeles, California, USA",1842,1026
,1843,3
"Buntzen Lake, Anmore, British Columbia, Canada",1844,1027
"Vancouver, British Columbia, Canada",1845,47
"Lockhart, Texas, USA",1846,1028
"Newport News, Virginia, USA",1847,1029
"Montréal, Québec, Canada",1848,46
"Chicago, Illinois, USA",1849,230
,1850,3
"Harbor Star Stage, San Pedro, Los Angeles, California, USA",1851,1030
"Christchurch, Hampshire, England, UK",1852,1031
"1811 McDuffie St, Houston, Texas, USA",1853,1032
"Los Angeles River, California, USA",1854,1033
"Metairie, Louisiana, USA",1855,1034
"Goodyear Tire & Rubber Plant, Los Angeles, California, USA",1856,1035
"Goldwyn Studios, 1041 North Formosa Avenue, West Hollywood, California, USA",1857,1036
"Mendocino, California, USA",1858,1037
,1859,3
"Buftea Studios, Bucharest, Romania",1860,1038
"Ashland-Belle Helene Plantation - State Highway 75, Geismer, Louisiana, USA",1861,1039
Australia,1862,615
"Claiborne Avenue Bridge, New Orleans, Louisiana, USA",1863,1040
"Elyria, Ohio, USA",1864,1041
,1865,3
"Los Angeles Center Studios - 450 S. Bixel Street, Downtown, Los Angeles, California, USA",1866,1042
"Boston, Massachusetts, USA",1867,174
"Los Angeles, California, USA",1868,10
"Circus Liquor - 5600 Vineland Avenue, North Hollywood, Los Angeles, California, USA",1869,1043
"Portland, Oregon, USA",1870,24
"Maupin, Oregon, USA",1871,1044
"Whitaker Middle School, 5700 NE 39th, Portland, Oregon, USA",1872,1045
"Terrebonne, Oregon, USA",1873,1046
"Burnside Skatepark, Portland, Oregon, USA",1874,1047
"Buffalo, New York, USA",1875,1048
