State,HospitalOwner,original_index,unique_index,count
al,voluntary non-profit - private,830,0,253
al,voluntary non-profit - private,831,0,253
al,voluntary non-profit - private,832,0,253
al,voluntary non-profit - private,833,0,253
al,voluntary non-profit - private,834,0,253
al,voluntary non-profit - private,835,0,253
al,voluntary non-profit - private,836,0,253
al,voluntary non-profit - private,837,0,253
al,voluntary non-profit - private,838,0,253
al,voluntary non-profit - private,839,0,253
al,voluntary non-profit - private,840,0,253
al,voluntary non-profit - private,841,0,253
al,voluntary non-profit - private,842,0,253
al,voluntary non-profit - private,843,0,253
al,voluntary non-profit - private,844,0,253
al,voluntary non-profit - private,845,0,253
al,voluntaxy non-pxofit - pxivate,846,41,2
al,voluntary non-profit - private,847,0,253
al,voluntary non-profit - private,848,0,253
al,voluntary non-profit - private,849,0,253
al,voluntary non-profit - private,850,0,253
al,voluntary non-profit - private,851,0,253
al,voluntary non-profit - private,852,0,253
al,voluntary non-profit - private,853,0,253
al,voluntary non-profit - private,854,0,253
al,voluntary non-profit - private,855,0,253
al,voluntary non-profit - private,856,0,253
al,voluntary non-profit - private,857,0,253
al,voluntary non-profit - private,858,0,253
al,voluntary non-profit - private,859,0,253
al,voluntary non-profit - private,860,0,253
al,voluntary non-profit - private,861,0,253
al,voluntary non-profit - private,862,0,253
al,voluntary non-profit - private,863,0,253
al,voluntary non-profit - private,864,0,253
al,voluntary non-profit - private,865,0,253
al,voluntary non-profit - private,866,0,253
al,voluntary non-profit - private,867,0,253
al,voluxtary xox-profit - private,868,42,1
al,voluntary non-profit - private,869,0,253
al,voluntary non-profit - private,870,0,253
al,voluntary non-profit - private,871,0,253
al,voluntaxy non-pxofit - pxivate,872,41,2
al,voluntary non-profit - private,873,0,253
al,voluntary non-profit - private,874,0,253
al,voluntary non-profit - private,875,0,253
al,voluntary non-profit - private,876,0,253
al,voluntary non-profit - other,877,7,118
al,voluntary non-profit - other,878,7,118
al,voluntary non-profit - other,879,7,118
al,voluntary non-profit - other,880,7,118
al,voluntary non-profit - other,881,7,118
al,voluntary non-profit - other,882,7,118
al,voluntary non-profit - other,883,7,118
xl,voluntary non-profit - other,884,8,3
al,voluntary non-profit - other,885,7,118
xl,voluntary non-profit - other,886,8,3
al,voluntary non-profit - other,887,7,118
al,voluntary non-profit - other,888,7,118
al,voluntary non-profit - other,889,7,118
al,voluntary non-profit - other,890,7,118
al,voluntary non-profit - other,891,7,118
al,voluntary non-profit - other,892,7,118
al,voluntary non-profit - other,893,7,118
al,voluntary non-profit - other,894,7,118
al,voluntary non-profit - other,895,7,118
al,voluntary non-profit - other,896,7,118
al,voluntary non-profit - other,897,7,118
al,voluntary non-profit - other,898,7,118
al,voluntary non-profit - other,899,7,118
al,voluntary non-profit - other,900,7,118
al,voluntary non-profit - other,901,7,118
al,proprietary,902,13,189
al,proprietary,903,13,189
al,proprietary,904,13,189
al,proprietary,905,13,189
al,proprietary,906,13,189
al,proprietary,907,13,189
al,proprietary,908,13,189
al,proprietary,909,13,189
al,proprietary,910,13,189
al,proprietary,911,13,189
al,proprietary,912,13,189
al,proprietary,913,13,189
al,proprietary,914,13,189
al,proprietary,915,13,189
al,proprietary,916,13,189
al,proprietary,917,13,189
al,proprietary,918,13,189
al,proprietary,919,13,189
al,proprietary,920,13,189
al,proprietary,921,13,189
ax,proprietary,922,17,2
al,proprietary,923,13,189
al,proprietary,924,13,189
al,proprietary,925,13,189
al,proprietary,926,13,189
al,proprietary,927,13,189
al,proprietary,928,13,189
al,proprietary,929,13,189
al,voluntary non-profit - private,930,0,253
al,voluntary non-profit - private,931,0,253
al,voluntary non-profit - private,932,0,253
al,voluntary non-profit - private,933,0,253
al,voluntary non-profit - private,934,0,253
al,voluntary non-profit - private,935,0,253
al,voluntary non-profit - private,936,0,253
al,voluntary non-profit - private,937,0,253
al,voluntary non-profit - private,938,0,253
al,voluntary non-profit - private,939,0,253
al,voluntary non-profit - private,940,0,253
al,voluntary non-profit - private,941,0,253
al,voluntary non-profit - private,942,0,253
al,voluntary non-profit - private,943,0,253
al,voluntary non-profit - private,944,0,253
al,voluntary non-profit - private,945,0,253
al,voluntary non-profit - private,946,0,253
al,voluntary non-profit - private,947,0,253
al,voluntary non-profit - private,948,0,253
al,voluntary non-profit - private,949,0,253
al,voluntary non-profit - private,950,0,253
al,voluntary non-profit - private,951,0,253
al,voluntary non-profit - private,952,0,253
al,voluntary non-profit - private,953,0,253
al,voluntary non-profit - private,954,0,253
al,proprietary,955,13,189
al,proprietary,956,13,189
al,proprietary,957,13,189
al,proprietary,958,13,189
al,proprietary,959,13,189
al,proprietary,960,13,189
al,proprietary,961,13,189
al,proprietary,962,13,189
al,proprietary,963,13,189
al,proprietary,964,13,189
al,proprietary,965,13,189
al,proprietary,966,13,189
al,proprietary,967,13,189
al,proprietary,968,13,189
al,proprietary,969,13,189
al,proprietary,970,13,189
al,proprietary,971,13,189
al,proprietary,972,13,189
al,proprietary,973,13,189
al,proprietary,974,13,189
al,proprietary,975,13,189
al,proprietary,976,13,189
al,proprietary,977,13,189
al,proprietary,978,13,189
al,proprietary,979,13,189
al,voluntary non-profit - private,980,0,253
al,voluntary non-profit - private,981,0,253
al,voluntary non-profit - private,982,0,253
al,voluntary non-profit - private,983,0,253
al,voluntary non-profit - private,984,0,253
al,voluntary non-profit - private,985,0,253
al,voluntary non-profit - private,986,0,253
al,voluntary non-profit - private,987,0,253
al,voluntary non-profit - private,988,0,253
al,voluntary non-profit - private,989,0,253
al,voluntary non-profit - private,990,0,253
al,voluntary non-profit - private,991,0,253
al,voluntary non-profit - private,992,0,253
al,voluntary non-profit - private,993,0,253
al,voluntary non-profit - private,994,0,253
al,voluntary non-profit - private,995,0,253
al,voluntary non-profit - private,996,0,253
al,voluntary non-profit - private,997,0,253
al,voluntary non-profit - private,998,0,253
al,voluntary non-profit - private,999,0,253
