ibu,original_index,unique_index
22.0,1941,46
,1942,0
32.0,1943,56
65.0,1944,9
72.0,1945,66
65.0,1946,9
45.0,1947,3
60.0,1948,1
20.0,1949,22
80.0,1950,23
40.0,1951,30
20.0,1952,22
60.0,1953,1
45.0,1954,3
,1955,0
23.0,1956,35
110.0,1957,101
100.0,1958,73
110.0,1959,101
40.0,1960,30
20.0,1961,22
100.0,1962,73
,1963,0
23.0,1964,35
50.0,1965,15
45.0,1966,3
20.0,1967,22
35.0,1968,10
,1969,0
,1970,0
,1971,0
,1972,0
,1973,0
,1974,0
,1975,0
,1976,0
,1977,0
,1978,0
,1979,0
,1980,0
,1981,0
22.0,1982,46
22.0,1983,46
,1984,0
,1985,0
20.0,1986,22
52.0,1987,7
12.0,1988,43
52.0,1989,7
65.0,1990,9
17.0,1991,5
25.0,1992,24
65.0,1993,9
9.0,1994,68
9.0,1995,68
33.0,1996,27
9.0,1997,68
9.0,1998,68
64.0,1999,69
9.0,2000,68
9.0,2001,68
9.0,2002,68
,2003,0
15.0,2004,16
7.0,2005,67
7.0,2006,67
7.0,2007,67
,2008,0
13.0,2009,20
15.0,2010,16
32.0,2011,56
7.0,2012,67
33.0,2013,27
14.0,2014,72
9.0,2015,68
31.0,2016,83
,2017,0
,2018,0
,2019,0
,2020,0
25.0,2021,24
30.0,2022,18
70.0,2023,6
,2024,0
8.0,2025,44
8.0,2026,44
13.0,2027,20
49.0,2028,84
40.0,2029,30
55.0,2030,36
100.0,2031,73
29.0,2032,81
,2033,0
23.0,2034,35
20.0,2035,22
23.0,2036,35
36.0,2037,28
30.0,2038,18
23.0,2039,35
75.0,2040,17
75.0,2041,17
75.0,2042,17
75.0,2043,17
,2044,0
30.0,2045,18
55.0,2046,36
77.0,2047,78
50.0,2048,15
75.0,2049,17
23.0,2050,35
,2051,0
,2052,0
27.0,2053,38
23.0,2054,35
60.0,2055,1
,2056,0
24.0,2057,74
23.0,2058,35
24.0,2059,74
24.0,2060,74
,2061,0
91.0,2062,102
30.0,2063,18
77.0,2064,78
23.0,2065,35
60.0,2066,1
23.0,2067,35
20.0,2068,22
50.0,2069,15
,2070,0
,2071,0
,2072,0
,2073,0
85.0,2074,52
69.0,2075,39
90.0,2076,76
37.0,2077,65
34.0,2078,57
45.0,2079,3
45.0,2080,3
120.0,2081,103
20.0,2082,22
33.0,2083,27
99.0,2084,77
50.0,2085,15
10.0,2086,37
35.0,2087,10
38.0,2088,26
18.0,2089,13
,2090,0
35.0,2091,10
,2092,0
,2093,0
,2094,0
95.0,2095,91
,2096,0
44.0,2097,54
44.0,2098,54
28.0,2099,14
19.0,2100,34
19.0,2101,34
28.0,2102,14
34.0,2103,57
20.0,2104,22
35.0,2105,10
20.0,2106,22
20.0,2107,22
110.0,2108,101
12.0,2109,43
93.0,2110,92
20.0,2111,22
20.0,2112,22
,2113,0
,2114,0
20.0,2115,22
16.0,2116,53
93.0,2117,92
22.0,2118,46
20.0,2119,22
60.0,2120,1
,2121,0
,2122,0
,2123,0
80.0,2124,23
35.0,2125,10
,2126,0
,2127,0
22.0,2128,46
,2129,0
,2130,0
,2131,0
,2132,0
,2133,0
,2134,0
42.0,2135,4
35.0,2136,10
23.0,2137,35
12.0,2138,43
69.0,2139,39
,2140,0
,2141,0
,2142,0
,2143,0
120.0,2144,103
120.0,2145,103
20.0,2146,22
75.0,2147,17
16.0,2148,53
15.0,2149,16
,2150,0
,2151,0
,2152,0
16.0,2153,53
46.0,2154,49
50.0,2155,15
35.0,2156,10
,2157,0
,2158,0
34.0,2159,57
101.0,2160,104
45.0,2161,3
,2162,0
,2163,0
,2164,0
,2165,0
,2166,0
,2167,0
,2168,0
18.0,2169,13
,2170,0
,2171,0
,2172,0
11.0,2173,12
18.0,2174,13
40.0,2175,30
82.0,2176,11
22.0,2177,46
50.0,2178,15
64.0,2179,69
31.0,2180,83
37.0,2181,65
27.0,2182,38
,2183,0
,2184,0
,2185,0
,2186,0
20.0,2187,22
12.0,2188,43
90.0,2189,76
,2190,0
115.0,2191,42
36.0,2192,28
22.0,2193,46
50.0,2194,15
35.0,2195,10
,2196,0
60.0,2197,1
35.0,2198,10
21.0,2199,25
18.0,2200,13
37.0,2201,65
28.0,2202,14
87.0,2203,55
33.0,2204,27
,2205,0
,2206,0
72.0,2207,66
,2208,0
30.0,2209,18
,2210,0
,2211,0
,2212,0
,2213,0
93.0,2214,92
45.0,2215,3
25.0,2216,24
85.0,2217,52
52.0,2218,7
65.0,2219,9
26.0,2220,19
63.0,2221,105
19.0,2222,34
41.0,2223,48
48.0,2224,50
27.0,2225,38
70.0,2226,6
,2227,0
70.0,2228,6
36.0,2229,28
20.0,2230,22
27.0,2231,38
70.0,2232,6
48.0,2233,50
,2234,0
69.0,2235,39
43.0,2236,31
43.0,2237,31
17.0,2238,5
36.0,2239,28
23.0,2240,35
,2241,0
,2242,0
68.0,2243,21
,2244,0
,2245,0
,2246,0
,2247,0
,2248,0
,2249,0
,2250,0
10.0,2251,37
22.0,2252,46
42.0,2253,4
83.0,2254,62
17.0,2255,5
32.0,2256,56
82.0,2257,11
34.0,2258,57
29.0,2259,81
,2260,0
75.0,2261,17
25.0,2262,24
,2263,0
,2264,0
,2265,0
,2266,0
,2267,0
,2268,0
,2269,0
,2270,0
90.0,2271,76
10.0,2272,37
,2273,0
,2274,0
50.0,2275,15
15.0,2276,16
,2277,0
,2278,0
,2279,0
24.0,2280,74
51.0,2281,64
,2282,0
,2283,0
33.0,2284,27
30.0,2285,18
90.0,2286,76
,2287,0
,2288,0
30.0,2289,18
,2290,0
15.0,2291,16
22.0,2292,46
,2293,0
,2294,0
,2295,0
22.0,2296,46
70.0,2297,6
,2298,0
75.0,2299,17
,2300,0
,2301,0
,2302,0
,2303,0
75.0,2304,17
,2305,0
,2306,0
,2307,0
,2308,0
,2309,0
,2310,0
,2311,0
25.0,2312,24
23.0,2313,35
31.0,2314,83
25.0,2315,24
85.0,2316,52
85.0,2317,52
37.0,2318,65
55.0,2319,36
50.0,2320,15
,2321,0
85.0,2322,52
,2323,0
17.0,2324,5
37.0,2325,65
20.0,2326,22
10.0,2327,37
55.0,2328,36
,2329,0
67.0,2330,40
20.0,2331,22
,2332,0
,2333,0
,2334,0
,2335,0
,2336,0
,2337,0
,2338,0
5.0,2339,47
16.0,2340,53
65.0,2341,9
22.0,2342,46
,2343,0
55.0,2344,36
,2345,0
,2346,0
,2347,0
89.0,2348,106
,2349,0
28.0,2350,14
,2351,0
,2352,0
,2353,0
,2354,0
,2355,0
,2356,0
30.0,2357,18
30.0,2358,18
30.0,2359,18
100.0,2360,73
,2361,0
,2362,0
27.0,2363,38
100.0,2364,73
100.0,2365,73
13.0,2366,20
23.0,2367,35
,2368,0
41.0,2369,48
21.0,2370,25
20.0,2371,22
25.0,2372,24
45.0,2373,3
,2374,0
,2375,0
,2376,0
,2377,0
,2378,0
83.0,2379,62
31.0,2380,83
,2381,0
60.0,2382,1
,2383,0
38.0,2384,26
,2385,0
61.0,2386,86
23.0,2387,35
72.0,2388,66
,2389,0
135.0,2390,107
15.0,2391,16
,2392,0
82.0,2393,11
15.0,2394,16
69.0,2395,39
69.0,2396,39
25.0,2397,24
30.0,2398,18
69.0,2399,39
50.0,2400,15
,2401,0
,2402,0
,2403,0
,2404,0
45.0,2405,3
,2406,0
,2407,0
40.0,2408,30
,2409,0
