article_language,journal_title,original_index,unique_index,count
ENG,"Public health nursing (Boston, Mass.)",642,510,1.0
eng,Circulation,643,511,1.0
eng,Acta dermato-venereologica,644,512,1.0
,,645,44,
eng,Protein science : a publication of the Protein Society,646,513,1.0
eng,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",647,514,1.0
eng,"JAAPA: Journal of the American Academy of Physician Assistants (Haymarket Media, Inc.)",648,515,1.0
eng,American journal of infection control,649,516,1.0
,Journal of Aging & Physical Activity,650,517,
eng,"Hepatology (Baltimore, Md.)",651,518,1.0
eng,Microb Drug Resist,652,519,1.0
,Stroke; a journal of cerebral circulation,653,520,
eng,J Grad Med Educ,654,521,1.0
,Health & Social Work,655,522,
eng,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",656,172,2.0
eng,Oral oncology,657,523,1.0
eng,Stroke; a journal of cerebral circulation,658,524,1.0
eng,Current drug targets,659,525,1.0
eng,Epilepsy research,660,526,1.0
,,661,44,
eng,The Journal of heart valve disease,662,527,1.0
eng,PLoS One,663,27,6.0
eng,Academic radiology,664,528,1.0
Eng,,665,529,
"Chinese     English, Chinese",Chinese Journal of Evidence-Based Medicine,666,530,1.0
,American Journal of Education,667,531,
,Cases J,668,532,
,,669,44,
,,670,44,
French,,671,533,
,Acta Derm.-Venereol.,672,534,
,Environmental monitoring and assessment,673,535,
eng,Acta Neurol Scand,674,536,1.0
,,675,44,
eng,,676,5,
,,677,44,
,,678,44,
eng,Journal of Experimental Psychology: General,679,537,1.0
,Science and Children,680,538,
,Basic and Clinical Pharmacology and Toxicology,681,539,
English,Health Education Research,682,540,1.0
eng,Infection and immunity,683,541,1.0
,,684,44,
eng,Photomedicine and laser surgery,685,542,1.0
,Eastern Mediterranean Health Journal,686,543,
eng,J Bone Joint Surg Am,687,544,1.0
eng,"Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics",688,545,1.0
jpn,,689,546,
eng,Clinical radiology,690,547,1.0
,Vaccine,691,548,
English,FASEB Journal. Conference: Experimental Biology,692,549,1.0
ENG,Blood pressure monitoring,693,550,1.0
eng,Psicothema,694,551,1.0
,Am J Public Health,695,552,
,J Anal Toxicol,696,553,
,Energy Policy,697,302,
eng,,698,5,
English,Business Wire,699,554,1.0
,,700,44,
English,"Respirology (Carlton, Vic.)",701,555,1.0
eng,Cochrane Database Syst Rev,702,16,2.0
,,703,44,
eng,BioMed research international,704,295,2.0
eng,J Appl Physiol,705,556,1.0
eng,Annals of medicine,706,557,1.0
eng,European journal of clinical nutrition,707,558,1.0
eng,Journal of personality and social psychology,708,559,1.0
eng,J Hand Surg Am,709,560,3.0
English,Physiotherapy Theory and Practice,710,561,1.0
,,711,44,
eng,BMC neurology,712,562,1.0
eng,,713,5,
,Nicotine & Tobacco Research,714,563,
eng,Pharmacy practice,715,564,1.0
,NeuroRehabilitation,716,565,
eng,Microsurgery,717,566,1.0
English,International Journal of Neuroscience,718,567,1.0
eng,Bjog,719,568,1.0
,Behaviour Research and Therapy,720,569,
eng,J Pediatr (Rio J),721,570,1.0
,Journal of Cardiovascular Electrophysiology,722,571,
eng,Molecular plant pathology,723,572,1.0
,,724,44,
,,725,44,
,,726,44,
,,727,44,
,Bioelectromagnetics,728,573,
,Journal of Mathematics Teacher Education,729,574,
,,730,44,
,Occupational and environmental medicine,731,575,
eng,J. Clin. Psychiatry,732,576,1.0
eng,,733,5,
eng,"Violencia contra a crianca: revelando o perfil dos atendimentos em servicos de emergencia, Brasil, 2006 e 2007.",734,577,1.0
eng,Birth,735,578,1.0
eng,Journal of addictive diseases,736,579,1.0
eng,Psychosomatic medicine,737,580,1.0
,J. Clin. Oncol.,738,581,
eng,J Hosp Infect,739,582,1.0
,Australian and New Zealand Journal of Psychiatry,740,583,
eng,,741,5,
,,742,44,
,,743,44,
eng,DEV. BIOL. STAND.,744,584,1.0
,Circulation,745,585,
Eng,Ann Rheum Dis,746,586,1.0
,,747,44,
,Hawaii J Med Public Health,748,587,
ger,"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz",749,588,1.0
eng,,750,5,
eng,Diabetes forecast,751,589,1.0
,,752,44,
ENG,Biomedical reports,753,590,1.0
jpn,Nihon Koshu Eisei Zasshi,754,591,1.0
eng,Am J Health Syst Pharm,755,592,1.0
eng,Oncology nursing forum,756,593,1.0
,,757,44,
en,Nurs Stand,758,594,1.0
,Value Health,759,595,
eng,EXPERIMENTAL CELL RESEARCH,760,596,1.0
eng,Leukemia & Lymphoma,761,597,1.0
eng,RADIOLOGY,762,598,1.0
,,763,44,
eng,Headache,764,599,1.0
eng,Res Nurs Health,765,600,1.0
,,766,44,
jpn,No shinkei geka. Neurological surgery,767,601,1.0
ENG,Circulation journal : official journal of the Japanese Circulation Society,768,602,1.0
eng,PLoS One,769,27,6.0
fre,Pr̩vention de l'insuffisance r̩nale induite par les produits de contrnste iodes,770,603,1.0
eng,Ann. Hematol.,771,604,1.0
eng,Journal of the National Cancer Institute,772,162,3.0
eng,"AIDS (London, England)",773,605,1.0
eng,"Oral surgery, oral medicine, and oral pathology",774,606,1.0
eng,Arch Intern Med,775,607,1.0
,,776,44,
,,777,44,
English     Italian,,778,608,
eng,Operative dentistry,779,609,1.0
eng,Mov Disord,780,610,1.0
eng,Psychological assessment,781,611,1.0
,,782,44,
,Turkish Online Journal of Educational Technology - TOJET,783,612,
ita,Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,784,462,2.0
,European Journal of Cancer,785,613,
English,Indian Journal of Psychiatry,786,614,1.0
rus,Stomatologii��a,787,615,1.0
eng,BMC medicine,788,616,1.0
,,789,44,
eng,"Oral surgery, oral medicine, oral pathology and oral radiology",790,617,1.0
ENG,"Journal of cardiovascular medicine (Hagerstown, Md.)",791,618,1.0
,"Exposicion severa a plomo ambiental en una poblacion infantil de Antofagasta, Chile.",792,619,
,Critical Care Nurse,793,620,
eng,"Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine",794,621,1.0
eng,Journal of clinical epidemiology,795,622,1.0
pt,,796,623,
eng,J Hand Surg Am,797,560,3.0
,,798,44,
eng,European journal of preventive cardiology,799,624,1.0
eng,Journal of the National Cancer Institute,800,162,3.0
eng,Alcohol Research & Health,801,625,1.0
eng,,802,5,
English,European Journal of Cancer Care,803,626,1.0
,Brain and Language,804,627,
,Chin. J. Evid.-Based Med.,805,628,
eng,Angewandte Chemie (International ed. in English),806,629,1.0
eng,Cardiology in the young,807,212,3.0
eng,Issues Ment Health Nurs,808,630,1.0
,Das Mikorklima der Wohnungen und seine hygienische Normierung.,809,631,
,,810,44,
,,811,44,
English,,812,20,
eng,Acta clinica Belgica,813,632,1.0
English,Journal of Biological Chemistry,814,633,1.0
eng,,815,5,
English,Journal of Oral & Maxillofacial Surgery,816,634,1.0
English,Acta Endocrinologica. Supplementum,817,635,1.0
eng,,818,5,
,Crit. Care Med.,819,636,
,,820,44,
eng,"Obesity (Silver Spring, Md.)",821,637,1.0
,,822,44,
eng,JAMA internal medicine,823,638,1.0
eng,Journal of hypertension,824,639,1.0
eng,Thorax,825,640,1.0
,International Medicine & Health Guidance News [Guo Ji Yi Yao Wei Sheng Dao Bao],826,641,
eng,Journal of the American Geriatrics Society,827,642,1.0
English,,828,20,
eng,World journal for pediatric & congenital heart surgery,829,643,1.0
English,,830,20,
eng,CANCER,831,64,2.0
,,832,44,
eng,The American journal of medicine,833,644,1.0
eng,Intensive care medicine,834,645,1.0
,Clinical & Translational Oncology: Official Publication of the Federation of Spanish Oncology Societes & of the National Cancer Institute of Mexico,835,646,
eng,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,836,647,1.0
eng,Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology,837,648,1.0
eng,"Shock (Augusta, Ga.)",838,649,1.0
eng,,839,5,
,,840,44,
eng,The New England journal of medicine,841,650,1.0
eng,Foot Ankle Int,842,651,1.0
,Military Medicine,843,652,
,,844,44,
English,Focus on Alternative and Complementary Therapies,845,653,1.0
eng,Int J Surg,846,654,1.0
,,847,44,
eng,Ann Rheum Dis,848,655,1.0
English,,849,20,
eng,International Journal of Oral & Maxillofacial Implants,850,656,1.0
,,851,44,
,Circulation,852,585,
eng,Human gene therapy,853,657,1.0
eng,Respiration; international review of thoracic diseases,854,658,1.0
eng,,855,5,
,,856,44,
,Circulation,857,585,
,Pediatrics,858,318,
,Value in Health,859,659,
,European respiratory journal,860,660,
ENG,Oral diseases,861,661,1.0
spa,Prediccion de la masa muscular apendicular esqueletica basado en mediciones antropometricas en Adultos Mayores Chilenos.,862,662,1.0
spa,"Tratamiento antibiotico intravenoso domiciliario del absceso hepatico: seguridad, eficacia y factores pronosticos de reingreso hospitalario.",863,663,1.0
English,,864,20,
eng,Pediatrics,865,664,1.0
eng,Cochrane Database Syst. Rev.,866,45,3.0
eng,Cancer chemotherapy and pharmacology,867,93,2.0
,Japanese Journal of Clinical Oncology,868,665,
eng,,869,5,
,Pediatric Infectious Disease Journal,870,666,
eng,Bmj Open,871,667,1.0
eng,The Behavioral and brain sciences,872,668,1.0
eng,,873,5,
eng,Archives of gynecology and obstetrics,874,669,1.0
eng,,875,5,
eng,,876,5,
,,877,44,
eng,Psychological medicine,878,670,1.0
eng,Academic Medicine: Journal Of The Association Of American Medical Colleges,879,671,1.0
eng,Nepal Medical College journal : NMCJ,880,70,2.0
,Journal of Psychopharmacology,881,672,
,Cost Effectiveness and Resource Allocation,882,673,
,Nippon Seikeigeka Gakkai zasshi,883,674,
,"Basic Rights: Subsistence, Affluence and U.S. Foreign Policy",884,675,
German,,885,676,
,,886,44,
ENG,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,887,677,1.0
eng,PLoS One,888,27,6.0
English; ABSTRACT LANGUAGE:English,Pain practice,889,678,1.0
,"Child: Care, Health & Development",890,679,
eng,J Hand Surg Am,891,560,3.0
eng,,892,5,
eng,The European respiratory journal,893,491,2.0
,,894,44,
eng,Sci Eng Ethics,895,680,1.0
,British journal of clinical pharmacology,896,681,
eng,,897,5,
,,898,44,
eng,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,899,682,1.0
,Anesthesiology,900,683,
,,901,44,
eng,Reviews in endocrine & metabolic disorders,902,684,1.0
English,Autonomic Neuroscience: Basic and Clinical,903,685,1.0
eng,Chest,904,686,1.0
,Hospital practice (1995),905,687,
,ProQuest LLC,906,169,
eng,The journal of ECT,907,688,1.0
English,Integrative Physiological and Behavioral Science,908,689,1.0
eng,Cancer,909,334,2.0
English,Proceedings of the National Academy of Sciences of the United States of America,910,690,1.0
eng,PLoS medicine,911,691,1.0
English,Psychology of Women Quarterly,912,692,1.0
eng,European journal of radiology,913,693,1.0
eng,Psycho-oncology,914,94,2.0
,Bioelectromagnetics,915,573,
,,916,44,
eng,Journal of the American College of Cardiology,917,694,1.0
eng,Anaesthesia,918,695,1.0
eng,JAMA neurology,919,696,1.0
ita,La Pediatria medica e chirurgica : Medical and surgical pediatrics,920,697,1.0
,Drug Topics,921,698,
,European respiratory journal,922,660,
,J. Chin. Integr. Med.,923,699,
eng,European Journal Of Anaesthesiology,924,467,2.0
English,Functional Neurology,925,143,2.0
,Medical Teacher,926,700,
,Pediatrics,927,318,
eng,,928,5,
English,Neurosurgical Focus,929,701,1.0
eng,International journal of medical informatics,930,702,1.0
eng,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,931,22,2.0
,,932,44,
,,933,44,
,,934,44,
eng,JRSM open,935,703,1.0
eng,Am J Crit Care,936,704,1.0
eng,J Surg Res,937,705,1.0
eng,Clin Nutr,938,706,1.0
,Chronic Illness,939,707,
English,Pharmacogenomics,940,708,1.0
eng,Tech Coloproctol,941,709,1.0
,Am. J. Ther.,942,710,
eng,Aging Ment Health,943,711,1.0
,Journal of environmental monitoring : JEM,944,712,
eng,,945,5,
,Journal of Consulting and Clinical Psychology,946,182,
,,947,44,
,,948,44,
,,949,44,
eng,PloS one,950,713,1.0
,,951,44,
pt,,952,623,
eng,International journal of obesity (2005),953,445,2.0
eng,Neuropsychopharmacology,954,714,1.0
,J. Thromb. Haemost.,955,715,
,Journal of Environmental Psychology,956,716,
eng,Current opinion in pediatrics,957,717,1.0
,Annals of internal medicine,958,718,
eng,European journal of pediatrics,959,719,1.0
,Journal of Rheumatology,960,720,
eng,Phytotherapy research : PTR,961,721,1.0
,Gait & Posture,962,722,
English,Current Opinion in Infectious Diseases,963,723,1.0
,Brain and behavior,964,724,
eng,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",965,725,1.0
ger,Laryngo- rhino- otologie,966,726,1.0
,Journal of health care for the poor and underserved,967,727,
eng,Acta paediatrica Scandinavica. Supplement,968,728,1.0
English,Journal of Neurotrauma,969,729,1.0
English,Pain Practice,970,730,1.0
English,JOURNAL OF CELL BIOLOGY,971,731,1.0
fre,Am. J. Cardiovasc. Drugs,972,732,1.0
eng,Planta,973,733,1.0
eng,Surgical infections,974,734,1.0
eng,Steroids,975,735,1.0
,,976,44,
eng,The Journal of antimicrobial chemotherapy,977,736,1.0
eng,GeneReviews(R),978,737,1.0
eng,Endocrinology,979,186,2.0
,Proceedings of SPIE - The International Society for Optical Engineering,980,738,
eng,Clin Obstet Gynecol,981,739,1.0
eng,Int J Epidemiol,982,740,1.0
eng,Am J Clin Nutr,983,347,2.0
,Biology of Blood and Marrow Transplantation,984,741,
,British Journal of Anaesthesia,985,742,
eng,,986,5,
eng,J Hum Hypertens,987,743,1.0
,,988,44,
eng,"Acta radiologica (Stockholm, Sweden : 1987)",989,744,1.0
,Am J Clin Nutr,990,745,
eng,American journal of respiratory and critical care medicine,991,746,1.0
eng,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,992,246,3.0
,CLINICAL TRIALS,993,747,
eng,Burns : journal of the International Society for Burn Injuries,994,748,1.0
eng,Am Rev Respir Dis,995,749,1.0
,Review of Scientific Instruments,996,750,
ENG,Female pelvic medicine & reconstructive surgery,997,751,1.0
English,International Journal of Colorectal Disease,998,752,1.0
,European Journal of Health Economics,999,753,
