style,original_index,unique_index
Hefeweizen,1097,48
Märzen / Oktoberfest,1098,44
American Pale Ale (APA),1099,1
Vienna Lager,1100,39
American IPA,1101,2
Winter Warmer,1102,12
Fruit / Vegetable Beer,1103,14
American Pale Wheat Ale,1104,22
American Black Ale,1105,16
American Pale Ale (APA),1106,1
American Amber / Red Ale,1107,19
American Pale Ale (APA),1108,1
Witbier,1109,40
American Pale Ale (APA),1110,1
American IPA,1111,2
Cream Ale,1112,38
American Blonde Ale,1113,18
American IPA,1114,2
American Pale Ale (APA),1115,1
American Blonde Ale,1116,18
American IPA,1117,2
Keller Bier / Zwickel Bier,1118,89
American Pale Lager,1119,0
American India Pale Lager,1120,90
American India Pale Lager,1121,90
American India Pale Lager,1122,90
Cider,1123,8
Cider,1124,8
American Pale Ale (APA),1125,1
Fruit / Vegetable Beer,1126,14
American IPA,1127,2
American IPA,1128,2
American Amber / Red Ale,1129,19
English Brown Ale,1130,34
American IPA,1131,2
American Strong Ale,1132,53
Hefeweizen,1133,48
American Porter,1134,5
American Pale Ale (APA),1135,1
American Blonde Ale,1136,18
American IPA,1137,2
Hefeweizen,1138,48
American Pale Ale (APA),1139,1
American Double / Imperial IPA,1140,3
American Adjunct Lager,1141,76
American IPA,1142,2
Doppelbock,1143,67
Hefeweizen,1144,48
Munich Dunkel Lager,1145,60
American Pale Ale (APA),1146,1
Märzen / Oktoberfest,1147,44
Kölsch,1148,24
Saison / Farmhouse Ale,1149,6
American Double / Imperial IPA,1150,3
American Amber / Red Lager,1151,26
Hefeweizen,1152,48
American IPA,1153,2
Euro Dark Lager,1154,47
American IPA,1155,2
Czech Pilsener,1156,52
Scottish Ale,1157,77
American Blonde Ale,1158,18
American IPA,1159,2
Scottish Ale,1160,77
Scotch Ale / Wee Heavy,1161,59
American IPA,1162,2
American IPA,1163,2
American Pale Ale (APA),1164,1
American IPA,1165,2
Scotch Ale / Wee Heavy,1166,59
Witbier,1167,40
American Pale Ale (APA),1168,1
Scottish Ale,1169,77
American Brown Ale,1170,21
American Brown Ale,1171,21
American Blonde Ale,1172,18
American Amber / Red Ale,1173,19
American Amber / Red Ale,1174,19
Czech Pilsener,1175,52
American IPA,1176,2
Hefeweizen,1177,48
American Blonde Ale,1178,18
American IPA,1179,2
American Pale Wheat Ale,1180,22
American Amber / Red Lager,1181,26
American Amber / Red Lager,1182,26
American Amber / Red Lager,1183,26
American Amber / Red Lager,1184,26
American Dark Wheat Ale,1185,84
Belgian Strong Dark Ale,1186,23
Hefeweizen,1187,48
American IPA,1188,2
Maibock / Helles Bock,1189,74
Kölsch,1190,24
Hefeweizen,1191,48
American IPA,1192,2
American Amber / Red Ale,1193,19
English Brown Ale,1194,34
Cream Ale,1195,38
American Pilsner,1196,32
American IPA,1197,2
American IPA,1198,2
American IPA,1199,2
Czech Pilsener,1200,52
Kölsch,1201,24
American IPA,1202,2
American Amber / Red Ale,1203,19
Hefeweizen,1204,48
Scottish Ale,1205,77
German Pilsener,1206,29
Saison / Farmhouse Ale,1207,6
American Stout,1208,13
American Amber / Red Ale,1209,19
Fruit / Vegetable Beer,1210,14
American IPA,1211,2
American Pale Ale (APA),1212,1
American Porter,1213,5
American Stout,1214,13
American Pale Ale (APA),1215,1
Hefeweizen,1216,48
American Brown Ale,1217,21
English India Pale Ale (IPA),1218,51
American Amber / Red Ale,1219,19
Altbier,1220,35
Fruit / Vegetable Beer,1221,14
Altbier,1222,35
Gose,1223,37
German Pilsener,1224,29
American IPA,1225,2
American IPA,1226,2
American IPA,1227,2
Czech Pilsener,1228,52
American Stout,1229,13
Hefeweizen,1230,48
American Pale Ale (APA),1231,1
American Blonde Ale,1232,18
English Dark Mild Ale,1233,63
Belgian Pale Ale,1234,31
American Pale Ale (APA),1235,1
American Pilsner,1236,32
American IPA,1237,2
American Amber / Red Ale,1238,19
American Pale Ale (APA),1239,1
American Amber / Red Ale,1240,19
American Pale Ale (APA),1241,1
American Brown Ale,1242,21
American Double / Imperial IPA,1243,3
American Blonde Ale,1244,18
Winter Warmer,1245,12
Fruit / Vegetable Beer,1246,14
Kölsch,1247,24
American Pale Ale (APA),1248,1
American IPA,1249,2
American Brown Ale,1250,21
American Amber / Red Ale,1251,19
Fruit / Vegetable Beer,1252,14
Hefeweizen,1253,48
Fruit / Vegetable Beer,1254,14
German Pilsener,1255,29
American IPA,1256,2
German Pilsener,1257,29
American Amber / Red Ale,1258,19
Winter Warmer,1259,12
Märzen / Oktoberfest,1260,44
Belgian Pale Ale,1261,31
American IPA,1262,2
Pumpkin Ale,1263,30
American Pale Wheat Ale,1264,22
Tripel,1265,10
Fruit / Vegetable Beer,1266,14
American Double / Imperial IPA,1267,3
American Double / Imperial IPA,1268,3
American IPA,1269,2
American Blonde Ale,1270,18
American Brown Ale,1271,21
American Pale Ale (APA),1272,1
German Pilsener,1273,29
American IPA,1274,2
American IPA,1275,2
American Pale Ale (APA),1276,1
Russian Imperial Stout,1277,72
American Pale Ale (APA),1278,1
American Double / Imperial IPA,1279,3
Saison / Farmhouse Ale,1280,6
American Stout,1281,13
American Amber / Red Ale,1282,19
American Double / Imperial IPA,1283,3
American Double / Imperial IPA,1284,3
Rye Beer,1285,46
Saison / Farmhouse Ale,1286,6
American Stout,1287,13
American IPA,1288,2
Shandy,1289,91
American IPA,1290,2
German Pilsener,1291,29
Light Lager,1292,80
Light Lager,1293,80
American Pale Lager,1294,0
Fruit / Vegetable Beer,1295,14
American Blonde Ale,1296,18
American IPA,1297,2
American Pale Wheat Ale,1298,22
English Pale Ale,1299,25
English Pale Ale,1300,25
American Brown Ale,1301,21
Czech Pilsener,1302,52
Saison / Farmhouse Ale,1303,6
Belgian Strong Dark Ale,1304,23
Fruit / Vegetable Beer,1305,14
American Amber / Red Ale,1306,19
Witbier,1307,40
American IPA,1308,2
American Pale Wheat Ale,1309,22
Munich Helles Lager,1310,42
American Porter,1311,5
American IPA,1312,2
American Porter,1313,5
Witbier,1314,40
American Pale Ale (APA),1315,1
Cider,1316,8
Cider,1317,8
Cider,1318,8
American IPA,1319,2
American IPA,1320,2
American Blonde Ale,1321,18
American Porter,1322,5
American Amber / Red Ale,1323,19
American Pale Ale (APA),1324,1
Fruit / Vegetable Beer,1325,14
American Brown Ale,1326,21
American IPA,1327,2
American Blonde Ale,1328,18
American Amber / Red Ale,1329,19
American IPA,1330,2
American IPA,1331,2
Witbier,1332,40
American Brown Ale,1333,21
American IPA,1334,2
American Double / Imperial IPA,1335,3
American IPA,1336,2
Wheat Ale,1337,92
American Double / Imperial IPA,1338,3
Cream Ale,1339,38
Kölsch,1340,24
American Double / Imperial IPA,1341,3
American IPA,1342,2
American IPA,1343,2
Belgian IPA,1344,7
Saison / Farmhouse Ale,1345,6
Berliner Weissbier,1346,20
American IPA,1347,2
American Pale Ale (APA),1348,1
American Pilsner,1349,32
American IPA,1350,2
Witbier,1351,40
Irish Red Ale,1352,64
American Pale Ale (APA),1353,1
American Double / Imperial IPA,1354,3
American Amber / Red Ale,1355,19
American IPA,1356,2
Saison / Farmhouse Ale,1357,6
Witbier,1358,40
Vienna Lager,1359,39
American Amber / Red Ale,1360,19
American Malt Liquor,1361,93
Bock,1362,62
Light Lager,1363,80
American Pale Lager,1364,0
American Pale Lager,1365,0
American Pale Lager,1366,0
American Pale Lager,1367,0
American Pale Lager,1368,0
American Pale Lager,1369,0
American Adjunct Lager,1370,76
Light Lager,1371,80
American Adjunct Lager,1372,76
American Adjunct Lager,1373,76
Belgian Pale Ale,1374,31
American IPA,1375,2
American Pale Ale (APA),1376,1
American Double / Imperial IPA,1377,3
American Brown Ale,1378,21
American Pale Wheat Ale,1379,22
California Common / Steam Beer,1380,36
American IPA,1381,2
English Brown Ale,1382,34
American Pale Ale (APA),1383,1
American Pale Ale (APA),1384,1
American IPA,1385,2
American IPA,1386,2
American Pale Ale (APA),1387,1
American Amber / Red Ale,1388,19
Saison / Farmhouse Ale,1389,6
American Pale Wheat Ale,1390,22
American Stout,1391,13
American Amber / Red Ale,1392,19
American Amber / Red Ale,1393,19
American Brown Ale,1394,21
American Double / Imperial IPA,1395,3
American Pale Ale (APA),1396,1
American Blonde Ale,1397,18
Extra Special / Strong Bitter (ESB),1398,45
Munich Helles Lager,1399,42
Märzen / Oktoberfest,1400,44
American Pale Wheat Ale,1401,22
Schwarzbier,1402,43
German Pilsener,1403,29
Cream Ale,1404,38
American Pale Ale (APA),1405,1
Hefeweizen,1406,48
American Blonde Ale,1407,18
American IPA,1408,2
American Amber / Red Ale,1409,19
Witbier,1410,40
American IPA,1411,2
Light Lager,1412,80
Witbier,1413,40
Hefeweizen,1414,48
American Amber / Red Lager,1415,26
American Pale Lager,1416,0
American Pale Lager,1417,0
American Blonde Ale,1418,18
American Pale Wheat Ale,1419,22
Light Lager,1420,80
American Pilsner,1421,32
Milk / Sweet Stout,1422,28
German Pilsener,1423,29
American Pale Wheat Ale,1424,22
Cream Ale,1425,38
American Pale Wheat Ale,1426,22
American Porter,1427,5
Bock,1428,62
Märzen / Oktoberfest,1429,44
American Blonde Ale,1430,18
American Black Ale,1431,16
American Double / Imperial IPA,1432,3
American Double / Imperial IPA,1433,3
American Black Ale,1434,16
American Blonde Ale,1435,18
Pumpkin Ale,1436,30
American IPA,1437,2
Hefeweizen,1438,48
English Brown Ale,1439,34
American Pale Ale (APA),1440,1
American IPA,1441,2
German Pilsener,1442,29
American IPA,1443,2
American IPA,1444,2
American Pale Lager,1445,0
Euro Dark Lager,1446,47
Czech Pilsener,1447,52
American Amber / Red Lager,1448,26
American Pale Wheat Ale,1449,22
American Pale Wheat Ale,1450,22
American Amber / Red Ale,1451,19
American Pale Lager,1452,0
American Amber / Red Ale,1453,19
American Pale Lager,1454,0
American IPA,1455,2
American Amber / Red Ale,1456,19
American IPA,1457,2
American Pale Wheat Ale,1458,22
American Amber / Red Ale,1459,19
Berliner Weissbier,1460,20
American IPA,1461,2
American Pilsner,1462,32
American Amber / Red Ale,1463,19
Belgian Pale Ale,1464,31
American Double / Imperial IPA,1465,3
Belgian Pale Ale,1466,31
American Double / Imperial IPA,1467,3
American Pilsner,1468,32
American Amber / Red Ale,1469,19
American IPA,1470,2
American Pale Ale (APA),1471,1
American Stout,1472,13
American Double / Imperial IPA,1473,3
American IPA,1474,2
English Dark Mild Ale,1475,63
American Blonde Ale,1476,18
Dunkelweizen,1477,68
American Blonde Ale,1478,18
American Amber / Red Ale,1479,19
English Brown Ale,1480,34
Witbier,1481,40
Cream Ale,1482,38
American IPA,1483,2
Witbier,1484,40
American Pale Ale (APA),1485,1
American Amber / Red Ale,1486,19
American Pale Ale (APA),1487,1
American IPA,1488,2
English India Pale Ale (IPA),1489,51
American Stout,1490,13
Irish Red Ale,1491,64
German Pilsener,1492,29
American IPA,1493,2
Milk / Sweet Stout,1494,28
English Brown Ale,1495,34
Pumpkin Ale,1496,30
American Porter,1497,5
Extra Special / Strong Bitter (ESB),1498,45
American IPA,1499,2
American IPA,1500,2
American Pale Ale (APA),1501,1
German Pilsener,1502,29
American Pale Wheat Ale,1503,22
American IPA,1504,2
Czech Pilsener,1505,52
Pumpkin Ale,1506,30
American IPA,1507,2
Fruit / Vegetable Beer,1508,14
American IPA,1509,2
American Amber / Red Ale,1510,19
American Stout,1511,13
American IPA,1512,2
Baltic Porter,1513,9
English Bitter,1514,94
Keller Bier / Zwickel Bier,1515,89
American Pale Ale (APA),1516,1
American Pale Wheat Ale,1517,22
Dunkelweizen,1518,68
Altbier,1519,35
Kölsch,1520,24
Belgian Strong Dark Ale,1521,23
Scotch Ale / Wee Heavy,1522,59
American Porter,1523,5
Hefeweizen,1524,48
American Pale Ale (APA),1525,1
American Pale Ale (APA),1526,1
Hefeweizen,1527,48
Scottish Ale,1528,77
American Brown Ale,1529,21
Saison / Farmhouse Ale,1530,6
American Pale Ale (APA),1531,1
American Stout,1532,13
Rye Beer,1533,46
American Pale Lager,1534,0
American Brown Ale,1535,21
American Stout,1536,13
American Porter,1537,5
Pumpkin Ale,1538,30
American Pale Wheat Ale,1539,22
American Blonde Ale,1540,18
American IPA,1541,2
American Pale Ale (APA),1542,1
American Pale Wheat Ale,1543,22
American Pale Lager,1544,0
American Amber / Red Lager,1545,26
American Pale Lager,1546,0
Euro Dark Lager,1547,47
Light Lager,1548,80
Saison / Farmhouse Ale,1549,6
Saison / Farmhouse Ale,1550,6
American IPA,1551,2
American Pale Ale (APA),1552,1
Scotch Ale / Wee Heavy,1553,59
,1554,78
,1555,78
American IPA,1556,2
English Brown Ale,1557,34
American IPA,1558,2
American Pale Ale (APA),1559,1
American Pale Ale (APA),1560,1
Czech Pilsener,1561,52
American IPA,1562,2
American IPA,1563,2
American Pale Ale (APA),1564,1
American Brown Ale,1565,21
American Pale Ale (APA),1566,1
American Pale Ale (APA),1567,1
American Double / Imperial IPA,1568,3
American Pale Ale (APA),1569,1
American Pale Ale (APA),1570,1
American Double / Imperial IPA,1571,3
Belgian Dark Ale,1572,17
Belgian Strong Pale Ale,1573,69
American Strong Ale,1574,53
American Double / Imperial IPA,1575,3
American Double / Imperial IPA,1576,3
American Double / Imperial IPA,1577,3
Russian Imperial Stout,1578,72
Czech Pilsener,1579,52
American Double / Imperial IPA,1580,3
Scottish Ale,1581,77
American Double / Imperial IPA,1582,3
American Pale Ale (APA),1583,1
American Double / Imperial IPA,1584,3
Russian Imperial Stout,1585,72
Russian Imperial Stout,1586,72
Scottish Ale,1587,77
Scottish Ale,1588,77
Scottish Ale,1589,77
American Pale Ale (APA),1590,1
American Pale Ale (APA),1591,1
American Pale Ale (APA),1592,1
American Pale Ale (APA),1593,1
American Pale Ale (APA),1594,1
American Brown Ale,1595,21
American Double / Imperial IPA,1596,3
American Double / Imperial IPA,1597,3
Russian Imperial Stout,1598,72
American Double / Imperial IPA,1599,3
Scottish Ale,1600,77
American Pale Ale (APA),1601,1
American Pale Ale (APA),1602,1
American White IPA,1603,56
American Pale Ale (APA),1604,1
American Pale Ale (APA),1605,1
American IPA,1606,2
American Dark Wheat Ale,1607,84
Irish Red Ale,1608,64
American Pale Ale (APA),1609,1
Kölsch,1610,24
English Bitter,1611,94
American Porter,1612,5
American Pale Ale (APA),1613,1
American IPA,1614,2
American Pale Lager,1615,0
American Pale Ale (APA),1616,1
American Brown Ale,1617,21
Kölsch,1618,24
American Pilsner,1619,32
American Pale Wheat Ale,1620,22
Light Lager,1621,80
American Pilsner,1622,32
American IPA,1623,2
American IPA,1624,2
American Pale Wheat Ale,1625,22
German Pilsener,1626,29
American Brown Ale,1627,21
American Blonde Ale,1628,18
American Black Ale,1629,16
American IPA,1630,2
American Pale Ale (APA),1631,1
American IPA,1632,2
American Pale Lager,1633,0
American Pale Wheat Ale,1634,22
Czech Pilsener,1635,52
American Pale Ale (APA),1636,1
American Pale Wheat Ale,1637,22
American Pale Wheat Ale,1638,22
American Pale Wheat Ale,1639,22
American Pale Lager,1640,0
American Amber / Red Ale,1641,19
Dubbel,1642,70
American IPA,1643,2
American IPA,1644,2
American Pale Ale (APA),1645,1
American Amber / Red Ale,1646,19
American IPA,1647,2
Milk / Sweet Stout,1648,28
American Pale Ale (APA),1649,1
Chile Beer,1650,95
American Black Ale,1651,16
Fruit / Vegetable Beer,1652,14
American Blonde Ale,1653,18
American Porter,1654,5
American Dark Wheat Ale,1655,84
American Amber / Red Ale,1656,19
American IPA,1657,2
American Amber / Red Ale,1658,19
American IPA,1659,2
American Pale Ale (APA),1660,1
American IPA,1661,2
American Amber / Red Ale,1662,19
American IPA,1663,2
American Pilsner,1664,32
American Pale Ale (APA),1665,1
American Barleywine,1666,11
American IPA,1667,2
American Amber / Red Ale,1668,19
American Pale Wheat Ale,1669,22
Munich Helles Lager,1670,42
Munich Dunkel Lager,1671,60
Czech Pilsener,1672,52
American Pale Ale (APA),1673,1
Czech Pilsener,1674,52
American Pale Wheat Ale,1675,22
Hefeweizen,1676,48
Hefeweizen,1677,48
Belgian Pale Ale,1678,31
American Porter,1679,5
Munich Helles Lager,1680,42
American Pale Ale (APA),1681,1
Gose,1682,37
Witbier,1683,40
American Black Ale,1684,16
American Blonde Ale,1685,18
English Pale Ale,1686,25
German Pilsener,1687,29
American Blonde Ale,1688,18
American Blonde Ale,1689,18
American Brown Ale,1690,21
American IPA,1691,2
Czech Pilsener,1692,52
American Blonde Ale,1693,18
American IPA,1694,2
Belgian IPA,1695,7
American Porter,1696,5
Rye Beer,1697,46
Cider,1698,8
American IPA,1699,2
American IPA,1700,2
American Amber / Red Ale,1701,19
Mead,1702,54
Mead,1703,54
Mead,1704,54
Witbier,1705,40
American Pale Ale (APA),1706,1
Russian Imperial Stout,1707,72
American IPA,1708,2
American Double / Imperial IPA,1709,3
American Blonde Ale,1710,18
American IPA,1711,2
American Stout,1712,13
American Stout,1713,13
American Porter,1714,5
American Blonde Ale,1715,18
Vienna Lager,1716,39
American Pale Ale (APA),1717,1
American Amber / Red Ale,1718,19
American Blonde Ale,1719,18
American Pale Ale (APA),1720,1
Belgian Pale Ale,1721,31
Herbed / Spiced Beer,1722,75
Herbed / Spiced Beer,1723,75
Märzen / Oktoberfest,1724,44
American Porter,1725,5
American IPA,1726,2
Witbier,1727,40
American Amber / Red Ale,1728,19
American Pale Ale (APA),1729,1
American Amber / Red Ale,1730,19
American Porter,1731,5
Märzen / Oktoberfest,1732,44
American Pale Ale (APA),1733,1
American IPA,1734,2
American Blonde Ale,1735,18
Cream Ale,1736,38
Gose,1737,37
American Pale Ale (APA),1738,1
Witbier,1739,40
American Amber / Red Ale,1740,19
American IPA,1741,2
American Pale Ale (APA),1742,1
American IPA,1743,2
Märzen / Oktoberfest,1744,44
Pumpkin Ale,1745,30
American IPA,1746,2
Oatmeal Stout,1747,4
American White IPA,1748,56
American Pale Ale (APA),1749,1
American Amber / Red Ale,1750,19
American Amber / Red Ale,1751,19
American Blonde Ale,1752,18
Scottish Ale,1753,77
Witbier,1754,40
American Amber / Red Lager,1755,26
American IPA,1756,2
Fruit / Vegetable Beer,1757,14
American Amber / Red Lager,1758,26
Czech Pilsener,1759,52
American Porter,1760,5
American Adjunct Lager,1761,76
American Amber / Red Ale,1762,19
Milk / Sweet Stout,1763,28
American IPA,1764,2
American Adjunct Lager,1765,76
American Amber / Red Ale,1766,19
American Strong Ale,1767,53
American IPA,1768,2
American Stout,1769,13
Saison / Farmhouse Ale,1770,6
Belgian Strong Pale Ale,1771,69
American Pale Ale (APA),1772,1
English Brown Ale,1773,34
American Black Ale,1774,16
American IPA,1775,2
Kölsch,1776,24
American Amber / Red Ale,1777,19
American Black Ale,1778,16
American Amber / Red Lager,1779,26
American Black Ale,1780,16
American Amber / Red Ale,1781,19
Witbier,1782,40
American IPA,1783,2
American Pale Ale (APA),1784,1
Kölsch,1785,24
American Porter,1786,5
Winter Warmer,1787,12
American Double / Imperial IPA,1788,3
Märzen / Oktoberfest,1789,44
American Blonde Ale,1790,18
American Pale Wheat Ale,1791,22
Belgian IPA,1792,7
American Amber / Red Ale,1793,19
Hefeweizen,1794,48
American IPA,1795,2
American Porter,1796,5
American Pale Ale (APA),1797,1
Herbed / Spiced Beer,1798,75
Fruit / Vegetable Beer,1799,14
American Pale Ale (APA),1800,1
American IPA,1801,2
Hefeweizen,1802,48
American Pale Ale (APA),1803,1
American Amber / Red Ale,1804,19
Saison / Farmhouse Ale,1805,6
American Black Ale,1806,16
American Double / Imperial IPA,1807,3
American Brown Ale,1808,21
English India Pale Ale (IPA),1809,51
Saison / Farmhouse Ale,1810,6
American Black Ale,1811,16
Irish Red Ale,1812,64
Märzen / Oktoberfest,1813,44
Russian Imperial Stout,1814,72
German Pilsener,1815,29
American IPA,1816,2
American Blonde Ale,1817,18
Cider,1818,8
Cider,1819,8
Cider,1820,8
American Pale Wheat Ale,1821,22
Schwarzbier,1822,43
American IPA,1823,2
American Brown Ale,1824,21
Hefeweizen,1825,48
Munich Helles Lager,1826,42
Fruit / Vegetable Beer,1827,14
American IPA,1828,2
Cider,1829,8
Cider,1830,8
American IPA,1831,2
American Porter,1832,5
American Strong Ale,1833,53
English Brown Ale,1834,34
American Amber / Red Ale,1835,19
American Pale Ale (APA),1836,1
American IPA,1837,2
American Black Ale,1838,16
English Pale Ale,1839,25
American IPA,1840,2
American Pale Wheat Ale,1841,22
Pumpkin Ale,1842,30
American Blonde Ale,1843,18
German Pilsener,1844,29
American IPA,1845,2
Maibock / Helles Bock,1846,74
Rye Beer,1847,46
American Pale Ale (APA),1848,1
American Pale Wheat Ale,1849,22
Czech Pilsener,1850,52
American IPA,1851,2
American Pale Ale (APA),1852,1
Cider,1853,8
American Brown Ale,1854,21
American Amber / Red Ale,1855,19
American IPA,1856,2
Baltic Porter,1857,9
Gose,1858,37
Belgian Pale Ale,1859,31
Fruit / Vegetable Beer,1860,14
American IPA,1861,2
American Pale Ale (APA),1862,1
American Double / Imperial IPA,1863,3
American Strong Ale,1864,53
American IPA,1865,2
German Pilsener,1866,29
Cream Ale,1867,38
Rye Beer,1868,46
American IPA,1869,2
Baltic Porter,1870,9
American Brown Ale,1871,21
American Pale Wheat Ale,1872,22
Saison / Farmhouse Ale,1873,6
American Double / Imperial IPA,1874,3
American Stout,1875,13
Pumpkin Ale,1876,30
German Pilsener,1877,29
Cream Ale,1878,38
Rye Beer,1879,46
American IPA,1880,2
American IPA,1881,2
Doppelbock,1882,67
American IPA,1883,2
American Stout,1884,13
American Stout,1885,13
Foreign / Export Stout,1886,49
American Stout,1887,13
American Pale Lager,1888,0
American Blonde Ale,1889,18
American Pale Ale (APA),1890,1
Extra Special / Strong Bitter (ESB),1891,45
American IPA,1892,2
American Amber / Red Ale,1893,19
American IPA,1894,2
Belgian IPA,1895,7
Tripel,1896,10
English Pale Ale,1897,25
American IPA,1898,2
Winter Warmer,1899,12
Grisette,1900,96
American IPA,1901,2
Munich Helles Lager,1902,42
Winter Warmer,1903,12
American Double / Imperial IPA,1904,3
Märzen / Oktoberfest,1905,44
American IPA,1906,2
Munich Dunkel Lager,1907,60
Hefeweizen,1908,48
German Pilsener,1909,29
American Pale Ale (APA),1910,1
American IPA,1911,2
American Amber / Red Ale,1912,19
Saison / Farmhouse Ale,1913,6
American Pilsner,1914,32
American Pale Ale (APA),1915,1
Foreign / Export Stout,1916,49
English Brown Ale,1917,34
Vienna Lager,1918,39
American Pale Ale (APA),1919,1
American IPA,1920,2
Kölsch,1921,24
American Double / Imperial IPA,1922,3
American IPA,1923,2
American IPA,1924,2
Märzen / Oktoberfest,1925,44
American Double / Imperial IPA,1926,3
American Double / Imperial Stout,1927,41
Saison / Farmhouse Ale,1928,6
Witbier,1929,40
Maibock / Helles Bock,1930,74
American Barleywine,1931,11
American Blonde Ale,1932,18
American Pale Ale (APA),1933,1
American Pale Wheat Ale,1934,22
American Porter,1935,5
American Strong Ale,1936,53
American IPA,1937,2
Bock,1938,62
American IPA,1939,2
Saison / Farmhouse Ale,1940,6
Kölsch,1941,24
Light Lager,1942,80
Czech Pilsener,1943,52
American IPA,1944,2
American IPA,1945,2
American IPA,1946,2
Extra Special / Strong Bitter (ESB),1947,45
American Pale Ale (APA),1948,1
American Blonde Ale,1949,18
American Amber / Red Ale,1950,19
Oatmeal Stout,1951,4
American Blonde Ale,1952,18
American Pale Ale (APA),1953,1
American Pale Ale (APA),1954,1
Saison / Farmhouse Ale,1955,6
Bière de Garde,1956,66
American Double / Imperial IPA,1957,3
American Double / Imperial IPA,1958,3
American Double / Imperial IPA,1959,3
Old Ale,1960,86
American Blonde Ale,1961,18
American Double / Imperial IPA,1962,3
Saison / Farmhouse Ale,1963,6
Bière de Garde,1964,66
Foreign / Export Stout,1965,49
American Pale Ale (APA),1966,1
American Blonde Ale,1967,18
American IPA,1968,2
English India Pale Ale (IPA),1969,51
American Pale Ale (APA),1970,1
American Double / Imperial IPA,1971,3
American Porter,1972,5
American Double / Imperial IPA,1973,3
American Amber / Red Ale,1974,19
American Stout,1975,13
American Double / Imperial IPA,1976,3
American Pale Ale (APA),1977,1
American IPA,1978,2
American Pale Ale (APA),1979,1
Irish Red Ale,1980,64
American Pale Wheat Ale,1981,22
Vienna Lager,1982,39
Vienna Lager,1983,39
American Pale Ale (APA),1984,1
Cider,1985,8
German Pilsener,1986,29
American IPA,1987,2
Märzen / Oktoberfest,1988,44
American IPA,1989,2
American Pale Ale (APA),1990,1
Kölsch,1991,24
American Amber / Red Lager,1992,26
American IPA,1993,2
American Adjunct Lager,1994,76
American Adjunct Lager,1995,76
American Pale Ale (APA),1996,1
American Adjunct Lager,1997,76
American Black Ale,1998,16
American IPA,1999,2
American Adjunct Lager,2000,76
American Adjunct Lager,2001,76
American Adjunct Lager,2002,76
Winter Warmer,2003,12
Märzen / Oktoberfest,2004,44
American Pale Wheat Ale,2005,22
American Pale Wheat Ale,2006,22
American Pale Wheat Ale,2007,22
American Blonde Ale,2008,18
Kölsch,2009,24
Märzen / Oktoberfest,2010,44
American Brown Ale,2011,21
American Pale Wheat Ale,2012,22
American Pale Ale (APA),2013,1
American Amber / Red Lager,2014,26
American Adjunct Lager,2015,76
American Amber / Red Ale,2016,19
American Black Ale,2017,16
American Black Ale,2018,16
Saison / Farmhouse Ale,2019,6
American Blonde Ale,2020,18
Kölsch,2021,24
Milk / Sweet Stout,2022,28
American IPA,2023,2
American Adjunct Lager,2024,76
American Adjunct Lager,2025,76
American Amber / Red Lager,2026,26
Light Lager,2027,80
American Pale Ale (APA),2028,1
Extra Special / Strong Bitter (ESB),2029,45
American Pale Ale (APA),2030,1
American Double / Imperial IPA,2031,3
Altbier,2032,35
Scottish Ale,2033,77
American Porter,2034,5
Belgian Pale Ale,2035,31
Scotch Ale / Wee Heavy,2036,59
Belgian Dark Ale,2037,17
Scotch Ale / Wee Heavy,2038,59
Scotch Ale / Wee Heavy,2039,59
American IPA,2040,2
American IPA,2041,2
American IPA,2042,2
American IPA,2043,2
Belgian IPA,2044,7
Scotch Ale / Wee Heavy,2045,59
Extra Special / Strong Bitter (ESB),2046,45
American IPA,2047,2
American Pale Ale (APA),2048,1
Russian Imperial Stout,2049,72
Flanders Oud Bruin,2050,97
American Porter,2051,5
German Pilsener,2052,29
Irish Dry Stout,2053,58
Scottish Ale,2054,77
English Barleywine,2055,27
American Brown Ale,2056,21
Quadrupel (Quad),2057,71
Märzen / Oktoberfest,2058,44
Dortmunder / Export Lager,2059,57
Dortmunder / Export Lager,2060,57
Belgian Strong Pale Ale,2061,69
American Double / Imperial IPA,2062,3
Scotch Ale / Wee Heavy,2063,59
American IPA,2064,2
Märzen / Oktoberfest,2065,44
English Barleywine,2066,27
Scottish Ale,2067,77
Cream Ale,2068,38
American Pale Ale (APA),2069,1
American Amber / Red Lager,2070,26
American IPA,2071,2
American IPA,2072,2
Extra Special / Strong Bitter (ESB),2073,45
American Black Ale,2074,16
American IPA,2075,2
American IPA,2076,2
English Bitter,2077,94
Rye Beer,2078,46
American Brown Ale,2079,21
American Brown Ale,2080,21
American Double / Imperial IPA,2081,3
Keller Bier / Zwickel Bier,2082,89
Saison / Farmhouse Ale,2083,6
American IPA,2084,2
American IPA,2085,2
Witbier,2086,40
American Pale Ale (APA),2087,1
Oatmeal Stout,2088,4
Cream Ale,2089,38
Herbed / Spiced Beer,2090,75
German Pilsener,2091,29
Hefeweizen,2092,48
American IPA,2093,2
American Pale Ale (APA),2094,1
American Double / Imperial IPA,2095,3
Saison / Farmhouse Ale,2096,6
American IPA,2097,2
American IPA,2098,2
Hefeweizen,2099,48
American Blonde Ale,2100,18
American Blonde Ale,2101,18
Hefeweizen,2102,48
Tripel,2103,10
Saison / Farmhouse Ale,2104,6
American Porter,2105,5
Saison / Farmhouse Ale,2106,6
Oatmeal Stout,2107,4
American IPA,2108,2
American Brown Ale,2109,21
