ProviderNumber,HospitalOwner,original_index,unique_index,count
1003x,government - hospital district or authority,780,78,1
10039,government - hospital district or authority,781,77,24
10039,government - hospital district or authority,782,77,24
10039,government - hospital district or authority,783,77,24
10039,goverxmext - hospital district or authority,784,79,1
10039,government - hospital district or authority,785,77,24
10039,government - hospital district or authority,786,77,24
10039,government - hospital district or authority,787,77,24
10039,government - hospital district or authority,788,77,24
1xx39,government - hospital district or authority,789,80,1
10039,government - hospital district or authority,790,77,24
10039,government - hospital district or authority,791,77,24
10039,government - hospital district or authority,792,77,24
100x9,government - hospital district or authority,793,81,1
10039,government - hospital district or authority,794,77,24
10039,government - hospital district or authority,795,77,24
10039,government - hospital district or authority,796,77,24
10039,government - hospital district or authority,797,77,24
10039,government - hospital district or authority,798,77,24
10039,government - hospital district or authority,799,77,24
10039,government - hospital district or authority,800,77,24
10039,government - hospital district or authority,801,77,24
10040,proprietary,802,82,25
10040,proprietary,803,82,25
10040,proprietary,804,82,25
10040,proprietary,805,82,25
10040,proprietary,806,82,25
10040,proprietary,807,82,25
10040,proprietary,808,82,25
10040,proprietary,809,82,25
10040,proprietary,810,82,25
10040,proprietary,811,82,25
10040,proprietary,812,82,25
10040,proprietary,813,82,25
10040,proprietary,814,82,25
10040,proprietary,815,82,25
10040,proprietary,816,82,25
10040,proprietary,817,82,25
10040,proprietary,818,82,25
10040,proprietary,819,82,25
10040,proprietary,820,82,25
10040,proprietary,821,82,25
10040,proprietary,822,82,25
10040,proprietary,823,82,25
10040,proprietary,824,82,25
10040,proprietary,825,82,25
10040,proprietary,826,82,25
10043,voluntary non-profit - private,827,83,24
10043,voluntary non-profit - private,828,83,24
10043,voluntary non-profit - private,829,83,24
10043,voluntary non-profit - private,830,83,24
10043,voluntary non-profit - private,831,83,24
10043,voluntary non-profit - private,832,83,24
10043,voluntary non-profit - private,833,83,24
10043,voluntary non-profit - private,834,83,24
10043,voluntary non-profit - private,835,83,24
10043,voluntary non-profit - private,836,83,24
10043,voluntary non-profit - private,837,83,24
10043,voluntary non-profit - private,838,83,24
10043,voluntary non-profit - private,839,83,24
10043,voluntary non-profit - private,840,83,24
10043,voluntary non-profit - private,841,83,24
10043,voluntary non-profit - private,842,83,24
10043,voluntary non-profit - private,843,83,24
10043,voluntary non-profit - private,844,83,24
10043,voluntary non-profit - private,845,83,24
10043,voluntaxy non-pxofit - pxivate,846,84,1
10043,voluntary non-profit - private,847,83,24
10043,voluntary non-profit - private,848,83,24
10043,voluntary non-profit - private,849,83,24
10043,voluntary non-profit - private,850,83,24
10043,voluntary non-profit - private,851,83,24
10044,voluntary non-profit - private,852,85,22
10044,voluntary non-profit - private,853,85,22
10044,voluntary non-profit - private,854,85,22
10044,voluntary non-profit - private,855,85,22
10044,voluntary non-profit - private,856,85,22
10044,voluntary non-profit - private,857,85,22
10044,voluntary non-profit - private,858,85,22
1xx44,voluntary non-profit - private,859,86,1
10044,voluntary non-profit - private,860,85,22
10044,voluntary non-profit - private,861,85,22
10044,voluntary non-profit - private,862,85,22
10044,voluntary non-profit - private,863,85,22
10044,voluntary non-profit - private,864,85,22
10044,voluntary non-profit - private,865,85,22
10044,voluntary non-profit - private,866,85,22
10044,voluntary non-profit - private,867,85,22
10044,voluxtary xox-profit - private,868,87,1
10044,voluntary non-profit - private,869,85,22
10044,voluntary non-profit - private,870,85,22
10044,voluntary non-profit - private,871,85,22
10044,voluntaxy non-pxofit - pxivate,872,88,1
10044,voluntary non-profit - private,873,85,22
10044,voluntary non-profit - private,874,85,22
10044,voluntary non-profit - private,875,85,22
10044,voluntary non-profit - private,876,85,22
10045,voluntary non-profit - other,877,89,23
1xx45,voluntary non-profit - other,878,90,1
10045,voluntary non-profit - other,879,89,23
10045,voluntary non-profit - other,880,89,23
10045,voluntary non-profit - other,881,89,23
10045,voluntary non-profit - other,882,89,23
10045,voluntary non-profit - other,883,89,23
10045,voluntary non-profit - other,884,89,23
10045,voluntary non-profit - other,885,89,23
10045,voluntary non-profit - other,886,89,23
10045,voluntary non-profit - other,887,89,23
x0045,voluntary non-profit - other,888,91,1
10045,voluntary non-profit - other,889,89,23
10045,voluntary non-profit - other,890,89,23
10045,voluntary non-profit - other,891,89,23
10045,voluntary non-profit - other,892,89,23
10045,voluntary non-profit - other,893,89,23
10045,voluntary non-profit - other,894,89,23
10045,voluntary non-profit - other,895,89,23
10045,voluntary non-profit - other,896,89,23
10045,voluntary non-profit - other,897,89,23
10045,voluntary non-profit - other,898,89,23
10045,voluntary non-profit - other,899,89,23
10045,voluntary non-profit - other,900,89,23
10045,voluntary non-profit - other,901,89,23
10046,proprietary,902,92,28
10046,proprietary,903,92,28
10046,proprietary,904,92,28
10046,proprietary,905,92,28
10046,proprietary,906,92,28
10046,proprietary,907,92,28
10046,proprietary,908,92,28
10046,proprietary,909,92,28
10046,proprietary,910,92,28
10046,proprietary,911,92,28
10046,proprietary,912,92,28
10046,proprietary,913,92,28
10046,proprietary,914,92,28
10046,proprietary,915,92,28
10046,proprietary,916,92,28
10046,proprietary,917,92,28
10046,proprietary,918,92,28
10046,proprietary,919,92,28
10046,proprietary,920,92,28
10046,proprietary,921,92,28
10046,proprietary,922,92,28
10046,proprietary,923,92,28
10046,proprietary,924,92,28
10046,proprietary,925,92,28
10046,proprietary,926,92,28
10046,proprietary,927,92,28
10046,proprietary,928,92,28
10046,proprietary,929,92,28
10047,voluntary non-profit - private,930,93,24
10047,voluntary non-profit - private,931,93,24
10047,voluntary non-profit - private,932,93,24
1xx47,voluntary non-profit - private,933,94,1
10047,voluntary non-profit - private,934,93,24
10047,voluntary non-profit - private,935,93,24
10047,voluntary non-profit - private,936,93,24
10047,voluntary non-profit - private,937,93,24
10047,voluntary non-profit - private,938,93,24
10047,voluntary non-profit - private,939,93,24
10047,voluntary non-profit - private,940,93,24
10047,voluntary non-profit - private,941,93,24
10047,voluntary non-profit - private,942,93,24
10047,voluntary non-profit - private,943,93,24
10047,voluntary non-profit - private,944,93,24
10047,voluntary non-profit - private,945,93,24
10047,voluntary non-profit - private,946,93,24
10047,voluntary non-profit - private,947,93,24
10047,voluntary non-profit - private,948,93,24
10047,voluntary non-profit - private,949,93,24
10047,voluntary non-profit - private,950,93,24
10047,voluntary non-profit - private,951,93,24
10047,voluntary non-profit - private,952,93,24
10047,voluntary non-profit - private,953,93,24
10047,voluntary non-profit - private,954,93,24
1004x,proprietary,955,95,1
10049,proprietary,956,96,24
10049,proprietary,957,96,24
10049,proprietary,958,96,24
10049,proprietary,959,96,24
10049,proprietary,960,96,24
10049,proprietary,961,96,24
10049,proprietary,962,96,24
10049,proprietary,963,96,24
10049,proprietary,964,96,24
10049,proprietary,965,96,24
10049,proprietary,966,96,24
10049,proprietary,967,96,24
10049,proprietary,968,96,24
10049,proprietary,969,96,24
10049,proprietary,970,96,24
10049,proprietary,971,96,24
10049,proprietary,972,96,24
10049,proprietary,973,96,24
10049,proprietary,974,96,24
10049,proprietary,975,96,24
10049,proprietary,976,96,24
10049,proprietary,977,96,24
10049,proprietary,978,96,24
10049,proprietary,979,96,24
10050,voluntary non-profit - private,980,97,20
10050,voluntary non-profit - private,981,97,20
10050,voluntary non-profit - private,982,97,20
10050,voluntary non-profit - private,983,97,20
10050,voluntary non-profit - private,984,97,20
10050,voluntary non-profit - private,985,97,20
10050,voluntary non-profit - private,986,97,20
10050,voluntary non-profit - private,987,97,20
10050,voluntary non-profit - private,988,97,20
10050,voluntary non-profit - private,989,97,20
10050,voluntary non-profit - private,990,97,20
10050,voluntary non-profit - private,991,97,20
10050,voluntary non-profit - private,992,97,20
10050,voluntary non-profit - private,993,97,20
10050,voluntary non-profit - private,994,97,20
10050,voluntary non-profit - private,995,97,20
10050,voluntary non-profit - private,996,97,20
10050,voluntary non-profit - private,997,97,20
10050,voluntary non-profit - private,998,97,20
10050,voluntary non-profit - private,999,97,20
