article_title,original_index,unique_index
L2 spinal nerve-block effects on acute low back pain from osteoporotic vertebral fracture,349,349
Depression treatment preferences among Japanese undergraduates: using conjoint analysis,350,350
"Alcohol-related road traffic injuries in Eldoret, Kenya",351,351
A study of the clinicians approach to patients' driving status in the memory clinic setting,352,352
Frequency of CDH1 germline mutations in gastric carcinoma coming from high- and low-risk areas: metanalysis and systematic review of the literature.,353,353
Recovery of postoperative cognitive function in elderly patients after a long duration of desflurane anesthesia: a pilot study.,354,354
The change in eating disorder symptoms scale: Scale development and psychometric properties,355,355
Detecting and monitoring the symptoms of Parkinson's disease using smartphones: A pilot study.,356,356
Osteoid osteoma in a 16-year-old boy presenting with atrophy of the left thigh: diagnostic difficulties.,357,357
Systematic review of economic aspects of alternative modes of delivery,358,358
Specific collaborative group intervention for patients with medically unexplained symptoms in general practice: A cluster randomized controlled trial,359,359
Disruption of the gastroesophageal junction by central obesity and waist belt: role of raised intra-abdominal pressure.,360,360
[Perineal regional anaesthesia: indications in gynaecologic and proctologic surgery and in obstetric],361,361
Effects of a three-month combined training program on the cardiopulmonary and muscle strength capacities of type 2 diabetic subjects.,362,362
Unique monoclonal antibodies specifically bind surface structures on human fetal erythroid blood cells.,363,363
Extended-release naltrexone plus medical management alcohol treatment in primary care: Findings at 15 months,364,364
Multiparametric MRI for recurrent prostate cancer post radical prostatectomy and postradiation therapy.,365,365
The Impact of Culture on Learning: Exploring Student Perceptions,366,366
[Changes in plasma concentrations of human hepatocyte growth factor before and after major intra-abdominal surgery under nitrous oxide-sevoflurane anesthesia].,367,367
Surgical treatment of pathologic fractures of humerus,368,368
"Balancing Identity, Motivation, and Internal Dialogue in the Making of Solos: Conquering the High Wire",369,369
"Modification of aspects of the endocrine response to tracheal intubation by lignocaine, halothane and thiopentone.",370,370
Fluid resuscitation in sepsis: a systematic review and network meta-analysis.,371,371
CO2 emission inventories for Chinese cities in highly urbanized areas compared with European cities,372,372
Measuring the value of research data: a citation analysis of oceanographic data sets,373,373
Trends in the quality of data from 5168 oligonucleotide microarrays from a single facility,374,374
Nomogram to predict anastomotic leakage after laparoscopic anterior resection with intracorporeal rectal transection and double-stapling technique anastomosis for rectal cancer.,375,375
Cervical occupational hazards in ophthalmic plastic surgery,376,376
Association between proton pump inhibitor therapy and clostridium difficile infection: a contemporary systematic review and meta-analysis.,377,377
Relationship between water hardness and coronary mortality in Taiwan,378,378
Groundbreaking study links physical activity with lower costs in seniors,379,379
Bronchial mucus transport velocity in patients receiving propofol and remifentanil versus sevoflurane and remifentanil anesthesia.,380,380
The pathogenesis of normal pressure hydrocephalus: a theoretical analysis.,381,381
[Clinical characteristics in non-symptomatic infants with tuberculosis whose diagnostic clue was regular tuberculin skin test prior to BCG vaccination].,382,382
Abstracts from the ASENT 14th Annual Meeting,383,383
Cost-effectiveness of interventions promoting physical activity.,384,384
"Characterizing the sources, range, and environmental influences of radon 222 and its decay products",385,385
Spatial measures associated with stair use,386,386
"Urban, rural, and regional variations in physical activity",387,387
Attitudes of physicians regarding anticoagulation for atrial fibrillation: a systematic review. [Review],388,388
Impact of clinical pharmacist intervention on diabetes-related outcomes in a military treatment facility,389,389
Usefulness of US cost-of-illness studies in healthcare decision making.,390,390
Diabetes incidence in Pima indians: contributions of obesity and parental diabetes.,391,391
[Laparoscopic appendectomy after the learning curve].,392,392
[The effect of shift work on the health of workers: a systematic review].,393,393
Oral dimenhydrinate versus placebo in children with gastroenteritis: A randomized controlled trial,394,394
Early and late mortality in hospitalised patients with raised cardiac troponin T.,395,395
Comprehensive multidisciplinary patient assessment and selection before TAVI procedure.,396,396
Early thoracic sympathetic block improves the treatment effect for upper extremity neuropathic pain,397,397
Coping with arthritis using safer herbal options,398,398
Identification of a novel missense (C7W) mutation of SOD1 in a large familial amyotrophic lateral sclerosis pedigree.,399,399
"Secondary prophylaxis for rheumatic fever: simple concepts, difficult delivery",400,400
Evaluation of a single intra-articular injection of autologous protein solution for treatment of osteoarthritis in horses.,401,401
Supply chain orientation in SMEs as an attitudinal construct,402,402
Pneumonia and encephalopathy in a patient with progressing Parkinson's disease and dementia,403,403
A meta-analytic review of exposure in group cognitive behavioral therapy for posttraumatic stress disorder.,404,404
"Clinical and pharmacologic phase I study of Cemadotin-HCl (LU103793), a novel antimitotic peptide, given as 24-hour infusion in patients with advanced cancer. A study of the Arbeitsgemeinschaft Internistische Onkologie (AIO) Phase I Group and Arbeitsgruppe Pharmakologie in der Onkologie und Haematologie (APOH) Group of the German Cancer Society.",405,405
Non-steroidal anti-inflammatory drugs and the risk of cardiovascular diseases: are we going to see the revival of cyclooxygenase-2 selective inhibitors?. [Review] [23 refs],406,406
VY levator lengthening to treat upper eyelid retraction.,407,407
No need for routine closed suction drainage in elective arthroplasty of the hip: a prospective randomized trial in 104 operations,408,408
[Glycosylated hemoglobin and glycosylated proteins for metabolic control of diabetes mellitus],409,409
Continuation of metformin reduces early pregnancy loss in obese Pakistani women with polycystic ovarian syndrome,410,410
Critique that! Analytical Writing Assignments in Advanced Mathematics Courses,411,411
Why What We Teach Depends on When: Grade and Reading Intervention Modality Moderate Effect Size.,412,412
Evaluation of an Internet Support Group for Women with Primary Breast Cancer,413,413
Interleukin-28B polymorphisms on the SVR in the treatment of naive chronic hepatitis C with pegylated interferon-alpha plus ribavirin: A meta-analysis.,414,414
Phase angle for prognostication of survival in patients with advanced cancer: Preliminary findings.,415,415
Safety and efficacy of weekly nab���-paclitaxel in combination with carboplatin as first-line therapy in elderly patients with advanced non-small-cell lung cancer.,416,416
Lessons learned and not learned from the SUPPORT project.,417,417
Role of N-acetylcysteine in prevention of contrast-induced nephropathy after cardiovascular procedures: a meta-analysis,418,418
Impact of hepatitis C on survival in dialysis patients: A link with cardiovascular mortality?.,419,419
Clinical course of neuropathologically confirmed frontal-variant Alzheimer's disease,420,420
Smoking and oral cancer.,421,421
Risk profiles among adolescent nonmedical opioid users in the United States,422,422
Prolonged early antibiotic use and bronchopulmonary dysplasia in very low birth weight infants,423,423
Practicability and patients' subjective experiences of low-dose spinal anaesthesia using hyperbaric bupivacaine for transanal surgery,424,424
Discontinuing penicillin prophylaxis in children with sickle cell anemia. Prophylactic Penicillin Study II,425,425
Dose optimization of infliximab in patients with rheumatoid arthritis.,426,426
[Autologous stem cell therapy with surgical myocardial revascularization].,427,427
THE BRITISH MEDICAL ASSOCIATION.: SEVENTY-EIGHTH ANNUAL MEETING IN LONDON,428,428
Reproduction of excursive tooth contact in an articulator with computerized axiography data,429,429
A conservative treatment protocol of acute lumbosacral radiculopathy syndrome for general practitioner and physical therapist [Dutch],430,430
Intraoperative stability testing of lateral-entry pin fixation of pediatric supracondylar humeral fractures,431,431
Myocardial scar differences between polymorphic and monomorphic ventricular events in ischemic cardiomyopathy: A contrast-enhanced magnetic resonance imaging,432,432
Genetic and phenotypic determinants of blood pressure and other cardiovascular risk factors (GAPP),433,433
"gamma-tocopherol, the major form of vitamin E in the US diet, deserves more attention",434,434
"Randomized, double-blind, placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome",435,435
The impact of orthodontic treatment on the quality of life a systematic review.,436,436
Phenotypic analysis of misato function reveals roles of noncentrosomal microtubules in Drosophila spindle formation,437,437
Cost implications for missed malnutrition diagnoses in patients hospitalised with an exacerbation of chronic obstructive pulmonary disease (COPD),438,438
Effective combination chemotherapy with paclitaxel and cisplatin with or without human granulocyte colony-stimulating factor and/or erythropoietin in patients with advanced gastric cancer.,439,439
A case of delirium triggered by sub-clinical seizures,440,440
Intra-mandibular adenoid cystic carcinoma.,441,441
Why is functional capacity decreased in hypertensive patients? From mechanisms to clinical studies.,442,442
Personality profile and exercise dependence,443,443
Say yes? Say no?,444,444
Prevalence of Masked Hypertension in African Americans.,445,445
Differences of inter-tract correlations between neonates and children around puberty: a study based on microstructural measurements with DTI.,446,446
Electrocardiogram QRS detection using multiscale filtering based on mathematical morphology,447,447
Barriers and facilitators to implementing electronic prescription: a systematic review of user groups' perceptions.,448,448
Cystic fibrosis: cost of illness and considerations for the economic evaluation of potential therapies,449,449
"Working memory, short-term memory, and reading disabilities: a selective meta-analysis of the literature.",450,450
Hypothalamic obesity in children.,451,451
"Health literacy, diabetes self-care, and glycemic control in adults with type 2 diabetes",452,452
Central corneal melting associated with reformulated generic diclofenac in a patient with inferior fornix foreshortening.,453,453
Heart rate and blood pressure responses of left-handers and right-handers to autonomic stressors,454,454
[The use of intravascular nitinol stents in the treatment of subclavian vein compression for thoracic outlet syndrome].,455,455
Primary head and neck cancers in North -Western Nigeria,456,456
Vaginal incisional wound healing in a rabbit menopause model: a histologic analysis.,457,457
Acute and Persistent Postoperative Pain after Breast Surgery,458,458
The role of transforming growth factor-beta-mediated tumor-stroma interactions in prostate cancer progression: An integrative approach,459,459
Process of construction of an educational booklet for health promotion of pregnant women,460,460
"Comparison of the CHADS2, CHA2DS2-VASc and HAS-BLED scores for the prediction of clinically relevant bleeding in anticoagulated patients with atrial fibrillation: the AMADEUS trial.",461,461
Comparison of energy balance-related behaviours and measures of body composition between Turkish adolescents in Turkey and Turkish immigrant adolescents in the Netherlands.,462,462
Follow-up care of patients treated for breast cancer: a structured review,463,463
"Postamputation pain: epidemiology, mechanisms, and treatment",464,464
"Bullous impetigo in children infected with methicillin-resistant Staphylococcus aureus alone or in combination with methicillin-susceptible S. aureus: analysis of genetic characteristics, including assessment of exfoliative toxin gene carriage",465,465
Ebus-tbna yields multiple gene analyses and a panel of immunohistochemical stains on routinely prepared cell blocks in non-small cell lung cancer cases,466,466
The Social Workers Guide to Child and Adolescent Mental Health.,467,467
Impact of endoscopic ultrasonography (EUS) on surgical decision-making in upper gastrointestinal tract cancer: An international multicenter study,468,468
Family care giving in the context of HIV/AIDS in Africa,469,469
Empowered diabetes management: life coaching and pharmacist counseling for employed adults with diabetes,470,470
"School, neighborhood, and family factors are associated with children's bullying involvement: a nationally representative longitudinal study.",471,471
"Infectious diseases. As Ebola wanes, trials jockey for patients.",472,472
DiGeorge Syndrome Presenting as Hypocalcaemia-Induced Seizures in Adulthood.,473,473
In vivo effects of different anesthetic agents on apoptosis.,474,474
The impact of 3D volume of interest definition on accuracy and precision of activity estimation in quantitative SPECT and planar processing methods.,475,475
Comparison between oral antibiotics and probiotics as bowel preparation for elective colon cancer surgery to prevent infection: prospective randomized trial.,476,476
Comparison of 3D OS-EM and 4D MAP-RBI-EM reconstruction algorithms for cardiac motion abnormality classification using a motion observer.,477,477
"Adipocyte is a non-trivial, dynamic partner of breast cancer cells.",478,478
HRQoL after coronary artery bypass grafting and percutaneous coronary intervention for stable angina.,479,479
Weighting improves the information provided by joint counts on the severity of arthritis and its impact on patients' well-being in juvenile idiopathic arthritis,480,480
Chronic pain-associated behaviors in the nursing home: resident versus caregiver perceptions,481,481
Analysis of responses of radiology personnel to a simulated mass casualty incident after the implementation of an automated alarm system in hospital emergency planning.,482,482
Community nursing issues in Maori mental health.,483,483
Tobacco-related scenes in television dramas for young Japanese audiences,484,484
Alkaline phosphatase activity of duodenal enterocytes after neonatal administration of monosodium glutamate to rats.,485,485
Pulmonary rehabilitation for chronic obstructive pulmonary disease: a pilot study evaluating a once-weekly versus twice-weekly supervised programme.,486,486
Primary Banded Roux-en-Y Gastric Bypass: a Systematic Review.,487,487
Improving referrals to fracture clinic from the paediatric emergency department an intervention.,488,488
"Health literacy and child health promotion: Implications for research, clinical care, and public policy",489,489
Persistence of profenophos and quinolphos on cultivated cucumber and its removal,490,490
Cognitive impairment and risk of cardiovascular events and mortality.,491,491
Comparison of tunnel positions in single-bundle anterior cruciate ligament reconstructions using computer navigation.,492,492
Fludarabine vs cladribine plus busulfan and low-dose TBI as reduced intensity conditioning for allogeneic hematopoietic stem cell transplantation: a prospective randomized trial,493,493
[Limited experience in adrenocortical function tests in infants].,494,494
Does this patient have obstructive sleep apnea?: The Rational Clinical Examination systematic review.,495,495
APPLICATION OF AGING MANAGEMENT STRATEGIES FOR REACTOR VESSEL INTERNALS AND CORE SUPPORT STRUCTURES,496,496
Molecular detection of hepatitis B virus: Recent developments,497,497
Droperidol vs metoclopramide for prophylaxis of postoperative nausea and vomiting after breast cancer surgery,498,498
Is prolonged use of computer games a risk factor for deep venous thrombosis in children?,499,499
[Pelvic floor training for women with urinary incontinence].,500,500
Regulating free speech,501,501
Older Women in the Homeless Shelter: Personal Perspectives and Practice Ideas,502,502
Ethically justified system-level decisions in health care: Toward a decision support workbook for healthcare leaders,503,503
Takayasu's arteritis with multiple intracranial aneurysms,504,504
Intravenous cyclophosphamide in patients with chronic systemic inflammatory diseases: morbidity and mortality.,505,505
Trends in domestic violence service and leadership: implications for an integrated shelter model,506,506
[Clinical and histologic results of treatment of serous pulp inflammations with Ledermix].,507,507
Application of a model based on fuzzy logic for evaluating nursing diagnostic accuracy of students,508,508
The effectiveness of N-acetylcysteine in preventing contrast-induced nephropathy in patients undergoing contrast-enhanced computed tomography: a meta-analysis of randomized controlled trials (Provisional abstract),509,509
"[Commentary on] Gait changes in children with cerebral palsy following a neuro-developmental treatment course. Adams M, Chandler L, Shuhmann K, PEDIATRIC PHYSICAL THERAPY, 2000;12:114-120",510,510
Cognitive Outcome of Pediatric Moyamoya Disease.,511,511
Fruit consumption and risk of type 2 diabetes: results from three prospective longitudinal cohort studies.,512,512
A biomechanical study of replacement of the posterior cruciate ligament with a graft. Part II: Forces in the graft compared with forces in the intact ligament,513,513
The safety and immunogenicity of rotavirus vaccination in infants with intestinal failure,514,514
A growing lesion on the cheek.,515,515
Protective effect of ginsenoside Rb1 against myocardial ischemia/reperfusion injury in streptozotocin-induced diabetic rats,516,516
Comparative in vitro performance of three small-volume valved holding chambers with beclomethasone/formoterol pressurized metered dose inhaler.,517,517
The effectiveness of anti-illicit-drug public-service announcements: a systematic review and meta-analysis.,518,518
[Use of statins prior to or following invasive therapy for coronary artery disease].,519,519
Malignant lymphomas of the oral region.,520,520
Women's experiences of acupuncture during labour,521,521
Nutritional supplementation for hip fracture aftercare in the elderly.,522,522
Quality of life factors and survival after total or extended maxillectomy for sinonasal malignancies.,523,523
Epithelial Splicing Regulatory Proteins 1 (ESRP1) and 2 (ESRP2) Suppress Cancer Cell Motility via Different Mechanisms.,524,524
Combined and sequential treatment of oral and maxillofacial malignancies: an evolving concept and clinical protocol.,525,525
Evaluation of a workshop on evidence-based medicine for social insurance physicians.,526,526
Neurocognitive assessment in 13 patients affected by muchopolysaccharidosis IVA (MPS IVA),527,527
Evaluation of the protective effect of Ilex paraguariensis and Camellia sinensis extracts on the prevention of oxidative damage caused by ultraviolet radiation.,528,528
New anticoagulants for atrial fibrillation.,529,529
Our Health Counts -- Unmasking Health and Social Disparities among Urban Aboriginal People in Ontario.,530,530
A common variant in the FTO gene is associated with body mass index and predisposes to childhood and adult obesity.,531,531
"The parvalbumin-positive interneurons in the mouse dentate gyrus express GABAA receptor subunits �1, �_2, and � along their extrasynaptic cell membrane.",532,532
Glial cells in amyotrophic lateral sclerosis.,533,533
Diagnosing acute cardiac ischemia in the emergency department: a systematic review of the accuracy and clinical effect of current technologies.,534,534
Eczema - quiz.,535,535
"Stroke in children with posterior fossa brain malformations, hemangiomas, arterial anomalies, coarctation of the aorta and cardiac defects, and eye abnormalities (PHACE) syndrome: A systematic review of the literature.",536,536
"Employing a youth-led adult-guided framework: ""why drive high?"" social marketing campaign.",537,537
Review of Handbook for Working with Children and Youth: Pathways to Resilience across Cultures and Contexts,538,538
Helicobacter pylori antibiotic resistance patterns and genotypes in adult dyspeptic patients from a regional population in North Wales,539,539
Sonographically guided biopsy of focal lesions: a comparison of freehand and probe-guided techniques using a phantom.,540,540
Splinting osseointegrated implants and natural teeth in partially edentulous patients: a systematic review of the literature. [Review],541,541
Long-term subcutaneous recombinant interleukin-2 as maintenance therapy: Biological effects and clinical implications,542,542
School soft drink intervention study,543,543
Hoarse voice in adults: An evidence-based approach to the 12 minute consultation.,544,544
"Chronic compartment syndrome, an important cause of work-related upper limb disorder",545,545
"Sleep, sleep-dependent procedural learning and vigilance in chronic cocaine users: Evidence for occult insomnia",546,546
A screening methodology for crowdsourcing video QoE evaluation,547,547
Potential for inter-observer and intra-observer variability in x-ray review to establish stone-free rates after lithotripsy.,548,548
Situating universal design architecture: designing with whom?,549,549
Endovascular Treatment of Ruptured Large or Wide-Neck Basilar Tip Aneurysms Associated with Moyamoya Disease Using the Stent-Assisted Coil Technique.,550,550
Subjective states: A more robust model,551,551
The fundamental role of bone morphogenetic protein 15 in ovarian function and its      involvement in female fertility disorders.,552,552
Giant-cell tumour of the knee: the condition of the cartilage after treatment by curettage and cementing,553,553
Diagnostic accuracy of endoscopic ultrasound-guided fine-needle aspiration for solid pancreatic lesion: a systematic review.,554,554
"Safety, tolerability and sustained weight loss over 2 years with the once-daily human GLP-1 analog, liraglutide.",555,555
Web-based nutrition education intervention improves self-efficacy and self-regulation related to increased dairy intake in college students,556,556
Three Abstracts on Chinese Research,557,557
Retrograde nailing of humeral shaft fractures,558,558
Behavioral and cognitive measurements predict scores on the MAST: a 3-year prospective study.,559,559
Development of a SNP genotyping panel and a medical decision support algorithm to predict drug response in schizophrenia,560,560
ELDERLY AND PHYSICAL ACTIVITY: BENEFITS AND CHALLENGES IN SEARCH FOR LIFE QUALITY.,561,561
Neighbourhood characteristics and mortality in the Atherosclerosis Risk in Communities Study,562,562
Transference-focused psychotherapy v. treatment by community psychotherapists for borderline personality disorder: randomised controlled trial.,563,563
The changing residential environments of older people,564,564
A systematic review of the surgical treatment of large incisional hernia.,565,565
"Fast-food habits, weight gain, and insulin resistance (the CARDIA study): 15-year prospective analysis.",566,566
Early prenatal survival in relation to the parental environment in sheep: A review,567,567
Changing tides: improving outcomes through mentorship on all levels of nursing,568,568
Tracking cognitive decline in Alzheimer's disease using the mini-mental state examination: a meta-analysis.,569,569
Pulmonary rehabilitation programs for patients with COPD.,570,570
The Impact of Nursing Case Management on Women With Diabetes in Pregnancy,571,571
[Pharmacotherapy for conduct disorder in children and adolescents],572,572
Monteggia lesions in adults. A multicenter Bota study,573,573
Progesterone receptor PROGINS and +331G/A polymorphisms confer susceptibility to ovarian cancer: a meta-analysis based on 17 studies.,574,574
Gene analysis of steroid 5 alpha-reductase 1 in hyperandrogenic women,575,575
Intravenous insulin treatment in acute stroke: a systematic review and meta-analysis of randomized controlled trials.,576,576
"Hospitalized heart failure patients with preserved vs. reduced     ejection fraction in Dubai, United Arab Emirates: a prospective     study",577,577
Multiple endocrine neoplasia type 1 with multiple leiomyomas linked to a novel mutation in the MEN1 gene,578,578
[Anesthetic gases exposure: findings from a 13 year environmental and biological monitoring in a hospital company].,579,579
Out-of-hospital cardiac arrests occurring in southern Ontario health care clinics: bystander cardiopulmonary resuscitation and automated external defibrillator use.,580,580
Diffusion tensor imaging of deep gray matter in children treated for brain malignancies.,581,581
A randomized controlled trial of paracetamol versus morphine for the treatment of acute painful crisis of sickle cell disease,582,582
Puberty suppression in adolescents with gender identity disorder: a prospective follow-up study,583,583
A meta-analysis of clinical trials comparing mirtazapine with selective serotonin reuptake inhibitors for the treatment of major depressive disorder.,584,584
Group physiotherapy provides similar outcomes for participants after joint replacement surgery as 1-to-1 physiotherapy: a sequential cohort study.,585,585
Sevoflurane postconditioning converts persistent ventricular fibrillation into regular rhythm.,586,586
Frontal and sagittal plane analyses of the stair climbing task in healthy adults aged over 40 years: what are the challenges compared to level walking?,587,587
DPYD IVS14+1G>A and 2846A>T genotyping for the prediction of severe fluoropyrimidine-related toxicity: A meta-analysis,588,588
[Methicillin-resistant Staphylococcus aureus forming the fried egg appearance colonies isolated from a patient with septicemia],589,589
Support for nutrition from the older Americans act programs: a clarification on its 40th anniversary,590,590
Measures of exposure to the Well London Phase-1 intervention and their association with health well-being and social outcomes,591,591
The Effects of Cognitive Coaching and Nonverbal Classroom Management on Teacher Efficacy and Perceptions of School Culture.,592,592
Changes in glucose tolerance over time in women with polycystic ovary syndrome: a controlled study,593,593
Effects of Test Administrator Characteristics on Achievement Test Scores,594,594
Distal radius fracture arthroscopic intraarticular displacement measurement after open reduction and internal fixation from a volar approach,595,595
Age-related driving disorders: screening in hospitals and outpatients settings.,596,596
[Effect of a dialysis solution with icodextrin on ultrafiltration and selected metabolic parameters in patients treated with peritoneal dialysis],597,597
Evidence based practice and advanced competencies in a MHS-CLS program,598,598
Effect of QVA149 on lung volumes and exercise tolerance in COPD patients: the BRIGHT study,599,599
Disseminated lymphoma with large granular lymphocyte morphology diagnosed in a horse via abdominal fluid and transtracheal wash cytology.,600,600
Outcome of patients with severe PH due to lung disease with     and without targeted therapy,601,601
A comprehensive assessment of maternal deaths in Argentina: translating multicentre collaborative research into action.,602,602
"Human african trypanosomiasis diagnosis in first-line health services of endemic countries, a systematic review.",603,603
Overlap of food addiction and substance use disorders definitions: analysis of animal and human studies.,604,604
Efficacy of prolonged administration of intravenous erythromycin in an ambulatory setting as treatment of severe gastroparesis: one center's experience,605,605
Bound for success: a systematic review of constraint-induced movement therapy in children with cerebral palsy supports improved arm and hand use (Structured abstract),606,606
"Optical turbulence: weak turbulence, condensates and collapsing filaments in the nonlinear Schr̦dinger equation",607,607
"[Progress in joint international research of demographic and geographic distribution of insignificant, middle and high-grade tuberculin skin sensitivity].",608,608
Efficacy of Class 1 elastic compression stockings in the early stages of chronic venous disease. A comparative study.,609,609
The future of JAK inhibition in myelofibrosis and beyond,610,610
Reinventing the wheel? Or the emperor's new clothes.,611,611
A study of out-of-hospital cardiac arrests in northeastern Minnesota,612,612
"The Chinese medicine construct ""stagnation"" in mind-body connection mediates the effects of mindfulness training on depression and anxiety",613,613
Outcomes from patients with multi-vessel disease following primary PCI: staged PCI imparts very low mortality.,614,614
Modelling the effects of subjective and objective decision making in scientific peer review.,615,615
"Exercise-induced flow limitation, dynamic hyperinflation and exercise capacity in patients with bronchial asthma.",616,616
The combined role of serotonin and interleukin-6 as biomarker for autism,617,617
General public's and physicians' perception of health risk associated with radon exposure in the state of Azad Jammu and Kashmir,618,618
Cost-effectiveness of statins for primary prevention in patients newly diagnosed with type 2 diabetes in the Netherlands,619,619
Women's sexuality in the South African constitutional court,620,620
[Medical and psychosocial care needs of cancer patients: a systematic review comparing urban and rural provisions].,621,621
"A randomized, double-blind, placebo controlled triphosphate in study of oral adenosine subacute low back pain",622,622
Efficacy and safety of NMDA receptor antagonists augmentation therapy for schizophrenia: An updated meta-analysis of randomized placebo-controlled trials,623,623
"Taste, olfactory and food texture reward processing in the brain and obesity",624,624
Prefrontal hypoactivation and recovery in insomnia.,625,625
Determinants of drug response in a cisplatin-resistant human lung cancer cell line.,626,626
"Association between genetic polymorphism of tumor necrosis factor-alpha and risk of oral submucous fibrosis, a pre-cancerous condition of oral cancer.",627,627
Improving end-of-life care for patients with chronic obstructive pulmonary disease.,628,628
Diabetes and other comorbidities in breast cancer survival by race/ethnicity: The California breast cancer survivorship consortium (CBCSC),629,629
Effect of e-health on medical expenditures of outpatients with lifestyle-related diseases,630,630
Fiscal impact of a potential legislative ban on second trimester elective terminations for prenatally diagnosed abnormalities (Structured abstract),631,631
Phase III randomized sequential open-label study to evaluate the efficacy and safety of sorafenib followed by pazopanib vs pazopanib followed by sorafenib in the treatment of advanced / metastatic renal cell carcinoma-design of the SWITCH-2 Study (NCT01613846),632,632
Epidemiology of sporting injuries among elite soccer players: A longitudinal study,633,633
Mental health symptoms in a population based survey of minority farm operators,634,634
Motor cortex stimulation in patients with post-stroke pain: conscious somatosensory response and pain control,635,635
Antimicrobial resistance of H. pylori isolates in alaska native persons from 2000-2008: Results from the alaska sentinel surveillance project,636,636
Results of the phase II NCRI CLL206 trial of alemtuzumab in combination with high-dose methylprednisolone for high-risk (17P-) CLL,637,637
Timely access to specialist medical oncology services closer to home for rural patients: experience from the Townsville Teleoncology Model.,638,638
Bioavailability and tolerability of intranasal diazepam in healthy adult volunteers,639,639
Protein kinase CK-1 inhibitors as new potential drugs for amyotrophic lateral sclerosis.,640,640
The Prevalence and Age-Related Characteristics of Pain in a Sample of Women Veterans Receiving Primary Care,641,641
Experiences of African-American Women with Smartphone-Based Ecological Momentary Assessment.,642,642
"Letter by Raposeiras-Roubin et al regarding article, ""mortality associated with atrial fibrillation in patients with myocardial infarction: a systematic review and meta-analysis"".",643,643
Preferential expression of T-cell receptor V beta-chains in atopic eczema.,644,644
Evidence-based evaluation of therapeutic measures for amyotrophic lateral sclerosis. [Chinese],645,645
Enhanced meta-analysis of acetylcholine binding protein structures reveals conformational signatures of agonism in nicotinic receptors.,646,646
Factors associated with orthodontic patient compliance with intraoral elastic and headgear wear.,647,647
"A 23-year-old Hispanic migrant fieldworker who presents with a painful rash on his limbs, trunk, and face. Guttate psoriasis.",648,648
Influence of two handwashing frequencies on reduction in colonizing flora with three handwashing products used by health care personnel.,649,649
Impact of diet restriction and/or resistance training on physical capacity in obese older women...7th World Congress on Aging and Physical Activity,650,650
Meta-analysis of the influence of I148M variant of patatin-like phospholipase domain containing 3 gene (PNPLA3) on the susceptibility and histological severity of nonalcoholic fatty liver disease.,651,651
"Prevalence, molecular characterization, and phenotypic confirmation of extended-spectrum beta-lactamases in Escherichia coli, Klebsiella pneumoniae, and Klebsiella oxytoca at the Radboud University Nijmegen Medical Centre in The Netherlands",652,652
Diagnosis of Stroke-Associated Pneumonia: Recommendations From the Pneumonia in Stroke Consensus Group.,653,653
A narrative review of surgical resident duty hour limits: where do we go from here?,654,654
FACTORS ASSOCIATED WITH SELF-WORTH IN YOUNG PEOPLE WITH PHYSICAL DISABILITIES,655,655
Different renal toxicity profiles in the association of cyclosporine and tacrolimus with sirolimus in rats.,656,656
A meta-analysis of alcohol drinking and oral and pharyngeal cancers. Part 2: results by subsites.,657,657
Genetic overlap between diagnostic subtypes of ischemic stroke.,658,658
Serum S100B represents a new biomarker for mood disorders.,659,659
Serial postoperative awake and sleep EEG and long-term seizure outcome after anterior temporal lobectomy for hippocampal sclerosis.,660,660
Remote area indigenous psychiatry - Reflections on nine years as a visiting psychiatrist,661,661
Right ventricular outflow tract reconstruction with decellularized porcine xenografts in patients with congenital heart disease.,662,662
"Pooled analysis of non-union, re-operation, infection, and approach related complications after anterior odontoid screw fixation.",663,663
"Accuracy, risk and the intrinsic value of diagnostic imaging: a review of the cost-utility literature.",664,664
Swabbing Surgical Sites Does Not Improve the Detection of Staphylococcus aureus Carriage in High-Risk Surgical Patients,665,665
Effect of chewing gun on the promotion of intestinal function recovery after colorectal cancer surgery: A meta-analysis. [Chinese],666,666
School Climate and Students' Early Mathematics Learning: Another Search for Contextual Effects.,667,667
Chronic hypokalemia due to excessive cola consumption: a case report,668,668
Constructing differences: A qualitative analysis of teachers�۪ perspectives on linguistic and cultural diversity,669,669
"Wirkungen und Risiken neuartiger psychoaktiver Substanzen: Fehldeklaration und Verkauf als ""Badesalze"", ""Spice"" und ""Forschungschemikalien""",670,670
[New guidelines for bariatric surgery care: practical implications],671,671
Inosiplex for treatment of alopecia areata: A randomized placebo-controlled study,672,672
Fungal flora in indoor and outdoor air of different residential houses in Tekirdag City (Turkey): seasonal distribution and relationship with climatic factors,673,673
The psychiatric comorbidity of epilepsy.,674,674
Obesity and obstructive sleep apnea: Carry the torch of awareness,675,675
Aerobic fitness testing in patients with chronic low back pain: which test is best?,676,676
"Poster abstracts. The National Association of Bariatric Nurses, 4th Annual Meeting and Conference, October 24-27, 2007, North Charleston, South Carolina",677,677
A review of cyanoacrylate liquid skin protectant and its efficacy on pedal fissures,678,678
The special status of actions in causal reasoning in rats.,679,679
How Much Trash Do You Trash?,680,680
"Implementing pharmacogenetics: Pharmarray, acodose and pharmacogenetic consultation",681,681
