ounces,abv,original_index,unique_index
12.0 ounce,0.056,838,92
12.0 oz,0.046,839,155
12.0 oz,0.063,840,139
12.0 ounce,0.085,841,412
12.0 oz.,0.072,842,10
12.0 oz.,0.047,843,138
12.0 oz,0.076%,844,413
12.0 ounce,0.057,845,91
12.0 oz,0.052,846,114
16.0 oz,0.055,847,96
16.0 ounce,0.05,848,43
16.0 oz.,0.06,849,70
16.0 oz. Alumi-Tek,0.064,850,414
12.0 oz. Alumi-Tek,0.04%,851,415
12.0 oz,0.052,852,114
12.0 oz,0.06,853,90
12.0 oz.,0.051,854,190
12.0 oz.,0.042,855,88
12.0 oz,0.067,856,393
12.0 oz.,0.06,857,16
12.0 oz,0.052,858,114
12.0 ounce,0.06,859,15
12.0 oz.,0.05%,860,246
12.0 oz. Alumi-Tek,0.057,861,95
12.0 ounce,0.07,862,33
12.0 oz.,0.055999999999999994%,863,239
12.0 oz. Alumi-Tek,0.069,864,416
12.0 ounce,0.055,865,55
12.0 oz. Alumi-Tek,0.053,866,75
12.0 oz.,0.065%,867,313
12.0 oz.,0.06,868,16
12.0 oz.,0.042,869,88
12.0 oz.,0.068,870,108
12.0 ounce,0.042,871,417
12.0 oz,0.059,872,418
12.0 ounce,0.044,873,222
12.0 ounce,0.04,874,320
12.0 oz,0.045,875,158
12.0 ounce,0.08,876,419
12.0 oz,0.065%,877,420
12.0 oz,0.065,878,40
12.0 oz.,0.055999999999999994%,879,239
12.0 oz,0.065%,880,420
12.0 oz.,0.053%,881,421
12.0 oz,0.07%,882,124
12.0 oz.,0.052000000000000005%,883,373
16.0 oz. Alumi-Tek,0.07%,884,422
12.0 OZ.,0.05%,885,423
12.0 oz.,0.072,886,10
12.0 ounce,0.049,887,23
12.0 ounce,0.05,888,146
12.0 oz,0.067,889,393
16.0 oz,0.072,890,200
12.0 OZ.,0.057999999999999996%,891,424
16.0 oz.,0.074,892,425
16.0 oz.,0.08,893,188
16.0 oz,0.094,894,426
16.0 oz.,0.059000000000000004%,895,427
16.0 ounce,0.046,896,428
16.0 oz,0.068,897,298
12.0 oz,0.059000000000000004%,898,215
16.0 oz,0.05,899,63
16.0 oz.,0.055,900,66
16.0 oz.,0.08,901,188
16.0 oz.,0.08,902,188
16.0 oz.,0.059,903,429
16.0 ounce,0.046%,904,47
16.0 ounce,0.07,905,228
12.0 ounce,0.07,906,33
12.0 oz.,0.06,907,16
12.0 oz.,0.055999999999999994%,908,239
12.0 oz,0.093,909,430
12.0 oz.,0.06,910,16
12.0 ounce,0.06,911,15
12.0 ounce,0.057999999999999996%,912,194
12.0 OZ.,0.055,913,431
12.0 oz.,0.059,914,35
16.0 oz.,0.054,915,364
12.0 oz.,0.054000000000000006%,916,432
16.0 oz,0.042%,917,433
12.0 ounce,0.042%,918,434
12.0 oz.,0.042%,919,319
12.0 ounce,0.052000000000000005%,920,318
12.0 oz.,0.05,921,34
12.0 oz.,0.052000000000000005%,922,373
12.0 oz. Silo Can,0.054,923,435
12.0 oz.,,924,219
12.0 oz.,0.043,925,436
12.0 oz.,0.049,926,25
12.0 oz.,0.055,927,8
16.0 oz.,0.053,928,266
16.0 OZ.,0.057,929,437
16.0 oz,0.056,930,438
16.0 oz.,0.062,931,265
16.0 oz,0.057,932,439
16.0 oz.,0.053,933,266
16.0 oz.,0.056,934,356
16.0 oz.,0.057%,935,340
16.0 OZ.,0.045,936,440
16.0 oz.,0.057,937,441
16.0 oz.,0.057%,938,340
16.0 oz.,0.06%,939,172
16.0 oz,0.051,940,332
16.0 oz,0.075,941,335
16.0 oz,0.08,942,365
16.0 oz.,0.055999999999999994%,943,274
16.0 oz,0.057,944,439
16.0 oz.,0.042,945,62
16.0 oz.,0.062%,946,442
16.0 oz,0.053%,947,443
12.0 oz,0.05,948,0
12.0 oz,0.087,949,444
12.0 oz.,0.061%,950,445
12.0 ounce,0.071,951,2
12.0 oz,0.083%,952,446
12.0 oz.,0.05,953,34
12.0 ounce,0.095%,954,184
12.0 OZ.,0.073%,955,447
12.0 oz.,0.071,956,448
24.0 oz.,0.045%,957,449
12.0 ounce,0.045,958,237
12.0 ounce,0.052,959,135
12.0 oz,0.052,960,114
12.0 oz,0.05,961,0
16.0 ounce,0.07%,962,390
12.0 ounce,0.048,963,170
12.0 oz.,0.048,964,231
12.0 oz.,0.048%,965,89
16.0 ounce,0.05,966,43
16.0 OZ.,0.06%,967,450
16.0 oz.,0.055,968,66
16.0 oz. Alumi-Tek,0.054000000000000006%,969,451
16.0 oz.,0.053,970,266
16.0 oz.,0.09%,971,400
16.0 ounce,0.07,972,228
16.0 oz,0.07%,973,163
16.0 oz.,0.059000000000000004%,974,427
16.0 oz.,0.048,975,235
16.0 oz.,0.06%,976,172
16.0 oz,0.053%,977,443
16.0 oz,0.054,978,50
12.0 oz.,0.05%,979,246
12.0 ounce,0.057,980,91
12.0 ounce,0.067,981,452
16.0 ounce,0.058,982,453
12.0 oz,0.085,983,371
16.0 oz. Alumi-Tek,0.058,984,454
12.0 oz.,0.06%,985,178
16.0 ounce,0.04,986,455
16.0 ounce,0.055,987,199
16.0 OZ.,0.06,988,386
12.0 oz.,0.06%,989,178
12.0 oz.,0.049%,990,24
16.0 oz.,0.045,991,409
16.0 ounce,0.065%,992,69
16.0 ounce,0.05,993,43
16.0 ounce,0.05%,994,276
16.0 ounce,0.065,995,42
16.0 OZ.,0.075,996,398
16.0 ounce,0.05%,997,276
12.0 oz,0.04,998,456
16.0 oz,0.09,999,457
12.0 oz.,0.063,1000,458
12.0 oz,0.069,1001,166
12.0 ounce,0.047,1002,192
16.0 oz.,0.07,1003,118
16.0 oz.,0.08,1004,188
16.0 oz.,0.057%,1005,340
16.0 oz,0.055,1006,96
16.0 oz,0.06,1007,248
16.0 oz.,0.06,1008,70
16.0 oz,0.042,1009,459
16.0 oz,0.052,1010,117
12.0 oz. Alumi-Tek,0.07,1011,324
12.0 oz,0.052,1012,114
12.0 oz. Alumi-Tek,0.046,1013,460
12.0 oz,0.043,1014,384
16.0 oz.,0.075,1015,189
12.0 oz,0.044,1016,22
12.0 ounce,0.056,1017,92
12.0 oz,0.052,1018,114
12.0 ounce,0.062,1019,127
12.0 oz.,0.048,1020,231
12.0 oz.,0.05%,1021,246
12.0 ounce,0.059,1022,217
12.0 oz.,0.059000000000000004%,1023,461
12.0 oz.,0.055,1024,8
12.0 ounce,0.059000000000000004%,1025,462
12.0 oz,0.05%,1026,131
12.0 oz.,0.048,1027,231
12.0 OZ.,0.05,1028,107
12.0 oz,0.059000000000000004%,1029,215
12.0 oz.,,1030,219
12.0 oz.,0.048%,1031,89
12.0 ounce,0.049,1032,23
12.0 oz,0.054000000000000006%,1033,463
19.2 oz.,0.064%,1034,464
12.0 ounce,0.064,1035,213
19.2 oz,0.083,1036,465
16.0 oz.,0.076,1037,466
16.0 oz,0.062%,1038,295
16.0 ounce,0.088,1039,167
12.0 oz,0.072,1040,467
12.0 oz,0.06%,1041,148
12.0 OZ.,0.06,1042,128
16.0 OZ.,0.063%,1043,468
16.0 oz,0.08%,1044,292
16.0 oz,0.099,1045,263
12.0 ounce,0.063,1046,469
12.0 oz. Alumi-Tek,0.07,1047,324
12.0 oz,0.044,1048,22
12.0 oz.,0.045%,1049,6
12.0 ounce,0.055,1050,55
16.0 oz. Alumi-Tek,0.045%,1051,470
16.0 oz.,0.055%,1052,130
16.0 oz.,0.049,1053,471
16.0 oz.,0.055,1054,66
16.0 oz,0.066%,1055,472
16.0 oz.,0.042,1056,62
12.0 oz.,0.042,1057,88
12.0 ounce,0.047%,1058,242
12.0 oz,0.057999999999999996%,1059,171
12.0 oz,0.049,1060,218
12.0 oz.,0.078%,1061,179
12.0 oz.,0.063,1062,458
12.0 oz.,0.049,1063,25
12.0 ounce,0.048,1064,170
12.0 oz.,0.065,1065,41
12.0 oz.,0.065,1066,41
12.0 oz.,0.049,1067,25
12.0 oz,0.07,1068,93
12.0 oz.,0.051,1069,190
12.0 oz.,0.051,1070,190
12.0 ounce,0.06,1071,15
12.0 oz.,0.065,1072,41
16.0 oz,0.068,1073,298
16.0 oz,0.027000000000000003%,1074,473
16.0 ounce,0.039,1075,321
16.0 oz.,0.039,1076,474
16.0 ounce,0.039,1077,321
16.0 ounce,0.039%,1078,475
16.0 ounce,0.039%,1079,475
16.0 oz,0.039,1080,476
16.0 ounce,0.039%,1081,475
16.0 oz,0.039%,1082,477
16.0 oz. Alumi-Tek,0.039,1083,478
16.0 oz,0.039%,1084,477
16.0 oz,0.039,1085,476
16.0 oz,0.039%,1086,477
16.0 oz,0.058,1087,479
16.0 oz.,0.057999999999999996%,1088,247
16.0 oz.,0.066%,1089,480
16.0 oz.,0.073%,1090,481
16.0 oz,0.06,1091,248
16.0 ounce,0.058,1092,453
16.0 oz,0.073,1093,482
16.0 oz,0.051,1094,332
16.0 oz.,0.066,1095,198
12.0 oz.,0.055999999999999994%,1096,239
12.0 oz.,0.051,1097,190
16.0 oz.,0.06,1098,70
12.0 oz.,0.065%,1099,313
12.0 oz.,0.055,1100,8
12.0 oz,0.068%,1101,483
12.0 ounce,0.065,1102,7
12.0 ounce,0.05,1103,146
12.0 oz.,0.046,1104,214
12.0 ounce,0.065,1105,7
12.0 oz,0.054000000000000006%,1106,463
12.0 oz,0.048,1107,484
12.0 oz.,0.055,1108,8
12.0 oz. Alumi-Tek,0.059,1109,361
12.0 oz,0.057999999999999996%,1110,171
12.0 oz.,0.07,1111,26
12.0 oz.,0.055%,1112,39
12.0 oz.,0.045%,1113,6
12.0 oz,0.068,1114,485
12.0 oz,0.053,1115,120
12.0 oz,0.049,1116,218
16.0 oz.,,1117,259
16.0 oz,0.052,1118,117
12.0 OZ.,0.048,1119,486
16.0 oz.,0.072,1120,333
12.0 ounce,0.067%,1121,487
12.0 oz. Alumi-Tek,0.049%,1122,159
12.0 OZ.,0.05,1123,107
12.0 oz.,0.051,1124,190
12.0 oz.,0.055%,1125,39
12.0 ounce,0.055,1126,55
12.0 ounce,0.065,1127,7
12.0 oz.,0.07%,1128,28
12.0 oz,0.05,1129,0
12.0 ounce,0.067,1130,452
12.0 oz.,0.069%,1131,488
12.0 ounce,,1132,212
12.0 oz.,0.045,1133,57
12.0 oz,0.055,1134,54
12.0 OZ.,0.055,1135,431
12.0 oz.,0.06,1136,16
12.0 oz,0.06%,1137,148
12.0 ounce,0.05%,1138,208
12.0 oz,0.05%,1139,131
12.0 oz,0.09300000000000001%,1140,489
12.0 oz,0.052,1141,114
12.0 oz. Alumi-Tek,0.071,1142,490
12.0 oz.,0.075,1143,405
12.0 oz.,0.052000000000000005%,1144,373
12.0 oz.,0.057999999999999996%,1145,94
12.0 oz.,0.055,1146,8
12.0 ounce,0.055,1147,55
12.0 ounce,0.047%,1148,242
12.0 oz. Alumi-Tek,0.066%,1149,491
12.0 OZ.,0.095%,1150,492
12.0 oz.,0.049%,1151,24
12.0 oz.,0.052,1152,326
12.0 oz,0.066%,1153,493
12.0 oz.,0.057,1154,125
12.0 oz,0.06,1155,90
12.0 ounce,0.055,1156,55
12.0 oz,0.057999999999999996%,1157,171
12.0 ounce,0.05,1158,146
12.0 oz. Alumi-Tek,0.068,1159,494
12.0 oz,0.058,1160,241
16.0 oz.,0.065%,1161,367
16.0 ounce,0.065%,1162,69
16.0 oz.,0.065,1163,250
16.0 oz.,0.055,1164,66
16.0 ounce,0.065%,1165,69
16.0 oz.,0.065,1166,250
12.0 oz.,,1167,219
12.0 oz.,,1168,219
12.0 oz.,,1169,219
12.0 oz,,1170,220
12.0 oz. Alumi-Tek,,1171,209
12.0 oz,,1172,220
12.0 oz,,1173,220
12.0 oz.,0.051,1174,190
12.0 oz.,0.055,1175,8
12.0 OZ.,0.06,1176,128
12.0 oz. Alumi-Tek,0.057%,1177,495
12.0 oz.,0.049,1178,25
16.0 ounce,0.063,1179,496
16.0 oz.,0.048,1180,235
24.0 oz.,0.046%,1181,497
16.0 oz,0.046%,1182,498
12.0 oz.,0.046,1183,214
12.0 oz,0.046,1184,155
12.0 oz.,0.04%,1185,499
16.0 oz.,0.08,1186,188
16.0 oz.,0.054,1187,364
16.0 ounce,0.07200000000000001%,1188,368
12.0 oz.,0.066%,1189,500
12.0 oz.,0.048,1190,231
12.0 ounce,0.045,1191,237
12.0 ounce,0.068%,1192,31
12.0 oz,0.05%,1193,131
12.0 ounce,0.055,1194,55
12.0 oz,0.05,1195,0
12.0 ounce,0.048,1196,170
12.0 oz,0.064,1197,181
12.0 oz. Alumi-Tek,0.064,1198,501
12.0 oz.,0.056,1199,101
16.0 oz,0.05,1200,63
12.0 oz.,0.051,1201,190
12.0 oz.,0.057,1202,125
12.0 oz,0.05%,1203,131
12.0 oz.,0.05,1204,34
12.0 OZ.,0.057,1205,79
16.0 ounce,0.052,1206,307
16.0 oz.,0.06,1207,70
12.0 oz,0.058,1208,241
12.0 oz,0.057,1209,502
12.0 oz.,0.052,1210,326
12.0 oz.,0.065,1211,41
12.0 oz.,0.057,1212,125
12.0 oz,0.06%,1213,148
16.0 oz,0.075%,1214,359
12.0 oz.,0.057,1215,125
12.0 ounce,0.058,1216,100
12.0 ounce,0.061,1217,144
12.0 oz,0.059,1218,418
12.0 oz.,0.046,1219,214
16.0 ounce,0.072,1220,503
12.0 OZ.,0.04,1221,74
12.0 ounce,0.046,1222,353
16.0 oz,0.046%,1223,498
16.0 oz,0.048,1224,372
16.0 OZ.,0.055,1225,504
16.0 oz.,0.045%,1226,270
12.0 oz,0.062,1227,342
12.0 oz.,0.056,1228,101
16.0 oz.,0.052,1229,73
16.0 ounce,0.062,1230,84
16.0 oz.,0.052,1231,73
16.0 ounce,0.048%,1232,505
12.0 oz. Silo Can,0.038%,1233,506
12.0 oz.,0.051,1234,190
12.0 oz. Alumi-Tek,0.054000000000000006%,1235,507
12.0 oz.,0.053,1236,77
12.0 ounce,0.061,1237,144
12.0 oz. Silo Can,0.057999999999999996%,1238,508
12.0 oz,0.05,1239,0
12.0 oz,0.051,1240,134
12.0 ounce,0.05,1241,146
12.0 oz,0.055,1242,54
12.0 oz.,0.099,1243,509
12.0 oz,0.043,1244,384
12.0 ounce,0.085,1245,412
16.0 OZ.,0.079,1246,510
12.0 oz.,0.047,1247,138
12.0 oz.,0.05%,1248,246
12.0 ounce,0.069,1249,511
12.0 ounce,0.07,1250,33
12.0 oz.,0.06,1251,16
16.0 OZ.,0.051,1252,397
12.0 oz.,0.055,1253,8
12.0 ounce,0.051%,1254,512
12.0 oz.,0.042,1255,88
12.0 oz.,0.065%,1256,313
12.0 ounce,0.042,1257,417
12.0 ounce,0.045,1258,237
12.0 oz.,0.07200000000000001%,1259,513
12.0 oz.,0.067,1260,142
12.0 oz.,0.045,1261,57
12.0 ounce,0.055,1262,55
12.0 ounce,0.055,1263,55
12.0 oz,0.05%,1264,131
12.0 oz,0.09,1265,514
12.0 oz,0.06,1266,90
12.0 ounce,0.085,1267,412
12.0 ounce,0.099,1268,300
12.0 ounce,0.08,1269,419
12.0 ounce,0.06%,1270,147
12.0 oz,0.095,1271,515
12.0 OZ.,0.066,1272,516
12.0 oz,0.047%,1273,517
12.0 oz.,0.062,1274,113
16.0 oz,0.07200000000000001%,1275,518
16.0 ounce,0.05,1276,43
16.0 oz,0.099,1277,263
16.0 oz.,0.063,1278,261
16.0 oz.,0.09699999999999999%,1279,519
16.0 oz,0.05,1280,63
16.0 OZ.,0.065,1281,81
16.0 oz.,0.05,1282,105
16.0 OZ.,0.08%,1283,520
12.0 oz,0.08,1284,346
16.0 oz.,0.05,1285,105
12.0 ounce,0.05,1286,146
12.0 oz.,0.065%,1287,313
12.0 oz.,0.065%,1288,313
12.0 ounce,0.042,1289,417
16.0 ounce,0.065,1290,42
12.0 OZ.,0.051,1291,521
12.0 oz,0.045,1292,158
12.0 oz.,0.045%,1293,6
12.0 ounce,0.048,1294,170
12.0 oz,0.047%,1295,517
12.0 oz,0.05,1296,0
12.0 oz. Alumi-Tek,0.06%,1297,366
12.0 oz,0.047,1298,164
12.0 oz.,0.055,1299,8
16.0 oz,0.055,1300,96
12.0 oz,0.051,1301,134
12.0 oz. Alumi-Tek,0.055%,1302,522
12.0 oz. Alumi-Tek,0.05%,1303,348
12.0 oz.,0.07,1304,26
12.0 oz,0.082,1305,76
12.0 oz.,0.06%,1306,178
12.0 oz,0.05%,1307,131
12.0 OZ.,0.068,1308,523
12.0 ounce,0.055,1309,55
12.0 oz,0.045,1310,158
12.0 oz.,0.057,1311,125
12.0 oz,0.062,1312,342
12.0 ounce,0.037,1313,524
12.0 oz.,0.037,1314,525
12.0 oz.,0.037,1315,525
16.0 OZ.,0.069%,1316,526
16.0 oz.,0.069,1317,45
16.0 ounce,0.069,1318,527
19.2 oz,0.072,1319,528
12.0 OZ.,0.072,1320,529
12.0 oz.,0.042%,1321,319
12.0 oz.,0.052,1322,326
12.0 oz,0.052,1323,114
12.0 ounce,0.054,1324,160
12.0 oz,0.053%,1325,530
12.0 ounce,0.053,1326,531
12.0 oz.,0.071,1327,448
12.0 oz,0.053,1328,120
12.0 oz.,0.056,1329,101
12.0 oz.,0.063,1330,458
12.0 oz.,0.063,1331,458
12.0 oz.,0.048,1332,231
12.0 ounce,0.05%,1333,208
12.0 oz.,0.057%,1334,177
16.0 oz.,0.08%,1335,532
16.0 oz.,0.075,1336,189
16.0 ounce,0.06,1337,102
16.0 oz.,0.08,1338,188
16.0 oz,0.063,1339,271
16.0 OZ.,0.058,1340,354
24.0 ounce,0.083,1341,533
24.0 oz,0.08,1342,534
24.0 ounce,0.075%,1343,535
24.0 oz,0.075%,1344,536
24.0 oz.,0.065,1345,537
24.0 oz. Alumi-Tek,0.043,1346,538
24.0 oz,0.075,1347,539
24.0 ounce,0.053,1348,540
12.0 ounce,0.05,1349,146
12.0 oz. Alumi-Tek,0.068,1350,494
16.0 oz.,0.048,1351,235
16.0 oz.,0.048,1352,235
16.0 OZ.,,1353,377
16.0 ounce,0.087,1354,541
16.0 oz.,0.051,1355,264
16.0 oz.,0.075%,1356,542
16.0 oz,0.065%,1357,252
16.0 ounce,0.092,1358,543
16.0 oz.,0.048%,1359,358
16.0 oz,0.051,1360,332
24.0 oz.,0.099,1361,544
16.0 ounce,0.054000000000000006%,1362,545
12.0 oz.,0.04,1363,223
12.0 ounce,0.05%,1364,208
16.0 oz.,0.062,1365,265
12.0 oz.,0.062,1366,113
16.0 oz.,0.055,1367,66
12.0 oz. Alumi-Tek,0.055%,1368,522
12.0 oz.,0.055,1369,8
24.0 oz.,0.05,1370,546
12.0 oz.,0.042,1371,88
12.0 OZ.,0.055,1372,431
12.0 OZ.,0.05,1373,107
32.0 oz. Alumi-Tek,0.05,1374,547
32.0 OZ.,0.068,1375,548
32.0 oz.,0.048,1376,549
32.0 oz.,0.092,1377,550
16.0 OZ.,0.04,1378,551
16.0 oz.,0.04,1379,227
16.0 ounce,0.04,1380,455
16.0 oz.,0.04,1381,227
24.0 ounce,0.055%,1382,552
24.0 oz. Alumi-Tek,0.056,1383,553
12.0 oz.,0.042,1384,88
16.0 oz.,0.075,1385,189
16.0 oz.,0.068,1386,554
16.0 ounce,0.052,1387,307
16.0 ounce,0.067,1388,410
16.0 oz.,0.055%,1389,130
16.0 ounce,0.047,1390,555
16.0 oz.,0.058,1391,173
16.0 ounce,0.065,1392,42
12.0 oz,0.05,1393,0
16.0 OZ.,0.054000000000000006%,1394,556
16.0 ounce,0.087,1395,541
16.0 oz,0.058,1396,479
12.0 oz.,0.055999999999999994%,1397,239
12.0 ounce,0.06,1398,15
12.0 ounce,0.056,1399,92
12.0 oz.,0.049,1400,25
12.0 oz,0.047,1401,164
12.0 oz.,0.046%,1402,316
12.0 oz,0.05%,1403,131
12.0 oz,0.052,1404,114
12.0 oz,0.05,1405,0
12.0 oz.,0.05%,1406,246
12.0 oz,0.052,1407,114
12.0 ounce,0.07,1408,33
16.0 oz.,0.082,1409,278
12.0 ounce,0.085,1410,412
12.0 oz.,0.072,1411,10
12.0 ounce,0.042,1412,417
12.0 oz.,0.085,1413,13
12.0 OZ.,0.055,1414,431
12.0 ounce,0.05,1415,146
12.0 ounce,0.04,1416,320
12.0 oz.,0.04,1417,223
12.0 oz,0.053,1418,120
12.0 OZ.,0.053,1419,78
16.0 oz,0.037,1420,557
16.0 oz.,0.052000000000000005%,1421,558
16.0 oz.,0.053,1422,266
16.0 ounce,0.086%,1423,559
12.0 oz.,0.042,1424,88
16.0 ounce,0.05,1425,43
16.0 oz.,0.042%,1426,560
16.0 oz,0.07,1427,132
16.0 oz.,0.065,1428,250
16.0 oz. Alumi-Tek,0.055,1429,561
16.0 oz.,0.053%,1430,402
16.0 oz,0.07400000000000001%,1431,562
16.0 oz,0.085,1432,563
16.0 ounce,0.085,1433,564
16.0 oz.,0.07400000000000001%,1434,565
16.0 oz.,0.053,1435,266
12.0 oz,0.061,1436,310
12.0 ounce,0.065,1437,7
12.0 ounce,0.048,1438,170
12.0 oz,0.048,1439,484
12.0 oz. Alumi-Tek,0.057,1440,95
12.0 ounce,0.066%,1441,566
12.0 oz.,0.048,1442,231
12.0 oz.,0.045,1443,57
12.0 ounce,0.065,1444,7
12.0 oz,0.05%,1445,131
12.0 oz.,0.055999999999999994%,1446,239
12.0 oz.,0.048,1447,231
12.0 oz.,0.055%,1448,39
16.0 ounce,0.052,1449,307
12.0 oz.,0.048%,1450,89
12.0 oz.,0.052000000000000005%,1451,373
12.0 oz.,0.05,1452,34
12.0 oz.,0.052,1453,326
16.0 oz,0.05,1454,63
16.0 oz.,0.065%,1455,367
16.0 oz.,0.052,1456,73
12.0 oz.,0.065,1457,41
12.0 ounce,0.048,1458,170
12.0 ounce,0.052000000000000005%,1459,318
12.0 oz.,0.034,1460,567
12.0 oz.,0.062%,1461,349
12.0 ounce,0.05,1462,146
12.0 OZ.,0.05,1463,107
12.0 oz.,0.09,1464,568
12.0 ounce,0.088,1465,569
16.0 oz.,0.09%,1466,400
16.0 oz.,0.088,1467,570
12.0 oz,0.05,1468,0
12.0 ounce,0.05%,1469,208
12.0 OZ.,0.062,1470,191
12.0 oz.,0.05%,1471,246
16.0 oz.,0.068,1472,554
16.0 oz.,0.088,1473,570
16.0 oz.,0.065%,1474,367
12.0 OZ.,0.039,1475,571
12.0 oz,0.049%,1476,572
12.0 oz. Alumi-Tek,0.056,1477,573
12.0 oz.,0.056,1478,101
12.0 oz. Alumi-Tek,0.052000000000000005%,1479,291
12.0 oz,0.054000000000000006%,1480,463
12.0 ounce,0.046,1481,353
12.0 oz,0.042%,1482,574
12.0 oz,0.072,1483,467
12.0 oz.,0.054,1484,162
12.0 oz.,0.055,1485,8
16.0 oz,0.055%,1486,406
16.0 oz.,0.051%,1487,329
16.0 oz.,0.072,1488,333
12.0 ounce,0.06,1489,15
12.0 oz.,0.061,1490,288
12.0 oz,0.055,1491,54
12.0 oz,0.045,1492,158
16.0 ounce,0.045%,1493,575
16.0 oz,0.049%,1494,363
16.0 oz.,0.048%,1495,358
16.0 oz.,0.06,1496,70
16.0 oz,0.06,1497,248
16.0 oz.,0.056,1498,356
16.0 oz.,0.069%,1499,576
16.0 oz.,0.063,1500,261
16.0 oz.,0.063%,1501,577
12.0 ounce,0.045,1502,237
12.0 oz.,0.045,1503,57
12.0 ounce,0.043,1504,578
12.0 oz.,0.04,1505,223
12.0 ounce,0.055,1506,55
12.0 oz,0.061,1507,310
12.0 oz.,0.051,1508,190
12.0 ounce,0.067,1509,452
12.0 oz,0.054,1510,245
12.0 oz,0.058,1511,241
12.0 ounce,0.067%,1512,487
16.0 oz,0.082,1513,579
12.0 oz.,0.049,1514,25
12.0 OZ.,0.048,1515,486
12.0 oz,0.048%,1516,205
16.0 ounce,0.047,1517,555
16.0 ounce,0.051%,1518,580
16.0 oz,0.05,1519,63
16.0 ounce,0.045,1520,387
12.0 oz.,0.092%,1521,581
12.0 oz.,0.087,1522,582
12.0 oz,0.054,1523,245
12.0 oz.,0.047,1524,138
12.0 oz,0.051%,1525,583
12.0 ounce,0.051,1526,383
12.0 oz,0.047,1527,164
16.0 oz,0.095%,1528,584
16.0 oz.,0.065,1529,250
16.0 oz,0.06%,1530,585
16.0 ounce,0.05%,1531,276
16.0 oz,0.057,1532,439
16.0 oz.,0.05%,1533,106
16.0 oz.,0.06,1534,70
16.0 oz.,0.065,1535,250
16.0 oz.,0.068,1536,554
16.0 oz,0.055,1537,96
16.0 ounce,0.046%,1538,47
16.0 oz.,0.045,1539,409
16.0 OZ.,0.065,1540,81
16.0 oz,0.075%,1541,359
16.0 ounce,0.055,1542,199
16.0 oz,0.048%,1543,586
16.0 oz.,0.053%,1544,402
16.0 oz.,0.055%,1545,130
16.0 oz,0.067%,1546,587
16.0 oz.,0.042,1547,62
16.0 oz,0.040999999999999995%,1548,588
12.0 oz.,0.065,1549,41
12.0 ounce,0.053,1550,531
12.0 oz,0.049%,1551,572
19.2 oz. Alumi-Tek,0.052,1552,589
16.0 oz,0.08,1553,365
32.0 oz.,,1554,590
12.0 ounce,,1555,212
16.0 ounce,,1556,381
12.0 oz. Alumi-Tek,0.05,1557,224
12.0 ounce,,1558,212
12.0 OZ.,0.065,1559,187
12.0 oz,0.065,1560,40
19.2 OZ.,0.053%,1561,591
19.2 oz.,0.085,1562,592
16.0 ounce,0.085,1563,564
19.2 OZ.,0.065,1564,593
16.0 oz,0.07%,1565,163
12.0 ounce,0.065,1566,7
12.0 oz,0.065,1567,40
12.0 oz,0.087%,1568,594
12.0 oz.,0.065,1569,41
12.0 ounce,0.065,1570,7
16.0 oz.,0.087,1571,595
16.0 oz,0.09%,1572,277
16.0 oz.,0.08%,1573,532
12.0 ounce,0.08,1574,419
16.0 ounce,0.08%,1575,338
12.0 ounce,0.09,1576,596
12.0 oz.,0.087,1577,582
12.0 ounce,0.099,1578,300
12.0 OZ.,0.053%,1579,597
12.0 ounce,0.099,1580,300
12.0 oz.,0.08,1581,210
12.0 oz,0.087,1582,444
12.0 oz.,0.065,1583,41
12.0 oz.,0.092,1584,143
12.0 oz.,0.095,1585,598
12.0 oz.,0.099,1586,509
12.0 oz.,0.08%,1587,136
12.0 oz.,0.08,1588,210
12.0 oz,0.08,1589,346
12.0 ounce,0.065,1590,7
12.0 oz.,0.065%,1591,313
12.0 oz,0.065,1592,40
12.0 oz.,0.065%,1593,313
12.0 oz,0.065,1594,40
12.0 oz,0.052000000000000005%,1595,374
12.0 ounce,0.087,1596,599
12.0 OZ.,0.087%,1597,600
12.0 oz,0.099%,1598,601
16.0 oz,0.08%,1599,292
12.0 oz,0.08,1600,346
19.2 oz.,0.065,1601,602
12.0 oz.,0.065,1602,41
12.0 oz,0.055%,1603,38
12.0 oz,0.055,1604,54
12.0 oz.,0.04,1605,223
12.0 oz. Alumi-Tek,0.048,1606,207
12.0 oz,0.053,1607,120
16.0 ounce,0.052,1608,307
16.0 ounce,0.053%,1609,296
16.0 oz.,0.045,1610,409
16.0 ounce,0.044,1611,603
16.0 oz.,0.05,1612,105
12.0 oz.,0.042,1613,88
12.0 oz,0.062%,1614,604
12.0 oz,0.044,1615,22
12.0 oz.,0.048,1616,231
12.0 oz.,0.055%,1617,39
12.0 ounce,0.05%,1618,208
12.0 OZ.,0.046%,1619,605
12.0 oz.,0.05,1620,34
12.0 ounce,0.04,1621,320
12.0 oz.,0.05,1622,34
12.0 oz.,0.065,1623,41
12.0 ounce,0.062,1624,127
12.0 ounce,0.042,1625,417
12.0 oz,0.045,1626,158
12.0 oz,0.055,1627,54
12.0 oz.,0.048,1628,231
12.0 oz.,0.058,1629,606
12.0 ounce,0.065%,1630,86
12.0 oz.,0.05,1631,34
12.0 oz.,0.05,1632,34
12.0 OZ.,0.051,1633,521
12.0 ounce,0.047%,1634,242
