HospitalOwner,MeasureName,original_index,unique_index
proprietary,pneumonia patients assessed and given influenza vaccination,329,122
proprietary,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,330,123
proprietary,heart failure patients given an evaluation of left ventricular systolic (lvs) function,331,114
proxrietary,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),332,175
proprietary,heart failure patients given smoking cessation advice/counseling,333,116
proprietary,pneumonia patients assessed and given pneumococcal vaccination,334,117
proprietary,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,335,118
proprietary,pneumonia patients given smoking cessation advice/counseling,336,173
proprietary,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,337,120
proprietary,pneumonia patients given the most appropriate initial antibiotic(s),338,174
proprietary,pneumonia patients assessed and given influenza vaccination,339,122
proprietary,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,340,123
proprietary,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,341,176
proprietary,surgery patients who were given the  right kind  of antibiotic to help prevent infection,342,125
proprietary,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),343,177
proprietary,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,344,127
proprietary,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),345,128
proprietary,surgery pxtients whose doctors ordered trextments to prevent blood clots xfter certxin types of surgeries,346,178
proprietary,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,347,130
voluntary non-profit - other,heart attack patients given aspirin at arrival,348,37
voluntary non-profit - other,heart attack patients given aspirin at discharge,349,38
voluntary non-profit - other,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),350,39
voluntary non-profit - other,heart attack patients given smoking cessation advice/counseling,351,40
voluntary non-profit - other,heart attack patients given beta blocker at discharge,352,41
government - hospital district or authority,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,353,34
proprietary,heart attack patients given aspirin at arrival,354,106
proprietary,heart attack patients given aspirin at discharge,355,172
prxprietary,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),356,179
proprietary,heart attack patients given smoking cessation advice/counseling,357,109
proprietary,heart attack patients given beta blocker at discharge,358,110
proprietary,heart attack patients given fibrinolytic medication within 30 minutes of arrival,359,111
proprietary,heart attack patients given pci within 90 minutes of arrival,360,112
proprietary,heart failure patients given discharge instructions,361,113
proprietary,heart failure patients given an evaluation of left ventricular systolic (lvs) function,362,114
proprietary,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),363,115
proprietary,heart failure patients given smoking cessation advice/counseling,364,116
proprietary,pneumonia patients assessed and given pneumococcal vaccination,365,117
proprietary,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,366,118
proprietary,pneumonia patients given smoking cessation advice/counseling,367,173
proprietary,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,368,120
proprietary,pneumonia patients given the most appropriate initial antibiotic(s),369,174
proprietary,pneumonia patients assessed and given influenza vaccination,370,122
proprietary,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,371,123
proprietary,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,372,176
proprietary,surgery patients who were given the  right kind  of antibiotic to help prevent infection,373,125
proprietary,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),374,177
proprietary,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,375,127
proprietary,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),376,128
proprietary,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,377,129
proprietary,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,378,130
government - state,heart attack patients given aspirin at arrival,379,180
government - state,heaxt attack patients given aspixin at dischaxge,380,181
government - state,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),381,182
government - state,heart attack patients given smoking cessation advice/counseling,382,183
government - state,heart attack patients given beta blocker at discharge,383,184
government - state,heart attack patients given fibrinolytic medication within 30 minutes of arrival,384,185
government - state,heart attack patients given pci within 90 minutes of arrival,385,186
government - state,heart failure patients given discharge instructions,386,187
government - state,heart failure patients given an evaluation of left ventricular systolic (lvs) function,387,188
government - state,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),388,189
government - state,heart xailure patients given smoking cessation advice/counseling,389,190
government - state,pneumonia patients assessed and given pneumococcal vaccination,390,191
government - state,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,391,192
voluntary non-profit - private,heart attack patients given aspirin at discharge,392,63
voluntary non-profit - private,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),393,64
voluntary non-profit - private,heart attack patients given smoking cessation advice/counseling,394,65
voluntary non-profit - private,heart attack patients given beta blocker at discharge,395,66
voluntary non-profit - private,heart attack patients given fibrinolytic medication within 30 minutes of arrival,396,67
voluntary non-profit - private,heart attack patients given pci within 90 minutes of arrival,397,68
voluntary non-profit - private,heart failure patients given discharge instructions,398,69
voluntary non-profit - private,heart failure patients given an evaluation of left ventricular systolic (lvs) function,399,70
voluntary non-profit - private,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),400,71
voluntary non-profit - private,heart failure patients given smoking cessation advice/counseling,401,72
voluntary non-profit - private,pneumonia patients assessed and given pneumococcal vaccination,402,73
voluntary non-profit - private,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,403,74
voluntary non-profit - private,pneumonia patients given smoking cessation advice/counseling,404,75
voluntary non-profit - private,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,405,76
voluntary non-profit - private,pneumonia patients given the most appropriate initial antibiotic(s),406,77
voluntary non-profit - private,pneumonia patients assessed and given influenza vaccination,407,78
voluntary non-profit - private,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,408,133
voluntary non-profit - private,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,409,1
voluntary non-profit - private,surgery patients who were given the  right kind  of antibiotic to help prevent infection,410,2
voluntary non-profit - private,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),411,3
proprietary,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,412,129
proprietary,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,413,130
voluntary non-profit - other,heart attack patients given aspirin at arrival,414,37
voluntary non-profit - other,heart attack patients given aspirin at discharge,415,38
voluntary non-profit - other,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),416,39
voluntary non-profit - other,heart attack patients given smoking cessation advice/counseling,417,40
voluntary non-profit - other,heart attack patients given beta blocker at discharge,418,41
voluntary non-profit - other,heart attack patients given fibrinolytic medication within 30 minutes of arrival,419,42
voluntary non-profit - other,heart attack patients given pci within 90 minutes of arrival,420,43
voluntary non-profit - other,heart failure patients given discharge instructions,421,44
voluntary non-profit - other,heart failure patients given an evaluation of left ventricular systolic (lvs) function,422,45
voluntary non-profit - other,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),423,46
voluntary non-profit - other,heart failure patients given smoking cessation advice/counseling,424,47
voluntary non-profit - other,pneumonia patients assessed and given pneumococcal vaccination,425,48
voluntary non-profit - other,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,426,49
voluntary non-profit - other,pneumonia patients given smoking cessation advice/counseling,427,50
voluntary non-profit - other,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,428,51
voluntary non-profit - other,pneumonia patients given the most appropriate initial antibiotic(s),429,52
voluntary non-profit - other,pneumonia patients assessed and given influenza vaccination,430,53
voluntary non-profit - other,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,431,54
proprietary,heart failure patients given discharge instructions,432,113
proprietary,heart failure patients given an evaluation of left ventricular systolic (lvs) function,433,114
proprietary,heart faxlure patxents gxven ace inhxbxtor or arb for left ventrxcular systolxc dysfunctxon (lvsd),434,193
proprietary,heart failure patients given smoking cessation advice/counseling,435,116
proprietary,pneumonia patients assessed and given pneumococcal vaccination,436,117
proprietary,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,437,118
proprietary,pneumonia patients given smoking cessation advice/counseling,438,173
proprietary,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,439,120
proprietary,pneumonia patients given the most appropriate initial antibiotic(s),440,174
proprietary,pneumonia patients assessed and given influenza vaccination,441,122
proprietary,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,442,123
proprietary,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,443,176
proprietary,surgery patients who were given the  right kind  of antibiotic to help prevent infection,444,125
proprietary,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),445,177
proprietary,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,446,127
proprietary,surgeryxpatientsxneedingxhairxremovedxfromxthexsurgicalxareaxbeforexsurgery& xwhoxhadxhairxremovedxusingxaxsaferxmethodx(electricxclippersxorxhairxremovalxcreamxï¿½cxnotxaxrazor),447,194
proprietary,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,448,129
proxrietary,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,449,195
government - federal,heart attack patients given aspirin at arrival,450,161
government - federal,heart attack patients given aspirin at discharge,451,82
government - hospital district or authority,pneumonia patients assessed and given pneumococcal vaccination,452,21
government - hospital district or authority,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,453,35
government - hospital district or authority,pneumonia patients given smoking cessation advice/counseling,454,23
government - hospital district or authority,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,455,24
gxvernment - hxspital district xr authxrity,pneumonia patients given the most appropriate initial antibiotic(s),456,196
government - hospital district or authority,pneumonia patients assessed and given influenza vaccination,457,26
government - hospital district or authority,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,458,27
government - hospital district or authority,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,459,28
government - hospital district or authority,surgery patients who were given the  right kind  of antibiotic to help prevent infection,460,29
government - hospital district or authority,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),461,30
government - hospital district or authority,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,462,31
government - hospital district or authority,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),463,32
government - hospital district or authority,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,464,36
government - hospital district or authority,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,465,34
government - hospital district or authority,heart attack patients given aspirin at arrival,466,8
government - hospital district or authority,heart attack patients given aspirin at discharge,467,9
government - hospital district or authority,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),468,10
government - hospital district or authority,heart attack patients given smoking cessation advice/counseling,469,11
government - hospital district or authority,heart attack patients given beta blocker at discharge,470,12
government - hospital district or authority,heart attack patients given fibrinolytic medication within 30 minutes of arrival,471,13
government - hospital district or authority,heart attack patients given pci within 90 minutes of arrival,472,14
government - hospital district or authority,heaxt failuxe patients given dischaxge instxuctions,473,197
government - hospital district or authority,heart failure patients given an evaluation of left ventricular systolic (lvs) function,474,16
government - hospital district or authority,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),475,17
government - hospital district or authority,heart failure patients given smoking cessation advice/counseling,476,18
government - hospital district or authority,pneumonia patients assessed and given pneumococcal vaccination,477,21
government - hospital district or authority,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,478,35
government - hospital district or authority,pneumonia patients given smoking cessation advice/counseling,479,23
government - hospital district or authority,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,480,24
government - hospital district or authority,pneumonia patients given the most appropriate initial antibiotic(s),481,25
government - hospital district or authority,pneumonia patients assessed and given influenza vaccination,482,26
government - hospital district or authority,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,483,27
government - hospital district or authority,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,484,28
government - hospital district or authority,surgery patients who were given the  right kind  of antibiotic to help prevent infection,485,29
government - hospital district or authority,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),486,30
government - hospital district or authority,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,487,31
government - hospital district or authority,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),488,32
government - hospital district or authority,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,489,36
government - hospital district or authority,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,490,34
voluntary non-profit - private,heart attack patients given aspirin at arrival,491,131
voluntary non-profit - private,heart attack patients given aspirin at discharge,492,63
voluntaryxnon-profitx-xprivate,hxart attack patixnts givxn ace inhibitor or arb for lxft vxntricular systolic dysfunction (lvsd),493,198
voluntary non-profit - private,heart attack patients given smoking cessation advice/counseling,494,65
voluntary non-profit - private,heart attack patients given beta blocker at discharge,495,66
voluntary non-profit - private,heart attack patients given fibrinolytic medication within 30 minutes of arrival,496,67
voluntary non-profit - private,heart attack patients given pci within 90 minutes of arrival,497,68
voluntary non-profit - private,heart failure patients given discharge instructions,498,69
voluntary non-profit - private,heart failure patients given an evaluation of left ventricular systolic (lvs) function,499,70
voluntary non-profit - private,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),500,71
voluntary non-profit - private,heart failure patients given smoking cessation advice/counseling,501,72
voluntary non-profit - private,pneumonia patients assessed and given pneumococcal vaccination,502,73
voluntary non-profit - private,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,503,74
voluntary non-profit - private,pneumonia patients given smoking cessation advice/counseling,504,75
voluntary non-profit - private,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,505,76
voluntary non-profit - private,pneumonia patients given the most appropriate initial antibiotic(s),506,77
voluntary non-profit - private,pneumonix pxtients assessed xnd given influenzx vxccinxtion,507,199
voluntary non-profit - private,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,508,133
voluntary non-profit - private,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,509,1
voluntary non-profit - private,surgery patients who were given the  right kind  of antibiotic to help prevent infection,510,2
voluntary non-profit - private,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),511,3
voluntary non-profit - private,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,512,4
voluntary non-profit - private,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),513,5
voluntary non-profit - private,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,514,6
voluntary non-profit - private,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,515,7
voluntary non-profit - church,heart attack patients given aspirin at arrival,516,164
voluntary non-profit - church,heart attack patients given aspirin at discharge,517,137
voluntary non-profit - church,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),518,165
voluntary non-profit - church,heart attack patients given smoking cessation advice/counseling,519,139
voluntary non-profit - church,heart attack patients given beta blocker at discharge,520,140
voluntary non-profit - church,heart attack patients given fibrinolytic medication within 30 minutes of arrival,521,141
voluntary non-profit - church,heart attack patients given pci within 90 minutes of arrival,522,142
voluntary non-profit - church,heart failure patients given discharge instructions,523,143
voluntary non-profit - church,heart failure patients given an evaluation of left ventricular systolic (lvs) function,524,144
voluntary non-profit - church,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),525,145
volxntary non-profit - chxrch,heart failure patients given smoking cessation advice/counseling,526,200
voluntary non-profit - church,pneumonia patients assessed and given pneumococcal vaccination,527,147
voluntary non-profit - church,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,528,148
voluntary non-profit - church,pneumonia patients given smoking cessation advice/counseling,529,149
voluntary non-profit - church,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,530,150
voluntary non-profit - church,pneumonia patients given the most appropriate initial antibiotic(s),531,151
voluntary non-profit - church,pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox,532,201
voluntary non-profit - church,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,533,153
voluntary non-profit - church,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,534,154
voluntary non-profit - church,surgery patients who were given the  right kind  of antibiotic to help prevent infection,535,167
voluntary non-profit - church,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),536,156
voluntary non-profit - church,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,537,157
voluntary non-profit - church,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),538,158
voluntary non-profit - church,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,539,159
voluntary non-profit - church,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,540,160
voluntary non-profit - private,hexrt attxck pxtients given aspirin xt arrivxl,541,202
voluntary non-profit - private,heart attack patients given aspirin at discharge,542,63
voluntary non-profit - private,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),543,64
voluntary non-profit - private,heart attack patients given smoking cessation advice/counseling,544,65
voluntary non-profit - private,heaxt attack patients given beta blockex at dischaxge,545,203
voluntary non-profit - private,heart attack patients given fibrinolytic medication within 30 minutes of arrival,546,67
voluntary non-profit - private,heart attack patients given pci within 90 minutes of arrival,547,68
voluntary non-profit - private,heart failure patients given discharge instructions,548,69
voluntary non-profit - private,heart failure patients given an evaluation of left ventricular systolic (lvs) function,549,70
voluntary non-profit - private,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),550,71
voluntary non-profit - private,heart failure patients given smoking cessation advice/counseling,551,72
voluntary non-profit - private,pneumonia patients assessed and given pneumococcal vaccination,552,73
voluntary non-profit - private,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,553,74
voluntary non-profit - private,pneumonia patients given smoking cessation advice/counseling,554,75
voluntary non-profit - private,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,555,76
voluntary non-profit - private,pneumonia patients given the most appropriate initial antibiotic(s),556,77
voluntary non-profit - private,pneumonia patients assessed and given influenza vaccination,557,78
voluntary non-profit - private,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,558,133
voluntary non-profit - private,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,559,1
voluntary non-profit - private,surgery patients who were given the  right kind  of antibiotic to help prevent infection,560,2
voluntary non-profit - private,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),561,3
voluntary non-profit - private,allxheartxsurgeryxpatientsxwhosexbloodxsugarx(bloodxglucose)xisxkeptxunderxgoodxcontrolxinxthexdaysxrightxafterxsurgery,562,204
voluntary non-profit - private,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),563,5
voluntary non-profit - private,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,564,6
voluntary non-profit - private,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,565,7
voluntary non-profit - other,heart attack patients given aspirin at arrival,566,37
voluntary non-profit - other,heart attack patients given aspirin at discharge,567,38
voluntary non-profit - other,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),568,39
voluntary non-profit - other,heart attack patients given smoking cessation advice/counseling,569,40
voluntary non-profit - other,heart attack patients given beta blocker at discharge,570,41
voluntary non-profit - other,heart attack patients given fibrinolytic medication within 30 minutes of arrival,571,42
voluntary non-profit - otxer,heart attack patients given pci within 90 minutes of arrival,572,205
voluntary non-profit - other,heart failure patients given discharge instructions,573,44
voluntary non-profit - other,heart failure patients given an evaluation of left ventricular systolic (lvs) function,574,45
voluntary non-profit - other,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),575,46
voluntary non-profit - other,heart failure patients given smoking cessation advice/counseling,576,47
voluntary non-profit - other,pneumonia patients assessed and given pneumococcal vaccination,577,48
voluntary non-profit - other,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,578,49
voluntary non-profit - other,pneumonia patients given smoking cessation advice/counseling,579,50
voluntary non-profit - other,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,580,51
voluntary non-profit - other,pneumonia patients given the most appropriate initial antibiotic(s),581,52
voluntary non-profit - other,pneumonia patients assessed and given influenza vaccination,582,53
voluntary non-profit - other,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,583,54
voluntary non-profit - other,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,584,55
voluntary non-profit - other,surgery patients who were given the  right kind  of antibiotic to help prevent infection,585,56
voluntary non-profit - other,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),586,57
voluntary non-profit - other,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,587,58
voluntary non-profit - other,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),588,59
voluntary non-profit - other,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,589,60
voluntary non-profit - other,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,590,61
voluntary non-profit - other,heart attack patients given aspirin at arrival,591,37
voluntary non-profit - other,heart attack patients given aspirin at discharge,592,38
voluntary non-profit - other,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),593,39
voluntary non-profit - other,heart attack patients given smoking cessation advice/counseling,594,40
voluntary non-profit - other,heart attack patients given beta blocker at discharge,595,41
voluntary non-profit - other,heart attack patients given fibrinolytic medication within 30 minutes of arrival,596,42
voluntary non-profit - other,heart attack patients given pci within 90 minutes of arrival,597,43
voluntary non-profit - other,heart failure patients given discharge instructions,598,44
voluntary non-profit - other,heart failure patients given an evaluation of left ventricular systolic (lvs) function,599,45
voluntary non-profit - other,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),600,46
voluntary non-profit - other,heart failure patients given smoking cessation advice/counseling,601,47
voluntary non-profit - other,pneumonia patients assessed and given pneumococcal vaccination,602,48
voluntary non-profit - other,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,603,49
voluntary non-profit - other,pneumonia patients given smoking cessation advice/counseling,604,50
voluntary non-profit - other,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,605,51
voluntary non-profit - other,pneumonia patients given the most appropriate initial antibiotic(s),606,52
voluntary non-profit - other,pneumonia patients assessed and given influenza vaccination,607,53
voluntary non-profit - other,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,608,54
voluntary non-profit - other,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,609,55
voluntary non-profit - other,surgery patients who were given the  right kind  of antibiotic to help prevent infection,610,56
voluntary non-profit - other,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),611,57
voluntary non-profit - other,all heaxt suxgexy patients whose blood sugax (blood glucose) is kept undex good contxol in the days xight aftex suxgexy,612,206
voluntary non-profit - other,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),613,59
voluntary non-profit - other,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,614,60
voluntary non-profit - other,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,615,61
government - hospital district or authority,heart attack patients given aspirin at arrival,616,8
government - hospital district or authority,heart attack patients given aspirin at discharge,617,9
government - hospital district or authority,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),618,10
government - hospital district or authority,heart attack patients given smoking cessation advice/counseling,619,11
government - hospital district or authority,heart attack patients given beta blocker at discharge,620,12
government - hospital district or authority,heart attack patients given fibrinolytic medication within 30 minutes of arrival,621,13
government - hospital district or authority,heart attack patients given pci within 90 minutes of arrival,622,14
government - hospital district or authority,heart failure patients given discharge instructions,623,15
government - hospital district or authority,heart failure patients given an evaluation of left ventricular systolic (lvs) function,624,16
government - hospital district or authority,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),625,17
government - hospital district or authority,heart failure patients given smoking cessation advice/counseling,626,18
government - hospital district or authority,pneumonia patients assessed and given pneumococcal vaccination,627,21
government - hospital district or authority,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,628,35
government - hospital district or authority,pneumonia patients given smoking cessation advice/counseling,629,23
government - hospital district or authority,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,630,24
government - hospital district or authority,pneumonia patients given the most appropriate initial antibiotic(s),631,25
government - hospital district or authority,pneumonia patients assessed and given influenza vaccination,632,26
government - hospital district or authority,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,633,27
government - hospital district or authority,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,634,28
government - hospital district or authority,surgery patients who were given the  right kind  of antibiotic to help prevent infection,635,29
government - hospital district or authority,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),636,30
government - hospital district or authority,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,637,31
government - hospital district or authority,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),638,32
government - hospital district or authority,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,639,36
government - hospital district or authority,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,640,34
government - local,heart attack patients given aspirin at arrival,641,207
government - local,heart attack patients given aspirin at discharge,642,208
government - local,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),643,209
government - local,heart attack patients given smoking cessation advice/counseling,644,210
government - local,heart attack patients given beta blocker at discharge,645,211
government - local,heart attack patients given fibrinolytic medication within 30 minutes of arrival,646,212
government - local,heart attack patients given pci within 90 minutes of arrival,647,213
government - local,heart failure patients given discharge instructions,648,214
government - local,heart failure patients given an evaluation of left ventricular systolic (lvs) function,649,215
government - local,heart failure patients given ace inhibitor or arb for left xentricular systolic dysfunction (lxsd),650,216
government - local,heart faxlure patxents gxven smokxng cessatxon advxce/counselxng,651,217
government - local,pneumonia patients assessed and given pneumococcal vaccination,652,218
government - local,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,653,219
government - local,pneumonia patients given smoking cessation advice/counseling,654,220
government - local,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,655,221
