beer_name,ibu,original_index,unique_index,count
Vertex IPA,76.0,715,696,1.0
Here Gose Nothin',12.0,716,697,1.0
Strawberry Blonde,,717,698,
Hoperation Overload,85.0,718,699,1.0
Abbey's Single Ale (Current),22.0,719,700,1.0
Bravo Four Point,45.0,720,701,1.0
Striped Bass Pale Ale,26.0,721,702,1.0
Deadicated Amber,27.0,722,703,1.0
Kaleidoscope Collaboration 2012,,723,704,
California Sunshine Rye IPA,85.0,724,705,1.0
Full Boar Scotch Ale,12.0,725,706,1.0
12 Man Pale Ale,,726,707,
Filthy Hoppin' IPA,72.0,727,708,1.0
Dock Street Amber Beer (1992),,728,709,
Dolores River Hefeweizen,,729,710,
Dolores River ESB,,730,711,
Snaggletooth Double Pale Ale,,731,712,
Dolores River Pale Ale,,732,713,
Dolores River Dry Stout,,733,714,
Dolores River Mild,,734,715,
Cranberry Blend,,735,716,
Orignal Blend,,736,717,
Hop Abomination,100.0,737,718,1.0
Apricot Blonde,17.0,738,719,1.0
Dry Dock Hefeweizen,12.0,739,720,1.0
Dry Dock Amber Ale,49.0,740,721,1.0
Category 3 IPA,64.0,741,722,1.0
Dundee Summer Wheat Beer,18.0,742,723,1.0
Pumpkin Patch Ale,,743,724,
Crank Yanker IPA,74.0,744,725,1.0
River Runners Pale Ale,,745,726,
Pumpkin Patch Ale (2012),,746,727,
Mountain Fairy Raspberry Wheat,,747,728,
Boater Beer,,748,729,
Crank Yanker IPA (2011),74.0,749,730,1.0
Bleeding Buckeye Red Ale,,750,731,
Dottie Seattle Lager,25.0,751,732,1.0
Nut Sack Imperial Brown Ale,,752,733,
Underachiever,,753,734,
Lil' Brainless Raspberries,,754,735,
Element 29,,755,736,
Hop Syndrome,,756,737,
Escape to Colorado,,757,738,
Little Sister India Style Session Ale,60.0,758,739,1.0
Country Boy IPA,80.0,759,740,1.0
Blonde Czich,23.0,760,741,1.0
White Reaper,61.0,761,742,1.0
Bobblehead,,762,743,
Lucky Dog,,763,744,
Voodoo,,764,745,
General George Patton Pilsner,48.0,765,746,1.0
Nomader Weiss,,766,747,
Molotov Lite,,767,748,
Hipster Ale (Two Roads Brewing),,768,749,
Bikini Beer,,769,750,
Hipster Ale (Westbrook Brewing),,770,751,
Iron Horse Pale Ale,32.0,771,752,1.0
Stone's Throw IPA,19.0,772,753,1.0
Wood Chipper India Pale Ale,70.0,773,754,1.0
Trail Head,55.0,774,755,1.0
Hop Stalker Fresh Hop IPA,80.0,775,756,1.0
Sudice American Stout,58.0,776,757,1.0
Parcae Belgian Style Pale Ale,20.0,777,758,1.0
Norns Roggenbier,20.0,778,759,1.0
Laimas Kölsch Style Ale,20.0,779,760,1.0
Moirai India Pale Ale,70.0,780,761,1.0
Loki Red Ale,53.0,781,762,1.0
Peaches & Cream,,782,763,
Quaff India Style Session Ale,,783,764,
Loki Red Ale (2013),53.0,784,765,1.0
Mjolnir Imperial IPA,,785,766,
Fearless Scottish Ale,,786,767,
Mastermind,,787,768,
Hyzer Flip,,788,769,
Second Fiddle,80.0,789,770,1.0
Hodad Porter,30.0,790,771,1.0
Weiss Weiss Baby,,791,772,
Czech Yo Self,45.0,792,773,1.0
FMB 101,20.0,793,774,1.0
Hardcore Chimera,,794,775,
Sobek & Set,80.0,795,776,1.0
Nuclear Winter,,796,777,
Wet Hot American Wheat Ale,22.0,797,778,1.0
Secret Stache Stout,,798,779,
Fascist Pig Ale,72.0,799,780,1.0
Cut Throat Pale Ale,,800,781,
Threadless IPA,,801,782,
Cut Throat Pale Ale (2011),,802,783,
Golden Wing Blonde Ale,,803,784,
Easy Jack,47.0,804,785,1.0
Union Jack,75.0,805,786,1.0
Pivo Pils,,806,787,
805 Blonde Ale,,807,788,
805,20.0,808,789,1.0
Deflator,,809,790,
Hinchtown Hammer Down,27.0,810,791,1.0
Half Cycle IPA,104.0,811,792,1.0
Inclined Plane Ale,,812,793,
Moped Traveler,,813,794,
Snake Dog IPA,60.0,814,795,1.0
Underdog Atlantic Lager,28.0,815,796,1.0
Flying Mouse 8,,816,797,
Flying Mouse 4,70.0,817,798,1.0
La Ferme Urbaine Farmhouse Ale,,818,799,
Backyahd IPA,,819,800,
Raincloud Robust Porter,,820,801,
Barstool American Golden Ale,,821,802,
What the Butler Saw,18.0,822,803,1.0
1916 Shore Shiver,65.0,823,804,1.0
Quick WIT,,824,805,
The Optimist,,825,806,
Suicide Squeeze IPA,,826,807,
Java the Hop,,827,808,
Next Adventure Black IPA,,828,809,
3-Way IPA (2013),,829,810,
Tender Loving Empire NWPA,,830,811,
Quick Wit Belgianesque Ale,,831,812,
Sunrise Oatmeal Pale Ale,,832,813,
Cavatica Stout,,833,814,
1811 Lager,,834,815,
Vortex IPA,97.0,835,816,1.0
Fort Pitt Ale,,836,817,
Park,19.0,837,818,1.0
Westfalia,16.0,838,819,1.0
KSA,17.0,839,820,1.0
Villager,42.0,840,821,1.0
Dirty Bastard,50.0,841,822,1.0
Centennial IPA,65.0,842,823,1.0
All Day IPA,42.0,843,824,1.0
El Chingon IPA,73.0,844,825,1.0
Block Party Robust Porter,40.0,845,826,1.0
Local Buzz,20.0,846,827,1.0
Feel Like Maplin' Love,,847,828,
Father's Beer,,848,829,
The 26th,,849,830,
The Gadget,90.0,850,831,1.0
Leprechaun Lager,,851,832,
Sunbru Kölsch,17.0,852,833,1.0
Kilt Lifter Scottish-Style Ale,21.0,853,834,1.0
Pumpkin Porter,,854,835,
Four Peaks Peach Ale,9.0,855,836,1.0
Hop Knot IPA,47.0,856,837,1.0
Kilt Lifter Scottish-Style Ale (2009),21.0,857,838,1.0
Sunbru Kölsch,,858,839,
Four String Vanilla Porter,,859,840,
Suncaster Summer Wheat,28.0,860,841,1.0
Brass Knuckle Pale Ale,36.0,861,842,1.0
Big Star White IPA,70.0,862,843,1.0
Old Detroit,,863,844,
Batch 69 IPA,69.0,864,845,1.0
Twisted Helles Summer Lager,18.0,865,846,1.0
OktoberFiesta,27.0,866,847,1.0
Texicali,33.0,867,848,1.0
Pinata Protest,,868,849,
Bat Outta Helles,20.0,869,850,1.0
Original,,870,851,
Rye Wit,10.0,871,852,1.0
Soul Doubt,70.0,872,853,1.0
Yo Soy Un Berliner,5.0,873,854,1.0
77 Fremont Select Spring Session IPA,,874,855,
Fremont Organic Pale Ale,,875,856,
Abominable Ale,,876,857,
Harvest Ale,35.0,877,858,1.0
Fremont Summer Ale,45.0,878,859,1.0
Universale Pale Ale,30.0,879,860,1.0
Interurban IPA,80.0,880,861,1.0
Gateway Kolsch Style Ale,32.0,881,862,1.0
Wee-Heavy-Er Scotch Ale,24.0,882,863,1.0
13 Rebels ESB,42.0,883,864,1.0
Salamander Slam,73.0,884,865,1.0
Cack-A-Lacky,,885,866,
No Wake IPA,50.0,886,867,1.0
Boathouse Blonde,15.0,887,868,1.0
Cedar Point,26.0,888,869,1.0
Clean Shave IPA,70.0,889,870,1.0
Might As Well IPL,75.0,890,871,1.0
Saison Pamplemousse,35.0,891,872,1.0
2020 IPA,74.0,892,873,1.0
Wolf Among Weeds IPA,70.0,893,874,1.0
Better Weather IPA,92.0,894,875,1.0
Point the Way IPA,60.0,895,876,2.0
Golden Road Hefeweizen,15.0,896,877,1.0
Heal the Bay IPA,65.0,897,878,1.0
Point the Way IPA,60.0,898,876,2.0
Cabrillo Kölsch,,899,879,
Get Up Offa That Brown,20.0,900,880,1.0
Burning Bush Smoked IPA,70.0,901,881,1.0
Wolf Among Weeds IPA (2012),70.0,902,882,1.0
Point the Way IPA (2012),60.0,903,883,1.0
Golden Road Hefeweizen (2012),15.0,904,884,1.0
Vanilla Porter,11.0,905,885,1.0
Descender IPA,70.0,906,886,1.0
Sweet As Pacific Ale,18.0,907,887,1.0
Good People Pale Ale,36.0,908,888,1.0
Snake Handler Double IPA,103.0,909,889,1.0
Coffee Oatmeal Stout,54.0,910,890,1.0
Good People IPA,64.0,911,891,1.0
Good People American Brown Ale,36.0,912,892,1.0
Mountain Rescue Pale Ale,40.0,913,893,1.0
Goose Island India Pale Ale,55.0,914,894,1.0
312 Urban Pale Ale,30.0,915,895,2.0
312 Urban Pale Ale,30.0,916,895,2.0
312 Urban Wheat Ale,18.0,917,896,2.0
312 Urban Wheat Ale,18.0,918,896,2.0
312 Urban Wheat Ale (2012),20.0,919,897,1.0
Beaver Logger,19.0,920,898,1.0
White Water Wheat,,921,899,
Grand Canyon American Pilsner,,922,900,
Grand Canyon Sunset Amber Ale,,923,901,
Black Iron India Pale Ale,,924,902,
Monarch Classic American Wheat,21.0,925,903,1.0
Sir William's English Brown Ale,21.0,926,904,1.0
Lakefire Rye Pale Ale,35.0,927,905,1.0
Beer Agent Re-Ignition,22.0,928,906,1.0
Cherry Ale,18.0,929,907,1.0
Bourbon Barrel Aged Coconut Porter,33.0,930,908,1.0
Great Crescent IPA,60.0,931,909,1.0
Aurora Lager,27.0,932,910,1.0
Great Crescent Blonde Ale,22.0,933,911,1.0
Great Crescent Coconut Porter,33.0,934,912,1.0
Great Crescent Oktoberfest Lager,25.0,935,913,1.0
Great Crescent Brown Ale,36.0,936,914,1.0
Cherry Ale (1),18.0,937,915,1.0
Aurora Lager (2011),27.0,938,916,1.0
Frosted Fields Winter Wheat,25.0,939,917,1.0
Great Crescent Belgian Style Wit,13.0,940,918,1.0
Bourbon's Barrel Stout,65.0,941,919,1.0
Great Crescent Stout,66.0,942,920,1.0
Great Crescent Coconut Porter (2012),33.0,943,921,1.0
Great Crescent Dark Lager,23.0,944,922,1.0
Great Crescent Mild Ale,26.0,945,923,1.0
Great Crescent IPA (2011),60.0,946,924,1.0
Great Crescent Blonde Ale (2011),22.0,947,925,1.0
Denver Pale Ale (Artist Series No. 1),,948,926,
Hibernation Ale,,949,927,
Whitewater,,950,928,
Rumble,,951,929,
Orabelle,,952,930,
Lasso,,953,931,
Yeti  Imperial Stout,75.0,954,932,1.0
Colette,,955,933,
Titan IPA,,956,934,
Black Star Double Hopped Golden Lager (24 oz.),15.0,957,935,1.0
Black Star Double Hopped Golden Lager (12 oz.),15.0,958,936,1.0
Commotion APA,49.0,959,937,1.0
Southern Drawl Pale Lager,,960,938,
Chickawawa Lemonale,5.0,961,939,1.0
Barrel Aged Farmer,22.0,962,940,1.0
Great River Golden Ale,,963,941,
Dirty Blonde Chocolate Ale,,964,942,
Dos Pistolas,20.0,965,943,1.0
Owney Irish Style Red Ale,30.0,966,944,1.0
Aaah Bock Lager,,967,945,
Widespread Wit,10.0,968,946,1.0
Roller Dam Red Ale,30.0,969,947,1.0
483 Pale Ale,48.0,970,948,1.0
Hop A Potamus Double Dark Rye Pale Ale,99.0,971,949,1.0
Farmer Brown Ale,22.0,972,950,1.0
Big Cock IPA,70.0,973,951,1.0
Oktoberfest,25.0,974,952,1.0
40th Annual Bix Street Fest Copper Ale (Current),25.0,975,953,1.0
Redband Stout,36.0,976,954,1.0
483 Pale Ale (2010),48.0,977,955,1.0
Roller Dam Red Ale (2010),30.0,978,956,1.0
Pablo Beach Pale Ale,30.0,979,957,1.0
Wild Trail Pale Ale,44.0,980,958,1.0
Mothman Black IPA,71.0,981,959,1.0
Autumn Winds Fest Beer,,982,960,
Captain's Daughter,69.0,983,961,1.0
Autumn Winds,,984,962,
Flying Jenny Extra Pale Ale,54.0,985,963,1.0
Hazy Day Belgian-Style Wit,20.0,986,964,1.0
Bring Back the Beach Blonde Ale,,987,965,
Leaning Chimney Smoked Porter,34.0,988,966,1.0
Flying Jenny Extra Pale Ale (2012),54.0,989,967,1.0
Flagship Ale,22.0,990,968,1.0
Mr. Blue Sky,6.0,991,969,1.0
3 Scrooges,,992,970,
Screamin’ Pumpkin,25.0,993,971,1.0
Grand Trunk Bohemian Pils,35.0,994,972,1.0
El Rojo,25.0,995,973,1.0
Norm's Raggedy Ass IPA,,996,974,
Grind Line,35.0,997,975,1.0
Norm's Gateway IPA,55.0,998,976,1.0
Lemon Shandy Tripel,,999,977,
Little Red Cap,43.0,1000,978,1.0
Supergoose IPA,67.0,1001,979,1.0
Hale's Pale American Ale,,1002,980,
Heyoka IPA,,1003,981,
Guest Lager,,1004,982,
Pony Pilsner,,1005,983,
Akari Shogun American Wheat Ale,,1006,984,
Meat Wave,,1007,985,
Over Ale,,1008,986,
Gossamer Golden Ale,,1009,987,
Daisy Cutter Pale Ale,,1010,988,
Pursuit,40.0,1011,989,1.0
Half Full Bright Ale,18.0,1012,990,1.0
Orange Wheat,17.0,1013,991,1.0
Hangar 24 Helles Lager,14.0,1014,992,1.0
The Great Return,70.0,1015,993,1.0
Hardywood Cream Ale,18.0,1016,994,1.0
Capital Trail Pale Ale,55.0,1017,995,1.0
UFO Gingerland,15.0,1018,996,1.0
The Long Thaw White IPA,45.0,1019,997,1.0
Honey Cider,,1020,998,
Harpoon Summer Beer,28.0,1021,999,1.0
Harpoon IPA,42.0,1022,1000,1.0
UFO Pumpkin,20.0,1023,1001,1.0
Harpoon Octoberfest,30.0,1024,1002,1.0
Harpoon IPA (2012),42.0,1025,1003,1.0
Harpoon Summer Beer (2012),28.0,1026,1004,1.0
UFO White,10.0,1027,1005,1.0
Harpoon Summer Beer (2010),28.0,1028,1006,1.0
Harpoon IPA (2010),42.0,1029,1007,1.0
Great Falls Select Pale Ale,,1030,1008,
Beltian White,,1031,1009,
Kaua'i Golden Ale,,1032,1010,
Sunset Amber,,1033,1011,
Hapa Brown Ale,,1034,1012,
Hapa Brown Ale,,1035,1012,
Southern Cross,,1036,1013,
Groupe G,65.0,1037,1014,1.0
Pt. Bonita Rustic Lager,40.0,1038,1015,1.0
Hill 88 Double IPA,77.0,1039,1016,1.0
Loose Cannon,45.0,1040,1017,1.0
AARGHtoberfest!,30.0,1041,1018,1.0
Davy Jones Lager,,1042,1019,
Grazias,30.0,1043,1020,2.0
Habitus IPA,86.0,1044,1021,1.0
Ex Umbris Rye Imperial Stout,85.0,1045,1022,1.0
The Golden One,21.0,1046,1023,1.0
The Power of Zeus,68.0,1047,1024,1.0
Tonganoxie Honey Wheat,22.0,1048,1025,1.0
Oregon Trail Unfiltered Raspberry Wheat,,1049,1026,
Annie's Amber Ale,,1050,1027,
The 12th Can™,32.0,1051,1028,1.0
Hilliard's Pils,34.0,1052,1029,1.0
Hilliard's Blonde,20.0,1053,1030,1.0
Hilliard's Amber Ale,60.0,1054,1031,1.0
Hilliard's Saison,30.0,1055,1032,1.0
White Cap White IPA,,1056,1033,
Provision,25.0,1057,1034,1.0
One Nut Brown,28.0,1058,1035,1.0
Hop Farm IPA,45.0,1059,1036,1.0
Double D Blonde,20.0,1060,1037,1.0
Festeroo Winter Ale,60.0,1061,1038,1.0
Proxima IPA,70.0,1062,1039,1.0
Double D Blonde (2013),20.0,1063,1040,1.0
541 American Lager,13.0,1064,1041,1.0
Alphadelic IPA,90.0,1065,1042,1.0
Alphadelic IPA (2011),90.0,1066,1043,1.0
Double D Blonde (2011),20.0,1067,1044,1.0
Green House India Pale Ale,,1068,1045,
The One They Call Zoe,,1069,1046,
Alteration,40.0,1070,1047,1.0
Pale Dog,50.0,1071,1048,1.0
Porter Culture,,1072,1049,
Hard Cider,,1073,1050,
Totally Radler,21.0,1074,1051,1.0
Nonstop Hef Hop,20.0,1075,1052,12.0
Nonstop Hef Hop,20.0,1076,1052,12.0
Nonstop Hef Hop,20.0,1077,1052,12.0
Nonstop Hef Hop,20.0,1078,1052,12.0
Nonstop Hef Hop,20.0,1079,1052,12.0
Nonstop Hef Hop,20.0,1080,1052,12.0
Nonstop Hef Hop,20.0,1081,1052,12.0
Nonstop Hef Hop,20.0,1082,1052,12.0
Nonstop Hef Hop,20.0,1083,1052,12.0
Nonstop Hef Hop,20.0,1084,1052,12.0
Nonstop Hef Hop,20.0,1085,1052,12.0
Nonstop Hef Hop,20.0,1086,1052,12.0
Rise Up Red,60.0,1087,1053,1.0
Survival Stout,35.0,1088,1054,1.0
Hopworks IPA,75.0,1089,1055,1.0
Abominable Winter Ale,70.0,1090,1056,1.0
Pigwar White India Pale Ale,60.0,1091,1057,1.0
Rise-Up Red (2014),60.0,1092,1058,1.0
Abominable Winter Ale (2012),70.0,1093,1059,1.0
HUB Lager,32.0,1094,1060,1.0
Hopworks IPA (2012),75.0,1095,1061,1.0
Watermelon Wheat,,1096,1062,
Laka Laka Pineapple,17.0,1097,1063,1.0
Oktoberfest,,1098,584,
Trail Maker Pale Ale,,1099,1064,
Action Man Lager,,1100,1065,
Let It Ride IPA,90.0,1101,1066,1.0
Stir Crazy Winter Ale,22.0,1102,1067,1.0
Sweet Yamma Jamma Ale,10.0,1103,1068,1.0
Shenanigans Summer Ale,27.0,1104,1069,1.0
Midnight Ryder,80.0,1105,1070,1.0
Day Tripper Pale Ale,45.0,1106,1071,1.0
Oklahoma Suks,32.0,1107,1072,1.0
Power & Light,42.0,1108,1073,1.0
White Rabbit,27.0,1109,1074,1.0
Tribute,58.0,1110,1075,1.0
Infamous IPA,75.0,1111,1076,1.0
Hijack,20.0,1112,1077,1.0
Jon Boat Coastal Ale,20.0,1113,1078,1.0
I-10 IPA,55.0,1114,1079,1.0
People's Pale Ale,28.0,1115,1080,1.0
Summer Ale,,1116,1081,
Appreciation Ale,,1117,1082,
House Lager,18.0,1118,1083,1.0
Leisure Time,15.0,1119,1084,1.0
Excess IPL,80.0,1120,1085,1.0
Hoponius Union,65.0,1121,1086,1.0
Calyptra,45.0,1122,1087,1.0
Helen's Blend,,1123,1088,
Jack's Hard Cider,,1124,1089,
Thunder Ann,37.0,1125,1090,1.0
Razz Wheat,,1126,1091,
Hop Ryot,,1127,1092,
Mystic Mama IPA,,1128,1093,
Firefly Amber Ale,,1129,1094,
Chomolungma Honey Nut Brown Ale,,1130,1095,
Welcome to Scoville,,1131,1096,
Bastian,,1132,1097,
Healani,,1133,1098,
Yabba Dhaba Chai Tea Porter,,1134,1099,
A Capella Gluten Free Pale Ale,,1135,1100,
Casper White Stout,,1136,1101,
JP's Ould Sod Irish Red IPA,,1137,1102,
Weize Guy,15.0,1138,1103,1.0
Fox Tail Gluten Free Ale,50.0,1139,1104,1.0
Hop Box Imperial IPA,90.0,1140,1105,1.0
Joseph James American Lager,15.0,1141,1106,1.0
Sucha Much IPA,,1142,1107,
Lewbricator Wheat Dopplebock,24.0,1143,1108,1.0
Weisse Versa (2012),16.0,1144,1109,1.0
Mother in Lager,25.0,1145,1110,1.0
Weekend Warrior Pale Ale,40.0,1146,1111,1.0
Karbachtoberfest,25.0,1147,1112,1.0
Love Street Summer Seasonal (2014),20.0,1148,1113,1.0
Barn Burner Saison,20.0,1149,1114,1.0
Rodeo Clown Double IPA,85.0,1150,1115,1.0
Sympathy for the Lager,45.0,1151,1116,1.0
Weisse Versa,15.0,1152,1117,1.0
Hopadillo India Pale Ale,70.0,1153,1118,1.0
KelSo Nut Brown Lager,19.0,1154,1119,1.0
KelSo India Pale Ale,64.0,1155,1120,1.0
KelSo Pilsner,23.0,1156,1121,1.0
Skilak Scottish Ale,,1157,1122,
Peninsula Brewers Reserve (PBR),15.0,1158,1123,1.0
Sunken Island IPA,,1159,1124,
Skilak Scottish Ale (2011),,1160,1125,
Cold Smoke Scotch Ale (2007),11.0,1161,1126,1.0
Double Haul IPA (2009),65.0,1162,1127,1.0
Double Haul IPA (2006),65.0,1163,1128,1.0
Eddy Out Pale Ale,50.0,1164,1129,1.0
Double Haul IPA,65.0,1165,1130,1.0
Cold Smoke Scotch Ale,11.0,1166,1131,1.0
U. P. Witbier,,1167,1132,
November Gale Pale Ale,,1168,1133,
Olde Ore Dock Scottish Ale,,1169,1134,
Widow Maker Black Ale,,1170,1135,
Lift Bridge Brown Ale,,1171,1136,
Pick Axe Blonde Ale,,1172,1137,
Red Jacket Amber Ale,,1173,1138,
Amber Ale,,1174,1139,
King Street Pilsner,,1175,1140,
King Street IPA,70.0,1176,1141,1.0
King Street Hefeweizen,10.0,1177,1142,1.0
King Street Blonde Ale,,1178,1143,
India Pale Ale,65.0,1179,1144,1.0
Blackberry Wheat,11.0,1180,1145,1.0
Longboard Island Lager,18.0,1181,1146,4.0
Longboard Island Lager,18.0,1182,1146,4.0
Longboard Island Lager,18.0,1183,1146,4.0
Longboard Island Lager,18.0,1184,1146,4.0
Choc Beer (2003),9.0,1185,1147,1.0
Bellingham Beer Week 2013 Collaboration,,1186,1148,
A Slice of Hefen,15.0,1187,1149,1.0
Elevated IPA,100.0,1188,1150,1.0
Rumspringa Golden Bock,30.0,1189,1151,1.0
Lancaster German Style Kölsch,28.0,1190,1152,1.0
Beach Cruiser,,1191,1153,
I.P. Eh!,,1192,1154,
Schoolhouse Honey,,1193,1155,
10 Degrees of Separation,,1194,1156,
Laughing Dog Cream Ale,12.0,1195,1157,1.0
Two-One Niner,9.0,1196,1158,1.0
Laughing Dog IPA,66.0,1197,1159,1.0
Madra Allta,95.0,1198,1160,1.0
Duluchan India Pale Ale,70.0,1199,1161,1.0
Lazy Monk Bohemian Pilsner,,1200,1162,
Yellowstone Golden Ale,,1201,1163,
Tumbleweed IPA,,1202,1164,
Lewis & Clark Amber Ale,,1203,1165,
Miner's Gold Hefeweizen,,1204,1166,
Back Country Scottish Ale,,1205,1167,
Getaway,30.0,1206,1168,1.0
Farm Girl Saison,30.0,1207,1169,1.0
Adam's Stout,40.0,1208,1170,1.0
American Hero,42.0,1209,1171,1.0
Schweet Ale,20.0,1210,1172,1.0
Irregardless IPA,75.0,1211,1173,1.0
Peach Pale Ale,40.0,1212,1174,1.0
Deadeye Jack,,1213,1175,
Pistols at Dawn,,1214,1176,
Peacemaker Pale Ale,47.0,1215,1177,1.0
Shotgun Betty,11.0,1216,1178,1.0
Sweet Josie,30.0,1217,1179,1.0
Long Trail IPA,42.0,1218,1180,1.0
Long Trail Ale,30.0,1219,1181,1.0
Double Bag,33.0,1220,1182,1.0
Blackbeary Wheat,8.0,1221,1183,1.0
Long Trail Ale (1),30.0,1222,1184,1.0
Gose,8.0,1223,1185,1.0
Vermont Pilsner,20.0,1224,1186,1.0
Mosaic Single Hop IPA,,1225,1187,
Lost Galaxy,,1226,1188,
Face Plant IPA,65.0,1227,1189,1.0
Rhino Chasers Pilsner,55.0,1228,1190,1.0
Slow Hand Stout,29.0,1229,1191,1.0
Hips Don't Lie,,1230,1192,
Ride Again Pale Ale,,1231,1193,
The Farmer's Daughter,,1232,1194,
Pub Ale,18.0,1233,1195,1.0
Ballistic Blonde,31.0,1234,1196,1.0
Knotty Pine,,1235,1197,
Lumberyard Pilsner,20.0,1236,1198,1.0
Lumberyard IPA,,1237,1199,
Lumberyard Red Ale,,1238,1200,
Mac's Highlander Pale Ale (2000),,1239,1201,
Mac's Scottish Style Amber Ale (2000),32.0,1240,1202,1.0
Macon Progress Ale,,1241,1203,
Macon History Ale,,1242,1204,
Galaxy High,,1243,1205,
Sol Drifter,18.0,1244,1206,1.0
Thunder Snow,,1245,1207,
The Great Pumpcan,18.0,1246,1208,1.0
LIFT,11.0,1247,1209,1.0
SPRYE,40.0,1248,1210,1.0
Psychopathy,70.0,1249,1211,1.0
Gnarly Brown,32.0,1250,1212,1.0
Happy Amber,30.0,1251,1213,1.0
#9,20.0,1252,1214,2.0
Elder Betty,13.0,1253,1215,1.0
#9,20.0,1254,1214,2.0
High Country Pilsner (Current),,1255,1216,
Epic IPA,,1256,1217,
Golden Trout Pilsner,,1257,1218,
Real McCoy Amber Ale (Current),,1258,1219,
Festivus (1),,1259,1220,
Manayunk Oktoberfest,,1260,1221,
Belgian Style Session Ale,21.0,1261,1222,1.0
Manayunk IPA,,1262,1223,
Yunkin' Punkin',,1263,1224,
Summer Paradise,18.0,1264,1225,1.0
Monk from the 'Yunk,30.0,1265,1226,1.0
Schuylkill Punch,14.0,1266,1227,1.0
Dreamin' Double IPA,85.0,1267,1228,1.0
Chaotic Double IPA,93.0,1268,1229,1.0
Manzanita IPA,88.0,1269,1230,1.0
Riverwalk Blonde Ale,25.0,1270,1231,1.0
Gillespie Brown Ale,49.0,1271,1232,1.0
Manzanita Pale Ale,44.0,1272,1233,1.0
Marble Pilsner,,1273,1234,
Marble India Pale Ale,,1274,1235,
Toughcats IPA,,1275,1236,
Tug Pale Ale,,1276,1237,
Sexy Chaos,,1277,1238,
Ace Hole American Pale Ale,,1278,1239,
Cant Dog Imperial Pale Ale,,1279,1240,
River House,20.0,1280,1241,1.0
Pretzel Stout,47.0,1281,1242,1.0
Rubberneck Red,35.0,1282,1243,1.0
The Imperial Texan,,1283,1244,
The Imperial Texan,,1284,1244,
Day Break 4-Grain Breakfast Beer,,1285,1245,
River House Saison,,1286,1246,
There Will Be Stout,,1287,1247,
Our Legacy IPA,60.0,1288,1248,2.0
Saranac Shandy,,1289,1249,
Our Legacy IPA,60.0,1290,1248,2.0
Saranac Golden Pilsener (2003),,1291,1250,
Saranac Adirondack Light (2002),,1292,1251,
DAX Light (1998),,1293,1252,
Saranac Traditional Lager (2000),,1294,1253,
Pomegranate Wheat (2008),,1295,1254,
Blueberry Blonde Ale,12.0,1296,1255,1.0
Saranac White IPA,,1297,1256,
Saranac Summer Ale (2011),,1298,1257,
Saranac Pale Ale (12 oz.),,1299,1258,
Saranac Pale Ale (16 oz.),,1300,1259,
Lahaina Town Brown,20.0,1301,1260,1.0
Pau Hana Pilsner,,1302,1261,
Lemongrass Saison,,1303,1262,
Aloha B’ak’tun,,1304,1263,
Liquid Breadfruit,,1305,1264,
Sobrehumano Palena'ole,24.0,1306,1265,1.0
La Perouse White,12.0,1307,1266,1.0
Flyin' HI.P.Hay,68.0,1308,1267,1.0
Mana Wheat,15.0,1309,1268,1.0
Bikini Blonde Lager,18.0,1310,1269,1.0
CoCoNut Porter,30.0,1311,1270,1.0
Big Swell IPA,65.0,1312,1271,1.0
Pit Stop Chocolate Porter,34.0,1313,1272,1.0
Pace Setter Belgian Style Wit,21.0,1314,1273,1.0
Back in the Saddle Rye Pale Ale,53.0,1315,1274,1.0
Bushwhacker Cider,,1316,1275,
Weim-R-Iner,,1317,1276,
Cherry Bomb,,1318,1277,
Tsunami IPA,75.0,1319,1278,2.0
Tsunami IPA,75.0,1320,1278,2.0
Humpback Blonde Ale,22.0,1321,1279,1.0
Hawaiian Crow Porter,27.0,1322,1280,1.0
Volcano Red Ale,23.0,1323,1281,1.0
Mauna Kea Pale Ale,42.0,1324,1282,1.0
Shark Bait,11.0,1325,1283,1.0
Gator Tail Brown Ale,30.0,1326,1284,1.0
Miami Vice IPA,62.0,1327,1285,1.0
Big Rod Coconut Ale,16.0,1328,1286,1.0
Mickey Finn's Amber Ale,,1329,1287,
Pleasure Town,61.0,1330,1288,1.0
Pleasure Town IPA,61.0,1331,1289,1.0
Snowshoe White Ale,12.0,1332,1290,1.0
Kodiak Brown Ale,24.0,1333,1291,1.0
Sockeye Red IPA,70.0,1334,1292,1.0
Habitus (2014),100.0,1335,1293,1.0
Solis,85.0,1336,1294,1.0
Jucundus,24.0,1337,1295,1.0
Habitus,100.0,1338,1296,1.0
Grazias,30.0,1339,1020,2.0
Claritas,28.0,1340,1297,1.0
Vinyl Frontier,,1341,1298,
Disco Superfly,,1342,1299,
Misty Mountain Hop,,1343,1300,
One-Hit Wonderful,,1344,1301,
En Parfaite Harmonie,,1345,1302,
Daft Funk,8.0,1346,1303,1.0
Love In An Ellavator,,1347,1304,
Spin Doctor,,1348,1305,
Keeper (Current),,1349,1306,
Better Half,,1350,1307,
SNO White Ale,,1351,1308,
BRIK Irish Red Ale,,1352,1309,
AXL Pale Ale,,1353,1310,
Hop Freak,80.0,1354,1311,1.0
Louie's Demise Amber Ale,24.0,1355,1312,1.0
Hop Happy,51.0,1356,1313,1.0
Booyah Farmhouse Ale,20.0,1357,1314,1.0
O-Gii,,1358,1315,
Flaming Damsel Lager (2010),18.0,1359,1316,1.0
