Description,original_index,unique_index
"Plagued by a series of apocalyptic visions, a young husband and father questions whether to shelter his family from a coming storm, or from himself.",1864,1846
"Johnny Farrell is a gambling cheat who turns straight to work for an unsettling casino owner Ballin Mundson. But things take a turn for Johnny as his alluring ex-lover appears as Mundson's wife, and Mundson's machinations begin to unravel.",1865,1847
A man confesses to an FBI agent his family's story of how his religious fanatic father's visions lead to a series of murders to destroy supposed 'demons.',1866,1848
"A busy, 'always-on-the-run' executive learns during a meeting that his mother may be dying and rushes home to her side. He ends up being his father's caretaker and becomes closer to him ...",1867,1849
A lonely writer develops an unlikely relationship with his newly purchased operating system that's designed to meet his every need.,1868,1850
An out-of-control speed freak is introduced his drug of choice's creator by his dealer. A massive three-day adventure ensues.,1869,1851
"A story of amour fou. Walt is madly in love/lust with a young illegal Mexican immigrant. However, the object of his unrequited affection doesn't even speak any English and finds Walt really...",1870,1852
Two best friends living on the streets of Portland as hustlers embark on a journey of self discovery and find their relationship stumbling along the way.,1871,1853
Several ordinary high school students go through their daily routine as two others prepare for something more malevolent.,1872,1854
Sissy Hankshaw is born with enormous thumbs that help her hitchhiking through the US from a young age. She becomes a model in advertising and her NY agent 'the Countess' sends her to his ...,1873,1855
A teenage skateboarder's life begins to fray after he is involved in the accidental death of a security guard.,1874,1856
"Billy is released after five years in prison. In the next moment, he kidnaps teenage student Layla and visits his parents with her, pretending she is his girlfriend and they will soon marry...",1875,1857
"Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight, including enlisting three teenagers to kill her husband.",1876,1858
A Seattle-set rock & roll drama about a musician whose life and career is reminiscent of Kurt Cobain's.,1877,1859
"Coming-of-age adventure about two teenage brothers and their struggles to grow up, on their own, after their mother dies and their father leaves them.",1878,1860
"Rusty James, an absent-minded street thug struggles to live up to his legendary older brother's reputation, and longs for the days when gang warfare was going on.",1879,1861
A friendship between two young men is tested when they go for a hike in a desert and forget to bring any water or food with them.,1880,1862
Follows the 'Camelot' years of Jack and Jackie Kennedy.,1881,1863
"Stranded on an island, a group of schoolboys degenerate into savagery.",1882,1864
An American seminary student travels to Italy to take an exorcism course.,1883,1865
This movie focuses on the attempts of a psychiatrist to prevent one of his patients from committing suicide while trying to maintain his own grip on reality.,1884,1866
A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.,1885,1867
A U.S. fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Viet Nam War.,1886,1868
"In a Fascist future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system.",1887,1869
"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw 'smokers,' and reluctantly helps a woman and a young girl try to find dry land.",1888,1870
A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,1889,1871
New York City police detective John Shaft (nephew of the original 1970s detective) goes on a personal mission to make sure the son of a real estate tycoon is brought to justice after a racially-motivated murder.,1890,1872
"A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",1891,1873
"After training with his mentor, Batman begins his war on crime to free the crime-ridden Gotham City from corruption that the Scarecrow and the League of Shadows have cast upon it.",1892,1874
"A young lawyer defends a black man accused of murdering two men who raped his 10-year-old daughter, sparking a rebirth of the K.K.K.",1893,1875
"Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.",1894,1876
A tough-minded drama about two friends in South Central Los Angeles and the violence that comes between them.,1895,1877
"Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",1896,1878
"When a gigantic great white shark begins to menace the small island community of Amity, a police chief, a marine scientist and grizzled fisherman set out to stop it.",1897,1879
A research team is sent to the Jurassic Park Site B island to study the dinosaurs there while another team approaches with another agenda.,1898,1880
"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.",1899,1881
"A decidedly odd couple with ulterior motives convince Dr. Alan Grant to go to Isla Sorna (the second InGen dinosaur lab.), resulting in an unexpected landing...and unexpected new inhabitants on the island.",1900,1882
"John McClane attempts to avert disaster as rogue military officials seize control of Dulles International Airport in Washington, D.C.",1901,1883
John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.,1902,1884
"A graduate history student is unwittingly caught in the middle of an international conspiracy involving stolen diamonds, an exiled Nazi war criminal, and a rogue government agent.",1903,1885
"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with leading lady Ann Darrow.",1904,1886
"In this action comedy, Jack Goldwater, an IRS agent on loan to the Federal Air Marshal Service, is relieved of field duty after insulting a powerful U.S. Senator, and finds himself exiled ...",1905,1887
A prank goes too far for the popular students at Hamilton High as they begin to pay for their actions 10 years later at their high school reunion.,1906,1888
Young filmmaker decides to make a movie of his life.,1907,1889
"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",1908,1890
"The men who captured the giant ape King Kong, return to his island and find his equally gigantic, but far more friendly, son.",1909,1891
A quiet but disturbed young man puts the life of a woman he's obsessed with under a virtual microscope when he installs hidden cameras throughout her house.,1910,1892
"Feature film examining the existence of films in which people are murdered on camera and the culture surrounding them. Through interviews with former FBI Profilers, Cultural Academics, and ...",1911,1893
A petroleum exploration expedition comes to an isolated island and encounters a colossal giant gorilla.,1912,1894
"Early color version of the classic story, starring Claude Reins as the obsessed, tragic Phantom.",1913,1895
"The owner of a coal mining operation, falsely imprisoned for fratricide, takes a drug to make him invisible, despite its side effect: gradual madness.",1914,1896
"An evil scientist and a hunchback escape from prison and encounter Dracula, the Wolf Man and Frankenstein's Monster.",1915,1897
"Seeking shelter from a storm, five travelers are in for a bizarre and terrifying night when the stumble upon the Femm family estate.",1916,1898
The juice of a rare Tibetan flower is the only thing that keeps Dr. Glendon from turning into a werewolf during a full moon.,1917,1899
"When Ygor brings the monster to Dr. Ludwig Frankenstein for care, Ludwig gets the idea of replacing the monster's current criminal brain, with a normal brain.",1918,1900
Dr. Jekyll faces horrible consequences when he lets his dark side run wild with a potion that changes him into the animalistic Mr. Hyde.,1919,1901
"An ex-con, who is the unlikeliest of role models, meets a 15-year-old boy and is faced with the choice of redemption or ruin.",1920,1902
A semi-paralyzed radio reporter is sent out to investigate a story that leads him into an odd subculture and on a journey of disturbing self-realization.,1921,1903
"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",1922,1904
The filming of Nosferatu (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.,1923,1905
A high school janitor has not recovered from his failed career as a tennis pro. He begins coaching his beloved sport to a group of misfits and leads them to the Nebraska State Championships.,1924,1906
"Picking up where the multitudes of late '90s/early 2000s reality-based television shows left off is the unexpectedly shocking horror film My Little Eye, from director Marc Evans. Five twentysomethings are assembled to live together for a period of six months in a house specially outfitted with a bevy of webcams in order to collect a one million prize. The one major caveat being if anyone abandons the house prior to the end of the six-month period, no one will win anything. After introducing the,different characters -- intelligent Danny (Stephen O'Reilly), slacker Rex (Kris Lemche), frat boy Matt (Sean CW Johnson), good girl Emma (Laura Regan), and actress wannabe Charlie (Jennifer Sky) -- the story jumps ahead to the last few days before the scheduled end of the contest. At this point, it becomes apparent that outside forces are somehow manipulating certain events within the house, and the household is sent into chaos as one of the participants is found dead. Another participant receives an ominous note, and shortly thereafter, the remaining participants begin to realize the true intensity of their mortal peril. My Little Eye premiered at the 2002 Locarno International Film Festival.",1925,1907
A woman's haunting visions reveal a Catholic priest's sinister plot to silence her mother from speaking the truth about the atrocities that took place at her Native American boarding school...,1926,1908
The Rocker tells the story of a failed drummer who is given a second chance at fame. Robert 'Fish' Fishman is the extremely dedicated and astoundingly passionate drummer for the eighties ...,1927,1909
"On his latest expedition, Dr. Rick Marshall is sucked into a space-time vortex alongside his research assistant and a redneck survivalist. In this alternate universe, the trio make friends with a primate named Chaka, their only ally in a world full of dinosaurs and other fantastic creatures.",1928,1910
"An ambitious woman with an odd upbringing struggles to find herself amidst juggling two guys she's dating. Even though both guys know about each other and are complete opposites, jealousy ...",1929,1911
Singer Dewey Cox overcomes adversity to become a musical legend.,1930,1912
"Count Alucard (read his name backwards) finds his way from Budapest to the swamps of the Deep South; his four nemeses are a medical doctor, a university professor, a jilted fiancé and the woman he loves.",1931,1913
"Hungarian countess Marya Zaleska seeks the aid of a noted psychiatrist, in hopes of freeing herself of a mysterious evil influence.",1932,1914
"Two hapless freight handlers find themselves encountering Dracula, the Frankenstein Monster and the Wolf Man.",1933,1915
"Count Dracula and the Wolf Man seek a cure for their afflictions; a hunchbacked woman, a mad scientist and the Frankenstein monster have their own troubles.",1934,1916
"An ancient mummy is revived to destroy those that would invade the 3,000 year old tomb of an Egyptian princess.",1935,1917
"An irrigation project in the rural bayous of Louisiana unearths Kharis the living mummy (Lon Chaney Jr.), who was buried in quicksand 25 years earlier.",1936,1918
The earliest atomic tests in New Mexico cause common ants to mutate into giant man-eating monsters that threaten civilization.,1937,1919
"The young owner of a waxworks in Hollywood receives five instead of six ordered chests with Romanian antiques. He does not know that Vanessa, widow of Count Dracula, sleeps in the sixth ...",1938,1920
"In this third Gill-Man feature, the Creature is captured and turned into an air-breather by a rich mad scientist. This makes the Creature very unhappy, and he escapes, killing people and ...",1939,1921
"Men capture the creature from the Black Lagoon and make him an aquarium attraction, from which he escapes.",1940,1922
"Cousins Bo and Luke Duke, with a little help from their cousin Daisy and Uncle Jesse, egg on the authorities of Hazzard County, Boss Hogg and Sheriff Coltrane.",1941,1923
A high priest travels to America with the living mummy Kharis (Lon Chaney Jr.) to kill all those who had desecrated the tomb of the Egyptian princess Ananka thirty years earlier.,1942,1924
"Two reporters travel to a strange castle in Transylvania to investigate the apparent reappearance of Frankenstein, and encounter such kooky creatures as the sensitive Wolfman, the horny ...",1943,1925
The story of a sergeant and the inner core members of his unit as they try to serve in and survive World War II.,1944,1926
"When a career criminal's plan for revenge is thwarted by unlikely circumstances, he puts his intended victim's son in his place by putting him in prison...and then joining him.",1945,1927
"As the Allied armies close in, the Nazis decide to blow up the last Rhine bridge, trapping their own men on the wrong side. But will it happen?",1946,1928
An RAF squadron is assigned to knock out a German rocket fuel factory in Norway. The factory supplies fuel for the Nazi effort to launch rockets on England during D-Day.,1947,1929
"One of several 1978 films dealing with the Vietnam War (including Hal Ashby's Oscar-winning Coming Home), Michael Cimino's epic second feature The Deer Hunter was both renowned for its tough portrayal of the war's effect on American working class steel workers and notorious for its ahistorical use of Russian roulette in the Vietnam sequences. Structured in five sections contrasting home and war, the film opens in Clairton, PA, as Mike (Robert De Niro), Nick (Christopher Walken), and Stan (John,Cazale, in his last film) celebrate the wedding of their friend Steve (John Savage) and go on a final deer hunt before the men leave for Vietnam. Mike treats hunting as a test of skill, lecturing Stan about the value of 'one shot' deer slaying and brushing off Nick's urgings to appreciate nature's beauty. As Mike ruminates post-hunt, the film cuts to the horror of Vietnam, where the men are captured by Vietcong soldiers who force Mike and Nick to play Russian roulette for the V.C.'s amusement. Mike turns the game to his advantage so they can escape captivity, but the men are permanently scarred by the episode. Steve loses his legs; Nick vanishes in the Saigon Russian roulette parlors. Mike returns alone to Clairton a changed man, as he rejects the killing of the deer hunt and finds solace with Nick's old girlfriend Linda (Meryl Streep). Disgusted by the antics of his male cohorts at home, Mike decides to bring Steve back from a veterans' hospital, and he returns to Saigon to find Nick. As Saigon falls, Mike discovers how far gone Nick is; the survivors gather in Clairton for a funeral breakfast, singing an impromptu rendition of 'God Bless America.'",1948,1930
"Orphaned high school student Rick Riker is bitten by a radioactive dragonfly, develops super powers (except for the ability to fly), and becomes a hero.",1949,1931
A manipulative Southern belle carries on a turbulent affair with a blockade runner during the American Civil War.,1950,1932
An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,1951,1933
"When a mad man calling himself 'the Scorpio Killer' menaces the city, tough as nails San Francisco Police Inspector Harry Callahan is assigned to track down and ferret out the crazed psychopath.",1952,1934
"Dirty Harry must foil a terrorist organization made up of disgruntled Vietnam veterans. But this time, he's teamed with a rookie female partner that he's not too excited to be working with.",1953,1935
Dirty Harry is on the trail of vigilante cops who are not above going beyond the law to kill the city's undesirables.,1954,1936
"Nun Sara is on the run in Mexico and is saved from cowboys by Hogan, who is preparing for a future mission to capture a French fort. The pair become good friends, but Sara never does tell him the true reason behind her being outlawed.",1955,1937
"A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",1956,1938
An Arizona deputy goes to New York City to escort a fugitive back into custody.,1957,1939
"When an innocent man barely survives a lynching, he returns as a lawman determined to bring the vigilantes to justice.",1958,1940
An ex-bounty hunter reluctantly helps a wealthy landowner and his henchmen track down a Mexican revolutionary leader.,1959,1941
The destiny of three soldiers during World War II. The German officer Christian Diestl approves less and less of the war. Jewish-American Noah Ackerman deals with antisemitism at home and ...,1960,1942
"A famous writer visits an aircraft carrier during the Korean war to learn more about it and the way it's run. He also gets to find out more about the army aviators themselves, their internal and external conflicts and dangers of their job.",1961,1943
"After being banished from their tribe, two hunter-gatherers encounter Biblical characters and eventually wind up in the city of Sodom.",1962,1944
"A rural State Park is terrorized by a mutant, man-eating, bipedal, humanoid jellyfish and it's up to a ragtag team of local law enforcement officials to stop it before it reproduces and replaces humans as the dominant species on Earth.",1963,1945
A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.,1964,1946
"The journey of legendary football coach Bob Ladouceur, who took the De La Salle High School Spartans from obscurity to a 151-game winning streak that shattered all records for any American sport.",1965,1947
A sports agent stages an unconventional recruitment strategy to get talented Indian cricket players to play Major League Baseball.,1966,1948
A basketball player's father must try to convince him to go to a college so he can get a shorter sentence.,1967,1949
"Antwone Fisher, a young navy man, is forced to see a psychiatrist after a violent outburst against a fellow crewman. During the course of treatment a painful past is revealed and a new hope begins.",1968,1950
"A drama based on the true story of Melvin B. Tolson, a professor at Wiley College Texas. In 1935, he inspired students to form the school's first debate team, which went on to challenge Harvard in the national championship.",1969,1951
"Homicide detective John Hobbes witnesses the execution of serial killer Edgar Reese. Soon after the execution the killings start again, and they are very similar to Reese's style.",1970,1952
A Florida police chief must solve a vicious double homicide before he himself falls under suspicion.,1971,1953
"In the midst of the Gulf War, soldiers are kidnapped and brainwashed for sinister purposes.",1972,1954
An American POW leads a group of mainly British prisoners to escape from the Germans in WWII.,1973,1955
Elle Woods heads to Washington D.C. to join the staff of a congresswoman in order to pass a bill to ban animal testing.,1974,1956
"As a wild stallion travels across the frontiers of the Old West, he befriends a young human and finds true love with a mare.",1975,1957
An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,1976,1958
Young Jim Hawkins is torn between his loyalty to his benefactors and his affection for lovable rogue Long John Silver in their struggle to recover a buried pirate treasure.,1977,1959
"The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on his crime syndicate stretching from Lake Tahoe, Nevada to pre-revolution 1958 Cuba.",1978,1960
A police detective falls in love with the woman whose murder he is investigating.,1979,1961
"A senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed.",1980,1962
A psychotic socialite confronts a pro tennis star with a theory on how two complete strangers can get away with murder...a theory that he plans to implement.,1981,1963
"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid $10,000 he'd stolen in a robbery.",1982,1964
"Due to his insistence that he has an invisible six-foot rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",1983,1965
"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",1984,1966
An up-and-coming pool player plays a long-time champion in a single high-stakes match.,1985,1967
A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,1986,1968
"In 1948, an American court in occupied Germany tries four Nazi judges for war crimes.",1987,1969
"When a blonde sorority queen is dumped by her boyfriend, she decides to follow him to law school to get him back and, once there, learns she has more legal savvy than she ever imagined.",1988,1970
Charles 'Slim' Lindbergh struggles to finance and design an airplane that will make his New York to Paris flight the first solo transatlantic crossing.,1989,1971
A crooked lawyer persuades his brother-in-law to feign a serious injury.,1990,1972
A brash American gramophone salesman tries to get Emperor Franz Joseph's endorsement in turn-of-the-century Austria.,1991,1973
"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",1992,1974
"A jealous piano teacher Orville Spooner sends his beautiful wife, Zelda, away for the night while he tries to sell a song to a famous nightclub singer Dino, who is stranded in town.",1993,1975
"As a tabloid newspaper editor tries to prevent his top reporter from retiring, an escaped death row convict shows up at the office trying to convey his innocence.",1994,1976
"This is story of a love triangle involving an American soldier, a congresswoman from Iowa and a German singer who meet in postwar Berlin.",1995,1977
"It is the fate of a small frontier town, adjoining the no-man's-land where the Russians and Austrians are fighting out one of the final campaigns of World War I, to be occupied one day by ...",1996,1978
A successful businessman goes to Italy to arrange for the return of his tycoon-father's body only to discover dad died with his mistress of long standing.,1997,1979
"Walter Matthau plays a professional killer going by the name of Trabucco, who is on his way to rub out gangster Rudy 'Disco' Gambola, set to testify against the mob. As Trabucco heads off ...",1998,1980
A woman disguises herself as a child to save on a train fare and is taken in charge by an army man who doesn't notice the truth.,1999,1981
Tough cop Dave Bannion takes on a politically powerful crime syndicate.,2000,1982
A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. But she begins to have doubts...,2001,1983
"A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist. Shortly after the plan takes place, events take a crazy turn",2002,1984
"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames.",2003,1985
"The rise and fall of a corrupt politician, who makes his friends richer and retains power by dint of a populist appeal.",2004,1986
"Previously filmed in 1931 under its original title, Theodore Dreiser's bulky but brilliant novel An American Tragedy was remade in 1951 by George Stevens as A Place in the Sun. Montgomery Clift stars as George Eastman, a handsome and charming but basically aimless young man who goes to work in a factory run by a distant, wealthy relative. Feeling lonely one evening, he has a brief rendezvous with assembly-line worker Alice Tripp (Shelley Winters), but he forgets all about her when he falls for,dazzling socialite Angela Vickers (Elizabeth Taylor). Alice can't forget about him, though: she is pregnant with his child. Just when George's personal and professional futures seem assured, Alice demands that he marry her or she'll expose him to his society friends. This predicament sets in motion a chain of events that will ultimately include George's arrest and numerous other tragedies, including a vicious cross-examination by a D.A. played by future Perry Mason Raymond Burr. A huge improvement over the 1931 An American Tragedy, directed by Josef von Sternberg, A Place in the Sun softens some of the rough edges of Dreiser's naturalism, most notably in the passages pertaining to George's and Angela's romance. Even those 1951 bobbysoxers who wouldn't have been caught dead poring through the Dreiser original were mesmerized by the loving, near-erotic full facial closeups of Clift and Taylor as they pledge eternal devotion. A Place in the Sun won six Oscars, including Best Director, Best Adapted Screenplay, and Best Cinematography, although it lost Best Picture to An American in Paris.",2005,1987
"A reporter pretends to be Jewish in order to cover a story on anti-Semitism, and personally discovers the true depths of bigotry and hatred.",2006,1988
"Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However, Bligh returns one year later, hell bent on avenging his captors.",2007,1989
"A middle-aged butcher and a school teacher who have given up on the idea of love, meet at a dance and fall in love.",2008,1990
Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.,2009,1991
A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.,2010,1992
"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",2011,1993
The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.,2012,1994
Two childhood friends plan to rob an armored car depository. An NYPD officer stands in their way.,2013,1995
A highly intellectual but socially awkward spy is tasked with preventing a terrorist attack from a Russian spy agency.,2014,1996
"Based on the very underground comic book, a Tibetan monk becomes a mentor to a young street kid whom he can teach to protect a scroll.",2015,1997
"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",2016,1998
"A marshall, personally compelled to face a returning deadly enemy, finds that his own town refuses to help him.",2017,1999
"A man with a fixation on Humphrey Bogart gets plastic surgery to make him look exactly like Bogart. Then he changes his name to Sam Marlowe (after Sam Spade and Phillip Marlowe, two of ...",2018,2000
"During WWII, American expatriate Harry Morgan helps transport a Free French Resistance leader and his beautiful wife to Martinique while romancing a sexy lounge singer.",2019,2001
"A man visits his old friend's hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",2020,2002
"When his family goes away for the summer, a so far faithful husband is tempted by a beautiful neighbor.",2021,2003
A prostitute is killed during a bachelor party and the attendees turn on each other as the wedding approaches.,2022,2004
"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",2023,2005
A young New York socialite becomes interested in a young man who has moved into her apartment building.,2024,2006
The sprightly young assistant of a Hollywood screenwriter helps him over his writer's block by acting out his fantasies of possible plots.,2025,2007
A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,2026,2008
"Director Billy Wilder salutes his idol, Ernst Lubitsch, with this comedy about a middle-aged playboy fascinated by the daughter of a private detective who has been hired to entrap him with the wife of a client.",2027,2009
An impromptu fashion shoot at a book store brings about a new fashion model discovery in the shop clerk.,2028,2010
A recently blinded woman is terrorized by a trio of thugs while they search for a heroin stuffed doll they believe is in her apartment.,2029,2011
"Romantic comedy about a woman who must steal a statue from a Paris museum to help conceal her father's art forgeries, and the man who helps her.",2030,2012
"Romance and suspense in Paris, as a woman is pursued by several men who want a fortune her murdered husband had stolen. Who can she trust?",2031,2013
"A spoiled heiress, running away from her family, is helped by a man who is actually a reporter in need of a story.",2032,2014
An ingenue insinuates herself in to the company of an established but aging stage actress and her circle of theater friends.,2033,2015
A dissenting juror in a murder trial slowly manages to convince the others that the case is not as obviously clear as it seemed in court.,2034,2016
"Paul Hudson, leads a group of desert bandits against some Nazis, who want to use them as cheap labor for their railroad.",2035,2017
A British family struggles to survive the first months of World War II.,2036,2018
A self-conscious bride is tormented by the memory of her husband's dead first wife.,2037,2019
"When a bored Holmes eagerly takes the case of Gabrielle Valladon after an attempt on her life, the search for her missing husband leads to Loch Ness and the legendary monster.",2038,2020
"In Paris, an ex-cop falls in love with a prostitute, and tries to get her out of that life by paying for all of her time. Not so easy...",2039,2021
A priest tries to stop a gangster from corrupting a group of street kids.,2040,2022
"Based on the 1935 novel of the same name, it tells the story of an ill-fated assault on German forces by French soldiers, and the grippling consequences those soldiers face when they refuse to follow through with it.",2041,2023
"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",2042,2024
"After his family is killed by a terrorist act, a firefighter goes in search of the one responsible.",2043,2025
"While husband Tim is away during World War II, Anne Hilton copes with problems on the homefront. Taking in a lodger, Colonel Smollett, to help make ends meet and dealing with shortages and ...",2044,2026
A man from a family of rich snobs becomes engaged to a woman from a good-natured but decidedly eccentric family.,2045,2027
A group of very different individuals staying at a luxurious hotel in Berlin deal with each of their respective dramas.,2046,2028
A law school graduate is hired by a top law firm but hides from them a secret about a problem he has--he is so allergic to alcohol that one whiff of it and he passes out like a light.,2047,2029
The biopic of the famous French muckraking writer and his involvement in fighting the injustice of the Dreyfuss Affair.,2048,2030
"Youthful Father Chuck O'Malley led a colorful life of sports, song, and romance before joining the Roman Catholic clergy, but his level gaze and twinkling eyes make it clear that he knows ...",2049,2031
A weatherman finds himself living the same day over and over again.,2050,2032
"True story of Heinrich Harrer, an Austrian mountain climber who became friends with the Dalai Lama at the time of China's takeover of Tibet.",2051,2033
"A million years ago in Africa: the last of the ape-humans is on flight from the humans, who killed the rest of his clan. Alone, seeking others of his kind, he traverses steps, deserts and ...",2052,2034
"A mountain man who wishes to live the life of a hermit becomes the unwilling object of a long vendetta by Indians, and proves to be a match for their warriors in one-on-one combat on the early frontier.",2053,2035
The new warden of a small prison farm in Arkansas tries to clean it up of corruption after initially posing as an inmate.,2054,2036
"Sonny Steele used to be a rodeo star, but his next appearance is to be on a Las Vegas stage, wearing a suit covered in lights, advertising a breakfast cereal. When he finds out they are ...",2055,2037
A young Cro-Magnon woman is raised by Neanderthals.,2056,2038
"A New York district attorney works and flirts with his adversary and her kooky artist client, who is on trial for a murder she didn't commit.",2057,2039
"Former Beatles drummer Ringo Starr plays a prehistoric, social outcast who, along with other misfits, forms his own tribe and finds various comic adventures. This spoof is mostly without dialogue besides the expected neanthropic grunt.",2058,2040
"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",2059,2041
"A young man, falsely imprisoned by his jealous 'friend,' escapes and uses a hidden treasure to exact his revenge.",2060,2042
An idyllic sci-fi future has one major drawback: life must end at 30.,2061,2043
"A Gulf war veteran is wrongly sent to a mental institution for insane criminals, where he becomes the object of a Doctor's experiments, and his life is completely affected by them.",2062,2044
"The classic science fiction novel by H.G. Wells becomes this big-budget adventure directed by the author's great-grandson Simon Wells. Guy Pearce stars as Alexander Hartdegen, a scientist, professor, and inventor in 1895 New York City who believes that time travel is possible. The sudden and unexpected death of his fiancée spurs Alexander to build a time machine, which he hopes to use in an effort to change the past. When he is unable to change the past, Alexander hurls himself more than 800,000,years into the future, seeking answers about the nature of time, but instead encountering a dystopian world where humanity has divided up into two races, the peaceful Eloi and the subterranean Morlocks. Befriending the beautiful Eloi woman Mara (pop singer Samantha Mumba), Alexander must set out to save her from the underground world of the Morlocks when she is captured by them. Along the way, he is aided by Vox (Orlando Jones), a bio-mechanical being from the 21st century. Ultimately, Alexander makes a shocking discovery about the true nature of the Eloi and Morlocks and decides that the only way to change the future is to alter the present. Due to exhaustion, director Wells was briefly replaced during the last few weeks of production by Gore Verbinski, director of The Mexican (2001). The Time Machine co-stars Jeremy Irons and Mark Addy. ~ Karl Williams, Rovi",2063,2045
"Scientists discover how to make people invisible, but their test subject becomes an insane killer who stalks them.",2064,2046
"Hallie and Ethans divorced mother is about to remarry. When Hallie goes to visit Santa Claus, she asks for an unusual gift - she wants her parents back together again.",2065,2047
An ex-mercenary known for finding missing children is hired by a mixed martial arts fighter whose daughter has been kidnapped.,2066,2048
Four unfortunate men from different parts of the globe agree to risk their lives transporting gallons of nitroglycerin across dangerous South American jungle.,2067,2049
A fearless Secret Service agent will stop at nothing to bring down the counterfeiter who killed his partner.,2068,2050
A climbing expedition on Mt. Everest is devastated by a severe snow storm.,2069,2051
"Liberal district attorney decides to seek the death penalty for a man who slaughtered a family at Christmastime, then drank their blood. He escapes, though, and starts killing again.",2070,2052
Add a Plot,2071,235
"A drama critic learns on his wedding day that his beloved maiden aunts are homicidal maniacs, and that insanity runs in his family.",2072,2053
"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard 'Baby.'",2073,2054
"At a remote South American trading port, the manager of an air freight company is forced to risk his pilots' lives in order to win an important contract.",2074,2055
"A trio of classy card sharps targets the socially awkward heir to brewery millions for his money, till one of them falls in love with him.",2075,2056
"Two employees at a gift shop can barely stand one another, without realizing that they're falling in love through the post as each other's anonymous pen pal.",2076,2057
"Unfounded suspicions lead a married couple to begin divorce proceedings, whereupon they start undermining each other's attempts to find new romance.",2077,2058
Favorite quote 'We are all broken. Those of us who are less broken need to help those who are more broken.',2078,2059
