Name,Description,original_index,unique_index
Next,A Las Vegas magician who can see into the future is pursued by FBI agents seeking to use his abilities to prevent a nuclear terrorist attack.,2141,2141
The Rock,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.",2142,2142
The Sorcerer's Apprentice,"Inspired by the beloved segment of the Walt Disney classic Fantasia, The Sorcerer's Apprentice moves the setting of the story to modern-day Manhattan, where decidedly average teen Dave Stutler (Jay Baruchel) hones his magical powers under the tutelage of master sorcerer Balthazar Blake (Nicolas Cage). Malevolent wizard Maxim Horvath (Alfred Molina) is determined to claim New York City as his own. And Horvath isn't alone in his diabolical endeavor, because by joining forces with the sinister,sorcerer, pop illusionist Drake Stone (Toby Kebbell) aspires to gain powers beyond his wildest imagination. Realizing that he can't take on Horvath and Stone alone, Blake recruits Stutler as his reluctant assistant and begins training him the battle that will determine the fate of the Big Apple. Teresa Palmer and Monica Bellucci co-star. ~ Jason Buchanan, Rovi",2143,2143
The Italian Job,"After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally.",2144,2144
Jumper,A teenager with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.,2145,2145
Death Race,Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in our post-industrial world's most popular sport: a car race in which inmates must brutalize and kill one another on the road to victory.,2146,2146
The Transporter,"Frank is hired to 'transport' packages for unknown clients and has made a very good living doing so. But when asked to move a package that begins moving, complications arise.",2147,2147
Secret Window,"A writer is accused for plagiarism by a strange man, who then starts haunting him for 'justice.'",2148,2148
Sweeney Todd: The Demon Barber of Fleet Street,"The infamous story of Benjamin Barker, AKA Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical.",2149,2149
Dark Shadows,"An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection.",2150,2150
Public Enemies,"The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.",2151,2151
The King's Speech,"The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.",2152,2152
Edward Scissorhands,"A gentle man, with scissors for hands, is brought into a new community after living in isolation.",2153,2153
Swordfish,A secretive renegade counter-terrorist co-opts the world's greatest hacker (who is trying to stay clean) to steal billions in US Government dirty money.,2154,2154
Lord of War,An arms dealer confronts the morality of his work as he is being chased by an Interpol agent.,2155,2155
Blade: Trinity,"Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula.",2156,2156
Underworld: Rise of the Lycans,"An origins story centered on the centuries-old feud between the race of aristocratic vampires and their onetime slaves, the Lycans.",2157,2157
Dracula,The vampire comes to England to seduce a visitor's fiancée and inflict havoc in the foreign land.,2158,2158
Underworld: Awakening,"When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind.",2159,2159
Ocean's Twelve,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's 11.,2160,2160
Ocean's Eleven,Danny Ocean and his eleven accomplices plan to rob three Las Vegas casinos simultaneously.,2161,2161
Ocean's Thirteen,"Danny Ocean rounds up the boys for a third heist, after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.",2162,2162
Sherlock Holmes: A Game of Shadows,"Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary, Professor Moriarty.",2163,2163
Chasing Ghosts: Beyond the Arcade,"1982's Video Game World Champions share their philosophies on joysticks, groupies and life.",2164,2164
Angels & Demons,Harvard symbologist Robert Langdon works to solve a murder and prevent a terrorist act against the Vatican.,2165,2165
Ghost Rider,"Stunt motorcyclist Johnny Blaze gives up his soul to become a hellblazing vigilante, to fight against power hungry Blackheart, the son of the devil himself.",2166,2166
Changeling,"A grief-stricken mother takes on the LAPD to her own detriment when it stubbornly tries to pass off an obvious impostor as her missing child, while also refusing to give up hope that she will find him one day.",2167,2167
The Expendables,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,2168,2168
Coraline,"An adventurous girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",2169,2169
Clash of the Titans,"Perseus, mortal son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.",2170,2170
9,A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.,2171,2171
Superman III,Synthetic kryptonite laced with tobacco tar splits Superman in two: good Clark Kent and bad Man of Steel.,2172,2172
Gremlins,A boy inadvertantly breaks 3 important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.,2173,2173
Ghostbusters,Three unemployed parapsychology professors set up shop as a unique ghost removal service.,2174,2174
Batman Forever,"Batman must battle Two-Face and The Riddler with help of an amourous psychologist and a young circus acrobat who becomes his sidekick, Robin.",2175,2175
Batman & Robin,Batman & Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,2176,2176
Superman Returns,"Superman reappears after a long absence, but is challenged by an old foe who uses Kryptonian technology for world domination.",2177,2177
Beetlejuice,A couple of recently deceased ghosts contract the services of a 'bio-exorcist' in order to remove the obnoxious new owners of their house.,2178,2178
Superman II,"Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.",2179,2179
Batman,The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker.,2180,2180
Ghostbusters II,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.,2181,2181
The Nut Job,"In animated 3D, THE NUT JOB is an action-packed comedy in fictional Oakton that follows the travails of Surly (voiced by Will Arnett), a mischievous squirrel, and his rat friend Buddy, who plan a nut store heist of outrageous proportions and unwittingly find themselves embroiled in a much more complicated and hilarious adventure. (c) Open Road",2182,2182
Free Birds,Two turkeys from opposite sides of the tracks must put aside their differences and team up to travel back in time to change the course of history - and get turkey off the holiday menu for good.,2183,2183
Licence to Kill,"James Bond goes rogue and sets off to unleash vengeance on a drug lord who tortured his best friend, a C.I.A. agent, and left him for dead and murdered his bride after he helped capture him.",2184,2184
A Day at the Races,"A veterinarian posing as a doctor, a race-horse owner and his friends struggle to help keep a sanitarium open with the help of a misfit race-horse.",2185,2185
Green Lantern,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",2186,2186
TRON,A computer hacker is abducted into the digital world and forced to participate in gladiatorial games where his only chance of escape is with the help of a heroic security program.,2187,2187
Prince of Persia: The Sands of Time,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,2188,2188
Real Steel,"In the near future, robot boxing is a top sport. A struggling promoter feels he's found a champion in a discarded robot.",2189,2189
John Carter,"Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",2190,2190
I Am Number Four,"Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.",2191,2191
Master and Commander: The Far Side of the World,"During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America.",2192,2192
A Night in Casablanca,"The Marx Brothers are employed at a hotel in postwar Casablanca, where a ring of Nazis is trying to recover a cache of stolen treasure.",2193,2193
Scarecrow,"Max, an ex-con drifter with a penchant for brawling is amused by Lion, a homeless ex-sailor, and they partner up as they head east together.",2194,2194
Dick Tracy,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,2195,2195
L.A. Confidential,"As corruption grows in 1950s LA, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",2196,2196
The Big Store,"A detective is hired to protect the life of a singer, who has recently inherited a department store, from the store's crooked manager.",2197,2197
The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.",2198,2198
Snatch.,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",2199,2199
Animal Crackers,Mayhem and zaniness ensue when a valuable painting goes missing during a party in honor of famed African explorer Captain Spaulding.,2200,2200
The Godfather: Part III,"In the midst of trying to legitimize his business dealings in New York and Italy in 1979, aging Mafia don Michael Corleone seeks to avow for his sins while taking a young protégé under his wing.",2201,2201
American Gangster,"In 1970s America, a detective works to bring down the drug empire of Frank Lucas, a heroin kingpin from Manhattan, who is smuggling the drug into the country from the Far East.",2202,2202
Go West,"The Marx Brothers come to the rescue in the Wild West when a young man, trying to settle an old family feud so he can marry the girl he loves, runs afoul of crooks.",2203,2203
Room Service,"A penniless theatrical producer must outwit the hotel efficiency expert trying to evict him from his room, while securing a backer for his new play.",2204,2204
Mystic River,"With a childhood tragedy that overshadowed their lives, three men are reunited by circumstance when one has a family tragedy.",2205,2205
Gone Baby Gone,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",2206,2206
Panic Room,"A divorced woman and her diabetic daughter take refuge in their newly-purchased house's safe room, when three men break-in, searching for a missing fortune.",2207,2207
Enemy of the State,A lawyer becomes a target by a corrupt politician and his NSA goons when he accidentally receives key evidence to a serious politically motivated crime.,2208,2208
Hitch,"While helping his latest client woo the fine lady of his dreams, a professional 'date doctor' finds that his game doesn't quite work on the gossip columnist with whom he's smitten.",2209,2209
Wild Wild West,The two best hired guns in the West must save President Grant from the clutches of a nineteenth-century inventor-villain.,2210,2210
Seven Pounds,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,2211,2211
The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional endeavor.,2212,2212
The Legend of Bagger Vance,A down-and-out golfer attempts to recover his game and his life with help from a mystical caddy.,2213,2213
The Crucible,A Salem resident attempts to frame her ex-lover's wife for being a witch in the middle of the 1692 witchcraft trials.,2214,2214
Lincoln,"As the Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",2215,2215
A Night at the Opera,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,2216,2216
The Boxer,Young Danny Flynn is released from prison after 14 years after 'taking the rap' for the IRA and tries to rebuild his life in his old Belfast neighborhood.,2217,2217
The Last of the Mohicans,"Natty Bumppo, known as Hawk-Eye, is a frontiersman in the American wilderness. Together with his Indian friends Chingachgook and Uncas, he fights battles against nefarious white soldiers as...",2218,2218
The Ballad of Jack and Rose,A father and daughter isolated on an island off the East Coast and living on a once thriving commune grapple with the limits of family and sexuality.,2219,2219
The Age of Innocence,"A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.",2220,2220
In the Name of the Father,A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,2221,2221
Gangs of New York,"In 1863, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer.",2222,2222
The Jewel of the Nile,"This is the sequel to 'Romancing the Stone' where Jack and Joan have their yacht and easy life, but are gradually getting bored with each other and this way of life. Joan accepts an ...",2223,2223
The War of the Roses,A married couple try everything to get each other to leave the house in a vicious divorce battle.,2224,2224
Romancing the Stone,"A romance writer sets off to Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure.",2225,2225
Black Rain,Two NYC cops arrest a Yakuza member and must escort him when he's extradited to Japan.,2226,2226
Indecent Proposal,"A married woman agrees to have sex with another man for $1,000,000.",2227,2227
Don't Say a Word,"When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret...",2228,2228
Margin Call,"Follows the key people at an investment bank, over a 24-hour period, during the early stages of the financial crisis.",2229,2229
Savages,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,2230,2230
Green Zone,Discovering covert and faulty intelligence causes a U.S. Army officer to go rogue as he hunts for Weapons of Mass Destruction in an unstable region.,2231,2231
Eagle Eye,"Jerry and Rachel are two strangers thrown together by a mysterious phone call from a woman they have never met. Threatening their lives and family, she pushes Jerry and Rachel into a series of increasingly dangerous situations, using the technology of everyday life to track and control their every move.",2232,2232
Disturbia,A teen living under house arrest becomes convinced his neighbor is a serial killer.,2233,2233
21,'21' is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.,2234,2234
Written on the Wind,"Alcoholic playboy Kyle Hadley marries the woman secretly loved by his poor but hard-working best friend, who in turn is pursued by Kyle's nymphomaniac sister.",2235,2235
Nine 1/2 Weeks,"A woman gets involved in an impersonal affair with a man. She barely knows about his life, only about the sex games they play, so the relationship begins to get complicated.",2236,2236
Wild Things,"Think of it as endless endings. John McNaughton's playful erotic thriller about a larcenous school teacher, a pair of greedy coeds, and the cop on their trail has as many twists as there are characters, but it's all in good fun.",2237,2237
Basic Instinct 2,"Novelist Catherine Tramell is once again in trouble with the law, and Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate her. Though, like Detective Nick Curran before him, Glass is entranced by Tramell and lured into a seductive game.",2238,2238
Sliver,"Carly Norris is a book editor living in New York City who moves into the Sliver apartment building. In the apartment building, Carly meets two of her new neighbors, author Jack Lansford who...",2239,2239
Adventures in Babysitting,"Teenager Chris Parker (Elisabeth Shue) would rather party with her boyfriend, but when her beau breaks their date she reluctantly accepts a babysitting job. It isn't all TV and icebox-raiding when Chris' best friend Brenda (Penelope Ann Miller) calls her to announce that she's stranded at the bus station. With her youthful charges in tow (one of whom, 15-year-old Brad (Keith Coogan), has a hopeless crush on the babysitter), Chris heads into downtown Chicago to go to Brenda's rescue. Thus begins,a roller coaster ride of comic mishaps, unexpected perils and hairbreadth escapes. IN one bit, blues singer Albert Collins refuses to allow Chris and company to leave the nightclub they've wandered into until they agree to sing along with a song borrowed from, of all things the 1939 B-picture Nancy Drew, Reporter! . Screenwriter and Steven Spielberg protégé Chris Columbus made his directorial debut with Adventures in Babysitting.",2240,2240
Striptease,A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.,2241,2241
Che: Part One,"In 1956, Ernesto 'Che' Guevara and a band of Castro-led Cuban exiles mobilize an army to topple the regime of dictator Fulgencio Batista.",2242,2242
21 Grams,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",2243,2243
Babel,"The tragic aftermath of human carelessness travels around the world in this multi-narrative drama from filmmaker Alejandro González Iñárritu. Richard (Brad Pitt) and Susan (Cate Blanchett) are a couple from the United States who have traveled to Morocco in Northern Africa on a vacation after the death of one of their children has sent Susan into a deep depression. Richard and Susan's other two children have been left in the care of Amelia (Adriana Barraza), their housekeeper. Amelia is,originally from Mexico, and her oldest son is getting married in Tijuana. Unable to find someone who can watch the kids, or to obtain permission to take the day off, Amelia takes the children with her as she travels across the border for the celebration. Around the same time, in Morocco a poor farmer buys a hunting rifle, and he gives it to his sons to scare off the predatory animals that have been thinning out their goat herd. The boys decide to test the weapon's range by shooting at a bus far away; the shot hits Susan in the shoulder, and soon she's bleeding severely, while police are convinced the attack is the work of terrorists. In Japan, Chieko (Rinko Kikuchi) is a teenage deaf-mute whose mother recently committed suicide. This despairing, confused girl experiences such rage and frustration that she causes her volleyball team to lose a match, and later yanks her underwear off and begins exposing herself to boys in a crowded restaurant. Chieko's father then struggles to reach past the emotional distance which separates him and his daughter. Babel earned Alejandro González Iñárritu the prize for Best Director at the 2006 Cannes Film Festival. ~ Mark Deming, Rovi",2244,2244
Training Day,"On his first day on the job as a Los Angeles narcotics officer, a rookie cop goes on a 24-hour training course with a rogue detective who isn't what he appears.",2245,2245
25th Hour,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",2246,2246
The Man Who Knew Too Much,A family vacationing in Morocco accidentally stumble on to an assassination plot and the conspirators are determined to prevent them from interfering.,2247,2247
South of the Border,A road trip across five countries to explore the social and political movements as well as the mainstream media's misperception of South America while interviewing seven of its elected presidents.,2248,2248
The Hand,"Jon Lansdale is a comic book artist who loses his right hand in a car accident. The hand was not found at the scene of the accident, but it soon returns by itself to follow Jon around, and ...",2249,2249
Salvador,An American photojournalist gets caught in a political struggle at El Salvador in 1980.,2250,2250
Comandante,Documentary on the director's meeting with Castro.,2251,2251
Seizure,Jonathan Frid portrays a horror novelist who has a recurring nightmare about three figures out of his book who terrorize him and his family and friends during a weekend of fun. Then the ...,2252,2252
U Turn,"A young punk drifter heading to Vegas to pay off his gambling debt before the Russian mafia kills him, is forced to stop in a Arizona town where everything that can go wrong, does go wrong for him.",2253,2253
Frost/Nixon,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,2254,2254
American Splendor,"Harvey Pekar is file clerk at the local VA hospital. His interactions with his co-workers offer some relief from the monotony, and their discussions encompass everything from music to the decline of American culture to new flavors of jellybeans and life itself. At home, Harvey fills his days with reading, writing and listening to jazz. His apartment is filled with thousands of books and LPs, and he regularly scours Cleveland's thrift stores and garage sales for more, savoring the rare joy of a,25-cent find. It is at one of these junk sales that Harvey meets Robert Crumb, a greeting card artist and music enthusiast. When, years later, Crumb finds international success for his underground comics, the idea that comic books can be a valid art form for adults inspires Harvey to write his own brand of comic book. An admirer of naturalist writers like Theodore Dreiser, Harvey makes his 'American Splendor' a truthful, unsentimental record of his working-class life, a warts-and-all self portrait. First published in 1976, the comic earns Harvey cult fame throughout the 1980s and eventually leads him to the sardonic Joyce Barber, a partner in a Delaware comic book store who end ups being Harvey's true soul mate as they experience the bizarre byproducts of Harvey's cult celebrity stature.",2255,2255
The American President,"Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but 'politics is perception' and sparks fly anyway.",2256,2256
Lost Highway,"After a bizarre encounter at a party, a jazz saxophonist is framed for the murder of his wife and sent to prison, where he inexplicably morphs into a young mechanic and begins leading a new life.",2257,2257
Eraserhead,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.",2258,2258
The Color of Money,"Fast Eddie Felson teaches a cocky but immensely talented protégé the ropes of pool hustling, which in turn inspires him to make an unlikely comeback.",2259,2259
A Few Good Men,Neo military lawyer Kaffee defends Marines accused of murder; they contend they were acting under orders.,2260,2260
Rain Man,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,2261,2261
Days of Thunder,A young hot-shot stock car driver gets his chance to compete at the top level.,2262,2262
Risky Business,"A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand.",2263,2263
Taps,Military cadets take extreme measures to insure the future of their academy when its existence is threatened by local condo developers.,2264,2264
Cocktail,A talented New York bartender takes a job at a bar in Jamaica and falls in love.,2265,2265
The Firm,A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,2266,2266
Jerry Maguire,"When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent with the only athlete who stays with him.",2267,2267
Vantage Point,The attempted assassination of the American President is told and re-told from several different perspectives.,2268,2268
Flightplan,"A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet, the child vanishes, and nobody will admit she was ever on the plane.",2269,2269
16 Blocks,"An aging alcoholic cop is assigned the task of escorting a witness from police custody to a courthouse 16 blocks away. There are, however, chaotic forces at work that prevent them from making it in one piece.",2270,2270
Lucky Number Slevin,A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses: The Rabbi and The Boss. Slevin is under constant surveillance by relentless Detective Brikowski as well as the infamous assassin Goodkat and finds himself having to hatch his own ingenious plot to get them before they get him.,2271,2271
In Bruges,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",2272,2272
The King of Marvin Gardens,"'It's Monopoly out there'. Jason Staebler, The King of Marvin Gardens, has gone directly to jail, lives on the Boardwalk and fronts for the local mob in Atlantic City. He is also a dreamer ...",2273,2273
xXx,"An extreme sports athlete, Xander Cage, is recruited by the government on a special mission.",2274,2274
xXx: State of the Union,"Darius Stone, a new agent in the XXX program, is sent to Washington, DC to defuse a power struggle amongst national leaders.",2275,2275
I Think We're Alone Now,"Two individuals, Jeff and Kelly, claim to be in love with the 80's pop singer Tiffany.",2276,2276
At the Video Store,"AT THE VIDEO STORE is an innovative and rambunctiously entertaining documentary film by director James Westby (Film Geek, The Auteur, Rid of Me). Equal parts personal essay, intense ...",2277,2277
Cinemania,This documentary about the culture of intense cinephilia in New York City reveals the impassioned world of five obsessed movie buffs. The filmmakers expose this delightfully deranged cult ...,2278,2278
This Film Is Not Yet Rated,Kirby Dick's exposé about the American movie ratings board.,2279,2279
Cleanflix,"When a small Utah-based edited movie company is caught sanitizing Hollywood's copyrighted material, the film industry strikes back with a devastating blow.",2280,2280
Inland Empire,"As an actress starts to adopt the persona of her character in a film, her world starts to become nightmarish and surreal.",2281,2281
The Auteur,A sweet comedy about the world's greatest living porn director.,2282,2282
Rid of Me,"A scathing black comedy of embarrassment, RID OF ME charts the emotional breakdown and rebirth of a woman ripe for self-discovery.",2283,2283
Extract,"Joel, the owner of an extract plant, tries to contend with myriad personal and professional problems, such as his potentially unfaithful wife and employees who want to take advantage of him.",2284,2284
The Anarchist Cookbook,A dramedy that centers on a self-procalimed anarchist and his like-minded friends.,2285,2285
Subculture,Add a Plot,2286,2286
Love and Death,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",2287,2287
Final Fantasy: The Spirits Within,A scientist makes a last stand on Earth with the help of a ragtag team of soldiers against an invasion of alien phantoms.,2288,2288
The Doors: When You're Strange,"A look at the late '60s and early '70s rock band The Doors, including rare exclusive footage.",2289,2289
The Straight Story,An old man makes a long journey by lawn-mover tractor to mend his relationship with an ill brother.,2290,2290
Wild at Heart,Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,2291,2291
DragonHeart,The last dragon and a disillusioned dragonslaying knight must cooperate to stop an evil king who was given partial immortality.,2292,2292
Robin Hood,"In 13th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",2293,2293
Entrapment,An insurance agent is sent by her employer to track down and help capture an art thief.,2294,2294
First Knight,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.",2295,2295
Tin Cup,A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his succesful rival's girlfriend.,2296,2296
Wyatt Earp,Wyatt Earp is a movie about a man and his family. The movie shows us the good times and the bad times of one of the West's most famous individuals.,2297,2297
The Postman,A nameless drifter dons a postman's uniform and bag of mail as he begins a quest to inspire hope to the survivors living in post-apocalyptic America.,2298,2298
Missing,"When an idealistic writer disappears during the Right Wing military coup in 1973 Chile, his wife and American businessman father try to find him.",2299,2299
The Mist,"A freak storm unleashes a species of blood-thirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",2300,2300
Carrie,"This classic horror movie based on Stephen King's first novel stars Sissy Spacek as Carrie White, a shy, diffident teenager who is the butt of practical jokes at her small-town high school. Her blind panic at her first menstruation, a result of ignorance and religious guilt drummed into her by her fanatical mother, Margaret (Piper Laurie), only causes her classmates' vicious cruelty to escalate, despite the attentions of her overly solicitous gym teacher (Betty Buckley). Finally, when the,venomous Chris Hargenson (Nancy Allen) engineers a reprehensible prank at the school prom, Carrie lashes out in a horrifying display of her heretofore minor telekinetic powers. Many films had featured school bullies, but Carrie was one of the first to focus on the special brand of cruelty unique to teenage girls. Carrie's world is presented as a snake pit, where the well-to-do female students all have fangs -- even the reticent Sue Snell (Amy Irving) -- and all the males are blind pawns, sexually twisted around the fingers of Chris and her evil cronies. The talented supporting cast includes John Travolta, P.J. Soles, and William Katt. One of the genre's true classics, the film was followed by a sequel in 1999, as well as by a famously unsuccessful Broadway musical adaptation that starred Betty Buckley, the movie's gym teacher, as Margaret White. ~ Robert Firsching, Rovi",2301,2301
The Last Exorcism,A troubled evangelical minister agrees to let his last exorcism be filmed by a documentary crew.,2302,2302
Pet Sematary,"Behind a young family's home in Maine is a terrible secret that holds the power of life after death. When tragedy strikes, the threat of that power soon becomes undeniable.",2303,2303
Dolores Claiborne,A big-city reporter travels to the small town where her mother has been arrested for the murder of an elderly woman that she works for as a maid.,2304,2304
Swimming with Sharks,"A young, naive Hollywood studio assistant finally turns the tables on his incredibly abusive producer boss.",2305,2305
Christine,A nerdish boy buys a strange car with an evil mind of its own and his nature starts to change to reflect it.,2306,2306
Swing Time,"A performer and gambler travels to New York City to raise the $25,000 he needs to marry his fiancée, only to become entangled with a beautiful aspiring dancer.",2307,2307
Love's Labour's Lost,"An update of the classic Shakespeare story, director Kenneth Branagh shot this movie like a classic 30s musical. The film tells the story of four best friends who swear off love.",2308,2308
Footlight Parade,"Chester Kent struggles against time, romance, and a rival's spy to produce spectacular live 'prologues' for movie houses.",2309,2309
Desperado,"Director Robert Rodriguez picks up where his successful independent debut El Mariachi left off with this slam-bang South of the Border action saga. Bucho (Joaquim DeAlmeida) is a wealthy but casually bloodthirsty drug kingpin who rules a seedy Mexican border town. Bucho and his men make the mistake of angering El Mariachi (Antonio Banderas), a former musician who now carries an arsenal in his guitar case. Bucho was responsible for the death of El Mariachi's girlfriend and put a bullet through,his fretting hand, making him unable to play the guitar. Bent on revenge, the musician-turned-killing machine arrives in town to put Bucho out of business, though he finds few allies except for Carolina (Salma Hayek), who runs a bookstore that doesn't seem to attract many readers. Desperado features supporting performances from Cheech Marin as a cynical bartender, Steve Buscemi as the cantina patron who sets up the story, and Quentin Tarantino as a man with a really terrible joke to tell.",2310,2310
Planet Terror,"After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release.",2311,2311
Sergeant York,"A hillbilly sharpshooter drafted in WW1 despite his claim to be a pacifist, who ends up becoming a war hero.",2312,2312
Four Rooms,Four interlocking tales that take place in a fading hotel on New Year's Eve.,2313,2313
Grindhouse,"Kill Bill director Quentin Tarantino and Sin City director Robert Rodriguez join forces to offer a cinematic tribute to the blood-soaked exploitation epics of yesteryear with this hyper-violent coupling of two full-length features punctuated by a collection of outrageous trailers. The first segment, directed by Rodriguez and entitled Planet Terror, details the violent struggle between a ravenous army of zombie-like humanoids who have taken control of the planet and the remaining survivors who,refuse to go down without a fight. Freddy Rodriguez, Naveen Andrews, and Rose McGowan headline a cast that also includes Marley Shelton, Michael Biehn, Josh Brolin, Bruce Willis, and Tom Savini. In Death Proof -- director Tarantino's take on such peddle-to-the-metal shockers as White Line Fever -- Kurt Russell stars as an engine-revving psychopath who prefers to take out his beautiful victims at 200 mph. With a list of potential roadkill candidates that includes Rose McGowan, Jordan Ladd, Rosario Dawson, and Vanessa Ferlito, Death Proof takes viewers on an adrenaline-infused drive that's as sexy as it is shocking. Its tantalizing title borrowed from the term frequently used to describe the seedy, 1970s-era inner-city movie theaters that screened excessive, low-budget independent films containing copious amounts of violence and nudity as a means of offering counter-programming to the decidedly more restrained big-budget studio films, Grindhouse takes its love for these unabashedly sleazy efforts one step further by offering a jaw-dropping collection of fake exploitation trailers from such directors as Rob Zombie, Eli Roth, and Edgar Wright. ~ Jason Buchanan, Rovi",2314,2314
