author_list,original_index,unique_index
"{""Mushro A"",""Niaura R S"",""Graham A L"",""Cobb N K"",""Fang Y"",""Cha S""}",245,232
"{""Ramune Grambaite"",""Anders M Fjell"",""Tormod Fladby"",""Kristine B Walhovd"",""Vidar Stenset"",""Ivar Reinvang""}",246,233
"{""Luiz Rog̩rio de Carvalho Oliveira"",""Nilza Aparecida Almeida de Carvalho"",""Fl��vio C L Cavalcanti Ara̼jo"",""Izabela Menezes Pagotto"",""Paulo Chiavone""}",247,234
"{""Qiong Chen"",""Wei Fan"",""Qianhong Ma"",""Zhongying Huang"",""Zhun Xiao"",""Shangwei Li""}",248,235
"{""Lemack G.E.""}",249,236
"{""E. Mainardi"",""G. Moscato"",""A. Montanelli"",""M. Dotti"",""R. Nano""}",250,237
"{""A. K. Marcee"",""S. P. Roaten"",""J. B. Morrow"",""K. J. Kowalske"",""L. E. Snell"",""L. L. Goetz""}",251,238
"{""Address Correspondence"",""S. Karimifard"",""Addresses Author"",""ahmadian@sina.tums.ac.ir "",""Tehran Medical Physics"",""Tehran Medical Physics"",""Department of Biomedical Systems S. Karimifard"",""Tums Tehran Iran Email University of Medical Sciences"",""A. Ahmadian"",""Tums Tehran Iran University of Medical Sciences"",""Systems Department of Biomedical""}",252,239
"{""J. E. Wennberg""}",253,240
"{""V Youtananukorn"",""P Mantangkasombut""}",254,241
"{""Dalia Elimam"",""Keith A Webster"",""Ahmed Omran"",""Fei Yin"",""Lina A Shehadeh""}",255,242
"{""Jia-rui Pu"",""Dan Li"",""De-hua Yang"",""Li-duan Zheng"",""Xiao-dan Zheng"",""Hong Mei"",""Xuan Xiang"",""Qiang-song Tong""}",256,243
"{""J. Falkingham"",""M. Evandrou"",""A. Vlachantoni"",""J. Robards""}",257,244
"{""Sarah H O'Brien"",""Marisa Tucci"",""Antonio Rodriguez Nunez"",""Philip C Spinella"",""Li Qin"",""Edward Vincent S Faustino"",""Adrienne G Randolph"",""Edward Truemper"",""Simon Li"",""Kimberly Marohn"",""Sheila Hanson"",""Michael Yung"",""[Collective Name] PROphylaxis against ThRombosis prACTice (PROTRACT) Study Investigators of the PALISI BloodNet""}",258,245
"{""E. A. Martin"",""L. F. Costa"",""H. Li"",""Y. Zhang"",""M. P. Viana"",""S. M. Rafelski"",""W. F. Marshall""}",259,246
"{""DeLosh EL"",""Bugg JM"",""Clegg BA""}",260,247
"{""C.P. Richter"",""L.H. Riley Jr.""}",261,248
"{""P E Goretzki"",""B J Lammers"",""T Otto""}",262,249
"{""J. Robinson"",""D. W. Smith"",""B. Colwell"",""S. L. Stevens"",""C. McMillan""}",263,250
"{""H. C. Chen"",""S. M. Lin"",""C. L. Chou"",""C. T. Yu"",""H. P. Kuo"",""C. H. Kuo""}",264,251
"{""Justin W Timbie"",""Marcela Horvitz-Lennon"",""Sharon-Lise T Normand"",""Richard G Frank""}",265,252
"{""Paola Bollini"",""Giuseppe Tibaldi"",""Bruce Kupelnick"",""Carmine Munizza"",""Sandro Pampallona""}",266,253
"{""A. Ungkanungdecha"",""C. Chayachinda"",""J. Veeragul"",""J. Jisabai""}",267,254
"{""D. G. Nezic""}",268,255
"{""A Green"",""J Lewis"",""C Worsfold"",""J Saranga""}",269,256
"{""Elefteriades J.A.""}",270,257
"{""H. Jungk"",""W. Madla"",""V. Schottstedt"",""T. Alt""}",271,258
"{""A. S. Lee"",""S. Davies"",""P. C. Naik""}",272,259
"{""R. A. Rosenheck"",""J. Tsai"",""A. S. Mares""}",273,260
"{""Lee W."",""Kirk J.S."",""Shaheen K.W."",""Romero R."",""Hodges A.N."",""Comstock C.H.""}",274,261
"{""NCT01413984 ""}",275,262
"{""D. W. Badger""}",276,263
"{""Mark Kern"",""Karen Dikeman"",""Barbara Grande"",""Marta Kazandjian"",""Terilynn Nitschke"",""Stephanie Daniels"",""Benson Massey"",""Reza Shaker"",""Caryn Easterling""}",277,264
"{""Min Zeng"",""Yue Pan"",""Qunyuan Zhang"",""Ke-Sheng Wang"",""Nagesh Aragam"",""Xuefeng Liu""}",278,265
"{""Ahmad Qamar"",""Muhammad Shahid"",""Md. Abdur Rahman"",""Ahmed Lbath"",""Akhlaq Ahmad"",""Faizan Ur Rehman"",""Abdullah Murad"",""Bilal Sadiq""}",279,266
"{""Virginia D Buckles"",""Andrew J Saykin"",""Eric McDade"",""Stephen P Salloway"",""Aaron P Schultz"",""Peter R Schofield"",""Randall Bateman"",""Adam M Brickman"",""Nick C Fox"",""John C Morris"",""John M Ringman"",""Christopher C Rowe"",""Paul Thompson"",""Clifford Jack"",""Beau M Ances"",""Allison M Goate"",""Robert A Koeppe"",""Stephen Correia"",""Jasmeer P Chhatwal"",""Caroline A Sullivan"",""Anne M Fagan"",""Richard Mayeux"",""Daniel S Marcus"",""Tammie L S Benzinger"",""Keith Johnson"",""Reisa A Sperling"",""Chengjie Xiong""}",280,267
"{""R. R. M. Bos"",""E. W. Hoving"",""M. Wagemakers""}",281,268
"{""William W Thatcher"",""Normand R St-Pierre"",""Dale E Bauman"",""Joseph S Hogan"",""K Larry Smith"",""Robert J Collier"",""George A Milliken"",""Jan K Shearer""}",282,269
"{""Sheu-jen Huang"",""Maiga Chang"",""Wen-chi Hung"",""Janie Chang""}",283,270
"{""Ilaria Casetta"",""Gerardo Iuliano"",""Graziella Filippini""}",284,271
{NULL},285,46
"{""Jasmin Abbas"",""Cholpan Jasaabuu"",""Andreas Gunter Bach"",""Alexey Surov"",""Dominik Schramm"",""Andreas Wienke""}",286,272
"{""N. M. Pinheiro"",""R. Almeida-Reis"",""L. Oliva"",""M. A. Martins"",""M. L. V. Oliva"",""O. A. Theodoro-Junior"",""E. A. Leick"",""I. F. L. C. Tib̩rio"",""C. M. Prado"",""R. F. Righetti"",""B. T. M. Oliveira""}",287,273
"{""G. Rahav"",""G. Regev-Yochay"",""I. Abullaish"",""A. Elhamdany"",""R. Malley"",""M. Raz"",""A. Goral"",""Y. Roytman"",""B. Shainberg"",""M. Varon"",""A. Ziv""}",288,274
"{""M. Niewada"",""J. Pawe��ska"",""A. Budaj"",""T. Macioch"",""P. Perkowski""}",289,275
"{""S Ikawa"",""M Sudoh"",""M Suzuki"",""S Matsubara"",""M Shiota"",""K Kawakami""}",290,276
"{""Pardis Pedram"",""Guang Sun""}",291,277
"{""Narumi Tomisawa"",""Akihiro C Yamashita""}",292,278
"{""Ge H.-Y."",""Fern��ndez-de-las-Pe̱as C."",""Yue S.-W.""}",293,279
"{""M. A. Alba"",""S. Prieto-Gonzalez"",""A. Garcia-Martinez"",""M. C. Cid"",""M. Butjosa"",""G. Espigol-Frigole"",""J. Hernandez-Rodriguez""}",294,280
"{""Bin Hu"",""Hong-ju Mao"",""Jing Zhao"",""Ying Huang"",""Rong-huan Yu"",""Chao Guan""}",295,281
"{""T. Foltynie"",""R.A. Barker"",""S.J.G. Lewis"",""C.H. Williams-Gray""}",296,282
"{""R Asanger"",""P M Shah"",""F M Kahan""}",297,283
"{""J. F. Murray""}",298,284
"{""Katherine A Yeager"",""Susan Bauer-Wu""}",299,285
"{""J. Oskam"",""J. H. Hegeman"",""J. Palen"",""H. J. Duis"",""P. A. M. Vierhout""}",300,286
"{""D. A. Tyurin"",""V. A. Belov"",""D. N. Laikov"",""A. V. Akimov"",""E. Y. Misochko""}",301,287
"{""A. Sudo"",""S. Ishiguro"",""K. Iida""}",302,288
"{""Rutherford OM"",""Kennedy J"",""Skelton DA""}",303,289
"{""Costin M."",""Dumbrav�_ E.L."",""Postolache P."",""Cojocaru D.C.""}",304,290
"{""S. Pelofsky"",""P. D. Hunter""}",305,291
"{""NCT00750412 ""}",306,292
"{""T Delormier"",""A C Macaulay"",""M Cargo"",""A M McComber"",""L Potvin""}",307,293
"{""R H Dowling"",""G M Murphy"",""P B Hylemon"",""G French"",""M J Veysey"",""L A Thomas""}",308,294
"{""Gao YH"",""Lin ZY"",""Zhang GJ"",""Zhong NS"",""Chen RC"",""Gao Y"",""Tang Y"",""Lin ZM"",""Xu G"",""Li HM"",""Guan WJ""}",309,295
{NULL},310,46
"{""J. P. Cegielski"",""S. P. Althomsons""}",311,296
"{""Sebastien Racinais"",""Olivier Girard"",""Lars Nybo"",""Magni Mohr"",""Martin Thomassen""}",312,297
"{""Gary P. Wormser"",""Alvin E. Friedman-Kien"",""Miguel Sanchez""}",313,298
"{""D. D. Town"",""C. P. Chen"",""Y. N. Su"",""W. CN  - PubMed DA  - Dec DO  - 10.1016/s1028-4559(10)60117-9 DP  - NLM ET  - 2011/01/05 Wang"",""C. W. Pan"",""C. C. Lee"",""F. J. Tsai"",""P. C. Wu"",""M. C. Huang""}",314,299
"{""Qiao-Hong Hu"",""Zhi-Liang Huang"",""Xiao-Ming Fan"",""Shuang-Xi Chen"",""Xiang-Yang Song"",""Xiao-Ying Qiu""}",315,300
"{""K. Kristensson"",""L. Svensson"",""H. B. Greenberg"",""K. Weclewicz""}",316,301
"{""R. Kern"",""A. Pronovost"",""P. Peng""}",317,302
"{""Paschal Sheeran"",""Richard Cooke""}",318,303
"{""Jesper I Reimers"",""Sabrina G Elles��e"",""Henrik �� Andersen""}",319,304
"{""Christian T. L. Janssen""}",320,305
"{""S Murat"",""H Avsever"",""S Y�_ksel"",""C S Paksoy"",""B Onder"",""K Kamburoglu""}",321,306
"{""Angel Rosa-Alc����zar"",""Ana I Rosa-Alc����zar"",""Marina Iniesta-Sep���lveda""}",322,307
"{""Enie Akhtar Bt Nawawi"",""Ahlam M Al-Kharabsheh"",""Tsia-Shu Lo""}",323,308
"{""J. De La Camera"",""M. M. Mesfin"",""A. M. Kedir"",""G. Amanual"",""T. Araya"",""I. G. Tareke""}",324,309
{NULL},325,46
"{""Diana Duro"",""Augusto Gouḷo"",""Gon̤alo Santos"",""Nuno Mendon̤a"",""Isabel Santana"",""Eg�_dio Machado""}",326,310
{NULL},327,46
"{""Bruno Vincenzi"",""Daniele Santini"",""Giuseppe Tonini"",""Anna Maria Frezza""}",328,311
{NULL},329,46
"{""Joel W. Grube"",""Juan A. Luna"",""David A. Gilder"",""Jennifer Roberts"",""Daniel Calac"",""Cindy L. Ehlers"",""Roland S. Moore""}",330,312
"{""Angela Marie Abbatecola"",""Andrea Corsonello"",""Silvia Bustacchini"",""Fabrizia Lattanzio"",""Giuseppe Paolisso""}",331,313
"{""Aitken Alderson Anderson Aptekar Backett-Milburn Beazley Becker Bello Berman Billig Bluebond-Langner Borchgrevink Bucholtz Christensen Constantino Cornwall Dell Clark DiCarlo Diprose Douglas Downe Geissler Goodenough Hart James James Jocano Katz Koppitz L Aguilar"",""Lisa M. Mitchell""}",332,314
"{""M. D. Jiang"",""Z. J. Fan"",""T. Q. DA  - Jul DP  - NLM ET  - 2007/07/17 Li"",""Q. Xia"",""L. Wang"",""Z. Yu"",""R. M. Zhang"",""F. X. Zhang"",""X. N. Yang"",""H. R. Zhang""}",333,315
"{""M Eckerbom"",""T Magnusson""}",334,316
"{""G Vaksmann"",""A Vincentelli"",""C Francart"",""M A Cajot"",""G M Brevi̬re"",""F Godart"",""J M Coullet"",""P Devos"",""C Rey""}",335,317
"{""Carmelo Graffagnino"",""DaiWai M Olson""}",336,318
"{""A. Wotherspoon"",""M.M. Taj"",""N. Hadzic"",""M. Burke"",""R. Hobson"",""S.E. Height"",""M. Viskaduraki"",""C.R. Pinkerton""}",337,319
"{""Meletios A Dimopoulos"",""Nikolaos Anagnostopoulos"",""Markela P Zorzou"",""Athanasios Anagnostopoulos"",""Eleni Efstathiou"",""Christos Poziopoulos"",""George Hamilos"",""Vassiliki Grigoraki"",""Dimitra Gika"",""Athanasios Zomas"",""Irini Xilouri""}",338,320
{NULL},339,46
"{""Stephen E Gilman"",""Chaoqiang Jiang"",""Kar Keung Cheng"",""C Mary Schooling"",""Tai Hing Lam"",""Michael Y Ni"",""Gabriel M Leung"",""Weisen Zhang""}",340,321
"{""W. Bodsch"",""T. Rommel""}",341,322
{NULL},342,46
"{""Renata Vrsalovi����"",""Eva Verona"",""Iva Mihatov-Stefanovi����"",""Biserka Cicak""}",343,323
{NULL},344,46
"{""S. A. Murrell"",""B. T. Mast"",""A. R. Azar""}",345,324
"{""N D Osgood"",""T O Tengs""}",346,325
"{""H Weatherly"",""D Epstein"",""J Burch"",""N Woolacott"",""D Jayne"",""D Fox"",""A Baba-Akbari Sari""}",347,326
"{""Barbara Zeligs"",""Stephen M Peters"",""Onorina Di Mita"",""Shahla Riazi"",""Henry Yeager"",""German A Benavides"",""Joseph A Bellanti""}",348,327
"{""S. Orita"",""M. Takaso"",""S. Ohtori"",""S. Kishida"",""G. Inoue"",""M. Suzuki"",""K. Yamauchi"",""N. Ochiai"",""M. Yamashita"",""Y. Eguchi"",""K. Takahashi""}",349,328
"{""S. Sakamoto"",""Y. Okumura""}",350,329
"{""W Odero""}",351,330
"{""M. Thomas"",""E. Fairholme"",""N. Nichols"",""M. George""}",352,331
"{""Franco Roviello"",""Daniele Marrelli"",""Carla Vindigni"",""Valeria Pascale"",""Giovanni Corso""}",353,332
"{""Michiko Osuda"",""Satoshi Kazuma"",""Michiaki Yamakage"",""Shunsuke Tachibana"",""Tomo Hayase""}",354,333
"{""D. L. Spangler""}",355,334
"{""S Arora"",""A Zhan"",""S Donohue"",""E R Dorsey"",""K M Biglan"",""V Venkataraman"",""M A Little""}",356,335
"{""Akin Uz�_mc�_gil"",""Meral Top̤u"",""M Fani Bozkurt"",""Sinem Akg�_l""}",357,336
"{""R. McCandlish"",""S. Petrou"",""J. Henderson"",""L. Kumiega""}",358,337
"{""Sauer N."",""Szecsenyi J."",""Faber R."",""Guthrie E."",""Schaefert R."",""Herzog W."",""Boelter R."",""Wild B."",""Kaufmann C."",""Schellberg D.""}",359,338
"{""Y Y Lee"",""K E L McColl""}",360,339
"{""F. Bolandard"",""M. Bonnin"",""P. Duband"",""J. E. Bazin"",""J. P. Mission""}",361,340
"{""O Serresse"",""C Boudreau-Lariviere"",""S Grelier"",""R Zory""}",362,341
"{""Silke Zimmermann"",""Stefan A Stachelhaus"",""Christiane Hollmann""}",363,342
"{""Marc N. Gourevitch"",""Jennifer McNeely"",""David Stevens"",""John Rotrosen"",""Ellie Grossman"",""Laura Huben"",""Marc Manseau"",""Joshua D. Lee""}",364,343
"{""Valeria Panebianco"",""Flavio Barchetti""}",365,344
"{""Prem Ramburuth"",""Massimiliano Tani""}",366,345
"{""H Fukuda"",""H Kasuda"",""J Saitoh"",""H Mitsuhata"",""Y Hirabayashi"",""K Saitoh"",""R Shimizu""}",367,346
"{""B. Rossi"",""A. Piccioli"",""G. Maccauro"",""L. Scaramuzzo"",""F. Frenos"",""R. Capanna""}",368,347
"{""Carey E. Andrzejewski""}",369,348
"{""O Widholm"",""A M Lehtinen"",""J Hovorka""}",370,349
"{""Waleed Alhazzani"",""Lehana Thabane"",""Deborah J Cook"",""Wojciech Szczeklik"",""Anees Sindi"",""Qi Zhou"",""Sultan Altayyar"",""Anna Wludarczyk"",""Gordon H Guyatt"",""[Collective Name] Fluids in Sepsis and Septic Shock Group"",""Michael Wang"",""Guowei Li"",""Roman Jaeschke"",""Diane Heels-Ansdell"",""Alison Fox-Robichaud"",""Bram Rochwerg"",""Fayez Alshamsi"",""Wang-Chun Ip"",""Djillali Annane"",""Lawrence Mbuagbaw""}",371,350
"{""W. Yu"",""R. Pagani"",""L. Huang""}",372,351
"{""C. W. Belter""}",373,352
"{""David B. Finkelstein""}",374,353
"{""Qiang Huang"",""Yang Wu"",""Zhi Qiang Zhu"",""Wei Liang"",""Feng Shao"",""Han Hui Yao""}",375,354
"{""A.D. Nimbarte"",""J.A. Sivak-Callcotta"",""C.A. Mancinelli""}",376,355
"{""Talal Ibrahim"",""Mohamad Al Tannir"",""Imad M Tleyjeh"",""Abed Allehibi"",""Musa A Garbati"",""Abdur Rahman Khan"",""Muhammad Riaz"",""Alex J Sutton"",""Larry M Baddour"",""Faisal A Alasmari"",""Mushabab AlGhamdi"",""Aref A Bin Abdulhak"",""Patricia J Erwin""}",377,356
"{""C. Y. Yang"",""T. N. Wang"",""H. F. Chiu"",""C. H. Lee"",""J. F. Chiu"",""Y. C. Ko""}",378,357
{NULL},379,46
"{""Michael J Paech"",""Stephan A Schug"",""Bhavesh Patel"",""Thomas Ledowski""}",380,358
"{""D N Levine""}",381,359
"{""Shinya Kondo"",""Tomoo Miyagawa""}",382,360
{NULL},383,46
"{""T Reinhold"",""F M�_ller-Riemenschneider"",""S N Willich""}",384,361
"{""B. A. Moed"",""S. M. Doyle"",""A. V. Nero"",""K. L. Revzan"",""M. B. Schwehr"",""R. G. Sextro"",""W. W. Nazaroff""}",385,362
"{""Bafna Bassler Blarney Coleman Hillier Kerr Kerr Kerr Livingston Marshall Pauls Peponis Pikora Stokols Templer Zimring Andersen"",""Gayle Nicoll""}",386,363
"{""Durstine JL"",""Mayo K"",""Martin SL"",""Kirkner GJ"",""Matthews CE"",""Hebert JR""}",387,364
{NULL},388,46
"{""C. S. Berry-Caban"",""L. Bowers"",""S. Wallgren""}",389,365
"{""D J Bruno"",""B S Bloom"",""R Jayadevappa"",""D Y Maman""}",390,366
"{""W C Knowler"",""P J Savage"",""P H Bennett"",""D J Pettitt""}",391,367
"{""J Arana"",""E Rezola"",""A Villanueva"",""M I Intxaurrondo"",""M Su̱ol"",""I Eizaguirre"",""J Garay""}",392,368
"{""Eunice Fabiani Hilleshein"",""Liana Lautert"",""Karine Kummer Gemelli""}",393,369
"{""S. Gouin"",""J. Gravel"",""M. Roy"",""D. Lebel"",""T.-T. Vo""}",394,370
"{""Julia Dawn Jones"",""Touran Heidi Keen"",""Peter Sze Chai Wong"",""Reza Ashrafi"",""Omer Khanzada"",""Derek Richard Robinson"",""Upul Wickramarachchi""}",395,371
"{""A Rezq"",""D Covello"",""C Godino"",""M Montorfano"",""A Colombo""}",396,372
"{""Pyung Bok Lee"",""Francis Sahngun Nahm"",""Hyung Seok Yoo"",""Chul Joong Lee""}",397,373
"{""Patwardhan S.K."",""Bodas K.S."",""Gundewar S.S.""}",398,374
"{""Zhongsheng Sun"",""Huajing Teng"",""Tao Cai"",""Xusheng Huang"",""Ping Yu"",""Fang Cui"",""Zhaohui Chen"",""Fengbiao Mao"",""Wanshi Cai"",""Zhanjun Wang"",""Lin Chen"",""Jiesi Wang""}",399,375
"{""N. Wilson""}",400,376
"{""Akikazu Ishihara"",""Maxey L Wellman"",""Andrea R Barnaba"",""Alicia L Bertone"",""Peter M Kanter"",""Rebecca A Schwarze"",""Michael L Schmall"",""Ron L Genovese"",""Lisa J Zekas"",""Katharine B Lewis""}",401,377
"{""Birgit Schulze-Ehlers"",""Achim Spiller"",""Nina Steffen"",""Gesa Busch""}",402,378
"{""S. Livesay"",""S.D. Ruppert""}",403,379
"{""R F Hofstein"",""J M Mott"",""T L Barrera"",""E J Teng""}",404,380
"{""H H Fiebig"",""K Mross"",""R Velagapudi"",""W E Berdel"",""C Unger"",""I M von Broen""}",405,381
"{""P. Gluszko"",""A. Bielinska""}",406,382
"{""Kenichi Kokubo"",""Taro Kamisasanuki"",""Kengo Hayashi"",""Kenichiro Kasai"",""Nobutada Katori""}",407,383
"{""A. G. Della Valle"",""M. Buttaro"",""G. Slullitel"",""R. Vestri"",""F. Comba"",""F. CN  - CINAHL_postop_care_150220 DB  - c8h DP  - EBSCOhost Piccaluga""}",408,384
"{""W. J. Schnedl"",""R. W. Lipp"",""G. Leitner""}",409,385
"{""J. DO  - 000268051 [pii] 10.1159/000268051 [doi] DP  - Nlm ET  - 2009/12/24 Rizvi"",""F. H. Nawaz""}",410,386
"{""Reva Kasman""}",411,387
"{""Sebastian Paul Suggate""}",412,388
"{""Andrew J Winzelberg"",""Heidi Roberts"",""C Barr Taylor"",""Catherine Classen"",""Heidemarie Ernst"",""Cheryl Koopman"",""Robert E Adams"",""Georg W Alpers"",""Parvati Dev"",""D Ph""}",413,389
{NULL},414,46
"{""Gary Chisholm"",""Eduardo Bruera"",""Swati Bansal"",""David Hui"",""Rony Dev"",""Margarita Morgado""}",415,390
"{""C J Langer"",""J Orsini"",""J K Hon"",""S R Dakhil"",""M F Renschler"",""R D Page"",""V Hirsh"",""H Zhang"",""I Okamoto"",""M A Socinski""}",416,391
"{""J M Teno""}",417,392
"{""Deepika and Leibowitz Keith and Gowda Ramesh M. and Shapiro Michael and Khan Ijaz A. Misra""}",418,393
{NULL},419,46
"{""A.U. Monsch"",""M. Tolnay"",""K.I. Taylor"",""A. Probst"",""A.R. Miserez""}",420,394
"{""J J SALLEY""}",421,395
"{""B. E. Perron"",""Q. Fu"",""L. T. Wu"",""M. G. Vaughn""}",422,396
"{""D. A. Paul"",""R. G. Locke"",""L. Saiman"",""D. Tuttle"",""A. Novitsky"",""A. Mackley""}",423,397
"{""M. D. Schmittner"",""A. Janke"",""D. G. Bussen"",""G. C. Beck"",""C. Weiss""}",424,398
"{""R. V. Iyer"",""G. M. Woods"",""E. Vichinsky"",""T. R. Kinney"",""J. I. Verter"",""S. T. Miller"",""C. T. Holbrook"",""C. H. Pegelow"",""J. M. Falletta"",""G. R. Buchanan""}",425,399
{NULL},426,46
"{""Serkan Durdu"",""Ahmet R���_���han Akar"",""G���_nseli Cubuk���uo����lu Deniz""}",427,400
{NULL},428,46
"{""K. Tamaki"",""A. G. C��lar"",""S. Beyrer"",""H. Aoki""}",429,401
"{""R F Castien"",""J van Wagenberg""}",430,402
"{""N. Smith"",""B. Milne"",""M. Zenios"",""M. Ramachandran"",""D. Little""}",431,403
"{""W. Rottbauer"",""V. Hombach"",""S. Stiller"",""P. Bernhardt"",""D. Walcher""}",432,404
"{""W. Frehner"",""S. Aeschbacher"",""L. Risch"",""T. Schon"",""M. Risch"",""G. Pare"",""D. Conen""}",433,405
"{""S. Christen"",""Q. Jiang"",""B. N. Ames"",""M. K. Shigenaga""}",434,406
"{""J. Naesdal"",""M. Danilewitz"",""J. Adler"",""D. G. DA  - Oct DO  - 10.1111/j.1572-0241.2008.02115.x DP  - NLM ET  - 2008/09/09 Silberg"",""C. Hwang"",""D. A. Drossman""}",435,407
"{""Yi Wang"",""Yu Zhou"",""RongDang Hu"",""XiuYing Wang"",""Gerald Voli̬re""}",436,408
"{""M. Gatti"",""S. Bonaccorsi"",""V. Mottier-Pavie"",""F. Verni"",""G. Cenci""}",437,409
"{""I. Yang"",""J. Stonestreet"",""P. Collins"",""P. Masel""}",438,410
"{""M Raderer"",""C Gedlicka"",""A Lenauer"",""D Depisch"",""W Scheithauer"",""B Schneeweiss"",""W Fiebiger"",""F Lang"",""G V Kornek"",""B Sch���_ll""}",439,411
"{""Ahmad A.S.""}",440,412
"{""N Zwetyenga"",""A Bouaichi"",""S Aimad-Eddine"",""B Ella"",""X-A Mommers""}",441,413
"{""Branislava Ivanovic"",""Marijana Tadic""}",442,414
"{""A. Stumpo"",""G. Palmieri"",""M. F. Pantusa"",""M. Marasco"",""V. Fuoco""}",443,415
{NULL},444,46
"{""Frances Williams"",""Alehegn Gelaye"",""Susan Steigerwalt"",""Yara Daloul"",""Hadeel Assad"",""Timothy R Larsen"",""Barryton Waanbah"",""Michael Williams""}",445,416
"{""Gaolang Gong"",""Hua Cheng"",""Yong He"",""Qi Dong"",""Hao Huang"",""Virendra Mishra""}",446,417
"{""Department of Electrical F. Zhang"",""Electrical Department of"",""National Computer Engineering"",""Singapore Email elezf nus edu sg University of Singapore"",""Singapore National University of Singapore"",""F. Zhang"",""Engineering Computer"",""Address Correspondence"",""Y. Lian"",""Addresses Author""}",447,418
"{""Marie-Pierre Gagnon"",""Claude Sicotte"",""��dith-Romy Nsangou"",""Sonya Grenier"",""Julie Payne-Gagnon""}",448,419
"{""T. Welte"",""R. Busse"",""N. Jalilvand"",""C. Krauth""}",449,420
"{""H Lee Swanson"",""[Collective Name] Xinhua Zheng"",""Olga Jerman""}",450,421
"{""A Bereket"",""Z Hochberg"",""Y Yavuz"",""H L Muller"",""R H Lustig"",""R Weiss"",""W Kiess"",""A P Goldstone""}",451,422
"{""Chandra Y. and Bains Sujeev S. and Egede Leonard E. Osborn""}",452,423
"{""Cameron Campbell Johnson""}",453,424
"{""M.B. Dikshit"",""S. Raje"",""D.S. Jaju"",""V.R. Purandare""}",454,425
"{""Przemys��aw P Szyber"",""Artur Pupka"",""Piotr Szyber"",""Jerzy Garcarek""}",455,426
"{""P. H. Jallo"",""E. C. Otoh"",""A. Mohammed"",""S. O. Ajike"",""N. W. Johnson"",""I. S. Danfillo""}",456,427
"{""Roger P Goldberg"",""Yoram Abramov"",""Barbara Golden"",""Peter K Sand"",""Megan Sullivan""}",457,428
"{""N. Klauber-DeMore"",""K. Fecho"",""N. R. Miller"",""W. S. Blau"",""S. A. Merritt"",""C. S. Hultman""}",458,429
"{""G. E. Ayala"",""A. R. A. Anderson"",""D. Basanta"",""R. B. Lukner"",""O. E. Franco"",""S. W. Hayward"",""D. E. Cliffel"",""D. W. Strand""}",459,430
"{""Luiza Akiko Komura Hoga"",""Ana Luisa Zaniboni Gomes"",""Luciana Magnoni Reberte""}",460,431
"{""D A Lane"",""S Apostolakis"",""G Y H Lip"",""H Buller""}",461,432
"{""Makbule Gezmen-Karadag"",""Anke Oenema"",""Saskia J te Velde"",""Hilal Yildiran"",""Mai J M Chinapaw"",""Johannes Brug"",""Mine Yildirim"",""Eda Koksal"",""Saniye Bilici"",""Nilufer Acar-Tek"",""Gamze Akbulut"",""Nevin Sanlier"",""Maartje M van Stralen"",""Judith S B de Meij"",""Amika S Singh""}",462,433
"{""Hilary L. Bekker"",""David J. Dodwell"",""Rosalind F. Collins""}",463,434
"{""E. Hsu"",""S. P. Cohen""}",464,435
"{""T. Yamamoto"",""T. Takano"",""M. Takano"",""W. Higuchi"",""Y. Nitahara"",""K. Saito"",""D. Shi"",""K. Ozaki""}",465,436
"{""Z. Maleki"",""O. Nikolskaia""}",466,437
"{""Jo Finch""}",467,438
"{""Nielsen H.O."",""Edwin B."",""H�_nerbein M."",""Hovendal C."",""Liedman B."",""Mortensen M.B.""}",468,439
"{""J. Hunt"",""R. A. Powell""}",469,440
"{""D. L. Uehara"",""C. Nishita"",""T. Tom"",""G. Cardazone""}",470,441
"{""Lucy Bowes"",""Barbara Maughan"",""Avshalom Caspi"",""Louise Arseneault"",""Alan Taylor"",""Terrie E Moffitt""}",471,442
"{""Kai Kupferschmidt""}",472,443
"{""Alexander Attard"",""Josephine Psaila"",""Adrian Zammit"",""Deborah Grech Marguerat""}",473,444
"{""Hanan F Khafagy"",""Mona M Hassan"",""Emad S Osman"",""Faten M El-Shanawany"",""Abdel Rahman M Fathallah"",""Yasser M Samhan"",""Gehan G El-Fandy""}",474,445
"{""Bin He"",""Eric C Frey""}",475,446
"{""Yasuhiro Koga"",""Kazutake Okada"",""Toru Ozaki"",""Sotaro Sadahiro"",""Akira Tanaka"",""Toshiyuki Suzuki"",""Hiroko Kamata""}",476,447
"{""Taek-Soo Lee"",""W Paul Segars"",""Xin He"",""Jing Tang"",""Benjamin M W Tsui""}",477,448
"{""Marie-Pierre Chenard"",""Nassim Dali-Youcef"",""Emilie Buache"",""Marie-Christine Rio"",""Jinxiang Tan""}",478,449
"{""Michael Luther"",""Kari Korpilahti"",""Matti R Tarkka"",""Heini Huhtala"",""Jari Laurikka"",""Jan-Ola Wistbacka"",""Pertti Loponen""}",479,450
"{""A. Ravelli"",""S. Magni-Manzoni"",""A. Pistorio"",""M. Bandeira"",""A. Martini"",""E. Sala"",""A. Falcone"",""A. Buoncompagni"",""N. Ruperto"",""A. Loy""}",480,451
"{""F. Keefe"",""B. Peterson"",""D. Weiner""}",481,452
"{""Linsenmaier U"",""Geyer LL"",""K���rner M"",""Meisel CD"",""Wirth S"",""Reiser MF""}",482,453
