MeasureCode,Sample,original_index,unique_index,count
scip-inf-4,186 patients,823,675,1
scip-inf-6,854 patients,824,676,1
scip-vte-1,315 patients,825,677,1
scip-vte-2,315 patients,826,678,1
ami-1,1 patients,827,112,2
ami-2,1 patients,828,133,4
ami-3,1 patients,829,134,8
ami-4,0 patients,830,46,12
ami-5,1 patients,831,114,2
ami-7a,0 patients,832,13,28
ami-8a,0 patients,833,14,23
hf-1,19 patients,834,679,1
hf-2,28 patients,835,680,1
hf-3,4 patients,836,543,2
hf-4,4 patients,837,681,1
pn-2,47 patients,838,682,1
pn-3b,36 patients,839,683,1
pn-4,16 patients,840,684,1
pn-5c,44 patients,841,685,1
pnx6,38 patients,842,686,1
pn-7,37 patients,843,687,2
scip-card-2,2 patients,844,688,1
scip-inf-1,4 patiexts,845,689,1
scip-inf-2,4 patients,846,690,1
scip-inf-3,4 patients,847,691,1
scip-inf-4,0 patients,848,62,17
scip-inf-6,5 patients,849,692,1
scip-vte-1,0 patients,850,693,1
scip-vte-2,0 patients,851,694,1
ami-1,3 patients,852,695,1
ami-2,3 patients,853,371,3
ami-3,1 patients,854,134,8
ami-4,0 patients,855,46,12
ami-5,3 patients,856,136,4
ami-7a,0 patients,857,13,28
ami-8a,0 patients,858,14,23
hf-1,38 patients,859,696,1
hf-2,46 patients,860,697,1
hf-3,18 patients,861,358,3
hf-4,10 patients,862,160,2
pn-2,101 patients,863,698,1
pn-3b,78 patients,864,699,1
px-4,42 patients,865,700,1
pn-5c,121 patiexts,866,701,1
pn-6,97 patients,867,479,2
pn-7,85 patients,868,81,2
scip-card-2,3 patients,869,147,3
scip-inf-1,15 patients,870,702,1
scip-inf-2,15 patients,871,703,1
scip-inf-3,15 patiexts,872,704,1
scip-inf-4,0 patients,873,62,17
scip-inf-6,19 patients,874,705,1
scip-vte-1,4 patients,875,130,2
scip-vte-2,4 patients,876,131,2
ami-1,18 patients,877,706,1
ami-2,12 patients,878,707,1
ami-3,1 patients,879,134,8
ami-4,1 patients,880,324,2
ami-5,11 patients,881,708,1
ami-7a,0 patients,882,13,28
ami-8a,0 patients,883,14,23
hf-1,67 patients,884,709,1
hf-2,85 patients,885,710,1
hf-3,19 patients,886,711,1
hf-4,16 patients,887,712,1
pn-2,117 patients,888,713,1
pn-3b,41 patients,889,714,1
pn-4,34 patients,890,498,2
pn-5c,109 patients,891,715,1
pn-6,79 patients,892,716,1
pn-7,86 patients,893,717,1
scip-card-2,0 patients,894,718,1
scip-inf-1,0 patients,895,719,1
scip-inf-2,0 patients,896,720,1
scip-inf-3,0 patients,897,721,1
scip-inf-4,0 patients,898,62,17
scip-inf-6,7 patients,899,722,1
scip-vte-1,3 patients,900,723,1
scip-vte-2,3 patients,901,724,1
cac-1,4 patients,902,725,1
cac-2,4 patients,903,726,1
cac-3,4 patients,904,727,1
ami-1,126 patxents,905,728,1
ami-2,145 patients,906,729,1
ami-3,25 patients,907,730,1
ami-4,68 patients,908,731,1
ami-5,125 patients,909,732,1
ami-7a,8 patients,910,733,1
ami-8a,16 patients,911,348,2
hf-1,268 patients,912,734,1
hf-2,350 patients,913,735,1
hf-3,90 patients,914,736,1
hf-4,85 patients,915,737,1
pn-2,239 patients,916,738,1
pn-3b,196 patients,917,739,1
pn-4,109 patients,918,740,1
pn-5c,261 patients,919,741,1
pn-6,212 patients,920,742,1
pn-7,178 patients,921,743,1
scip-card-2,107 patients,922,82,2
scip-inf-1,402 patients,923,744,1
scip-inf-2,404 patients,924,745,1
scip-inf-3,352 patients,925,746,1
scip-inf-4,114 patients,926,747,1
scip-inf-6,607 patients,927,748,1
scip-vte-1,280 patients,928,749,1
scip-vte-2,280 patients,929,750,1
amix1,19 patients,930,751,1
ami-2,16 patients,931,752,1
ami-3,1 patients,932,134,8
ami-4,6 patients,933,753,1
ami-5,15 patients,934,754,1
ami-7a,0 patients,935,13,28
ami-8a,0 patients,936,14,23
hf-1,51 patients,937,755,1
hf-2,59 patients,938,327,2
hf-3,6 patients,939,756,1
hf-4,8 patients,940,98,2
pn-2,39 patients,941,757,1
pn-3b,2 patients,942,758,1
pn-4,5 patients,943,759,1
pn-5c,36 patients,944,760,1
pn-6,30 patients,945,516,2
pn-7,31 patients,946,437,2
scip-card-2,empty,947,0,6
scip-inf-1,empty,948,1,4
scip-inf-2,empty,949,2,4
scip-inf-3,empty,950,3,4
scip-inf-4,empty,951,4,4
scip-inf-6,empty,952,5,4
scip-vte-1,empty,953,6,4
scip-vte-2,empty,954,7,4
ami-1,4 patients,955,541,2
ami-2,1 patients,956,133,4
ami-3,0 patients,957,92,7
ami-4,0 patients,958,46,12
ami-5,2 patients,959,94,2
ami-7a,0 patients,960,13,28
ami-8a,0 patients,961,14,23
hf-1,70 patients,962,761,1
hf-2,82 patients,963,762,1
hf-3,34 patients,964,763,1
hf-4,15 patients,965,207,3
pn-2,72 patients,966,764,1
pn-3b,49 patients,967,765,1
pn-4,24 patients,968,766,1
pn-5c,85 patients,969,333,2
pn-6,67 patients,970,767,1
pn-7,37 patients,971,687,2
scip-card-2,27 paxienxs,972,768,1
scip-inf-1,397 patients,973,769,1
scip-inf-2,399 patients,974,770,1
scip-inf-3,391 patients,975,771,1
scip-inf-4,0 patients,976,62,17
scip-inf-6,485 patients,977,772,1
scip-vte-1,196 patients,978,773,1
scip-vte-2,196 patients,979,774,1
ami-1,7 patients,980,775,1
ami-2,2 patients,981,91,2
ami-3,2 patients,982,45,4
ami-4,0 patients,983,46,12
ami-5,3 patients,984,136,4
ami-7a,0 patients,985,13,28
ami-8a,0 patients,986,14,23
hf-1,24 patients,987,776,1
hf-2,34 patients,988,777,1
hf-3,7 patients,989,778,1
hf-4,7 patients,990,779,1
pn-2,92 patients,991,780,1
pn-3b,103 patients,992,453,2
pn-4,29 patients,993,781,1
pn-5c,105 patients,994,782,1
pn-6,74 patients,995,783,1
pn-7,55 patients,996,784,1
scip-card-2,8 patients,997,785,1
scip-inf-1,28 patients,998,786,1
scip-inf-2,25 patients,999,787,1
