Language,Duration,original_index,unique_index
English,100 min,1757,9
English,,1758,8
English,137 min,1759,117
English,97 min,1760,44
English,95 min,1761,7
English,115 min,1762,68
English,119 min,1763,137
English,,1764,8
English,91 min,1765,21
English,97 min,1766,44
English,96 min,1767,1
English,89 min,1768,69
English,104 min,1769,19
English,109 min,1770,0
English,97 min,1771,44
English,99 min,1772,76
English,119 min,1773,137
English,103 min,1774,124
English,139 min,1775,329
English,113 min,1776,28
"English,Russian",95 min,1777,557
"English,German,Cantonese,Japanese,Hungarian",117 min,1778,558
"English,Italian,Latin",175 min,1779,559
"English,French,German,Czech",169 min,1780,560
"English,Hebrew,German,Polish",195 min,1781,561
English,82 min,1782,86
"English,Japanese,French",148 min,1783,562
"English,Vietnamese",120 min,1784,563
"English,Italian",146 min,1785,564
"English,Hmong",116 min,1786,565
"English,French",180 min,1787,566
English,163 min,1788,567
"English,German,French",165 min,1789,568
"English,Mandarin",152 min,1790,569
"English,Japanese,French",111 min,1791,570
English,121 min,1792,17
English,142 min,1793,93
"English,Cantonese,Mandarin,Spanish",137 min,1794,571
English,92 min,1795,6
English,135 min,1796,108
English,124 min,1797,102
English,129 min,1798,83
English,129 min,1799,83
"English,Spanish",110 min,1800,297
English,126 min,1801,66
"English,Spanish",128 min,1802,572
English,131 min,1803,241
English,129 min,1804,83
"English,Spanish",151 min,1805,573
"English,Ibo",99 min,1806,574
English,109 min,1807,0
"English,French,German",113 min,1808,575
"English,French",1 hr. 56 min.,1809,576
English,132 min,1810,214
English,122 min,1811,63
"English,Hungarian",113 min,1812,577
"English,German,French,Russian,Arabic,Italian",172 min,1813,578
"English,Swahili",161 min,1814,579
"English,Italian",113 min,1815,580
"English,German,Russian",122 min,1816,581
English,92 min,1817,6
English,78 min,1818,96
English,86 min,1819,36
English,101 min,1820,51
English,104 min,1821,19
English,108 min,1822,61
English,101 min,1823,51
English,110 min,1824,27
English,110 min,1825,27
English,127 min,1826,13
English,120 min,1827,5
English,76 min,1828,113
English,75 min,1829,116
English,97 min,1830,44
English,107 min,1831,98
"English,Mandarin",114 min,1832,582
English,88 min,1833,37
"English,Swedish",145 min,1834,583
English,119 min,1835,137
English,115 min,1836,68
English,105 min,1837,10
English,82 min,1838,86
English,91 min,1839,21
English,80 min,1840,59
English,60 min,1841,115
English,77 min,1842,266
English,99 min,1843,76
English,82 min,1844,86
"English,Korean",106 min,1845,584
English,104 min,1846,19
"English,Russian",99 min,1847,585
English,88 min,1848,37
English,110 min,1849,27
English,87 min,1850,87
English,145 min,1851,257
English,116 min,1852,90
English,117 min,1853,223
English,101 min,1854,51
English,102 min,1855,33
English,109 min,1856,0
English,94 min,1857,39
English,90 min,1858,40
English,70 min,1859,279
English,76 min,1860,113
English,94 min,1861,39
English,85 min,1862,42
English,97 min,1863,44
English,120 min,1864,5
"English,Spanish,French,German",110 min,1865,586
English,100 min,1866,9
English,117 min,1867,223
English,126 min,1868,66
English,101 min,1869,51
"English,Spanish",78 min,1870,287
"English,Italian",104 min,1871,587
"English,German",81 min,1872,497
"English,German",95 min,1873,342
English,85 min,1874,42
English,110 min,1875,27
English,106 min,1876,49
English,97 min,1877,44
English,103 min,1878,124
English,94 min,1879,39
English,103 min,1880,124
English,91 min,1881,21
English,90 min,1882,40
"English,Welsh,Italian,Latin,Russian,Hungarian",114 min,1883,588
English,99 min,1884,76
"English,German",116 min,1885,365
"English,Lao,Vietnamese",120 min,1886,589
English,107 min,1887,98
English,135 min,1888,108
"English,Chinese",122 min,1889,590
"English,German,Spanish",99 min,1890,591
"English,Arabic",109 min,1891,592
"English,Urdu,Mandarin",140 min,1892,593
English,149 min,1893,278
English,89 min,1894,69
"English,Spanish,Korean",116 min,1895,594
English,130 min,1896,175
English,124 min,1897,102
"English,Spanish",129 min,1898,322
"English,Spanish",115 min,1899,550
"English,Spanish",92 min,1900,374
"English,Spanish",124 min,1901,533
"English,Italian,French",128 min,1902,595
"English,French,German,Spanish,Yiddish",125 min,1903,596
English,187 min,1904,597
English,116 min,1905,90
English,75 min,1906,116
English,74 min,1907,73
"English,German,French",64 min,1908,598
English,70 min,1909,279
"English,Spanish",78 min,1910,287
English,76 min,1911,113
English,134 min,1912,231
English,1 hr. 30 min.,1913,599
English,81 min,1914,107
English,71 min,1915,195
English,72 min,1916,70
"English,Cantonese,Latin",75 min,1917,600
English,67 min,1918,204
English,98 min,1919,85
English,117 min,1920,223
English,82 min,1921,86
"English,Portuguese",117 min,1922,54
"English,German,Luxembourgish",92 min,1923,601
English,92 min,1924,6
English,1 hr. 36 min.,1925,602
English,102 min,1926,33
English,102 min,1927,33
English,102 min,1928,33
English,87 min,1929,87
English,96 min,1930,1
English,80 min,1931,59
"English,German",71 min,1932,603
English,83 min,1933,131
English,67 min,1934,204
English,67 min,1935,204
"English,French",60 min,1936,604
English,94 min,1937,39
English,86 min,1938,36
English,78 min,1939,96
English,82 min,1940,86
English,104 min,1941,19
English,60 min,1942,115
English,93 min,1943,41
"English,French,Italian,German",113 min,1944,605
English,84 min,1945,47
"English,German",115 min,1946,606
"English,German",102 min,1947,607
"English,Russian,Vietnamese,French",3 hr. 3 min.,1948,608
English,75 min,1949,116
English,238 min,1950,609
English,108 min,1951,61
English,102 min,1952,33
English,96 min,1953,1
English,124 min,1954,102
"English,Spanish,French",116 min,1955,610
"English,Spanish",130 min,1956,611
English,93 min,1957,41
English,114 min,1958,50
"English,Spanish",88 min,1959,612
"English,French,German",167 min,1960,613
English,79 min,1961,38
English,97 min,1962,44
English,87 min,1963,87
"English,French,German,Serbian",117 min,1964,614
English,115 min,1965,68
"English,Hindi",124 min,1966,615
English,136 min,1967,170
"English,Japanese",120 min,1968,616
English,126 min,1969,66
"English,Syriac,Assyrian Neo-Aramaic",124 min,1970,617
English,105 min,1971,10
English,129 min,1972,83
"English,German,Italian",117 min,1973,618
English,95 min,1974,7
English,83 min,1975,131
English,82 min,1976,86
English,110 min,1977,27
"English,Italian,Spanish,Latin,Sicilian",200 min,1978,619
English,88 min,1979,37
English,123 min,1980,141
"English,French",101 min,1981,193
English,92 min,1982,6
"English,Spanish,Latin",104 min,1983,620
"English,French",112 min,1984,191
English,134 min,1985,231
"English,French,Portuguese",101 min,1986,621
"English,German",186 min,1987,622
English,96 min,1988,1
English,135 min,1989,108
English,125 min,1990,129
"English,German",106 min,1991,472
"English,Spanish",140 min,1992,180
English,125 min,1993,129
English,105 min,1994,10
"English,German",1 hr. 56 min.,1995,623
English,67 min,1996,204
"English,Italian",140 min,1997,624
English,96 min,1998,1
English,100 min,1999,9
English,90 min,2000,40
English,94 min,2001,39
English,114 min,2002,50
"English,American Sign Language",97 min,2003,625
English,110 min,2004,27
English,2 hr. 2 min.,2005,626
English,118 min,2006,62
"English,Polynesian",132 min,2007,627
English,90 min,2008,40
"English,Japanese",105 min,2009,628
English,129 min,2010,83
"English,Spanish",95 min,2011,629
English,110 min,2012,27
English,94 min,2013,39
"English,Russian,Panjabi,Arabic",110 min,2014,630
"English,Tibetan,Panjabi,German",104 min,2015,631
English,100 min,2016,9
"English,Spanish",85 min,2017,632
English,106 min,2018,49
"English,French",100 min,2019,633
"English,Italian",100 min,2020,634
English,105 min,2021,10
English,100 min,2022,9
"English,French",127 min,2023,330
"English,Portuguese",115 min,2024,635
English,110 min,2025,27
"English,Italian,German",118 min,2026,636
"English,French",130 min,2027,637
"English,French",103 min,2028,43
English,108 min,2029,61
English,123 min,2030,141
"English,French,German,Italian",113 min,2031,638
English,105 min,2032,10
"English,French",138 min,2033,469
English,96 min,2034,1
English,95 min,2035,7
"English,German",134 min,2036,639
"English,French",130 min,2037,637
"English,Russian,French,German",125 min,2038,640
English,147 min,2039,641
English,97 min,2040,44
"English,German,Latin",88 min,2041,642
English,87 min,2042,87
"English,Spanish",108 min,2043,228
"English,Yiddish",177 min,2044,643
"English,Russian",126 min,2045,644
"English,Russian",112 min,2046,645
English,82 min,2047,86
English,116 min,2048,90
English,126 min,2049,66
"English,French,Italian",101 min,2050,646
"English,German,Mandarin,Tibetan,Hindi",136 min,2051,647
English,91 min,2052,21
"English,Crow,French",108 min,2053,648
English,131 min,2054,241
English,121 min,2055,17
English,98 min,2056,85
English,116 min,2057,90
English,1 hr. 31 min.,2058,649
"English,Tamil,French,Japanese,Hindi,Chinese",127 min,2059,650
English,131 min,2060,241
English,119 min,2061,137
English,103 min,2062,124
English,,2063,8
English,112 min,2064,65
English,92 min,2065,6
English,115 min,2066,68
"English,Spanish,French,German",121 min,2067,651
"English,Arabic,Spanish",116 min,2068,244
English,121 min,2069,17
English,97 min,2070,44
English,,2071,8
"English,German",118 min,2072,652
English,102 min,2073,33
"English,Spanish",121 min,2074,236
English,94 min,2075,39
English,99 min,2076,76
"English,French,Italian",91 min,2077,653
English,107 min,2078,98
"English,Russian",94 min,2079,654
English,95 min,2080,7
English,271 min,2081,655
"English,Spanish",138 min,2082,656
"English,Norwegian,Swedish",121 min,2083,657
English,,2084,8
English,101 min,2085,51
"English,Italian",99 min,2086,658
English,95 min,2087,7
"English,Italian,German",109 min,2088,659
English,89 min,2089,69
English,132 min,2090,214
English,95 min,2091,7
English,117 min,2092,223
"English,German",134 min,2093,639
"English,Spanish",136 min,2094,660
English,144 min,2095,60
English,87 min,2096,87
English,123 min,2097,141
"English,Spanish",134 min,2098,661
"English,Russian,French",166 min,2099,662
"English,French",141 min,2100,663
"English,Hindi,French",120 min,2101,664
English,123 min,2102,141
English,112 min,2103,65
"English,Klingon",107 min,2104,665
English,,2105,8
English,,2106,8
English,103 min,2107,124
English,,2108,8
"English,French",93 min,2109,3
"English,Portuguese,Spanish,Italian",131 min,2110,666
English,77 min,2111,266
English,128 min,2112,206
"English,Spanish",141 min,2113,667
"English,Spanish",96 min,2114,668
English,108 min,2115,61
"English,Spanish",114 min,2116,669
English,105 min,2117,10
"English,Spanish",111 min,2118,670
"English,Spanish",110 min,2119,297
"English,Japanese",101 min,2120,671
English,102 min,2121,33
"English,Spanish",126 min,2122,283
English,118 min,2123,62
"English,Spanish",147 min,2124,215
"English,French,Czech",110 min,2125,672
"English,Spanish",85 min,2126,632
"English,German",121 min,2127,673
"English,Italian,Mandarin,Cantonese,German,Czech",126 min,2128,674
"English,Finnish",111 min,2129,675
English,129 min,2130,83
English,96 min,2131,1
English,115 min,2132,68
"English,Japanese,French",183 min,2133,676
English,,2134,8
"English,Mandarin,Sanskrit",112 min,2135,677
"English,Romanian,Czech",117 min,2136,678
English,92 min,2137,6
"English,Russian",122 min,2138,679
English,120 min,2139,5
"English,French,Latin,Spanish",149 min,2140,680
"English,French,German",96 min,2141,681
English,136 min,2142,170
"English,Cantonese",,2143,682
"English,Russian,Italian",111 min,2144,683
"English,Italian,Japanese,Mandarin",88 min,2145,684
English,105 min,2146,10
"English,French,Mandarin",92 min,2147,685
English,96 min,2148,1
"English,Italian",116 min,2149,686
English,113 min,2150,28
English,140 min,2151,105
English,118 min,2152,62
English,105 min,2153,10
"English,German",99 min,2154,687
"English,Ukrainian,German,Spanish,Russian,French,Arabic,Turkish",122 min,2155,688
"English,Esperanto",113 min,2156,689
English,92 min,2157,6
"English,Romanian,Greek,Bulgarian,Latin",128 min,2158,690
"English,Russian",88 min,2159,691
"English,Dutch,French,Italian,Mandarin",125 min,2160,692
"English,Italian,Cantonese",116 min,2161,693
"English,French,Spanish",122 min,2162,694
"English,French,Italian,German,Romany",129 min,2163,695
English,90 min,2164,40
"English,Italian,Latin,French,Swiss German,German,Chinese",138 min,2165,696
English,114 min,2166,50
English,141 min,2167,697
"English,Spanish",103 min,2168,75
"English,Russian",100 min,2169,698
English,106 min,2170,49
English,79 min,2171,38
"English,Italian,Spanish",125 min,2172,699
"English,Spanish",106 min,2173,700
English,105 min,2174,10
English,121 min,2175,17
English,125 min,2176,129
"English,German,French",154 min,2177,701
English,92 min,2178,6
"English,French,Russian",127 min,2179,702
"English,French",126 min,2180,703
English,108 min,2181,61
"English,Dutch",,2182,704
English,91 min,2183,21
"English,Spanish",133 min,2184,263
"English,Italian",111 min,2185,705
English,114 min,2186,50
English,96 min,2187,1
English,116 min,2188,90
English,127 min,2189,13
English,132 min,2190,214
"English,French",109 min,2191,110
"English,French,Portuguese",138 min,2192,706
"English,French,German",85 min,2193,707
English,112 min,2194,65
English,105 min,2195,10
English,138 min,2196,267
English,83 min,2197,131
"English,Hungarian,Spanish,French",106 min,2198,708
"English,Russian",102 min,2199,515
English,97 min,2200,44
"English,Italian,German,Latin",162 min,2201,709
English,157 min,2202,250
English,80 min,2203,59
"English,Russian",78 min,2204,710
English,138 min,2205,267
English,114 min,2206,50
English,112 min,2207,65
English,132 min,2208,214
English,118 min,2209,62
English,106 min,2210,49
"English,Spanish",123 min,2211,711
"English,Cantonese",117 min,2212,712
English,126 min,2213,66
English,124 min,2214,102
English,150 min,2215,359
"English,Italian",96 min,2216,713
English,113 min,2217,28
English,231 min,2218,714
English,112 min,2219,65
"English,Italian",139 min,2220,143
English,133 min,2221,439
"English,Irish,Chinese,Latin",167 min,2222,715
"English,Arabic",106 min,2223,716
English,116 min,2224,90
"English,Spanish,French",106 min,2225,717
"English,Japanese",125 min,2226,718
English,117 min,2227,223
"English,Italian,Chinese",113 min,2228,719
English,107 min,2229,98
English,131 min,2230,241
"English,Arabic",115 min,2231,720
English,118 min,2232,62
"English,Spanish",105 min,2233,541
English,123 min,2234,141
English,99 min,2235,76
"English,Spanish",117 min,2236,508
English,1 hr. 48 min.,2237,721
English,114 min,2238,50
English,107 min,2239,98
English,1 hr. 42 min.,2240,722
English,115 min,2241,68
"Spanish,English",134 min,2242,723
English,124 min,2243,102
"English,Arabic,Spanish,Japanese,Berber languages,French,Russian,Japanese Sign Language",,2244,724
"English,Russian,Spanish,Korean",122 min,2245,725
English,135 min,2246,108
"English,French,Arabic",120 min,2247,726
"English,Spanish,Portuguese",78 min,2248,727
English,104 min,2249,19
"English,Spanish",122 min,2250,22
"English,Spanish",99 min,2251,728
English,94 min,2252,39
English,125 min,2253,129
English,122 min,2254,63
English,,2255,8
"English,French",114 min,2256,729
English,134 min,2257,231
English,89 min,2258,69
"English,Spanish",119 min,2259,730
English,138 min,2260,267
"English,Italian",133 min,2261,731
"English,French",107 min,2262,732
"English,German",99 min,2263,687
English,126 min,2264,66
"English,Spanish Sign Language",104 min,2265,733
English,154 min,2266,424
"English,American Sign Language",139 min,2267,734
"English,Spanish",90 min,2268,210
"English,French,German,Arabic,Italian,Japanese",98 min,2269,735
English,105 min,2270,10
English,110 min,2271,27
English,107 min,2272,98
English,103 min,2273,124
"English,German,Spanish,Russian,Czech",124 min,2274,736
English,101 min,2275,51
English,70 min,2276,279
English,,2277,8
English,83 min,2278,131
English,98 min,2279,85
English,92 min,2280,6
"English,Polish",180 min,2281,737
"English,Italian",80 min,2282,738
English,90 min,2283,40
English,92 min,2284,6
English,101 min,2285,51
English,73 min,2286,57
English,85 min,2287,42
English,106 min,2288,49
English,86 min,2289,36
English,112 min,2290,65
"English,Spanish",125 min,2291,178
English,103 min,2292,124
"English,French",140 min,2293,739
English,113 min,2294,28
English,134 min,2295,231
English,135 min,2296,108
"English,Spanish",191 min,2297,740
English,177 min,2298,741
"English,Spanish",122 min,2299,22
English,126 min,2300,66
English,1 hr. 38 min.,2301,742
English,87 min,2302,87
English,103 min,2303,124
English,132 min,2304,214
English,101 min,2305,51
English,110 min,2306,27
"English,French",103 min,2307,43
English,93 min,2308,41
"English,French",104 min,2309,335
English,1 hr. 46 min.,2310,743
English,105 min,2311,10
"English,French,German",134 min,2312,744
English,98 min,2313,85
"English,Spanish",3 hr. 12 min.,2314,745
"English,Spanish,Hungarian",105 min,2315,746
"English,Spanish",108 min,2316,228
English,154 min,2317,424
"English,Spanish",102 min,2318,747
"English,German,Italian,Arabic",162 min,2319,748
"English,Persian,Spanish,Mandarin,Korean",112 min,2320,749
English,125 min,2321,129
English,138 min,2322,267
"English,Russian",114 min,2323,118
"English,Spanish",104 min,2324,52
English,139 min,2325,329
English,120 min,2326,5
English,139 min,2327,329
English,2 hr. 18 min.,2328,750
"English,Russian",135 min,2329,751
English,110 min,2330,27
"English,Italian",103 min,2331,285
English,131 min,2332,241
English,127 min,2333,13
"English,German",112 min,2334,752
English,117 min,2335,223
English,141 min,2336,697
"English,Russian",124 min,2337,753
"English,French,Russian",122 min,2338,754
English,128 min,2339,206
English,117 min,2340,223
English,120 min,2341,5
English,90 min,2342,40
English,88 min,2343,37
English,90 min,2344,40
"English,Arabic,German",111 min,2345,755
"English,Navajo,Japanese",134 min,2346,756
"English,Thai",99 min,2347,757
"English,Italian",125 min,2348,758
English,102 min,2349,33
"English,Russian",105 min,2350,759
English,81 min,2351,107
English,112 min,2352,65
English,106 min,2353,49
English,116 min,2354,90
English,112 min,2355,65
English,97 min,2356,44
English,136 min,2357,170
English,107 min,2358,98
English,102 min,2359,33
English,140 min,2360,105
"English,Japanese",117 min,2361,760
English,113 min,2362,28
English,130 min,2363,175
English,84 min,2364,47
English,114 min,2365,50
English,110 min,2366,27
English,133 min,2367,439
English,146 min,2368,29
"English,Russian,French,Hawaiian,Spanish",109 min,2369,761
English,116 min,2370,90
"English,French",120 min,2371,262
English,108 min,2372,61
"English,Spanish",112 min,2373,130
"English,Portuguese",104 min,2374,762
English,86 min,2375,36
English,98 min,2376,85
English,109 min,2377,0
English,138 min,2378,267
English,120 min,2379,5
English,118 min,2380,62
English,102 min,2381,33
English,110 min,2382,27
English,111 min,2383,55
English,68 min,2384,58
English,124 min,2385,102
English,1 hr. 47 min.,2386,763
English,126 min,2387,66
"English,Italian",112 min,2388,764
English,1 hr. 50 min.,2389,765
English,147 min,2390,641
English,129 min,2391,83
"English,Spanish,Italian",175 min,2392,766
English,99 min,2393,76
"English,Cantonese,Spanish",130 min,2394,767
English,121 min,2395,17
English,94 min,2396,39
"English,Spanish",122 min,2397,22
English,113 min,2398,28
English,158 min,2399,153
English,113 min,2400,28
English,122 min,2401,63
"English,Spanish",101 min,2402,242
"English,Spanish",129 min,2403,322
English,110 min,2404,27
English,122 min,2405,63
"English,American Sign Language,Portuguese",121 min,2406,768
English,99 min,2407,76
English,95 min,2408,7
"English,Japanese",102 min,2409,769
English,99 min,2410,76
"English,Japanese",118 min,2411,770
"English,Mandarin",104 min,2412,771
"English,French,Italian,German",119 min,2413,772
English,107 min,2414,98
English,119 min,2415,137
English,91 min,2416,21
English,108 min,2417,61
English,,2418,8
English,92 min,2419,6
English,101 min,2420,51
English,87 min,2421,87
English,82 min,2422,86
English,92 min,2423,6
"English,German",106 min,2424,472
"English,Italian",93 min,2425,773
English,90 min,2426,40
English,106 min,2427,49
"English,Portuguese,Japanese",107 min,2428,774
English,117 min,2429,223
English,115 min,2430,68
"English,Hawaiian,Mandarin,Turkish",99 min,2431,775
English,96 min,2432,1
"English,Hebrew",113 min,2433,776
"English,Spanish",102 min,2434,747
English,97 min,2435,44
English,112 min,2436,65
"English,Turkish",109 min,2437,777
English,98 min,2438,85
English,119 min,2439,137
English,108 min,2440,61
English,115 min,2441,68
English,105 min,2442,10
English,100 min,2443,9
English,2 hr. 8 min.,2444,778
English,88 min,2445,37
English,84 min,2446,47
English,83 min,2447,131
English,67 min,2448,204
English,101 min,2449,51
English,108 min,2450,61
"English,Esperanto",85 min,2451,779
English,2 hr. 8 min.,2452,778
English,90 min,2453,40
English,179 min,2454,780
English,76 min,2455,113
English,128 min,2456,206
English,111 min,2457,55
English,107 min,2458,98
"English,Czech,Russian,Greek,Afrikaans",120 min,2459,781
English,96 min,2460,1
"English,Japanese,Spanish",91 min,2461,782
"English,Hebrew,Russian",121 min,2462,783
"English,Spanish",130 min,2463,611
English,152 min,2464,334
English,98 min,2465,85
English,130 min,2466,175
English,128 min,2467,206
"English,Norwegian,Latin,French",134 min,2468,784
"English,Dutch",96 min,2469,785
English,126 min,2470,66
English,128 min,2471,206
English,128 min,2472,206
English,113 min,2473,28
English,111 min,2474,55
"English,Icelandic,French,Italian,Russian",132 min,2475,786
English,127 min,2476,13
English,108 min,2477,61
"English,German",115 min,2478,606
English,76 min,2479,113
English,123 min,2480,141
English,116 min,2481,90
English,83 min,2482,131
English,91 min,2483,21
English,104 min,2484,19
English,90 min,2485,40
English,119 min,2486,137
English,90 min,2487,40
English,101 min,2488,51
"English,Italian",91 min,2489,302
English,91 min,2490,21
"English,Finnish",104 min,2491,787
"English,American Sign Language",103 min,2492,788
English,74 min,2493,73
English,72 min,2494,70
English,74 min,2495,73
"English,Spanish,Portuguese",71 min,2496,789
English,1 hr. 56 min.,2497,790
English,75 min,2498,116
English,112 min,2499,65
English,74 min,2500,73
English,96 min,2501,1
English,79 min,2502,38
"English,French,Swedish",95 min,2503,791
English,102 min,2504,33
"English,Cantonese,Spanish",108 min,2505,792
"English,French",105 min,2506,336
"English,Spanish",100 min,2507,246
English,88 min,2508,37
English,89 min,2509,69
English,84 min,2510,47
English,87 min,2511,87
English,114 min,2512,50
English,100 min,2513,9
English,115 min,2514,68
English,1 hr. 33 min.,2515,521
English,,2516,8
English,101 min,2517,51
English,113 min,2518,28
English,97 min,2519,44
English,130 min,2520,175
English,88 min,2521,37
"English,French,Spanish",105 min,2522,793
English,94 min,2523,39
English,92 min,2524,6
English,91 min,2525,21
English,1 hr. 41 min.,2526,103
English,96 min,2527,1
English,90 min,2528,40
English,,2529,8
English,83 min,2530,131
English,92 min,2531,6
English,81 min,2532,107
English,101 min,2533,51
English,98 min,2534,85
English,100 min,2535,9
English,,2536,8
"English,Spanish",90 min,2537,210
English,101 min,2538,51
English,98 min,2539,85
English,90 min,2540,40
English,92 min,2541,6
English,94 min,2542,39
English,99 min,2543,76
English,100 min,2544,9
English,96 min,2545,1
English,115 min,2546,68
English,97 min,2547,44
English,106 min,2548,49
English,94 min,2549,39
English,101 min,2550,51
English,,2551,8
"English,Dutch",101 min,2552,794
English,,2553,8
English,95 min,2554,7
English,75 min,2555,116
English,99 min,2556,76
English,,2557,8
"English,French",144 min,2558,795
"English,Spanish",99 min,2559,728
"English,German,French",90 min,2560,796
English,107 min,2561,98
"English,Spanish",94 min,2562,797
English,114 min,2563,50
"English,French",94 min,2564,798
English,87 min,2565,87
English,95 min,2566,7
English,87 min,2567,87
English,108 min,2568,61
English,103 min,2569,124
English,150 min,2570,359
English,70 min,2571,279
English,76 min,2572,113
English,94 min,2573,39
English,78 min,2574,96
English,77 min,2575,266
"English,French",103 min,2576,43
English,99 min,2577,76
English,85 min,2578,42
English,109 min,2579,0
English,90 min,2580,40
"English,Russian,Spanish",127 min,2581,799
English,96 min,2582,1
English,102 min,2583,33
English,91 min,2584,21
English,91 min,2585,21
"English,Hebrew,Arabic,Persian,Spanish",101 min,2586,800
"English,French",101 min,2587,193
English,86 min,2588,36
English,127 min,2589,13
English,113 min,2590,28
English,131 min,2591,241
English,97 min,2592,44
"English,Esperanto",125 min,2593,801
English,110 min,2594,27
English,90 min,2595,40
English,109 min,2596,0
English,95 min,2597,7
English,80 min,2598,59
English,96 min,2599,1
English,90 min,2600,40
English,92 min,2601,6
English,84 min,2602,47
English,100 min,2603,9
English,83 min,2604,131
English,99 min,2605,76
English,104 min,2606,19
English,130 min,2607,175
English,101 min,2608,51
English,94 min,2609,39
English,99 min,2610,76
"English,French",106 min,2611,253
English,111 min,2612,55
English,100 min,2613,9
English,105 min,2614,10
English,1 hr. 32 min.,2615,802
"English,Hawaiian",96 min,2616,803
"English,Spanish",97 min,2617,172
English,99 min,2618,76
English,90 min,2619,40
"English,Latin,Greek,French,German,Arabic",122 min,2620,804
English,87 min,2621,87
English,100 min,2622,9
English,112 min,2623,65
English,91 min,2624,21
English,110 min,2625,27
English,82 min,2626,86
English,103 min,2627,124
English,90 min,2628,40
"English,Spanish",114 min,2629,669
English,90 min,2630,40
English,95 min,2631,7
English,88 min,2632,37
English,84 min,2633,47
English,84 min,2634,47
English,96 min,2635,1
English,93 min,2636,41
English,101 min,2637,51
English,91 min,2638,21
"English,Spanish,Hindi",81 min,2639,805
"English,Turkish",82 min,2640,806
"English,Japanese",95 min,2641,807
English,91 min,2642,21
"English,Russian,Spanish",128 min,2643,808
"English,Korean,Cantonese,Spanish,German,Icelandic,Italian",133 min,2644,809
"English,Russian,Spanish",130 min,2645,810
English,88 min,2646,37
"English,Spanish",116 min,2647,64
English,129 min,2648,83
"English,Tagalog,Cantonese,Mandarin,Spanish",119 min,2649,811
English,103 min,2650,124
"English,Hebrew",120 min,2651,812
English,150 min,2652,359
"English,Spanish",99 min,2653,728
English,96 min,2654,1
English,102 min,2655,33
English,100 min,2656,9
"English,Cantonese,Korean",111 min,2657,813
"English,Spanish",95 min,2658,629
English,117 min,2659,223
English,99 min,2660,76
English,121 min,2661,17
"English,German,French",,2662,814
"English,Spanish",107 min,2663,119
English,104 min,2664,19
English,108 min,2665,61
English,83 min,2666,131
English,84 min,2667,47
"English,Spanish,Latin",86 min,2668,815
"English,Hindi",88 min,2669,816
English,116 min,2670,90
English,83 min,2671,131
English,96 min,2672,1
English,113 min,2673,28
English,93 min,2674,41
English,120 min,2675,5
English,103 min,2676,124
English,97 min,2677,44
English,93 min,2678,41
English,96 min,2679,1
"English,Spanish",90 min,2680,210
"English,Spanish,Chinese",104 min,2681,817
"English,Mandarin,Swiss German,Cantonese,Russian",101 min,2682,818
"English,French,Japanese",87 min,2683,819
English,88 min,2684,37
English,86 min,2685,36
"English,French,German,Italian,Japanese",93 min,2686,820
English,76 min,2687,113
English,85 min,2688,42
English,94 min,2689,39
English,100 min,2690,9
English,86 min,2691,36
English,87 min,2692,87
English,92 min,2693,6
"English,French",97 min,2694,288
"English,Spanish",88 min,2695,612
English,91 min,2696,21
English,104 min,2697,19
English,99 min,2698,76
"English,Japanese,Spanish",63 min,2699,821
English,77 min,2700,266
English,,2701,8
English,140 min,2702,105
English,73 min,2703,57
English,95 min,2704,7
English,112 min,2705,65
English,113 min,2706,28
English,89 min,2707,69
"Hopi,English,Spanish",99 min,2708,822
English,89 min,2709,69
English,93 min,2710,41
English,101 min,2711,51
English,94 min,2712,39
English,1 hr. 34 min.,2713,823
English,109 min,2714,0
English,111 min,2715,55
English,107 min,2716,98
English,88 min,2717,37
English,,2718,8
"English,Cantonese",,2719,682
English,83 min,2720,131
English,93 min,2721,41
English,84 min,2722,47
English,98 min,2723,85
English,114 min,2724,50
English,89 min,2725,69
English,95 min,2726,7
English,92 min,2727,6
English,103 min,2728,124
English,,2729,8
English,91 min,2730,21
English,78 min,2731,96
English,88 min,2732,37
"Cantonese,English,Mandarin",105 min,2733,824
English,96 min,2734,1
English,101 min,2735,51
"English,French",132 min,2736,825
English,124 min,2737,102
English,,2738,8
"English,Spanish",105 min,2739,541
"English,German",116 min,2740,365
English,126 min,2741,66
English,109 min,2742,0
English,118 min,2743,62
"English,Russian",104 min,2744,826
"English,Spanish",111 min,2745,670
English,115 min,2746,68
English,107 min,2747,98
English,103 min,2748,124
English,94 min,2749,39
English,130 min,2750,175
"English,Latin",121 min,2751,827
English,123 min,2752,141
English,94 min,2753,39
English,115 min,2754,68
"English,Japanese",104 min,2755,828
"English,Persian",117 min,2756,829
English,83 min,2757,131
English,75 min,2758,116
"English,Russian",120 min,2759,24
English,114 min,2760,50
English,97 min,2761,44
English,87 min,2762,87
English,99 min,2763,76
English,77 min,2764,266
English,81 min,2765,107
English,101 min,2766,51
English,1 hr. 10 min.,2767,830
"English,Italian",115 min,2768,507
English,94 min,2769,39
English,,2770,8
English,62 min,2771,138
English,83 min,2772,131
English,95 min,2773,7
English,92 min,2774,6
English,80 min,2775,59
English,111 min,2776,55
English,75 min,2777,116
English,86 min,2778,36
"English,Italian",119 min,2779,831
"English,Spanish",102 min,2780,747
English,99 min,2781,76
"English,Russian",91 min,2782,832
