journal_title,jounral_abbreviation,original_index,unique_index
Bulletin of the World Health Organization,Bull.WHO,602,466
Plos Neglected Tropical Diseases,,603,467
Neuropharmacology,Neuropharmacology,604,468
,,605,3
Physical therapy,Phys Ther,606,469
Physica D: Nonlinear Phenomena,,607,470
Zeitschrift f��r Erkrankungen der Atmungsorgane mit Folia bronchologica,Z Erkr Atmungsorgane Folia Bronchol,608,471
Int. Angiol.,,609,472
Blood Reviews,Blood Rev.,610,473
J Altern Complement Med,"Journal of alternative and complementary medicine (New York, N.Y.)",611,474
Jama,Jama,612,475
Complementary Therapies in Medicine,,613,476
Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,Catheter Cardiovasc Interv,614,477
Nature,Nature,615,478
The European respiratory journal,Eur. Respir. J.,616,479
,,617,3
"Public health nursing (Boston, Mass.)",Public Health Nurs,618,480
Value in Health,,619,481
Feminist Legal Studies,,620,482
Impfstoffe: Akzeptanz und Sicherheit.,,621,483
,,622,3
Journal of Psychiatric Research,,623,484
International Journal of Obesity,,624,485
Sleep,Sleep,625,486
JPN. J. CANCER RES.,,626,487
Journal of dental research,J. Dent. Res.,627,332
Therapeutic advances in respiratory disease,Ther Adv Respir Dis,628,488
Cancer Epidemiology Biomarkers and Prevention,,629,489
,,630,3
,,631,3
Onkologie,Onkologie,632,490
Rheumatology (United Kingdom),Rheumatology,633,491
,,634,3
Neurol Res,Neurological research,635,492
Helicobacter,Helicobacter,636,493
Haematologica,,637,147
The Australian journal of rural health,Aust J Rural Health,638,494
,,639,3
Journal of medicinal chemistry,J. Med. Chem.,640,495
Journal of Women's Health (15409996),,641,496
"Public health nursing (Boston, Mass.)",Public Health Nurs,642,480
Circulation,Circulation,643,497
Acta dermato-venereologica,Acta Derm. Venereol.,644,498
,,645,3
Protein science : a publication of the Protein Society,Protein Sci.,646,499
"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,647,500
"JAAPA: Journal of the American Academy of Physician Assistants (Haymarket Media, Inc.)",,648,501
American journal of infection control,Am J Infect Control,649,502
Journal of Aging & Physical Activity,,650,503
"Hepatology (Baltimore, Md.)",Hepatology,651,504
Microb Drug Resist,,652,505
Stroke; a journal of cerebral circulation,Stroke,653,506
J Grad Med Educ,Journal of graduate medical education,654,507
Health & Social Work,,655,508
"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",Nephrol. Dial. Transplant.,656,168
Oral oncology,Oral Oncol.,657,509
Stroke; a journal of cerebral circulation,Stroke,658,506
Current drug targets,Curr Drug Targets,659,510
Epilepsy research,Epilepsy Res.,660,511
,,661,3
The Journal of heart valve disease,J. Heart Valve Dis.,662,512
PLoS One,PloS one,663,25
Academic radiology,Acad Radiol,664,513
,,665,3
Chinese Journal of Evidence-Based Medicine,Chin.J.Evid.-Based Med.,666,514
American Journal of Education,,667,515
Cases J,Cases journal,668,516
,,669,3
,,670,3
,,671,3
Acta Derm.-Venereol.,,672,517
Environmental monitoring and assessment,Environ Monit Assess,673,518
Acta Neurol Scand,Acta neurologica Scandinavica,674,519
,,675,3
,,676,3
,,677,3
,,678,3
Journal of Experimental Psychology: General,,679,520
Science and Children,,680,521
Basic and Clinical Pharmacology and Toxicology,,681,522
Health Education Research,,682,523
Infection and immunity,Infect. Immun.,683,524
,,684,3
Photomedicine and laser surgery,Photomed Laser Surg,685,525
Eastern Mediterranean Health Journal,,686,526
J Bone Joint Surg Am,The Journal of bone and joint surgery. American volume,687,527
"Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics",Oral Surg Oral Med Oral Pathol Oral Radiol Endod,688,528
,,689,3
Clinical radiology,Clin Radiol,690,529
Vaccine,,691,530
FASEB Journal. Conference: Experimental Biology,,692,531
Blood pressure monitoring,Blood Press Monit,693,532
Psicothema,Psicothema,694,533
Am J Public Health,,695,534
J Anal Toxicol,Journal of analytical toxicology,696,535
Energy Policy,,697,295
,,698,3
Business Wire,,699,536
,,700,3
"Respirology (Carlton, Vic.)",Respirology,701,537
Cochrane Database Syst Rev,,702,15
,,703,3
BioMed research international,Biomed Res Int,704,288
J Appl Physiol,Journal of applied physiology,705,538
Annals of medicine,Ann. Med.,706,539
European journal of clinical nutrition,Eur J Clin Nutr,707,540
Journal of personality and social psychology,J Pers Soc Psychol,708,541
J Hand Surg Am,The Journal of hand surgery,709,542
Physiotherapy Theory and Practice,Physiother. Theory Pract.,710,543
,,711,3
BMC neurology,BMC Neurol,712,544
,,713,3
Nicotine & Tobacco Research,,714,545
Pharmacy practice,Pharm Pract (Granada),715,546
NeuroRehabilitation,NeuroRehabilitation,716,547
Microsurgery,Microsurgery,717,548
International Journal of Neuroscience,Int.J.Neurosci.,718,549
Bjog,BJOG : an international journal of obstetrics and gynaecology,719,550
Behaviour Research and Therapy,,720,551
J Pediatr (Rio J),Jornal de pediatria,721,552
Journal of Cardiovascular Electrophysiology,,722,553
Molecular plant pathology,Mol. Plant Pathol.,723,554
,,724,3
,,725,3
,,726,3
,,727,3
Bioelectromagnetics,Bioelectromagnetics,728,555
Journal of Mathematics Teacher Education,,729,556
,,730,3
Occupational and environmental medicine,Occup Environ Med,731,557
J. Clin. Psychiatry,,732,558
,,733,3
"Violencia contra a crianca: revelando o perfil dos atendimentos em servicos de emergencia, Brasil, 2006 e 2007.",,734,559
Birth,,735,560
Journal of addictive diseases,J Addict Dis,736,561
Psychosomatic medicine,Psychosom Med,737,562
J. Clin. Oncol.,,738,563
J Hosp Infect,The Journal of hospital infection,739,564
Australian and New Zealand Journal of Psychiatry,,740,565
,,741,3
,,742,3
,,743,3
DEV. BIOL. STAND.,,744,566
Circulation,Circulation,745,497
Ann Rheum Dis,Annals of the rheumatic diseases,746,567
,,747,3
Hawaii J Med Public Health,Hawai'i journal of medicine & public health : a journal of Asia Pacific Medicine & Public Health,748,568
"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz",Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,749,569
,,750,3
Diabetes forecast,Diabetes Forecast,751,570
,,752,3
Biomedical reports,Biomed Rep,753,571
Nihon Koshu Eisei Zasshi,[Nihon koshu eisei zasshi] Japanese journal of public health,754,572
Am J Health Syst Pharm,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,755,573
Oncology nursing forum,Oncol Nurs Forum,756,574
,,757,3
Nurs Stand,Nursing standard (Royal College of Nursing (Great Britain) : 1987),758,575
Value Health,,759,576
EXPERIMENTAL CELL RESEARCH,,760,577
Leukemia & Lymphoma,,761,578
RADIOLOGY,,762,579
,,763,3
Headache,Headache,764,580
Res Nurs Health,,765,581
,,766,3
No shinkei geka. Neurological surgery,,767,582
Circulation journal : official journal of the Japanese Circulation Society,Circ. J.,768,583
PLoS One,PloS one,769,25
Pr̩vention de l'insuffisance r̩nale induite par les produits de contrnste iodes,,770,584
Ann. Hematol.,,771,585
Journal of the National Cancer Institute,J. Natl. Cancer Inst.,772,158
"AIDS (London, England)",AIDS,773,586
"Oral surgery, oral medicine, and oral pathology",Oral Surg. Oral Med. Oral Pathol.,774,587
Arch Intern Med,Archives of internal medicine,775,588
,,776,3
,,777,3
,,778,3
Operative dentistry,Oper Dent,779,589
Mov Disord,Movement disorders : official journal of the Movement Disorder Society,780,590
Psychological assessment,Psychol Assess,781,591
,,782,3
Turkish Online Journal of Educational Technology - TOJET,,783,592
Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,,784,451
European Journal of Cancer,,785,593
Indian Journal of Psychiatry,,786,594
Stomatologii��a,Stomatologiia (Mosk),787,595
BMC medicine,BMC Med,788,596
,,789,3
"Oral surgery, oral medicine, oral pathology and oral radiology",Oral Surg Oral Med Oral Pathol Oral Radiol,790,597
"Journal of cardiovascular medicine (Hagerstown, Md.)",J Cardiovasc Med (Hagerstown),791,347
"Exposicion severa a plomo ambiental en una poblacion infantil de Antofagasta, Chile.",,792,598
Critical Care Nurse,,793,599
"Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine",Appl Radiat Isot,794,600
Journal of clinical epidemiology,J Clin Epidemiol,795,601
,,796,3
J Hand Surg Am,The Journal of hand surgery,797,542
,,798,3
European journal of preventive cardiology,Eur J Prev Cardiol,799,602
Journal of the National Cancer Institute,J. Natl. Cancer Inst.,800,158
Alcohol Research & Health,,801,603
,,802,3
European Journal of Cancer Care,,803,604
Brain and Language,,804,605
Chin. J. Evid.-Based Med.,,805,606
Angewandte Chemie (International ed. in English),Angew. Chem. Int. Ed. Engl.,806,607
Cardiology in the young,Cardiol Young,807,207
Issues Ment Health Nurs,,808,608
Das Mikorklima der Wohnungen und seine hygienische Normierung.,,809,609
,,810,3
,,811,3
,,812,3
Acta clinica Belgica,Acta Clin Belg,813,610
Journal of Biological Chemistry,,814,611
,,815,3
Journal of Oral & Maxillofacial Surgery,,816,612
Acta Endocrinologica. Supplementum,Acta Endocrinol Suppl (Copenh),817,613
,,818,3
Crit. Care Med.,,819,614
,,820,3
"Obesity (Silver Spring, Md.)",Obesity (Silver Spring),821,144
,,822,3
JAMA internal medicine,JAMA Intern Med,823,615
Journal of hypertension,J. Hypertens.,824,616
Thorax,Thorax,825,617
International Medicine & Health Guidance News [Guo Ji Yi Yao Wei Sheng Dao Bao],,826,618
Journal of the American Geriatrics Society,J Am Geriatr Soc,827,619
,,828,3
World journal for pediatric & congenital heart surgery,World J Pediatr Congenit Heart Surg,829,620
,,830,3
CANCER,,831,61
,,832,3
The American journal of medicine,Am. J. Med.,833,621
Intensive care medicine,Intensive Care Med,834,622
Clinical & Translational Oncology: Official Publication of the Federation of Spanish Oncology Societes & of the National Cancer Institute of Mexico,,835,623
Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,J. Bone Miner. Res.,836,624
Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology,Pediatr Allergy Immunol,837,625
"Shock (Augusta, Ga.)",Shock,838,626
,,839,3
,,840,3
The New England journal of medicine,N. Engl. J. Med.,841,627
Foot Ankle Int,Foot & ankle international,842,628
Military Medicine,,843,629
,,844,3
Focus on Alternative and Complementary Therapies,,845,135
Int J Surg,"International journal of surgery (London, England)",846,630
,,847,3
Ann Rheum Dis,Annals of the rheumatic diseases,848,567
,,849,3
International Journal of Oral & Maxillofacial Implants,,850,631
,,851,3
Circulation,Circulation,852,497
Human gene therapy,Hum. Gene Ther.,853,632
Respiration; international review of thoracic diseases,Respiration,854,32
,,855,3
,,856,3
Circulation,Circulation,857,497
Pediatrics,,858,311
Value in Health,,859,481
European respiratory journal,,860,633
Oral diseases,Oral Dis,861,634
Prediccion de la masa muscular apendicular esqueletica basado en mediciones antropometricas en Adultos Mayores Chilenos.,,862,635
"Tratamiento antibiotico intravenoso domiciliario del absceso hepatico: seguridad, eficacia y factores pronosticos de reingreso hospitalario.",,863,636
,,864,3
Pediatrics,Pediatrics,865,637
Cochrane Database Syst. Rev.,,866,42
Cancer chemotherapy and pharmacology,Cancer Chemother. Pharmacol.,867,90
Japanese Journal of Clinical Oncology,,868,638
,,869,3
Pediatric Infectious Disease Journal,,870,639
Bmj Open,,871,640
The Behavioral and brain sciences,Behav Brain Sci,872,641
,,873,3
Archives of gynecology and obstetrics,Arch. Gynecol. Obstet.,874,642
,,875,3
,,876,3
,,877,3
Psychological medicine,Psychol Med,878,643
Academic Medicine: Journal Of The Association Of American Medical Colleges,,879,644
Nepal Medical College journal : NMCJ,Nepal Med Coll J,880,67
Journal of Psychopharmacology,,881,645
Cost Effectiveness and Resource Allocation,,882,646
Nippon Seikeigeka Gakkai zasshi,,883,647
"Basic Rights: Subsistence, Affluence and U.S. Foreign Policy",,884,648
,,885,3
,,886,3
Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,Catheter Cardiovasc Interv,887,477
PLoS One,PloS one,888,25
Pain practice,,889,649
"Child: Care, Health & Development",,890,650
J Hand Surg Am,The Journal of hand surgery,891,542
,,892,3
The European respiratory journal,Eur. Respir. J.,893,479
,,894,3
Sci Eng Ethics,Science and engineering ethics,895,651
British journal of clinical pharmacology,Br J Clin Pharmacol,896,652
,,897,3
,,898,3
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,Clin. Infect. Dis.,899,653
Anesthesiology,,900,654
,,901,3
Reviews in endocrine & metabolic disorders,Rev Endocr Metab Disord,902,655
Autonomic Neuroscience: Basic and Clinical,Auton.Neurosc.Basic Clin.,903,656
Chest,Chest,904,657
Hospital practice (1995),,905,658
ProQuest LLC,,906,165
The journal of ECT,J ECT,907,659
Integrative Physiological and Behavioral Science,Integr. Physiol. Behav. Sci.,908,660
Cancer,Cancer,909,327
Proceedings of the National Academy of Sciences of the United States of America,Proc.Natl.Acad.Sci.U.S.A.,910,661
PLoS medicine,,911,662
Psychology of Women Quarterly,,912,663
European journal of radiology,Eur J Radiol,913,664
Psycho-oncology,Psychooncology,914,91
Bioelectromagnetics,Bioelectromagnetics,915,555
,,916,3
Journal of the American College of Cardiology,J. Am. Coll. Cardiol.,917,665
Anaesthesia,Anaesthesia,918,666
JAMA neurology,JAMA Neurol,919,667
La Pediatria medica e chirurgica : Medical and surgical pediatrics,Pediatr Med Chir,920,668
Drug Topics,,921,669
European respiratory journal,,922,633
J. Chin. Integr. Med.,,923,670
European Journal Of Anaesthesiology,Eur J Anaesthesiol,924,455
Functional Neurology,,925,140
Medical Teacher,,926,671
Pediatrics,,927,311
,,928,3
Neurosurgical Focus,Neurosurg,929,672
International journal of medical informatics,Int J Med Inform,930,673
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,J. Clin. Oncol.,931,20
,,932,3
,,933,3
,,934,3
JRSM open,JRSM Open,935,674
Am J Crit Care,"American journal of critical care : an official publication, American Association of Critical-Care Nurses",936,675
J Surg Res,The Journal of surgical research,937,676
Clin Nutr,"Clinical nutrition (Edinburgh, Scotland)",938,677
Chronic Illness,,939,678
Pharmacogenomics,,940,679
Tech Coloproctol,Techniques in coloproctology,941,680
Am. J. Ther.,,942,681
Aging Ment Health,,943,682
Journal of environmental monitoring : JEM,J Environ Monit,944,683
,,945,3
Journal of Consulting and Clinical Psychology,,946,178
,,947,3
,,948,3
,,949,3
PloS one,PLoS ONE,950,684
,,951,3
,,952,3
International journal of obesity (2005),Int J Obes (Lond),953,434
Neuropsychopharmacology,,954,685
J. Thromb. Haemost.,,955,686
Journal of Environmental Psychology,,956,687
Current opinion in pediatrics,Curr. Opin. Pediatr.,957,688
Annals of internal medicine,Ann. Intern. Med.,958,294
European journal of pediatrics,Eur. J. Pediatr.,959,689
Journal of Rheumatology,,960,690
Phytotherapy research : PTR,Phytother Res,961,691
Gait & Posture,,962,692
Current Opinion in Infectious Diseases,Curr.Opin.Infect.Dis.,963,693
Brain and behavior,Brain Behav,964,694
"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",J. Nucl. Med.,965,695
Laryngo- rhino- otologie,Laryngorhinootologie,966,696
Journal of health care for the poor and underserved,J Health Care Poor Underserved,967,697
Acta paediatrica Scandinavica. Supplement,Acta Paediatr Scand Suppl,968,698
Journal of Neurotrauma,,969,699
Pain Practice,,970,700
JOURNAL OF CELL BIOLOGY,J Cell Biol,971,701
Am. J. Cardiovasc. Drugs,,972,702
Planta,Planta,973,703
Surgical infections,Surg Infect (Larchmt),974,704
Steroids,Steroids,975,705
,,976,3
The Journal of antimicrobial chemotherapy,J. Antimicrob. Chemother.,977,706
GeneReviews(R),,978,707
Endocrinology,Endocrinology,979,182
Proceedings of SPIE - The International Society for Optical Engineering,,980,708
Clin Obstet Gynecol,Clinical obstetrics and gynecology,981,709
Int J Epidemiol,International journal of epidemiology,982,710
Am J Clin Nutr,The American journal of clinical nutrition,983,340
Biology of Blood and Marrow Transplantation,Biol.Blood Marrow Transplant.,984,711
British Journal of Anaesthesia,Br.J.Anaesth.,985,712
,,986,3
J Hum Hypertens,Journal of human hypertension,987,713
,,988,3
"Acta radiologica (Stockholm, Sweden : 1987)",Acta Radiol,989,714
Am J Clin Nutr,The American journal of clinical nutrition,990,340
American journal of respiratory and critical care medicine,Am. J. Respir. Crit. Care Med.,991,715
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,Tumour Biol.,992,241
CLINICAL TRIALS,,993,716
Burns : journal of the International Society for Burn Injuries,Burns,994,717
Am Rev Respir Dis,The American review of respiratory disease,995,718
Review of Scientific Instruments,,996,719
Female pelvic medicine & reconstructive surgery,Female Pelvic Med Reconstr Surg,997,720
International Journal of Colorectal Disease,,998,721
European Journal of Health Economics,,999,722
