Genre,Filming Locations,original_index,unique_index
"Action,Adventure,Crime","Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",683,633
"Action,Adventure,Drama","Monterey, California, USA",684,634
"Drama,Thriller,Western","Yuma, Arizona, USA",685,635
"Documentary,Crime,Drama",,686,636
Documentary,,687,26
"Documentary,Biography","California, USA",688,637
Horror,"Utah, USA",689,638
Documentary,,690,26
"Action,Crime,Drama","527 Loring Ave, Los Angeles, California, USA",691,639
Documentary,"Fairhaven, Massachusetts, USA",692,640
"Action,Adventure,Biography","Ait Benhaddou, Morocco",693,641
"Action,Adventure,Drama","Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",694,642
Drama,"Los Angeles, California, USA",695,109
"Crime,Drama,Thriller",,696,643
"Crime,Drama,Thriller","The Vista Theatre - 4473 Sunset Drive, Los Angeles, California, USA",697,644
"Adventure,Sci-Fi,Thriller","Jurassic Kahili Ranch, Kilauea, Kauai, Hawaii, USA",698,645
"Action,Adventure","Palazzi Barbaro, Grand Canal, Venice, Veneto, Italy",699,646
"Drama,Action & Adventure,Romance,Comedy","Barrandov Studios, Prague, Czech Republic",700,647
"Comedy,Romance",Canada,701,648
"Action,Adventure,Sci-Fi","Montreal, Québec, Canada",702,649
"Documentary,Biography,Comedy",,703,650
"Action,Sci-Fi","California, USA",704,651
"Action,Sci-Fi","Fontana, California, USA",705,652
"Adventure,Fantasy",,706,653
Documentary,"Los Angeles, California, USA",707,11
Documentary,"Secaucus, New Jersey, USA",708,654
"Comedy,Horror","Arches National Park, Moab, Utah, USA",709,655
"Comedy,Horror","637 S Lucerne Blvd, Los Angeles, California, USA",710,656
"Biography,Drama,History","Chateau de Versailles, Versailles, Yvelines, France",711,657
Horror,"Altadena, California, USA",712,658
"Drama,Thriller","Jerusalem, Israel",713,659
"Mystery,Thriller","Limelite Studios, Miami, Florida, USA",714,660
"Crime,Drama,Romance","Seattle, Washington, USA",715,661
"Crime,Sci-Fi,Thriller","Martins Ferry, Ohio, USA",716,662
"Documentary,Drama,Mystery",,717,663
"Action,Thriller","Lacy Street Production Center - 2630 Lacy Street, Los Angeles, California, USA",718,664
"Comedy,Crime,Drama",,719,665
"Documentary,Action,History","Los Angeles, California, USA",720,666
"Comedy,Horror,Sci-Fi","Medina, Ohio, USA",721,667
"Comedy,Drama","Pensacola, Florida, USA",722,668
Drama,"Cuernavaca, Morelos, Mexico",723,669
"Comedy,Drama,Romance","North Carolina, USA",724,670
"Comedy,Drama,Romance","Athens, Georgia, USA",725,671
Comedy,"Los Angeles, California, USA",726,337
Comedy,"Los Angeles, California, USA",727,337
"Comedy,Crime","Rae's Restaurant, 2901 Pico Boulevard, Santa Monica, California, USA",728,672
"Comedy,Drama,Thriller","Buena Park, California, USA",729,673
"Biography,Drama","Abandoned train station, Memphis, Tennessee, USA",730,674
"Crime,Drama,Thriller","Asheville, North Carolina, USA",731,675
Drama,"Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA",732,676
"Action,Adventure,Fantasy","Longcross Studios, Chobham Lane, Longcross, Surrey, England, UK",733,677
"Mystery,Sci-Fi,Thriller","Agua Dulce, California, USA",734,678
"Mystery,Thriller","Alaska, USA",735,679
"Horror,Sci-Fi","Courthouse Square, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",736,680
"Action,Drama,Horror",,737,681
"Fantasy,Horror,Sci-Fi",,738,682
"Action,Mystery,Romance","Sedona, Arizona, USA",739,683
"Adventure,Crime,Drama","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",740,684
Western,"Aspen, Colorado, USA",741,685
"Romance,Western","Santa Clarita, California, USA",742,686
"Biography,Drama,History","Janss Conejo Ranch, Thousand Oaks, California, USA",743,687
Western,"California Studios - 5530 Melrose Avenue, Hollywood, Los Angeles, California, USA",744,688
"Comedy,Short",,745,689
Comedy,"Central Park, Manhattan, New York City, New York, USA",746,690
Comedy,"Portland, Oregon, USA",747,691
"Documentary,Comedy,Horror",,748,692
"Comedy,Horror","1261 South Victoria Avenue, Los Angeles, California, USA",749,693
"Fantasy,Horror,Sci-Fi","Los Angeles, California, USA",750,245
"Comedy,Horror,Thriller","Phoenix, Arizona, USA",751,694
Horror,"New Jersey, USA",752,695
Horror,"Tucson, Arizona, USA",753,696
"Drama,Music,Musical","Eagan, Minnesota, USA",754,697
"Crime,Drama,Fantasy","Molly's Reach, 647 School Road, Gibsons, British Columbia, Canada",755,698
"Documentary,Crime","Conroe, Texas, USA",756,699
Drama,"Montréal, Québec, Canada",757,700
"Horror,Mystery,Thriller","534 Lewis Street, Monroe, Washington, USA",758,701
"Comedy,Drama","Los Angeles, California, USA",759,702
"Comedy,Horror,Mystery","Universal Studios - 100 Universal City Plaza, Universal City, California, USA",760,703
"Comedy,Romance","McGregor, Iowa, USA",761,704
"Action,Adventure,Drama","Tucson, Arizona, USA",762,705
Drama,"Charleston, South Carolina, USA",763,706
"Comedy,Drama,Romance","Shutters on the Beach - 1 Pico Blvd., Santa Monica, California, USA",764,707
Drama,"Monmouth County, New Jersey, USA",765,708
"Action & Adventure,Comedy","Santa Clarita, California, USA",766,709
Sci-Fi,"Portland, Oregon, USA",767,710
"Drama,Horror,Sci-Fi","Bensenville, Illinois, USA",768,711
Western,"Alabama Hills, Lone Pine, California, USA",769,215
Western,"Dijon Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",770,712
Drama,"Grafton, Utah, USA",771,713
"Action,Comedy,Crime","Irwindale, California, USA",772,714
"Comedy,Drama","Los Angeles, California, USA",773,702
"Comedy,Romance","Santa Clarita, California, USA",774,224
"Drama,Music,Mystery","Portland, Oregon, USA",775,715
Drama,"Union Station - 800 NW 6th Avenue, Portland, Oregon, USA",776,716
"Action,Adventure,Fantasy","Backlot, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",777,717
"Adventure,Comedy,Sci-Fi","Sofia, Bulgaria",778,718
"Action,Crime,Drama","California, USA",779,719
Comedy,"Bora Bora, Leeward Islands, French Polynesia",780,720
"Horror,Romance,Sci-Fi","Universal Studios - 100 Universal City Plaza, Universal City, California, USA",781,721
"Action,Adventure,Family","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",782,722
Drama,,783,47
Drama,,784,47
"Adventure,Comedy,Sci-Fi","Austin Convention Center - 500 E. Cesar Chavez Street, Austin, Texas, USA",785,723
"Animation,Comedy,Family",,786,20
"Comedy,Family,Sci-Fi","Los Angeles, California, USA",787,724
"Documentary,Biography,Family","Austin, Texas, USA",788,725
Comedy,"Georgia, USA",789,726
"Animation,Adventure,Family",,790,138
"Comedy,Drama,Family","New York City, New York, USA",791,727
"Comedy,Crime,Family","Los Angeles, California, USA",792,728
"Adventure,Family,Fantasy","Leavesden Studios, Leavesden, Hertfordshire, England, UK",793,729
Family,,794,730
"Animation,Comedy,Family",,795,20
"Comedy,Romance","Falmouth, Massachusetts, USA",796,731
"Comedy,Drama","Sportsmen's Lodge - 12825 Ventura Blvd., Studio City, Los Angeles, California, USA",797,732
"Adventure,Comedy,Family","Burwood, Sydney, New South Wales, Australia",798,733
"Comedy,Family,Romance","Calabasas, California, USA",799,734
"Comedy,Drama,Romance","2nd Ave & E 56th St, New York City, New York, USA",800,735
"Comedy,Family,Sport","Los Angeles, California, USA",801,736
"Comedy,Family","Los Angeles, California, USA",802,737
"Documentary,Drama,Family",,803,738
"Documentary,Biography,Drama",,804,739
"Documentary,Biography,Family",,805,740
"Documentary,Biography,Family","Chicago, Illinois, USA",806,741
"Comedy,Crime,Romance","608 Vallombrosa Dr, Pasadena, California, USA",807,742
"Animation,Adventure,Comedy",,808,99
"Documentary,Biography,Family","Athens, Greece",809,743
"Documentary,Biography,Family",,810,740
"Animation,Adventure,Comedy","Savannah, Georgia, USA",811,744
"Animation,Adventure,Comedy",,812,99
"Animation,Comedy,Family",,813,20
"Animation,Adventure,Comedy",,814,99
"Animation,Adventure,Comedy",,815,99
"Animation,Comedy,Family",,816,20
"Comedy,Drama,Romance","Hawaii, USA",817,745
"Animation,Family,Comedy",,818,746
"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy",,819,747
"Animation,Adventure,Comedy",,820,99
"Animation,Action,Adventure",,821,142
"Action,Adventure,Sci-Fi","Alaska, USA",822,748
"Animation,Adventure,Comedy","Emeryville, California, USA",823,749
"Animation,Adventure,Comedy",,824,99
"Animation,Adventure,Comedy",,825,99
"Animation,Adventure,Family",,826,138
"Animation,Adventure,Comedy",,827,99
"Animation,Adventure,Comedy",,828,99
"Animation,Action,Comedy",,829,750
"Drama,Family,Fantasy","Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",830,751
"Drama,Sport","Joe Robbie Stadium - 2269 NW 199th Street, Miami, Florida, USA",831,752
"Comedy,Drama,Family","Administration Building, Monmouth College - 45 Elm Road, West Long Branch, New Jersey, USA",832,753
"Comedy,Family","Los Angeles, California, USA",833,737
"Adventure,Comedy,Family","London, England, UK",834,754
"Animation,Adventure,Comedy","Carnival Dream, Carnival Cruise Line, Port Canaveral, Florida, USA",835,755
Comedy,"Santa Clarita, California, USA",836,179
"Animation,Family,Fantasy",,837,612
"Comedy,Crime,Drama","Bosque Farms, New Mexico, USA",838,756
"Adventure,Family,Fantasy","Gold Coast, Queensland, Australia",839,757
"Comedy,Family,Fantasy","Los Angeles, California, USA",840,758
"Action,Adventure,Family","Vancouver, British Columbia, Canada",841,759
"Documentary,Biography,Family",,842,740
"Animation,Comedy,Family",,843,20
"Animation,Comedy,Family",,844,20
"Animation,Adventure,Comedy",,845,99
"Animation,Adventure,Comedy",,846,99
Comedy,"4120 Friedrich Lane, Austin, Texas, USA",847,760
"Animation,Comedy,Fantasy","Los Angeles, California, USA",848,761
"Comedy,Family,Sci-Fi","Roosevelt Field, Garden City, Long Island, New York, USA",849,762
"Comedy,Fantasy","City Hall - 14410 Sylvan Street, Van Nuys, Los Angeles, California, USA",850,763
"Family,Comedy","Calabasas, California, USA",851,764
"Animation,Adventure,Drama",,852,136
"Comedy,Family,Music","Los Angeles, California, USA",853,765
"Action,Adventure,Comedy","Santa Cruz, California, USA",854,766
"Animation,Adventure,Comedy","Woodhill Forest, Woodhill, Auckland, New Zealand",855,767
"Comedy,Drama,Music","Evanston, Wyoming, USA",856,768
"Drama,Kids & Family",,857,769
"Documentary,Drama,Family",,858,738
"Documentary,Drama,Family",,859,738
"Documentary,Biography,Family","London, England, UK",860,770
"Documentary,Biography,Family",,861,740
"Comedy,Drama,Fantasy",,862,771
"Documentary,Family",Botswana,863,772
"Documentary,Adventure,Family",,864,773
"Documentary,Drama,Family","Alsace, France",865,774
"Documentary,Drama,Family",,866,738
"Documentary,History,Music","Boston, Massachusetts, USA",867,775
"Animation,Adventure,Comedy","Olde Town Conyers, Georgia, USA",868,776
"Animation,Action,Adventure",,869,142
Comedy,"Portland, Oregon, USA",870,691
"Animation,Comedy,Drama",,871,777
"Animation,Comedy,Family",,872,20
"Animation,Adventure,Comedy","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",873,21
"Animation,Action,Adventure",,874,142
"Adventure,Family,Fantasy","Shepperton Studios, Shepperton, Surrey, England, UK",875,778
"Drama,Family",,876,779
"Animation,Adventure,Comedy","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",877,21
"Drama,Family,Thriller","New York City, New York, USA",878,780
"Adventure,Family","Asheville, North Carolina, USA",879,781
Comedy,"Molalla, Oregon, USA",880,782
"Animation,Action,Adventure",,881,142
"Animation,Adventure,Comedy","Santa Clarita, California, USA",882,783
"Animation,Action,Adventure",,883,142
"Animation,Adventure,Comedy",,884,99
"Animation,Romance",,885,784
"Animation,Adventure,Comedy",,886,99
"Animation,Comedy,Family",,887,20
"Animation,Adventure,Comedy",,888,99
"Animation,Adventure,Comedy","White Plains, New York, USA",889,785
"Action,Adventure,Horror","Joliette, Québec, Canada",890,786
"Animation,Adventure,Comedy","California, USA",891,787
"Animation,Adventure,Comedy",,892,99
"Animation,Adventure,Comedy","Los Angeles, California, USA",893,140
"Animation,Adventure,Comedy","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",894,21
"Animation,Adventure,Comedy","Glendale, California, USA",895,788
"Animation,Action,Adventure",,896,142
"Adventure,Comedy,Sci-Fi","Santa Clarita, California, USA",897,789
"Animation,Adventure,Comedy","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",898,21
"Animation,Action,Adventure","Fox Studios, Moore Park, Sydney, New South Wales, Australia",899,790
"Animation,Adventure,Comedy","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",900,21
"Animation,Adventure,Family","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",901,791
"Action,Adventure,Drama","Ile de Gorée, Dakar, Senegal",902,792
"Animation,Adventure,Comedy","Walt Disney Feature Animation Florida, Walt Disney World, Lake Buena Vista, Florida, USA",903,793
"Comedy,Drama,War","John Show Ranch, Woodland Hills, Los Angeles, California, USA",904,794
"Animation,Action,Adventure",,905,142
"Animation,Action,Adventure",,906,142
"Animation,Adventure,Comedy",,907,99
"Animation,Adventure,Comedy",,908,99
"Animation,Action,Adventure",,909,142
"Animation,Adventure,Comedy",,910,99
"Animation,Adventure,Comedy",,911,99
"Action & Adventure,Science Fiction & Fantasy","Cary, North Carolina, USA",912,795
"Action,Adventure,Sci-Fi","Pinewood Toronto Studios, Port Lands, Toronto, Ontario, Canada",913,796
"Action,Adventure,Fantasy","Hamakua Coast, Hawaii, USA",914,797
"Action,Sci-Fi,Thriller",South Africa,915,798
"Action,Adventure,Fantasy","Lone Pine, California, USA",916,799
"Action,Adventure,Sci-Fi","D.C. Stages, 1360 East 6th Street, Downtown, Los Angeles, California, USA",917,800
"Action,Drama,Sci-Fi","Wellington, New Zealand",918,801
"Action,Adventure,Sci-Fi","Lawrence Livermore National Laboratory - 7000 East Avenue, Livermore, California, USA",919,802
"Action,Adventure,Sci-Fi","Santa Clarita, California, USA",920,803
"Action,Adventure,Sci-Fi","Englefield House, Theale, Reading, Berkshire, England, UK",921,804
"Animation,Comedy,Family","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",922,805
"Animation,Action,Adventure","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",923,806
"Animation,Adventure,Comedy","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",924,21
"Animation,Kids & Family,Comedy",,925,807
"Animation,Adventure,Comedy","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",926,21
"Action,Adventure,Fantasy","Buttercup Valley, California, USA",927,808
Drama,"Church of St. Ignatius Loyola, New York City, New York, USA",928,809
"Animation,Comedy,Family","875 Third Avenue, New York City, New York, USA",929,810
"Action,Adventure,Family","Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",930,811
"Biography,Drama,Thriller","Long Beach Polytechnic High School - 1600 Atlantic Avenue, Long Beach, California, USA",931,812
"Crime,Drama","The St. James's tower, 415 East 54th Street, Manhattan, New York City, New York, USA",932,813
"Action,Crime,Drama","Arlington, Virginia, USA",933,814
"Drama,History,Thriller","Arlington National Cemetery, Arlington, Virginia, USA",934,815
"Biography,Drama,History","Millennium Studios- 300 Douglas Street, Shreveport, Louisiana, USA",935,816
"Drama,Sport,Thriller","8 Old Fulton Street, Brooklyn, New York City, New York, USA",936,817
"Action,Drama,Sport","Abilene, Texas, USA",937,818
"Drama,Thriller","Belt Parkway, Brooklyn, New York City, New York, USA",938,819
"Crime,Drama","Dock Lane, Kings Point, Long Island, New York, USA",939,820
"Drama,Mystery,Thriller","50th Floor, Continental Tower, Continental Plaza, Wall Street, Manhattan, New York City, New York, USA",940,821
"Comedy,Sport","Baltimore, Maryland, USA",941,822
"Action,Crime,Drama","New York, USA",942,823
"Biography,Drama,Family","Bertelsmann, Salzburg, Salzburg, Austria",943,824
Comedy,"Agoura, California, USA",944,825
"Family,Fantasy,Musical","Emmy-Noether-Straße, Munich, Germany",945,826
"Animation,Adventure,Family","Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",946,827
"Comedy,Family,Fantasy","Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",947,828
"Adventure,Comedy,Drama","23 Egerton Terrace, Kensington, London, England, UK",948,829
"Comedy,Crime","San Francisco, California, USA",949,830
"Drama,Family","Clearwater Beach, Florida, USA",950,831
"Action,Adventure,Comedy","American Museum of Natural History - Central Park West at 79th Street, Manhattan, New York City, New York, USA",951,832
Comedy,"Radio City Music Hall - 1260 6th Avenue, Rockefeller Center, Manhattan, New York City, New York, USA",952,833
"Comedy,Drama,Family","North Carolina, USA",953,834
"Adventure,Family,Fantasy","Adrspach National Park, Trutnov, Czech Republic",954,835
"Comedy,Family","656 Lincoln Avenue, Winnetka, Illinois, USA",955,836
"Action,Adventure,Comedy","American Museum of Natural History - Central Park West at 79th Street, Manhattan, New York City, New York, USA",956,832
"Documentary,Crime","Taiji, Higashimuro, Wakayama, Japan",957,837
"Adventure,Comedy,Family",UK,958,838
"Adventure,Comedy,Family","3333 N Lakewood Blvd, Long Beach, California, USA",959,839
"Adventure,Family,Fantasy","London, England, UK",960,840
"Adventure,Family,Fantasy","Olde Woolen Mill - 10 Canal Street, North Berwick, Maine, USA",961,841
"Animation,Adventure,Comedy","Times Square, Manhattan, New York City, New York, USA",962,842
"Animation,Adventure,Comedy","Paris, France",963,843
"Animation,Comedy,Family",,964,20
"Adventure,Comedy,Family","Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",965,844
"Animation,Kids & Family,Comedy","St. Andrews Bungalow Court, Hollywood, Los Angeles, California, USA",966,845
"Animation,Comedy,Family","Paris, France",967,846
"Comedy,Family,Fantasy","Castle Howard, Coneysthorpe, North Yorkshire, England, UK",968,847
"Animation,Adventure,Comedy","Los Angeles, California, USA",969,140
"Animation,Adventure,Comedy","Culver City, California, USA",970,848
"Comedy,Family,Fantasy","Elm Street, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",971,849
"Comedy,Music","Chicago, Illinois, USA",972,850
"Animation,Comedy,Musical",,973,851
Comedy,"New York City, New York, USA",974,154
Comedy,"Los Angeles, California, USA",975,337
Comedy,"Compton Apartments - Washington Avenue, Miami, Florida, USA",976,852
"Action,Adventure,Comedy","Hollywood, Los Angeles, California, USA",977,853
"Comedy,Music","San Fernando, California, USA",978,854
"Animation,Action,Comedy","Arlington National Cemetery, Arlington, Virginia, USA",979,855
"Adventure,Comedy","777 Ranch - 1829 County Road 432, Hondo, Texas, USA",980,856
"Animation,Adventure,Comedy",,981,99
Comedy,"Brooklyn, New York City, New York, USA",982,857
Comedy,"California, USA",983,379
"Action,Comedy,Crime","Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",984,858
"Animation,Adventure,Comedy",,985,99
"Animation,Comedy,Family",,986,20
"Animation,Adventure,Comedy",,987,99
"Comedy,Sci-Fi","Boulder, Colorado, USA",988,859
Comedy,"Columbia University - Broadway & 116th Street, Manhattan, New York City, New York, USA",989,860
"Animation,Comedy,Family",,990,20
"Comedy,Drama","Asbury Park, New Jersey, USA",991,861
Comedy,"Alpine, New Jersey, USA",992,862
Comedy,"Brill Building - 1619 Broadway, Manhattan, New York City, New York, USA",993,863
"Adventure,Comedy,Family","Downey Studios - 12214 Lakewood Boulevard, Downey, California, USA",994,864
"Adventure,Comedy,Family","Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",995,865
"Adventure,Family,Fantasy","Montréal, Québec, Canada",996,866
"Animation,Adventure,Drama","Fox Animation Studios - 2747 E. Camelback Road, Phoenix, Arizona, USA",997,867
"Comedy,Kids & Family","Buckinghamshire, England, UK",998,868
"Comedy,Family,Romance","Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",999,869
"Adventure,Family,Fantasy","Kinlochewe, Highland, Scotland, UK",1000,870
"Comedy,Family,Fantasy","Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",1001,871
"Animation,Adventure,Family",,1002,138
"Adventure,Comedy,Family","Aurora, Ontario, Canada",1003,872
"Action,Adventure,Comedy","Waimea Bay, Waimea Bay Beach Park, O'ahu, Hawaii, USA",1004,873
"Comedy,Family,Fantasy","New York City, New York, USA",1005,874
"Comedy,Family","357 S. Lorraine Blvd., Los Angeles, California, USA",1006,875
"Action,Adventure,Family","Cité du Cinéma, Montréal, Québec, Canada",1007,876
"Animation,Adventure,Comedy",,1008,99
"Action,Comedy,Family","Albuquerque, New Mexico, USA",1009,877
"Action,Adventure,Family","Planet Hollywood Resort and Casino - 3667 Las Vegas Boulevard South, Las Vegas, Nevada, USA",1010,878
"Comedy,Family,Sport","1 Charles St. South, Boston, Massachusetts, USA",1011,879
"Action,Comedy,Drama","Showline Studios, Toronto, Ontario, Canada",1012,880
"Action,Adventure,Family","Barrandov Studios, Prague, Czech Republic",1013,881
"Animation,Adventure,Comedy","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",1014,21
"Action,Sci-Fi","Tunnel at Lower Grand & West Gen Thad Kosciuszko Way, Los Angeles, California, USA",1015,882
"Action,Adventure,Fantasy","Banks, Oregon, USA",1016,883
"Animation,Adventure,Drama",,1017,136
"Animation,Adventure,Comedy","Burbank, California, USA",1018,884
"Action,Horror,Sci-Fi","Jalisco, Mexico",1019,885
"Family,Fantasy","Pirates World Amusement Park - Sheridan Street, Dania, Florida, USA",1020,886
"Comedy,Fantasy,Romance","Kent Theater, 1170 Coney Island Avenue, Ocean Parkway, Brooklyn, New York City, New York, USA",1021,887
"Comedy,Drama","5th Avenue, Manhattan, New York City, New York, USA",1022,888
"Animation,Family,Drama",,1023,889
"Comedy,Family",,1024,890
"Comedy,Crime","City of Industry, California, USA",1025,891
"Comedy,Romance","Rose Bowl - 1001 Rose Bowl Drive, Pasadena, California, USA",1026,892
"Comedy,Drama,Fantasy","New York City, New York, USA",1027,60
Comedy,"Aspen, Colorado, USA",1028,893
"Comedy,Romance","Chicago, Illinois, USA",1029,894
Comedy,"Richmond, Vermont, USA",1030,895
"Action,Comedy,Family","Miami, Florida, USA",1031,896
"Animation,Comedy,Drama",,1032,777
"Animation,Adventure,Family",,1033,138
"Animation,Adventure,Comedy",,1034,99
"Adventure,Family,Fantasy","Twyecross, Leicestershire, England, UK",1035,897
"Animation,Adventure,Comedy","Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",1036,898
"Animation,Family,Fantasy",,1037,612
"Animation,Family,Fantasy",Ireland,1038,899
"Animation,Comedy,Drama",,1039,777
"Animation,Adventure,Crime",,1040,900
"Animation,Adventure,Family",,1041,138
"Family,Animation,Fantasy",,1042,901
"Comedy,Family,Fantasy",Australia,1043,902
"Action,Comedy,Family","Santa Monica High School - 601 Pico Boulevard, Santa Monica, California, USA",1044,903
"Family,Comedy",South Africa,1045,904
"Family,Comedy,Action","Hikone, Shiga, Japan",1046,905
"Comedy,Action,Family",,1047,906
"Action,Comedy,Family","Alcatraz Prison, Alcatraz Island, San Francisco Bay, California, USA",1048,907
"Documentary,Drama,Family",,1049,738
"Documentary,Comedy,Family","Waiheke Island, Auckland Region, New Zealand",1050,908
"Documentary,Biography,Family",,1051,740
Family,,1052,730
"Comedy,Family,Romance",,1053,909
"Drama,Family","Howell, Michigan, USA",1054,910
"Comedy,Family,Romance",,1055,909
"Documentary,Drama,Family",,1056,738
"Drama,Family,Music","Connecticut, USA",1057,911
"Documentary,Crime,Family",,1058,912
"Action,Adventure,Mystery","Chandler Valley Center Studios - 13927 Saticoy Street, Van Nuys, Los Angeles, California, USA",1059,913
"Comedy,Drama,Family","San Francisco, California, USA",1060,914
"Family,Documentary",,1061,915
Music,,1062,916
Family,Botswana,1063,917
"Documentary,Family",,1064,918
"Documentary,Comedy,Family","Franklin, Pennsylvania, USA",1065,919
"Documentary,Drama,Kids & Family,Special Interest","San Jose, California, USA",1066,920
"Comedy,Family","General Service Studios - 1040 N. Las Palmas, Hollywood, Los Angeles, California, USA",1067,921
"Documentary,Family,History",,1068,922
"Documentary,Biography,Family",,1069,740
"Comedy,Drama,Family",,1070,923
"Documentary,Biography,Comedy",,1071,650
"Documentary,Biography,Drama",,1072,739
"Comedy,Sci-Fi",,1073,924
"Documentary,Family","Delhi, India",1074,925
"Documentary,Crime,Drama","Texas, USA",1075,926
"Documentary,Biography,History",,1076,45
"Animation,Action,Adventure",,1077,142
"Comedy,Family","Truckee River, California, USA",1078,927
"Animation,Family,Adventure",,1079,928
"Animation,Adventure,Family",,1080,138
"Comedy,Drama","Brezice, Slovenia",1081,929
"Animation,Adventure,Family",,1082,138
"Animation,Comedy,Family",,1083,20
"Animation,Adventure,Comedy",,1084,99
"Comedy,Crime,Sci-Fi","Los Alamos, California, USA",1085,930
"Animation,Family",,1086,931
"Animation,Adventure,Family",,1087,138
"Documentary,Family",,1088,918
"Animation,Action,Adventure",,1089,142
"Animation,Adventure,Comedy","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",1090,21
"Animation,Adventure,Family",,1091,138
"Family,Fantasy,Adventure",,1092,932
"Family,Sport","Los Angeles, California, USA",1093,933
"Animation,Family,Fantasy",,1094,612
"Drama,Family","Admiral Farragut Academy, St. Petersburg, Florida, USA",1095,934
"Adventure,Comedy,Family","Calgary, Alberta, Canada",1096,935
"Action,Adventure,Family",,1097,936
"Comedy,Drama","Bedford, New York, USA",1098,937
"Drama,Thriller",,1099,938
"Mystery,Thriller","Los Angeles, California, USA",1100,939
Comedy,"Hamilton, Ontario, Canada",1101,940
"Action,Crime,Drama","Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA",1102,941
"Action,Sci-Fi","Santa Clarita, California, USA",1103,942
"Crime,Drama,Thriller","Clay County, West Virginia, USA",1104,943
"Drama,Romance,Sci-Fi","123 Valentine Lane, Yonkers, New York, USA",1105,944
"Drama,War","Norfolk Broads, Norfolk, England, UK",1106,945
"Adventure,Drama,War","Babelsberg, Potsdam, Brandenburg, Germany",1107,946
"Crime,Drama","1435 Flower Street, Glendale, California, USA",1108,947
"Crime,Drama","2206 Meade Place, Venice Beach, Los Angeles, California, USA",1109,948
"Crime,Drama","4459 Eagle Rock Blvd, Los Angeles, California, USA",1110,949
"Drama,Romance","11388 Homedale Street, Brentwood, Los Angeles, California, USA",1111,950
Horror,"Epcot Center, Walt Disney World, Lake Buena Vista, Florida, USA",1112,951
"Crime,Drama","Manhattan, New York City, New York, USA",1113,952
"Adventure,Drama,History","Bavaria Studios, Bavariafilmplatz 7, Geiselgasteig, Grünwald, Bavaria, Germany",1114,953
"Animation,Adventure,Comedy",,1115,99
"Action,Adventure","Borehamwood, Hertfordshire, England, UK",1116,954
"Animation,Comedy,Family","Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",1117,955
"Animation,Adventure,Comedy",,1118,99
"Animation,Adventure,Family","San Francisco, California, USA",1119,956
"Animation,Comedy,Family",,1120,20
"Animation,Family,Fantasy","San Francisco, California, USA",1121,957
"Animation,Adventure,Comedy","Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA",1122,958
"Animation,Adventure,Comedy",,1123,99
"Animation,Adventure,Comedy",,1124,99
"Drama,Sci-Fi","24/7 Productions, 1413 Cole, Hollywood, Los Angeles, California, USA",1125,959
"Drama,Sci-Fi,Thriller","Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",1126,960
"Adventure,Horror,Mystery","Cinecittà Studios, Cinecittà, Rome, Lazio, Italy",1127,961
Horror,"Grand Manan Island, New Brunswick, Canada",1128,962
"Biography,Crime,Drama","Fort St.Elmo, Valletta, Malta",1129,963
"Drama,Music,War","Bay Area, San Francisco, California, USA",1130,964
