Creator,original_index,unique_index
"Mark Feldberg,Mitchell Klebanoff",1398,1247
"Chris Matheson,Ed Solomon",1399,1248
"Chris Matheson,Ed Solomon",1400,1248
"Tim Herlihy,Adam Sandler",1401,1249
"Bonnie Turner,Terry Turner",1402,1250
"David Zucker,Robert LoCash",1403,1251
"Richard Maibaum,Michael G. Wilson",1404,1252
Bruce Feirstein,1405,1253
Steve Shagan,1406,1254
"Steve Faber,Bob Fisher",1407,1255
"Nicolás López,Eli Roth",1408,1256
Rawson Marshall Thurber,1409,1257
"Jeff Cox,Craig Cox",1410,1258
"Will Ferrell,Adam McKay",1411,1259
"Will Ferrell,Adam McKay",1412,1259
"Will Ferrell,Adam McKay",1413,1259
"Will Ferrell,Adam McKay",1414,1259
"Tim Herlihy,Adam Sandler",1415,1249
Trey Parker,1416,1260
"Sacha Baron Cohen,Anthony Hines",1417,903
Fernley Phillips,1418,1261
"Shawn Wayans,Marlon Wayans",1419,1262
Mike White,1420,1263
"John Hamburg,Larry Stuckey",1421,1264
"Sacha Baron Cohen,Alec Berg",1422,1265
Adam Herz,1423,1266
"Sacha Baron Cohen,Dan Mazer",1424,1267
George Arthur Bloom,1425,1268
"Chris Denk,Ben Gluck",1426,1269
"Eli Roth,Randy Pearlstein",1427,1270
"Eli Roth,Eli Roth",1428,1271
"Corey Edwards,Cory Edwards,Todd Edwards,Tony Leech",1429,1272
"William Hanna,Joseph Barbera",1430,1273
"Mark Burton,Adam F. Goldberg",1431,1274
"Dr. Seuss,Jeffrey Price",1432,1275
"Chris Weitz,Philip Pullman",1433,1276
"Charles Dickens,Robert Zemeckis",1434,1277
"Allan Knee,David Magee",1435,1278
Robert Mark Kamen,1436,1279
"Steven Spielberg,Chris Columbus",1437,1280
"Peter Buchman,Christopher Paolini",1438,1281
"Jeff Stockwell,David Paterson",1439,1282
"Chris Van Allsburg,David Koepp",1440,1283
"David Lindsay-Abaire,Cornelia Funke",1441,1284
"Philip LaZebnik,Nicholas Meyer",1442,1285
Zach Helm,1443,561
"Penelope Spheeris,Robert Wolterstorff",1444,1286
"Mitch Rotter,Sam Schreiber",1445,1287
"Meg Cabot,Hadley Davis",1446,1288
"Ron Burch,David Kidd",1447,1289
Geoff Rodkey,1448,1290
"Marc Guggenheim,Rick Riordan",1449,1291
"Brian Gunn,Mark Gunn",1450,918
"Craig Titley,Rick Riordan",1451,1292
"Adam Rifkin,Joe Piscatella",1452,1293
Frederick Ayeroff,1453,1294
"Nick Bakay,Rock Reuben",1454,1295
"Steve Oedekerk,Steve Oedekerk",1455,1296
"Osamu Tezuka,David Bowers",1456,1297
"Bob Barlen,Cal Brunker",1457,1298
"John A. Davis,John Nickle",1458,1299
"Christopher Murphey,Robert Mark Kamen",1459,1300
"John D. Brancato,Michael Ferris",1460,1174
"James Cameron,David Giler",1461,1301
"James Cameron,Gale Anne Hurd",1462,928
"Dan O'Bannon,Ronald Shusett",1463,1302
"Dan O'Bannon,Ronald Shusett",1464,1302
"Philip K. Dick,Ronald Shusett",1465,1303
"Jeph Loeb,Matthew Weisman",1466,1304
"Claude Zidi,Simon Michaël",1467,1305
"Dan O'Bannon,Ronald Shusett",1468,1302
"Jim Thomas,John Thomas",1469,932
"Alex Litvak,Michael Finch",1470,1306
"Edward Neumeier,Michael Miner",1471,1307
"Stephen King,Steven E. de Souza",1472,1308
"Kathy Borland,Kathy Pilon",1473,1309
"Melanie Simka,Mychal Simka",1474,1310
Hans Christian Andersen,1475,933
"Lawrence Kasanoff,Joshua Wexler",1476,1311
"Scott Stabile,Kenn Viselman",1477,1312
Sylvester Stallone,1478,1313
"Forrest S. Baker III,Ray Goldrup",1479,1314
"Don Oriolo,Pete Brown",1480,1315
"James Marshall,Harry Allard",1481,1316
"Dan Aykroyd,Dave Thomas",1482,1317
Nae Caranfil,1483,1318
"Juan de Dios Garduño,Alberto Marini",1484,1319
Frank Hall Green,1485,1320
Lillie Hayward,1486,1321
"Eric Knight,Martin Berkeley",1487,1322
"John Korty,Bill Couturié",1488,1323
"Ed Turner,B. Kline",1489,1324
"John Requa,Glenn Ficarra",1490,1325
"Sean Anders,John Morris",1491,919
"Harold Ramis,Douglas Kenney",1492,1326
Dan Gordon,1493,1327
"Paul Michael Glaser,Christian Ford",1494,1328
Rory Johnston,1495,1329
"Neil Tolkin,Tom S. Parker",1496,1330
"Coke Sams,Bruce Arntson",1497,1331
"John Patrick Shanley,Hudson Talbott",1498,1332
"Daniel P. Mannix,Larry Clemmons",1499,1333
"Peter Young,Vance Gerry",1500,1334
"Margery Sharp,Larry Clemmons",1501,1335
"Cliff Ruby,Elana Lesser",1502,1336
"Brian Nissen,Richard Rich",1503,1337
"Rae Lambert,Mark Young",1504,1338
"Mark Young,Kelly Ward",1505,1339
"Richard Rich,Brian Nissen",1506,1340
"Dennis Lee,Jim Henson",1507,1341
"Karin Howard,Michael Ende",1508,1342
"Jim Cox,Diana Young",1509,1343
"Vera Chapman,Kirk De Micco",1510,1344
"Brian Nissen,Brian Nissen",1511,1345
"Jim Cox,Tim Disney",1512,1346
"Skip Woods,Michael Finch",1513,1347
"Max Joseph,Meaghan Oppenheimer",1514,1348
"Peter Dickinson,Gordon R. Dickson",1515,1349
"Lloyd Alexander,David Jonas",1516,1350
"John Quaintance,Jessica O'Toole",1517,1351
"Andrew Fleming,Tiffany Paulsen",1518,1352
"Michael McQuown,Heather Robinson",1519,1353
"Steven Brill,Kenneth Johnson",1520,1354
Holly Goldberg Sloan,1521,1355
Sam Harper,1522,1356
"James Ferguson,Robert Shallcross",1523,1357
"Kevin Eastman,Peter Laird",1524,1358
"Steven Brill,Steven Brill",1525,1359
Steven Brill,1526,1360
"Blake Snyder,Colby Carr",1527,1361
"Scot Lewis,Jeff Phillips",1528,1362
"John R. Cherry III,Coke Sams",1529,1363
"Charles Gale,John Cherry,Coke Sams,Daniel Butler",1530,1364
"Paul Henning,Lawrence Konner",1531,1365
"John R. Cherry III,William M. Akers",1532,1366
John R. Cherry III,1533,1367
Charlie Cohen,1534,1368
"Robert Mark Kamen,Mark Lee",1535,1369
Tim Kelleher,1536,1370
"Tim Rasmussen,Vince Di Meglio",1537,1371
"Cormac Wibberley,Marianne Wibberley",1538,1372
"John Requa,Glenn Ficarra",1539,1325
"Kate Angelo,Jason Segel",1540,1373
"Greg Coolidge,Jason Mantzoukas",1541,1374
"Dan Sterling,Seth Rogen",1542,1375
K.B. Montgomery,1543,1376
"Jeremy Garelick,Jay Lavender",1544,1377
"Roger Spottiswoode,Walter Hill",1545,1378
Jason Bruce Delaney,1546,1379
"Danilo Bach,Daniel Petrie Jr.",1547,1380
Ulli Lommel,1548,1381
"Danilo Bach,Daniel Petrie Jr.",1549,1380
"Maclain Nelson,Maclain Nelson",1550,1382
Paul Kaitson,1551,1383
"Kate Murdoch,Kate Murdoch",1552,1384
"Stephen Shimek,Daryn Tufts",1553,1385
Julian Grant,1554,1386
"Scott Sandsberry,Scott Sandsberry",1555,1387
Darva Campbell,1556,1388
Carol Sobieski,1557,1389
Sean Huze,1558,1390
"Valarie Trapp,Peter Markle",1559,1391
Joel Paul Reisig,1560,1392
"Eddie Murphy,David Sheffield",1561,1393
"Janeen Damian,Michael Damian",1562,1394
Lovinder Gill,1563,1395
Mark Stouffer,1564,1396
Douglas Delaney,1565,1397
John Rogers,1566,1398
Cameron Crowe,1567,1399
Cameron Crowe,1568,1399
,1569,28
"Carl Reiner,George Gipe",1570,1400
Steve Royall,1571,1401
"Alexandra Boylan,John K.D. Graham",1572,1402
"David Baldacci,David Baldacci",1573,1403
"Edwin Davis,Henry Olek",1574,1404
,1575,28
"Jacqueline Kim,Jennifer Phang",1576,1405
"George Gipe,Steve Martin",1577,1406
"Rodney Dangerfield,Michael Endler",1578,1407
"Dan Aykroyd,John Landis",1579,1408
"Boris Pasternak,Robert Bolt",1580,1409
Paul Thomas Anderson,1581,1410
"Gideon Defoe,Gideon Defoe",1582,1411
Michael Baumgarten,1583,1412
Clara Mamet,1584,1413
"Jeff Phillips,Sean McNamara",1585,1414
"Tamar Halpern,Wendy Mass",1586,1415
Gina O'Brien,1587,1416
"Jerry Bryant,Jerry Bryant",1588,1417
James Algar,1589,1418
"Larry Lansburgh,Bill Walsh",1590,1419
"James Algar,Winston Hibler",1591,965
James Algar,1592,1418
James Algar,1593,1418
"James Algar,Winston Hibler",1594,965
"Sam Raimi,Scott Spiegel",1595,1420
Christopher Kenneally,1596,1421
"Anna Leonowens,Steve Meerson",1597,1422
"Keenen Ivory Wayans,Shawn Wayans",1598,1423
"Fujio F. Fujiko,Takashi Yamazaki",1599,1424
Ron Shelton,1600,1425
"Clancy Carlile,Clancy Carlile",1601,1426
"Andrew Klavan,Larry Gross",1602,1427
"Michael Connelly,Brian Helgeland",1603,1428
"Ken Kaufman,Howard Klausner",1604,1429
"Richard LaGravenese,Robert James Waller",1605,1430
Jack Paglen,1606,1431
"Richard Wenk,Michael Sloan",1607,1432
Arnie Gelbart,1608,1433
"Evan Daugherty,Vanessa Taylor",1609,1434
Kevin Reynolds,1610,1435
Steve Tesich,1611,1436
"Walter Farley,Steven Farley",1612,1437
"Carol Cawthra Hopcraft,Xan Hopcraft",1613,1438
"James Morris,Gene Quintano",1614,1439
"Natalie Babbitt,Jeffrey Lieber",1615,1440
"Jim Harrison,Jim Harrison",1616,1441
"Art Arthur,Alan Caillou",1617,1442
"James Oliver Curwood,Gérard Brach",1618,1443
"Joy Adamson,Lester Cole",1619,1444
"Bill Lishman,Robert Rodat",1620,1445
"John Travis,John Connolly",1621,1446
"Arthur A. Ross,Blake Edwards",1622,1447
Michael J. Wilson,1623,1448
"Lance Rivera,Marc Calixte",1624,1449
"Bruce A. Evans,Raynold Gideon",1625,1450
Mike Binder,1626,1451
"Josh Goldsmith,Cathy Yuspa",1627,1452
"Jeffrey Boam,Jeffrey Boam",1628,1453
Brian Helgeland,1629,1157
"Daniel Petrie Jr.,Danilo Bach",1630,1454
Dan Steadman,1631,1455
"Helene Klodawsky,Helene Klodawsky",1632,1456
"Donald E. Westlake,Brian Helgeland",1633,1457
"Shane Black,Jonathan Lemkin",1634,1458
Shlomi Eldar,1635,1459
"Andrew Davis,Steven Seagal",1636,1460
"Jeb Stuart,Jeb Stuart",1637,1461
Keith Hartman,1638,1462
David Lee Henry,1639,1463
Richard LeMay,1640,1464
,1641,28
"Ed Horowitz,Richard D'Ovidio",1642,1465
"Richard Hatem,Matt Reeves",1643,1466
"Ed Horowitz,Robin U. Russin",1644,1467
"Steven Seagal,Joe Halpin",1645,1468
"John Logan,Brian Selznick",1646,1469
"Steven Moffat,Edgar Wright",1647,1470
Woody Allen,1648,859
Steven McKay,1649,1471
Kevin Brodbin,1650,1472
Amy Sewell,1651,1473
"Jim Thomas,John Thomas",1652,932
"Wayne Beach,David Hodgin",1653,1474
"Paul Theroux,Paul Schrader",1654,1475
Bobbi Jo Hart,1655,1476
,1656,28
Angela Sun,1657,1477
Jose Antonio Vargas,1658,1478
David Sampliner,1659,1479
"Petra Costa,Carolina Ziskind",1660,1480
"Mehret Mandefro,Lacey Schwartz",1661,1481
"John D. MacDonald,James R. Webb",1662,1482
"Dennis Shryack,Michael Blodgett",1663,1483
Ron Nyswaner,1664,1484
"John Cleese,Charles Crichton",1665,1485
Daniel Taplitz,1666,1486
"Rashida Jones,Will McCormack",1667,1487
Steven Knight,1668,239
"Billy Ray,Richard Phillips",1669,1488
"Nancy Meyers,Charles Shyer",1670,1489
"Ricardo Arnaiz,Dulce Belchez",1671,1490
"Alvin Sargent,Laura Ziskin",1672,1491
"Michael A. Nickles,Julia Wall",1673,1492
,1674,28
"Brian De Palma,David Koepp",1675,1493
Karl Gajdusek,1676,1494
Paul Matthews,1677,1495
,1678,28
David Guggenheim,1679,570
Jane Anderson,1680,1496
"Wim Wenders,Peter Handke",1681,1497
"David N. Weiss,J. David Stem",1682,1498
"J. David Stem,David N. Weiss",1683,887
Zachary Wyman,1684,1499
"Mark Steven Johnson,Mark Steven Johnson",1685,1500
Robert Kirbyson,1686,1501
Robert Shallcross,1687,1502
"John O'Brien,Mike Figgis",1688,1503
Bernard Rose,1689,1504
"Roberts Gannaway,Peggy Holmes",1690,1505
"Boaz Davidson,James Townsend",1691,1506
"Joseph Finder,Yuri Zeltser",1692,1507
Jim Fitzpatrick,1693,1508
Allan Loeb,1694,1509
"Timothy Michaels,Jamie McLaughlin",1695,1510
"James Patterson,David Klass",1696,1511
James R. Gorrie,1697,1512
"John Milius,Francis Ford Coppola",1698,1513
"Steven Gary Banks,Claudia Grazioso",1699,1514
"David Schmidt,Steven P. Wegner",1700,1515
"David DiGilio,Toshirô Ishidô",1701,1516
"Geoff Rodkey,J. David Stem",1702,1517
"Kevin DiCicco,Paul Tamasy",1703,1518
"Harold Cronk,Eric Machiela",1704,1519
"Dito Montiel,Dito Montiel",1705,1520
"Amir Hafizi,Chuck Powers",1706,1521
"Mark Richard,Kimberly Peirce",1707,1522
"Benjamin Font,Robert Schwartzman",1708,1523
Susan McMartin,1709,1524
"Paige Cameron,Paul Duddridge",1710,1525
David N. White,1711,1526
Katherine Fugate,1712,1527
Chris Hauty,1713,1528
"Colin Frizzell,Ed Gass-Donnelly",1714,1529
Scott 'Smitty' Smith,1715,1530
Kevin Smith,1716,189
Kevin Smith,1717,189
Michael Andrews,1718,1531
Kevin Smith,1719,189
Marc Lawrence,1720,1532
"Robert Harling,Robert Harling",1721,1533
"Lawrence Konner,Mark Rosenthal",1722,1534
Richard Curtis,1723,1535
Ronald Bass,1724,1536
"J.F. Lawton,Stephen Metcalfe",1725,1537
"Josann McGibbon,Sara Parriott",1726,1538
"Billy Crystal,Peter Tolan",1727,1539
"Marti Leimbach,Richard Friedenberg",1728,1540
"Duane Adler,Melissa Rosenberg",1729,1541
"Ethan Coen,Joel Coen",1730,1542
"Deborah Moggach,Tom Stoppard",1731,1543
Paul Logan,1732,1544
"Brian Duffield,Anthony Tambakis",1733,1545
"David Magee,Simon Beaufoy",1734,1546
"August Strindberg,Liv Ullmann",1735,1547
"Ali Eagle,Dominique Roberts",1736,1548
Scott Coffey,1737,1549
Paul Carter Harrison,1738,1550
"Ryan Coogler,Aaron Covington",1739,1551
"Melissa Rauch,Winston Rauch",1740,1552
"Al Pacino,Oscar Wilde",1741,1553
Angelina Jolie,1742,1554
"Tom McCarthy,Josh Singer",1743,1555
"Bruce Cook,John McNamara",1744,1556
Eric Johnson,1745,1557
"Peter Landesman,Gary Webb",1746,1558
"Mikko Alanne,Craig Borten",1747,1559
"Creighton Rothenberger,Katrin Benedikt",1748,1560
"Kieran Fitzgerald,Luke Harding",1749,1561
"Ronnie Christensen,Amy Sorlie",1750,1562
"Scott Alexander,Larry Karaszewski",1751,405
"Christopher Cleveland,Bettina Gilois",1752,1156
"Thomas Hardy,David Nicholls",1753,1563
Noah Baumbach,1754,1564
George A. Pappy Jr.,1755,1565
P.J. Hogan,1756,1566
"Michael Armbruster,Shawn Ku",1757,1567
Dennis Lee,1758,1568
"Richard Price,Tom Rob Smith",1759,1569
"Huck Botko,Caroline Sherman",1760,1570
"Ernest R. Dickerson,Gerard Brown",1761,1571
George Tillman Jr.,1762,1572
Bobby Smith Jr.,1763,1573
John Singleton,1764,1574
"Ice Cube,DJ Pooh",1765,1575
"Allen Hughes,Albert Hughes",1766,1576
"Jeff Pollack,Benny Medina",1767,1577
"Kevin Hart,Na'im Lynn",1768,1578
Theodore Witcher,1769,1579
John Singleton,1770,1574
"Thomas Lee Wright,Thomas Lee Wright",1771,1580
"Stephen Milburn Anderson,Donald Bakeer",1772,1581
"Allen Hughes,Albert Hughes",1773,1576
Andrew Niccol,1774,1138
"Chuck Palahniuk,Jim Uhls",1775,1582
"Christopher Nolan,Jonathan Nolan",1776,1583
"Stanley Kubrick,Terry Southern",1777,1584
"Hampton Fancher,David Webb Peoples",1778,1585
"Mario Puzo,Francis Ford Coppola",1779,1586
Robert Rodat,1780,1587
"Thomas Keneally,Steven Zaillian",1781,1588
"Sean Hood,Mark Garbett",1782,1589
Christopher Nolan,1783,1590
Oliver Stone,1784,1049
"Nicholas Pileggi,Nicholas Pileggi",1785,1173
"Nick Schenk,Dave Johannson",1786,1591
"Terence Winter,Jordan Belfort",1787,1592
"Homer,David Benioff",1788,1593
Quentin Tarantino,1789,290
"Jonathan Nolan,Christopher Nolan",1790,128
"Quentin Tarantino,Quentin Tarantino",1791,1594
"Oren Moverman,Michael A. Lerner",1792,1595
"Stephen King,Frank Darabont",1793,1596
"Quentin Tarantino,Quentin Tarantino",1794,1594
Andrew Pozza,1795,1597
"Akiva Goldsman,Sylvia Nasar",1796,1598
"Judith Guest,Alvin Sargent",1797,1599
"Jake LaMotta,Joseph Carter",1798,1600
David S. Ward,1799,1183
William Goldman,1800,1601
"Donn Pearce,Frank Pierson",1801,1602
William Roberts,1802,1603
David Webb Peoples,1803,1604
"Sidney Buchman,Lewis R. Foster",1804,1605
"Dalton Trumbo,Lorenzo Semple Jr.",1805,1606
"Rupert Goold,David Kajganich",1806,1607
"Stirling Silliphant,John Ball",1807,1608
Alan Jay Lerner,1808,1609
"Alan Jay Lerner,Frederick Loewe",1809,1610
"Larry McMurtry,James L. Brooks",1810,1611
"John Madden,Ol Parker",1811,1612
"Bill Condon,Bob Fosse",1812,1613
"Francis Ford Coppola,Edmund H. North",1813,1614
"Karen Blixen,Judith Thurman",1814,1615
"Waldo Salt,James Leo Herlihy",1815,1616
"David Koepp,George Lucas",1816,1617
"Charlie Peters,Jill Ciment",1817,1618
"Jymn Magon,Jymn Magon",1818,1619
"Tim McCanlies,Brad Bird",1819,1620
Anya Kochoff,1820,1621
Kate Angelo,1821,1622
"Douglas J. Eboch,C. Jay Cox",1822,1623
Jordan Cahan,1823,1624
Sarah Thorp,1824,1625
Michael LeSieur,1825,1626
Bruce Joel Rubin,1826,1627
"Bruce Joel Rubin,Michael Tolkin",1827,1628
David I. Stern,1828,1629
David I. Stern,1829,1629
"Karen McCullah,Kirsten Smith",1830,1630
"Pat Rushin,Terry Gilliam",1831,1631
"Alfred Gough,Miles Millar",1832,1632
Dan Schaffer,1833,1633
"Philip K. Dick,Scott Frank",1834,1634
"Philip K. Dick,Dean Georgaris",1835,1635
David Twohy,1836,1636
"Ramin Bahrani,Hallie Elizabeth Newton",1837,1637
"Garin Hovannisian,Alec Mouhibian",1838,1638
"Mark Rosman,Bobby Fine",1839,1639
"Fritz Gordon,Robert Hiltzik",1840,461
Mark Bedrosian,1841,1640
Rita Mae Brown,1842,1641
"Lewis Abernathy,Lewis Abernathy",1843,1642
David E. Kelley,1844,1643
Stephen Sommers,1845,603
"Skip Hollandsworth,Richard Linklater",1846,1644
"Chuck Pfarrer,Chuck Pfarrer",1847,1645
"Chauncey G. Parker III,Brian Taggert",1848,1646
"Douglas Preston,Lincoln Child",1849,1647
,1850,28
James Cameron,1851,846
"Colin Wilson,Dan O'Bannon",1852,1648
"Edward Neumeier,Michael Miner",1853,1307
Broderick Miller,1854,1649
"Tracy Letts,Tracy Letts",1855,1650
"Dan O'Bannon,Don Jakoby",1856,1651
"Jeff Millar,Alex Stern",1857,1652
"Curtis Hanson,Henry Rosenbaum",1858,1653
"Oscar Wilde,H.P. Lovecraft",1859,1654
"H.P. Lovecraft,C. Courtney Joyner",1860,1655
,1861,28
"S.R. Bindler,Mark Gustawes",1862,1656
"Andrew Dominik,George V. Higgins",1863,1657
Jeff Nichols,1864,1658
"E.A. Ellington,Jo Eisinger",1865,1659
Brent Hanley,1866,1660
"William Wharton,Gary David Goldberg",1867,1661
Spike Jonze,1868,1662
"Will De Los Santos,Creighton Vero",1869,1663
"Walt Curtis,Gus Van Sant",1870,1664
"William Shakespeare,Gus Van Sant",1871,1665
Gus Van Sant,1872,1666
"Tom Robbins,Gus Van Sant",1873,1667
"Gus Van Sant,Blake Nelson",1874,1668
"Vincent Gallo,Vincent Gallo",1875,1669
"Joyce Maynard,Buck Henry",1876,1670
Gus Van Sant,1877,1666
"S.E. Hinton,Charles S. Haas",1878,1671
"S.E. Hinton,S.E. Hinton",1879,1672
"Casey Affleck,Matt Damon",1880,1673
,1881,28
"William Golding,Jay Presson Allen",1882,1674
"Michael Petroni,Matt Baglio",1883,1675
David Benioff,1884,1676
"Jonathan Mostow,Jonathan Mostow",1885,1677
Werner Herzog,1886,602
Kurt Wimmer,1887,559
"Peter Rader,David Twohy",1888,1678
"Halsted Welles,Michael Brandt",1889,1679
"Ernest Tidyman,John Singleton",1890,1680
"Jim Wheat,Ken Wheat",1891,1681
"Bob Kane,David S. Goyer",1892,1682
"John Grisham,Akiva Goldsman",1893,1683
"Michael Ferris,John D. Brancato",1894,1684
David Ayer,1895,1685
"Steve Kloves,J.K. Rowling",1896,1117
"Peter Benchley,Carl Gottlieb",1897,1686
"Michael Crichton,David Koepp",1898,1687
Bob Nelson,1899,1688
"Michael Crichton,Peter Buchman",1900,1689
"Walter Wager,Steven E. de Souza",1901,1690
"Mark Bomback,Mark Bomback",1902,1691
"William Goldman,William Goldman",1903,1692
"Fran Walsh,Philippa Boyens",1904,1079
J. Neil Schulman,1905,1693
Kevin Sommerfield,1906,1694
,1907,28
Clarence Aaron 'Tod' Robbins,1908,1695
Ruth Rose,1909,1696
Eric Nicholas,1910,1697
,1911,28
"James Ashmore Creelman,Ruth Rose",1912,137
"John Jacoby,Samuel Hoffenstein,John Jacolby,Eric Taylor,Hans Jacoby",1913,1698
"H.G. Wells,Joe May",1914,1699
"Edward T. Lowe Jr.,Curt Siodmak",1915,1700
"J.B. Priestley,Benn W. Levy",1916,1701
"John Colton,Robert Harris",1917,1702
"Scott Darling,Eric Taylor",1918,1703
"Samuel Hoffenstein,Percy Heath",1919,1704
"Gary Hawkins,Larry Brown",1920,1705
Carlos Brooks,1921,1706
"Melissa Rosenberg,Stephenie Meyer",1922,1707
Steven Katz,1923,1708
"Andy Stock,Rick Stempson",1924,1709
"James Watkins,David Hilton",1925,1710
"Georgina Lightning,Christine K. Walker",1926,1711
"Maya Forbes,Wallace Wolodarsky",1927,818
"Chris Henchy,Dennis McNicholas",1928,1712
"Morgan Klein,Peter Knight",1929,1713
"Judd Apatow,Jake Kasdan",1930,1714
"Eric Taylor,Curt Siodmak",1931,1715
"Garrett Fort,Bram Stoker",1932,1716
"Robert Lees,Frederic I. Rinaldo",1933,1717
Edward T. Lowe Jr.,1934,1718
"Griffin Jay,Griffin Jay",1935,1719
"Bernard Schubert,Leon Abrams",1936,1720
"Ted Sherdeman,Russell S. Hughes",1937,1721
"Kathryn Ann Thomas,Christopher Coppola",1938,1722
"Arthur A. Ross,Arthur A. Ross",1939,1723
"Martin Berkeley,William Alland",1940,730
"John O'Brien,John O'Brien",1941,1724
"Neil P. Varnick,Griffin Jay",1942,1725
Rudy De Luca,1943,1726
Samuel Fuller,1944,1727
"Robert Ben Garant,Thomas Lennon",1945,881
"Richard Yates,William Roberts",1946,1728
"James Clavell,Howard Koch",1947,1729
"Louis Garfinkle,Deric Washburn",1948,1730
Craig Mazin,1949,1731
"Margaret Mitchell,Sidney Howard",1950,1732
"Budd Schulberg,Budd Schulberg",1951,1733
"Harry Julian Fink,Rita M. Fink",1952,1734
"Harry Julian Fink,Rita M. Fink",1953,1734
"Harry Julian Fink,Rita M. Fink",1954,1734
"Budd Boetticher,Albert Maltz",1955,1735
James Carabatsos,1956,1736
"Herman Miller,Dean Riesner",1957,1737
"Leonard Freeman,Mel Goldberg",1958,1738
Elmore Leonard,1959,1739
"Edward Anhalt,Irwin Shaw",1960,1740
"James A. Michener,Harry A. Burns",1961,1741
"Harold Ramis,Gene Stupnitsky",1962,1742
Clint Orr,1963,1743
"Adi Hasak,Luc Besson",1964,1744
"Scott Marshall Smith,Scott Marshall Smith",1965,1745
Tom McCarthy,1966,1746
Spike Lee,1967,467
Antwone Fisher,1968,1747
"Robert Eisele,Robert Eisele",1969,1748
Nicholas Kazan,1970,1749
David Collard,1971,1750
"Richard Condon,George Axelrod",1972,1751
"David Westheimer,Wendell Mayes",1973,1752
"Amanda Brown,Eve Ahlert",1974,1753
John Fusco,1975,1141
"Thom Enriquez,John Harrison",1976,1754
"Robert Louis Stevenson,John Lee Mahin",1977,1755
"Francis Ford Coppola,Mario Puzo",1978,1756
"Vera Caspary,Jay Dratler",1979,1757
"James Warner Bellah,Willis Goldbeck",1980,1758
"Raymond Chandler,Czenzi Ormonde",1981,1759
"Davis Grubb,James Agee",1982,1760
"Mary Chase,Mary Chase",1983,1761
"Donald Ogden Stewart,Philip Barry",1984,1762
"Sidney Carroll,Robert Rossen",1985,1763
Ben Hecht,1986,1764
"Abby Mann,Abby Mann",1987,1765
"Amanda Brown,Karen McCullah",1988,1766
"Charles A. Lindbergh,Billy Wilder",1989,1767
"Billy Wilder,I.A.L. Diamond",1990,300
"Charles Brackett,Billy Wilder",1991,1050
"Gavin O'Connor,Anthony Tambakis",1992,1768
"Billy Wilder,I.A.L. Diamond",1993,300
"Ben Hecht,Charles MacArthur",1994,1769
"David Shaw,Billy Wilder,Charles Brackett,Robert Harari,Richard L. Breen",1995,1770
"Lajos Biró,Gilbert Gabriel",1996,1771
"Samuel A. Taylor,Billy Wilder",1997,1772
"Francis Veber,Francis Veber",1998,1773
"Charles Brackett,Billy Wilder",1999,1050
"Sydney Boehm,William P. McGivern",2000,1774
"Andrew Solt,Edmund H. North",2001,1775
"Ivan Goff,Ben Roberts",2002,1776
"Daniel Mainwaring,Daniel Mainwaring",2003,1777
"Robert Penn Warren,Robert Rossen",2004,1778
"Theodore Dreiser,Patrick Kearney,Michael Wilson,Harry Brown",2005,1779
"Laura Z. Hobson,Moss Hart",2006,1780
"Talbot Jennings,Jules Furthman",2007,1781
Paddy Chayefsky,2008,1782
"Dave Callaham,Wesley Strick",2009,1783
"Christopher Markus,Stephen McFeely",2010,307
"Orson Welles,Whit Masterson",2011,1784
"Rhett Reese,Paul Wernick",2012,397
Adam Mazer,2013,1785
"Tom J. Astle,Matt Ember",2014,761
"Ethan Reiff,Cyrus Voris",2015,1786
"John Huston,Dashiell Hammett",2016,1787
"Carl Foreman,John W. Cunningham",2017,1788
"Andrew J. Fenady,Andrew J. Fenady",2018,1789
"Ernest Hemingway,Jules Furthman",2019,1790
"Richard Brooks,John Huston",2020,1791
"Billy Wilder,George Axelrod",2021,1792
Peter Berg,2022,1793
"Samuel A. Taylor,Billy Wilder",2023,1772
"Truman Capote,George Axelrod",2024,1794
"Julien Duvivier,Henri Jeanson",2025,1795
"Ian McLellan Hunter,John Dighton",2026,1796
"Billy Wilder,I.A.L. Diamond",2027,300
Leonard Gershe,2028,1797
"Frederick Knott,Robert Carrington",2029,1798
"George Bradshaw,Harry Kurnitz",2030,1799
"Peter Stone,Peter Stone",2031,1800
"Robert Riskin,Samuel Hopkins Adams",2032,1801
Joseph L. Mankiewicz,2033,1802
Reginald Rose,2034,1803
"Robert Buckner,Oscar Hammerstein II",2035,1804
"Arthur Wimperis,George Froeschel",2036,1805
"Daphne Du Maurier,Robert E. Sherwood",2037,1806
"Arthur Conan Doyle,Billy Wilder",2038,1807
"Alexandre Breffort,Billy Wilder",2039,1808
"John Wexley,Warren Duff",2040,1809
"Stanley Kubrick,Calder Willingham",2041,1810
Charles Chaplin,2042,1811
"Ronald Roose,David Griffiths",2043,1812
"Margaret Buell Wilder,Margaret Buell Wilder",2044,1813
"Robert Riskin,George S. Kaufman",2045,1814
"Vicki Baum,William Absalom Drake",2046,1815
Norman Krasna,2047,1816
"Norman Reilly Raine,Heinz Herald",2048,1817
"Frank Butler,Frank Cavett",2049,1818
"Danny Rubin,Harold Ramis",2050,1819
"Heinrich Harrer,Becky Johnston",2051,1820
"Carol Hughes,David Hughes",2052,1821
