Condition,Stateavg,original_index,unique_index
heart failure,al_hf-4,751,18
pneumonia,al_pn-2,752,21
pneumonia,al_pn-3b,753,22
pneumonia,al_pn-4,754,23
pneumonia,al_pn-5c,755,24
pneumonia,al_pn-6,756,25
pneumonia,al_pn-7,757,26
surgical infection prevention,al_scip-card-2,758,0
surgical infection prevention,al_scip-inf-1,759,1
surgical infection prevention,al_scipxinfx2,760,91
surgical infection prevention,al_scip-inf-3,761,3
surgical infection prevention,al_scip-inf-4,762,4
surgical infection prevention,al_scip-inf-6,763,5
surgical infection prevention,al_scix-vte-1,764,92
surgical infection prevention,al_scip-vte-2,765,7
children s asthma care,al_cac-1,766,93
surgical infection prevention,al_scip-inf-1,767,1
surgical infection prevention,al_scip-inf-2,768,2
surgical infection prevention,al_scip-inf-3,769,3
surgical infection prevention,al_scip-inf-4,770,4
surgical infection prevention,al_scip-inf-6,771,5
surgical infection prevention,al_scip-vte-1,772,6
surgical infection prevention,al_scip-vte-2,773,7
children s asthma care,al_cac-1,774,93
children s asthma care,al_cac-2,775,43
children s asthma care,al_cac-3,776,44
heart attack,al_ami-1,777,8
heart attack,al_ami-2,778,9
heart attack,al_ami-3,779,10
heart attaxk,al_ami-4,780,94
heart attack,al_ami-5,781,12
heart attack,al_ami-7a,782,13
heart attack,al_ami-8a,783,14
heart failure,al_hf-1,784,15
heart failure,al_hf-2,785,16
heart failure,al_hf-3,786,17
heart failure,al_hf-x,787,95
pneumonia,al_pn-2,788,21
pneumonia,al_pn-3b,789,22
pneumonia,al_pn-4,790,23
pneumonia,al_pn-5c,791,24
pneumonia,al_pn-6,792,25
pneumonia,al_pn-7,793,26
surgical infection prevention,al_scip-card-2,794,0
surgical infection prevention,al_scip-inf-1,795,1
surgical infection prevention,xl_scip-inf-2,796,96
surgical infection prevention,al_scip-inf-3,797,3
surgical infection prevention,al_scip-inf-4,798,4
surgical infection prevention,al_scip-inf-6,799,5
surgical infection prevention,al_scip-vte-1,800,6
surgical infection prevention,al_scip-vte-2,801,7
heart attack,al_ami-1,802,8
heart attack,al_ami-2,803,9
heart attack,al_ami-3,804,10
heart attack,al_ami-4,805,11
heart attack,al_ami-5,806,12
heart attack,al_ami-7a,807,13
heart attack,al_ami-8a,808,14
heart failure,al_hf-1,809,15
heart failure,al_hf-2,810,16
heart failure,al_hf-3,811,17
heart failure,al_hf-4,812,18
pneumonia,al_pn-2,813,21
pneumonia,al_pn-3b,814,22
pneumonia,al_pn-4,815,23
pneumonia,al_pn-5c,816,24
pneumonia,al_pn-6,817,25
pneumonia,al_pn-7,818,26
surgical infection prevention,al_scip-card-2,819,0
surgical infection prevention,al_scip-inf-1,820,1
surgical infection prevention,al_scip-inf-2,821,2
surgical infection prevention,al_scip-inf-3,822,3
surgical infection prevention,al_scip-inf-4,823,4
surgical infection prevention,al_scip-inf-6,824,5
surgical infection prevention,al_scip-vte-1,825,6
surgical infection prevention,al_scip-vte-2,826,7
heart attack,xl_xmi-1,827,97
heart attack,al_ami-2,828,9
heart attack,al_ami-3,829,10
heart attack,al_ami-4,830,11
heart attack,al_ami-5,831,12
heart attack,al_ami-7a,832,13
heart attack,al_ami-8a,833,14
heart failure,al_hf-1,834,15
heart failure,al_hf-2,835,16
heart failure,al_hf-3,836,17
heart failure,al_hf-4,837,18
pneumonia,al_pn-2,838,21
pneumonia,al_pn-3b,839,22
pneumonia,al_pn-4,840,23
pneumonia,al_pn-5c,841,24
pneumonia,al_pnx6,842,98
pneumonia,al_pn-7,843,26
surgical infection prevention,al_scip-card-2,844,0
surgical infection prevention,al_scip-inf-1,845,1
surgical infection prevention,al_scip-inf-2,846,2
surgical infection prevention,al_scip-inf-3,847,3
surgical infection prevention,al_scip-inf-4,848,4
surgical infection prevention,al_scip-inf-6,849,5
surgical infection prevention,al_scip-vte-1,850,6
surgical infxction prxvxntion,al_scip-vte-2,851,99
heart attack,al_ami-1,852,8
heart attack,al_ami-2,853,9
heart attack,al_ami-3,854,10
heart attack,al_ami-4,855,11
heart attack,al_ami-5,856,12
heart attack,al_ami-7a,857,13
heart attack,al_ami-8a,858,14
heart failure,al_hf-1,859,15
heart failure,al_hf-2,860,16
heart failure,al_hf-3,861,17
heart failure,al_hf-4,862,18
pneumonia,al_pn-2,863,21
pneumonia,al_pn-3b,864,22
pneumonia,al_pn-4,865,23
pneumonia,al_pn-5c,866,24
pneumonia,al_pn-6,867,25
pneumonia,al_pn-7,868,26
surgical ixfectiox prevextiox,al_scip-card-2,869,80
surgical infection prevention,al_scip-inf-1,870,1
surgical infection prevention,al_scip-inf-2,871,2
surgical infection prevention,al_scip-inf-3,872,3
surgical infection prevention,al_scip-inf-4,873,4
surgical infection prevention,al_scip-inf-6,874,5
surgical infection prevention,al_scip-vte-1,875,6
surgical infection prevention,al_scip-vte-2,876,7
heart attack,al_ami-1,877,8
heart attack,al_ami-2,878,9
heart attack,al_ami-3,879,10
heart attack,al_ami-4,880,11
heart attack,al_ami-5,881,12
heart attack,al_ami-7a,882,13
heart attack,al_ami-8a,883,14
heart failure,al_hf-1,884,15
heart failure,al_hf-2,885,16
heart failure,al_hf-3,886,17
heart failure,al_hf-4,887,18
pneumonia,al_pn-2,888,21
pneumonia,al_pn-3b,889,22
pneumonia,al_pn-4,890,23
pneumonia,al_pn-5c,891,24
pneumonia,al_pn-6,892,25
pneumonia,al_pn-7,893,26
surgical infection prevention,al_scip-card-2,894,0
surgical infection prevention,al_scip-inf-1,895,1
surgical infection prevention,al_scip-inf-2,896,2
surgical infection prevention,al_scip-inf-3,897,3
surgical infection prevention,al_scip-inf-4,898,4
surgical infection prevention,al_scip-inf-6,899,5
surgical infection prevention,al_scip-vte-1,900,6
surgical infection prevention,al_scip-vte-2,901,7
children s asthma care,al_cac-1,902,93
children s asthma care,al_cac-2,903,43
children s asthma care,al_cac-3,904,44
heart attack,al_ami-1,905,8
heart attack,al_ami-2,906,9
heart attack,al_ami-3,907,10
heart attack,al_ami-4,908,11
heart attack,al_ami-5,909,12
heart attack,al_ami-7a,910,13
heart attack,al_ami-8a,911,14
heart failure,al_hf-1,912,15
heart failure,al_hf-2,913,16
heart failure,al_hf-3,914,17
heart failure,al_hf-4,915,18
pneumonia,al_pn-2,916,21
pneumonia,al_pn-3b,917,22
pneumonia,al_pn-4,918,23
pneumonia,al_pn-5c,919,24
pneumonia,alxpn-6,920,100
pneumonia,al_pn-7,921,26
surgical infection prevention,al_scip-card-2,922,0
surgical infection prevention,al_scip-inf-1,923,1
surgical infection prevention,al_scip-inf-2,924,2
surgical infection prevention,al_scip-inf-3,925,3
surgical infection prevention,al_scip-inf-4,926,4
surgical infection prevention,al_scip-inf-6,927,5
surgical infection prevention,al_scip-vte-1,928,6
surgical infection prevention,al_scip-vte-2,929,7
heart attack,al_ami-1,930,8
heart attack,al_ami-2,931,9
heart attack,al_ami-3,932,10
heart attack,al_ami-4,933,11
heart attack,al_ami-5,934,12
heart attack,al_ami-7a,935,13
heart attack,al_ami-8a,936,14
heart failure,al_hf-1,937,15
heart failure,al_hf-2,938,16
heart failure,al_hf-3,939,17
heart failure,al_hf-4,940,18
pneumonia,al_pn-2,941,21
pneumonia,al_pn-3b,942,22
pneumonia,al_pn-4,943,23
pneumonia,al_pn-5c,944,24
pneumonia,al_pn-6,945,25
pneumonia,al_pn-7,946,26
surgical infection prevention,al_scip-card-2,947,0
surgical infection prevention,al_scip-inf-1,948,1
surgical infection prevention,al_scip-inf-2,949,2
surgical infection prevention,al_scip-inf-3,950,3
surgical infection prevention,al_scip-inf-4,951,4
surgical infection prevention,al_scip-inf-6,952,5
surgical infection prevention,al_scip-vte-1,953,6
surgical infection prevention,al_scip-vte-2,954,7
hexrt attxck,al_ami-1,955,101
heart attack,al_ami-2,956,9
heart attack,al_ami-3,957,10
heart attack,al_ami-4,958,11
heart attack,al_ami-5,959,12
heart attack,al_ami-7a,960,13
heart attack,al_ami-8a,961,14
heart failure,al_hf-1,962,15
heart failure,al_hf-2,963,16
heart failure,al_hf-3,964,17
heart failure,al_hf-4,965,18
pneumonia,al_pn-2,966,21
pneumonia,al_pn-3b,967,22
pneumonia,al_pn-4,968,23
pneumonia,al_pn-5c,969,24
pneumonia,al_pn-6,970,25
pneumonia,al_pn-7,971,26
surgical infection prevention,al_scip-card-2,972,0
surgical infection prevention,al_scip-inf-1,973,1
surgical xnfection prevention,al_scip-inf-2,974,102
surgical infection prevention,al_scip-inf-3,975,3
surgical infection prevention,al_scip-inf-4,976,4
surgical infection prevention,al_scip-inf-6,977,5
surgical infection prevention,al_scip-vte-1,978,6
surgical infection prevention,al_scip-vte-2,979,7
heart attack,al_ami-1,980,8
heart attack,al_ami-2,981,9
heart attack,al_ami-3,982,10
heart attack,al_ami-4,983,11
heart attack,al_ami-5,984,12
heart attack,al_ami-7a,985,13
heart attack,al_ami-8a,986,14
heart failure,al_hf-1,987,15
heart failure,al_hf-2,988,16
heart failure,al_hf-3,989,17
heart failure,al_hf-4,990,18
pneumonia,al_pn-2,991,21
pneumonia,al_pn-3b,992,22
pneumonia,al_pn-4,993,23
pneumonia,al_pn-5c,994,24
pneumonia,al_pn-6,995,25
pneumonia,al_pn-7,996,26
surgical infection prevention,al_scip-card-2,997,0
surgical infection prevention,al_scip-inf-1,998,1
surgical infection prevention,al_scip-inf-2,999,2
