journal_title,original_index,unique_index
Prediccion de la masa muscular apendicular esqueletica basado en mediciones antropometricas en Adultos Mayores Chilenos.,862,634
"Tratamiento antibiotico intravenoso domiciliario del absceso hepatico: seguridad, eficacia y factores pronosticos de reingreso hospitalario.",863,635
,864,3
Pediatrics,865,311
Cochrane Database Syst. Rev.,866,42
Cancer chemotherapy and pharmacology,867,90
Japanese Journal of Clinical Oncology,868,636
,869,3
Pediatric Infectious Disease Journal,870,637
Bmj Open,871,638
The Behavioral and brain sciences,872,639
,873,3
Archives of gynecology and obstetrics,874,640
,875,3
,876,3
,877,3
Psychological medicine,878,641
Academic Medicine: Journal Of The Association Of American Medical Colleges,879,642
Nepal Medical College journal : NMCJ,880,67
Journal of Psychopharmacology,881,643
Cost Effectiveness and Resource Allocation,882,644
Nippon Seikeigeka Gakkai zasshi,883,645
"Basic Rights: Subsistence, Affluence and U.S. Foreign Policy",884,646
,885,3
,886,3
Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,887,477
PLoS One,888,25
Pain practice,889,647
"Child: Care, Health & Development",890,648
J Hand Surg Am,891,542
,892,3
The European respiratory journal,893,479
,894,3
Sci Eng Ethics,895,649
British journal of clinical pharmacology,896,650
,897,3
,898,3
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,899,651
Anesthesiology,900,652
,901,3
Reviews in endocrine & metabolic disorders,902,653
Autonomic Neuroscience: Basic and Clinical,903,654
Chest,904,216
Hospital practice (1995),905,655
ProQuest LLC,906,165
The journal of ECT,907,656
Integrative Physiological and Behavioral Science,908,657
Cancer,909,327
Proceedings of the National Academy of Sciences of the United States of America,910,658
PLoS medicine,911,659
Psychology of Women Quarterly,912,660
European journal of radiology,913,661
Psycho-oncology,914,91
Bioelectromagnetics,915,555
,916,3
Journal of the American College of Cardiology,917,662
Anaesthesia,918,663
JAMA neurology,919,664
La Pediatria medica e chirurgica : Medical and surgical pediatrics,920,665
Drug Topics,921,666
European respiratory journal,922,632
J. Chin. Integr. Med.,923,667
European Journal Of Anaesthesiology,924,455
Functional Neurology,925,140
Medical Teacher,926,668
Pediatrics,927,311
,928,3
Neurosurgical Focus,929,669
International journal of medical informatics,930,670
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,931,20
,932,3
,933,3
,934,3
JRSM open,935,671
Am J Crit Care,936,672
J Surg Res,937,673
Clin Nutr,938,674
Chronic Illness,939,675
Pharmacogenomics,940,457
Tech Coloproctol,941,676
Am. J. Ther.,942,677
Aging Ment Health,943,678
Journal of environmental monitoring : JEM,944,679
,945,3
Journal of Consulting and Clinical Psychology,946,178
,947,3
,948,3
,949,3
PloS one,950,680
,951,3
,952,3
International journal of obesity (2005),953,434
Neuropsychopharmacology,954,681
J. Thromb. Haemost.,955,682
Journal of Environmental Psychology,956,683
Current opinion in pediatrics,957,684
Annals of internal medicine,958,294
European journal of pediatrics,959,685
Journal of Rheumatology,960,686
Phytotherapy research : PTR,961,687
Gait & Posture,962,688
Current Opinion in Infectious Diseases,963,689
Brain and behavior,964,690
"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",965,691
Laryngo- rhino- otologie,966,692
Journal of health care for the poor and underserved,967,693
Acta paediatrica Scandinavica. Supplement,968,694
Journal of Neurotrauma,969,695
Pain Practice,970,696
JOURNAL OF CELL BIOLOGY,971,697
Am. J. Cardiovasc. Drugs,972,698
Planta,973,699
Surgical infections,974,700
Steroids,975,701
,976,3
The Journal of antimicrobial chemotherapy,977,702
GeneReviews(R),978,703
Endocrinology,979,182
Proceedings of SPIE - The International Society for Optical Engineering,980,704
Clin Obstet Gynecol,981,705
Int J Epidemiol,982,706
Am J Clin Nutr,983,340
Biology of Blood and Marrow Transplantation,984,707
British Journal of Anaesthesia,985,708
,986,3
J Hum Hypertens,987,709
,988,3
"Acta radiologica (Stockholm, Sweden : 1987)",989,710
Am J Clin Nutr,990,340
American journal of respiratory and critical care medicine,991,6
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,992,241
CLINICAL TRIALS,993,711
Burns : journal of the International Society for Burn Injuries,994,712
Am Rev Respir Dis,995,713
Review of Scientific Instruments,996,714
Female pelvic medicine & reconstructive surgery,997,715
International Journal of Colorectal Disease,998,716
European Journal of Health Economics,999,717
