article_language,journal_title,original_index,unique_index
ger,"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz",749,588
eng,,750,5
eng,Diabetes forecast,751,589
,,752,44
ENG,Biomedical reports,753,590
jpn,Nihon Koshu Eisei Zasshi,754,591
eng,Am J Health Syst Pharm,755,592
eng,Oncology nursing forum,756,593
,,757,44
en,Nurs Stand,758,594
,Value Health,759,595
eng,EXPERIMENTAL CELL RESEARCH,760,596
eng,Leukemia & Lymphoma,761,597
eng,RADIOLOGY,762,598
,,763,44
eng,Headache,764,599
eng,Res Nurs Health,765,600
,,766,44
jpn,No shinkei geka. Neurological surgery,767,601
ENG,Circulation journal : official journal of the Japanese Circulation Society,768,602
eng,PLoS One,769,27
fre,Pr̩vention de l'insuffisance r̩nale induite par les produits de contrnste iodes,770,603
eng,Ann. Hematol.,771,604
eng,Journal of the National Cancer Institute,772,162
eng,"AIDS (London, England)",773,605
eng,"Oral surgery, oral medicine, and oral pathology",774,606
eng,Arch Intern Med,775,607
,,776,44
,,777,44
English     Italian,,778,608
eng,Operative dentistry,779,609
eng,Mov Disord,780,610
eng,Psychological assessment,781,611
,,782,44
,Turkish Online Journal of Educational Technology - TOJET,783,612
ita,Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,784,462
,European Journal of Cancer,785,613
English,Indian Journal of Psychiatry,786,614
rus,Stomatologii��a,787,615
eng,BMC medicine,788,616
,,789,44
eng,"Oral surgery, oral medicine, oral pathology and oral radiology",790,617
ENG,"Journal of cardiovascular medicine (Hagerstown, Md.)",791,618
,"Exposicion severa a plomo ambiental en una poblacion infantil de Antofagasta, Chile.",792,619
,Critical Care Nurse,793,620
eng,"Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine",794,621
eng,Journal of clinical epidemiology,795,622
pt,,796,623
eng,J Hand Surg Am,797,560
,,798,44
eng,European journal of preventive cardiology,799,624
eng,Journal of the National Cancer Institute,800,162
eng,Alcohol Research & Health,801,625
eng,,802,5
English,European Journal of Cancer Care,803,626
,Brain and Language,804,627
,Chin. J. Evid.-Based Med.,805,628
eng,Angewandte Chemie (International ed. in English),806,629
eng,Cardiology in the young,807,212
eng,Issues Ment Health Nurs,808,630
,Das Mikorklima der Wohnungen und seine hygienische Normierung.,809,631
,,810,44
,,811,44
English,,812,20
eng,Acta clinica Belgica,813,632
English,Journal of Biological Chemistry,814,633
eng,,815,5
English,Journal of Oral & Maxillofacial Surgery,816,634
English,Acta Endocrinologica. Supplementum,817,635
eng,,818,5
,Crit. Care Med.,819,636
,,820,44
eng,"Obesity (Silver Spring, Md.)",821,637
,,822,44
eng,JAMA internal medicine,823,638
eng,Journal of hypertension,824,639
eng,Thorax,825,640
,International Medicine & Health Guidance News [Guo Ji Yi Yao Wei Sheng Dao Bao],826,641
eng,Journal of the American Geriatrics Society,827,642
English,,828,20
eng,World journal for pediatric & congenital heart surgery,829,643
English,,830,20
eng,CANCER,831,64
,,832,44
eng,The American journal of medicine,833,644
eng,Intensive care medicine,834,645
,Clinical & Translational Oncology: Official Publication of the Federation of Spanish Oncology Societes & of the National Cancer Institute of Mexico,835,646
eng,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,836,647
eng,Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology,837,648
eng,"Shock (Augusta, Ga.)",838,649
eng,,839,5
,,840,44
eng,The New England journal of medicine,841,650
eng,Foot Ankle Int,842,651
,Military Medicine,843,652
,,844,44
English,Focus on Alternative and Complementary Therapies,845,653
eng,Int J Surg,846,654
,,847,44
eng,Ann Rheum Dis,848,655
English,,849,20
eng,International Journal of Oral & Maxillofacial Implants,850,656
,,851,44
,Circulation,852,585
eng,Human gene therapy,853,657
eng,Respiration; international review of thoracic diseases,854,658
eng,,855,5
,,856,44
,Circulation,857,585
,Pediatrics,858,318
,Value in Health,859,659
,European respiratory journal,860,660
ENG,Oral diseases,861,661
spa,Prediccion de la masa muscular apendicular esqueletica basado en mediciones antropometricas en Adultos Mayores Chilenos.,862,662
spa,"Tratamiento antibiotico intravenoso domiciliario del absceso hepatico: seguridad, eficacia y factores pronosticos de reingreso hospitalario.",863,663
English,,864,20
eng,Pediatrics,865,664
eng,Cochrane Database Syst. Rev.,866,45
eng,Cancer chemotherapy and pharmacology,867,93
,Japanese Journal of Clinical Oncology,868,665
eng,,869,5
,Pediatric Infectious Disease Journal,870,666
eng,Bmj Open,871,667
eng,The Behavioral and brain sciences,872,668
eng,,873,5
eng,Archives of gynecology and obstetrics,874,669
eng,,875,5
eng,,876,5
,,877,44
eng,Psychological medicine,878,670
eng,Academic Medicine: Journal Of The Association Of American Medical Colleges,879,671
eng,Nepal Medical College journal : NMCJ,880,70
,Journal of Psychopharmacology,881,672
,Cost Effectiveness and Resource Allocation,882,673
,Nippon Seikeigeka Gakkai zasshi,883,674
,"Basic Rights: Subsistence, Affluence and U.S. Foreign Policy",884,675
German,,885,676
,,886,44
ENG,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,887,677
eng,PLoS One,888,27
English; ABSTRACT LANGUAGE:English,Pain practice,889,678
,"Child: Care, Health & Development",890,679
eng,J Hand Surg Am,891,560
eng,,892,5
eng,The European respiratory journal,893,491
,,894,44
eng,Sci Eng Ethics,895,680
,British journal of clinical pharmacology,896,681
eng,,897,5
,,898,44
eng,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,899,682
,Anesthesiology,900,683
,,901,44
eng,Reviews in endocrine & metabolic disorders,902,684
English,Autonomic Neuroscience: Basic and Clinical,903,685
eng,Chest,904,686
,Hospital practice (1995),905,687
,ProQuest LLC,906,169
eng,The journal of ECT,907,688
English,Integrative Physiological and Behavioral Science,908,689
eng,Cancer,909,334
English,Proceedings of the National Academy of Sciences of the United States of America,910,690
eng,PLoS medicine,911,691
English,Psychology of Women Quarterly,912,692
eng,European journal of radiology,913,693
eng,Psycho-oncology,914,94
,Bioelectromagnetics,915,573
,,916,44
eng,Journal of the American College of Cardiology,917,694
eng,Anaesthesia,918,695
eng,JAMA neurology,919,696
ita,La Pediatria medica e chirurgica : Medical and surgical pediatrics,920,697
,Drug Topics,921,698
,European respiratory journal,922,660
,J. Chin. Integr. Med.,923,699
eng,European Journal Of Anaesthesiology,924,467
English,Functional Neurology,925,143
,Medical Teacher,926,700
,Pediatrics,927,318
eng,,928,5
English,Neurosurgical Focus,929,701
eng,International journal of medical informatics,930,702
eng,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,931,22
,,932,44
,,933,44
,,934,44
eng,JRSM open,935,703
eng,Am J Crit Care,936,704
eng,J Surg Res,937,705
eng,Clin Nutr,938,706
,Chronic Illness,939,707
English,Pharmacogenomics,940,708
eng,Tech Coloproctol,941,709
,Am. J. Ther.,942,710
eng,Aging Ment Health,943,711
,Journal of environmental monitoring : JEM,944,712
eng,,945,5
,Journal of Consulting and Clinical Psychology,946,182
,,947,44
,,948,44
,,949,44
eng,PloS one,950,713
,,951,44
pt,,952,623
eng,International journal of obesity (2005),953,445
eng,Neuropsychopharmacology,954,714
,J. Thromb. Haemost.,955,715
,Journal of Environmental Psychology,956,716
eng,Current opinion in pediatrics,957,717
,Annals of internal medicine,958,718
eng,European journal of pediatrics,959,719
,Journal of Rheumatology,960,720
eng,Phytotherapy research : PTR,961,721
,Gait & Posture,962,722
English,Current Opinion in Infectious Diseases,963,723
,Brain and behavior,964,724
eng,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",965,725
ger,Laryngo- rhino- otologie,966,726
,Journal of health care for the poor and underserved,967,727
eng,Acta paediatrica Scandinavica. Supplement,968,728
English,Journal of Neurotrauma,969,729
English,Pain Practice,970,730
English,JOURNAL OF CELL BIOLOGY,971,731
fre,Am. J. Cardiovasc. Drugs,972,732
eng,Planta,973,733
eng,Surgical infections,974,734
eng,Steroids,975,735
,,976,44
eng,The Journal of antimicrobial chemotherapy,977,736
eng,GeneReviews(R),978,737
eng,Endocrinology,979,186
,Proceedings of SPIE - The International Society for Optical Engineering,980,738
eng,Clin Obstet Gynecol,981,739
eng,Int J Epidemiol,982,740
eng,Am J Clin Nutr,983,347
,Biology of Blood and Marrow Transplantation,984,741
,British Journal of Anaesthesia,985,742
eng,,986,5
eng,J Hum Hypertens,987,743
,,988,44
eng,"Acta radiologica (Stockholm, Sweden : 1987)",989,744
,Am J Clin Nutr,990,745
eng,American journal of respiratory and critical care medicine,991,746
eng,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,992,246
,CLINICAL TRIALS,993,747
eng,Burns : journal of the International Society for Burn Injuries,994,748
eng,Am Rev Respir Dis,995,749
,Review of Scientific Instruments,996,750
ENG,Female pelvic medicine & reconstructive surgery,997,751
English,International Journal of Colorectal Disease,998,752
,European Journal of Health Economics,999,753
