Creator,Actors,original_index,unique_index
"Mike Myers,Mike Myers","Mike Myers,Dana Carvey,Christopher Walken",972,967
"Trey Parker,Matt Stone","Trey Parker,Matt Stone,Mary Kay Bergman",973,968
"Woody Allen,Mickey Rose","Woody Allen,Louise Lasser,Carlos Montalbán",974,969
"Drake Sather,Ben Stiller","Ben Stiller,Owen Wilson,Christine Taylor",975,970
"Jack Bernstein,Jack Bernstein","Jim Carrey,Courteney Cox,Sean Young",976,971
"Mike Myers,Michael McCullers","Mike Myers,Heather Graham,Michael York",977,972
"Mike Myers,Mike Myers","Mike Myers,Dana Carvey,Rob Lowe",978,973
"Trey Parker,Matt Stone","Trey Parker,Matt Stone,Elle Russ",979,974
"Jack Bernstein,Steve Oedekerk","Jim Carrey,Ian McNeice,Simon Callow",980,975
"James L. Brooks,Matt Groening","Dan Castellaneta,Julie Kavner,Nancy Cartwright",981,976
"Greg Glienna,Mary Ruth Clarke","Ben Stiller,Robert De Niro,Teri Polo",982,977
"Sacha Baron Cohen,Anthony Hines","Sacha Baron Cohen,Ken Davitian,Luenell",983,978
"Mike Myers,Michael McCullers","Mike Myers,Beyoncé Knowles,Seth Green",984,979
"Lauren Faust,Meghan McCarthy","Tara Strong,Ashleigh Ball,Andrea Libman",985,980
"Meghan McCarthy,Lauren Faust","Tara Strong,Ashleigh Ball,Andrea Libman",986,981
"Lauren Faust,Meghan McCarthy","Kristin Chenoweth,Tara Strong,Ashleigh Ball",987,982
"Woody Allen,Marshall Brickman","Woody Allen,Diane Keaton,John Beck",988,983
Woody Allen,"Woody Allen,Mia Farrow,José Ferrer",989,984
"Don Rhymer,Ash Brannon","Shia LaBeouf,Zooey Deschanel,Jon Heder",990,985
Woody Allen,"Woody Allen,Charlotte Rampling,Jessica Harper",991,986
Woody Allen,"Woody Allen,Mia Farrow,Patrick Horgan",992,987
Woody Allen,"Woody Allen,Mia Farrow,Nick Apollo Forte",993,988
"Robert Gordon,Daniel Handler","Jim Carrey,Jude Law,Meryl Streep",994,989
"J.M. Barrie,J.M. Barrie","Dustin Hoffman,Robin Williams,Julia Roberts",995,990
"Karey Kirkpatrick,David Berenbaum","Freddie Highmore,Sarah Bolger,David Strathairn",996,991
"Susan Gauthier,Bruce Graham","Meg Ryan,John Cusack,Christopher Lloyd",997,992
"Christianna Brand,Emma Thompson","Emma Thompson,Colin Firth,Angela Lansbury",998,993
"Meg Cabot,Gina Wendkos","Julie Andrews,Anne Hathaway,Hector Elizondo",999,994
"Jane Goldman,Matthew Vaughn","Charlie Cox,Claire Danes,Sienna Miller",1000,995
"Laurie Craig,Karen McCullah","Anne Hathaway,Hugh Dancy,Cary Elwes",1001,996
"J.M. Barrie,Ted Sears","Bobby Driscoll,Kathryn Beaumont,Hans Conried",1002,997
"Sam Harper,Craig Titley","Steve Martin,Bonnie Hunt,Hilary Duff",1003,998
"Brian Gunn,Mark Gunn","Josh Hutcherson,Dwayne Johnson,Michael Caine",1004,999
"Sean Anders,John Morris","Jim Carrey,Carla Gugino,Angela Lansbury",1005,1000
"Frank B. Gilbreth Jr.,Ernestine Gilbreth Carey","Steve Martin,Bonnie Hunt,Hilary Duff",1006,1001
"Michael D. Weiss,Jennifer Flackett","Brendan Fraser,Josh Hutcherson,Anita Briem",1007,1002
"Javier Abad,Jorge Blanco","Dwayne Johnson,Seann William Scott,Jessica Biel",1008,1003
"Jonathan Bernstein,James Greer","Jackie Chan,Amber Valletta,Billy Ray Cyrus",1009,1004
"Matt Lopez,Mark Bomback","Dwayne Johnson,Carla Gugino,AnnaSophia Robb",1010,1005
"Nichole Millard,Kathryn Price","Dwayne Johnson,Kyra Sedgwick,Madison Pettis",1011,1006
"Thomas Lennon,Robert Ben Garant","Vin Diesel,Brittany Snow,Max Thieriot",1012,1007
"Andrew Adamson,Christopher Markus","Ben Barnes,Skandar Keynes,Georgie Henley",1013,1008
"John Lasseter,Pete Docter","Tom Hanks,Tim Allen,Don Rickles",1014,1009
"James Cameron,Gale Anne Hurd","Arnold Schwarzenegger,Linda Hamilton,Michael Biehn",1015,1010
"Leigh Brackett,Lawrence Kasdan","Mark Hamill,Harrison Ford,Carrie Fisher",1016,1011
"Carl Binder,Susannah Grant","Mel Gibson,Linda Hunt,Christian Bale",1017,1012
"Jon Bernstein,Michelle Bochner Spitz","Daniel Hansen,Wesley Singerman,Angela Bassett",1018,1013
"Jim Thomas,John Thomas","Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall",1019,1014
Hans Christian Andersen,"Jay Ripley,Shay Garner,Pat Morrell",1020,1015
Woody Allen,"Mia Farrow,Jeff Daniels,Danny Aiello",1021,1016
Woody Allen,"Martin Landau,Woody Allen,Bill Bernstein",1022,1017
"Bill Feigenbaum,Thomas Baum","Burl Ives,Robert Morley,Paul Lynde",1023,1018
"Darren Doane,Cheston Hervey","Kirk Cameron,Darren Doane,Bridgette Cameron",1024,1019
"Judd Apatow,Nicholas Stoller","Jim Carrey,Téa Leoni,Alec Baldwin",1025,1020
"Nicholas Stoller,Jarrad Paul","Jim Carrey,Zooey Deschanel,Bradley Cooper",1026,1021
"Steve Koren,Mark O'Keefe","Jim Carrey,Jennifer Aniston,Morgan Freeman",1027,1022
"Peter Farrelly,Bennett Yellin","Jim Carrey,Jeff Daniels,Lauren Holly",1028,1023
"Greg Glienna,Mary Ruth Clarke","Ben Stiller,Robert De Niro,Blythe Danner",1029,1024
"Peter Farrelly,Mike Cerrone","Jim Carrey,Renée Zellweger,Anthony Anderson",1030,1025
"Edward Rugoff,Michael Gottlieb","Hulk Hogan,Sherman Hemsley,Afa Anoai",1031,1026
"Judy Freudberg,Tony Geiss","Dom DeLuise,Christopher Plummer,Erica Yohn",1032,1027
"Flint Dille,Charles Swenson","James Stewart,John Cleese,Amy Irving",1033,1028
"Rachel Koretsky,Steven Whitestone","Martin Short,James Belushi,Annie Golden",1034,1029
"David Odell,Jim Henson","Jim Henson,Kathryn Mullen,Frank Oz",1035,1030
"Don Bluth,John Pomeroy","Glen Campbell,Christopher Plummer,Phil Harris",1036,1031
"Stu Krieger,Don Bluth","Dom DeLuise,Cloris Leachman,Charles Nelson Reilly",1037,1032
"Hans Christian Andersen,Don Bluth","Jodi Benson,Gary Imhoff,Gino Conforti",1038,1033
"Don Bluth,Ken Cromar","Dom DeLuise,Burt Reynolds,Judith Barsi",1039,1034
"Jim Cox,Karey Kirkpatrick","Bob Newhart,Eva Gabor,John Candy",1040,1035
"Stu Krieger,Judy Freudberg","Pat Hingle,Gabriel Damon,Judith Barsi",1041,1036
"Peter S. Beagle,Peter S. Beagle","Jeff Bridges,Mia Farrow,Angela Lansbury",1042,1037
"John Quaintance,Jessica Bendinger","Emma Roberts,Joanna 'JoJo' Levesque,Sara Paxton",1043,1038
"Edward Emanuel,Kenny Kim","Victor Wong,Michael Treanor,Max Elliott Slade",1044,1039
"Jeffrey Pillars,Joseph Dattorre","Jim Varney,Hayley Tyson,David Müller",1045,1040
"Sang-ok Shin,Mark Saltzman","Victor Wong,Max Elliott Slade,Sean Fox",1046,1041
Alex S. Kim,"Victor Wong,Charles Napier,Michael Treanor",1047,1042
"Ron J. Friedman,Steve Bencich","Bette Midler,Chris O'Donnell,Jack McBrayer",1048,1043
,Cole Ray Davis,1049,1044
"Bryn Evans,Bryn Evans","Terri '2-cents' Wool-Moore Goodwin,Kara 'bang bang' Nelson,Eileen 'diva mystic' Evans",1050,1045
,Johnny Cash,1051,1046
,Dean Jones,1052,1047
Joseph Reidhead,"Kevin O'Keefe,Tatum Langton,Lawrence Fernandez",1053,1048
Penny Carlisi,"Nicholas Ryan Gibbs,Wayne E. Brown,Austin Farnsworth",1054,1049
Jim Russell,"Christie Courville,Melissa Steele,Nehemiah Deason",1055,1050
,,1056,653
"Timothy A. Chey,John Senczuk","Cuba Gooding Jr.,William Sadler,Sharon Leal",1057,1051
,,1058,653
Kerry Conran,"Gwyneth Paltrow,Jude Law,Angelina Jolie",1059,1052
"Noah Pritzker,Noah Pritzker","Ben Konigsberg,Greg Germann,Mira Sorvino",1060,1053
"James Algar,Winston Hibler",Winston Hibler,1061,1054
,"Jim Ladd,Jim Morrison,Ray Manzarek",1062,1055
"Dereck Joubert,Beverly Joubert","Angela Bassett,Joanna Lumley,Anne Archer",1063,1056
"Linda Woolverton,Mose Richards","Queen Latifah,Katrina Agate,Zain Ali",1064,1057
,"C.J. Bills,Diane Granley,Linda Henderson",1065,1058
Roko Belic,"Anne Bechsgaard,Gregory Berns,Roy Blanchard",1066,1059
"Hal Roach,Sam Taylor","Harold Lloyd,Mildred Davis,Anna Townsend",1067,1060
Andrew Rossi,"Elizabeth Armstrong,Richard Arum,Jamshed Bharucha",1068,1061
Greg Whiteley,"Mitt Romney,Candy Crowley,Eric Draper",1069,1062
"Alex Orr,Adam Pinney","Alex Orr,Katie Rowlett,Daniel L. Kelly",1070,1063
"Ari Cohen,Lina Plioplyte","Joyce Carpati,Ari Cohen,Lynn Dell",1071,1064
,Olivia Marei,1072,1065
"Alex Cox,Harry Harrison","James Miller,Devon Wycoff,Jesse Lee Pacheco",1073,1066
,"Nina Castanon,The Dalai Lama,Richard Davidson",1074,1067
,,1075,653
,"Paul Cook,Steve Jones,John Lydon",1076,1068
Brad Bird,,1077,1069
"Jean C. Havez,Clyde Bruckman","Buster Keaton,Natalie Talmadge,Joe Keaton",1078,1070
"Yoshimitsu Banno,L. Frank Baum","Aileen Quinn,Lorne Greene,John Stocker",1079,1071
"Aleksandr Atanesyan,Vladlen Barbe","Jordi Mollà,Mikhail Efremov,Renata Litvinova",1080,1072
Tom Stoppard,"Gary Oldman,Tim Roth,Richard Dreyfuss",1081,1073
"Charles M. Schulz,Charles M. Schulz","Duncan Watson,Greg Felton,Stuart Brotman",1082,1074
"Charles M. Schulz,Charles M. Schulz","Scott Beach,Bill Melendez,Daniel Anderson",1083,1075
Charles M. Schulz,"Chad Webber,Robin Kohn,Stephen Shea",1084,1076
Alex Cox,"Harry Dean Stanton,Emilio Estevez,Tracey Walter",1085,1077
,,1086,653
,,1087,653
"Sally Blake,Su Rynard",,1088,1078
"John A. Davis,Steve Oedekerk","Debi Derryberry,Rob Paulsen,Megan Cavanagh",1089,1079
"John Lasseter,Andrew Stanton","Tom Hanks,Tim Allen,Joan Cusack",1090,1080
"William Davies,Dean DeBlois","Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse",1091,1081
"L. Frank Baum,L. Frank Baum","Violet MacMillan,Frank Moore,Pierre Couderc",1092,1082
"Bill Mikita,Cris D'Annunzio","Ray Liotta,Rory Culkin,Trevor Morgan",1093,1083
"Irene Mecchi,Gary Rydstrom","Evan Rachel Wood,Elijah Kelley,Kristin Chenoweth",1094,1084
"Karen Janszen,Noam Dromi","Morgan Freeman,Ashley Judd,Harry Connick Jr.",1095,1085
"Jim Kouf,Tommy Swerdlow","Cuba Gooding Jr.,James Coburn,Sisqó",1096,1086
"Simon Hung,Guy Malim","Caon Mortenson,Garrett Coffey,Taylor Coliee",1097,1087
"Gigi Levangie,Gigi Levangie","Julia Roberts,Susan Sarandon,Ed Harris",1098,1088
"Alan DiFiore,Jim Kouf","George Clooney,Julia Roberts,Giancarlo Esposito",1099,1089
"Billy Ray,Juan José Campanella","Chiwetel Ejiofor,Nicole Kidman,Julia Roberts",1100,1090
"Dennis Lee,Dennis Lee","Jason Spevack,Toni Collette,Michael Sheen",1101,1091
"Takashi Bufford,Takashi Bufford","Jada Pinkett Smith,Queen Latifah,Vivica A. Fox",1102,1092
"James Cameron,William Wisher Jr.","Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",1103,1093
"Thomas Harris,Ted Tally","Jodie Foster,Anthony Hopkins,Lawrence A. Bonney",1104,1094
"Charlie Kaufman,Michel Gondry","Jim Carrey,Kate Winslet,Tom Wilkinson",1105,1095
"Gustav Hasford,Stanley Kubrick","Matthew Modine,R. Lee Ermey,Vincent D'Onofrio",1106,1096
Quentin Tarantino,"Brad Pitt,Diane Kruger,Eli Roth",1107,1097
"Quentin Tarantino,Roger Avary","John Travolta,Uma Thurman,Samuel L. Jackson",1108,1098
David McKenna,"Edward Norton,Edward Furlong,Beverly D'Angelo",1109,1099
"Quentin Tarantino,Roger Avary","Harvey Keitel,Tim Roth,Michael Madsen",1110,1100
Alan Ball,"Kevin Spacey,Annette Bening,Thora Birch",1111,1101
"Stephen King,Stanley Kubrick","Jack Nicholson,Shelley Duvall,Danny Lloyd",1112,1102
Paul Schrader,"Robert De Niro,Jodie Foster,Cybill Shepherd",1113,1103
"Paul Brickhill,James Clavell","Steve McQueen,James Garner,Richard Attenborough",1114,1104
"Jerry Seinfeld,Spike Feresten","Jerry Seinfeld,Renée Zellweger,Matthew Broderick",1115,1105
"Lawrence Kasdan,George Lucas","Harrison Ford,Karen Allen,Paul Freeman",1116,1106
"Dan Harmon,Rob Schrab","Mitchel Musso,Sam Lerner,Spencer Locke",1117,1107
"Charles Perrault,Tom Wheeler","Antonio Banderas,Salma Hayek,Zach Galifianakis",1118,1108
"Roald Dahl,Karey Kirkpatrick","Paul Terry,Joanna Lumley,Pete Postlethwaite",1119,1109
"Dr. Seuss,Cinco Paul","Zac Efron,Taylor Swift,Danny DeVito",1120,1110
"Tim Burton,Michael McDowell","Danny Elfman,Chris Sarandon,Catherine O'Hara",1121,1111
"Steve Bencich,Ron J. Friedman","Ashton Kutcher,Martin Lawrence,Debra Messing",1122,1112
"Mark Dindal,Mark Kennedy","Zach Braff,Joan Cusack,Garry Marshall",1123,1113
"Ken Daurio,Cinco Paul","Jim Carrey,Steve Carell,Carol Burnett",1124,1114
"John Alan Simon,Philip K. Dick","Shea Whigham,Jonathan Scarfe,Michael Rothhaar",1125,1115
"Philip K. Dick,Scott Rosenberg","Shane Brolly,Vincent D'Onofrio,Gary Sinise",1126,1116
"David Webb Peoples,David Webb Peoples","Peter Weller,Richard Crenna,Amanda Pays",1127,1117
"Charles Adair,Dan O'Bannon","Gillian Ferrabee,Pascal Gruselle,Roy Dupuis",1128,1118
"Billy Hayes,William Hoffer","Brad Davis,Irene Miracle,Bo Hopkins",1129,1119
"John Hargrove,John Jansen","Johanna Falls,John Hargrove,Michelle Hargrove",1130,1120
"Bill Peet,Dodie Smith","Rod Taylor,Betty Lou Gerson,J. Pat O'Malley",1131,1121
"James Fogle,Gus Van Sant","Matt Dillon,Kelly Lynch,James Le Gros",1132,1122
"Robert D. San Souci,Rita Hsiao","Ming-Na Wen,Eddie Murphy,BD Wong",1133,1123
"Ron Clements,John Musker","Scott Weinger,Robin Williams,Linda Larkin",1134,1124
"Ron Clements,John Musker","Tate Donovan,Susan Egan,James Woods",1135,1125
"Gregg Chabot,Kevin Peterka","Matthew McConaughey,Christian Bale,Izabella Scorupco",1136,1126
"Andy Wachowski,Lana Wachowski","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",1137,1127
George Lucas,"Mark Hamill,Harrison Ford,Carrie Fisher",1138,1128
"Roderick Thorp,Jeb Stuart","Bruce Willis,Alan Rickman,Bonnie Bedelia",1139,1129
"Robert Zemeckis,Bob Gale","Michael J. Fox,Christopher Lloyd,Lea Thompson",1140,892
"Robert Zemeckis,Bob Gale","Michael J. Fox,Christopher Lloyd,Mary Steenburgen",1141,1130
"H.G. Wells,R.C. Sherriff","Claude Rains,Gloria Stuart,William Harrigan",1142,1131
Curt Siodmak,"Claude Rains,Warren William,Lon Chaney Jr.",1143,1132
"John L. Balderston,Mary Shelley","Colin Clive,Mae Clarke,Boris Karloff",1144,1133
"Mary Shelley,William Hurlbut","Boris Karloff,Elsa Lanchester,Colin Clive",1145,1134
Curt Siodmak,"Ilona Massey,Patric Knowles,Lionel Atwill",1146,1135
"Harry Essex,Arthur A. Ross","Richard Carlson,Julie Adams,Richard Denning",1147,1136
"Mary Shelley,Wyllis Cooper","Boris Karloff,Basil Rathbone,Bela Lugosi",1148,1137
"Nina Wilcox Putnam,Richard Schayer","Boris Karloff,Zita Johann,David Manners",1149,1138
"Nunnally Johnson,Lukas Heller","Lee Marvin,Ernest Borgnine,Charles Bronson",1150,1139
"Cornelius Ryan,Cornelius Ryan","John Wayne,Robert Ryan,Richard Burton",1151,1140
"Pierre Boulle,Carl Foreman","William Holden,Alec Guinness,Jack Hawkins",1152,1141
"Alistair MacLean,Alistair MacLean","Richard Burton,Clint Eastwood,Mary Ure",1153,1142
Troy Kennedy-Martin,"Clint Eastwood,Telly Savalas,Don Rickles",1154,1143
Donald S. Sanford,"Charlton Heston,Henry Fonda,James Coburn",1155,1144
"Cornelius Ryan,William Goldman","Sean Connery,Ryan O'Neal,Michael Caine",1156,1145
"George Lucas,Bob Dolman","Val Kilmer,Joanne Whalley,Warwick Davis",1157,1146
"Edward Khmara,Michael Thomas","Matthew Broderick,Rutger Hauer,Michelle Pfeiffer",1158,1147
"Philip Yordan,Milton Sperling","Henry Fonda,Robert Shaw,Robert Ryan",1159,1148
"Alistair MacLean,Robin Chapman","Harrison Ford,Robert Shaw,Edward Fox",1160,1149
"Larry Forrester,Hideo Oguni","Martin Balsam,Sô Yamamura,Jason Robards",1161,1150
"Tab Murphy,Irene Mecchi","Demi Moore,Jason Alexander,Tom Hulce",1162,1151
"Tab Murphy,Kirk Wise","Michael J. Fox,Jim Varney,Corey Burton",1163,1152
"Robert Louis Stevenson,Ron Clements","Joseph Gordon-Levitt,Emma Thompson,Martin Short",1164,1153
Oliver Stone,"Al Pacino,Michelle Pfeiffer,Steven Bauer",1165,1154
"Charles Brackett,Billy Wilder","Franchot Tone,Anne Baxter,Akim Tamiroff",1166,1155
"Billy Wilder,Lesser Samuels","Kirk Douglas,Jan Sterling,Robert Arthur",1167,1156
"Daniel Taradash,James Jones","Burt Lancaster,Montgomery Clift,Deborah Kerr",1168,1157
"William Faulkner,Leigh Brackett","Humphrey Bogart,Lauren Bacall,John Ridgely",1169,1158
"Billy Wilder,Samuel A. Taylor","Humphrey Bogart,Audrey Hepburn,William Holden",1170,1159
"Billy Wilder,I.A.L. Diamond","Jack Lemmon,Shirley MacLaine,Fred MacMurray",1171,1160
"Robert E. Sherwood,MacKinlay Kantor","Fredric March,Dana Andrews,Myrna Loy",1172,1161
"Billy Wilder,I.A.L. Diamond","James Cagney,Horst Buchholz,Pamela Tiffin",1173,1162
"Charles Brackett,Billy Wilder","William Holden,Gloria Swanson,Erich von Stroheim",1174,1163
"Agatha Christie,Billy Wilder","Tyrone Power,Marlene Dietrich,Charles Laughton",1175,1164
"Billy Wilder,Raymond Chandler","Fred MacMurray,Barbara Stanwyck,Edward G. Robinson",1176,1165
"Charles R. Jackson,Charles Brackett","Ray Milland,Jane Wyman,Phillip Terry",1177,1166
"Alan Moore,Kevin O'Neill","Sean Connery,Stuart Townsend,Peta Wilson",1178,1167
"Jacob Grimm,Wilhelm Grimm","Adriana Caselotti,Harry Stockwell,Lucille La Verne",1179,1168
"James Vanderbilt,Alvin Sargent","Andrew Garfield,Emma Stone,Rhys Ifans",1180,1169
"Joss Whedon,Zak Penn","Robert Downey Jr.,Chris Evans,Scarlett Johansson",1181,1170
"Roberto Orci,Alex Kurtzman","Antonio Banderas,Catherine Zeta-Jones,Rufus Sewell",1182,1171
"Tom DeSanto,Bryan Singer","Patrick Stewart,Hugh Jackman,Ian McKellen",1183,1172
"James Gunn,Nicole Perlman","Chris Pratt,Vin Diesel,Bradley Cooper",1184,1173
"Stan Lee,Steve Ditko","Tobey Maguire,Kirsten Dunst,Willem Dafoe",1185,1174
"Christopher Yost,Christopher Markus","Chris Hemsworth,Natalie Portman,Tom Hiddleston",1186,1175
"Ashley Miller,Zack Stentz","Chris Hemsworth,Anthony Hopkins,Natalie Portman",1187,1176
"Christopher Markus,Stephen McFeely","Chris Evans,Hugo Weaving,Samuel L. Jackson",1188,1177
"Charles Lederer,Ben Hecht","Cary Grant,Rosalind Russell,Ralph Bellamy",1189,1178
"Zak Penn,David Hayter","Patrick Stewart,Hugh Jackman,Halle Berry",1190,1179
"Zak Penn,Zak Penn","Edward Norton,Liv Tyler,Tim Roth",1191,1180
Neill Blomkamp,"Matt Damon,Jodie Foster,Sharlto Copley",1192,1181
Rian Johnson,"Joseph Gordon-Levitt,Bruce Willis,Emily Blunt",1193,1182
"Matthew Michael Carnahan,Drew Goddard","Brad Pitt,Mireille Enos,Daniella Kertesz",1194,1183
"Max Borenstein,Dave Callaham","Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston",1195,1184
Jordan Roberts,"Charlie Hunnam,Chris O'Dowd,Lizzy Caplan",1196,1185
"Mark Protosevich,Akiva Goldsman","Will Smith,Alice Braga,Charlie Tahan",1197,1186
"Karl Gajdusek,Michael Arndt","Tom Cruise,Morgan Freeman,Andrea Riseborough",1198,1187
"Mark Bomback,Rick Jaffa","Gary Oldman,Keri Russell,Andy Serkis",1199,1188
"Christopher McQuarrie,Jez Butterworth","Tom Cruise,Emily Blunt,Bill Paxton",1200,1189
"Fran Walsh,Philippa Boyens","Martin Freeman,Ian McKellen,Richard Armitage",1201,1190
"Ted Elliott,Terry Rossio","Johnny Depp,Orlando Bloom,Keira Knightley",1202,1191
"Gary Ross,Suzanne Collins","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",1203,1192
"Fran Walsh,Philippa Boyens","Ian McKellen,Martin Freeman,Richard Armitage",1204,1193
"Ted Elliott,Terry Rossio","Johnny Depp,Geoffrey Rush,Orlando Bloom",1205,1194
"Ted Elliott,Terry Rossio","Johnny Depp,Orlando Bloom,Keira Knightley",1206,1191
James Cameron,"Leonardo DiCaprio,Kate Winslet,Billy Zane",1207,1195
"Simon Beaufoy,Michael Arndt","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",1208,1196
"Mark Bomback,Scott Frank","Hugh Jackman,Will Yun Lee,Tao Okamoto",1209,1197
"Alvin Sargent,Ivan Raimi,Sam Raimi","Tobey Maguire,Kirsten Dunst,Topher Grace",1210,1198
Ron Friedman,"Orson Welles,Robert Stack,Leonard Nimoy",1211,1199
Ehren Kruger,"Shia LaBeouf,Rosie Huntington-Whiteley,Tyrese Gibson",1212,1200
"Stan Lee,Steve Ditko","Tobey Maguire,Kirsten Dunst,Alfred Molina",1213,1201
"David Benioff,Skip Woods","Hugh Jackman,Liev Schreiber,Ryan Reynolds",1214,1202
"Simon Kinberg,Zak Penn","Patrick Stewart,Hugh Jackman,Halle Berry",1215,1203
"Leigh Brackett,Harry Brown","John Wayne,Robert Mitchum,James Caan",1216,1204
"Ehren Kruger,Roberto Orci","Shia LaBeouf,Megan Fox,Josh Duhamel",1217,1205
Ehren Kruger,"Mark Wahlberg,Nicola Peltz,Jack Reynor",1218,1206
"Josh Friedman,David Koepp","Tom Cruise,Dakota Fanning,Tim Robbins",1219,1207
"Lowell Cunningham,Robert Gordon","Tommy Lee Jones,Will Smith,Rip Torn",1220,1208
"Vincent Ngo,Vince Gilligan","Will Smith,Charlize Theron,Jason Bateman",1221,1209
"Roland Emmerich,Harald Kloser","John Cusack,Thandie Newton,Chiwetel Ejiofor",1222,1210
"Jonathan Hensleigh,J.J. Abrams","Bruce Willis,Billy Bob Thornton,Ben Affleck",1223,1211
"Roland Emmerich,Roland Emmerich","Dennis Quaid,Jake Gyllenhaal,Emmy Rossum",1224,1212
"Florian Henckel von Donnersmarck,Christopher McQuarrie","Johnny Depp,Angelina Jolie,Paul Bettany",1225,1213
"H.B. Halicki,Scott Rosenberg","Nicolas Cage,Angelina Jolie,Giovanni Ribisi",1226,1214
Stephen Sommers,"Hugh Jackman,Kate Beckinsale,Richard Roxburgh",1227,1215
Simon Kinberg,"Brad Pitt,Angelina Jolie,Adam Brody",1228,1216
"Sara B. Cooper,Mike Werb","Angelina Jolie,Jon Voight,Iain Glen",1229,1217
"Marianne Wibberley,Cormac Wibberley","Nicolas Cage,Diane Kruger,Justin Bartha",1230,1218
Kurt Wimmer,"Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor",1231,1219
"Jerry Siegel,Joe Shuster","Christopher Reeve,Margot Kidder,Gene Hackman",1232,1220
"Roberts Gannaway,Jeffrey M. Howard","Dane Cook,Ed Harris,Julie Bowen",1233,1221
"J.R.R. Tolkien,Fran Walsh","Elijah Wood,Ian McKellen,Viggo Mortensen",1234,1222
"J.R.R. Tolkien,Fran Walsh","Elijah Wood,Viggo Mortensen,Ian McKellen",1235,1223
"J.R.R. Tolkien,Fran Walsh","Elijah Wood,Ian McKellen,Orlando Bloom",1236,1224
George Lucas,"Ewan McGregor,Liam Neeson,Natalie Portman",1237,1225
George Lucas,"Hayden Christensen,Natalie Portman,Ewan McGregor",1238,1226
"George Lucas,George Lucas","Hayden Christensen,Natalie Portman,Ewan McGregor",1239,1227
"Willard Huyck,Gloria Katz","Harrison Ford,Kate Capshaw,Jonathan Ke Quan",1240,1228
"Alan Trustman,Leslie Dixon","Pierce Brosnan,Rene Russo,Denis Leary",1241,1229
"Richard Maibaum,Paul Dehn","Sean Connery,Gert Fröbe,Honor Blackman",1242,1230
"Lawrence Kasdan,Mark Kasdan","Kevin Kline,Scott Glenn,Kevin Costner",1243,1231
"George MacDonald Fraser,Richard Maibaum","Roger Moore,Maud Adams,Louis Jourdan",1244,1232
"Gregory Nava,Anna Thomas","William Hurt,Timothy Hutton,Melissa Leo",1245,1233
Kevin Jarre,"Kurt Russell,Val Kilmer,Sam Elliott",1246,1234
"John Fusco,John Fusco","Emilio Estevez,Kiefer Sutherland,Lou Diamond Phillips",1247,1235
Leigh Dunlap,"Hilary Duff,Chad Michael Murray,Jennifer Coolidge",1248,1236
"Meg Cabot,Gina Wendkos","Anne Hathaway,Callum Blue,Julie Andrews",1249,1237
"Mary Rodgers,Heather Hach","Jamie Lee Curtis,Lindsay Lohan,Mark Harmon",1250,1238
"Ron Clements,John Musker","Anika Noni Rose,Keith David,Oprah Winfrey",1251,1239
"Edward Kitsis,Adam Horowitz","Jeff Bridges,Garrett Hedlund,Olivia Wilde",1252,1240
"Steve Kloves,J.K. Rowling","Daniel Radcliffe,Emma Watson,Rupert Grint",1253,1241
"Christopher Markus,Stephen McFeely","Ben Barnes,Skandar Keynes,Georgie Henley",1254,1242
"Steve Kloves,J.K. Rowling","Daniel Radcliffe,Emma Watson,Rupert Grint",1255,1241
"Steve Kloves,J.K. Rowling","Daniel Radcliffe,Emma Watson,Rupert Grint",1256,1241
"Michael Goldenberg,J.K. Rowling","Daniel Radcliffe,Emma Watson,Rupert Grint",1257,1243
"J.K. Rowling,Steve Kloves","Daniel Radcliffe,Rupert Grint,Emma Watson",1258,1244
Michael Mann,"Al Pacino,Robert De Niro,Val Kilmer",1259,1245
"Giovanni Arpino,Bo Goldman","Al Pacino,Chris O'Donnell,James Rebhorn",1260,1246
"Valerie Curtin,Barry Levinson","Al Pacino,Jack Warden,John Forsythe",1261,1247
"Joseph D. Pistone,Richard Woodley","Al Pacino,Johnny Depp,Michael Madsen",1262,1248
"Gregory Allen Howard,Stephen J. Rivele","Will Smith,Jamie Foxx,Jon Voight",1263,1249
"James Fenimore Cooper,John L. Balderston","Daniel Day-Lewis,Madeleine Stowe,Russell Means",1264,1250
"Frederick Knott,Patrick Smith Kelly","Michael Douglas,Gwyneth Paltrow,Viggo Mortensen",1265,1251
"Allan Loeb,Stephen Schiff","Shia LaBeouf,Michael Douglas,Carey Mulligan",1266,1252
"James Dearden,James Dearden","Michael Douglas,Glenn Close,Anne Archer",1267,1253
"Michael Crichton,Paul Attanasio","Michael Douglas,Demi Moore,Donald Sutherland",1268,1254
"Simon Moore,Stephen Gaghan","Michael Douglas,Benicio Del Toro,Catherine Zeta-Jones",1269,1255
"Frederick Knott,Frederick Knott","Ray Milland,Grace Kelly,Robert Cummings",1270,1256
