beer-name,ounces,original_index,unique_index
José Martí American Porter,12.0 oz,615,611
Invasion Pale Ale,12.0 oz,616,612
Maduro Brown Ale,12.0 ounce,617,613
Maduro Brown Ale,12.0 oz,618,614
Hotter Than Helles Lager,12.0 oz.,619,615
Tocobaga Red Ale,12.0 oz,620,616
Jai Alai IPA,12.0 oz,621,617
Florida Cracker Belgian Wit,12.0 oz. Alumi-Tek,622,618
Shark Tracker Light lager,12.0 oz.,623,619
Pumple Drumkin,12.0 oz,624,620
Grey Lady,12.0 oz.,625,621
Summer of Lager,12.0 oz.,626,622
Indie Pale Ale,12.0 oz,627,623
Sankaty Light Lager,12.0 oz.,628,624
Whale's Tale Pale Ale,12.0 oz.,629,625
Jacaranada Rye IPA,16.0 oz.,630,626
Cascadian Dark Ale,12.0 oz,631,627
Wheat the People,16.0 oz,632,628
Tybee Island Blonde,12.0 oz,633,629
Savannah Brown Ale,12.0 ounce,634,630
Rhode Island Blueberry,12.0 ounce,635,631
Newport Storm IPA,12.0 ounce,636,632
Hurricane Amber Ale (2004),12.0 oz.,637,633
Hurricane Amber Ale,12.0 oz,638,634
Big Blue Van,16.0 OZ.,639,635
Des Moines IPA,16.0 ounce,640,636
Capital Gold Golden Lager,16.0 ounce,641,637
Farmer John's Multi-Grain Ale,16.0 oz.,642,638
Behemoth,12.0 oz.,643,639
Arkansas Red,12.0 oz,644,640
Core Oatmeal Stout,12.0 ounce,645,641
Core ESB,12.0 oz.,646,642
Chester's Beer (2005),12.0 oz,647,643
Heiner Brau Kölsch,12.0 ounce,648,644
Trigger Blonde Ale,16.0 oz.,649,645
Crabtree Oatmeal Stout,16.0 oz,650,646
Eclipse Black IPA,16.0 oz.,651,647
Neomexicanus Native,12.0 OZ.,652,648
Old Soul,12.0 oz,653,649
Snowcat Coffee Stout,12.0 oz. Alumi-Tek,654,650
WinterWonderGrass Festival Ale,12.0 oz.,655,651
Boohai Red Ale,12.0 ounce,656,652
Lava Lake Wit,12.0 oz.,657,653
Mountain Livin' Pale Ale,12.0 ounce,658,654
Crazy Mountain Amber Ale,12.0 ounce,659,655
Tropicalia,12.0 oz.,660,656
Athena,12.0 ounce,661,657
Aviator Raspberry Blonde,12.0 oz.,662,658
3 Picket Porter,12.0 oz.,663,659
Rusty Nail Pale Ale,12.0 oz,664,660
Red Water Irish Style Red,12.0 OZ.,665,661
Mjöllnir,12.0 oz,666,662
Bear Butte Nut Brown Ale,12.0 oz.,667,663
Easy Livin' Summer Ale,12.0 oz,668,664
Canyon Cream Ale,12.0 ounce,669,665
Pile O'Dirt Porter,12.0 oz,670,666
11th Hour IPA,12.0 oz.,671,667
South Ridge Amber Ale,16.0 oz.,672,668
Summertime Ale,16.0 oz,673,669
Lost River Blonde Ale,16.0 oz,674,670
Monon Wheat,16.0 oz.,675,671
Floyd's Folly,16.0 oz,676,672
Half Court IPA,16.0 oz.,677,673
Geary's Pale Ale,12.0 oz,678,674
Geary's Summer Ale,12.0 oz. Alumi-Tek,679,675
Stone of Arbroath,12.0 oz,680,676
The Tradition,12.0 oz,681,677
El Hefe Speaks,12.0 oz,682,678
Penn Quarter Porter,12.0 oz.,683,679
On the Wings of Armageddon,12.0 oz.,684,680
The Corruption,12.0 oz.,685,681
The Citizen,12.0 ounce,686,682
The Public,12.0 oz,687,683
Dank IPA,16.0 oz.,688,684
Dank IPA (2012),16.0 ounce,689,685
Lift Off IPA,16.0 ounce,690,686
BrewFarm Select Golden Lager,12.0 oz.,691,687
Sprocket Blonde Ale (2006),12.0 oz,692,688
Sprocket Pale Ale (2006),12.0 oz,693,689
Dead Armadillo Amber Ale,12.0 ounce,694,690
Neato Bandito,12.0 ounce,695,691
Oak Cliff Coffee Ale,12.0 oz.,696,692
Dream Crusher Double IPA,12.0 oz,697,693
Deep Ellum Pale Ale,12.0 oz,698,694
Double Brown Stout,12.0 oz.,699,695
Farmhouse Wit,16.0 oz,700,696
Rye Pils Session Lager,12.0 oz.,701,697
Dallas Blonde,12.0 oz.,702,698
Deep Ellum IPA,12.0 oz,703,699
Thrasher Session India Pale Ale,12.0 oz,704,700
Gutch English Style Mild Ale,12.0 oz,705,701
Chuli Stout,12.0 ounce,706,702
Mother Ale,12.0 oz.,707,703
Twister Creek India Pale Ale,12.0 oz,708,704
Single Engine Red,12.0 oz,709,705
Incredible Pedal IPA,12.0 oz,710,706
Graham Cracker Porter,12.0 oz.,711,707
Mirror Pond Pale Ale,12.0 oz.,712,708
Weissenheimer,12.0 oz,713,709
Abbey's Single (2015- ),12.0 OZ.,714,710
Vertex IPA,12.0 ounce,715,711
Here Gose Nothin',12.0 OZ.,716,712
Strawberry Blonde,12.0 oz.,717,713
Hoperation Overload,12.0 oz.,718,714
Abbey's Single Ale (Current),12.0 ounce,719,715
Bravo Four Point,12.0 oz.,720,716
Striped Bass Pale Ale,12.0 OZ.,721,717
Deadicated Amber,16.0 oz.,722,718
Kaleidoscope Collaboration 2012,16.0 OZ.,723,719
California Sunshine Rye IPA,16.0 oz,724,720
Full Boar Scotch Ale,16.0 oz,725,721
12 Man Pale Ale,12.0 oz.,726,722
Filthy Hoppin' IPA,16.0 ounce,727,723
Dock Street Amber Beer (1992),12.0 OZ.,728,724
Dolores River Hefeweizen,16.0 oz. Alumi-Tek,729,725
Dolores River ESB,16.0 oz.,730,726
Snaggletooth Double Pale Ale,16.0 ounce,731,727
Dolores River Pale Ale,16.0 oz,732,728
Dolores River Dry Stout,16.0 ounce,733,729
Dolores River Mild,16.0 oz,734,730
Cranberry Blend,12.0 oz,735,731
Orignal Blend,12.0 oz,736,732
Hop Abomination,12.0 OZ.,737,733
Apricot Blonde,12.0 ounce,738,734
Dry Dock Hefeweizen,12.0 oz,739,735
Dry Dock Amber Ale,12.0 ounce,740,736
Category 3 IPA,12.0 ounce,741,737
Dundee Summer Wheat Beer,12.0 oz.,742,738
Pumpkin Patch Ale,16.0 ounce,743,739
Crank Yanker IPA,16.0 ounce,744,740
River Runners Pale Ale,16.0 OZ.,745,741
Pumpkin Patch Ale (2012),16.0 oz.,746,742
Mountain Fairy Raspberry Wheat,16.0 ounce,747,743
Boater Beer,16.0 ounce,748,744
Crank Yanker IPA (2011),16.0 oz,749,745
Bleeding Buckeye Red Ale,16.0 oz.,750,746
Dottie Seattle Lager,16.0 oz. Silo Can,751,747
Nut Sack Imperial Brown Ale,12.0 ounce,752,748
Underachiever,16.0 ounce,753,749
Lil' Brainless Raspberries,12.0 oz. Alumi-Tek,754,750
Element 29,12.0 oz,755,751
Hop Syndrome,12.0 oz.,756,752
Escape to Colorado,12.0 oz.,757,753
Little Sister India Style Session Ale,12.0 ounce,758,754
Country Boy IPA,12.0 oz.,759,755
Blonde Czich,16.0 ounce,760,756
White Reaper,16.0 ounce,761,757
Bobblehead,16.0 oz.,762,758
Lucky Dog,16.0 oz.,763,759
Voodoo,16.0 oz,764,760
General George Patton Pilsner,16.0 oz,765,761
Nomader Weiss,12.0 oz,766,762
Molotov Lite,16.0 oz.,767,763
Hipster Ale (Two Roads Brewing),12.0 oz.,768,764
Bikini Beer,12.0 oz,769,765
Hipster Ale (Westbrook Brewing),12.0 oz.,770,766
Iron Horse Pale Ale,12.0 oz.,771,767
Stone's Throw IPA,12.0 oz.,772,768
Wood Chipper India Pale Ale,12.0 oz,773,769
Trail Head,12.0 oz,774,770
Hop Stalker Fresh Hop IPA,16.0 oz.,775,771
Sudice American Stout,16.0 oz,776,772
Parcae Belgian Style Pale Ale,16.0 oz.,777,773
Norns Roggenbier,16.0 oz.,778,774
Laimas Kölsch Style Ale,16.0 oz,779,775
Moirai India Pale Ale,16.0 ounce,780,776
Loki Red Ale,16.0 ounce,781,777
Peaches & Cream,16.0 oz.,782,778
Quaff India Style Session Ale,16.0 OZ.,783,779
Loki Red Ale (2013),16.0 OZ.,784,780
Mjolnir Imperial IPA,16.0 oz,785,781
Fearless Scottish Ale,16.0 ounce,786,782
Mastermind,12.0 oz.,787,783
Hyzer Flip,16.0 oz.,788,784
Second Fiddle,16.0 oz.,789,785
Hodad Porter,16.0 oz.,790,786
Weiss Weiss Baby,12.0 oz.,791,787
Czech Yo Self,12.0 oz.,792,788
FMB 101,12.0 oz.,793,789
Hardcore Chimera,16.0 oz.,794,790
Sobek & Set,16.0 ounce,795,791
Nuclear Winter,16.0 oz.,796,792
Wet Hot American Wheat Ale,16.0 ounce,797,793
Secret Stache Stout,16.0 oz.,798,794
Fascist Pig Ale,16.0 oz. Alumi-Tek,799,795
Cut Throat Pale Ale,16.0 ounce,800,796
Threadless IPA,16.0 ounce,801,797
Cut Throat Pale Ale (2011),16.0 oz,802,798
Golden Wing Blonde Ale,16.0 oz,803,799
Easy Jack,12.0 oz,804,800
Union Jack,12.0 oz.,805,801
Pivo Pils,12.0 oz.,806,802
805 Blonde Ale,12.0 oz,807,803
805,12.0 oz,808,804
Deflator,16.0 oz.,809,805
Hinchtown Hammer Down,16.0 ounce,810,806
Half Cycle IPA,16.0 ounce,811,807
Inclined Plane Ale,12.0 ounce,812,808
Moped Traveler,16.0 oz,813,809
Snake Dog IPA,12.0 ounce,814,810
Underdog Atlantic Lager,12.0 oz.,815,811
Flying Mouse 8,12.0 oz.,816,812
Flying Mouse 4,12.0 ounce,817,813
La Ferme Urbaine Farmhouse Ale,12.0 oz. Alumi-Tek,818,814
Backyahd IPA,12.0 oz,819,815
Raincloud Robust Porter,12.0 ounce,820,816
Barstool American Golden Ale,12.0 oz,821,817
What the Butler Saw,12.0 oz.,822,818
1916 Shore Shiver,12.0 oz.,823,819
Quick WIT,12.0 oz.,824,820
The Optimist,12.0 ounce,825,821
Suicide Squeeze IPA,16.0 oz.,826,822
Java the Hop,16.0 oz.,827,823
Next Adventure Black IPA,16.0 oz.,828,824
3-Way IPA (2013),16.0 ounce,829,825
Tender Loving Empire NWPA,16.0 oz.,830,826
Quick Wit Belgianesque Ale,16.0 oz.,831,827
Sunrise Oatmeal Pale Ale,16.0 oz,832,828
Cavatica Stout,16.0 ounce,833,829
1811 Lager,16.0 oz,834,830
Vortex IPA,16.0 ounce,835,831
Fort Pitt Ale,12.0 oz.,836,832
Park,12.0 oz.,837,833
Westfalia,12.0 ounce,838,834
KSA,12.0 oz,839,835
Villager,12.0 oz,840,836
Dirty Bastard,12.0 ounce,841,837
Centennial IPA,12.0 oz.,842,838
All Day IPA,12.0 oz.,843,839
El Chingon IPA,12.0 oz,844,840
Block Party Robust Porter,12.0 ounce,845,841
Local Buzz,12.0 oz,846,842
Feel Like Maplin' Love,16.0 oz,847,843
Father's Beer,16.0 ounce,848,844
The 26th,16.0 oz.,849,845
The Gadget,16.0 oz. Alumi-Tek,850,846
Leprechaun Lager,12.0 oz. Alumi-Tek,851,847
Sunbru Kölsch,12.0 oz,852,848
Kilt Lifter Scottish-Style Ale,12.0 oz,853,849
Pumpkin Porter,12.0 oz.,854,850
Four Peaks Peach Ale,12.0 oz.,855,851
Hop Knot IPA,12.0 oz,856,852
Kilt Lifter Scottish-Style Ale (2009),12.0 oz.,857,853
Sunbru Kölsch,12.0 oz,858,848
Four String Vanilla Porter,12.0 ounce,859,854
Suncaster Summer Wheat,12.0 oz.,860,855
Brass Knuckle Pale Ale,12.0 oz. Alumi-Tek,861,856
Big Star White IPA,12.0 ounce,862,857
Old Detroit,12.0 oz.,863,858
Batch 69 IPA,12.0 oz. Alumi-Tek,864,859
Twisted Helles Summer Lager,12.0 ounce,865,860
OktoberFiesta,12.0 oz. Alumi-Tek,866,861
Texicali,12.0 oz.,867,862
Pinata Protest,12.0 oz.,868,863
Bat Outta Helles,12.0 oz.,869,864
Original,12.0 oz.,870,865
Rye Wit,12.0 ounce,871,866
Soul Doubt,12.0 oz,872,867
Yo Soy Un Berliner,12.0 ounce,873,868
77 Fremont Select Spring Session IPA,12.0 ounce,874,869
Fremont Organic Pale Ale,12.0 oz,875,870
Abominable Ale,12.0 ounce,876,871
Harvest Ale,12.0 oz,877,872
Fremont Summer Ale,12.0 oz,878,873
Universale Pale Ale,12.0 oz.,879,874
Interurban IPA,12.0 oz,880,875
Gateway Kolsch Style Ale,12.0 oz.,881,876
Wee-Heavy-Er Scotch Ale,12.0 oz,882,877
13 Rebels ESB,12.0 oz.,883,878
Salamander Slam,16.0 oz. Alumi-Tek,884,879
Cack-A-Lacky,12.0 OZ.,885,880
No Wake IPA,12.0 oz.,886,881
Boathouse Blonde,12.0 ounce,887,882
Cedar Point,12.0 ounce,888,883
Clean Shave IPA,12.0 oz,889,884
Might As Well IPL,16.0 oz,890,885
Saison Pamplemousse,12.0 OZ.,891,886
2020 IPA,16.0 oz.,892,887
Wolf Among Weeds IPA,16.0 oz.,893,888
Better Weather IPA,16.0 oz,894,889
Point the Way IPA,16.0 oz.,895,890
Golden Road Hefeweizen,16.0 ounce,896,891
Heal the Bay IPA,16.0 oz,897,892
Point the Way IPA,12.0 oz,898,893
Cabrillo Kölsch,16.0 oz,899,894
Get Up Offa That Brown,16.0 oz.,900,895
Burning Bush Smoked IPA,16.0 oz.,901,896
Wolf Among Weeds IPA (2012),16.0 oz.,902,897
Point the Way IPA (2012),16.0 oz.,903,898
Golden Road Hefeweizen (2012),16.0 ounce,904,899
Vanilla Porter,16.0 ounce,905,900
Descender IPA,12.0 ounce,906,901
Sweet As Pacific Ale,12.0 oz.,907,902
Good People Pale Ale,12.0 oz.,908,903
Snake Handler Double IPA,12.0 oz,909,904
Coffee Oatmeal Stout,12.0 oz.,910,905
Good People IPA,12.0 ounce,911,906
Good People American Brown Ale,12.0 ounce,912,907
Mountain Rescue Pale Ale,12.0 OZ.,913,908
Goose Island India Pale Ale,12.0 oz.,914,909
312 Urban Pale Ale,16.0 oz.,915,910
312 Urban Pale Ale,12.0 oz.,916,911
312 Urban Wheat Ale,16.0 oz,917,912
312 Urban Wheat Ale,12.0 ounce,918,913
312 Urban Wheat Ale (2012),12.0 oz.,919,914
Beaver Logger,12.0 ounce,920,915
White Water Wheat,12.0 oz.,921,916
Grand Canyon American Pilsner,12.0 oz.,922,917
Grand Canyon Sunset Amber Ale,12.0 oz. Silo Can,923,918
Black Iron India Pale Ale,12.0 oz.,924,919
Monarch Classic American Wheat,12.0 oz.,925,920
Sir William's English Brown Ale,12.0 oz.,926,921
Lakefire Rye Pale Ale,12.0 oz.,927,922
Beer Agent Re-Ignition,16.0 oz.,928,923
Cherry Ale,16.0 OZ.,929,924
Bourbon Barrel Aged Coconut Porter,16.0 oz,930,925
Great Crescent IPA,16.0 oz.,931,926
Aurora Lager,16.0 oz,932,927
Great Crescent Blonde Ale,16.0 oz.,933,928
Great Crescent Coconut Porter,16.0 oz.,934,929
Great Crescent Oktoberfest Lager,16.0 oz.,935,930
Great Crescent Brown Ale,16.0 OZ.,936,931
Cherry Ale (1),16.0 oz.,937,932
Aurora Lager (2011),16.0 oz.,938,933
Frosted Fields Winter Wheat,16.0 oz.,939,934
Great Crescent Belgian Style Wit,16.0 oz,940,935
Bourbon's Barrel Stout,16.0 oz,941,936
Great Crescent Stout,16.0 oz,942,937
Great Crescent Coconut Porter (2012),16.0 oz.,943,938
Great Crescent Dark Lager,16.0 oz,944,939
Great Crescent Mild Ale,16.0 oz.,945,940
Great Crescent IPA (2011),16.0 oz.,946,941
Great Crescent Blonde Ale (2011),16.0 oz,947,942
Denver Pale Ale (Artist Series No. 1),12.0 oz,948,943
Hibernation Ale,12.0 oz,949,944
Whitewater,12.0 oz.,950,945
Rumble,12.0 ounce,951,946
Orabelle,12.0 oz,952,947
Lasso,12.0 oz.,953,948
Yeti  Imperial Stout,12.0 ounce,954,949
Colette,12.0 OZ.,955,950
Titan IPA,12.0 oz.,956,951
Black Star Double Hopped Golden Lager (24 oz.),24.0 oz.,957,952
Black Star Double Hopped Golden Lager (12 oz.),12.0 ounce,958,953
Commotion APA,12.0 ounce,959,954
Southern Drawl Pale Lager,12.0 oz,960,955
Chickawawa Lemonale,12.0 oz,961,956
Barrel Aged Farmer,16.0 ounce,962,957
Great River Golden Ale,12.0 ounce,963,958
Dirty Blonde Chocolate Ale,12.0 oz.,964,959
Dos Pistolas,12.0 oz.,965,960
Owney Irish Style Red Ale,16.0 ounce,966,961
Aaah Bock Lager,16.0 OZ.,967,962
Widespread Wit,16.0 oz.,968,963
Roller Dam Red Ale,16.0 oz. Alumi-Tek,969,964
483 Pale Ale,16.0 oz.,970,965
Hop A Potamus Double Dark Rye Pale Ale,16.0 oz.,971,966
Farmer Brown Ale,16.0 ounce,972,967
Big Cock IPA,16.0 oz,973,968
Oktoberfest,16.0 oz.,974,969
40th Annual Bix Street Fest Copper Ale (Current),16.0 oz.,975,970
Redband Stout,16.0 oz.,976,971
483 Pale Ale (2010),16.0 oz,977,972
Roller Dam Red Ale (2010),16.0 oz,978,973
Pablo Beach Pale Ale,12.0 oz.,979,974
Wild Trail Pale Ale,12.0 ounce,980,975
Mothman Black IPA,12.0 ounce,981,976
Autumn Winds Fest Beer,16.0 ounce,982,977
Captain's Daughter,12.0 oz,983,978
Autumn Winds,16.0 oz. Alumi-Tek,984,979
Flying Jenny Extra Pale Ale,12.0 oz.,985,980
Hazy Day Belgian-Style Wit,16.0 ounce,986,981
Bring Back the Beach Blonde Ale,16.0 ounce,987,982
Leaning Chimney Smoked Porter,16.0 OZ.,988,983
Flying Jenny Extra Pale Ale (2012),12.0 oz.,989,984
Flagship Ale,12.0 oz.,990,985
Mr. Blue Sky,16.0 oz.,991,986
3 Scrooges,16.0 ounce,992,987
Screamin’ Pumpkin,16.0 ounce,993,988
Grand Trunk Bohemian Pils,16.0 ounce,994,989
El Rojo,16.0 ounce,995,990
Norm's Raggedy Ass IPA,16.0 OZ.,996,991
Grind Line,16.0 ounce,997,992
Norm's Gateway IPA,12.0 oz,998,993
Lemon Shandy Tripel,16.0 oz,999,994
Little Red Cap,12.0 oz.,1000,995
Supergoose IPA,12.0 oz,1001,996
Hale's Pale American Ale,12.0 ounce,1002,997
Heyoka IPA,16.0 oz.,1003,998
Guest Lager,16.0 oz.,1004,999
Pony Pilsner,16.0 oz.,1005,1000
Akari Shogun American Wheat Ale,16.0 oz,1006,1001
Meat Wave,16.0 oz,1007,1002
Over Ale,16.0 oz.,1008,1003
Gossamer Golden Ale,16.0 oz,1009,1004
Daisy Cutter Pale Ale,16.0 oz,1010,1005
Pursuit,12.0 oz. Alumi-Tek,1011,1006
Half Full Bright Ale,12.0 oz,1012,1007
Orange Wheat,12.0 oz. Alumi-Tek,1013,1008
Hangar 24 Helles Lager,12.0 oz,1014,1009
The Great Return,16.0 oz.,1015,1010
Hardywood Cream Ale,12.0 oz,1016,1011
Capital Trail Pale Ale,12.0 ounce,1017,1012
UFO Gingerland,12.0 oz,1018,1013
The Long Thaw White IPA,12.0 ounce,1019,1014
Honey Cider,12.0 oz.,1020,1015
Harpoon Summer Beer,12.0 oz.,1021,1016
Harpoon IPA,12.0 ounce,1022,1017
UFO Pumpkin,12.0 oz.,1023,1018
Harpoon Octoberfest,12.0 oz.,1024,1019
Harpoon IPA (2012),12.0 ounce,1025,1020
Harpoon Summer Beer (2012),12.0 oz,1026,1021
UFO White,12.0 oz.,1027,1022
Harpoon Summer Beer (2010),12.0 OZ.,1028,1023
Harpoon IPA (2010),12.0 oz,1029,1024
Great Falls Select Pale Ale,12.0 oz.,1030,1025
Beltian White,12.0 oz.,1031,1026
Kaua'i Golden Ale,12.0 ounce,1032,1027
Sunset Amber,12.0 oz,1033,1028
Hapa Brown Ale,19.2 oz.,1034,1029
Hapa Brown Ale,12.0 ounce,1035,1030
Southern Cross,19.2 oz,1036,1031
Groupe G,16.0 oz.,1037,1032
Pt. Bonita Rustic Lager,16.0 oz,1038,1033
Hill 88 Double IPA,16.0 ounce,1039,1034
Loose Cannon,12.0 oz,1040,1035
AARGHtoberfest!,12.0 oz,1041,1036
Davy Jones Lager,12.0 OZ.,1042,1037
Grazias,16.0 OZ.,1043,1038
Habitus IPA,16.0 oz,1044,1039
Ex Umbris Rye Imperial Stout,16.0 oz,1045,1040
The Golden One,12.0 ounce,1046,1041
The Power of Zeus,12.0 oz. Alumi-Tek,1047,1042
Tonganoxie Honey Wheat,12.0 oz,1048,1043
Oregon Trail Unfiltered Raspberry Wheat,12.0 oz.,1049,1044
Annie's Amber Ale,12.0 ounce,1050,1045
The 12th Can™,16.0 oz. Alumi-Tek,1051,1046
Hilliard's Pils,16.0 oz.,1052,1047
Hilliard's Blonde,16.0 oz.,1053,1048
Hilliard's Amber Ale,16.0 oz.,1054,1049
Hilliard's Saison,16.0 oz,1055,1050
White Cap White IPA,16.0 oz.,1056,1051
Provision,12.0 oz.,1057,1052
One Nut Brown,12.0 ounce,1058,1053
Hop Farm IPA,12.0 oz,1059,1054
Double D Blonde,12.0 oz,1060,1055
Festeroo Winter Ale,12.0 oz.,1061,1056
Proxima IPA,12.0 oz.,1062,1057
Double D Blonde (2013),12.0 oz.,1063,1058
541 American Lager,12.0 ounce,1064,1059
Alphadelic IPA,12.0 oz.,1065,1060
Alphadelic IPA (2011),12.0 oz.,1066,1061
Double D Blonde (2011),12.0 oz.,1067,1062
Green House India Pale Ale,12.0 oz,1068,1063
The One They Call Zoe,12.0 oz.,1069,1064
Alteration,12.0 oz.,1070,1065
Pale Dog,12.0 ounce,1071,1066
Porter Culture,12.0 oz.,1072,1067
Hard Cider,16.0 oz,1073,1068
Totally Radler,16.0 oz,1074,1069
Nonstop Hef Hop,16.0 ounce,1075,1070
Nonstop Hef Hop,16.0 oz.,1076,1071
Nonstop Hef Hop,16.0 ounce,1077,1070
Nonstop Hef Hop,16.0 ounce,1078,1070
Nonstop Hef Hop,16.0 ounce,1079,1070
Nonstop Hef Hop,16.0 oz,1080,1072
Nonstop Hef Hop,16.0 ounce,1081,1070
Nonstop Hef Hop,16.0 oz,1082,1072
Nonstop Hef Hop,16.0 oz. Alumi-Tek,1083,1073
Nonstop Hef Hop,16.0 oz,1084,1072
Nonstop Hef Hop,16.0 oz,1085,1072
Nonstop Hef Hop,16.0 oz,1086,1072
Rise Up Red,16.0 oz,1087,1074
Survival Stout,16.0 oz.,1088,1075
Hopworks IPA,16.0 oz.,1089,1076
Abominable Winter Ale,16.0 oz.,1090,1077
Pigwar White India Pale Ale,16.0 oz,1091,1078
Rise-Up Red (2014),16.0 ounce,1092,1079
Abominable Winter Ale (2012),16.0 oz,1093,1080
HUB Lager,16.0 oz,1094,1081
Hopworks IPA (2012),16.0 oz.,1095,1082
Watermelon Wheat,12.0 oz.,1096,1083
Laka Laka Pineapple,12.0 oz.,1097,1084
Oktoberfest,16.0 oz.,1098,969
Trail Maker Pale Ale,12.0 oz.,1099,1085
Action Man Lager,12.0 oz.,1100,1086
Let It Ride IPA,12.0 oz,1101,1087
Stir Crazy Winter Ale,12.0 ounce,1102,1088
Sweet Yamma Jamma Ale,12.0 ounce,1103,1089
Shenanigans Summer Ale,12.0 oz.,1104,1090
Midnight Ryder,12.0 ounce,1105,1091
Day Tripper Pale Ale,12.0 oz,1106,1092
Oklahoma Suks,12.0 oz,1107,1093
Power & Light,12.0 oz.,1108,1094
White Rabbit,12.0 oz. Alumi-Tek,1109,1095
Tribute,12.0 oz,1110,1096
Infamous IPA,12.0 oz.,1111,1097
Hijack,12.0 oz.,1112,1098
Jon Boat Coastal Ale,12.0 oz.,1113,1099
I-10 IPA,12.0 oz,1114,1100
People's Pale Ale,12.0 oz,1115,1101
Summer Ale,12.0 oz,1116,1102
Appreciation Ale,16.0 oz.,1117,1103
House Lager,16.0 oz,1118,1104
Leisure Time,12.0 OZ.,1119,1105
Excess IPL,16.0 oz.,1120,1106
Hoponius Union,12.0 ounce,1121,1107
Calyptra,12.0 oz. Alumi-Tek,1122,1108
Helen's Blend,12.0 OZ.,1123,1109
Jack's Hard Cider,12.0 oz.,1124,1110
Thunder Ann,12.0 oz.,1125,1111
Razz Wheat,12.0 ounce,1126,1112
Hop Ryot,12.0 ounce,1127,1113
Mystic Mama IPA,12.0 oz.,1128,1114
Firefly Amber Ale,12.0 oz,1129,1115
Chomolungma Honey Nut Brown Ale,12.0 ounce,1130,1116
Welcome to Scoville,12.0 oz.,1131,1117
Bastian,12.0 ounce,1132,1118
Healani,12.0 oz.,1133,1119
Yabba Dhaba Chai Tea Porter,12.0 oz,1134,1120
A Capella Gluten Free Pale Ale,12.0 OZ.,1135,1121
Casper White Stout,12.0 oz.,1136,1122
JP's Ould Sod Irish Red IPA,12.0 oz,1137,1123
Weize Guy,12.0 ounce,1138,1124
Fox Tail Gluten Free Ale,12.0 oz,1139,1125
Hop Box Imperial IPA,12.0 oz,1140,1126
Joseph James American Lager,12.0 oz,1141,1127
Sucha Much IPA,12.0 oz. Alumi-Tek,1142,1128
Lewbricator Wheat Dopplebock,12.0 oz.,1143,1129
Weisse Versa (2012),12.0 oz.,1144,1130
Mother in Lager,12.0 oz.,1145,1131
Weekend Warrior Pale Ale,12.0 oz.,1146,1132
Karbachtoberfest,12.0 ounce,1147,1133
Love Street Summer Seasonal (2014),12.0 ounce,1148,1134
Barn Burner Saison,12.0 oz. Alumi-Tek,1149,1135
Rodeo Clown Double IPA,12.0 OZ.,1150,1136
Sympathy for the Lager,12.0 oz.,1151,1137
Weisse Versa,12.0 oz.,1152,1138
Hopadillo India Pale Ale,12.0 oz,1153,1139
KelSo Nut Brown Lager,12.0 oz.,1154,1140
KelSo India Pale Ale,12.0 oz,1155,1141
KelSo Pilsner,12.0 ounce,1156,1142
Skilak Scottish Ale,12.0 oz,1157,1143
Peninsula Brewers Reserve (PBR),12.0 ounce,1158,1144
Sunken Island IPA,12.0 oz. Alumi-Tek,1159,1145
Skilak Scottish Ale (2011),12.0 oz,1160,1146
Cold Smoke Scotch Ale (2007),16.0 oz.,1161,1147
Double Haul IPA (2009),16.0 ounce,1162,1148
Double Haul IPA (2006),16.0 oz.,1163,1149
Eddy Out Pale Ale,16.0 oz.,1164,1150
Double Haul IPA,16.0 ounce,1165,1151
Cold Smoke Scotch Ale,16.0 oz.,1166,1152
U. P. Witbier,12.0 oz.,1167,1153
November Gale Pale Ale,12.0 oz.,1168,1154
Olde Ore Dock Scottish Ale,12.0 oz.,1169,1155
Widow Maker Black Ale,12.0 oz,1170,1156
Lift Bridge Brown Ale,12.0 oz. Alumi-Tek,1171,1157
Pick Axe Blonde Ale,12.0 oz,1172,1158
Red Jacket Amber Ale,12.0 oz,1173,1159
Amber Ale,12.0 oz.,1174,1160
King Street Pilsner,12.0 oz.,1175,1161
King Street IPA,12.0 OZ.,1176,1162
King Street Hefeweizen,12.0 oz. Alumi-Tek,1177,1163
King Street Blonde Ale,12.0 oz.,1178,1164
India Pale Ale,16.0 ounce,1179,1165
Blackberry Wheat,16.0 oz.,1180,1166
Longboard Island Lager,24.0 oz.,1181,1167
Longboard Island Lager,16.0 oz,1182,1168
Longboard Island Lager,12.0 oz.,1183,1169
Longboard Island Lager,12.0 oz,1184,1170
Choc Beer (2003),12.0 oz.,1185,1171
Bellingham Beer Week 2013 Collaboration,16.0 oz.,1186,1172
A Slice of Hefen,16.0 oz.,1187,1173
Elevated IPA,16.0 ounce,1188,1174
Rumspringa Golden Bock,12.0 oz.,1189,1175
Lancaster German Style Kölsch,12.0 oz.,1190,1176
Beach Cruiser,12.0 ounce,1191,1177
I.P. Eh!,12.0 ounce,1192,1178
Schoolhouse Honey,12.0 oz,1193,1179
10 Degrees of Separation,12.0 ounce,1194,1180
Laughing Dog Cream Ale,12.0 oz,1195,1181
Two-One Niner,12.0 ounce,1196,1182
Laughing Dog IPA,12.0 oz,1197,1183
Madra Allta,12.0 oz. Alumi-Tek,1198,1184
Duluchan India Pale Ale,12.0 oz.,1199,1185
Lazy Monk Bohemian Pilsner,16.0 oz,1200,1186
