Duration,RatingValue,original_index,unique_index
70 min,8.0,1144,909
75 min,7.9,1145,910
74 min,6.5,1146,911
79 min,7.0,1147,598
99 min,7.2,1148,912
73 min,7.2,1149,913
150 min,7.8,1150,914
178 min,7.8,1151,915
161 min,8.2,1152,916
158 min,7.7,1153,917
144 min,7.7,1154,918
132 min,6.8,1155,919
175 min,7.4,1156,920
126 min,7.2,1157,921
121 min,7.0,1158,18
167 min,6.8,1159,922
118 min,6.3,1160,923
144 min,7.5,1161,767
91 min,6.9,1162,255
95 min,6.8,1163,924
95 min,7.0,1164,925
170 min,8.3,1165,926
96 min,7.5,1166,3
111 min,8.2,1167,927
118 min,7.8,1168,928
114 min,8.1,1169,929
113 min,7.7,1170,930
125 min,8.3,1171,931
172 min,8.2,1172,932
115 min,8.0,1173,91
110 min,8.5,1174,933
116 min,8.4,1175,934
107 min,8.4,1176,935
101 min,8.0,1177,936
110 min,5.8,1178,937
83 min,7.7,1179,938
136 min,7.1,1180,939
143 min,8.1,1181,940
129 min,5.9,1182,941
104 min,7.4,1183,21
121 min,8.1,1184,942
121 min,7.3,1185,943
112 min,7.1,1186,633
115 min,7.0,1187,944
124 min,6.8,1188,945
92 min,8.0,1189,946
134 min,7.5,1190,947
112 min,6.9,1191,948
109 min,6.7,1192,949
119 min,7.5,1193,950
116 min,7.0,1194,383
123 min,6.5,1195,951
89 min,5.9,1196,189
101 min,7.2,1197,952
124 min,7.0,1198,576
130 min,7.7,1199,953
113 min,7.9,1200,954
169 min,8.0,1201,304
169 min,7.1,1202,955
142 min,7.3,1203,956
161 min,8.0,1204,957
143 min,8.1,1205,940
151 min,7.3,1206,958
194 min,7.7,1207,959
146 min,7.7,1208,204
126 min,6.7,1209,87
,"6.2/10,5.5/10",1210,960
84 min,7.3,1211,639
154 min,6.3,1212,961
127 min,7.3,1213,54
107 min,6.7,1214,587
104 min,6.8,1215,780
126 min,7.7,1216,962
150 min,6.0,1217,963
165 min,5.8,1218,964
116 min,6.5,1219,828
88 min,6.1,1220,378
92 min,6.4,1221,877
158 min,5.8,1222,965
151 min,6.6,1223,966
124 min,6.4,1224,967
103 min,6.0,1225,968
118 min,6.5,1226,199
131 min,6.0,1227,969
120 min,6.5,1228,778
100 min,5.7,1229,281
124 min,6.5,1230,970
100 min,6.4,1231,441
143 min,7.3,1232,971
83 min,5.9,1233,972
179 min,8.7,1234,973
201 min,8.9,1235,974
178 min,8.8,1236,975
136 min,6.5,1237,976
140 min,7.7,1238,977
142 min,6.7,1239,802
118 min,7.6,1240,978
113 min,6.8,1241,618
110 min,7.8,1242,979
133 min,7.2,1243,980
131 min,6.6,1244,981
118 min,4.7,1245,982
130 min,7.8,1246,522
104 min,6.4,1247,303
95 min,5.8,1248,190
113 min,5.7,1249,983
97 min,6.1,1250,363
97 min,7.2,1251,194
125 min,6.8,1252,984
157 min,7.6,1253,985
113 min,6.3,1254,437
146 min,7.7,1255,204
153 min,7.5,1256,986
138 min,7.5,1257,987
161 min,7.3,1258,494
170 min,8.3,1259,926
156 min,8.0,1260,988
119 min,7.4,1261,224
127 min,7.8,1262,989
157 min,6.8,1263,990
112 min,7.8,1264,433
107 min,6.5,1265,991
133 min,6.3,1266,992
119 min,6.9,1267,993
128 min,6.0,1268,994
147 min,7.6,1269,995
105 min,8.2,1270,996
110 min,7.3,1271,997
192 min,7.1,1272,998
113 min,7.6,1273,365
145 min,7.2,1274,558
81 min,7.1,1275,999
100 min,5.5,1276,1000
,"5.4/10,5.1/10",1277,1001
78 min,6.2,1278,1002
117 min,6.1,1279,1003
108 min,5.9,1280,151
140 min,7.2,1281,1004
107 min,6.8,1282,1005
140 min,6.8,1283,1006
118 min,7.3,1284,765
181 min,8.0,1285,1007
145 min,7.3,1286,1008
130 min,7.8,1287,522
119 min,8.0,1288,466
93 min,6.6,1289,1009
121 min,7.9,1290,1010
129 min,6.0,1291,1011
90 min,5.1,1292,1012
95 min,6.5,1293,1013
124 min,6.0,1294,308
131 min,7.1,1295,1014
118 min,7.3,1296,765
118 min,7.2,1297,634
128 min,7.5,1298,1015
113 min,7.8,1299,1016
,"6.4/10,6.3/10",1300,1017
129 min,7.7,1301,1018
125 min,6.9,1302,1019
,"6.9/10,6.2/10",1303,1020
136 min,7.2,1304,1021
135 min,7.5,1305,1022
,"6.2/10,6.2/10",1306,1023
113 min,6.8,1307,618
124 min,5.9,1308,1024
85 min,6.3,1309,1025
56 min,6.5,1310,854
99 min,7.4,1311,573
1 hr. 57 min.,6.8/10,1312,1026
121 min,7.8,1313,1027
229 min,8.4,1314,1028
178 min,8.2,1315,1029
129 min,7.8,1316,1030
116 min,7.2,1317,1031
138 min,7.2,1318,1032
129 min,6.7,1319,1033
121 min,6.9,1320,1034
138 min,7.3,1321,1035
102 min,6.6,1322,1036
99 min,5.4,1323,1037
113 min,6.4,1324,1038
107 min,5.5,1325,1039
106 min,6.3,1326,61
107 min,7.2,1327,1040
111 min,7.2,1328,346
96 min,5.5,1329,1041
97 min,5.3,1330,1042
138 min,7.1,1331,1043
124 min,6.8,1332,945
170 min,7.9,1333,1044
102 min,8.1,1334,1045
117 min,7.0,1335,1046
118 min,7.8,1336,928
175 min,6.8,1337,1047
1 hr. 32 min.,"5.4/10,4.2/10",1338,1048
104 min,7.7,1339,1049
102 min,5.6,1340,1050
125 min,6.9,1341,1019
68 min,7.1,1342,1051
78 min,7.1,1343,674
64 min,7.3,1344,1052
83 min,7.6,1345,572
88 min,7.5,1346,901
75 min,7.4,1347,1053
76 min,7.4,1348,1054
79 min,7.2,1349,69
94 min,7.4,1350,1055
70 min,7.4,1351,908
74 min,7.3,1352,1056
75 min,7.3,1353,797
101 min,4.7,1354,1057
89 min,4.5,1355,1058
94 min,5.3,1356,541
112 min,5.8,1357,1059
87 min,5.6,1358,1060
91 min,5.8,1359,371
87 min,6.0,1360,1061
87 min,5.0,1361,1062
102 min,5.7,1362,1063
124 min,7.4,1363,563
93 min,6.0,1364,1064
105 min,6.0,1365,1065
94 min,6.4,1366,670
109 min,6.0,1367,1066
124 min,7.1,1368,1067
130 min,6.4,1369,1068
99 min,6.1,1370,195
97 min,6.4,1371,406
128 min,7.8,1372,1069
83 min,8.1,1373,1070
124 min,7.3,1374,1071
95 min,8.7,1375,1072
123 min,8.1,1376,1073
94 min,5.9,1377,314
120 min,8.0,1378,605
122 min,7.5,1379,1074
94 min,7.9,1380,1075
112 min,8.5,1381,1076
128 min,8.4,1382,1077
119 min,8.4,1383,1078
90 min,5.2,1384,1079
119 min,7.8,1385,1080
133 min,8.7,1386,1081
102 min,4.2,1387,1082
126 min,7.0,1388,1083
102 min,7.4,1389,900
97 min,7.1,1390,1084
,7.0,1391,1085
129 min,7.8,1392,1030
100 min,6.6,1393,49
85 min,5.3,1394,503
103 min,5.6,1395,1086
87 min,6.2,1396,488
92 min,6.0,1397,1087
88 min,5.5,1398,1088
93 min,6.2,1399,565
1 hr. 45 min.,"6.5/10,3.1/10",1400,1089
89 min,6.4,1401,652
97 min,7.0,1402,55
103 min,6.6,1403,1090
130 min,6.7,1404,1091
119 min,6.5,1405,1092
100 min,6.9,1406,1093
119 min,7.0,1407,1094
89 min,4.8,1408,1095
92 min,6.7,1409,691
93 min,6.3,1410,1096
94 min,7.3,1411,1097
119 min,6.4,1412,1098
,"6.5/10,6.6/10",1413,1099
98 min,6.9,1414,1100
92 min,7.0,1415,739
94 min,6.2,1416,796
81 min,5.9,1417,1101
101 min,6.4,1418,505
88 min,6.2,1419,302
108 min,7.1,1420,334
98 min,5.5,1421,1102
83 min,6.4,1422,1103
95 min,7.0,1423,925
85 min,6.2,1424,370
86 min,5.9,1425,1104
90 min,5.3,1426,457
93 min,5.6,1427,1105
94 min,5.4,1428,810
,"5.4/10,4.9/10",1429,1106
93 min,4.9,1430,1107
86 min,5.4,1431,1108
104 min,6.0,1432,1109
113 min,6.1,1433,1110
96 min,6.8,1434,689
106 min,7.8,1435,1111
126 min,7.2,1436,921
114 min,7.8,1437,1112
104 min,5.1,1438,1113
96 min,7.2,1439,1
101 min,6.1,1440,574
106 min,6.1,1441,294
99 min,7.0,1442,850
93 min,6.2,1443,565
82 min,6.2,1444,1114
103 min,5.9,1445,1115
98 min,6.0,1446,197
88 min,5.4,1447,130
92 min,5.5,1448,1116
106 min,5.9,1449,157
,,1450,29
118 min,5.9,1451,237
84 min,4.8,1452,296
92 min,5.1,1453,1117
102 min,5.2,1454,1118
96 min,5.4,1455,1119
94 min,6.4,1456,670
89 min,5.9,1457,189
88 min,5.9,1458,422
140 min,6.2,1459,1120
115 min,6.7,1460,777
137 min,8.4,1461,1121
109 min,6.4,1462,557
117 min,8.5,1463,1122
114 min,6.4,1464,1123
113 min,7.5,1465,234
90 min,6.7,1466,892
141 min,7.2,1467,1124
101 min,5.6,1468,344
108 min,6.2,1469,120
107 min,6.4,1470,772
102 min,7.5,1471,1125
101 min,6.6,1472,1126
82 min,3.4,1473,1127
89 min,3.2,1474,1128
72 min,2.7,1475,1129
91 min,1.8,1476,1130
88 min,7.2,1477,142
119 min,8.1,1478,1131
78 min,5.8,1479,636
82 min,5.2,1480,122
94 min,4.1,1481,1132
102 min,6.3,1482,479
112 min,7.4,1483,261
112 min,5.8,1484,1059
104 min,6.7,1485,1133
68 min,5.8,1486,75
72 min,6.1,1487,798
74 min,7.1,1488,97
95 min,5.5,1489,786
98 min,6.7,1490,1134
109 min,5.8,1491,1135
109 min,7.6,1492,1136
87 min,4.9,1493,1137
93 min,2.8,1494,1138
90 min,3.2,1495,1139
95 min,5.2,1496,1140
89 min,4.5,1497,1058
72 min,6.1,1498,798
83 min,7.3,1499,212
74 min,7.2,1500,1141
78 min,6.9,1501,1142
78 min,7.0,1502,1143
71 min,5.6,1503,1144
71 min,6.5,1504,847
82 min,5.3,1505,1145
90 min,6.4,1506,1146
101 min,7.4,1507,278
89 min,5.0,1508,1147
76 min,6.4,1509,1148
86 min,6.2,1510,1149
71 min,5.7,1511,1150
74 min,6.7,1512,1151
96 min,5.9,1513,1152
96 min,5.7,1514,568
96 min,7.8,1515,1153
80 min,6.4,1516,530
98 min,3.8,1517,1154
99 min,5.9,1518,1155
100 min,5.5,1519,1000
104 min,5.2,1520,839
100 min,5.4,1521,1156
103 min,5.9,1522,1115
107 min,6.3,1523,1157
88 min,6.0,1524,1158
106 min,5.9,1525,157
100 min,6.4,1526,441
93 min,5.1,1527,109
91 min,5.5,1528,1159
92 min,5.4,1529,1160
1 hr. 33 min.,3.5/10,1530,1161
92 min,4.8,1531,1162
96 min,5.0,1532,1163
90 min,4.7,1533,1164
81 min,5.3,1534,1165
107 min,4.2,1535,1166
101 min,5.1,1536,529
87 min,4.1,1537,1167
88 min,5.1,1538,1168
87 min,5.2,1539,1169
94 min,5.1,1540,1170
99 min,6.1,1541,195
112 min,6.7,1542,1171
59 min,,1543,1172
101 min,6.7,1544,827
96 min,6.9,1545,660
90 min,4.8,1546,1173
100 min,6.4,1547,441
,5.1,1548,1174
104 min,5.5,1549,1175
119 min,7.8,1550,1080
49 min,8.4,1551,1176
99 min,6.7,1552,1177
90 min,5.4,1553,1178
105 min,8.1,1554,1179
95 min,8.4,1555,1180
108 min,7.2,1556,484
104 min,6.3,1557,355
,5.5,1558,1181
103 min,6.4,1559,1182
108 min,6.2,1560,120
116 min,6.9,1561,84
94 min,6.3,1562,1183
86 min,5.7,1563,256
97 min,4.7,1564,1184
108 min,5.9,1565,151
100 min,7.6,1566,1185
100 min,7.4,1567,727
122 min,7.9,1568,1186
116 min,7.9,1569,1187
88 min,6.8,1570,124
72 min,8.7,1571,1188
88 min,6.4,1572,1189
100 min,6.3,1573,229
93 min,6.7,1574,4
91 min,7.3,1575,337
90 min,6.3,1576,793
93 min,6.3,1577,1096
95 min,6.2,1578,131
123 min,4.8,1579,1190
197 min,8.0,1580,1191
155 min,7.9,1581,1192
88 min,6.7,1582,273
94 min,5.2,1583,1193
81 min,4.8,1584,1194
93 min,4.4,1585,626
91 min,6.1,1586,814
100 min,6.7,1587,1195
85 min,,1588,1196
72 min,5.4,1589,1197
73 min,6.7,1590,1198
71 min,7.8,1591,1199
70 min,8.0,1592,909
69 min,7.5,1593,1200
69 min,7.7,1594,1201
84 min,7.8,1595,1202
99 min,7.7,1596,328
148 min,6.7,1597,1203
83 min,3.5,1598,1204
95 min,7.5,1599,1205
124 min,5.4,1600,1206
122 min,6.6,1601,517
127 min,6.6,1602,1207
110 min,6.4,1603,1208
130 min,6.4,1604,1068
135 min,7.5,1605,1022
119 min,6.3,1606,1209
132 min,7.2,1607,1210
92 min,3.9,1608,1211
139 min,6.8,1609,1212
91 min,6.7,1610,1213
113 min,6.3,1611,437
99 min,5.6,1612,1214
100 min,7.3,1613,136
107 min,4.9,1614,1215
90 min,6.7,1615,892
124 min,6.2,1616,1216
98 min,5.8,1617,813
96 min,7.7,1618,622
95 min,7.3,1619,699
107 min,6.8,1620,1005
108 min,5.3,1621,1217
160 min,7.2,1622,1218
99 min,,1623,1219
96 min,4.2,1624,1220
120 min,7.4,1625,317
118 min,6.9,1626,132
127 min,6.4,1627,770
118 min,6.7,1628,1221
135 min,6.7,1629,1222
105 min,7.3,1630,1223
73 min,7.3,1631,1224
81 min,7.6,1632,747
100 min,7.1,1633,1225
127 min,6.6,1634,1207
90 min,7.4,1635,1226
99 min,5.9,1636,1155
105 min,4.9,1637,1227
88 min,6.6,1638,1228
91 min,6.0,1639,1229
84 min,6.2,1640,1230
107 min,8.3,1641,1231
101 min,5.5,1642,1232
100 min,5.4,1643,1156
101 min,4.3,1644,1233
97 min,4.4,1645,1234
126 min,7.6,1646,1235
107 min,7.4,1647,1236
94 min,7.7,1648,1237
96 min,5.7,1649,568
91 min,5.3,1650,1238
105 min,7.5,1651,1239
133 min,6.4,1652,1240
107 min,6.0,1653,1241
117 min,6.6,1654,1242
85 min,7.0,1655,578
73 min,8.1,1656,1243
57 min,7.4,1657,1244
1 hr. 29 min.,"6.3/10,7.1/10",1658,1245
82 min,6.5,1659,1246
80 min,7.7,1660,1247
65 min,7.2,1661,1248
105 min,7.8,1662,1249
97 min,6.0,1663,301
125 min,7.7,1664,1250
108 min,7.6,1665,1251
87 min,6.8,1666,161
92 min,6.7,1667,691
118 min,7.5,1668,1252
134 min,7.9,1669,1253
109 min,6.1,1670,548
98 min,,1671,1254
99 min,7.0,1672,850
,,1673,29
,,1674,29
98 min,5.9,1675,1255
91 min,5.3,1676,1238
93 min,3.5,1677,1256
,,1678,29
96 min,5.5,1679,1041
101 min,6.3,1680,1257
114 min,6.7,1681,1258
79 min,5.8,1682,1259
78 min,6.1,1683,1260
72 min,,1684,1261
101 min,5.2,1685,1262
86 min,5.9,1686,1104
104 min,7.0,1687,367
111 min,7.6,1688,1263
121 min,7.5,1689,544
75 min,7.2,1690,1264
98 min,7.1,1691,1265
115 min,6.3,1692,271
83 min,7.5,1693,620
111 min,5.3,1694,1266
90 min,8.2,1695,1267
115 min,6.6,1696,762
91 min,7.9,1697,1268
153 min,8.5,1698,1269
95 min,4.5,1699,1270
102 min,5.2,1700,1118
120 min,7.3,1701,1271
93 min,2.8,1702,1138
98 min,5.1,1703,1272
91 min,5.4,1704,320
100 min,7.1,1705,1225
88 min,4.1,1706,1273
112 min,6.5,1707,1274
,,1708,29
,,1709,29
,,1710,29
96 min,7.5,1711,3
113 min,5.6,1712,1275
90 min,5.8,1713,1276
,,1714,29
,,1715,29
,,1716,29
,,1717,29
93 min,6.7,1718,4
,,1719,29
101 min,6.0,1720,459
117 min,7.2,1721,757
117 min,6.4,1722,1277
124 min,7.0,1723,576
105 min,6.3,1724,520
1 hr. 57 min.,"5.7/10,6.1/10",1725,1278
116 min,5.4,1726,1279
102 min,5.7,1727,1063
111 min,5.9,1728,609
104 min,6.5,1729,176
,,1730,29
,,1731,29
97 min,5.7,1732,356
,,1733,29
92 min,7.1,1734,243
129 min,5.7,1735,1280
,,1736,29
95 min,5.7,1737,604
90 min,5.4,1738,1178
95 min,,1739,1281
108 min,6.0,1740,1282
95 min,6.9,1741,821
,,1742,29
128 min,7.5,1743,1015
124 min,7.5,1744,1283
,,1745,29
112 min,7.0,1746,1284
120 min,7.2,1747,1285
,,1748,29
,,1749,29
114 min,4.3,1750,1286
106 min,7.0,1751,404
129 min,7.5,1752,1287
119 min,7.2,1753,1288
97 min,6.4,1754,406
90 min,6.2,1755,159
116 min,6.1,1756,1289
100 min,6.6,1757,49
,7.8,1758,1290
137 min,6.4,1759,1291
97 min,6.0,1760,301
95 min,7.1,1761,358
115 min,6.9,1762,1292
119 min,6.6,1763,1293
,"6.2/10,6.1/10",1764,1294
91 min,7.3,1765,337
97 min,7.5,1766,599
96 min,6.6,1767,803
89 min,7.5,1768,799
104 min,7.4,1769,21
109 min,5.8,1770,1135
97 min,6.6,1771,1295
99 min,6.7,1772,1177
119 min,6.8,1773,1296
103 min,8.1,1774,492
139 min,8.9,1775,1297
113 min,8.5,1776,1298
95 min,8.5,1777,1299
117 min,8.2,1778,1300
175 min,9.2,1779,1301
169 min,8.6,1780,1302
195 min,8.9,1781,1303
82 min,5.1,1782,1304
148 min,8.8,1783,1305
120 min,8.1,1784,746
146 min,8.7,1785,1306
116 min,8.2,1786,1307
180 min,8.2,1787,1308
163 min,7.2,1788,1309
165 min,8.5,1789,127
152 min,9.0,1790,1310
111 min,8.1,1791,1311
121 min,7.5,1792,544
142 min,9.3,1793,1312
137 min,8.0,1794,1313
92 min,2.9,1795,1314
135 min,8.2,1796,1315
124 min,7.8,1797,1316
129 min,8.3,1798,1317
129 min,8.4,1799,1318
110 min,8.1,1800,1319
126 min,8.2,1801,562
128 min,7.8,1802,1069
131 min,8.3,1803,905
129 min,8.3,1804,1317
151 min,8.1,1805,1320
99 min,6.3,1806,519
109 min,8.0,1807,1321
113 min,7.3,1808,1322
1 hr. 56 min.,"7.4/10,5.8/10",1809,1323
132 min,7.4,1810,1324
122 min,6.6,1811,517
113 min,7.2,1812,1325
172 min,8.0,1813,1326
161 min,7.2,1814,1327
113 min,7.9,1815,954
122 min,6.2,1816,764
92 min,6.1,1817,570
78 min,6.8,1818,1328
86 min,8.0,1819,1329
101 min,5.4,1820,1330
104 min,5.3,1821,1331
108 min,6.1,1822,309
101 min,5.9,1823,1332
110 min,5.5,1824,1333
110 min,5.6,1825,1334
127 min,7.0,1826,232
120 min,6.1,1827,112
76 min,5.6,1828,1335
75 min,5.2,1829,1336
97 min,5.5,1830,1337
107 min,6.1,1831,1338
114 min,6.2,1832,1339
88 min,5.4,1833,130
145 min,7.7,1834,1340
119 min,6.3,1835,1209
115 min,6.3,1836,271
105 min,5.7,1837,1341
82 min,4.2,1838,1342
91 min,6.1,1839,814
80 min,5.2,1840,1343
60 min,3.5,1841,1344
77 min,5.6,1842,408
99 min,5.1,1843,874
82 min,5.6,1844,1345
106 min,6.0,1845,1346
104 min,6.8,1846,780
99 min,4.8,1847,1347
88 min,6.2,1848,302
110 min,5.7,1849,1348
87 min,6.5,1850,1349
145 min,7.6,1851,1350
116 min,6.1,1852,1289
117 min,5.7,1853,1351
101 min,5.8,1854,1352
102 min,6.0,1855,361
109 min,6.3,1856,1353
94 min,6.6,1857,359
90 min,5.4,1858,1178
70 min,4.4,1859,1354
76 min,4.7,1860,1355
94 min,4.3,1861,1356
85 min,4.7,1862,1357
97 min,6.2,1863,1358
120 min,7.4,1864,317
110 min,7.8,1865,979
100 min,7.3,1866,136
117 min,6.1,1867,1003
126 min,8.0,1868,1359
101 min,6.8,1869,1360
78 min,6.8,1870,1328
104 min,7.1,1871,1361
81 min,7.2,1872,1362
95 min,4.2,1873,1363
85 min,6.7,1874,144
110 min,7.5,1875,1364
106 min,6.8,1876,19
97 min,5.8,1877,1365
103 min,6.6,1878,1090
94 min,7.3,1879,1097
103 min,6.2,1880,53
91 min,,1881,1366
90 min,6.4,1882,1146
114 min,6.0,1883,451
99 min,6.9,1884,490
116 min,6.6,1885,1367
120 min,7.4,1886,317
107 min,7.5,1887,1368
135 min,6.1,1888,1369
122 min,7.8,1889,1370
99 min,5.9,1890,1155
109 min,7.1,1891,1371
140 min,8.3,1892,1372
149 min,7.4,1893,1373
89 min,6.3,1894,1374
116 min,7.0,1895,383
130 min,8.1,1896,1375
124 min,8.1,1897,275
129 min,6.5,1898,325
115 min,7.8,1899,1376
92 min,5.9,1900,7
124 min,7.1,1901,1067
128 min,7.2,1902,1377
125 min,7.5,1903,429
187 min,7.3,1904,1378
116 min,2.4,1905,1379
75 min,4.0,1906,1380
74 min,6.8,1907,1381
64 min,8.0,1908,1382
70 min,5.8,1909,1383
78 min,6.1,1910,1260
76 min,5.5,1911,1384
134 min,5.8,1912,1385
1 hr. 30 min.,7.4/10,1913,1386
81 min,6.5,1914,1387
71 min,6.2,1915,1388
72 min,7.3,1916,859
75 min,6.4,1917,831
67 min,6.1,1918,1389
98 min,7.7,1919,669
117 min,6.9,1920,1390
82 min,6.3,1921,1391
117 min,4.9,1922,1392
92 min,6.9,1923,738
92 min,5.5,1924,1116
1 hr. 36 min.,5.2/10,1925,1393
102 min,5.7,1926,1063
102 min,6.2,1927,186
102 min,5.3,1928,1394
87 min,2.3,1929,1395
96 min,6.7,1930,1396
80 min,6.2,1931,724
71 min,6.4,1932,1397
83 min,7.6,1933,572
67 min,5.8,1934,1398
67 min,6.1,1935,1389
60 min,5.6,1936,1399
94 min,7.3,1937,1097
86 min,3.7,1938,1400
78 min,5.8,1939,636
82 min,5.5,1940,1401
104 min,5.0,1941,1402
60 min,5.7,1942,1403
93 min,4.8,1943,1404
113 min,7.2,1944,1325
84 min,6.0,1945,250
115 min,6.7,1946,777
102 min,6.4,1947,1405
3 hr. 3 min.,"8.6/10,8/10",1948,1406
75 min,4.5,1949,1407
238 min,8.2,1950,1408
108 min,8.3,1951,1409
102 min,7.8,1952,1410
96 min,6.8,1953,689
124 min,7.2,1954,149
116 min,7.0,1955,383
130 min,6.8,1956,1411
93 min,6.5,1957,1412
114 min,7.0,1958,1413
88 min,6.5,1959,543
167 min,7.3,1960,1414
79 min,6.5,1961,1415
97 min,4.9,1962,1416
87 min,6.9,1963,1417
117 min,6.2,1964,1418
115 min,6.6,1965,762
124 min,7.1,1966,1067
136 min,6.9,1967,381
120 min,7.3,1968,1271
126 min,7.6,1969,1235
124 min,7.0,1970,576
105 min,6.5,1971,150
129 min,6.6,1972,225
117 min,7.2,1973,757
95 min,4.6,1974,1419
83 min,7.0,1975,1420
82 min,6.4,1976,223
110 min,7.2,1977,107
200 min,9.1,1978,1421
88 min,8.1,1979,1422
123 min,8.1,1980,1073
101 min,8.1,1981,1423
92 min,8.1,1982,398
104 min,8.1,1983,1424
112 min,8.1,1984,1425
134 min,8.1,1985,467
101 min,8.1,1986,1423
186 min,8.3,1987,1426
96 min,6.2,1988,1427
135 min,7.2,1989,651
125 min,7.4,1990,1428
106 min,6.2,1991,421
140 min,8.2,1992,1429
125 min,7.1,1993,319
105 min,7.3,1994,1223
1 hr. 56 min.,7.6/10,1995,1430
67 min,6.9,1996,1431
140 min,7.2,1997,1004
96 min,6.6,1998,803
100 min,7.6,1999,1185
90 min,8.0,2000,902
94 min,8.0,2001,1432
114 min,8.2,2002,1433
97 min,8.1,2003,399
110 min,7.6,2004,12
2 hr. 2 min.,7.2/10,2005,1434
118 min,7.4,2006,373
132 min,7.8,2007,332
90 min,7.7,2008,1435
105 min,5.2,2009,1436
129 min,6.5,2010,325
95 min,8.2,2011,347
110 min,5.8,2012,937
94 min,5.2,2013,1193
110 min,6.5,2014,1437
104 min,5.5,2015,1175
100 min,8.2,2016,552
85 min,8.1,2017,1438
106 min,6.3,2018,61
100 min,8.0,2019,135
100 min,7.9,2020,523
105 min,7.3,2021,1223
100 min,6.3,2022,229
127 min,6.2,2023,1439
115 min,7.8,2024,1376
110 min,6.4,2025,1208
118 min,8.1,2026,1440
130 min,7.3,2027,1441
103 min,7.1,2028,221
108 min,7.9,2029,1442
123 min,7.6,2030,581
113 min,8.0,2031,1443
105 min,8.2,2032,996
138 min,8.4,2033,1444
96 min,8.9,2034,1445
95 min,6.9,2035,821
134 min,7.6,2036,1446
130 min,8.2,2037,1447
125 min,7.2,2038,478
147 min,7.4,2039,1448
97 min,8.0,2040,685
88 min,8.5,2041,1449
87 min,8.6,2042,1450
108 min,5.5,2043,1451
177 min,7.6,2044,1452
126 min,8.0,2045,1359
112 min,7.6,2046,211
82 min,5.8,2047,1453
116 min,7.3,2048,322
126 min,7.3,2049,1454
101 min,8.1,2050,1423
136 min,7.0,2051,1455
91 min,6.2,2052,890
108 min,7.6,2053,1251
131 min,7.1,2054,1014
121 min,6.2,2055,1456
98 min,5.3,2056,287
116 min,5.9,2057,1457
1 hr. 31 min.,4.3/10,2058,1458
127 min,8.0,2059,695
131 min,7.7,2060,1459
119 min,6.8,2061,1296
103 min,7.1,2062,221
,"4.8/10,4.9/10",2063,1460
112 min,5.7,2064,1461
92 min,6.0,2065,1087
115 min,6.1,2066,1462
121 min,7.7,2067,899
116 min,7.2,2068,1031
121 min,7.4,2069,1463
97 min,6.4,2070,406
,,2071,29
118 min,8.1,2072,1440
102 min,8.0,2073,1464
121 min,7.7,2074,899
94 min,8.0,2075,1432
99 min,8.1,2076,1465
91 min,8.0,2077,1466
107 min,5.4,2078,1467
94 min,8.1,2079,1468
95 min,7.9,2080,1469
271 min,7.7,2081,1470
138 min,5.7,2082,1471
121 min,7.0,2083,18
,5.8,2084,1472
101 min,6.6,2085,1126
99 min,4.9,2086,1473
95 min,6.5,2087,1013
109 min,7.5,2088,1474
89 min,7.6,2089,1475
132 min,7.2,2090,1210
95 min,6.3,2091,8
117 min,7.8,2092,1476
134 min,7.6,2093,1446
136 min,6.7,2094,1477
144 min,7.5,2095,767
87 min,6.9,2096,1417
123 min,6.8,2097,485
134 min,6.0,2098,1478
166 min,7.8,2099,1479
141 min,8.0,2100,1480
120 min,8.0,2101,605
123 min,7.9,2102,1481
112 min,7.2,2103,283
107 min,5.4,2104,1467
,,2105,29
,7.6,2106,45
103 min,,2107,1482
,,2108,29
93 min,6.7,2109,4
131 min,7.3,2110,582
77 min,7.6,2111,1483
128 min,7.4,2112,1484
141 min,8.1,2113,1485
96 min,6.9,2114,660
108 min,6.9,2115,1486
114 min,6.8,2116,1487
105 min,6.9,2117,510
111 min,6.9,2118,1488
110 min,7.2,2119,107
101 min,5.9,2120,1332
102 min,6.3,2121,479
126 min,6.1,2122,1489
118 min,6.8,2123,1490
147 min,6.5,2124,1491
110 min,7.1,2125,403
85 min,7.1,2126,252
121 min,7.1,2127,152
126 min,6.9,2128,1492
111 min,7.3,2129,1493
129 min,7.2,2130,1494
96 min,7.2,2131,1
115 min,6.8,2132,242
183 min,6.0,2133,1495
,,2134,29
112 min,5.2,2135,1496
117 min,6.7,2136,1497
92 min,5.5,2137,1116
122 min,6.8,2138,374
120 min,7.0,2139,1498
149 min,6.5,2140,521
96 min,6.2,2141,1427
136 min,7.4,2142,90
,"5.2/10,5/10",2143,1499
111 min,7.0,2144,734
88 min,6.1,2145,378
105 min,6.4,2146,501
92 min,6.8,2147,1500
96 min,6.6,2148,803
116 min,7.5,2149,1501
113 min,6.2,2150,1502
140 min,7.0,2151,1503
118 min,8.1,2152,1440
105 min,8.0,2153,1504
99 min,6.5,2154,1505
122 min,7.6,2155,1506
113 min,5.9,2156,1507
92 min,6.6,2157,1508
128 min,7.5,2158,1015
88 min,6.4,2159,1189
125 min,6.4,2160,1509
116 min,7.8,2161,1510
122 min,6.9,2162,1511
129 min,7.5,2163,1287
90 min,7.2,2164,589
138 min,6.7,2165,1512
114 min,5.2,2166,1513
141 min,7.8,2167,1514
103 min,6.5,2168,1515
100 min,7.7,2169,167
106 min,5.8,2170,1516
