HospitalType,HospitalOwner,original_index,unique_index
acute care hospitals,government - local,659,36
acute care hospitals,government - local,660,36
acute care hospitals,government - local,661,36
acute care hospitals,government - local,662,36
acute care hospitals,government - local,663,36
acute care hospitals,government - local,664,36
acute care hospitals,government - local,665,36
acute care hospitals,government - state,666,26
acute care hospitals,government - state,667,26
acute care hospitals,government - state,668,26
acute care hospitals,government - state,669,26
acute care hospitals,government - state,670,26
acute care hospitals,government - state,671,26
acute care hospitals,government - state,672,26
acute care hospitals,government - state,673,26
acute care hospitals,government - state,674,26
acute care hospitals,government - state,675,26
acute care hospitals,government - state,676,26
acute care hospitals,government - state,677,26
acute care hospitals,government - state,678,26
acute care hospitals,government - state,679,26
acute care hospitals,government - state,680,26
acute care hospitals,government - state,681,26
acute care hospitals,government - state,682,26
acute care hospitals,government - state,683,26
acute care hospitals,government - state,684,26
acute care hospitals,government - state,685,26
acute care hospitals,government - state,686,26
acute care hospitals,government - state,687,26
acute care hospitals,government - state,688,26
acute care hospitals,government - state,689,26
acute care hospitals,government - state,690,26
acute care hospitals,voluntary non-profit - private,691,0
acute care hospitals,voluntary non-profit - private,692,0
acute care hospitals,voluntary non-profit - private,693,0
acute care hospitals,voluntary non-profit - private,694,0
acute cxre hospitxls,voluntary non-profit - private,695,37
acute care hospitals,voluntary non-profit - private,696,0
acute care hospitals,voluntary non-profit - private,697,0
acute care hospitals,voluntary non-profit - private,698,0
acute care hospitals,voluntary non-profit - private,699,0
acute care hospitals,voluntary non-profit - private,700,0
acute care hospitals,voluntary non-profit - private,701,0
acute care hospitals,voluntary non-profit - private,702,0
acute care hospitals,voluntary non-profit - private,703,0
acute care hospitals,voluntary non-profit - private,704,0
acutexcarexhospitals,voluntary non-profit - private,705,38
acute care hospitals,voluntary non-profit - private,706,0
acute care hospitals,voluntary non-profit - private,707,0
acute care hospitals,voluntary non-profit - private,708,0
acute care hospitals,voluntary non-profit - private,709,0
acute care hospitals,voluntary non-profit - private,710,0
acute care hospitals,voluntary non-profit - private,711,0
acute care hospitals,voluntary non-profit - private,712,0
acute care hospitals,voluntary non-profit - private,713,0
acute care hospitals,voluntary non-profit - private,714,0
acute care hospitals,voluntary non-profit - private,715,0
acute care hospitals,government - hospital district or authority,716,1
acute care hospitals,government - hospital district or authority,717,1
acute care hospitals,government - hospital district or authority,718,1
acute care hospitals,government - hospital district or authority,719,1
acute care hospitals,government - hospital district or authority,720,1
acute care hospitals,government - hospital district or authority,721,1
acute care hospitals,government - hospital district or authority,722,1
acute care hospitals,government - hospital district or authority,723,1
acute care hospitals,government - hospital district or authority,724,1
acute care hospitals,government - hospital district or authority,725,1
acute care hospitals,government - hospital district or authority,726,1
acute care hospitals,government - hospital district or authority,727,1
acute care hospitals,government - hospital district or authority,728,1
acutexcarexhospitals,government - hospital district or authority,729,39
acute care hospitals,government - hospital district or authority,730,1
acute care hospitals,government - hospital district or authority,731,1
acute care hospitals,government - hospital district or authority,732,1
acute care hospitals,government - hospital district or authority,733,1
acute care hospitals,government - hospital district or authority,734,1
acute care hospitals,government - hospital district or authority,735,1
acute care hospitals,government - hospital district or authority,736,1
acute care hospitals,government - hospital district or authority,737,1
acute care hospitals,government - hospital district or authority,738,1
acute care hospitals,government - hospital district or authority,739,1
acute care hospitals,government - hospital district or authority,740,1
acute care hospitals,proprietary,741,12
acute care hospitals,proprietary,742,12
acute care hospitals,proprietary,743,12
acute care hospitals,prxprietary,744,25
acute care hospitals,proprietary,745,12
acute care hospitals,proprietary,746,12
acute care hospitals,proprietary,747,12
acute care hospitals,proprietary,748,12
acute care hospitals,proprietary,749,12
acute care hospitals,proprietary,750,12
acute care hospitals,proprietary,751,12
acute care hospitals,proprietary,752,12
acute care hospitals,proprietary,753,12
acute care hospitals,proprietary,754,12
acute care hospitals,proprietary,755,12
acute care hospitals,proprietary,756,12
acute care hospitals,proprietary,757,12
acute care hospitals,proprietary,758,12
acute care hospitals,proprietary,759,12
acute care hospitals,proprietary,760,12
acute care hospitals,proprietary,761,12
acute care hospitals,proprietary,762,12
acute care hospitals,proprietary,763,12
acute care hospitals,proprietary,764,12
acute care hospitals,proprietary,765,12
acute care hospitals,proprietary,766,12
acute care hospitals,proprietary,767,12
acute care hospitals,proprietary,768,12
acute care hospitals,proprietary,769,12
acute care hospitals,proprietary,770,12
acute care hospitals,proprietary,771,12
acute care hospitals,proprietary,772,12
acute care hospitals,proprietary,773,12
acute care hospitals,government - hospital district or authority,774,1
acute care hospitals,government - hospital district or authority,775,1
acute care hospitals,government - hospital district or authority,776,1
acute care hospitals,government - hospital district or authority,777,1
acute care hospitals,government - hospital district or authority,778,1
acutexcarexhospitals,government - hospital district or authority,779,39
acute care hospitals,government - hospital district or authority,780,1
acute care hospitals,government - hospital district or authority,781,1
acute care hospitaxs,government - hospital district or authority,782,28
acute care hospitals,government - hospital district or authority,783,1
acute care hospitals,goverxmext - hospital district or authority,784,40
acute care hospitals,government - hospital district or authority,785,1
acute care hospitals,government - hospital district or authority,786,1
acute care hospitals,government - hospital district or authority,787,1
acute care hospitals,government - hospital district or authority,788,1
acute care hospitals,government - hospital district or authority,789,1
acute care hospitals,government - hospital district or authority,790,1
acute care hospitals,government - hospital district or authority,791,1
acute care hospitals,government - hospital district or authority,792,1
acute care hospitals,government - hospital district or authority,793,1
acute care hospitals,government - hospital district or authority,794,1
acute care hospitals,government - hospital district or authority,795,1
acute care hospitals,government - hospital district or authority,796,1
acute care hospitals,government - hospital district or authority,797,1
acute care hospitals,government - hospital district or authority,798,1
acute care hospitals,government - hospital district or authority,799,1
acute care hospitals,government - hospital district or authority,800,1
acute care hospitals,government - hospital district or authority,801,1
acute care hospitals,proprietary,802,12
acute care hospitals,proprietary,803,12
acute care hospitals,proprietary,804,12
acute care hospitals,proprietary,805,12
acute care hospitals,proprietary,806,12
acute care hospitals,proprietary,807,12
acute care hospitals,proprietary,808,12
acute care hospitals,proprietary,809,12
acute care hospitals,proprietary,810,12
acute care hospitals,proprietary,811,12
acute care hospitals,proprietary,812,12
acute care hospitals,proprietary,813,12
axute care hospitals,proprietary,814,41
acute care hospitals,proprietary,815,12
acute care hospitals,proprietary,816,12
acute care hospitals,proprietary,817,12
acute care hospitals,proprietary,818,12
acute care hospitals,proprietary,819,12
acute care hospitals,proprietary,820,12
acute care hospitals,proprietary,821,12
acute care hospitals,proprietary,822,12
acute care hospitals,proprietary,823,12
acute care hospitals,proprietary,824,12
acute care hospitals,proprietary,825,12
acute care hospitals,proprietary,826,12
acute care hospitals,voluntary non-profit - private,827,0
acute care hospitals,voluntary non-profit - private,828,0
acute care hospitals,voluntary non-profit - private,829,0
acute care hospitals,voluntary non-profit - private,830,0
acute care hospitals,voluntary non-profit - private,831,0
acute care hospitals,voluntary non-profit - private,832,0
acute care hospitals,voluntary non-profit - private,833,0
acute care hospitals,voluntary non-profit - private,834,0
acute care hospitals,voluntary non-profit - private,835,0
acute care hospitals,voluntary non-profit - private,836,0
acute care hospitals,voluntary non-profit - private,837,0
acute care hospitals,voluntary non-profit - private,838,0
acute care hospitals,voluntary non-profit - private,839,0
acute care hospitals,voluntary non-profit - private,840,0
acute care hospitals,voluntary non-profit - private,841,0
acute care hospitals,voluntary non-profit - private,842,0
acute care hospitals,voluntary non-profit - private,843,0
acute care hospitals,voluntary non-profit - private,844,0
acute care hospitals,voluntary non-profit - private,845,0
acute care hospitals,voluntaxy non-pxofit - pxivate,846,42
acute care hospitals,voluntary non-profit - private,847,0
acute caxe hospitals,voluntary non-profit - private,848,43
acute care hospitals,voluntary non-profit - private,849,0
acute care hospitals,voluntary non-profit - private,850,0
acute care hospitals,voluntary non-profit - private,851,0
acute care hospitals,voluntary non-profit - private,852,0
acute care hospitals,voluntary non-profit - private,853,0
acute care hospitals,voluntary non-profit - private,854,0
acute care hospitals,voluntary non-profit - private,855,0
acute care hospitals,voluntary non-profit - private,856,0
acute care hospitals,voluntary non-profit - private,857,0
acute care hospitals,voluntary non-profit - private,858,0
acute care hospitals,voluntary non-profit - private,859,0
acute care hospitals,voluntary non-profit - private,860,0
acute care hospitals,voluntary non-profit - private,861,0
acute care hospitals,voluntary non-profit - private,862,0
acute care hospitals,voluntary non-profit - private,863,0
acute care hospitals,voluntary non-profit - private,864,0
acute care hospitals,voluntary non-profit - private,865,0
acute care hospitals,voluntary non-profit - private,866,0
acute care hospitals,voluntary non-profit - private,867,0
acute care hospitals,voluxtary xox-profit - private,868,44
acute care hospitals,voluntary non-profit - private,869,0
acute care hospitals,voluntary non-profit - private,870,0
acute care hospitals,voluntary non-profit - private,871,0
acute care hospitals,voluntaxy non-pxofit - pxivate,872,42
acute care hospitals,voluntary non-profit - private,873,0
acute care hospitals,voluntary non-profit - private,874,0
acute care hospitals,voluntary non-profit - private,875,0
acute care hospitals,voluntary non-profit - private,876,0
acute care hoxpitalx,voluntary non-profit - other,877,45
acute care hospitals,voluntary non-profit - other,878,8
acute care hospitals,voluntary non-profit - other,879,8
acute care hospitals,voluntary non-profit - other,880,8
acute care hospitals,voluntary non-profit - other,881,8
acute care hospitals,voluntary non-profit - other,882,8
acute care hospitals,voluntary non-profit - other,883,8
acute care hospitals,voluntary non-profit - other,884,8
acute care hospitals,voluntary non-profit - other,885,8
acute care hospitals,voluntary non-profit - other,886,8
acute care hospitals,voluntary non-profit - other,887,8
acute care hospitals,voluntary non-profit - other,888,8
acute care hospitals,voluntary non-profit - other,889,8
acute care hospitals,voluntary non-profit - other,890,8
acute care hospitals,voluntary non-profit - other,891,8
acute care hospitals,voluntary non-profit - other,892,8
acute care hospitals,voluntary non-profit - other,893,8
acute care hospitals,voluntary non-profit - other,894,8
acute care hospitals,voluntary non-profit - other,895,8
acute care hospitals,voluntary non-profit - other,896,8
acute care hospitals,voluntary non-profit - other,897,8
acute care hospitals,voluntary non-profit - other,898,8
acute care hospitals,voluntary non-profit - other,899,8
acute care hospitals,voluntary non-profit - other,900,8
acute care hospitals,voluntary non-profit - other,901,8
acutexcarexhospitals,proprietary,902,46
acute care hospitals,proprietary,903,12
acute care hospitals,proprietary,904,12
acute care hospitals,proprietary,905,12
acute care hospitals,proprietary,906,12
acute care hospitals,proprietary,907,12
acute care hospitals,proprietary,908,12
acute care hospitals,proprietary,909,12
acute care hospitals,proprietary,910,12
acute care hospitals,proprietary,911,12
acute care hospitals,proprietary,912,12
acute care hospitals,proprietary,913,12
acute care hospitals,proprietary,914,12
acute care hospitals,proprietary,915,12
acute care hospitals,proprietary,916,12
acute care hospitals,proprietary,917,12
acute care hospitals,proprietary,918,12
acute care hospitals,proprietary,919,12
acute care hospitals,proprietary,920,12
acute care hospitals,proprietary,921,12
acute care hospitals,proprietary,922,12
acute care hospitals,proprietary,923,12
acute care hospitals,proprietary,924,12
acute care hospitals,proprietary,925,12
acuxe care hospixals,proprietary,926,27
acute care hospitals,proprietary,927,12
acute care hospitals,proprietary,928,12
acute care hospitals,proprietary,929,12
acute care hospitals,voluntary non-profit - private,930,0
acute care hospitals,voluntary non-profit - private,931,0
acute care hospitals,voluntary non-profit - private,932,0
acute care hospitals,voluntary non-profit - private,933,0
acute care hospitals,voluntary non-profit - private,934,0
acute care hospitals,voluntary non-profit - private,935,0
acute care hospitals,voluntary non-profit - private,936,0
acute care hospitals,voluntary non-profit - private,937,0
acute care hospitals,voluntary non-profit - private,938,0
acute care hospitals,voluntary non-profit - private,939,0
acute care hospitals,voluntary non-profit - private,940,0
acute care hospitals,voluntary non-profit - private,941,0
acute care hospitals,voluntary non-profit - private,942,0
acute care hospitals,voluntary non-profit - private,943,0
acute care hospitals,voluntary non-profit - private,944,0
acute care hospitals,voluntary non-profit - private,945,0
acute care hospitals,voluntary non-profit - private,946,0
acute care hospitals,voluntary non-profit - private,947,0
acute care hospitals,voluntary non-profit - private,948,0
acute care hosxitals,voluntary non-profit - private,949,9
acute care hospitals,voluntary non-profit - private,950,0
acute care hospitals,voluntary non-profit - private,951,0
acute care hospitals,voluntary non-profit - private,952,0
acute care hospitals,voluntary non-profit - private,953,0
acute care hospitals,voluntary non-profit - private,954,0
acute care hospitals,proprietary,955,12
acute xare hospitals,proprietary,956,47
acute care hospitals,proprietary,957,12
acute care hospitals,proprietary,958,12
acute care hospitals,proprietary,959,12
acute care hospitals,proprietary,960,12
acute care hospitals,proprietary,961,12
acute care hospitals,proprietary,962,12
acute care hospitals,proprietary,963,12
acutexcarexhospitals,proprietary,964,46
acute care hospitals,proprietary,965,12
acute care hospitals,proprietary,966,12
acute care hospitals,proprietary,967,12
acute care hospitals,proprietary,968,12
acute care hospitals,proprietary,969,12
acute care hospitals,proprietary,970,12
acute care hospitals,proprietary,971,12
acute care hospitals,proprietary,972,12
acute care hospitals,proprietary,973,12
acute care hospitals,proprietary,974,12
acute care hospitals,proprietary,975,12
acutexcarexhospitals,proprietary,976,46
acute care hospitals,proprietary,977,12
acute care hospitals,proprietary,978,12
acute care hospitals,proprietary,979,12
acute care hospitals,voluntary non-profit - private,980,0
acute care hospitals,voluntary non-profit - private,981,0
acute care hospitals,voluntary non-profit - private,982,0
acute care hospitals,voluntary non-profit - private,983,0
acute care hospitals,voluntary non-profit - private,984,0
acute care hospitals,voluntary non-profit - private,985,0
acute care hospitals,voluntary non-profit - private,986,0
acute care hospitals,voluntary non-profit - private,987,0
acute care hospitals,voluntary non-profit - private,988,0
acute care hospitals,voluntary non-profit - private,989,0
acute care hospitals,voluntary non-profit - private,990,0
acute care hospitals,voluntary non-profit - private,991,0
acute care hospitals,voluntary non-profit - private,992,0
acute care hospitals,voluntary non-profit - private,993,0
acute care hospitals,voluntary non-profit - private,994,0
acute care hospitals,voluntary non-profit - private,995,0
acute care hospitals,voluntary non-profit - private,996,0
acute care hospitals,voluntary non-profit - private,997,0
acute care hospitals,voluntary non-profit - private,998,0
acute care hospitals,voluntary non-profit - private,999,0
