,year           ,language                                                                                 ,country                                                                                                  ,duration      ,rating_value    ,genre                                                                                  
654,2009           ,English                                                                                  ,USA                                                                                                      ,96 min        ,7.3             ,Documentary                                                                            
655,2015           ,English                                                                                  ,USA                                                                                                      ,92 min        ,6.1             ,Documentary                                                                            
656,2007           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.0             ,"Horror,Thriller                                                                      "
657,2011           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.6             ,Documentary                                                                            
658,1989           ,"English,French                                                                         ",USA                                                                                                      ,93 min        ,7.6             ,"Animation,Family,Fantasy                                                             "
659,1989           ,"English,French                                                                         ",USA                                                                                                      ,90 min        ,7.4             ,Drama                                                                                  
660,1996           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,6.1             ,"Comedy,Drama,Romance                                                                 "
661,2009           ,"English,French                                                                         ","UK,USA                                                                                                 ",100 min       ,6.6             ,"Comedy,Romance                                                                       "
662,1989           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.0             ,"Comedy,Drama                                                                         "
663,2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,93 min        ,7.8             ,"Action,Adventure,Romance                                                             "
664,2010           ,English                                                                                  ,USA                                                                                                      ,95 min        ,7.0             ,Documentary                                                                            
665,2010           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.6             ,"Documentary,Biography,Fantasy                                                        "
666,2014           ,English                                                                                  ,USA                                                                                                      ,89 min        ,7.3             ,"Comedy,Drama                                                                         "
667,2010           ,"English,Mandarin,Sioux,Spanish                                                         ","UK,USA                                                                                                 ",100 min       ,6.6             ,"Action,Adventure,Comedy                                                              "
668,2010           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.9             ,"Comedy,Drama,Romance                                                                 "
669,2014           ,"English,French                                                                         ",USA                                                                                                      ,93 min        ,7.6             ,"Comedy,Drama,Romance                                                                 "
670,2010           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.3             ,"Comedy,Drama                                                                         "
671,2013           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.2             ,"Horror,Thriller                                                                      "
672,1969           ,English                                                                                  ,USA                                                                                                      ,95 min        ,6.3             ,Comedy                                                                                 
673,2015           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.9             ,"Drama,Romance                                                                        "
674,2015           ,English                                                                                  ,USA                                                                                                      ,95 min        ,5.9             ,Drama                                                                                  
675,2015           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.9             ,Comedy                                                                                 
676,2015           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.7             ,Drama                                                                                  
677,2014           ,English                                                                                  ,USA                                                                                                      ,94 min        ,7.0             ,"Drama,Romance                                                                        "
678,1977           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.2             ,"Comedy,Drama,Romance                                                                 "
679,2014           ,English                                                                                  ,"UK,USA                                                                                                 ",98 min        ,7.8             ,Documentary                                                                            
680,2013           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.6             ,Documentary                                                                            
681,2002           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.0             ,Documentary                                                                            
682,2012           ,"English,French                                                                         ","USA,Portugal,West Germany,France,Spain,Netherlands,UK                                                  ",101 min       ,7.2             ,Drama                                                                                  
683,2014           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.2             ,"Action,Adventure,Crime                                                               "
684,1996           ,English                                                                                  ,USA                                                                                                      ,101 min       ,5.8             ,"Action,Adventure,Drama                                                               "
685,2015           ,English                                                                                  ,USA                                                                                                      ,92 min        ,7.6             ,"Horror,Thriller                                                                      "
686,2012           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.6             ,"Documentary,Crime,Drama                                                              "
687,2012           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.0             ,Documentary                                                                            
688,2013           ,English                                                                                  ,USA                                                                                                      ,97 min        ,7.5             ,Documentary                                                                            
689,1987 1988 1989 ,English                                                                                  ,USA                                                                                                      ,1 hr. 28 min. ,"3.8/10,3.4/10 ",Horror                                                                                 
690,2014           ,English                                                                                  ,USA                                                                                                      ,97 min        ,7.6             ,Documentary                                                                            
691,2014           ,English                                                                                  ,"UK,USA                                                                                                 ",94 min        ,6.5             ,"Comedy,Drama                                                                         "
692,2012           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.9             ,Documentary                                                                            
693,2014           ,English                                                                                  ,"Germany,USA,Netherlands,France,UK,Italy                                                                ",95 min        ,6.5             ,"Action,Adventure,Biography                                                           "
694,2014           ,"English,Latin,Irish,Welsh,Scottish Gaelic                                              ","UK,USA                                                                                                 ",91 min        ,6.3             ,"Action,Adventure,Drama                                                               "
695,2013           ,English                                                                                  ,USA                                                                                                      ,100 min       ,5.8             ,Drama                                                                                  
696,2002           ,English                                                                                  ,"UK,USA                                                                                                 ",95 min        ,5.7             ,"Comedy,Drama,Romance                                                                 "
697,2013           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",100 min       ,7.0             ,"Comedy,Drama,Romance                                                                 "
698,2013           ,"English,Spanish                                                                        ",USA                                                                                                      ,91 min        ,7.1             ,"Adventure,Sci-Fi,Thriller                                                            "
699,1989           ,"English,Spanish                                                                        ",USA                                                                                                      ,91 min        ,7.3             ,Documentary                                                                            
700,2003 2004 2005 ,"English,French,German,Hebrew,Italian,Spanish                                           ","UK,USA                                                                                                 ",              ,"4.6/10,4.7/10 ","Drama,Action & Adventure,Romance,Comedy                                              "
701,2014           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",101 min       ,5.9             ,"Comedy,Romance                                                                       "
702,2014           ,"English,French                                                                         ","UK,USA                                                                                                 ",93 min        ,7.1             ,"Action,Adventure,Sci-Fi                                                              "
703,2014           ,English                                                                                  ,"USA,Spain,Italy,Canada                                                                                 ",90 min        ,7.6             ,"Documentary,Biography,Comedy                                                         "
704,2013           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.0             ,"Drama,Romance                                                                        "
705,2014           ,English                                                                                  ,USA                                                                                                      ,98 min        ,6.4             ,"Drama,Romance                                                                        "
706,1989           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,7.3             ,Documentary                                                                            
707,2013           ,English                                                                                  ,USA                                                                                                      ,              ,7.3             ,Documentary                                                                            
708,2012           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.8             ,Documentary                                                                            
709,1989           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.3             ,"Comedy,Drama                                                                         "
710,1988           ,English                                                                                  ,"UK,USA                                                                                                 ",95 min        ,6.2             ,"Comedy,Drama                                                                         "
711,2013           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.6             ,"Biography,Drama,History                                                              "
712,2007           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.1             ,Horror                                                                                 
713,2012           ,English                                                                                  ,"UK,USA                                                                                                 ",91 min        ,6.2             ,"Horror,Thriller                                                                      "
714,1988           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.7             ,"Horror,Thriller                                                                      "
715,2012           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.8             ,"Comedy,Drama,Romance                                                                 "
716,2012           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.8             ,"Horror,Thriller                                                                      "
717,2013           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,7.5             ,"Documentary,Drama,Mystery                                                            "
718,2013           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.1             ,"Horror,Thriller                                                                      "
719,2013           ,English                                                                                  ,USA                                                                                                      ,96 min        ,7.7             ,"Comedy,Drama                                                                         "
720,2015           ,English                                                                                  ,"USA,Canada,Japan,Panama                                                                                ",90 min        ,7.0             ,"Documentary,Action,History                                                           "
721,2014           ,English                                                                                  ,USA                                                                                                      ,95 min        ,6.8             ,"Comedy,Drama,Romance                                                                 "
722,2007           ,English                                                                                  ,"UK,USA                                                                                                 ",94 min        ,6.4             ,"Comedy,Drama                                                                         "
723,1997           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.4             ,Drama                                                                                  
724,2012           ,English                                                                                  ,USA                                                                                                      ,97 min        ,7.3             ,"Comedy,Drama,Romance                                                                 "
725,2013           ,English                                                                                  ,USA                                                                                                      ,95 min        ,7.2             ,"Comedy,Drama,Romance                                                                 "
726,2014           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.4             ,Comedy                                                                                 
727,2013           ,English                                                                                  ,USA                                                                                                      ,100 min       ,5.9             ,Comedy                                                                                 
728,2014           ,"English,French                                                                         ",USA                                                                                                      ,101 min       ,6.1             ,"Comedy,Drama                                                                         "
729,1996           ,"English,French                                                                         ",USA                                                                                                      ,96 min        ,6.0             ,"Comedy,Drama,Romance                                                                 "
730,1996           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.3             ,"Comedy,Drama                                                                         "
731,2015           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",101 min       ,6.7             ,"Comedy,Drama,Romance                                                                 "
732,2000 2001 2002 ,English                                                                                  ,USA                                                                                                      ,              ,"5.8/10,5.4/10 ",Drama                                                                                  
733,2012           ,English                                                                                  ,"UK,USA                                                                                                 ",90 min        ,5.8             ,"Action,Adventure,Fantasy                                                             "
734,2011           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.1             ,"Mystery,Sci-Fi,Thriller                                                              "
735,2002           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,7.2             ,"Horror,Thriller                                                                      "
736,2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.5             ,"Horror,Thriller                                                                      "
737,2015           ,English                                                                                  ,USA                                                                                                      ,97 min        ,5.8             ,"Comedy,Drama,Romance                                                                 "
738,2015           ,English                                                                                  ,USA                                                                                                      ,95 min        ,7.1             ,"Fantasy,Horror,Sci-Fi                                                                "
739,2014           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.7             ,"Comedy,Romance                                                                       "
740,2015           ,English                                                                                  ,USA                                                                                                      ,97 min        ,7.3             ,"Comedy,Drama,Romance                                                                 "
741,2015           ,English                                                                                  ,USA                                                                                                      ,88 min        ,7.3             ,Drama                                                                                  
742,2015           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.9             ,"Comedy,Romance                                                                       "
743,2015           ,English                                                                                  ,USA                                                                                                      ,92 min        ,6.0             ,"Biography,Drama,History                                                              "
744,2015           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.6             ,Drama                                                                                  
745,1999           ,English                                                                                  ,USA                                                                                                      ,              ,                ,"Comedy,Drama                                                                         "
746,1996           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.6             ,Comedy                                                                                 
747,2010           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.3             ,Comedy                                                                                 
748,2011           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.3             ,"Documentary,Comedy,Horror                                                            "
749,1988           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.4             ,"Comedy,Drama                                                                         "
750,2012           ,English                                                                                  ,USA                                                                                                      ,96 min        ,7.0             ,"Fantasy,Horror,Sci-Fi                                                                "
751,2012           ,English                                                                                  ,"UK,USA                                                                                                 ",91 min        ,5.7             ,"Horror,Thriller                                                                      "
752,2012           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.7             ,Horror                                                                                 
753,2010           ,English                                                                                  ,USA                                                                                                      ,92 min        ,6.8             ,Horror                                                                                 
754,2014           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.3             ,"Drama,Romance                                                                        "
755,2013           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.2             ,"Comedy,Drama,Romance                                                                 "
756,2011           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,7.3             ,Documentary                                                                            
757,1978           ,English                                                                                  ,"UK,USA                                                                                                 ",91 min        ,5.7             ,Drama                                                                                  
758,2012           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,7.2             ,"Horror,Thriller                                                                      "
759,2011           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.5             ,"Comedy,Drama                                                                         "
760,2014           ,English                                                                                  ,USA                                                                                                      ,88 min        ,7.1             ,"Comedy,Drama,Romance                                                                 "
761,2009           ,English                                                                                  ,USA                                                                                                      ,89 min        ,6.4             ,"Comedy,Romance                                                                       "
762,2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,91 min        ,7.3             ,"Action,Adventure,Drama                                                               "
763,2012           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.2             ,Drama                                                                                  
764,2013           ,"English,French                                                                         ",USA                                                                                                      ,91 min        ,6.7             ,"Comedy,Drama,Romance                                                                 "
765,1997           ,English                                                                                  ,USA                                                                                                      ,97 min        ,7.0             ,Drama                                                                                  
766,2000 2001 2002 ,"English,Mandarin,Cantonese                                                             ","UK,USA                                                                                                 ",              ,"5.4/10,5.2/10 ","Action & Adventure,Comedy                                                            "
767,2015           ,English                                                                                  ,USA                                                                                                      ,93 min        ,                ,Drama                                                                                  
768,2010           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.5             ,"Drama,Romance                                                                        "
769,2015           ,English                                                                                  ,USA                                                                                                      ,97 min        ,7.6             ,Drama                                                                                  
770,2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.1             ,Drama                                                                                  
771,2012           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.9             ,Drama                                                                                  
772,1989           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.3             ,"Comedy,Romance                                                                       "
773,2005           ,English                                                                                  ,"UK,USA                                                                                                 ",91 min        ,7.4             ,"Comedy,Drama                                                                         "
774,2015           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",100 min       ,7.2             ,"Comedy,Romance                                                                       "
775,2015           ,English                                                                                  ,USA                                                                                                      ,97 min        ,5.9             ,"Drama,Romance                                                                        "
776,2011           ,English                                                                                  ,USA                                                                                                      ,              ,6.5             ,Drama                                                                                  
777,2015           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,                ,"Action,Adventure,Fantasy                                                             "
778,2005           ,English                                                                                  ,"UK,USA                                                                                                 ",90 min        ,5.6             ,"Adventure,Comedy,Sci-Fi                                                              "
779,2006           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,6.7             ,"Comedy,Drama                                                                         "
780,2009           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.5             ,Comedy                                                                                 
781,2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.6             ,"Comedy,Drama,Romance                                                                 "
782,2015           ,English                                                                                  ,USA                                                                                                      ,98 min        ,7.7             ,"Action,Adventure,Family                                                              "
783,2015           ,English                                                                                  ,USA                                                                                                      ,94 min        ,6.4             ,Drama                                                                                  
784,2014           ,"English,French                                                                         ","UK,USA                                                                                                 ",101 min       ,5.7             ,Drama                                                                                  
785,2006           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.5             ,"Adventure,Comedy,Sci-Fi                                                              "
786,2015           ,English                                                                                  ,USA                                                                                                      ,89 min        ,7.3             ,"Animation,Comedy,Family                                                              "
787,2014           ,English                                                                                  ,"UK,USA                                                                                                 ",88 min        ,6.9             ,"Comedy,Drama,Romance                                                                 "
