year           ,language                                                                                 ,country                                                                                                  ,duration      ,rating_value    ,genre                                                                                  ,Cluster
2010           ,"English,Spanish                                                                        ",USA                                                                                                      ,101 min       ,6.8             ,"Adventure,Western,Romance                                                            ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.9             ,"Comedy,Drama,Romance                                                                 ",-1
2010           ,"English,Spanish                                                                        ",USA                                                                                                      ,101 min       ,6.9             ,"Horror,Thriller                                                                      ",-1
2011           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",100 min       ,7.2             ,"Comedy,Drama                                                                         ",-1
2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,101 min       ,5.9             ,"Action,Adventure,Comedy                                                              ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.3             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",91 min        ,6.1             ,"Action,Adventure,Thriller                                                            ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.8             ,"Comedy,Romance                                                                       ",-1
2013           ,"English,Spanish                                                                        ",USA                                                                                                      ,91 min        ,6.5             ,"Comedy,Romance                                                                       ",-1
1996           ,"English,French                                                                         ",USA                                                                                                      ,100 min       ,7.1             ,"Action,Adventure,Thriller                                                            ",-1
2015           ,"English,Spanish                                                                        ",USA                                                                                                      ,95 min        ,7.1             ,"Drama,Romance                                                                        ",-1
2008           ,"English,French                                                                         ","UK,USA                                                                                                 ",101 min       ,7.1             ,"Horror,Thriller                                                                      ",-1
2006           ,"English,Italian,Mandarin,Cantonese,German,Czech                                        ","UK,USA                                                                                                 ",91 min        ,6.9             ,"Action,Adventure,Thriller                                                            ",-1
2014           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",101 min       ,7.3             ,Comedy                                                                                 ,-1
1997           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.2             ,"Action,Sci-Fi,War                                                                    ",-1
2012           ,English                                                                                  ,USA                                                                                                      ,96 min        ,7.2             ,"Comedy,Romance                                                                       ",-1
1997           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.8             ,"Horror,Thriller                                                                      ",-1
2015           ,"English,French                                                                         ",USA                                                                                                      ,93 min        ,6.0             ,"Comedy,Drama,Romance                                                                 ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,              ,                ,"Drama,Romance                                                                        ",8
2008           ,"English,Spanish                                                                        ","USA,China,Germany,Canada                                                                               ",101 min       ,7.2             ,"Action,Adventure,Fantasy                                                             ",-1
2002           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",101 min       ,6.7             ,"Horror,Thriller                                                                      ",-1
2002           ,English                                                                                  ,"USA,Germany,Belgium                                                                                    ",92 min        ,6.5             ,"Action,Adventure,Fantasy                                                             ",-1
2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,91 min        ,6.8             ,"Action,Fantasy,Sci-Fi                                                                ",-1
2008           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,7.0             ,"Action,Adventure,Fantasy                                                             ",-1
2006           ,"English,Spanish                                                                        ","USA,Malta,France,UK                                                                                    ",90 min        ,6.5             ,"Horror,Thriller                                                                      ",-1
2007           ,"English,French                                                                         ",USA                                                                                                      ,96 min        ,6.2             ,"Horror,Thriller                                                                      ",-1
1996           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.4             ,"Action,Adventure,Thriller                                                            ",-1
2009 2010 2011 ,"English,Spanish                                                                        ",USA                                                                                                      ,              ,"5.2/10,5/10   ","Drama,Action & Adventure,Kids & Family,Science Fiction & Fantasy,Comedy              ",-1
2013           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",101 min       ,7.0             ,"Horror,Thriller                                                                      ",-1
2008           ,"English,Italian,Japanese,Mandarin                                                      ","UK,USA                                                                                                 ",88 min        ,6.1             ,"Action,Adventure,Sci-Fi                                                              ",-1
2008           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,6.4             ,"Horror,Thriller                                                                      ",-1
2002           ,"English,French                                                                         ","UK,USA                                                                                                 ",92 min        ,6.8             ,"Horror,Thriller                                                                      ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.6             ,"Horror,Thriller                                                                      ",-1
2007           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",101 min       ,7.5             ,"Horror,Thriller                                                                      ",-1
2012           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,6.2             ,"Comedy,Drama                                                                         ",-1
2009           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,7.0             ,"Comedy,Drama,Romance                                                                 ",-1
2010           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,7.1             ,"Comedy,Drama                                                                         ",-1
2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.0             ,"Comedy,Drama,Romance                                                                 ",-1
2015           ,"English,French                                                                         ","UK,USA                                                                                                 ",90 min        ,6.5             ,"Horror,Thriller                                                                      ",-1
2005           ,"English,Ukrainian,German,Spanish,Russian,French,Arabic,Turkish                         ","UK,USA                                                                                                 ",91 min        ,7.6             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,101 min       ,5.9             ,"Action,Adventure,Fantasy                                                             ",-1
2009           ,English                                                                                  ,"UK,USA                                                                                                 ",92 min        ,6.6             ,"Action,Adventure,Fantasy                                                             ",-1
2012           ,"English,Romanian,Greek,Bulgarian,Latin                                                 ",USA                                                                                                      ,91 min        ,7.5             ,"Comedy,Romance                                                                       ",-1
2012           ,"English,Spanish                                                                        ",USA                                                                                                      ,88 min        ,6.4             ,"Action,Fantasy,Horror                                                                ",-1
2014           ,"English,Dutch,French,Italian,Mandarin                                                  ",USA                                                                                                      ,95 min        ,6.4             ,"Horror,Thriller                                                                      ",-1
2015           ,"English,Italian,Cantonese                                                              ",USA                                                                                                      ,101 min       ,7.8             ,"Horror,Thriller                                                                      ",-1
2007           ,"English,Spanish                                                                        ",USA                                                                                                      ,91 min        ,6.9             ,"Horror,Thriller                                                                      ",-1
2011           ,"English,French,Italian,German,Romany                                                   ",USA                                                                                                      ,90 min        ,7.5             ,"Action,Adventure,Crime                                                               ",-1
2007           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.2             ,Documentary                                                                            ,-1
2009           ,"English,Italian,Latin,French,Swiss German,German,Chinese                               ","UK,USA                                                                                                 ",93 min        ,6.7             ,"Horror,Thriller                                                                      ",-1
2007           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,7.2             ,"Action,Fantasy,Thriller                                                              ",-1
2008           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.8             ,"Drama,History,Mystery                                                                ",-1
2010           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,6.5             ,"Action,Adventure,Thriller                                                            ",-1
2009           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,7.7             ,"Drama,Romance                                                                        ",-1
2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,5.8             ,"Action,Adventure,Fantasy                                                             ",-1
2009           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.1             ,"Animation,Action,Adventure                                                           ",-1
2013           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",95 min        ,6.9             ,"Comedy,Romance                                                                       ",-1
2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,7.2             ,"Comedy,Drama                                                                         ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.8             ,"Comedy,Romance                                                                       ",-1
2015           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,6.4             ,"Action,Adventure,Fantasy                                                             ",-1
1997           ,English                                                                                  ,"UK,USA                                                                                                 ",95 min        ,6.7             ,Comedy                                                                                 ,-1
2006           ,"English,French                                                                         ",USA                                                                                                      ,95 min        ,6.1             ,"Action,Adventure,Fantasy                                                             ",-1
1988           ,English                                                                                  ,USA                                                                                                      ,92 min        ,7.5             ,"Comedy,Romance                                                                       ",-1
2010           ,"English,French                                                                         ","UK,USA                                                                                                 ",91 min        ,6.8             ,"Comedy,Romance                                                                       ",-1
1989           ,"English,French                                                                         ","UK,USA                                                                                                 ",91 min        ,7.6             ,Documentary                                                                            ,-1
1989           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.5             ,"Comedy,Romance                                                                       ",-1
2013 2014 2015 ,"English,French                                                                         ","Canada,South Korea,USA                                                                                 ",              ,"3.9/10,3.9/10 ","Comedy,Romance                                                                       ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,91 min        ,5.9             ,"Animation,Adventure,Comedy                                                           ",-1
1989           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",93 min        ,6.6             ,"Action,Adventure,Thriller                                                            ",-1
2013           ,"English,Spanish                                                                        ",USA                                                                                                      ,101 min       ,7.7             ,"Comedy,Drama                                                                         ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,101 min       ,5.7             ,"Action,Adventure,Romance                                                             ",-1
2012           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.8             ,"Action,Adventure,Sci-Fi                                                              ",-1
2010           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.6             ,"Action,Adventure,Fantasy                                                             ",-1
2011           ,English                                                                                  ,"UK,USA                                                                                                 ",91 min        ,7.1             ,"Comedy,Drama,Romance                                                                 ",-1
2012           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.6             ,"Action,Adventure,Fantasy                                                             ",-1
2011           ,"English,French                                                                         ",USA                                                                                                      ,100 min       ,6.1             ,"Action,Adventure,Sci-Fi                                                              ",-1
2013           ,"English,French                                                                         ",USA                                                                                                      ,93 min        ,7.4             ,"Action,Adventure,Drama                                                               ",-1
2014           ,"English,French                                                                         ",USA                                                                                                      ,95 min        ,7.0             ,Comedy                                                                                 ,-1
2013           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.4             ,Drama                                                                                  ,-1
2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.1             ,"Comedy,Romance                                                                       ",-1
1997           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.3             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.6             ,"Comedy,Romance                                                                       ",-1
2015           ,"English,Hungarian,Spanish,French                                                       ","UK,USA                                                                                                 ",100 min       ,6.6             ,"Comedy,Drama,Romance                                                                 ",-1
2010           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",100 min       ,7.3             ,"Comedy,Drama                                                                         ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,97 min        ,7.7             ,"Comedy,Romance                                                                       ",-1
2010           ,"English,Italian,German,Latin                                                           ",USA                                                                                                      ,91 min        ,7.6             ,"Comedy,Drama                                                                         ",-1
2007           ,English                                                                                  ,"UK,USA                                                                                                 ",95 min        ,7.8             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.9             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,"English,Spanish                                                                        ",USA                                                                                                      ,97 min        ,6.8             ,Comedy                                                                                 ,-1
2013           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,7.0             ,"Comedy,Drama,Romance                                                                 ",-1
2007           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.7             ,"Comedy,Drama,Romance                                                                 ",-1
2002           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.8             ,Horror                                                                                 ,-1
1998           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.3             ,"Comedy,Drama                                                                         ",-1
2005           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.7             ,"Comedy,Romance                                                                       ",-1
1999           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.8             ,"Action,Western,Comedy                                                                ",-1
2008           ,"English,Spanish                                                                        ",USA                                                                                                      ,93 min        ,7.7             ,Drama                                                                                  ,-1
2006           ,"English,Spanish                                                                        ",USA                                                                                                      ,101 min       ,7.2             ,"Comedy,Drama                                                                         ",-1
2010           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.7             ,"Drama,Romance                                                                        ",-1
1996           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.8             ,"Drama,Romance                                                                        ",-1
2012           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,7.4             ,"Biography,Drama,History                                                              ",-1
2015           ,"English,Spanish                                                                        ",USA                                                                                                      ,96 min        ,7.1             ,"Comedy,Drama,Romance                                                                 ",-1
1997           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,7.1             ,"Drama,Romance                                                                        ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,93 min        ,5.9             ,Documentary                                                                            ,-1
2005           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.7             ,Drama                                                                                  ,-1
2013           ,"English,Spanish                                                                        ",USA                                                                                                      ,90 min        ,7.2             ,"Drama,Romance                                                                        ",-1
2013           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,7.1             ,"Biography,Drama,History                                                              ",-1
2002           ,"English,Irish,Chinese,Latin                                                            ","UK,USA                                                                                                 ",91 min        ,7.5             ,"Comedy,Drama,Romance                                                                 ",-1
2015           ,"English,French                                                                         ",USA                                                                                                      ,100 min       ,6.0             ,"Action,Adventure,Comedy                                                              ",-1
1989           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.8             ,"Comedy,Romance                                                                       ",-1
2014           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",100 min       ,6.9             ,"Action,Adventure,Comedy                                                              ",-1
1989           ,"English,Spanish                                                                        ",USA                                                                                                      ,95 min        ,6.6             ,"Horror,Thriller                                                                      ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,101 min       ,5.8             ,"Drama,Romance                                                                        ",-1
2015           ,"English,Spanish                                                                        ","USA,Australia,Switzerland,Canada                                                                       ",101 min       ,6.3             ,"Comedy,Drama,Romance                                                                 ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.1             ,"Horror,Thriller                                                                      ",-1
2012           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.5             ,"Comedy,Drama,Romance                                                                 ",-1
2010           ,"English,French                                                                         ","UK,USA                                                                                                 ",101 min       ,6.9             ,"Horror,Thriller                                                                      ",-1
2008           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,6.6             ,"Horror,Thriller                                                                      ",-1
2007           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,6.9             ,"Horror,Thriller                                                                      ",-1
2008           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.8             ,"Comedy,Drama,Romance                                                                 ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.5             ,Drama                                                                                  ,-1
1986           ,"English,Spanish                                                                        ",USA                                                                                                      ,101 min       ,5.9             ,"Drama,Romance                                                                        ",-1
1997 1998 1999 ,English                                                                                  ,USA                                                                                                      ,1 hr. 48 min. ,"5.9/10,5.9/10 ","Drama,Mystery & Suspense,Comedy                                                      ",-1
2006           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,7.2             ,"Horror,Thriller                                                                      ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.9             ,Horror                                                                                 ,-1
1986 1987 1988 ,English                                                                                  ,USA                                                                                                      ,1 hr. 42 min. ,6.4/10          ,"Comedy,Romance                                                                       ",-1
1996           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.3             ,"Comedy,Drama                                                                         ",-1
2008           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",93 min        ,7.2             ,"Biography,Drama,History                                                              ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.7             ,"Comedy,Drama,Romance                                                                 ",-1
2005 2006 2007 ,"English,Arabic,Spanish,Japanese,Berber languages,French,Russian,Japanese Sign Language ","UK,USA                                                                                                 ",              ,"6.7/10,6.4/10 ",Drama                                                                                  ,-1
2015           ,"English,Russian,Spanish,Korean                                                         ","UK,USA                                                                                                 ",91 min        ,7.7             ,"Comedy,Drama,Romance                                                                 ",-1
2002           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.7             ,"Comedy,Drama                                                                         ",-1
2015           ,"English,French                                                                         ",USA                                                                                                      ,100 min       ,7.5             ,Horror                                                                                 ,-1
2009           ,"English,Spanish                                                                        ",USA                                                                                                      ,97 min        ,7.1             ,Documentary                                                                            ,-1
2011           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.4             ,"Horror,Thriller                                                                      ",-1
1986           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",91 min        ,7.5             ,"Horror,Thriller                                                                      ",-1
