Country,Filming Locations,original_index,unique_index
USA,"City Park, New Orleans, Louisiana, USA",2012,1292
USA,"Queens, New York City, New York, USA",2013,1293
USA,"Gorky Street, Moscow, Russia",2014,1294
"USA,Canada","Loblaws Warehouse, Toronto, Ontario, Canada",2015,1295
USA,"Bush Street, San Francisco, California, USA",2016,1296
USA,"Brooks Ranch, Jamestown, California, USA",2017,1297
USA,"Santa Catalina Island, Channel Islands, California, USA",2018,1240
USA,"Stage 28, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",2019,504
USA,"Key West, Florida Keys, Florida, USA",2020,1298
USA,"Stage 10, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",2021,1299
USA,"Santa Clarita, California, USA",2022,70
"Germany,USA","399 Park Avenue, Manhattan, New York City, New York, USA",2023,1300
USA,"167 East 71st Street, Manhattan, New York City, New York, USA",2024,1301
USA,"Hôtel du Cap, Antibes, Alpes-Maritimes, France",2025,1302
USA,"Viale del Policlinico, Rome, Lazio, Italy",2026,1303
USA,"Château de Vitry, Gambais, Yvelines, France",2027,1304
USA,"Champs Elysées, Paris 8, Paris, France",2028,1236
USA,"5 St. Luke's Place, Manhattan, New York City, New York, USA",2029,1305
USA,"Paris, France",2030,467
USA,"24 Rue Censier, Paris, France",2031,1306
USA,"Santa Anita Ave in Arcadia, California, USA",2032,1307
USA,"242 West 45th Street, Manhattan, New York City, New York, USA",2033,1308
USA,"New York County Courthouse - 60 Centre Street, New York City, New York, USA",2034,1309
USA,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",2035,56
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",2036,54
USA,"Big Sur, California, USA",2037,1310
"UK,USA","Inverness, Highland, Scotland, UK",2038,1311
USA,"Samuel Goldwyn Studios - 7200 Santa Monica Boulevard, West Hollywood, California, USA",2039,1312
USA,"Sing Sing Penitentiary - 354 Hunter Street, Ossining, New York, USA",2040,1313
USA,"Munich, Bavaria, Germany",2041,1314
USA,"Chaplin Studios - 1416 N. La Brea Avenue, Hollywood, Los Angeles, California, USA",2042,1315
USA,"La Antigua, Veracruz, Mexico",2043,1316
USA,"Church of the Angels - 1100 Avenue 64, Pasadena, California, USA",2044,1317
USA,"Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",2045,72
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",2046,54
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",2047,54
USA,"Goff Island, Laguna Beach, California, USA",2048,1318
USA,"Lakeside Country Club - 4500 W. Lakeside Drive, Toluca Lake, Los Angeles, California, USA",2049,1319
USA,"344 Fremont St, Woodstock, Illinois, USA",2050,1320
"USA,UK","Campbell River, British Columbia, Canada",2051,1321
USA,Namibia,2052,1052
USA,"Kayenta, Arizona, USA",2053,86
USA,"Columbus, Ohio, USA",2054,1322
USA,"Santa Clarita, California, USA",2055,70
USA,"Cathedral Provincial Park, British Columbia, Canada",2056,1323
USA,"New York City, New York, USA",2057,9
USA,"Durango, Mexico",2058,176
"USA,Taiwan,UK","Montréal, Québec, Canada",2059,1324
"UK,USA,Ireland","Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",2060,1325
USA,"Dallas, Texas, USA",2061,1326
"USA,Germany","Bangour Village Hospital, Dechmont, West Lothian, Scotland, UK",2062,1327
USA,"Albany, New York, USA",2063,1328
"USA,Germany","Los Angeles, California, USA",2064,1329
USA,"New York City, New York, USA",2065,9
USA,"Budapest, Hungary",2066,897
USA,"66 Avenue Foch, Paris 16, Paris, France",2067,1330
USA,"217 Figueroa Street, Los Angeles, California, USA",2068,1331
"UK,USA,Iceland","Val Senales, Trentino-Alto Adige, Italy",2069,1332
USA,"El Dorado Street, Stockton, California, USA",2070,1333
USA,"Shepperton Studios, Shepperton, Surrey, England, UK",2071,417
USA,"Stage 19, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",2072,1334
USA,"Arthur Ranch, Malibu, California, USA",2073,1335
USA,"North Hollywood, Los Angeles, California, USA",2074,60
USA,"Los Angeles County Arboretum & Botanic Garden - 301 N. Baldwin Avenue, Arcadia, California, USA",2075,1336
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",2076,54
USA,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",2077,69
USA,"Bensonhurst, Brooklyn, New York City, New York, USA",2078,1337
USA,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",2079,289
USA,,2080,3
USA,"Gettysburg, Pennsylvania, USA",2081,1338
USA,"Universal City, California, USA",2082,1339
"France,USA","Ballroom, Park Plaza Hotel - 607 S. Park View Street, Los Angeles, California, USA",2083,1340
USA,"Cave Creek, Arizona, USA",2084,1341
"USA,Germany,Saudi Arabia","Baton Rouge, Louisiana, USA",2085,1342
"USA,Germany,Canada","McGill University, Montréal, Québec, Canada",2086,1343
"UK,USA","Urban Road, Hexthorpe, Doncaster, England, UK",2087,1344
"USA,UK","Bank Underground Station, London, England, UK",2088,1345
USA,"Connecticut, USA",2089,707
"UK,USA","Churchill College, Cambridge University, Cambridge, Cambridgeshire, England, UK",2090,1346
"USA,France","Québec, Canada",2091,1347
USA,"Montréal, Québec, Canada",2092,46
"USA,China,UK","London, England, UK",2093,1348
"USA,UK","Knole, Sevenoaks, Kent, England, UK",2094,1349
"New Zealand,USA","Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",2095,1350
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",2096,54
USA,"Atlanta, Georgia, USA",2097,161
"USA,Germany,Paraguay,Uruguay","Mansion Nightclub - Washington Avenue, South Beach, Miami Beach, Florida, USA",2098,1351
USA,"Burbank, California, USA",2099,49
"USA,Canada","2186 East Crary Street, Altadena, California, USA",2100,1352
"UK,USA",India,2101,1353
USA,"Cypress Gardens - 3030 Cypress Gardens Road, Moncks Corner, South Carolina, USA",2102,1354
USA,"Baton Rouge, Louisiana, USA",2103,243
USA,"Alabama Hills, Lone Pine, California, USA",2104,133
USA,,2105,3
USA,,2106,3
USA,Arctic Ocean,2107,1355
USA,"Vancouver, British Columbia, Canada",2108,47
"USA,Hong Kong",USA,2109,1356
USA,"Rice, California, USA",2110,1357
USA,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",2111,58
USA,"Bishop, California, USA",2112,1358
USA,"Tucson, Arizona, USA",2113,177
USA,"Durango, Mexico",2114,176
USA,"Smith Rock State Park, Oregon, USA",2115,1359
USA,"Tucson, Arizona, USA",2116,177
USA,"The Vista Theatre - 4473 Sunset Drive, Los Angeles, California, USA",2117,1360
USA,"Century Ranch, Malibu Creek State Park - 1925 Las Virgenes Road, Calabasas, California, USA",2118,1361
"USA,Mexico","Rancho Marley, Durango, Mexico",2119,1362
USA,"New York City, New York, USA",2120,9
USA,"New Boyana Film Studios, Sofia, Bulgaria",2121,1363
"USA,France","New Boyana Film Studios, Sofia, Bulgaria",2122,1364
USA,"Anastasia Avenue, Coral Gables, Florida, USA",2123,1365
USA,"Amsterdam, Noord-Holland, Netherlands",2124,391
USA,"Old Town Square, Old Town, Prague, Czech Republic",2125,1366
USA,"Westminster Presbyterian Church - 1757 North Lake Avenue, Pasadena, California, USA",2126,1367
"USA,Germany","Beelitz-Heilstätten, Beelitz, Brandenburg, Germany",2127,1368
"USA,Germany,China","Palm Springs, California, USA",2128,1369
"UK,Germany,USA","Chicago, Illinois, USA",2129,1370
USA,"The Henman House - 33583 Mulholland Highway, Malibu, California, USA",2130,1371
USA,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",2131,424
USA,"Utah, USA",2132,375
USA,"Santa Clarita, California, USA",2133,70
USA,,2134,3
"USA,China,Germany,Canada","Beijing, China",2135,1372
"USA,Germany","Barrandov Studios, Prague, Czech Republic",2136,1373
"USA,Germany,Belgium","June Lake, California, USA",2137,1374
USA,"Barrandov Studios, Prague, Czech Republic",2138,1375
"USA,Germany",Hungary,2139,1376
"USA,Malta,France,UK","Rue Saint-Georges, Paris 9, Paris, France",2140,1377
USA,"Big Bear Valley, San Bernardino National Forest, California, USA",2141,1378
USA,"Alcatraz Island, San Francisco Bay, California, USA",2142,1379
USA,USA,2143,21
"USA,France,UK","Long Beach, California, USA",2144,1380
"USA,Canada","Ann Arbor, Michigan, USA",2145,1381
"USA,Germany,UK","Cité du Cinéma, Montréal, Québec, Canada",2146,1382
"France,USA","Los Angeles, California, USA",2147,1383
USA,"Bromont Sur Le Lac, Québec, Canada",2148,1384
"USA,UK","Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",2149,586
"USA,Australia","Black Park, Iver Heath, Buckinghamshire, England, UK",2150,1385
"USA,Japan","Indiana Dunes State Park, Chesterton, Indiana, USA",2151,1386
"UK,USA,Australia","Halton House, Halton, Wendover, Buckinghamshire, England, UK",2152,1387
USA,"Dade City, Florida, USA",2153,1388
"USA,Australia","Santa Clarita, California, USA",2154,1047
"USA,Germany,France","Cape Town, Western Cape, South Africa",2155,1389
USA,"Intersection of Granville and West Georgia Street, Vancouver, British Columbia, Canada",2156,1390
"USA,New Zealand","Auckland, New Zealand",2157,1391
USA,"Culver City, California, USA",2158,296
USA,"Simon Fraser University, Burnaby, British Columbia, Canada",2159,1392
USA,"Phyllis Morris - 8772 Beverly Blvd, West Hollywood, California, USA",2160,1393
USA,"495 North Milwaukee Avenue, Chicago, Illinois, USA",2161,1394
USA,"Moorgate, London, England, UK",2162,1395
USA,"Richmond Park, Richmond, Surrey, England, UK",2163,1396
USA,,2164,3
"USA,Italy","UCLA, Westwood, Los Angeles, California, USA",2165,1397
"USA,Australia","Bacchus Marsh, Victoria, Australia",2166,1398
USA,"All Saint's Episcopal Church - 132 N. Euclid Avenue, Pasadena, California, USA",2167,1280
USA,"Fort McComb, Louisiana, USA",2168,1399
USA,"Portland, Oregon, USA",2169,24
USA,"Canary Islands, Spain",2170,1400
USA,"Attitude Studios, Luxembourg, Luxembourg",2171,1401
"UK,USA","Glen Canyon, Arizona, USA",2172,1402
USA,"Universal City, California, USA",2173,1339
USA,"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",2174,387
"USA,UK","Los Angeles City Fire Station 6, 534 E. Edgeware Road, Los Angeles, California, USA",2175,1403
"USA,UK","Courthouse Square, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",2176,1404
USA,"Cnr Auckland & King Streets Newcastle, NSW, Australia",2177,1405
USA,"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",2178,222
"USA,UK","Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",2179,1406
"USA,UK","Acton Lane Power Station, Acton Lane, Acton, London, England, UK",2180,966
USA,"Val's Restaurant, 10130 Riverside Drive, Toluca Lake, California, USA",2181,1407
"Canada,South Korea,USA",,2182,1408
USA,,2183,3
"UK,Mexico,USA",Mexico,2184,1409
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",2185,54
USA,"San Diego, California, USA",2186,1410
USA,"1150 S Olive St, Los Angeles, California, USA",2187,1411
USA,"Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",2188,102
"USA,India",Yankee Air Museum,2189,1412
USA,"Moab, Utah, USA",2190,1413
USA,"Beaver Falls, Pennsylvania, USA",2191,1414
USA,"Fox Baja Studios, Rosarito, Baja California Norte, Mexico",2192,1415
USA,"General Service Studios - 1040 N. Las Palmas, Hollywood, Los Angeles, California, USA",2193,124
USA,"Canon City, Colorado, USA",2194,1416
USA,"Los Angeles, California, USA",2195,10
USA,"501 Wilcox Avenue, Los Angeles, California, USA",2196,1417
USA,,2197,3
"USA,Germany","Los Angeles, California, USA",2198,1329
"UK,USA","Bethnal Green Town Hall, Bethnal Green, London, England, UK",2199,1418
USA,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",2200,424
USA,"Palazzo Farnese, Caprarola, Viterbo, Lazio, Italy",2201,1419
"USA,UK","Manhattan, New York City, New York, USA",2202,1420
USA,"Monument Valley, Arizona, USA",2203,130
USA,,2204,3
"USA,Australia","Massachusetts, USA",2205,1421
USA,"Boston, Massachusetts, USA",2206,184
USA,"Raleigh Manhattan Beach Studios - 1600 Rosecrans Avenue, Manhattan Beach, California, USA",2207,1422
USA,"4809 Boston St, Baltimore, Maryland, USA",2208,1423
USA,"12th Street and 7th Avenue, Manhattan, New York City, New York, USA",2209,1424
USA,"Santa Clarita, California, USA",2210,70
USA,"Los Angeles, California, USA",2211,10
USA,"Alameda, California, USA",2212,80
USA,"Beaufort, South Carolina, USA",2213,1425
USA,"House of Seven Gables, Salem, Massachusetts, USA",2214,1426
"USA,India","State Farm, Powhatan, Virginia, USA",2215,1427
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",2216,54
"USA,Ireland","Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",2217,745
USA,"Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",2218,196
USA,"Charlottetown, Prince Edward Island, Canada",2219,1428
USA,"Villa Nuits, Westchester Village, Irvington, New York, USA",2220,1429
"Ireland,UK,USA","Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",2221,696
"USA,Italy","Cinecittà Studios, Cinecittà, Rome, Lazio, Italy",2222,740
USA,"Alpes-Maritimes, France",2223,1430
USA,"119 Fremont Place, Los Angeles, California, USA",2224,1431
"USA,Mexico","Huasca de Ocampo, Hidalgo, Mexico",2225,1432
USA,"1000 N. Crescent Drive, Hollywood, Los Angeles, California, USA",2226,1433
USA,"Sam Boyd's California Hotel, 12 E. Ogden Avenue, Las Vegas, Nevada, USA",2227,1434
"USA,Australia,Switzerland,Canada","Canal Street Station, New York City, New York, USA",2228,1435
USA,"Vornado Realty Trust, Manhattan, New York City, New York, USA",2229,1436
USA,"Pacific Palisades, Los Angeles, California, USA",2230,1437
"France,USA,Spain,UK",Spain,2231,1438
"USA,Germany","831 Francisco St, Los Angeles, California, USA",2232,1439
USA,"6221 Painter Ave, Whittier, California, USA",2233,1440
USA,"Back Bay, Boston, Massachusetts, USA",2234,1441
USA,"Colonial Mansion, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",2235,1442
USA,"Delancey Street South, Manhattan, New York City, New York, USA",2236,1443
USA,"Bill Baggs Cape Florida State Park - 1200 S. Crandon Boulevard, Key Biscayne, Florida, USA",2237,1444
"UK,Germany,Spain,USA","Berwick Street, Soho, London, England, UK",2238,1445
USA,"California, USA",2239,27
USA,"150 N. Wells Street, Chicago, Illinois, USA",2240,1446
USA,"Miami Seaquarium - 4400 Rickenbacker Causeway, Key Biscayne, Florida, USA",2241,1447
"France,Spain,USA","Campeche, Mexico",2242,1448
USA,"Memphis, Tennessee, USA",2243,1449
"France,USA,Mexico","Shibuya-ku, Tokyo, Japan",2244,1450
"USA,Australia","Santa Clarita, California, USA",2245,1047
USA,"Austin, Texas, USA",2246,216
USA,"Blenheim Gardens, Brixton, London, England, UK",2247,1451
USA,"Asunción, Paraguay",2248,1452
USA,"New York City, New York, USA",2249,9
"UK,USA","Alameda County, California, USA",2250,1453
"USA,Spain",,2251,1454
"Canada,USA","Québec, Canada",2252,1455
"France,USA","Florence, Arizona, USA",2253,1456
"USA,UK,France","Palos Verdes Estates, California, USA",2254,1457
USA,"Cleveland, Ohio, USA",2255,402
USA,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",2256,69
"France,USA","803 South La Brea Avenue, Los Angeles, California, USA",2257,1458
USA,"Center for Advanced Film Studies, American Film Institute - 2021 N. Western Avenue, Los Angeles, California, USA",2258,1459
USA,"Atlantic City, New Jersey, USA",2259,1460
USA,"Backlot, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",2260,883
USA,"The Dixie Terminal, Fourth and Walnut Streets, Cincinnati, Ohio, USA",2261,1461
USA,"Bristol, Tennessee, USA",2262,1462
USA,"1800 Block, Saint Johns Ave, Highland Park, Illonis, USA",2263,1463
USA,"Pennsylvania, USA",2264,1464
USA,"Lakeview Restaurant - 1132 Dundas St. W, Toronto, Ontario, Canada",2265,1465
USA,"125 Front Street, Downtown, Memphis, Tennessee, USA",2266,1466
USA,"Lost Dutchman State Park - 6109 N. Apache Trail, Apache Junction, Arizona, USA",2267,1467
USA,"Cuernavaca, Morelos, Mexico",2268,536
USA,"Berlin, Germany",2269,1224
"Germany,USA","Los Angeles, California, USA",2270,657
"Germany,USA","Abingdon Square Park, Manhattan, New York City, New York, USA",2271,1468
"UK,USA","Gruuthuse Museum, Bruges, West-Vlaanderen, Belgium",2272,1469
USA,"Atlantic City, New Jersey, USA",2273,1460
USA,"Charles Bridge, Old Town, Prague, Czech Republic",2274,1470
USA,"Alameda Naval Air Station, Alameda, California, USA",2275,1471
USA,"Denver, Colorado, USA",2276,1472
USA,,2277,3
"Germany,USA","New York City, New York, USA",2278,1473
"UK,USA","California, USA",2279,612
USA,"Studio City, Los Angeles, California, USA",2280,1474
"France,Poland,USA","California, USA",2281,1475
USA,"Portland, Oregon, USA",2282,24
USA,"Portland, Oregon, USA",2283,24
USA,"California, USA",2284,27
USA,"Dallas, Texas, USA",2285,1326
USA,,2286,3
"France,USA","Budapest, Hungary",2287,1476
"USA,Japan",,2288,715
USA,,2289,3
"France,UK,USA","Clermont, Iowa, USA",2290,1477
USA,"243 South Santa Fe Avenue, Los Angeles, California, USA",2291,1478
USA,"Bratislava, Slovakia",2292,1479
"USA,UK","Angle, Pembrokeshire, Wales, UK",2293,1480
"USA,UK,Germany",Malaysia,2294,1481
USA,"Ashridge Park, Little Gaddesden, Hertfordshire, England, UK",2295,1482
USA,"Hotel Congress, Tucson, Arizona, USA",2296,1483
USA,"New Mexico, USA",2297,1123
USA,"Amado, Arizona, USA",2298,1484
USA,"Acapulco, Guerrero, Mexico",2299,1485
USA,"Minden, Louisiana, USA",2300,1486
USA,"124 N 7th St, Santa Paula, California, USA",2301,1487
"USA,France","Louisiana, USA",2302,1488
USA,"Bucksport, Maine, USA",2303,1489
USA,"Acadia University, Wolfville, Nova Scotia, Canada",2304,1490
USA,"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",2305,222
USA,"Pickwick Drive-In Theater - 1100 W. Alameda Avenue, Burbank, California, USA",2306,1491
USA,"Southern Pacific Central Station, 400 S. Alameda Street, Downtown, Los Angeles, California, USA",2307,1492
"UK,France,USA","Shepperton Studios, Shepperton, Surrey, England, UK",2308,1493
USA,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",2309,56
USA,"Coahuíla, Mexico",2310,1494
USA,"Austin, Texas, USA",2311,216
USA,"Burro Flats, Simi Hills, California, USA",2312,1495
USA,"Chateau Marmont - 8221 Sunset Blvd., Hollywood, Los Angeles, California, USA",2313,1496
USA,"Austin Studios - 1901 E. 51st Street, Austin, Texas, USA",2314,1497
USA,"Austin, Texas, USA",2315,216
USA,"Barstow, California, USA",2316,1164
USA,"724 E Carson St, Carson, California, USA",2317,1498
USA,"Guanajuato, Mexico",2318,1499
"USA,UK","Cinecittà Studios, Cinecittà, Rome, Lazio, Italy",2319,1500
"Germany,USA","3500 S. Gaffey Street, San Pedro, Los Angeles, California, USA",2320,1501
USA,"El Dorado Canyon, Nevada, USA",2321,1502
USA,"Steiner Ranch - 896 Sayers Road, Bastrop, Texas, USA",2322,1503
USA,"National Mall, Washington, District of Columbia, USA",2323,1504
"USA,Germany","Arcadia, California, USA",2324,1505
USA,"Kodiak, Alaska, USA",2325,1506
USA,"New Mexico, USA",2326,1123
USA,"Alberta, Canada",2327,1022
USA,"Aspen, Colorado, USA",2328,546
USA,USA,2329,21
USA,"2817 Via Segovia, Palos Verdes Peninsula, California, USA",2330,1507
"France,USA","Fairhope, Alabama, USA",2331,1508
USA,"1039 W Lawrence Ave, Chicago, Illinois, USA",2332,1509
USA,"The Hackley School, Tarrytown, New York, USA",2333,1510
USA,"30th Street Station - 3001 Market Street, Philadelphia, Pennsylvania, USA",2334,1511
USA,USA,2335,21
USA,"Cuernavaca, Morelos, Mexico",2336,536
"USA,Germany","Beverly Hills, California, USA",2337,1512
"UK,France,USA","Allée François Aragon, Nice, Alpes-Maritimes, France",2338,1513
USA,"Florida, USA",2339,1514
USA,"Aurora, Illinois, USA",2340,1515
USA,"Austin, Texas, USA",2341,216
USA,"Amsterdam, Noord-Holland, Netherlands",2342,391
USA,"Camden, Arkansas, USA",2343,1516
USA,"Molly Malone's Irish Pub - 575 South Fairfax Avenue, Los Angeles, California, USA",2344,1517
"USA,UK,France","Boston, Massachusetts, USA",2345,1518
USA,"Santa Clarita, California, USA",2346,70
USA,"Bangkok, Thailand",2347,1072
USA,"Closter, New Jersey, USA",2348,1519
"USA,Germany","333. N Canal St Chicago, Illinois, USA",2349,1520
USA,"DeKalb Av/Washington Park, Fort Greene, Brooklyn, New York City, New York, USA",2350,1521
USA,,2351,3
"USA,Italy","St. George Theatre, Staten Island, New York City, New York, USA",2352,1522
USA,"Greek Theater, 2700 N Vermont Ave., Los Angeles, California, USA",2353,1523
"USA,Germany","Showline Studios, Toronto, Ontario, Canada",2354,1524
USA,Bahamas,2355,263
USA,"Annapolis, Maryland, USA",2356,1525
"USA,Germany","Atotonilico de Tula, Hidalgo, Mexico",2357,1526
USA,"Los Angeles, California, USA",2358,10
USA,"Louisiana, USA",2359,25
"Germany,USA","635 South Mateo Street, Los Angeles, California, USA",2360,1527
USA,"New Orleans, Louisiana, USA",2361,171
"USA,Germany","4411 Noeline Avenue, Encino, Los Angeles, California, USA",2362,1528
USA,"Crocketts Bluff, Arkansas, USA",2363,1529
USA,"California State University - 800 N. State College Blvd., Fullerton, California, USA",2364,1530
"UK,USA","Amo, Indiana, USA",2365,1531
USA,"Cleveland, Ohio, USA",2366,402
USA,"Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA",2367,738
USA,"East Jersey State Prison, Rahway, New Jersey, USA",2368,1532
"USA,Australia","Austin Studios - 1901 E. 51st Street, Austin, Texas, USA",2369,1533
USA,"California, USA",2370,27
USA,"Andover, Massachusetts, USA",2371,1534
USA,"Javits Federal Office Building - 26 Federal Plaza, New York City, New York, USA",2372,1535
"USA,United Arab Emirates","El Paso, Texas, USA",2373,1536
USA,"Kaua'i, Hawaii, USA",2374,134
USA,"Richmond, British Columbia, Canada",2375,1537
USA,"Tehachapi, California, USA",2376,1538
USA,"South Carolina, USA",2377,1539
USA,"All-High Stadium - 50 Mercer Avenue, Buffalo, New York, USA",2378,1540
"USA,Canada","Kahnawake, Québec, Canada",2379,1541
USA,"New York City, New York, USA",2380,9
"USA,West Germany","140 Claremont Avenue, Manhattan, New York, USA",2381,1542
USA,"New York City, New York, USA",2382,9
USA,"New York City, New York, USA",2383,9
USA,"Sierra de Loja, Granada, Andalucía, Spain",2384,1543
"USA,UK","Broadgate, London, England, UK",2385,1544
USA,"California, USA",2386,27
USA,"New York Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",2387,767
USA,"Belmont, Bronx, New York City, New York, USA",2388,1545
"USA,Australia","Bal Harbour, Florida, USA",2389,1546
USA,"Brooklyn, New York City, New York, USA",2390,33
USA,"Cathlamet, Washington, USA",2391,1547
"Italy,USA,Spain","Bavispe, Sonora, Mexico",2392,1548
USA,"Santa Clarita, California, USA",2393,70
USA,"Trident Ranch (actor Walter Brennan's then-home), 3240 Sunset Valley Road, Moorpark, California, USA",2394,1549
USA,"CFTO-TV Studios, Scarborough, Toronto, Ontario, Canada",2395,1550
USA,"California, USA",2396,27
USA,"Santa Fe, New Mexico, USA",2397,1551
"USA,Canada","Aldergrove, British Columbia, Canada",2398,1552
"USA,Sweden,Norway","Flughafen Zürich Kloten, Kloten, Kanton Zürich, Switzerland",2399,1553
USA,"Alamo Square, Hayes Valley, San Francisco, California, USA",2400,1264
USA,"Sunset Gower Studios, Hollywood, Los Angeles, California, USA",2401,1554
"Spain,USA","Barcelona, Catalonia, Spain",2402,1555
USA,"Stage 20, Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",2403,1556
"USA,Czech Republic","Prague Castle, Hradcany, Prague, Czech Republic",2404,1557
"USA,Japan","Neptunes Net, 42505 Pacific Coast Highway, Malibu, California, USA",2405,1558
USA,"Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA",2406,738
USA,"8301 Foothill Boulevard Sunland, CA",2407,1559
"USA,Australia","Los Angeles, California, USA",2408,1560
"USA,Japan",,2409,715
"USA,Australia","Roosevelt University - 430 S. Michigan Avenue, Downtown, Chicago, Illinois, USA",2410,1561
USA,"Raleigh Studios Budapest- Felsokert utca 9, Budapest, Hungary",2411,1562
"USA,Canada","Brooklyn Bridge, New York City, New York, USA",2412,1563
USA,"Budapest, Hungary",2413,897
USA,"New Orleans, Louisiana, USA",2414,171
USA,"Daly City, California, USA",2415,1564
USA,"Benson High School - 546 NE 12th Avenue, Portland, Oregon, USA",2416,1565
USA,"American Falls, Niagara Falls, New York, USA",2417,1566
"USA,Canada","Providence, Rhode Island, USA",2418,1567
USA,"Los Angeles, California, USA",2419,10
USA,"Los Angeles, California, USA",2420,10
USA,"Harmar Mine, Harmarville, Pennsylvania, USA",2421,1568
USA,USA,2422,21
USA,"Phippsburg, Maine, USA",2423,1569
USA,"Mayfair Theatre - 214 Santa Monica Boulevard, Santa Monica, California, USA",2424,1570
USA,"Central Park, Manhattan, New York City, New York, USA",2425,242
USA,"Jacksonville, Florida, USA",2426,1169
USA,"Bronx, New York City, New York, USA",2427,336
USA,"Brooklyn Bridge, New York City, New York, USA",2428,787
USA,"1000 Gayley Ave, Los Angeles, California, USA",2429,1571
USA,"Bensonhurst, Brooklyn, New York City, New York, USA",2430,1337
USA,"Blackstone Bay, Alaska, USA",2431,1572
USA,"Stewart Internationa Airport, Newburgh, New York, USA",2432,1573
USA,"Cabo San Lucas, Baja California Sur, Mexico",2433,1574
USA,"Woodmans of Essex, 121 Main Street, Essex, Massachusetts, USA",2434,1575
"USA,UK,Denmark,France,Japan,New Zealand,Germany","Etobicoke, Toronto, Ontario, Canada",2435,1576
USA,"Lake William, Shorewood, Minnesota, USA",2436,1577
USA,"48th Street, Los Angeles, California, USA",2437,458
USA,"Boca Raton Resort & Club - 501 East Camino Real, Boca Raton, Florida, USA",2438,1578
USA,"Bush Stadium - 1501 W. 16th Street, Indianapolis, Indiana, USA",2439,1579
USA,"Arlington, Texas, USA",2440,1580
USA,"Baldwin Hills, Los Angeles, California, USA",2441,1581
USA,"Baltimore, Maryland, USA",2442,38
USA,"Charleston Naval Base, Charleston, South Carolina, USA",2443,1582
USA,"Bosse Field - 1701 N. Main Street, Evansville, Indiana, USA",2444,1583
USA,,2445,3
USA,"Bonanza Creek Ranch - 15 Bonanza Creek Lane, Santa Fe, New Mexico, USA",2446,1584
USA,"Greensboro, North Carolina, USA",2447,1585
USA,,2448,3
USA,"Hollenbeck Park - 415 S. St. Louis Street, Boyle Heights, Los Angeles, California, USA",2449,1586
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",2450,54
USA,"Los Angeles County Arboretum & Botanic Garden - 301 N. Baldwin Avenue, Arcadia, California, USA",2451,1336
USA,"Beverly Hills, California, USA",2452,116
USA,,2453,3
USA,"Alcázar de Segovia, Segovia, Castilla y León, Spain",2454,1587
USA,,2455,3
