abv,original_index,unique_index
0.08,1581,40
0.087,1582,112
0.065,1583,7
0.092,1584,65
0.095,1585,96
0.099,1586,17
0.08%,1587,71
0.08,1588,40
0.08,1589,40
0.065,1590,7
0.065%,1591,45
0.065,1592,7
0.065%,1593,45
0.065,1594,7
0.052000000000000005%,1595,34
0.087,1596,112
0.087%,1597,120
0.099%,1598,85
0.08%,1599,71
0.08,1600,40
0.065,1601,7
0.065,1602,7
0.055%,1603,30
0.055,1604,8
0.04,1605,42
0.048,1606,67
0.053,1607,46
0.052,1608,47
0.053%,1609,98
0.045,1610,39
0.044,1611,19
0.05,1612,0
0.042,1613,38
0.062%,1614,69
0.044,1615,19
0.048,1616,67
0.055%,1617,30
0.05%,1618,60
0.046%,1619,33
0.05,1620,0
0.04,1621,42
0.05,1622,0
0.065,1623,7
0.062,1624,50
0.042,1625,38
0.045,1626,39
0.055,1627,8
0.048,1628,67
0.058,1629,57
0.065%,1630,45
0.05,1631,0
0.05,1632,0
0.051,1633,70
0.047%,1634,59
0.049%,1635,21
,1636,89
0.047%,1637,59
0.047,1638,63
0.047,1639,63
0.041,1640,84
0.059,1641,28
0.069,1642,32
0.067,1643,74
0.061,1644,75
0.055999999999999994%,1645,52
0.073,1646,11
0.07,1647,22
0.05,1648,0
0.05,1649,0
0.06,1650,15
0.07,1651,22
0.06,1652,15
0.045,1653,39
0.055,1654,8
0.045,1655,39
0.055,1656,8
0.07%,1657,23
0.065,1658,7
0.069,1659,32
0.057,1660,48
0.045,1661,39
0.049,1662,20
0.068,1663,61
0.05%,1664,60
0.054,1665,35
0.099,1666,17
,1667,89
,1668,89
0.059000000000000004%,1669,51
0.069%,1670,12
0.06,1671,15
0.058,1672,57
0.057,1673,48
0.057999999999999996%,1674,55
0.059,1675,28
0.052000000000000005%,1676,34
0.052000000000000005%,1677,34
0.045,1678,39
0.055,1679,8
0.046,1680,78
0.058,1681,57
0.044,1682,19
0.046,1683,78
0.099%,1684,85
0.051%,1685,44
0.059,1686,28
0.053,1687,46
0.06,1688,15
0.051%,1689,44
0.072,1690,10
0.062%,1691,69
0.049,1692,20
0.051,1693,70
0.055,1694,8
0.07%,1695,23
0.047%,1696,59
0.057999999999999996%,1697,55
0.055,1698,8
0.065,1699,7
0.065,1700,7
0.058,1701,57
0.08,1702,40
0.08,1703,40
0.08%,1704,71
0.05,1705,0
0.05%,1706,60
0.09,1707,31
0.07,1708,22
0.099,1709,17
0.05,1710,0
0.07%,1711,23
0.064,1712,72
0.064,1713,72
,1714,89
0.05,1715,0
0.046,1716,78
0.056,1717,54
0.062,1718,50
,1719,89
0.055,1720,8
0.068,1721,61
0.058,1722,57
0.061,1723,75
0.057%,1724,56
0.068,1725,61
0.065,1726,7
0.05%,1727,60
0.057%,1728,56
0.055,1729,8
0.06,1730,15
0.058,1731,57
0.052,1732,47
0.043%,1733,99
0.072,1734,10
0.048%,1735,53
0.038,1736,37
0.035%,1737,121
0.043,1738,49
0.05,1739,0
0.05,1740,0
0.05,1741,0
0.055%,1742,30
0.05,1743,0
0.062,1744,50
0.08,1745,40
0.05,1746,0
0.071,1747,2
0.062,1748,50
0.048,1749,67
0.08,1750,40
0.081,1751,82
0.053,1752,46
0.051,1753,70
0.061,1754,75
0.055,1755,8
0.062,1756,50
0.048,1757,67
0.045,1758,39
0.053,1759,46
,1760,89
0.055%,1761,30
0.059,1762,28
0.05,1763,0
0.07%,1764,23
0.055%,1765,30
0.051,1766,70
0.076,1767,43
0.07,1768,22
0.08,1769,40
0.071%,1770,108
0.099,1771,17
0.051,1772,70
0.056,1773,54
0.07200000000000001%,1774,102
0.063%,1775,104
0.045%,1776,6
0.055999999999999994%,1777,52
0.073,1778,11
0.048,1779,67
0.073%,1780,88
0.056,1781,54
0.05,1782,0
0.068%,1783,26
0.052000000000000005%,1784,34
0.048%,1785,53
0.069%,1786,12
0.095,1787,96
0.091%,1788,122
0.055,1789,8
0.05%,1790,60
0.06,1791,15
0.065,1792,7
0.055%,1793,30
0.05%,1794,60
0.07,1795,22
0.069%,1796,12
0.055,1797,8
0.081,1798,82
0.05,1799,0
0.055,1800,8
0.07,1801,22
0.05,1802,0
0.055%,1803,30
0.055%,1804,30
0.057999999999999996%,1805,55
0.068,1806,61
0.08900000000000001%,1807,123
0.054000000000000006%,1808,58
0.07,1809,22
0.055,1810,8
0.071,1811,2
0.045,1812,39
,1813,89
0.08%,1814,71
0.055,1815,8
0.066,1816,1
0.05%,1817,60
0.065,1818,7
0.065%,1819,45
0.065,1820,7
0.05,1821,0
0.05,1822,0
0.045%,1823,6
0.05,1824,0
0.040999999999999995%,1825,94
0.045%,1826,6
0.047,1827,63
0.074,1828,105
0.065,1829,7
0.065,1830,7
0.07%,1831,23
0.07%,1832,23
0.077%,1833,124
0.053,1834,46
0.077,1835,5
0.06,1836,15
0.07,1837,22
0.068,1838,61
0.05,1839,0
0.069%,1840,12
0.051,1841,70
0.047,1842,63
0.051,1843,70
0.052,1844,47
0.072,1845,10
0.06,1846,15
0.06,1847,15
0.055999999999999994%,1848,52
0.048%,1849,53
0.05%,1850,60
0.072,1851,10
0.055999999999999994%,1852,52
0.069%,1853,12
0.042%,1854,91
0.06,1855,15
0.068%,1856,26
0.1,1857,125
0.042,1858,38
0.08,1859,40
0.032,1860,66
0.065,1861,7
0.047,1862,63
0.099,1863,17
0.07,1864,22
0.067,1865,74
0.054,1866,35
0.052000000000000005%,1867,34
0.063%,1868,104
0.064,1869,72
0.099%,1870,85
0.059,1871,28
0.052,1872,47
0.049,1873,20
0.091%,1874,122
0.063,1875,73
0.06,1876,15
0.054000000000000006%,1877,58
0.052,1878,47
0.063,1879,73
0.064,1880,72
0.045,1881,39
0.074,1882,105
0.068%,1883,26
0.058,1884,57
0.058,1885,57
0.08,1886,40
,1887,89
0.042,1888,38
0.053,1889,46
0.061,1890,75
0.057,1891,48
0.068,1892,61
0.057999999999999996%,1893,55
0.071,1894,2
0.085,1895,13
0.082,1896,16
0.049%,1897,21
0.06%,1898,64
0.055,1899,8
0.056,1900,54
0.062%,1901,69
0.049,1902,20
0.055,1903,8
0.084,1904,36
0.057999999999999996%,1905,55
0.07,1906,22
0.053,1907,46
0.055999999999999994%,1908,52
0.049%,1909,21
0.051,1910,70
0.07%,1911,23
0.058,1912,57
0.062,1913,50
0.05,1914,0
0.06,1915,15
0.054000000000000006%,1916,58
0.05,1917,0
0.05,1918,0
0.052,1919,47
0.068,1920,61
0.05,1921,0
0.092,1922,65
0.063,1923,73
0.063,1924,73
0.06%,1925,64
0.079,1926,18
0.099,1927,17
0.055%,1928,30
0.05,1929,0
0.064,1930,72
0.099%,1931,85
0.043%,1932,99
0.052000000000000005%,1933,34
0.046,1934,78
0.057%,1935,56
0.084,1936,36
0.063,1937,73
0.07,1938,22
0.055,1939,8
0.08,1940,40
0.05%,1941,60
0.035%,1942,121
0.048,1943,67
0.055,1944,8
0.075,1945,4
0.077,1946,5
0.053%,1947,98
0.058,1948,57
0.05,1949,0
0.08,1950,40
0.057999999999999996%,1951,55
0.05%,1952,60
0.058,1953,57
0.065,1954,7
0.055,1955,8
0.069,1956,32
0.085,1957,13
0.092,1958,65
0.085%,1959,62
0.072,1960,10
0.05,1961,0
0.099,1962,17
0.055,1963,8
0.069,1964,32
0.083,1965,27
0.065,1966,7
0.05,1967,0
0.047,1968,63
,1969,89
0.058,1970,57
0.096,1971,90
0.082,1972,16
0.079%,1973,25
0.06,1974,15
0.055,1975,8
0.096%,1976,126
0.073,1977,11
0.062%,1978,69
0.06,1979,15
0.058,1980,57
0.055,1981,8
0.05,1982,0
0.05%,1983,60
0.056,1984,54
0.052,1985,47
0.042,1986,38
0.065,1987,7
0.048%,1988,53
0.065%,1989,45
0.065,1990,7
0.049%,1991,21
0.057,1992,48
0.065,1993,7
0.047,1994,63
0.047,1995,63
0.054,1996,35
0.047,1997,63
0.052000000000000005%,1998,34
0.063,1999,73
0.047%,2000,59
0.047%,2001,59
0.047%,2002,59
0.062,2003,50
0.057,2004,48
0.052000000000000005%,2005,34
0.05,2006,0
0.05%,2007,60
0.035,2008,29
0.049,2009,20
0.057%,2010,56
0.054,2011,35
0.05%,2012,60
0.054,2013,35
0.047,2014,63
0.047,2015,63
0.051%,2016,44
0.05,2017,0
0.05,2018,0
0.045,2019,39
0.045,2020,39
0.051,2021,70
0.05,2022,0
0.07200000000000001%,2023,102
0.05,2024,0
0.041,2025,84
0.041,2026,84
0.032,2027,66
0.053,2028,46
0.053,2029,46
0.047%,2030,59
0.083%,2031,113
0.052,2032,47
0.054,2033,35
0.054,2034,35
0.057999999999999996%,2035,55
0.083,2036,27
0.099%,2037,85
0.09,2038,31
0.053%,2039,98
0.064,2040,72
0.063,2041,73
0.064,2042,72
0.064,2043,72
,2044,89
0.09,2045,31
0.065%,2046,45
0.075,2047,4
0.055999999999999994%,2048,52
0.099,2049,17
0.063,2050,73
,2051,89
0.054,2052,35
0.071%,2053,108
0.054,2054,35
0.099%,2055,85
0.07%,2056,23
0.09,2057,31
0.055,2058,8
0.052,2059,47
0.052,2060,47
0.08,2061,40
0.091%,2062,122
0.09%,2063,3
0.075,2064,4
0.055,2065,8
0.099%,2066,85
0.054,2067,35
0.053,2068,46
0.055999999999999994%,2069,52
0.045,2070,39
0.07,2071,22
0.07200000000000001%,2072,102
0.057,2073,48
0.099%,2074,85
0.073%,2075,88
0.075,2076,4
0.04,2077,42
0.055,2078,8
0.051,2079,70
0.051,2080,70
0.09699999999999999%,2081,116
0.051%,2082,44
0.067,2083,74
0.062,2084,50
0.073,2085,11
0.05%,2086,60
0.056,2087,54
0.05,2088,0
0.059000000000000004%,2089,51
0.045,2090,39
0.055,2091,8
0.057%,2092,56
0.064%,2093,92
0.054,2094,35
0.08,2095,40
0.05%,2096,60
0.05,2097,0
0.05,2098,0
0.049%,2099,21
0.05%,2100,60
0.05,2101,0
0.049%,2102,21
0.085,2103,13
0.048%,2104,53
0.062,2105,50
0.055999999999999994%,2106,52
0.05,2107,0
0.068%,2108,26
0.044000000000000004%,2109,76
0.072,2110,10
0.05,2111,0
0.05%,2112,60
0.052,2113,47
0.085,2114,13
0.05,2115,0
0.05,2116,0
0.07200000000000001%,2117,102
0.044,2118,19
0.05%,2119,60
0.063,2120,73
0.068,2121,61
0.055999999999999994%,2122,52
0.055,2123,8
0.07%,2124,23
0.065,2125,7
0.07%,2126,23
0.057,2127,48
0.08,2128,40
0.057,2129,48
0.064,2130,72
0.055,2131,8
0.048%,2132,53
0.04%,2133,106
0.066,2134,1
0.047%,2135,59
0.055,2136,8
0.063,2137,73
0.056,2138,54
0.071,2139,2
0.06,2140,15
0.096%,2141,126
0.08,2142,40
0.07,2143,22
0.08,2144,40
0.08,2145,40
0.046%,2146,33
0.07%,2147,23
0.048%,2148,53
0.059,2149,28
0.05,2150,0
0.073,2151,11
0.07%,2152,23
0.052,2153,47
0.057%,2154,56
0.063,2155,73
0.052,2156,47
0.055%,2157,30
0.05,2158,0
0.069,2159,32
0.099,2160,17
0.046,2161,78
0.045,2162,39
,2163,89
0.052,2164,47
0.058,2165,57
0.059,2166,28
0.047,2167,63
0.044,2168,19
0.048,2169,67
0.052000000000000005%,2170,34
0.040999999999999995%,2171,94
0.049,2172,20
0.051%,2173,44
0.04%,2174,106
0.062,2175,50
0.062,2176,50
0.053,2177,46
0.06,2178,15
0.055%,2179,30
0.055,2180,8
0.054,2181,35
0.053,2182,46
0.052,2183,47
0.065%,2184,45
0.075,2185,4
,2186,89
0.058,2187,57
0.052,2188,47
0.12,2189,127
0.055%,2190,30
0.085,2191,13
0.058,2192,57
0.051,2193,70
0.052,2194,47
0.045,2195,39
0.055,2196,8
0.07%,2197,23
0.07,2198,22
0.05,2199,0
0.045,2200,39
0.055,2201,8
0.045,2202,39
0.073,2203,11
0.055%,2204,30
0.05,2205,0
0.068,2206,61
0.062,2207,50
0.065%,2208,45
0.06,2209,15
0.057,2210,48
0.05,2211,0
0.08%,2212,71
0.082,2213,16
0.075,2214,4
0.045,2215,39
0.08199999999999999%,2216,68
0.075%,2217,103
0.055%,2218,30
0.062,2219,50
0.054000000000000006%,2220,58
0.075,2221,4
0.051%,2222,44
0.041,2223,84
0.048,2224,67
0.052000000000000005%,2225,34
0.062%,2226,69
0.048,2227,67
0.062%,2228,69
0.057,2229,48
0.054,2230,35
0.052,2231,47
0.062,2232,50
0.048,2233,67
0.046,2234,78
0.063,2235,73
0.057999999999999996%,2236,55
0.057999999999999996%,2237,55
0.051%,2238,44
0.051%,2239,44
0.077,2240,5
0.045,2241,39
0.065,2242,7
0.07,2243,22
0.065%,2244,45
0.045,2245,39
0.05,2246,0
0.06,2247,15
0.072,2248,10
0.048%,2249,53
0.05%,2250,60
0.05,2251,0
0.04,2252,42
0.04,2253,42
0.073%,2254,88
0.04%,2255,106
0.04%,2256,106
0.073,2257,11
0.04%,2258,106
0.04,2259,42
0.055,2260,8
0.06%,2261,64
0.047%,2262,59
0.065,2263,7
0.065%,2264,45
0.065,2265,7
0.001%,2266,128
0.068%,2267,26
0.064,2268,72
0.078,2269,87
0.085,2270,13
0.085,2271,13
0.042%,2272,91
0.055,2273,8
0.06,2274,15
0.045,2275,39
0.045,2276,39
0.06,2277,15
0.128%,2278,129
0.10400000000000001%,2279,130
0.068,2280,61
0.099,2281,17
0.076,2282,43
0.06,2283,15
0.065%,2284,45
0.075,2285,4
0.099,2286,17
0.082,2287,16
0.077,2288,5
0.075,2289,4
0.069%,2290,12
0.048%,2291,53
0.048,2292,67
0.067,2293,74
0.058,2294,57
0.072,2295,10
0.053,2296,46
0.065%,2297,45
0.04%,2298,106
0.09,2299,31
0.08%,2300,71
0.06,2301,15
0.06,2302,15
0.04,2303,42
0.09,2304,31
0.04,2305,42
0.068,2306,61
0.069,2307,32
0.068%,2308,26
0.068,2309,61
0.068,2310,61
0.052,2311,47
0.092,2312,65
0.079,2313,18
0.075%,2314,103
0.092,2315,65
0.073,2316,11
0.075%,2317,103
0.04,2318,42
0.06%,2319,64
0.055999999999999994%,2320,52
0.047,2321,63
0.085,2322,13
0.047,2323,63
0.051%,2324,44
0.04%,2325,106
0.052,2326,47
0.045%,2327,6
0.06%,2328,64
0.047,2329,63
0.052,2330,47
0.054,2331,35
0.07,2332,22
0.07,2333,22
0.09%,2334,3
0.07,2335,22
0.055,2336,8
,2337,89
0.055,2338,8
0.04,2339,42
0.05,2340,0
0.068,2341,61
0.057,2342,48
0.052000000000000005%,2343,34
0.058,2344,57
,2345,89
0.08%,2346,71
,2347,89
0.075%,2348,103
,2349,89
0.049%,2350,21
0.052000000000000005%,2351,34
0.055%,2352,30
0.05,2353,0
0.055,2354,8
0.055%,2355,30
0.06,2356,15
0.049,2357,20
0.049,2358,20
0.049,2359,20
0.082,2360,16
0.045,2361,39
0.05,2362,0
0.052,2363,47
0.082,2364,16
0.082,2365,16
0.042%,2366,91
0.06,2367,15
0.045%,2368,6
0.055999999999999994%,2369,52
0.068%,2370,26
0.057,2371,48
0.045,2372,39
0.051,2373,70
0.054000000000000006%,2374,58
0.075,2375,4
0.05,2376,0
0.072,2377,10
0.05%,2378,60
0.07400000000000001%,2379,109
0.08,2380,40
0.055%,2381,30
0.071%,2382,108
0.052,2383,47
0.048,2384,67
0.059000000000000004%,2385,51
0.062,2386,50
0.045,2387,39
0.057999999999999996%,2388,55
0.045%,2389,6
0.059000000000000004%,2390,51
0.047,2391,63
0.05,2392,0
0.065%,2393,45
0.028,2394,131
0.065,2395,7
0.069,2396,32
0.045,2397,39
0.077%,2398,124
0.069,2399,32
0.06,2400,15
0.042,2401,38
0.08199999999999999%,2402,68
0.055%,2403,30
0.075,2404,4
0.067,2405,74
0.052,2406,47
0.055%,2407,30
0.055%,2408,30
0.052,2409,47
