Director,original_index,unique_index
Joel Schumacher,1893,175
Jonathan Mostow,1894,948
David Ayer,1895,1184
David Yates,1896,854
Steven Spielberg,1897,413
Steven Spielberg,1898,413
Alexander Payne,1899,423
Joe Johnston,1900,488
Renny Harlin,1901,1185
Len Wiseman,1902,15
John Schlesinger,1903,1149
Peter Jackson,1904,838
J. Neil Schulman,1905,1186
Steve Goltz,1906,1187
Jim McBride,1907,1188
Tod Browning,1908,116
Ernest B. Schoedsack,1909,1189
Eric Nicholas,1910,1190
Paul von Stoetzel,1911,1191
John Guillermin,1912,1192
"Anthony D.P. Mann,Arthur Lubin",1913,1193
Joe May,1914,1194
Erle C. Kenton,1915,1195
James Whale,1916,813
Stuart Walker,1917,1196
Erle C. Kenton,1918,1195
Rouben Mamoulian,1919,1197
David Gordon Green,1920,1110
Carlos Brooks,1921,1198
Bill Condon,1922,1199
E. Elias Merhige,1923,1200
Danny Leiner,1924,1201
Marc Evans,1925,1202
Georgina Lightning,1926,1203
Peter Cattaneo,1927,1204
Brad Silberling,1928,721
"Morgan Klein,Peter Knight",1929,1205
Jake Kasdan,1930,244
Robert Siodmak,1931,1206
Lambert Hillyer,1932,1207
Charles Barton,1933,563
Erle C. Kenton,1934,1195
Christy Cabanne,1935,1208
Leslie Goodwins,1936,1209
Gordon Douglas,1937,1210
Christopher Coppola,1938,1211
John Sherwood,1939,1212
Jack Arnold,1940,547
Jay Chandrasekhar,1941,1213
Harold Young,1942,1214
Rudy De Luca,1943,1215
Samuel Fuller,1944,1216
Bob Odenkirk,1945,1217
John Guillermin,1946,1192
Walter Grauman,1947,1218
Michael Cimino,1948,1219
Craig Mazin,1949,1220
"Victor Fleming,George Cukor",1950,890
Elia Kazan,1951,485
Don Siegel,1952,152
James Fargo,1953,1221
Ted Post,1954,1222
Don Siegel,1955,152
Clint Eastwood,1956,293
Don Siegel,1957,152
Ted Post,1958,1222
John Sturges,1959,795
Edward Dmytryk,1960,63
Andrew Marton,1961,965
Harold Ramis,1962,1223
Clint Orr,1963,1224
McG,1964,866
Thomas Carter,1965,873
Craig Gillespie,1966,1117
Spike Lee,1967,181
Denzel Washington,1968,1225
Denzel Washington,1969,1225
Gregory Hoblit,1970,1226
Carl Franklin,1971,1089
Jonathan Demme,1972,791
Mark Robson,1973,1227
Charles Herman-Wurmfeld,1974,1228
"Kelly Asbury,Lorna Cook",1975,1229
"Eric Leighton,Ralph Zondag",1976,1230
Victor Fleming,1977,59
Francis Ford Coppola,1978,1093
Otto Preminger,1979,94
John Ford,1980,97
Alfred Hitchcock,1981,0
"Charles Laughton,Robert Mitchum",1982,1231
Henry Koster,1983,359
George Cukor,1984,889
Robert Rossen,1985,1232
Alfred Hitchcock,1986,0
Stanley Kramer,1987,1233
Robert Luketic,1988,249
Billy Wilder,1989,255
Billy Wilder,1990,255
Billy Wilder,1991,255
Gavin O'Connor,1992,874
Billy Wilder,1993,255
Billy Wilder,1994,255
Billy Wilder,1995,255
Robert Florey,1996,1234
Billy Wilder,1997,255
Billy Wilder,1998,255
Billy Wilder,1999,255
Fritz Lang,2000,1235
Nicholas Ray,2001,302
Raoul Walsh,2002,1236
Jacques Tourneur,2003,552
Robert Rossen,2004,1232
"George Stevens,George Stevens Jr.",2005,1237
Elia Kazan,2006,485
Frank Lloyd,2007,1238
Delbert Mann,2008,1239
Andrzej Bartkowiak,2009,1056
Michael Bay,2010,259
Orson Welles,2011,918
Jon M. Chu,2012,1240
Dito Montiel,2013,863
Peter Segal,2014,882
Paul Hunter,2015,1241
John Huston,2016,565
Fred Zinnemann,2017,480
Robert Day,2018,1242
Howard Hawks,2019,154
John Huston,2020,565
Billy Wilder,2021,255
Peter Berg,2022,344
Sydney Pollack,2023,76
Blake Edwards,2024,1044
Richard Quine,2025,1243
William Wyler,2026,28
Billy Wilder,2027,255
Stanley Donen,2028,1244
Terence Young,2029,1245
William Wyler,2030,28
Stanley Donen,2031,1244
Frank Capra,2032,80
Joseph L. Mankiewicz,2033,1246
Sidney Lumet,2034,346
Robert Florey,2035,1234
William Wyler,2036,28
Alfred Hitchcock,2037,0
Billy Wilder,2038,255
Billy Wilder,2039,255
Michael Curtiz,2040,29
Stanley Kubrick,2041,30
Charles Chaplin,2042,1247
Andrew Davis,2043,856
"John Cromwell,Edward F. Cline",2044,1248
Frank Capra,2045,80
Edmund Goulding,2046,1249
Norman Krasna,2047,1250
William Dieterle,2048,411
Leo McCarey,2049,1251
Harold Ramis,2050,1223
Jean-Jacques Annaud,2051,1041
"Carol Hughes,David Hughes",2052,1252
Sydney Pollack,2053,76
Stuart Rosenberg,2054,1144
Sydney Pollack,2055,76
Michael Chapman,2056,173
Ivan Reitman,2057,62
Carl Gottlieb,2058,1253
Ang Lee,2059,1254
Kevin Reynolds,2060,247
Michael Anderson,2061,73
John Maybury,2062,1255
"Simon Wells,Gore Verbinski",2063,1256
Paul Verhoeven,2064,11
Robert Lieberman,2065,984
Ernie Barbarash,2066,1257
William Friedkin,2067,1167
William Friedkin,2068,1167
Baltasar Kormákur,2069,1258
William Friedkin,2070,1167
"Anthony Russo,Joe Russo",2071,261
Frank Capra,2072,80
Howard Hawks,2073,154
Howard Hawks,2074,154
Preston Sturges,2075,77
Ernst Lubitsch,2076,1259
Leo McCarey,2077,1251
Martha Coolidge,2078,457
Gregory La Cava,2079,1260
George Cukor,2080,889
Ron Maxwell,2081,1261
Ang Lee,2082,1254
Roland Emmerich,2083,263
"Ryan Page,Christopher Pomerenke",2084,1262
Matthew Chapman,2085,1263
Stephen Gaghan,2086,291
Peter Hewitt,2087,710
Lexi Alexander,2088,1264
Tom Donahue,2089,1265
Douglas McGrath,2090,1266
Stefan Ruzowitzky,2091,1267
Zack Snyder,2092,47
David Ayer,2093,1184
Rob Marshall,2094,211
Peter Jackson,2095,838
Edward Buzzell,2096,1268
Francis Lawrence,2097,835
Michael Mann,2098,399
David Fincher,2099,460
Steven Spielberg,2100,413
"Danny Boyle,Loveleen Tandan",2101,1269
Nick Cassavetes,2102,345
Jason Moore,2103,1270
William Shatner,2104,1271
Carl Miller,2105,1272
Tommy Kraft,2106,1273
Jean-Christophe Jeauffre,2107,1274
Justin Lin,2108,1275
Steve Barron,2109,1276
Justin Lin,2110,1275
Norman Z. McLeod,2111,1277
Henry Hathaway,2112,153
Howard Hawks,2113,154
Burt Kennedy,2114,1278
Stuart Millar,2115,1279
Howard Hawks,2116,154
Barry Sonnenfeld,2117,347
Andrew V. McLaglen,2118,422
"George Sherman,John Wayne",2119,1280
Jonathan Liebesman,2120,110
Noam Murro,2121,1281
Patrick Hughes,2122,1282
Michael Bay,2123,259
Michael Bay,2124,259
Brian De Palma,2125,404
Byron Haskin,2126,464
Bryan Singer,2127,442
J.J. Abrams,2128,546
"Joel Coen,Ethan Coen",2129,91
Paul Verhoeven,2130,11
"Robert Florey,Joseph Santley",2131,1283
Simon West,2132,844
Michael Bay,2133,259
James Mangold,2134,46
Rob Cohen,2135,509
Guillermo del Toro,2136,284
Chuck Russell,2137,636
Guillermo del Toro,2138,284
Guillermo del Toro,2139,284
Ron Howard,2140,174
Lee Tamahori,2141,1284
Michael Bay,2142,259
"Jon Turtletaub,Jon Turteltaub",2143,1285
F. Gary Gray,2144,449
Doug Liman,2145,837
Paul W.S. Anderson,2146,949
"Louis Leterrier,Corey Yuen",2147,1286
David Koepp,2148,1287
Tim Burton,2149,119
Tim Burton,2150,119
Michael Mann,2151,399
Tom Hooper,2152,226
Tim Burton,2153,119
Dominic Sena,2154,843
Andrew Niccol,2155,858
David S. Goyer,2156,1288
Patrick Tatopoulos,2157,1289
Francis Ford Coppola,2158,1093
"Måns Mårlind,Björn Stein",2159,1290
Steven Soderbergh,2160,89
Steven Soderbergh,2161,89
Steven Soderbergh,2162,89
Guy Ritchie,2163,165
Lincoln Ruchti,2164,1291
Ron Howard,2165,174
Mark Steven Johnson,2166,287
Clint Eastwood,2167,293
Sylvester Stallone,2168,217
Henry Selick,2169,634
Louis Leterrier,2170,831
Shane Acker,2171,1292
Richard Lester,2172,1293
Joe Dante,2173,52
Ivan Reitman,2174,62
Joel Schumacher,2175,175
Joel Schumacher,2176,175
Bryan Singer,2177,442
Tim Burton,2178,119
"Richard Lester,Richard Donner",2179,1294
Tim Burton,2180,119
Ivan Reitman,2181,62
Peter Lepeniotis,2182,1295
Jimmy Hayward,2183,1296
John Glen,2184,847
Sam Wood,2185,1297
Martin Campbell,2186,827
Steven Lisberger,2187,1298
Mike Newell,2188,852
Shawn Levy,2189,601
Andrew Stanton,2190,679
D.J. Caruso,2191,45
Peter Weir,2192,155
Archie Mayo,2193,410
Jerry Schatzberg,2194,1299
Warren Beatty,2195,1300
Curtis Hanson,2196,438
Charles Reisner,2197,1301
Bryan Singer,2198,442
Guy Ritchie,2199,165
Victor Heerman,2200,1302
Francis Ford Coppola,2201,1093
Ridley Scott,2202,240
Edward Buzzell,2203,1268
William A. Seiter,2204,148
Clint Eastwood,2205,293
Ben Affleck,2206,206
David Fincher,2207,460
Tony Scott,2208,25
Andy Tennant,2209,1032
Barry Sonnenfeld,2210,347
Gabriele Muccino,2211,1303
Gabriele Muccino,2212,1303
Robert Redford,2213,1142
Nicholas Hytner,2214,1304
Steven Spielberg,2215,413
"Sam Wood,Edmund Goulding",2216,1305
Jim Sheridan,2217,1306
"Ford Beebe,B. Reeves Eason",2218,1307
Rebecca Miller,2219,1308
Martin Scorsese,2220,236
Jim Sheridan,2221,1306
Martin Scorsese,2222,236
Lewis Teague,2223,1166
Danny DeVito,2224,140
Robert Zemeckis,2225,242
Ridley Scott,2226,240
Adrian Lyne,2227,12
Gary Fleder,2228,803
J.C. Chandor,2229,280
Oliver Stone,2230,383
Paul Greengrass,2231,10
D.J. Caruso,2232,45
D.J. Caruso,2233,45
Robert Luketic,2234,249
Douglas Sirk,2235,300
Adrian Lyne,2236,12
John McNaughton,2237,1309
Michael Caton-Jones,2238,424
Phillip Noyce,2239,845
Chris Columbus,2240,321
Andrew Bergman,2241,1079
Steven Soderbergh,2242,89
Alejandro González Iñárritu,2243,1310
Alejandro González Iñárritu,2244,1310
Antoine Fuqua,2245,517
Spike Lee,2246,181
Alfred Hitchcock,2247,0
Oliver Stone,2248,383
Oliver Stone,2249,383
Oliver Stone,2250,383
Oliver Stone,2251,383
Oliver Stone,2252,383
Oliver Stone,2253,383
Ron Howard,2254,174
"Robert Pulcini,Shari Springer Berman",2255,1311
Rob Reiner,2256,239
David Lynch,2257,32
David Lynch,2258,32
Martin Scorsese,2259,236
Rob Reiner,2260,239
Barry Levinson,2261,139
Tony Scott,2262,25
Paul Brickman,2263,1312
Harold Becker,2264,698
Roger Donaldson,2265,697
Sydney Pollack,2266,76
Cameron Crowe,2267,911
Pete Travis,2268,1313
Robert Schwentke,2269,342
Richard Donner,2270,54
Paul McGuigan,2271,1314
Martin McDonagh,2272,1315
Bob Rafelson,2273,455
Rob Cohen,2274,509
Lee Tamahori,2275,1284
Sean Donnelly,2276,1316
James Westby,2277,654
"Angela Christlieb,Stephen Kijak",2278,1317
Kirby Dick,2279,511
"Andrew James,Joshua Ligairi",2280,1318
David Lynch,2281,32
James Westby,2282,654
James Westby,2283,654
Mike Judge,2284,582
Jordan Susman,2285,1319
James Westby,2286,654
Woody Allen,2287,694
"Hironobu Sakaguchi,Motonori Sakakibara",2288,1320
Tom DiCillo,2289,1321
David Lynch,2290,32
David Lynch,2291,32
Rob Cohen,2292,509
Ridley Scott,2293,240
Jon Amiel,2294,1322
Jerry Zucker,2295,1152
Ron Shelton,2296,1035
Lawrence Kasdan,2297,303
Kevin Costner,2298,860
Costa-Gavras,2299,914
Frank Darabont,2300,1140
Brian DePalma,2301,1323
Daniel Stamm,2302,1324
Mary Lambert,2303,1325
Taylor Hackford,2304,502
George Huang,2305,1326
John Carpenter,2306,1327
George Stevens,2307,408
Kenneth Branagh,2308,622
Lloyd Bacon,2309,232
Robert Rodriguez,2310,1328
Robert Rodriguez,2311,1328
Howard Hawks,2312,154
"Allison Anders,Alexandre Rockwell",2313,1329
"Robert Rodriguez,Eli Roth,Quentin Tarantino,Edgar Wright,Rob Zombie",2314,1330
"Ethan Maniquis,Robert Rodriguez",2315,1331
Robert Rodriguez,2316,1328
Quentin Tarantino,2317,245
Robert Rodriguez,2318,1328
Anthony Minghella,2319,210
Paul Haggis,2320,1332
Demian Lichtenstein,2321,1333
Clint Eastwood,2322,293
Roger Donaldson,2323,697
Tom Shadyac,2324,336
Andrew Davis,2325,856
Joshua Michael Stern,2326,1334
Kevin Costner,2327,860
Sam Raimi,2328,829
John McTiernan,2329,257
Richard Donner,2330,54
Andrew Davis,2331,856
Stuart Baird,2332,1062
Alan J. Pakula,2333,135
Peter Weir,2334,155
Phillip Noyce,2335,845
Phillip Noyce,2336,845
Wolfgang Petersen,2337,920
John Frankenheimer,2338,194
Martin Scorsese,2339,236
Sam Mendes,2340,20
Dennis Lee,2341,790
Martin Scorsese,2342,236
Martin Scorsese,2343,236
"David Brooks,Paul Carafotes",2344,1335
Paul Greengrass,2345,10
John Woo,2346,879
"Oxide Pang Chun,Danny Pang",2347,1336
Brett Ratner,2348,338
Gore Verbinski,2349,130
Dito Montiel,2350,863
Al Pacino,2351,876
Barry Levinson,2352,139
Dan Fogelman,2353,1337
Donald Petrie,2354,969
Andy Tennant,2355,1032
Tom Dey,2356,501
Martin Campbell,2357,827
Lee Daniels,2358,1338
William Friedkin,2359,1167
F. Gary Gray,2360,449
Jean-Marc Vallée,2361,1339
Gregory Hoblit,2362,1226
Jeff Nichols,2363,1175
Tom Brady,2364,1340
David Anspaugh,2365,872
Ivan Reitman,2366,62
Bennett Miller,2367,1341
Norman Jewison,2368,192
Donald Petrie,2369,969
David O. Russell,2370,205
David Fincher,2371,460
Anne Fletcher,2372,250
Ric Roman Waugh,2373,1342
Peter Berg,2374,344
Kevin Bray,2375,1343
George Tillman Jr.,2376,1130
Michael Tollin,2377,1344
Barry Levinson,2378,139
Bill Paxton,2379,1177
Gregory Hoblit,2380,1226
William Friedkin,2381,1167
Jerry Schatzberg,2382,1299
Fred Coe,2383,1345
Leo McCarey,2384,1251
David Lynch,2385,32
Rob Reiner,2386,239
Michael Curtiz,2387,29
Martin Scorsese,2388,236
Harold Ramis,2389,1223
Barry Levinson,2390,139
George Tillman Jr.,2391,1130
Sergio Leone,2392,878
Barry Sonnenfeld,2393,347
Roman Polanski,2394,1346
Sidney Lumet,2395,346
Barry Sonnenfeld,2396,347
"Ethan Coen,Joel Coen",2397,1108
"Eric Bress,J. Mackye Gruber",2398,1347
David Fincher,2399,460
Francis Ford Coppola,2400,1093
James Bridges,2401,1348
Brad Anderson,2402,1349
Gregory Hoblit,2403,1226
Neil Burger,2404,1038
Kathryn Bigelow,2405,222
Jan de Bont,2406,13
Tim Hunter,2407,1007
Tom Dey,2408,501
"Peter Chung,Andrew R. Jones",2409,1350
Alejandro Agresti,2410,1351
Carl Rinsch,2411,1352
Scott Derrickson,2412,1353
Paul Feig,2413,1354
Jon Amiel,2414,1322
Pat O'Connor,2415,228
Marisa Silver,2416,1355
Malcolm Venville,2417,1356
David Mackay,2418,1357
Stephen Kay,2419,1358
"Melissa Behr,Sherrie Rose",2420,1359
Ron Nyswaner,2421,1360
Stephen Herek,2422,326
Jim Wilson,2423,1361
Mel Brooks,2424,1362
Dennis Dugan,2425,923
Frank Coraci,2426,947
Peter Segal,2427,882
Frank Coraci,2428,947
Dennis Dugan,2429,923
Dennis Dugan,2430,923
Peter Segal,2431,882
Steven Brill,2432,1363
Dennis Dugan,2433,923
Dennis Dugan,2434,923
Mikael Salomon,2435,1364
Ted Demme,2436,545
David Ayer,2437,1184
Harold Ramis,2438,1223
John Sayles,2439,1365
Ron Shelton,2440,1035
Ron Shelton,2441,1035
David S. Ward,2442,884
John Warren,2443,1366
Penny Marshall,2444,44
Edward Sloman,2445,1367
Paul Bartel,2446,1368
Arthur Hiller,2447,144
Nick Grinde,2448,81
"George Abbott,Stanley Donen",2449,885
Vincente Minnelli,2450,164
Victor Schertzinger,2451,1369
Michael Curtiz,2452,29
Robert G. Vignola,2453,1370
Joshua Logan,2454,1371
Jack Bernhard,2455,1372
Charles Walters,2456,1373
Sam Raimi,2457,829
Jennifer Chambers Lynch,2458,1374
John Herzfeld,2459,1375
Harold Ramis,2460,1223
Josh Johnson,2461,1376
John Dahl,2462,90
Gavin O'Connor,2463,874
Richard Fleischer,2464,964
Rob Reiner,2465,239
Frank Capra,2466,80
Don Chaffey,2467,368
George Stevens,2468,408
George Seaton,2469,1377
Leo McCarey,2470,1251
Clarence Brown,2471,1378
Sam Wood,2472,1297
Vincente Minnelli,2473,164
Mario Van Peebles,2474,1136
Henry Levin,2475,1379
Richard Fleischer,2476,964
George Sidney,2477,1380
George Cukor,2478,889
Dave Fleischer,2479,1381
Clarence Brown,2480,1378
Henry Koster,2481,359
Tina Hirsch,2482,1382
Chris Noonan,2483,1383
Renny Harlin,2484,1185
Dermot Mulroney,2485,1384
Garry Marshall,2486,253
Clare Kilner,2487,1385
Paul Weiland,2488,1386
Mark Steven Johnson,2489,287
Ken Kwapis,2490,159
P.J. Hogan,2491,627
Thomas Bezucha,2492,1387
"John Lounsbery,Wolfgang Reitherman",2493,973
"Clyde Geronimi,Wilfred Jackson",2494,725
"James Algar,Gaëtan Brizzi",2495,1388
"Norman Ferguson,Clyde Geronimi",2496,1389
"Deems Taylor,Hugh Douglas,Julietta Novis,Leopold Stokowski,James Algar,Mickey Mouse,Samuel Armstrong,Ford Beebe,Walt Disney,Norman Ferguson,Jim Handley,Wilfred Jackson,Hamilton Luske,Bill Roberts,Paul Satterfield,T. Hee,Bianca Majolie,Ben Sharpsteen,Norman Wright,Albert Heath,Ford I. Beebe,Sylvia Moberly-Holland,Graham Heid",2497,1390
"Robert Cormack,Clyde Geronimi",2498,1391
David Tybor,2499,1392
"Alfred L. Werker,Hamilton Luske",2500,1393
Byron Haskin,2501,464
"Harold D. Schuster,Hamilton Luske",2502,1394
Marc Webb,2503,262
Danny DeVito,2504,140
Robert Stevenson,2505,702
Vincent McEveety,2506,1395
Vincent McEveety,2507,1395
Robert Stevenson,2508,702
Rod Daniel,2509,1396
Duwayne Dunham,2510,987
Brian Levant,2511,728
Stephen Herek,2512,326
Brad Silberling,2513,721
Richard Foster,2514,1397
"Bob Clark (III),Bob Clark",2515,1398
Cosmo Segurson,2516,1399
Kevin Smith,2517,168
Kevin Smith,2518,168
Kevin Smith,2519,168
Kevin Smith,2520,168
Kevin Smith,2521,168
Wayne Wang,2522,1400
Kevin Smith,2523,168
Kevin Smith,2524,168
Nicolas Roeg,2525,1401
Alex Proyas,2526,476
Hugh Wilson,2527,1402
Imani Shakur,2528,1403
Paul Rocha,2529,1404
Doug Bilitch,2530,1405
Evan Oppenheimer,2531,1406
Phil Weinstein,2532,1407
Patricia Rozema,2533,1408
Dylan Baker,2534,1409
Robert Rodriguez,2535,1328
John Robert Moore,2536,1410
Paul Feig,2537,1354
LeRoy McDonald,2538,1411
"Joel Coen,Ethan Coen",2539,91
Jo Kastner,2540,1412
John R. Leonetti,2541,1413
Thor Freudenthal,2542,944
David Bowers,2543,909
Thor Freudenthal,2544,944
"Jennifer Flackett,Mark Levin",2545,1414
David Frankel,2546,1415
Jon Favreau,2547,260
Wayne Wang,2548,1400
"Charles A. Nichols,Iwao Takamoto",2549,1416
Michael O. Sajbel,2550,1417
Johnny Gagnon,2551,1418
Rick Stevenson,2552,1419
Johnny Gagnon,2553,1418
"Robert Nixon,Fisher Stevens",2554,1420
Theresa Demarest,2555,1421
Ronald Colby,2556,1422
Peter Brown,2557,1423
Martin Campbell,2558,827
Werner Herzog,2559,19
Werner Herzog,2560,19
Andrew Jarecki,2561,1424
Terrence Malick,2562,1425
Alan J. Pakula,2563,135
James Marsh,2564,1426
"Henry Joost,Ariel Schulman",2565,1427
Kurt Kuenne,2566,1428
"Heidi Ewing,Rachel Grady",2567,1429
Alex Ross Perry,2568,1430
Errol Morris,2569,483
"Joe Berlinger,Bruce Sinofsky",2570,1431
Jenny Stein,2571,1432
Marisa Miller Wolfson,2572,1433
Mark Devries,2573,1434
Jenny Stein,2574,1432
Hugh Wilson,2575,1402
Sidney Lumet,2576,346
Shaun Monson,2577,915
"Kip Andersen,Keegan Kuhn",2578,1435
Peter Hyams,2579,1164
Lee Fulkerson,2580,1436
Michael Moore,2581,916
Davis Guggenheim,2582,1437
Michael Moore,2583,916
Michael Moore,2584,916
Michael Moore,2585,916
Larry Charles,2586,716
Antonio Campos,2587,1438
Noah Baumbach,2588,1124
Hal Ashby,2589,454
Michael Crichton,2590,1439
Mike Nichols,2591,456
"Joe Cross,Kurt Engfehr",2592,1440
Charles Chaplin,2593,1247
John Cromwell,2594,1441
David Schmoeller,2595,1442
Mark Rydell,2596,1443
John Waters,2597,299
Richard Blackburn,2598,1444
Bud Townsend,2599,919
S.F. Brownrigg,2600,1445
Greydon Clark,2601,56
Roger Corman,2602,1446
Bud Townsend,2603,919
"William Dear,Thomas Van Dyke",2604,1447
Alfred Hitchcock,2605,0
Griffin Dunne,2606,1448
Alfred Hitchcock,2607,0
Bernard McEveety,2608,1449
Nick Castle,2609,1450
Patrick Read Johnson,2610,1451
Tim Burton,2611,119
Dan Harris,2612,1452
Neil LaBute,2613,1453
Bronwen Hughes,2614,1454
Mel Smith,2615,1455
Andrew Bergman,2616,1079
John Pasquin,2617,1456
Barry Sonnenfeld,2618,347
Brian Robbins,2619,883
William Friedkin,2620,1167
Steve Carr,2621,943
Kevin Lima,2622,695
Edgar Wright,2623,1457
Dennie Gordon,2624,1458
William Dear,2625,1013
Bob Saget,2626,1459
Stephen Herek,2627,326
Christopher Guest,2628,1460
Irwin Winkler,2629,1461
Steven Brill,2630,1363
Frank Coraci,2631,947
Steve Barron,2632,1276
Ernest R. Dickerson,2633,1129
Jim Abrahams,2634,1462
Mel Brooks,2635,1362
John Hughes,2636,325
Paul W.S. Anderson,2637,949
Roger Vadim,2638,1463
"Mike Judge,Mike de Seve",2639,1464
Tamra Davis,2640,924
Trey Parker,2641,712
René Eram,2642,1465
Michael Apted,2643,853
Lee Tamahori,2644,1284
Martin Campbell,2645,827
Todd Phillips,2646,544
Judd Apatow,2647,186
Judd Apatow,2648,186
Shawn Levy,2649,601
Betty Thomas,2650,709
Paul Bogart,2651,1466
D.W. Griffith,2652,1467
Phil Traill,2653,1468
Mennan Yapo,2654,1469
Dean Parisot,2655,736
Todd Phillips,2656,544
David Gordon Green,2657,1110
Todd Phillips,2658,544
Matthew Vaughn,2659,688
Edgar Wright,2660,1457
Edgar Wright,2661,1457
Stephen Frears,2662,238
"Evan Goldberg,Seth Rogen",2663,995
Mikael Håfström,2664,216
J.B. Rogers,2665,1470
Keenen Ivory Wayans,2666,929
David Zucker,2667,925
"Malcolm D. Lee,David Zucker",2668,1471
Danny Leiner,2669,1201
Wes Craven,2670,294
David Zucker,2671,925
Jesse Dylan,2672,1472
"Jon Hurwitz,Hayden Schlossberg",2673,1473
Todd Phillips,2674,544
Wes Craven,2675,294
John Hughes,2676,325
John Hughes,2677,325
Liam Lynch,2678,1474
Jared Hess,2679,1475
John Hamburg,2680,1476
Brett Ratner,2681,338
Oliver Parker,2682,1477
Peter Howitt,2683,1478
Nima Nourizadeh,2684,51
Stuart Samuels,2685,1479
"Jeff Schaffer,Alec Berg",2686,1480
Dale Schott,2687,1481
"Bernard Deyriès,Kimio Yabuki",2688,1482
Steve 'Spaz' Williams,2689,1483
Catherine Hardwicke,2690,1484
Mike Disa,2691,1485
Anthony Leondis,2692,1486
Robert Vince,2693,1487
Alfonso Cuarón,2694,120
Robert Rodriguez,2695,1328
Joe Dante,2696,52
Michael Lembeck,2697,628
Richard Linklater,2698,930
Gregory Colbert,2699,1488
"Walter Lang,Dorothy Davenport",2700,1489
Mark Magidson,2701,1490
Erich von Stroheim,2702,1491
Clarence Brown,2703,1378
Victor Sjöström,2704,1492
John G. Avildsen,2705,926
John G. Avildsen,2706,926
John Stephenson,2707,1493
Godfrey Reggio,2708,1494
Godfrey Reggio,2709,1494
"Sam Fell,Robert Stevenhagen",2710,1495
David M. Evans,2711,992
Robert Vincent O'Neill,2712,1496
"Melanie Mayron,Lynn Hamrick",2713,1497
Howard Deutch,2714,324
Melville Shavelson,2715,1498
Karey Kirkpatrick,2716,1499
Rob Minkoff,2717,668
Brad Peyton,2718,726
"Mike Mitchell,Mike Mitchell (VI)",2719,1500
Peter Hewitt,2720,710
Robert Rodriguez,2721,1328
Robert Rodriguez,2722,1328
Brian Robbins,2723,883
Gavin Hood,2724,841
Brian Levant,2725,728
Michael Mayer,2726,525
Frank E. Johnson,2727,1501
Elizabeth Allen Rosenbaum,2728,743
John Lyde,2729,1502
Sandy Tung,2730,1503
Tom Shadyac,2731,336
Simon Wells,2732,974
Keanu Reeves,2733,1504
Mark A.Z. Dippé,2734,1505
Michael Rymer,2735,1506
Blake Edwards,2736,1044
Colin Trevorrow,2737,1507
Doug Ellin,2738,1508
"Glenn Ficarra,John Requa",2739,967
Oliver Krekel,2740,1509
Alan Taylor,2741,830
Jean-Pierre Jeunet,2742,1510
Len Wiseman,2743,15
Walter Hill,2744,445
Ivan Reitman,2745,62
Chuck Russell,2746,636
Ivan Reitman,2747,62
Richard Fleischer,2748,964
Heitor Dhalia,2749,1511
John McTiernan,2750,257
Peter Hyams,2751,1164
Roger Spottiswoode,2752,269
"Colin Strause,Greg Strause",2753,1512
Seth MacFarlane,2754,1513
Fred Dekker,2755,106
José Padilha,2756,1514
"Jason Friedberg,Aaron Seltzer",2757,1515
Brian Pimental,2758,1516
George Miller,2759,979
Brad Peyton,2760,726
Rob Reiner,2761,239
"Paul Bolger,Yvette Kaplan",2762,1517
Howard Zieff,2763,1074
"Howard E. Baker,John Fox",2764,1518
Kirk De Micco,2765,1519
John Hughes,2766,325
"Boyd Kirkland,Steven E. Gordon",2767,1520
Blake Edwards,2768,1044
Jeremy Horton,2769,1521
Robert D. Hanna,2770,1522
Barry Mahon,2771,955
Donald G. Jackson,2772,1523
"Sias Odendaal,Michael Pakleppa",2773,1524
Jonathan R. Betuel,2774,1525
"Pixote Hunt,Joe Johnston",2775,1526
Kenneth Branagh,2776,622
Derek Savage,2777,1527
"Martin Davidson,Stephen Verona",2778,1528
Sylvester Stallone,2779,217
Sylvester Stallone,2780,217
Sylvester Stallone,2781,217
Sylvester Stallone,2782,217
Mel Gibson,2783,1529
John G. Avildsen,2784,926
Luca Bercovici,2785,1530
Rupert Harvey,2786,1531
Albert Band,2787,522
Stephen Chiodo,2788,1532
Kristine Peterson,2789,1533
Mick Garris,2790,1534
Danny Boyle,2791,209
Bruce Neibaur,2792,1535
James Neilson,2793,1536
Stan Ferguson,2794,1537
T.C. Christensen,2795,1538
Bruce Neibaur,2796,1535
Leslie Greif,2797,1539
Donald Petrie,2798,969
"Joseph Barbera,William Hanna",2799,1540
Bob Hathcock,2800,1541
"John Eng,Norton Virgien",2801,1542
Curtis Hanson,2802,438
Adam Brooks,2803,254
Edward Burns,2804,1543
Cameron Pearson,2805,1544
Stacy Title,2806,1545
Roger Kumble,2807,308
Larry Holden,2808,1546
Mel Brooks,2809,1362
Mel Brooks,2810,1362
Brian Crano,2811,1547
Mel Brooks,2812,1362
Mel Brooks,2813,1362
Mel Brooks,2814,1362
Alan Johnson,2815,1548
Mel Brooks,2816,1362
Frank Coraci,2817,947
Dennis Dugan,2818,923
Clarence Brown,2819,1378
Fred M. Wilcox,2820,579
Jim Henson,2821,978
Robert Taylor,2822,1549
Vincent McEveety,2823,1395
Bruce A. Evans,2824,1047
Woody Allen,2825,694
Nick Louvel,2826,1550
Catherine Hardwicke,2827,1484
"Michael Davis,John Errington",2828,1551
