style,brewery-id,original_index,unique_index
Saison / Farmhouse Ale,6,955,754
American IPA,6,956,751
American Pale Lager,543,957,755
American Pale Lager,543,958,755
American Pale Ale (APA),269,959,756
American Pale Lager,269,960,757
Fruit / Vegetable Beer,365,961,758
American Brown Ale,365,962,759
American Blonde Ale,365,963,760
American Blonde Ale,365,964,760
Vienna Lager,365,965,761
Irish Red Ale,365,966,762
Vienna Lager,365,967,761
Witbier,365,968,763
Irish Red Ale,365,969,762
American Pale Ale (APA),365,970,764
Rye Beer,365,971,765
American Brown Ale,365,972,759
American IPA,365,973,766
Märzen / Oktoberfest,365,974,767
American Amber / Red Ale,365,975,768
American Stout,365,976,769
American Pale Ale (APA),365,977,764
Irish Red Ale,365,978,762
American Pale Ale (APA),466,979,770
American Pale Ale (APA),156,980,771
American Black Ale,156,981,772
Märzen / Oktoberfest,86,982,773
American Double / Imperial IPA,86,983,774
Märzen / Oktoberfest,379,984,775
American Pale Ale (APA),379,985,776
Witbier,379,986,777
American Blonde Ale,379,987,778
American Porter,379,988,779
American Pale Ale (APA),379,989,776
Cream Ale,379,990,780
American Pale Wheat Ale,124,991,781
Winter Warmer,124,992,782
Pumpkin Ale,124,993,783
Czech Pilsener,124,994,784
American Amber / Red Ale,124,995,785
American IPA,124,996,786
American Pale Ale (APA),124,997,787
American IPA,124,998,786
Tripel,124,999,788
Altbier,144,1000,789
American IPA,290,1001,790
American Pale Ale (APA),290,1002,791
American IPA,327,1003,792
American Double / Imperial Pilsner,327,1004,793
German Pilsener,327,1005,794
American Pale Wheat Ale,327,1006,795
English India Pale Ale (IPA),327,1007,796
American Brown Ale,327,1008,797
American Blonde Ale,327,1009,798
American Pale Ale (APA),327,1010,799
American IPA,248,1011,800
American Blonde Ale,248,1012,801
Fruit / Vegetable Beer,476,1013,802
Munich Helles Lager,476,1014,803
American IPA,343,1015,804
Cream Ale,343,1016,805
American Pale Ale (APA),343,1017,806
Herbed / Spiced Beer,234,1018,807
American White IPA,234,1019,808
Cider,234,1020,809
Kölsch,234,1021,810
American IPA,234,1022,811
Pumpkin Ale,234,1023,812
Märzen / Oktoberfest,234,1024,813
American IPA,234,1025,811
Kölsch,234,1026,810
American Pale Wheat Ale,234,1027,814
Kölsch,234,1028,810
American IPA,234,1029,811
American Blonde Ale,535,1030,815
Witbier,535,1031,816
American Blonde Ale,204,1032,817
American Pale Ale (APA),204,1033,818
American Brown Ale,204,1034,819
American Brown Ale,204,1035,819
Flanders Red Ale,204,1036,820
Belgian IPA,280,1037,821
American Pale Lager,280,1038,822
American Double / Imperial IPA,280,1039,823
American IPA,479,1040,824
Märzen / Oktoberfest,479,1041,825
Cream Ale,479,1042,826
Cream Ale,423,1043,827
American IPA,423,1044,828
American Double / Imperial Stout,423,1045,829
American Pilsner,168,1046,830
American Pale Ale (APA),168,1047,831
American Pale Wheat Ale,500,1048,832
Fruit / Vegetable Beer,500,1049,833
American Amber / Red Ale,500,1050,834
American Pale Ale (APA),362,1051,835
Czech Pilsener,362,1052,836
American Blonde Ale,362,1053,837
American Amber / Red Ale,362,1054,838
Saison / Farmhouse Ale,362,1055,839
American White IPA,349,1056,840
Saison / Farmhouse Ale,297,1057,841
American Brown Ale,297,1058,842
American IPA,297,1059,843
American Blonde Ale,198,1060,844
American Strong Ale,198,1061,845
American IPA,198,1062,846
American Blonde Ale,198,1063,844
American Pale Lager,198,1064,847
American IPA,198,1065,846
American IPA,198,1066,846
American Blonde Ale,198,1067,844
American IPA,395,1068,848
American Pale Lager,395,1069,849
Altbier,395,1070,850
American Pale Ale (APA),395,1071,851
American Porter,136,1072,852
Cider,80,1073,853
Radler,80,1074,854
American Pale Wheat Ale,80,1075,855
American Pale Wheat Ale,80,1076,855
American Pale Wheat Ale,80,1077,855
American Pale Wheat Ale,80,1078,855
American Pale Wheat Ale,80,1079,855
American Pale Wheat Ale,80,1080,855
American Pale Wheat Ale,80,1081,855
American Pale Wheat Ale,80,1082,855
American Pale Wheat Ale,80,1083,855
American Pale Wheat Ale,80,1084,855
American Pale Wheat Ale,80,1085,855
American Pale Wheat Ale,80,1086,855
American Amber / Red Ale,80,1087,856
American Stout,80,1088,857
American IPA,80,1089,858
American Strong Ale,80,1090,859
American White IPA,80,1091,860
American Amber / Red Ale,80,1092,856
American Strong Ale,80,1093,859
Czech Pilsener,80,1094,861
American IPA,80,1095,858
American Pale Wheat Ale,120,1096,862
Hefeweizen,120,1097,863
Märzen / Oktoberfest,120,1098,864
American Pale Ale (APA),445,1099,865
Vienna Lager,445,1100,866
American IPA,277,1101,867
Winter Warmer,277,1102,868
Fruit / Vegetable Beer,277,1103,869
American Pale Wheat Ale,277,1104,870
American Black Ale,277,1105,871
American Pale Ale (APA),277,1106,872
American Amber / Red Ale,140,1107,873
American Pale Ale (APA),140,1108,874
Witbier,140,1109,875
American Pale Ale (APA),23,1110,876
American IPA,242,1111,877
Cream Ale,242,1112,878
American Blonde Ale,527,1113,879
American IPA,527,1114,880
American Pale Ale (APA),527,1115,881
American Blonde Ale,123,1116,882
American IPA,316,1117,883
Keller Bier / Zwickel Bier,2,1118,884
American Pale Lager,2,1119,885
American India Pale Lager,2,1120,886
American India Pale Lager,2,1121,886
American India Pale Lager,2,1122,886
Cider,416,1123,887
Cider,416,1124,887
American Pale Ale (APA),312,1125,888
Fruit / Vegetable Beer,92,1126,889
American IPA,92,1127,890
American IPA,92,1128,890
American Amber / Red Ale,92,1129,891
English Brown Ale,92,1130,892
American IPA,114,1131,893
American Strong Ale,32,1132,894
Hefeweizen,32,1133,895
American Porter,32,1134,896
American Pale Ale (APA),32,1135,897
American Blonde Ale,32,1136,898
American IPA,32,1137,899
Hefeweizen,233,1138,900
American Pale Ale (APA),233,1139,901
American Double / Imperial IPA,233,1140,902
American Adjunct Lager,233,1141,903
American IPA,208,1142,904
Doppelbock,208,1143,905
Hefeweizen,125,1144,906
Munich Dunkel Lager,125,1145,907
American Pale Ale (APA),125,1146,908
Märzen / Oktoberfest,125,1147,909
Kölsch,125,1148,910
Saison / Farmhouse Ale,125,1149,911
American Double / Imperial IPA,125,1150,912
American Amber / Red Lager,125,1151,913
Hefeweizen,125,1152,906
American IPA,125,1153,914
Euro Dark Lager,342,1154,915
American IPA,342,1155,916
Czech Pilsener,342,1156,917
Scottish Ale,458,1157,918
American Blonde Ale,458,1158,919
American IPA,458,1159,920
Scottish Ale,458,1160,918
Scotch Ale / Wee Heavy,510,1161,921
American IPA,510,1162,922
American IPA,510,1163,922
American Pale Ale (APA),510,1164,923
American IPA,510,1165,922
Scotch Ale / Wee Heavy,510,1166,921
Witbier,84,1167,924
American Pale Ale (APA),84,1168,925
Scottish Ale,84,1169,926
American Brown Ale,84,1170,927
American Brown Ale,84,1171,927
American Blonde Ale,84,1172,928
American Amber / Red Ale,84,1173,929
American Amber / Red Ale,102,1174,930
Czech Pilsener,102,1175,931
American IPA,102,1176,932
Hefeweizen,102,1177,933
American Blonde Ale,102,1178,934
American IPA,87,1179,935
American Pale Wheat Ale,87,1180,936
American Amber / Red Lager,439,1181,937
American Amber / Red Lager,439,1182,937
American Amber / Red Lager,439,1183,937
American Amber / Red Lager,439,1184,937
American Dark Wheat Ale,505,1185,938
Belgian Strong Dark Ale,354,1186,939
Hefeweizen,332,1187,940
American IPA,332,1188,941
Maibock / Helles Bock,545,1189,942
Kölsch,545,1190,943
Hefeweizen,59,1191,944
American IPA,59,1192,945
American Amber / Red Ale,59,1193,946
English Brown Ale,59,1194,947
Cream Ale,218,1195,948
American Pilsner,218,1196,949
American IPA,218,1197,950
American IPA,345,1198,951
American IPA,345,1199,951
Czech Pilsener,406,1200,952
Kölsch,537,1201,953
American IPA,537,1202,954
American Amber / Red Ale,537,1203,955
Hefeweizen,537,1204,956
Scottish Ale,537,1205,957
German Pilsener,244,1206,958
Saison / Farmhouse Ale,244,1207,959
American Stout,298,1208,960
American Amber / Red Ale,298,1209,961
Fruit / Vegetable Beer,298,1210,962
American IPA,298,1211,963
American Pale Ale (APA),104,1212,964
American Porter,149,1213,965
American Stout,149,1214,966
American Pale Ale (APA),149,1215,967
Hefeweizen,149,1216,968
American Brown Ale,149,1217,969
English India Pale Ale (IPA),268,1218,970
American Amber / Red Ale,268,1219,971
Altbier,268,1220,972
Fruit / Vegetable Beer,268,1221,973
Altbier,268,1222,972
Gose,41,1223,974
German Pilsener,41,1224,975
American IPA,41,1225,976
American IPA,41,1226,976
American IPA,430,1227,977
Czech Pilsener,430,1228,978
American Stout,377,1229,979
Hefeweizen,456,1230,980
American Pale Ale (APA),456,1231,981
American Blonde Ale,456,1232,982
English Dark Mild Ale,245,1233,983
Belgian Pale Ale,245,1234,984
American Pale Ale (APA),158,1235,985
American Pilsner,158,1236,986
American IPA,158,1237,987
American Amber / Red Ale,158,1238,988
American Pale Ale (APA),485,1239,989
American Amber / Red Ale,485,1240,990
American Pale Ale (APA),400,1241,991
American Brown Ale,400,1242,992
American Double / Imperial IPA,91,1243,993
American Blonde Ale,91,1244,994
Winter Warmer,91,1245,995
Fruit / Vegetable Beer,91,1246,996
Kölsch,91,1247,997
American Pale Ale (APA),91,1248,998
American IPA,91,1249,999
American Brown Ale,91,1250,1000
American Amber / Red Ale,91,1251,1001
Fruit / Vegetable Beer,303,1252,1002
Hefeweizen,303,1253,1003
Fruit / Vegetable Beer,303,1254,1002
German Pilsener,534,1255,1004
American IPA,534,1256,1005
German Pilsener,534,1257,1004
American Amber / Red Ale,534,1258,1006
Winter Warmer,356,1259,1007
Märzen / Oktoberfest,356,1260,1008
Belgian Pale Ale,356,1261,1009
American IPA,356,1262,1010
Pumpkin Ale,356,1263,1011
American Pale Wheat Ale,356,1264,1012
Tripel,356,1265,1013
Fruit / Vegetable Beer,356,1266,1014
American Double / Imperial IPA,356,1267,1015
American Double / Imperial IPA,346,1268,1016
American IPA,346,1269,1017
American Blonde Ale,346,1270,1018
American Brown Ale,346,1271,1019
American Pale Ale (APA),346,1272,1020
German Pilsener,443,1273,1021
American IPA,443,1274,1022
American IPA,317,1275,1023
American Pale Ale (APA),317,1276,1024
Russian Imperial Stout,317,1277,1025
American Pale Ale (APA),317,1278,1024
American Double / Imperial IPA,317,1279,1026
Saison / Farmhouse Ale,161,1280,1027
American Stout,161,1281,1028
American Amber / Red Ale,161,1282,1029
American Double / Imperial IPA,161,1283,1030
American Double / Imperial IPA,161,1284,1030
Rye Beer,161,1285,1031
Saison / Farmhouse Ale,161,1286,1027
American Stout,161,1287,1028
American IPA,299,1288,1032
Shandy,299,1289,1033
American IPA,299,1290,1032
German Pilsener,299,1291,1034
Light Lager,299,1292,1035
Light Lager,299,1293,1035
American Pale Lager,299,1294,1036
Fruit / Vegetable Beer,299,1295,1037
American Blonde Ale,299,1296,1038
American IPA,299,1297,1032
American Pale Wheat Ale,299,1298,1039
English Pale Ale,299,1299,1040
English Pale Ale,299,1300,1040
American Brown Ale,375,1301,1041
Czech Pilsener,375,1302,1042
Saison / Farmhouse Ale,375,1303,1043
Belgian Strong Dark Ale,375,1304,1044
Fruit / Vegetable Beer,375,1305,1045
American Amber / Red Ale,375,1306,1046
Witbier,375,1307,1047
American IPA,375,1308,1048
American Pale Wheat Ale,375,1309,1049
Munich Helles Lager,375,1310,1050
American Porter,375,1311,1051
American IPA,375,1312,1048
American Porter,448,1313,1052
Witbier,448,1314,1053
American Pale Ale (APA),448,1315,1054
Cider,254,1316,1055
Cider,254,1317,1055
Cider,254,1318,1055
American IPA,203,1319,1056
American IPA,203,1320,1056
American Blonde Ale,203,1321,1057
American Porter,203,1322,1058
American Amber / Red Ale,203,1323,1059
American Pale Ale (APA),203,1324,1060
Fruit / Vegetable Beer,393,1325,1061
American Brown Ale,393,1326,1062
American IPA,393,1327,1063
American Blonde Ale,393,1328,1064
American Amber / Red Ale,552,1329,1065
American IPA,223,1330,1066
American IPA,223,1331,1066
Witbier,223,1332,1067
American Brown Ale,223,1333,1068
American IPA,223,1334,1066
American Double / Imperial IPA,3,1335,1069
American IPA,3,1336,1070
Wheat Ale,3,1337,1071
American Double / Imperial IPA,3,1338,1069
Cream Ale,3,1339,1072
Kölsch,3,1340,1073
American Double / Imperial IPA,65,1341,1074
American IPA,65,1342,1075
American IPA,65,1343,1075
Belgian IPA,65,1344,1076
Saison / Farmhouse Ale,65,1345,1077
Berliner Weissbier,65,1346,1078
American IPA,65,1347,1075
American Pale Ale (APA),65,1348,1079
American Pilsner,363,1349,1080
American IPA,363,1350,1081
Witbier,440,1351,1082
Irish Red Ale,440,1352,1083
American Pale Ale (APA),440,1353,1084
American Double / Imperial IPA,284,1354,1085
American Amber / Red Ale,284,1355,1086
American IPA,284,1356,1087
Saison / Farmhouse Ale,284,1357,1088
Witbier,284,1358,1089
Vienna Lager,284,1359,1090
American Amber / Red Ale,284,1360,1086
American Malt Liquor,134,1361,1091
Bock,134,1362,1092
Light Lager,134,1363,1093
American Pale Lager,134,1364,1094
American Pale Lager,134,1365,1094
American Pale Lager,134,1366,1094
American Pale Lager,134,1367,1094
American Pale Lager,134,1368,1094
American Pale Lager,134,1369,1094
American Adjunct Lager,134,1370,1095
Light Lager,134,1371,1093
American Adjunct Lager,134,1372,1095
American Adjunct Lager,134,1373,1095
Belgian Pale Ale,98,1374,1096
American IPA,98,1375,1097
American Pale Ale (APA),98,1376,1098
American Double / Imperial IPA,98,1377,1099
American Brown Ale,399,1378,1100
American Pale Wheat Ale,399,1379,1101
California Common / Steam Beer,399,1380,1102
American IPA,399,1381,1103
English Brown Ale,547,1382,1104
American Pale Ale (APA),547,1383,1105
American Pale Ale (APA),189,1384,1106
American IPA,209,1385,1107
American IPA,209,1386,1107
American Pale Ale (APA),209,1387,1108
American Amber / Red Ale,209,1388,1109
Saison / Farmhouse Ale,209,1389,1110
American Pale Wheat Ale,209,1390,1111
American Stout,209,1391,1112
American Amber / Red Ale,209,1392,1109
American Amber / Red Ale,549,1393,1113
American Brown Ale,514,1394,1114
American Double / Imperial IPA,514,1395,1115
American Pale Ale (APA),514,1396,1116
American Blonde Ale,276,1397,1117
Extra Special / Strong Bitter (ESB),276,1398,1118
Munich Helles Lager,326,1399,1119
Märzen / Oktoberfest,326,1400,1120
American Pale Wheat Ale,326,1401,1121
Schwarzbier,326,1402,1122
German Pilsener,326,1403,1123
Cream Ale,111,1404,1124
American Pale Ale (APA),540,1405,1125
Hefeweizen,540,1406,1126
American Blonde Ale,188,1407,1127
American IPA,188,1408,1128
American Amber / Red Ale,260,1409,1129
Witbier,507,1410,1130
American IPA,507,1411,1131
Light Lager,507,1412,1132
Witbier,507,1413,1130
Hefeweizen,507,1414,1133
American Amber / Red Lager,366,1415,1134
American Pale Lager,366,1416,1135
American Pale Lager,366,1417,1135
American Blonde Ale,366,1418,1136
American Pale Wheat Ale,366,1419,1137
Light Lager,143,1420,1138
American Pilsner,143,1421,1139
Milk / Sweet Stout,143,1422,1140
German Pilsener,143,1423,1141
American Pale Wheat Ale,143,1424,1142
Cream Ale,143,1425,1143
American Pale Wheat Ale,143,1426,1142
American Porter,143,1427,1144
Bock,143,1428,1145
Märzen / Oktoberfest,143,1429,1146
American Blonde Ale,387,1430,1147
American Black Ale,387,1431,1148
American Double / Imperial IPA,387,1432,1149
American Double / Imperial IPA,387,1433,1149
American Black Ale,387,1434,1148
American Blonde Ale,387,1435,1147
Pumpkin Ale,337,1436,1150
American IPA,337,1437,1151
Hefeweizen,337,1438,1152
English Brown Ale,337,1439,1153
American Pale Ale (APA),337,1440,1154
American IPA,325,1441,1155
German Pilsener,325,1442,1156
American IPA,82,1443,1157
American IPA,82,1444,1157
American Pale Lager,82,1445,1158
Euro Dark Lager,82,1446,1159
Czech Pilsener,82,1447,1160
American Amber / Red Lager,82,1448,1161
American Pale Wheat Ale,82,1449,1162
American Pale Wheat Ale,82,1450,1162
American Amber / Red Ale,82,1451,1163
American Pale Lager,82,1452,1158
American Amber / Red Ale,82,1453,1163
American Pale Lager,82,1454,1158
American IPA,82,1455,1157
American Amber / Red Ale,82,1456,1163
American IPA,82,1457,1157
American Pale Wheat Ale,82,1458,1162
American Amber / Red Ale,82,1459,1163
Berliner Weissbier,410,1460,1164
American IPA,410,1461,1165
American Pilsner,410,1462,1166
American Amber / Red Ale,410,1463,1167
Belgian Pale Ale,410,1464,1168
American Double / Imperial IPA,410,1465,1169
Belgian Pale Ale,410,1466,1168
American Double / Imperial IPA,410,1467,1169
American Pilsner,410,1468,1166
American Amber / Red Ale,410,1469,1167
American IPA,410,1470,1165
American Pale Ale (APA),174,1471,1170
American Stout,174,1472,1171
American Double / Imperial IPA,174,1473,1172
American IPA,174,1474,1173
English Dark Mild Ale,174,1475,1174
American Blonde Ale,174,1476,1175
Dunkelweizen,241,1477,1176
American Blonde Ale,241,1478,1177
American Amber / Red Ale,241,1479,1178
English Brown Ale,518,1480,1179
Witbier,518,1481,1180
Cream Ale,238,1482,1181
American IPA,495,1483,1182
Witbier,495,1484,1183
American Pale Ale (APA),495,1485,1184
American Amber / Red Ale,305,1486,1185
American Pale Ale (APA),359,1487,1186
American IPA,359,1488,1187
English India Pale Ale (IPA),431,1489,1188
American Stout,431,1490,1189
Irish Red Ale,431,1491,1190
German Pilsener,431,1492,1191
American IPA,0,1493,1192
Milk / Sweet Stout,0,1494,1193
English Brown Ale,0,1495,1194
Pumpkin Ale,0,1496,1195
American Porter,0,1497,1196
Extra Special / Strong Bitter (ESB),0,1498,1197
American IPA,293,1499,1198
American IPA,450,1500,1199
American Pale Ale (APA),450,1501,1200
German Pilsener,529,1502,1201
American Pale Wheat Ale,529,1503,1202
American IPA,271,1504,1203
Czech Pilsener,271,1505,1204
Pumpkin Ale,442,1506,1205
American IPA,442,1507,1206
Fruit / Vegetable Beer,442,1508,1207
American IPA,150,1509,1208
American Amber / Red Ale,150,1510,1209
American Stout,150,1511,1210
American IPA,150,1512,1208
Baltic Porter,184,1513,1211
English Bitter,184,1514,1212
Keller Bier / Zwickel Bier,184,1515,1213
American Pale Ale (APA),184,1516,1214
American Pale Wheat Ale,200,1517,1215
Dunkelweizen,200,1518,1216
Altbier,200,1519,1217
Kölsch,200,1520,1218
Belgian Strong Dark Ale,148,1521,1219
Scotch Ale / Wee Heavy,148,1522,1220
American Porter,148,1523,1221
Hefeweizen,148,1524,1222
American Pale Ale (APA),148,1525,1223
American Pale Ale (APA),148,1526,1223
Hefeweizen,148,1527,1222
Scottish Ale,471,1528,1224
American Brown Ale,471,1529,1225
Saison / Farmhouse Ale,471,1530,1226
American Pale Ale (APA),471,1531,1227
American Stout,471,1532,1228
Rye Beer,471,1533,1229
American Pale Lager,301,1534,1230
American Brown Ale,301,1535,1231
American Stout,301,1536,1232
American Porter,301,1537,1233
Pumpkin Ale,301,1538,1234
American Pale Wheat Ale,301,1539,1235
American Blonde Ale,301,1540,1236
American IPA,301,1541,1237
American Pale Ale (APA),301,1542,1238
American Pale Wheat Ale,301,1543,1235
American Pale Lager,390,1544,1239
American Amber / Red Lager,390,1545,1240
American Pale Lager,390,1546,1239
Euro Dark Lager,390,1547,1241
Light Lager,390,1548,1242
Saison / Farmhouse Ale,216,1549,1243
Saison / Farmhouse Ale,216,1550,1243
American IPA,166,1551,1244
American Pale Ale (APA),166,1552,1245
Scotch Ale / Wee Heavy,166,1553,1246
,166,1554,1247
,166,1555,1247
American IPA,166,1556,1244
English Brown Ale,166,1557,1248
American IPA,166,1558,1244
American Pale Ale (APA),166,1559,1245
American Pale Ale (APA),166,1560,1245
Czech Pilsener,166,1561,1249
American IPA,166,1562,1244
American IPA,166,1563,1244
American Pale Ale (APA),166,1564,1245
American Brown Ale,166,1565,1250
American Pale Ale (APA),166,1566,1245
American Pale Ale (APA),166,1567,1245
American Double / Imperial IPA,166,1568,1251
American Pale Ale (APA),166,1569,1245
American Pale Ale (APA),166,1570,1245
American Double / Imperial IPA,166,1571,1251
Belgian Dark Ale,166,1572,1252
Belgian Strong Pale Ale,166,1573,1253
American Strong Ale,166,1574,1254
American Double / Imperial IPA,166,1575,1251
American Double / Imperial IPA,166,1576,1251
American Double / Imperial IPA,166,1577,1251
Russian Imperial Stout,166,1578,1255
Czech Pilsener,166,1579,1249
American Double / Imperial IPA,166,1580,1251
Scottish Ale,166,1581,1256
American Double / Imperial IPA,166,1582,1251
American Pale Ale (APA),166,1583,1245
American Double / Imperial IPA,503,1584,1257
Russian Imperial Stout,503,1585,1258
Russian Imperial Stout,503,1586,1258
Scottish Ale,503,1587,1259
Scottish Ale,503,1588,1259
Scottish Ale,503,1589,1259
American Pale Ale (APA),503,1590,1260
American Pale Ale (APA),503,1591,1260
American Pale Ale (APA),503,1592,1260
American Pale Ale (APA),503,1593,1260
American Pale Ale (APA),503,1594,1260
American Brown Ale,503,1595,1261
American Double / Imperial IPA,503,1596,1257
American Double / Imperial IPA,389,1597,1262
Russian Imperial Stout,389,1598,1263
American Double / Imperial IPA,389,1599,1262
Scottish Ale,389,1600,1264
American Pale Ale (APA),389,1601,1265
American Pale Ale (APA),389,1602,1265
American White IPA,275,1603,1266
American Pale Ale (APA),261,1604,1267
American Pale Ale (APA),259,1605,1268
American IPA,341,1606,1269
American Dark Wheat Ale,341,1607,1270
Irish Red Ale,441,1608,1271
American Pale Ale (APA),441,1609,1272
Kölsch,441,1610,1273
English Bitter,441,1611,1274
American Porter,441,1612,1275
American Pale Ale (APA),307,1613,1276
American IPA,307,1614,1277
American Pale Lager,307,1615,1278
American Pale Ale (APA),307,1616,1276
American Brown Ale,307,1617,1279
Kölsch,468,1618,1280
American Pilsner,266,1619,1281
American Pale Wheat Ale,266,1620,1282
Light Lager,187,1621,1283
American Pilsner,187,1622,1284
American IPA,205,1623,1285
American IPA,205,1624,1285
American Pale Wheat Ale,205,1625,1286
German Pilsener,205,1626,1287
American Brown Ale,13,1627,1288
American Blonde Ale,13,1628,1289
American Black Ale,13,1629,1290
American IPA,13,1630,1291
American Pale Ale (APA),13,1631,1292
American IPA,13,1632,1291
American Pale Lager,470,1633,1293
American Pale Wheat Ale,470,1634,1294
Czech Pilsener,470,1635,1295
American Pale Ale (APA),470,1636,1296
American Pale Wheat Ale,470,1637,1294
American Pale Wheat Ale,470,1638,1294
American Pale Wheat Ale,470,1639,1294
American Pale Lager,11,1640,1297
American Amber / Red Ale,11,1641,1298
Dubbel,11,1642,1299
American IPA,11,1643,1300
American IPA,157,1644,1301
American Pale Ale (APA),355,1645,1302
American Amber / Red Ale,355,1646,1303
American IPA,355,1647,1304
Milk / Sweet Stout,310,1648,1305
American Pale Ale (APA),310,1649,1306
Chile Beer,314,1650,1307
American Black Ale,314,1651,1308
Fruit / Vegetable Beer,314,1652,1309
American Blonde Ale,314,1653,1310
American Porter,314,1654,1311
American Dark Wheat Ale,314,1655,1312
American Amber / Red Ale,314,1656,1313
American IPA,314,1657,1314
American Amber / Red Ale,52,1658,1315
American IPA,324,1659,1316
American Pale Ale (APA),324,1660,1317
American IPA,370,1661,1318
American Amber / Red Ale,370,1662,1319
American IPA,370,1663,1318
American Pilsner,147,1664,1320
American Pale Ale (APA),55,1665,1321
American Barleywine,274,1666,1322
American IPA,548,1667,1323
American Amber / Red Ale,548,1668,1324
American Pale Wheat Ale,135,1669,1325
Munich Helles Lager,135,1670,1326
Munich Dunkel Lager,135,1671,1327
Czech Pilsener,135,1672,1328
American Pale Ale (APA),135,1673,1329
Czech Pilsener,135,1674,1328
American Pale Wheat Ale,135,1675,1325
Hefeweizen,544,1676,1330
Hefeweizen,544,1677,1330
Belgian Pale Ale,246,1678,1331
American Porter,246,1679,1332
Munich Helles Lager,176,1680,1333
American Pale Ale (APA),176,1681,1334
Gose,128,1682,1335
Witbier,128,1683,1336
American Black Ale,128,1684,1337
American Blonde Ale,128,1685,1338
English Pale Ale,128,1686,1339
German Pilsener,128,1687,1340
American Blonde Ale,128,1688,1338
American Blonde Ale,128,1689,1338
American Brown Ale,475,1690,1341
American IPA,475,1691,1342
Czech Pilsener,475,1692,1343
American Blonde Ale,68,1693,1344
American IPA,68,1694,1345
Belgian IPA,68,1695,1346
American Porter,68,1696,1347
Rye Beer,68,1697,1348
Cider,403,1698,1349
American IPA,487,1699,1350
American IPA,487,1700,1350
American Amber / Red Ale,487,1701,1351
Mead,421,1702,1352
Mead,421,1703,1352
Mead,421,1704,1352
Witbier,225,1705,1353
American Pale Ale (APA),110,1706,1354
Russian Imperial Stout,110,1707,1355
American IPA,110,1708,1356
American Double / Imperial IPA,110,1709,1357
American Blonde Ale,110,1710,1358
American IPA,110,1711,1356
American Stout,386,1712,1359
American Stout,386,1713,1359
American Porter,386,1714,1360
American Blonde Ale,386,1715,1361
Vienna Lager,386,1716,1362
American Pale Ale (APA),386,1717,1363
American Amber / Red Ale,386,1718,1364
American Blonde Ale,386,1719,1361
American Pale Ale (APA),44,1720,1365
Belgian Pale Ale,44,1721,1366
Herbed / Spiced Beer,44,1722,1367
Herbed / Spiced Beer,44,1723,1367
Märzen / Oktoberfest,44,1724,1368
American Porter,44,1725,1369
American IPA,44,1726,1370
Witbier,44,1727,1371
American Amber / Red Ale,93,1728,1372
American Pale Ale (APA),93,1729,1373
American Amber / Red Ale,93,1730,1372
American Porter,93,1731,1374
Märzen / Oktoberfest,93,1732,1375
American Pale Ale (APA),93,1733,1373
American IPA,93,1734,1376
American Blonde Ale,93,1735,1377
Cream Ale,162,1736,1378
Gose,42,1737,1379
American Pale Ale (APA),42,1738,1380
Witbier,459,1739,1381
American Amber / Red Ale,459,1740,1382
American IPA,321,1741,1383
American Pale Ale (APA),321,1742,1384
American IPA,43,1743,1385
Märzen / Oktoberfest,43,1744,1386
Pumpkin Ale,43,1745,1387
American IPA,43,1746,1385
Oatmeal Stout,43,1747,1388
American White IPA,43,1748,1389
American Pale Ale (APA),43,1749,1390
American Amber / Red Ale,43,1750,1391
American Amber / Red Ale,43,1751,1391
American Blonde Ale,43,1752,1392
Scottish Ale,43,1753,1393
Witbier,43,1754,1394
American Amber / Red Lager,43,1755,1395
American IPA,43,1756,1385
Fruit / Vegetable Beer,43,1757,1396
American Amber / Red Lager,427,1758,1397
Czech Pilsener,229,1759,1398
American Porter,229,1760,1399
American Adjunct Lager,229,1761,1400
American Amber / Red Ale,229,1762,1401
Milk / Sweet Stout,229,1763,1402
American IPA,229,1764,1403
American Adjunct Lager,229,1765,1400
American Amber / Red Ale,289,1766,1404
American Strong Ale,376,1767,1405
American IPA,376,1768,1406
American Stout,376,1769,1407
Saison / Farmhouse Ale,164,1770,1408
Belgian Strong Pale Ale,164,1771,1409
American Pale Ale (APA),164,1772,1410
English Brown Ale,164,1773,1411
American Black Ale,164,1774,1412
American IPA,164,1775,1413
Kölsch,164,1776,1414
American Amber / Red Ale,397,1777,1415
American Black Ale,397,1778,1416
American Amber / Red Lager,397,1779,1417
American Black Ale,397,1780,1416
American Amber / Red Ale,397,1781,1415
Witbier,288,1782,1418
American IPA,288,1783,1419
American Pale Ale (APA),288,1784,1420
Kölsch,288,1785,1421
American Porter,30,1786,1422
Winter Warmer,30,1787,1423
American Double / Imperial IPA,30,1788,1424
Märzen / Oktoberfest,30,1789,1425
American Blonde Ale,30,1790,1426
American Pale Wheat Ale,30,1791,1427
Belgian IPA,30,1792,1428
American Amber / Red Ale,30,1793,1429
Hefeweizen,30,1794,1430
American IPA,30,1795,1431
American Porter,30,1796,1422
American Pale Ale (APA),30,1797,1432
Herbed / Spiced Beer,30,1798,1433
Fruit / Vegetable Beer,30,1799,1434
American Pale Ale (APA),30,1800,1432
American IPA,30,1801,1431
Hefeweizen,30,1802,1430
American Pale Ale (APA),30,1803,1432
American Amber / Red Ale,30,1804,1429
Saison / Farmhouse Ale,419,1805,1435
American Black Ale,419,1806,1436
American Double / Imperial IPA,252,1807,1437
American Brown Ale,252,1808,1438
