Duration,original_index,unique_index
118 min,1668,51
134 min,1669,97
109 min,1670,0
98 min,1671,65
99 min,1672,62
,1673,7
,1674,7
98 min,1675,65
91 min,1676,19
93 min,1677,3
,1678,7
96 min,1679,1
101 min,1680,42
114 min,1681,41
79 min,1682,32
78 min,1683,70
72 min,1684,57
101 min,1685,42
86 min,1686,30
104 min,1687,18
111 min,1688,44
121 min,1689,16
75 min,1690,83
98 min,1691,65
115 min,1692,11
83 min,1693,85
111 min,1694,44
90 min,1695,34
115 min,1696,11
91 min,1697,19
153 min,1698,84
95 min,1699,6
102 min,1700,26
120 min,1701,2
93 min,1702,3
98 min,1703,65
91 min,1704,19
100 min,1705,8
88 min,1706,31
112 min,1707,53
,1708,7
,1709,7
,1710,7
96 min,1711,1
113 min,1712,23
90 min,1713,34
,1714,7
,1715,7
,1716,7
,1717,7
93 min,1718,3
,1719,7
101 min,1720,42
117 min,1721,14
117 min,1722,14
124 min,1723,13
105 min,1724,9
1 hr. 57 min.,1725,142
116 min,1726,52
102 min,1727,26
111 min,1728,44
104 min,1729,18
,1730,7
,1731,7
97 min,1732,37
,1733,7
92 min,1734,5
129 min,1735,63
,1736,7
95 min,1737,6
90 min,1738,34
95 min,1739,6
108 min,1740,50
95 min,1741,6
,1742,7
128 min,1743,100
124 min,1744,13
,1745,7
112 min,1746,53
120 min,1747,2
,1748,7
,1749,7
114 min,1750,41
106 min,1751,17
129 min,1752,63
119 min,1753,88
97 min,1754,37
90 min,1755,34
116 min,1756,52
100 min,1757,8
,1758,7
137 min,1759,68
97 min,1760,37
95 min,1761,6
115 min,1762,11
119 min,1763,88
,1764,7
91 min,1765,19
97 min,1766,37
96 min,1767,1
89 min,1768,56
104 min,1769,18
109 min,1770,0
97 min,1771,37
99 min,1772,62
119 min,1773,88
103 min,1774,36
139 min,1775,91
113 min,1776,23
95 min,1777,6
117 min,1778,14
175 min,1779,124
169 min,1780,103
195 min,1781,152
82 min,1782,66
148 min,1783,149
120 min,1784,2
146 min,1785,24
116 min,1786,52
180 min,1787,117
163 min,1788,153
165 min,1789,67
152 min,1790,29
111 min,1791,44
121 min,1792,16
142 min,1793,69
137 min,1794,68
92 min,1795,5
135 min,1796,77
124 min,1797,13
129 min,1798,63
129 min,1799,63
110 min,1800,10
126 min,1801,54
128 min,1802,100
131 min,1803,102
129 min,1804,63
151 min,1805,25
99 min,1806,62
109 min,1807,0
113 min,1808,23
1 hr. 56 min.,1809,154
132 min,1810,101
122 min,1811,20
113 min,1812,23
172 min,1813,133
161 min,1814,119
113 min,1815,23
122 min,1816,20
92 min,1817,5
78 min,1818,70
86 min,1819,30
101 min,1820,42
104 min,1821,18
108 min,1822,50
101 min,1823,42
110 min,1824,10
110 min,1825,10
127 min,1826,12
120 min,1827,2
76 min,1828,61
75 min,1829,83
97 min,1830,37
107 min,1831,71
114 min,1832,41
88 min,1833,31
145 min,1834,121
119 min,1835,88
115 min,1836,11
105 min,1837,9
82 min,1838,66
91 min,1839,19
80 min,1840,48
60 min,1841,82
77 min,1842,111
99 min,1843,62
82 min,1844,66
106 min,1845,17
104 min,1846,18
99 min,1847,62
88 min,1848,31
110 min,1849,10
87 min,1850,38
145 min,1851,121
116 min,1852,52
117 min,1853,14
101 min,1854,42
102 min,1855,26
109 min,1856,0
94 min,1857,33
90 min,1858,34
70 min,1859,125
76 min,1860,61
94 min,1861,33
85 min,1862,35
97 min,1863,37
120 min,1864,2
110 min,1865,10
100 min,1866,8
117 min,1867,14
126 min,1868,54
101 min,1869,42
78 min,1870,70
104 min,1871,18
81 min,1872,76
95 min,1873,6
85 min,1874,35
110 min,1875,10
106 min,1876,17
97 min,1877,37
103 min,1878,36
94 min,1879,33
103 min,1880,36
91 min,1881,19
90 min,1882,34
114 min,1883,41
99 min,1884,62
116 min,1885,52
120 min,1886,2
107 min,1887,71
135 min,1888,77
122 min,1889,20
99 min,1890,62
109 min,1891,0
140 min,1892,74
149 min,1893,120
89 min,1894,56
116 min,1895,52
130 min,1896,104
124 min,1897,13
129 min,1898,63
115 min,1899,11
92 min,1900,5
124 min,1901,13
128 min,1902,100
125 min,1903,15
187 min,1904,155
116 min,1905,52
75 min,1906,83
74 min,1907,60
64 min,1908,45
70 min,1909,125
78 min,1910,70
76 min,1911,61
134 min,1912,97
1 hr. 30 min.,1913,156
81 min,1914,76
71 min,1915,58
72 min,1916,57
75 min,1917,83
67 min,1918,107
98 min,1919,65
117 min,1920,14
82 min,1921,66
117 min,1922,14
92 min,1923,5
92 min,1924,5
1 hr. 36 min.,1925,157
102 min,1926,26
102 min,1927,26
102 min,1928,26
87 min,1929,38
96 min,1930,1
80 min,1931,48
71 min,1932,58
83 min,1933,85
67 min,1934,107
67 min,1935,107
60 min,1936,82
94 min,1937,33
86 min,1938,30
78 min,1939,70
82 min,1940,66
104 min,1941,18
60 min,1942,82
93 min,1943,3
113 min,1944,23
84 min,1945,39
115 min,1946,11
102 min,1947,26
3 hr. 3 min.,1948,158
75 min,1949,83
238 min,1950,159
108 min,1951,50
102 min,1952,26
96 min,1953,1
124 min,1954,13
116 min,1955,52
130 min,1956,104
93 min,1957,3
114 min,1958,41
88 min,1959,31
167 min,1960,93
79 min,1961,32
97 min,1962,37
87 min,1963,38
117 min,1964,14
115 min,1965,11
124 min,1966,13
136 min,1967,55
120 min,1968,2
126 min,1969,54
124 min,1970,13
105 min,1971,9
129 min,1972,63
117 min,1973,14
95 min,1974,6
83 min,1975,85
82 min,1976,66
110 min,1977,10
200 min,1978,160
88 min,1979,31
123 min,1980,90
101 min,1981,42
92 min,1982,5
104 min,1983,18
112 min,1984,53
134 min,1985,97
101 min,1986,42
186 min,1987,161
96 min,1988,1
135 min,1989,77
125 min,1990,15
106 min,1991,17
140 min,1992,74
125 min,1993,15
105 min,1994,9
1 hr. 56 min.,1995,154
67 min,1996,107
140 min,1997,74
96 min,1998,1
100 min,1999,8
90 min,2000,34
94 min,2001,33
114 min,2002,41
97 min,2003,37
110 min,2004,10
2 hr. 2 min.,2005,162
118 min,2006,51
132 min,2007,101
90 min,2008,34
105 min,2009,9
129 min,2010,63
95 min,2011,6
110 min,2012,10
94 min,2013,33
110 min,2014,10
104 min,2015,18
100 min,2016,8
85 min,2017,35
106 min,2018,17
100 min,2019,8
100 min,2020,8
105 min,2021,9
100 min,2022,8
127 min,2023,12
115 min,2024,11
110 min,2025,10
118 min,2026,51
130 min,2027,104
103 min,2028,36
108 min,2029,50
123 min,2030,90
113 min,2031,23
105 min,2032,9
138 min,2033,114
96 min,2034,1
95 min,2035,6
134 min,2036,97
130 min,2037,104
125 min,2038,15
147 min,2039,113
97 min,2040,37
88 min,2041,31
87 min,2042,38
108 min,2043,50
177 min,2044,163
126 min,2045,54
112 min,2046,53
82 min,2047,66
116 min,2048,52
126 min,2049,54
101 min,2050,42
136 min,2051,55
91 min,2052,19
108 min,2053,50
131 min,2054,102
121 min,2055,16
98 min,2056,65
116 min,2057,52
1 hr. 31 min.,2058,164
127 min,2059,12
131 min,2060,102
119 min,2061,88
103 min,2062,36
,2063,7
112 min,2064,53
92 min,2065,5
115 min,2066,11
121 min,2067,16
116 min,2068,52
121 min,2069,16
97 min,2070,37
,2071,7
118 min,2072,51
102 min,2073,26
121 min,2074,16
94 min,2075,33
99 min,2076,62
91 min,2077,19
107 min,2078,71
94 min,2079,33
95 min,2080,6
271 min,2081,165
138 min,2082,114
121 min,2083,16
,2084,7
101 min,2085,42
99 min,2086,62
95 min,2087,6
109 min,2088,0
89 min,2089,56
132 min,2090,101
95 min,2091,6
117 min,2092,14
134 min,2093,97
136 min,2094,55
144 min,2095,49
87 min,2096,38
123 min,2097,90
134 min,2098,97
166 min,2099,166
141 min,2100,145
120 min,2101,2
123 min,2102,90
112 min,2103,53
107 min,2104,71
,2105,7
,2106,7
103 min,2107,36
,2108,7
93 min,2109,3
131 min,2110,102
77 min,2111,111
128 min,2112,100
141 min,2113,145
96 min,2114,1
108 min,2115,50
114 min,2116,41
105 min,2117,9
111 min,2118,44
110 min,2119,10
101 min,2120,42
102 min,2121,26
126 min,2122,54
118 min,2123,51
147 min,2124,113
110 min,2125,10
85 min,2126,35
121 min,2127,16
126 min,2128,54
111 min,2129,44
129 min,2130,63
96 min,2131,1
115 min,2132,11
183 min,2133,167
,2134,7
112 min,2135,53
117 min,2136,14
92 min,2137,5
122 min,2138,20
120 min,2139,2
149 min,2140,120
96 min,2141,1
136 min,2142,55
,2143,7
111 min,2144,44
88 min,2145,31
105 min,2146,9
92 min,2147,5
96 min,2148,1
116 min,2149,52
113 min,2150,23
140 min,2151,74
118 min,2152,51
105 min,2153,9
99 min,2154,62
122 min,2155,20
113 min,2156,23
92 min,2157,5
128 min,2158,100
88 min,2159,31
125 min,2160,15
116 min,2161,52
122 min,2162,20
129 min,2163,63
90 min,2164,34
138 min,2165,114
114 min,2166,41
141 min,2167,145
103 min,2168,36
100 min,2169,8
106 min,2170,17
79 min,2171,32
125 min,2172,15
106 min,2173,17
105 min,2174,9
121 min,2175,16
125 min,2176,15
154 min,2177,22
92 min,2178,5
127 min,2179,12
126 min,2180,54
108 min,2181,50
,2182,7
91 min,2183,19
133 min,2184,80
111 min,2185,44
114 min,2186,41
96 min,2187,1
116 min,2188,52
127 min,2189,12
132 min,2190,101
109 min,2191,0
138 min,2192,114
85 min,2193,35
112 min,2194,53
105 min,2195,9
138 min,2196,114
83 min,2197,85
106 min,2198,17
102 min,2199,26
97 min,2200,37
162 min,2201,126
157 min,2202,79
80 min,2203,48
78 min,2204,70
138 min,2205,114
114 min,2206,41
112 min,2207,53
132 min,2208,101
118 min,2209,51
106 min,2210,17
123 min,2211,90
117 min,2212,14
126 min,2213,54
124 min,2214,13
150 min,2215,129
96 min,2216,1
113 min,2217,23
231 min,2218,168
112 min,2219,53
139 min,2220,91
133 min,2221,80
167 min,2222,93
106 min,2223,17
116 min,2224,52
106 min,2225,17
125 min,2226,15
117 min,2227,14
113 min,2228,23
107 min,2229,71
131 min,2230,102
115 min,2231,11
118 min,2232,51
105 min,2233,9
123 min,2234,90
99 min,2235,62
117 min,2236,14
1 hr. 48 min.,2237,169
114 min,2238,41
107 min,2239,71
1 hr. 42 min.,2240,170
115 min,2241,11
134 min,2242,97
124 min,2243,13
,2244,7
122 min,2245,20
135 min,2246,77
120 min,2247,2
78 min,2248,70
104 min,2249,18
122 min,2250,20
99 min,2251,62
94 min,2252,33
125 min,2253,15
122 min,2254,20
,2255,7
114 min,2256,41
134 min,2257,97
89 min,2258,56
119 min,2259,88
138 min,2260,114
133 min,2261,80
107 min,2262,71
99 min,2263,62
126 min,2264,54
104 min,2265,18
154 min,2266,22
139 min,2267,91
90 min,2268,34
98 min,2269,65
105 min,2270,9
110 min,2271,10
107 min,2272,71
103 min,2273,36
124 min,2274,13
101 min,2275,42
70 min,2276,125
,2277,7
83 min,2278,85
98 min,2279,65
92 min,2280,5
180 min,2281,117
80 min,2282,48
90 min,2283,34
92 min,2284,5
101 min,2285,42
73 min,2286,46
85 min,2287,35
106 min,2288,17
86 min,2289,30
112 min,2290,53
125 min,2291,15
103 min,2292,36
140 min,2293,74
113 min,2294,23
134 min,2295,97
135 min,2296,77
191 min,2297,171
177 min,2298,163
122 min,2299,20
126 min,2300,54
1 hr. 38 min.,2301,172
87 min,2302,38
103 min,2303,36
132 min,2304,101
101 min,2305,42
110 min,2306,10
103 min,2307,36
93 min,2308,3
104 min,2309,18
1 hr. 46 min.,2310,173
105 min,2311,9
134 min,2312,97
98 min,2313,65
3 hr. 12 min.,2314,174
105 min,2315,9
108 min,2316,50
154 min,2317,22
102 min,2318,26
162 min,2319,126
112 min,2320,53
125 min,2321,15
138 min,2322,114
114 min,2323,41
104 min,2324,18
139 min,2325,91
120 min,2326,2
139 min,2327,91
2 hr. 18 min.,2328,175
135 min,2329,77
110 min,2330,10
103 min,2331,36
131 min,2332,102
127 min,2333,12
112 min,2334,53
117 min,2335,14
141 min,2336,145
124 min,2337,13
122 min,2338,20
128 min,2339,100
117 min,2340,14
120 min,2341,2
90 min,2342,34
88 min,2343,31
90 min,2344,34
111 min,2345,44
134 min,2346,97
99 min,2347,62
125 min,2348,15
102 min,2349,26
105 min,2350,9
81 min,2351,76
112 min,2352,53
106 min,2353,17
116 min,2354,52
112 min,2355,53
97 min,2356,37
136 min,2357,55
107 min,2358,71
102 min,2359,26
140 min,2360,74
117 min,2361,14
113 min,2362,23
130 min,2363,104
84 min,2364,39
114 min,2365,41
110 min,2366,10
133 min,2367,80
146 min,2368,24
109 min,2369,0
116 min,2370,52
120 min,2371,2
108 min,2372,50
112 min,2373,53
104 min,2374,18
86 min,2375,30
98 min,2376,65
109 min,2377,0
138 min,2378,114
120 min,2379,2
118 min,2380,51
102 min,2381,26
110 min,2382,10
111 min,2383,44
68 min,2384,47
124 min,2385,13
1 hr. 47 min.,2386,176
126 min,2387,54
112 min,2388,53
1 hr. 50 min.,2389,87
147 min,2390,113
129 min,2391,63
175 min,2392,124
99 min,2393,62
130 min,2394,104
121 min,2395,16
94 min,2396,33
122 min,2397,20
113 min,2398,23
158 min,2399,96
113 min,2400,23
122 min,2401,20
101 min,2402,42
129 min,2403,63
110 min,2404,10
122 min,2405,20
121 min,2406,16
99 min,2407,62
95 min,2408,6
102 min,2409,26
99 min,2410,62
118 min,2411,51
104 min,2412,18
119 min,2413,88
107 min,2414,71
119 min,2415,88
91 min,2416,19
108 min,2417,50
,2418,7
92 min,2419,5
101 min,2420,42
87 min,2421,38
82 min,2422,66
92 min,2423,5
106 min,2424,17
93 min,2425,3
90 min,2426,34
106 min,2427,17
107 min,2428,71
117 min,2429,14
115 min,2430,11
99 min,2431,62
96 min,2432,1
113 min,2433,23
102 min,2434,26
97 min,2435,37
112 min,2436,53
109 min,2437,0
98 min,2438,65
119 min,2439,88
108 min,2440,50
115 min,2441,11
105 min,2442,9
100 min,2443,8
2 hr. 8 min.,2444,177
88 min,2445,31
84 min,2446,39
83 min,2447,85
67 min,2448,107
101 min,2449,42
108 min,2450,50
85 min,2451,35
2 hr. 8 min.,2452,177
90 min,2453,34
179 min,2454,137
76 min,2455,61
128 min,2456,100
111 min,2457,44
107 min,2458,71
120 min,2459,2
96 min,2460,1
91 min,2461,19
121 min,2462,16
130 min,2463,104
152 min,2464,29
98 min,2465,65
130 min,2466,104
128 min,2467,100
134 min,2468,97
96 min,2469,1
126 min,2470,54
128 min,2471,100
128 min,2472,100
113 min,2473,23
111 min,2474,44
132 min,2475,101
127 min,2476,12
108 min,2477,50
115 min,2478,11
76 min,2479,61
123 min,2480,90
116 min,2481,52
83 min,2482,85
91 min,2483,19
104 min,2484,18
90 min,2485,34
119 min,2486,88
90 min,2487,34
101 min,2488,42
91 min,2489,19
91 min,2490,19
104 min,2491,18
103 min,2492,36
74 min,2493,60
72 min,2494,57
74 min,2495,60
71 min,2496,58
1 hr. 56 min.,2497,154
75 min,2498,83
112 min,2499,53
74 min,2500,60
96 min,2501,1
79 min,2502,32
95 min,2503,6
102 min,2504,26
108 min,2505,50
105 min,2506,9
100 min,2507,8
88 min,2508,31
89 min,2509,56
84 min,2510,39
87 min,2511,38
114 min,2512,41
100 min,2513,8
115 min,2514,11
1 hr. 33 min.,2515,146
,2516,7
101 min,2517,42
113 min,2518,23
97 min,2519,37
130 min,2520,104
88 min,2521,31
105 min,2522,9
94 min,2523,33
92 min,2524,5
91 min,2525,19
1 hr. 41 min.,2526,72
96 min,2527,1
90 min,2528,34
,2529,7
83 min,2530,85
92 min,2531,5
81 min,2532,76
101 min,2533,42
98 min,2534,65
100 min,2535,8
,2536,7
90 min,2537,34
101 min,2538,42
98 min,2539,65
90 min,2540,34
92 min,2541,5
94 min,2542,33
99 min,2543,62
100 min,2544,8
96 min,2545,1
115 min,2546,11
97 min,2547,37
106 min,2548,17
94 min,2549,33
101 min,2550,42
,2551,7
101 min,2552,42
,2553,7
95 min,2554,6
75 min,2555,83
99 min,2556,62
,2557,7
144 min,2558,49
99 min,2559,62
90 min,2560,34
107 min,2561,71
94 min,2562,33
114 min,2563,41
94 min,2564,33
87 min,2565,38
95 min,2566,6
87 min,2567,38
108 min,2568,50
103 min,2569,36
150 min,2570,129
70 min,2571,125
76 min,2572,61
94 min,2573,33
78 min,2574,70
77 min,2575,111
103 min,2576,36
99 min,2577,62
85 min,2578,35
109 min,2579,0
90 min,2580,34
127 min,2581,12
96 min,2582,1
102 min,2583,26
91 min,2584,19
91 min,2585,19
101 min,2586,42
101 min,2587,42
86 min,2588,30
127 min,2589,12
113 min,2590,23
131 min,2591,102
97 min,2592,37
125 min,2593,15
110 min,2594,10
90 min,2595,34
109 min,2596,0
95 min,2597,6
80 min,2598,48
96 min,2599,1
90 min,2600,34
92 min,2601,5
84 min,2602,39
100 min,2603,8
83 min,2604,85
99 min,2605,62
104 min,2606,18
130 min,2607,104
101 min,2608,42
94 min,2609,33
99 min,2610,62
106 min,2611,17
111 min,2612,44
100 min,2613,8
105 min,2614,9
1 hr. 32 min.,2615,144
96 min,2616,1
97 min,2617,37
99 min,2618,62
90 min,2619,34
122 min,2620,20
87 min,2621,38
100 min,2622,8
112 min,2623,53
91 min,2624,19
110 min,2625,10
82 min,2626,66
103 min,2627,36
90 min,2628,34
114 min,2629,41
90 min,2630,34
95 min,2631,6
88 min,2632,31
84 min,2633,39
84 min,2634,39
96 min,2635,1
93 min,2636,3
101 min,2637,42
91 min,2638,19
81 min,2639,76
82 min,2640,66
95 min,2641,6
91 min,2642,19
128 min,2643,100
133 min,2644,80
130 min,2645,104
88 min,2646,31
116 min,2647,52
129 min,2648,63
119 min,2649,88
103 min,2650,36
120 min,2651,2
150 min,2652,129
99 min,2653,62
96 min,2654,1
102 min,2655,26
100 min,2656,8
111 min,2657,44
95 min,2658,6
117 min,2659,14
99 min,2660,62
121 min,2661,16
,2662,7
107 min,2663,71
104 min,2664,18
108 min,2665,50
83 min,2666,85
84 min,2667,39
86 min,2668,30
88 min,2669,31
116 min,2670,52
83 min,2671,85
96 min,2672,1
113 min,2673,23
93 min,2674,3
120 min,2675,2
103 min,2676,36
97 min,2677,37
93 min,2678,3
96 min,2679,1
90 min,2680,34
104 min,2681,18
101 min,2682,42
87 min,2683,38
88 min,2684,31
86 min,2685,30
93 min,2686,3
76 min,2687,61
85 min,2688,35
94 min,2689,33
100 min,2690,8
86 min,2691,30
87 min,2692,38
92 min,2693,5
97 min,2694,37
88 min,2695,31
91 min,2696,19
104 min,2697,18
99 min,2698,62
63 min,2699,59
77 min,2700,111
,2701,7
140 min,2702,74
73 min,2703,46
95 min,2704,6
112 min,2705,53
113 min,2706,23
89 min,2707,56
99 min,2708,62
89 min,2709,56
93 min,2710,3
101 min,2711,42
94 min,2712,33
1 hr. 34 min.,2713,106
109 min,2714,0
111 min,2715,44
107 min,2716,71
88 min,2717,31
,2718,7
,2719,7
83 min,2720,85
93 min,2721,3
84 min,2722,39
98 min,2723,65
114 min,2724,41
89 min,2725,56
95 min,2726,6
92 min,2727,5
103 min,2728,36
,2729,7
91 min,2730,19
78 min,2731,70
88 min,2732,31
105 min,2733,9
96 min,2734,1
101 min,2735,42
132 min,2736,101
124 min,2737,13
,2738,7
105 min,2739,9
116 min,2740,52
126 min,2741,54
109 min,2742,0
118 min,2743,51
104 min,2744,18
111 min,2745,44
115 min,2746,11
107 min,2747,71
103 min,2748,36
94 min,2749,33
130 min,2750,104
121 min,2751,16
123 min,2752,90
94 min,2753,33
115 min,2754,11
104 min,2755,18
117 min,2756,14
83 min,2757,85
75 min,2758,83
120 min,2759,2
114 min,2760,41
97 min,2761,37
87 min,2762,38
99 min,2763,62
77 min,2764,111
81 min,2765,76
101 min,2766,42
1 hr. 10 min.,2767,178
115 min,2768,11
94 min,2769,33
,2770,7
62 min,2771,89
83 min,2772,85
95 min,2773,6
92 min,2774,5
80 min,2775,48
111 min,2776,44
75 min,2777,83
86 min,2778,30
119 min,2779,88
102 min,2780,26
99 min,2781,62
91 min,2782,19
178 min,2783,134
104 min,2784,18
81 min,2785,76
100 min,2786,8
89 min,2787,56
88 min,2788,31
86 min,2789,30
86 min,2790,30
103 min,2791,36
83 min,2792,85
110 min,2793,10
90 min,2794,34
99 min,2795,62
85 min,2796,35
113 min,2797,23
94 min,2798,33
89 min,2799,56
74 min,2800,60
80 min,2801,48
130 min,2802,104
93 min,2803,3
96 min,2804,1
95 min,2805,6
1 hr. 32 min.,2806,144
88 min,2807,31
,2808,7
94 min,2809,33
104 min,2810,18
85 min,2811,35
92 min,2812,5
88 min,2813,31
93 min,2814,3
107 min,2815,71
88 min,2816,31
117 min,2817,14
101 min,2818,42
99 min,2819,62
97 min,2820,37
95 min,2821,6
94 min,2822,33
117 min,2823,14
102 min,2824,26
101 min,2825,42
86 min,2826,30
101 min,2827,42
105 min,2828,9
99 min,2829,62
152 min,2830,29
114 min,2831,41
1 hr. 33 min.,2832,146
120 min,2833,2
99 min,2834,62
102 min,2835,26
93 min,2836,3
104 min,2837,18
108 min,2838,50
116 min,2839,52
90 min,2840,34
94 min,2841,33
133 min,2842,80
106 min,2843,17
98 min,2844,65
88 min,2845,31
97 min,2846,37
99 min,2847,62
95 min,2848,6
109 min,2849,0
87 min,2850,38
96 min,2851,1
1 hr. 45 min.,2852,43
107 min,2853,71
96 min,2854,1
94 min,2855,33
95 min,2856,6
97 min,2857,37
102 min,2858,26
97 min,2859,37
90 min,2860,34
99 min,2861,62
83 min,2862,85
75 min,2863,83
87 min,2864,38
75 min,2865,83
107 min,2866,71
75 min,2867,83
104 min,2868,18
93 min,2869,3
95 min,2870,6
110 min,2871,10
104 min,2872,18
93 min,2873,3
97 min,2874,37
128 min,2875,100
110 min,2876,10
116 min,2877,52
84 min,2878,39
85 min,2879,35
90 min,2880,34
109 min,2881,0
124 min,2882,13
94 min,2883,33
105 min,2884,9
97 min,2885,37
107 min,2886,71
1 hr. 30 min.,2887,156
92 min,2888,5
101 min,2889,42
101 min,2890,42
86 min,2891,30
81 min,2892,76
79 min,2893,32
84 min,2894,39
115 min,2895,11
92 min,2896,5
109 min,2897,0
98 min,2898,65
100 min,2899,8
102 min,2900,26
119 min,2901,88
127 min,2902,12
87 min,2903,38
1 hr. 21 min.,2904,179
84 min,2905,39
74 min,2906,60
92 min,2907,5
101 min,2908,42
81 min,2909,76
92 min,2910,5
100 min,2911,8
89 min,2912,56
113 min,2913,23
92 min,2914,5
92 min,2915,5
108 min,2916,50
86 min,2917,30
108 min,2918,50
103 min,2919,36
100 min,2920,8
104 min,2921,18
91 min,2922,19
105 min,2923,9
106 min,2924,17
111 min,2925,44
101 min,2926,42
117 min,2927,14
92 min,2928,5
85 min,2929,35
,2930,7
70 min,2931,125
87 min,2932,38
,2933,7
1 hr. 21 min.,2934,179
72 min,2935,57
86 min,2936,30
77 min,2937,111
81 min,2938,76
77 min,2939,111
90 min,2940,34
78 min,2941,70
70 min,2942,125
108 min,2943,50
129 min,2944,63
101 min,2945,42
94 min,2946,33
84 min,2947,39
91 min,2948,19
90 min,2949,34
87 min,2950,38
86 min,2951,30
117 min,2952,14
83 min,2953,85
88 min,2954,31
90 min,2955,34
78 min,2956,70
89 min,2957,56
,2958,7
,2959,7
97 min,2960,37
96 min,2961,1
80 min,2962,48
103 min,2963,36
106 min,2964,17
82 min,2965,66
88 min,2966,31
90 min,2967,34
102 min,2968,26
98 min,2969,65
92 min,2970,5
81 min,2971,76
90 min,2972,34
88 min,2973,31
100 min,2974,8
,2975,7
88 min,2976,31
90 min,2977,34
89 min,2978,56
91 min,2979,19
90 min,2980,34
80 min,2981,48
102 min,2982,26
89 min,2983,56
,2984,7
92 min,2985,5
84 min,2986,39
85 min,2987,35
95 min,2988,6
,2989,7
101 min,2990,42
,2991,7
80 min,2992,48
97 min,2993,37
70 min,2994,125
325 min,2995,180
94 min,2996,33
87 min,2997,38
,2998,7
,2999,7
80 min,3000,48
90 min,3001,34
90 min,3002,34
112 min,3003,53
103 min,3004,36
93 min,3005,3
87 min,3006,38
79 min,3007,32
,3008,7
82 min,3009,66
111 min,3010,44
92 min,3011,5
86 min,3012,30
81 min,3013,76
,3014,7
90 min,3015,34
91 min,3016,19
80 min,3017,48
99 min,3018,62
106 min,3019,17
91 min,3020,19
97 min,3021,37
84 min,3022,39
100 min,3023,8
99 min,3024,62
102 min,3025,26
122 min,3026,20
100 min,3027,8
95 min,3028,6
100 min,3029,8
107 min,3030,71
97 min,3031,37
92 min,3032,5
98 min,3033,65
98 min,3034,65
143 min,3035,4
107 min,3036,71
114 min,3037,41
102 min,3038,26
93 min,3039,3
108 min,3040,50
100 min,3041,8
82 min,3042,66
94 min,3043,33
132 min,3044,101
94 min,3045,33
80 min,3046,48
103 min,3047,36
110 min,3048,10
101 min,3049,42
88 min,3050,31
86 min,3051,30
,3052,7
98 min,3053,65
104 min,3054,18
89 min,3055,56
,3056,7
85 min,3057,35
,3058,7
,3059,7
,3060,7
,3061,7
93 min,3062,3
80 min,3063,48
48 min,3064,181
92 min,3065,5
93 min,3066,3
90 min,3067,34
96 min,3068,1
83 min,3069,85
81 min,3070,76
85 min,3071,35
81 min,3072,76
107 min,3073,71
75 min,3074,83
93 min,3075,3
100 min,3076,8
85 min,3077,35
91 min,3078,19
93 min,3079,3
91 min,3080,19
119 min,3081,88
91 min,3082,19
91 min,3083,19
95 min,3084,6
91 min,3085,19
51 min,3086,182
94 min,3087,33
85 min,3088,35
78 min,3089,70
72 min,3090,57
85 min,3091,35
95 min,3092,6
162 min,3093,126
100 min,3094,8
109 min,3095,0
114 min,3096,41
84 min,3097,39
98 min,3098,65
100 min,3099,8
85 min,3100,35
124 min,3101,13
65 min,3102,131
,3103,7
89 min,3104,56
105 min,3105,9
157 min,3106,79
100 min,3107,8
132 min,3108,101
96 min,3109,1
132 min,3110,101
115 min,3111,11
2 hr. 18 min.,3112,175
114 min,3113,41
151 min,3114,25
133 min,3115,80
189 min,3116,127
92 min,3117,5
93 min,3118,3
73 min,3119,46
71 min,3120,58
96 min,3121,1
95 min,3122,6
101 min,3123,42
101 min,3124,42
117 min,3125,14
133 min,3126,80
138 min,3127,114
109 min,3128,0
83 min,3129,85
121 min,3130,16
126 min,3131,54
87 min,3132,38
,3133,7
91 min,3134,19
89 min,3135,56
82 min,3136,66
119 min,3137,88
113 min,3138,23
,3139,7
88 min,3140,31
82 min,3141,66
,3142,7
88 min,3143,31
89 min,3144,56
88 min,3145,31
118 min,3146,51
84 min,3147,39
89 min,3148,56
83 min,3149,85
83 min,3150,85
105 min,3151,9
93 min,3152,3
107 min,3153,71
90 min,3154,34
114 min,3155,41
90 min,3156,34
101 min,3157,42
100 min,3158,8
89 min,3159,56
91 min,3160,19
92 min,3161,5
76 min,3162,61
99 min,3163,62
87 min,3164,38
74 min,3165,60
100 min,3166,8
80 min,3167,48
133 min,3168,80
95 min,3169,6
137 min,3170,68
110 min,3171,10
91 min,3172,19
102 min,3173,26
1 hr. 36 min.,3174,157
112 min,3175,53
100 min,3176,8
92 min,3177,5
89 min,3178,56
91 min,3179,19
94 min,3180,33
81 min,3181,76
181 min,3182,141
75 min,3183,83
94 min,3184,33
82 min,3185,66
101 min,3186,42
110 min,3187,10
87 min,3188,38
,3189,7
,3190,7
72 min,3191,57
103 min,3192,36
,3193,7
86 min,3194,30
93 min,3195,3
99 min,3196,62
90 min,3197,34
111 min,3198,44
92 min,3199,5
,3200,7
107 min,3201,71
102 min,3202,26
137 min,3203,68
107 min,3204,71
121 min,3205,16
60 min,3206,82
130 min,3207,104
104 min,3208,18
114 min,3209,41
98 min,3210,65
100 min,3211,8
97 min,3212,37
82 min,3213,66
102 min,3214,26
75 min,3215,83
96 min,3216,1
94 min,3217,33
96 min,3218,1
124 min,3219,13
108 min,3220,50
