MeasureCode,Score,original_index,unique_index,count
scip-inf-4,76%,926,339,2
scip-inf-6,100%,927,57,26
scip-vte-1,91%,928,413,1
scip-vte-2,84%,929,142,2
amix1,53%,930,414,1
ami-2,50%,931,80,2
ami-3,100%,932,42,15
ami-4,33%,933,415,1
ami-5,60%,934,416,1
ami-7a,empty,935,13,32
ami-8a,empty,936,14,25
hf-1,53%,937,417,1
hf-2,63%,938,418,1
hf-3,67%,939,419,1
hf-4,75%,940,420,1
pn-2,90%,941,67,2
pn-3b,50%,942,421,1
pn-4,80%,943,422,1
pn-5c,97%,944,137,8
pn-6,50%,945,423,1
pn-7,65%,946,424,1
scip-card-2,empty,947,0,7
scip-inf-1,empty,948,1,5
scip-inf-2,empty,949,2,5
scip-inf-3,empty,950,3,5
scip-inf-4,empty,951,4,23
scip-inf-6,empty,952,5,4
scip-vte-1,empty,953,6,5
scip-vte-2,empty,954,7,5
ami-1,100%,955,116,13
ami-2,100%,956,117,16
ami-3,empty,957,81,9
ami-4,empty,958,43,14
ami-5,100%,959,44,14
ami-7a,empty,960,13,32
ami-8a,empty,961,14,25
hf-1,96%,962,425,1
hf-2,99%,963,16,6
hf-3,100%,964,120,8
hf-4,100%,965,18,28
pn-2,100%,966,211,5
pn-3b,98%,967,223,2
pn-4,100%,968,69,19
pn-5c,99%,969,163,4
pn-6,99%,970,213,2
pn-7,100%,971,313,2
scip-card-2,100%,972,110,7
scip-inf-1,99%,973,73,5
scip-inf-2,100%,974,112,6
scip-inf-3,100%,975,113,4
scip-inf-4,empty,976,4,23
scip-inf-6,100%,977,57,26
scip-vte-1,100%,978,114,6
scip-vte-2,100%,979,115,6
ami-1,100%,980,116,13
ami-2,100%,981,117,16
ami-3,100%,982,42,15
ami-4,empty,983,43,14
ami-5,100%,984,44,14
ami-7a,empty,985,13,32
ami-8a,empty,986,14,25
hf-1,50%,987,426,1
hf-2,85%,988,427,1
hf-3,100%,989,120,8
hf-4,43%,990,428,1
pn-2,74%,991,333,2
pn-3b,83%,992,429,1
pn-4,83%,993,430,1
pn-5c,98%,994,256,4
pn-6,77%,995,431,1
pn-7,64%,996,432,1
scip-card-2,25%,997,433,1
scip-inf-1,64%,998,434,1
scip-inf-2,88%,999,358,2
