article_language,jounral_abbreviation,original_index,unique_index,count
eng,,945,5,
,,946,9,
,,947,9,
,,948,9,
,,949,9,
eng,PLoS ONE,950,433,1.0
,,951,9,
pt,,952,382,
eng,Int J Obes (Lond),953,265,2.0
eng,,954,5,
,,955,9,
,,956,9,
eng,Curr. Opin. Pediatr.,957,434,1.0
,Ann. Intern. Med.,958,435,
eng,Eur. J. Pediatr.,959,436,1.0
,,960,9,
eng,Phytother Res,961,437,1.0
,,962,9,
English,Curr.Opin.Infect.Dis.,963,438,1.0
,Brain Behav,964,439,
eng,J. Nucl. Med.,965,440,1.0
ger,Laryngorhinootologie,966,441,1.0
,J Health Care Poor Underserved,967,442,
eng,Acta Paediatr Scand Suppl,968,443,1.0
English,,969,8,
English,,970,8,
English,J Cell Biol,971,444,1.0
fre,,972,52,
eng,Planta,973,445,1.0
eng,Surg Infect (Larchmt),974,446,1.0
eng,Steroids,975,447,1.0
,,976,9,
eng,J. Antimicrob. Chemother.,977,448,1.0
eng,,978,5,
eng,Endocrinology,979,116,2.0
,,980,9,
eng,Clinical obstetrics and gynecology,981,449,1.0
eng,International journal of epidemiology,982,450,1.0
eng,The American journal of clinical nutrition,983,206,2.0
,Biol.Blood Marrow Transplant.,984,451,
,Br.J.Anaesth.,985,452,
eng,,986,5,
eng,Journal of human hypertension,987,453,1.0
,,988,9,
eng,Acta Radiol,989,454,1.0
,The American journal of clinical nutrition,990,455,
eng,Am. J. Respir. Crit. Care Med.,991,456,1.0
eng,Tumour Biol.,992,147,3.0
,,993,9,
eng,Burns,994,457,1.0
eng,The American review of respiratory disease,995,458,1.0
,,996,9,
ENG,Female Pelvic Med Reconstr Surg,997,459,1.0
English,,998,8,
,,999,9,
