Director,Creator,original_index,unique_index
Mark Dindal,"Mark Dindal,Mark Kennedy",1123,1084
"Jimmy Hayward,Steve Martino","Ken Daurio,Cinco Paul",1124,1085
John Alan Simon,"John Alan Simon,Philip K. Dick",1125,1086
Gary Fleder,"Philip K. Dick,Scott Rosenberg",1126,1087
George P. Cosmatos,"David Webb Peoples,David Webb Peoples",1127,1088
Peter Svatek,"Charles Adair,Dan O'Bannon",1128,1089
Alan Parker,"Billy Hayes,William Hoffer",1129,1090
John Jansen,"John Hargrove,John Jansen",1130,1091
"Clyde Geronimi,Hamilton Luske","Bill Peet,Dodie Smith",1131,1092
Gus Van Sant,"James Fogle,Gus Van Sant",1132,1093
"Tony Bancroft,Barry Cook","Robert D. San Souci,Rita Hsiao",1133,1094
"Ron Clements,John Musker","Ron Clements,John Musker",1134,1095
"Ron Clements,John Musker","Ron Clements,John Musker",1135,1095
Rob Bowman,"Gregg Chabot,Kevin Peterka",1136,1096
"Andy Wachowski,Lana Wachowski","Andy Wachowski,Lana Wachowski",1137,1097
George Lucas,George Lucas,1138,1098
John McTiernan,"Roderick Thorp,Jeb Stuart",1139,1099
Robert Zemeckis,"Robert Zemeckis,Bob Gale",1140,877
Robert Zemeckis,"Robert Zemeckis,Bob Gale",1141,877
James Whale,"H.G. Wells,R.C. Sherriff",1142,1100
George Waggner,Curt Siodmak,1143,1101
James Whale,"John L. Balderston,Mary Shelley",1144,1102
James Whale,"Mary Shelley,William Hurlbut",1145,1103
Roy William Neill,Curt Siodmak,1146,1104
Jack Arnold,"Harry Essex,Arthur A. Ross",1147,1105
Rowland V. Lee,"Mary Shelley,Wyllis Cooper",1148,1106
Karl Freund,"Nina Wilcox Putnam,Richard Schayer",1149,1107
Robert Aldrich,"Nunnally Johnson,Lukas Heller",1150,1108
"Ken Annakin,Andrew Marton","Cornelius Ryan,Cornelius Ryan",1151,1109
David Lean,"Pierre Boulle,Carl Foreman",1152,1110
Brian G. Hutton,"Alistair MacLean,Alistair MacLean",1153,1111
Brian G. Hutton,Troy Kennedy-Martin,1154,1112
Jack Smight,Donald S. Sanford,1155,1113
Richard Attenborough,"Cornelius Ryan,William Goldman",1156,1114
Ron Howard,"George Lucas,Bob Dolman",1157,1115
Richard Donner,"Edward Khmara,Michael Thomas",1158,1116
Ken Annakin,"Philip Yordan,Milton Sperling",1159,1117
Guy Hamilton,"Alistair MacLean,Robin Chapman",1160,1118
"Richard Fleischer,Kinji Fukasaku","Larry Forrester,Hideo Oguni",1161,1119
"Gary Trousdale,Kirk Wise","Tab Murphy,Irene Mecchi",1162,1120
"Gary Trousdale,Kirk Wise","Tab Murphy,Kirk Wise",1163,1121
"Ron Clements,John Musker","Robert Louis Stevenson,Ron Clements",1164,1122
Brian De Palma,Oliver Stone,1165,1123
Billy Wilder,"Charles Brackett,Billy Wilder",1166,1124
Billy Wilder,"Billy Wilder,Lesser Samuels",1167,1125
Fred Zinnemann,"Daniel Taradash,James Jones",1168,1126
Howard Hawks,"William Faulkner,Leigh Brackett",1169,1127
Billy Wilder,"Billy Wilder,Samuel A. Taylor",1170,1128
Billy Wilder,"Billy Wilder,I.A.L. Diamond",1171,304
William Wyler,"Robert E. Sherwood,MacKinlay Kantor",1172,1129
Billy Wilder,"Billy Wilder,I.A.L. Diamond",1173,304
Billy Wilder,"Charles Brackett,Billy Wilder",1174,1124
Billy Wilder,"Agatha Christie,Billy Wilder",1175,1130
Billy Wilder,"Billy Wilder,Raymond Chandler",1176,1131
Billy Wilder,"Charles R. Jackson,Charles Brackett",1177,1132
Stephen Norrington,"Alan Moore,Kevin O'Neill",1178,1133
"William Cottrell,David Hand","Jacob Grimm,Wilhelm Grimm",1179,1134
Marc Webb,"James Vanderbilt,Alvin Sargent",1180,1135
Joss Whedon,"Joss Whedon,Zak Penn",1181,1136
Martin Campbell,"Roberto Orci,Alex Kurtzman",1182,1137
Bryan Singer,"Tom DeSanto,Bryan Singer",1183,1138
James Gunn,"James Gunn,Nicole Perlman",1184,1139
Sam Raimi,"Stan Lee,Steve Ditko",1185,1140
Alan Taylor,"Christopher Yost,Christopher Markus",1186,1141
Kenneth Branagh,"Ashley Miller,Zack Stentz",1187,1142
Joe Johnston,"Christopher Markus,Stephen McFeely",1188,1143
Howard Hawks,"Charles Lederer,Ben Hecht",1189,1144
Bryan Singer,"Zak Penn,David Hayter",1190,1145
Louis Leterrier,"Zak Penn,Zak Penn",1191,1146
Neill Blomkamp,Neill Blomkamp,1192,1147
Rian Johnson,Rian Johnson,1193,1148
Marc Forster,"Matthew Michael Carnahan,Drew Goddard",1194,1149
Gareth Edwards,"Max Borenstein,Dave Callaham",1195,1150
Jordan Roberts,Jordan Roberts,1196,1151
Francis Lawrence,"Mark Protosevich,Akiva Goldsman",1197,1152
Joseph Kosinski,"Karl Gajdusek,Michael Arndt",1198,1153
Matt Reeves,"Mark Bomback,Rick Jaffa",1199,1154
Doug Liman,"Christopher McQuarrie,Jez Butterworth",1200,1155
Peter Jackson,"Fran Walsh,Philippa Boyens",1201,1156
Gore Verbinski,"Ted Elliott,Terry Rossio",1202,1157
Gary Ross,"Gary Ross,Suzanne Collins",1203,1158
Peter Jackson,"Fran Walsh,Philippa Boyens",1204,1156
Gore Verbinski,"Ted Elliott,Terry Rossio",1205,1157
Gore Verbinski,"Ted Elliott,Terry Rossio",1206,1157
James Cameron,James Cameron,1207,893
Francis Lawrence,"Simon Beaufoy,Michael Arndt",1208,1159
James Mangold,"Mark Bomback,Scott Frank",1209,1160
Sam Raimi,"Alvin Sargent,Ivan Raimi,Sam Raimi",1210,1161
Nelson Shin,Ron Friedman,1211,1162
Michael Bay,Ehren Kruger,1212,1163
Sam Raimi,"Stan Lee,Steve Ditko",1213,1140
Gavin Hood,"David Benioff,Skip Woods",1214,1164
Brett Ratner,"Simon Kinberg,Zak Penn",1215,1165
Howard Hawks,"Leigh Brackett,Harry Brown",1216,1166
Michael Bay,"Ehren Kruger,Roberto Orci",1217,1167
Michael Bay,Ehren Kruger,1218,1163
Steven Spielberg,"Josh Friedman,David Koepp",1219,1168
Barry Sonnenfeld,"Lowell Cunningham,Robert Gordon",1220,1169
Peter Berg,"Vincent Ngo,Vince Gilligan",1221,1170
Roland Emmerich,"Roland Emmerich,Harald Kloser",1222,1171
Michael Bay,"Jonathan Hensleigh,J.J. Abrams",1223,1172
Roland Emmerich,"Roland Emmerich,Roland Emmerich",1224,1173
Florian Henckel von Donnersmarck,"Florian Henckel von Donnersmarck,Christopher McQuarrie",1225,1174
Dominic Sena,"H.B. Halicki,Scott Rosenberg",1226,1175
Stephen Sommers,Stephen Sommers,1227,622
Doug Liman,Simon Kinberg,1228,1176
Simon West,"Sara B. Cooper,Mike Werb",1229,1177
Jon Turteltaub,"Marianne Wibberley,Cormac Wibberley",1230,1178
Phillip Noyce,Kurt Wimmer,1231,1179
Richard Donner,"Jerry Siegel,Joe Shuster",1232,1180
Roberts Gannaway,"Roberts Gannaway,Jeffrey M. Howard",1233,1181
Peter Jackson,"J.R.R. Tolkien,Fran Walsh",1234,1182
Peter Jackson,"J.R.R. Tolkien,Fran Walsh",1235,1182
Peter Jackson,"J.R.R. Tolkien,Fran Walsh",1236,1182
George Lucas,George Lucas,1237,1098
George Lucas,George Lucas,1238,1098
George Lucas,"George Lucas,George Lucas",1239,1183
Steven Spielberg,"Willard Huyck,Gloria Katz",1240,1184
John McTiernan,"Alan Trustman,Leslie Dixon",1241,1185
Guy Hamilton,"Richard Maibaum,Paul Dehn",1242,1186
Lawrence Kasdan,"Lawrence Kasdan,Mark Kasdan",1243,1187
John Glen,"George MacDonald Fraser,Richard Maibaum",1244,1188
Gregory Nava,"Gregory Nava,Anna Thomas",1245,1189
"George P. Cosmatos,Kevin Jarre",Kevin Jarre,1246,1190
Geoff Murphy,"John Fusco,John Fusco",1247,1191
Mark Rosman,Leigh Dunlap,1248,1192
Garry Marshall,"Meg Cabot,Gina Wendkos",1249,967
Mark Waters,"Mary Rodgers,Heather Hach",1250,1193
"Ron Clements,John Musker","Ron Clements,John Musker",1251,1095
Joseph Kosinski,"Edward Kitsis,Adam Horowitz",1252,1194
Mike Newell,"Steve Kloves,J.K. Rowling",1253,1195
Michael Apted,"Christopher Markus,Stephen McFeely",1254,1196
David Yates,"Steve Kloves,J.K. Rowling",1255,1197
David Yates,"Steve Kloves,J.K. Rowling",1256,1197
David Yates,"Michael Goldenberg,J.K. Rowling",1257,1198
Chris Columbus,"J.K. Rowling,Steve Kloves",1258,936
Michael Mann,Michael Mann,1259,1199
Martin Brest,"Giovanni Arpino,Bo Goldman",1260,1200
Norman Jewison,"Valerie Curtin,Barry Levinson",1261,1201
Mike Newell,"Joseph D. Pistone,Richard Woodley",1262,1202
Michael Mann,"Gregory Allen Howard,Stephen J. Rivele",1263,1203
Michael Mann,"James Fenimore Cooper,John L. Balderston",1264,1204
Andrew Davis,"Frederick Knott,Patrick Smith Kelly",1265,1205
Oliver Stone,"Allan Loeb,Stephen Schiff",1266,1206
Adrian Lyne,"James Dearden,James Dearden",1267,1207
Barry Levinson,"Michael Crichton,Paul Attanasio",1268,1208
Steven Soderbergh,"Simon Moore,Stephen Gaghan",1269,1209
Alfred Hitchcock,"Frederick Knott,Frederick Knott",1270,1210
Oliver Stone,"Stephen Singular,Eric Bogosian",1271,1211
Oliver Stone,"Stephen J. Rivele,Christopher Wilkinson",1272,1212
Joel Schumacher,Ebbe Roe Smith,1273,1213
Oliver Stone,"Ron Kovic,Oliver Stone",1274,1214
Joel Schumacher,Larry Cohen,1275,1215
Daniel Algrant,Jon Robin Baitz,1276,1216
Clark Johnson,"David Ayer,David McKenna,Ron Mita,Jim McClain",1277,1217
James Westby,James Westby,1278,851
Andrew Niccol,Andrew Niccol,1279,1218
Jon Avnet,Gary Scott Thompson,1280,1219
Oliver Stone,"Randall Jahnson,Oliver Stone",1281,1220
Christopher Cain,John Fusco,1282,1221
Oliver Stone,"Le Ly Hayslip,Jay Wurts",1283,1222
Oliver Stone,"Quentin Tarantino,David Veloz",1284,1223
Kevin Costner,"Michael Blake,Michael Blake",1285,1224
Roger Donaldson,"David Self,Ernest R. May",1286,1225
Andrew Davis,"Jeb Stuart,David Twohy",1287,1226
Brian De Palma,"Oscar Fraley,Eliot Ness",1288,1227
Sean Robinson,"Barrie Robinson,Sean Robinson",1289,1228
Paul Schrader,"Paul Schrader,Leonard Schrader",1290,1229
Oliver Stone,"Andrea Berloff,John McLoughlin",1291,1230
Dito Montiel,Dito Montiel,1292,1231
Fisher Stevens,Noah Haidle,1293,1232
Breck Eisner,"Clive Cussler,Thomas Dean Donnelly",1294,1233
McG,"Jamie Linden,Cory Helms",1295,1234
Brad Furman,"John Romano,Michael Connelly",1296,1235
James Gartner,"Christopher Cleveland,Bettina Gilois",1297,1236
Brian Helgeland,Brian Helgeland,1298,1237
Boaz Yakin,Gregory Allen Howard,1299,1238
Ericson Core,Brad Gann,1300,1239
John Lee Hancock,"John Lee Hancock,Michael Lewis",1301,1240
Phil Joanou,"Jeff Maguire,Jac Flanders",1302,1241
David Anspaugh,,1303,1242
Thomas Carter,"Mark Schwahn,John Gatins",1304,1243
Gavin O'Connor,Eric Guggenheim,1305,1244
Gary Fleder,"John Lee Hancock,Jeffrey Lieber,Scott Williams,Charles Leavitt",1306,1245
Harold Becker,Richard Price,1307,1246
Sydney Pollack,"Alvin Sargent,Erich Maria Remarque",1308,1247
James Foley,Joseph Stefano,1309,1248
David F. Wheeler,Heathcote Williams,1310,1249
Al Pacino,"Ira Lewis,Ira Lewis",1311,1250
Garry Marshall,Terrence McNally,1312,1251
Robert De Niro,"Chazz Palminteri,Chazz Palminteri",1313,1252
Sergio Leone,"Harry Grey,Leonardo Benvenuti",1314,1253
Martin Scorsese,"Nicholas Pileggi,Nicholas Pileggi",1315,1254
David Fincher,"John D. Brancato,Michael Ferris",1316,1255
Jan de Bont,Graham Yost,1317,1256
"Andy Wachowski,Lana Wachowski","Andy Wachowski,Lana Wachowski",1318,1097
"Andy Wachowski,Lana Wachowski","Andy Wachowski,Lana Wachowski",1319,1097
Francis Lawrence,"Jamie Delano,Garth Ennis",1320,1257
John Woo,"Mike Werb,Michael Colleary",1321,1258
Alfonso Arau,"Robert Mark Kamen,Mark Miller",1322,1259
Steven Baigelman,Steven Baigelman,1323,1260
Peter Segal,"Albert S. Ruddy,Tracy Keenan Wynn",1324,1261
Andrew Davis,"Arne Schmidt,Rick Seaman",1325,1262
Brian Robbins,"Daniel Coyle,John Gatins",1326,1263
David S. Ward,David S. Ward,1327,1264
"George Abbott,Stanley Donen","George Abbott,George Abbott",1328,1265
Robert Longo,"William Gibson,William Gibson",1329,1266
Joe Charbanic,"Darcy Meyers,David Elliot",1330,1267
Michael Radford,"William Shakespeare,Michael Radford",1331,1268
Frank Oz,"Daniel E. Taylor,Kario Salem",1332,1269
George Cukor,"Alan Jay Lerner,George Bernard Shaw",1333,1270
"Victor Fleming,George Cukor","Noel Langley,Florence Ryerson",1334,1271
Robert Stevenson,"Ralph Wright,Ted Berman",1335,1272
John Ford,"Philip Dunne,Richard Llewellyn",1336,1273
"Michael Anderson,John Farrow","James Poe,John Farrow",1337,1274
Cecil B. DeMille,"Fredric M. Frank,Barré Lyndon,Theodore St. John,Barré Lyndon,Theodore St. John",1338,1275
Robert Zemeckis,"Gary K. Wolf,Jeffrey Price",1339,1276
Michael Lehmann,"Karen Leigh Hopkins,Jessie Nelson",1340,1277
Chris Columbus,"Anne Fine,Randi Mayem Singer",1341,1278
"James Algar,Clyde Geronimi","Washington Irving,Kenneth Grahame",1342,1279
Wolfgang Reitherman,"Larry Clemmons,Vance Gerry",1343,1280
"Samuel Armstrong,Norman Ferguson","Joe Grant,Dick Huemer",1344,1281
Wolfgang Reitherman,"Larry Clemmons,Ken Anderson",1345,1282
"Norman Ferguson,T. Hee","Carlo Collodi,Ted Sears",1346,1283
"Clyde Geronimi,Wilfred Jackson","Lewis Carroll,Winston Hibler",1347,1284
"Clyde Geronimi,Wilfred Jackson","Ward Greene,Erdman Penner",1348,1285
Wolfgang Reitherman,"Bill Peet,T.H. White",1349,1286
"Wilfred Jackson,Harve Foster","Joel Chandler Harris,Dalton S. Reymond",1350,1287
"James Algar,Samuel Armstrong","Felix Salten,Perce Pearce",1351,1288
"Clyde Geronimi,Wilfred Jackson","Charles Perrault,Bill Peet",1352,1289
Clyde Geronimi,"Erdman Penner,Charles Perrault",1353,1290
Angela Robinson,"Thomas Lennon,Robert Ben Garant",1354,1291
Sara Sugarman,"Dyan Sheldon,Gail Parent",1355,1292
Jim Fall,"Susan Estelle Jansen,Ed Decter",1356,1293
Simon Wincer,"Keith Walker,Keith Walker",1357,1294
Tim McCanlies,"Lou Berney,Turk Pipkin",1358,1295
Dave Green,"Henry Gayden,Henry Gayden",1359,1296
Steve Miner,"Ron Kurz,Victor Miller",1360,1297
Joel Souza,"Michael Berlin,Mario Ponce",1361,1298
Vince Marcello,"Jessica O'Toole,Amy Rardin",1362,1299
Charlie Kaufman,Charlie Kaufman,1363,1300
Joshua Shreve,Josh Chesler,1364,1301
Andy Fickman,"Lisa Addario,Joe Syracuse",1365,1302
David Bowers,"Maya Forbes,Wallace Wolodarsky",1366,1303
Susanna White,"Emma Thompson,Christianna Brand",1367,1304
Cameron Crowe,"Aline Brosh McKenna,Cameron Crowe",1368,1305
Sam Raimi,"Mitchell Kapner,David Lindsay-Abaire",1369,1306
Adam Shankman,"Matt Lopez,Tim Herlihy",1370,1307
Gary Winick,"Susannah Grant,Karey Kirkpatrick",1371,1308
Alan Parker,Chris Gerolmo,1372,1309
Gabriela Cowperthwaite,"Gabriela Cowperthwaite,Eli B. Despres",1373,1310
Costa-Gavras,Joe Eszterhas,1374,1311
Shaun Monson,Shaun Monson,1375,1312
Michael Moore,Michael Moore,1376,1313
Eli Roth,Eli Roth,1377,1314
Michael Moore,Michael Moore,1378,1313
Michael Moore,Michael Moore,1379,1313
Robert Kenner,"Robert Kenner,Elise Pearlstein",1380,1315
Alfred Hitchcock,"John Michael Hayes,Cornell Woolrich",1381,1316
Alfred Hitchcock,"Alec Coppel,Samuel A. Taylor",1382,1317
Orson Welles,"Herman J. Mankiewicz,Orson Welles",1383,1318
Bud Townsend,Allen Actor,1384,1319
Alfred Hitchcock,"Daphne Du Maurier,Evan Hunter",1385,1320
Milos Forman,"Lawrence Hauben,Bo Goldman",1386,1321
Raja Gosnell,John Hughes,1387,1322
Tim Burton,"Bob Kane,Daniel Waters",1388,1323
Wolfgang Petersen,"Wolfgang Petersen,Herman Weigel",1389,1324
"Sarah Smith,Barry Cook","Peter Baynham,Sarah Smith",1390,1325
J. Stuart Blackton,William Shakespeare,1391,1326
Sidney Lumet,"Barry Reed,David Mamet",1392,1327
Robert Zemeckis,"Chris Van Allsburg,Robert Zemeckis",1393,1328
Betty Thomas,"Hugh Lofting,Nat Mauldin",1394,1329
Stephen Herek,"Dodie Smith,John Hughes",1395,1330
Penelope Spheeris,Fred Wolf,1396,1331
Michael Lehmann,Rich Wilkes,1397,1332
Dennis Dugan,"Mark Feldberg,Mitchell Klebanoff",1398,1333
Peter Hewitt,"Chris Matheson,Ed Solomon",1399,1334
Stephen Herek,"Chris Matheson,Ed Solomon",1400,1335
Tamra Davis,"Tim Herlihy,Adam Sandler",1401,1336
Peter Segal,"Bonnie Turner,Terry Turner",1402,1337
David Zucker,"David Zucker,Robert LoCash",1403,1338
John Glen,"Richard Maibaum,Michael G. Wilson",1404,1339
Roger Spottiswoode,Bruce Feirstein,1405,1340
John G. Avildsen,Steve Shagan,1406,1341
David Dobkin,"Steve Faber,Bob Fisher",1407,1342
Nicolás López,"Nicolás López,Eli Roth",1408,1343
Rawson Marshall Thurber,Rawson Marshall Thurber,1409,1344
"Josh Gordon,Will Speck","Jeff Cox,Craig Cox",1410,1345
Adam McKay,"Will Ferrell,Adam McKay",1411,1346
Adam McKay,"Will Ferrell,Adam McKay",1412,1346
Adam McKay,"Will Ferrell,Adam McKay",1413,1346
Adam McKay,"Will Ferrell,Adam McKay",1414,1346
Dennis Dugan,"Tim Herlihy,Adam Sandler",1415,1347
Trey Parker,Trey Parker,1416,1348
Larry Charles,"Sacha Baron Cohen,Anthony Hines",1417,956
Joel Schumacher,Fernley Phillips,1418,1349
Keenen Ivory Wayans,"Shawn Wayans,Marlon Wayans",1419,1350
Richard Linklater,Mike White,1420,1351
Paul Weitz,"John Hamburg,Larry Stuckey",1421,1352
Larry Charles,"Sacha Baron Cohen,Alec Berg",1422,1353
"Paul Weitz,Chris Weitz",Adam Herz,1423,1354
Mark Mylod,"Sacha Baron Cohen,Dan Mazer",1424,1355
Mike Joens,George Arthur Bloom,1425,1356
"Anthony Bell,Ben Gluck","Chris Denk,Ben Gluck",1426,1357
Eli Roth,"Eli Roth,Randy Pearlstein",1427,1358
Eli Roth,"Eli Roth,Eli Roth",1428,1359
"Anne Hathaway,Anthony Anderson,Chazz Palminteri,Glenn Close,James Belushi,Patrick Warburton,Sally Struthers,Tara Strong,Cory Edwards,Tom Kenny,Todd Edwards,Tony Leech,Xzibit","Corey Edwards,Cory Edwards,Todd Edwards,Tony Leech",1429,1360
Raja Gosnell,"William Hanna,Joseph Barbera",1430,1361
John Schultz,"Mark Burton,Adam F. Goldberg",1431,1362
Ron Howard,"Dr. Seuss,Jeffrey Price",1432,1363
Chris Weitz,"Chris Weitz,Philip Pullman",1433,1364
Robert Zemeckis,"Charles Dickens,Robert Zemeckis",1434,1365
Marc Forster,"Allan Knee,David Magee",1435,1366
John G. Avildsen,Robert Mark Kamen,1436,1367
Richard Donner,"Steven Spielberg,Chris Columbus",1437,1368
Stefen Fangmeier,"Peter Buchman,Christopher Paolini",1438,1369
Gabor Csupo,"Jeff Stockwell,David Paterson",1439,1370
Jon Favreau,"Chris Van Allsburg,David Koepp",1440,1371
Iain Softley,"David Lindsay-Abaire,Cornelia Funke",1441,1372
"Brenda Chapman,Steve Hickner","Philip LaZebnik,Nicholas Meyer",1442,1373
Zach Helm,Zach Helm,1443,1374
Penelope Spheeris,"Penelope Spheeris,Robert Wolterstorff",1444,1375
Sean McNamara,"Mitch Rotter,Sam Schreiber",1445,1376
Tim Fywell,"Meg Cabot,Hadley Davis",1446,1377
Raja Gosnell,"Ron Burch,David Kidd",1447,1378
Steve Carr,Geoff Rodkey,1448,1379
Thor Freudenthal,"Marc Guggenheim,Rick Riordan",1449,1380
Brad Peyton,"Brian Gunn,Mark Gunn",1450,972
Chris Columbus,"Craig Titley,Rick Riordan",1451,1381
Frederik Du Chau,"Adam Rifkin,Joe Piscatella",1452,1382
Gregory McClatchy,Frederick Ayeroff,1453,1383
Frank Coraci,"Nick Bakay,Rock Reuben",1454,1384
Tom Shadyac,"Steve Oedekerk,Steve Oedekerk",1455,1385
David Bowers,"Osamu Tezuka,David Bowers",1456,1386
Cal Brunker,"Bob Barlen,Cal Brunker",1457,1387
John A. Davis,"John A. Davis,John Nickle",1458,1388
Harald Zwart,"Christopher Murphey,Robert Mark Kamen",1459,1389
McG,"John D. Brancato,Michael Ferris",1460,1390
James Cameron,"James Cameron,David Giler",1461,1391
Jonathan Mostow,"James Cameron,Gale Anne Hurd",1462,1392
Ridley Scott,"Dan O'Bannon,Ronald Shusett",1463,1393
David Fincher,"Dan O'Bannon,Ronald Shusett",1464,1394
Paul Verhoeven,"Philip K. Dick,Ronald Shusett",1465,1395
Mark L. Lester,"Jeph Loeb,Matthew Weisman",1466,1396
James Cameron,"Claude Zidi,Simon Michaël",1467,1397
Paul W.S. Anderson,"Dan O'Bannon,Ronald Shusett",1468,1398
Stephen Hopkins,"Jim Thomas,John Thomas",1469,1399
Nimród Antal,"Alex Litvak,Michael Finch",1470,1400
Paul Verhoeven,"Edward Neumeier,Michael Miner",1471,1401
Paul Michael Glaser,"Stephen King,Steven E. de Souza",1472,1402
Eduardo Schuldt,"Kathy Borland,Kathy Pilon",1473,1403
Lijun Sun,"Melanie Simka,Mychal Simka",1474,1404
Barry Mahon,Hans Christian Andersen,1475,1405
Lawrence Kasanoff,"Lawrence Kasanoff,Joshua Wexler",1476,1406
Matthew Diamond,"Scott Stabile,Kenn Viselman",1477,1407
John G. Avildsen,Sylvester Stallone,1478,1408
"József Gémes,Jenõ Koltai","Forrest S. Baker III,Ray Goldrup",1479,1409
Tibor Hernádi,"Don Oriolo,Pete Brown",1480,1410
John Landis,"James Marshall,Harry Allard",1481,1411
John Landis,"Dan Aykroyd,Dave Thomas",1482,1412
Nae Caranfil,Nae Caranfil,1483,1413
Miguel Ángel Vivas,"Juan de Dios Garduño,Alberto Marini",1484,1414
Frank Hall Green,Frank Hall Green,1485,1415
Richard Fleischer,Lillie Hayward,1486,1416
Andrew Marton,"Eric Knight,Martin Berkeley",1487,1417
"John Korty,Charles Swenson","John Korty,Bill Couturié",1488,1418
John R. Cherry III,"Ed Turner,B. Kline",1489,1419
"Glenn Ficarra,John Requa","John Requa,Glenn Ficarra",1490,1420
"Bobby Farrelly,Peter Farrelly","Sean Anders,John Morris",1491,1421
John Landis,"Harold Ramis,Douglas Kenney",1492,1422
Neal Israel,Dan Gordon,1493,1423
Paul Michael Glaser,"Paul Michael Glaser,Christian Ford",1494,1424
John Murlowski,Rory Johnston,1495,1425
Donald Petrie,"Neil Tolkin,Tom S. Parker",1496,1426
Coke Sams,"Coke Sams,Bruce Arntson",1497,1427
"Phil Nibbelink,Simon Wells","John Patrick Shanley,Hudson Talbott",1498,1428
"Ted Berman,Richard Rich","Daniel P. Mannix,Larry Clemmons",1499,1429
"Ron Clements,Burny Mattinson","Peter Young,Vance Gerry",1500,1430
"John Lounsbery,Wolfgang Reitherman","Margery Sharp,Larry Clemmons",1501,1431
Simon Wells,"Cliff Ruby,Elana Lesser",1502,1432
Richard Rich,"Brian Nissen,Richard Rich",1503,1433
Charles Grosvenor,"Rae Lambert,Mark Young",1504,1434
"Larry Leker,Paul Sabella","Mark Young,Kelly Ward",1505,1435
Richard Rich,"Richard Rich,Brian Nissen",1506,1436
Jim Henson,"Dennis Lee,Jim Henson",1507,1437
George Miller,"Karin Howard,Michael Ende",1508,1438
Bill Kroyer,"Jim Cox,Diana Young",1509,1439
Frederik Du Chau,"Vera Chapman,Kirk De Micco",1510,1440
Richard Rich,"Brian Nissen,Brian Nissen",1511,1441
George Scribner,"Jim Cox,Tim Disney",1512,1442
Aleksander Bach,"Skip Woods,Michael Finch",1513,1443
Max Joseph,"Max Joseph,Meaghan Oppenheimer",1514,1444
"Jules Bass,Arthur Rankin Jr.","Peter Dickinson,Gordon R. Dickson",1515,1445
"Ted Berman,Richard Rich","Lloyd Alexander,David Jonas",1516,1446
Martha Coolidge,"John Quaintance,Jessica O'Toole",1517,1447
Andrew Fleming,"Andrew Fleming,Tiffany Paulsen",1518,1448
Mark Rosman,"Michael McQuown,Heather Robinson",1519,1449
Robert Lieberman,"Steven Brill,Kenneth Johnson",1520,1450
Holly Goldberg Sloan,Holly Goldberg Sloan,1521,1451
Daniel Stern,Sam Harper,1522,1452
Duwayne Dunham,"James Ferguson,Robert Shallcross",1523,1453
Michael Pressman,"Kevin Eastman,Peter Laird",1524,1454
Sam Weisman,"Steven Brill,Steven Brill",1525,1455
Stephen Herek,Steven Brill,1526,1456
Rupert Wainwright,"Blake Snyder,Colby Carr",1527,1457
Sean McNamara,"Scot Lewis,Jeff Phillips",1528,1458
John R. Cherry III,"John R. Cherry III,Coke Sams",1529,1459
"John Cherry,John R. Cherry III","Charles Gale,John Cherry,Coke Sams,Daniel Butler",1530,1460
Penelope Spheeris,"Paul Henning,Lawrence Konner",1531,1461
John R. Cherry III,"John R. Cherry III,William M. Akers",1532,1462
John R. Cherry III,John R. Cherry III,1533,1463
John R. Cherry III,Charlie Cohen,1534,1464
Christopher Cain,"Robert Mark Kamen,Mark Lee",1535,1465
David M. Evans,Tim Kelleher,1536,1466
Tom Dey,"Tim Rasmussen,Vince Di Meglio",1537,1467
Hoyt Yeatman,"Cormac Wibberley,Marianne Wibberley",1538,1468
Lawrence Guterman,"John Requa,Glenn Ficarra",1539,1469
Jake Kasdan,"Kate Angelo,Jason Segel",1540,1470
Tim Story,"Greg Coolidge,Jason Mantzoukas",1541,1471
"Evan Goldberg,Seth Rogen","Dan Sterling,Seth Rogen",1542,1472
K.B. Montgomery,K.B. Montgomery,1543,1473
Jeremy Garelick,"Jeremy Garelick,Jay Lavender",1544,1474
Walter Hill,"Roger Spottiswoode,Walter Hill",1545,1475
Duncan Christie,Jason Bruce Delaney,1546,1476
Tony Scott,"Danilo Bach,Daniel Petrie Jr.",1547,1477
Ulli Lommel,Ulli Lommel,1548,1478
John Landis,"Danilo Bach,Daniel Petrie Jr.",1549,1479
Maclain Nelson,"Maclain Nelson,Maclain Nelson",1550,1480
Paul Kaitson,Paul Kaitson,1551,1481
Patrick Biesemans,"Kate Murdoch,Kate Murdoch",1552,1482
Stephen Shimek,"Stephen Shimek,Daryn Tufts",1553,1483
Julian Grant,Julian Grant,1554,1484
Keith Alan Morris,"Scott Sandsberry,Scott Sandsberry",1555,1485
Darva Campbell,Darva Campbell,1556,1486
Tim Hunter,Carol Sobieski,1557,1487
Teddy Smith,Sean Huze,1558,1488
Peter Markle,"Valarie Trapp,Peter Markle",1559,1489
Joel Paul Reisig,Joel Paul Reisig,1560,1490
John Landis,"Eddie Murphy,David Sheffield",1561,1491
Michael Damian,"Janeen Damian,Michael Damian",1562,1492
David Rotan,Lovinder Gill,1563,1493
William Dear,Mark Stouffer,1564,1494
Dennis Fallon,Douglas Delaney,1565,1495
John Rogers,John Rogers,1566,1496
Cameron Crowe,Cameron Crowe,1567,1497
Cameron Crowe,Cameron Crowe,1568,1497
James Keach,,1569,1498
