ounces,abv,original_index,unique_index,count
16.0 oz.,0.063,677,261,8.0
12.0 oz,0.045%,678,37,5.0
12.0 oz. Alumi-Tek,0.06%,679,366,3.0
12.0 oz,0.08,680,346,7.0
12.0 oz,0.05%,681,131,14.0
12.0 oz,0.053,682,120,11.0
12.0 oz.,0.055,683,8,27.0
12.0 oz.,0.092,684,143,4.0
12.0 oz.,0.065%,685,313,11.0
12.0 ounce,0.07,686,33,15.0
12.0 oz,0.06,687,90,10.0
16.0 oz.,0.065%,688,367,4.0
16.0 ounce,0.065%,689,69,7.0
16.0 ounce,0.07200000000000001%,690,368,2.0
12.0 oz.,0.055,691,8,27.0
12.0 oz,0.05,692,0,28.0
12.0 oz,0.05,693,0,28.0
12.0 ounce,0.063%,694,369,2.0
12.0 ounce,0.06%,695,147,3.0
12.0 oz.,0.075%,696,370,1.0
12.0 oz,0.085,697,371,3.0
12.0 oz,0.06%,698,148,8.0
12.0 oz.,0.07,699,26,11.0
16.0 oz,0.048,700,372,3.0
12.0 oz.,0.046,701,214,7.0
12.0 oz.,0.052000000000000005%,702,373,10.0
12.0 oz,0.07,703,93,8.0
12.0 oz,0.045,704,158,16.0
12.0 oz,0.05,705,0,28.0
12.0 ounce,0.059,706,217,4.0
12.0 oz.,0.056,707,101,14.0
12.0 oz,0.065,708,40,14.0
12.0 oz,0.058,709,241,8.0
12.0 oz,0.07,710,93,8.0
12.0 oz.,0.05%,711,246,16.0
12.0 oz.,0.05%,712,246,16.0
12.0 oz,0.052000000000000005%,713,374,6.0
12.0 OZ.,0.049%,714,145,3.0
12.0 ounce,0.063%,715,369,2.0
12.0 OZ.,0.05,716,107,11.0
12.0 oz.,0.05%,717,246,16.0
12.0 oz.,0.096,718,211,2.0
12.0 ounce,0.049%,719,302,5.0
12.0 oz.,0.044000000000000004%,720,375,1.0
12.0 OZ.,0.052,721,331,3.0
16.0 oz.,0.054000000000000006%,722,376,1.0
16.0 OZ.,,723,377,
16.0 oz,0.071,724,378,1.0
16.0 oz,0.074,725,379,1.0
12.0 oz.,0.045%,726,6,11.0
16.0 ounce,0.065%,727,69,7.0
12.0 OZ.,,728,380,
16.0 oz. Alumi-Tek,,729,293,
16.0 oz.,,730,259,
16.0 ounce,,731,381,
16.0 oz,,732,260,
16.0 ounce,,733,381,
16.0 oz,,734,260,
12.0 oz,0.049,735,218,7.0
12.0 oz,0.051,736,134,9.0
12.0 OZ.,0.066%,737,382,1.0
12.0 ounce,0.051,738,383,2.0
12.0 oz,0.043,739,384,3.0
12.0 ounce,0.057999999999999996%,740,194,4.0
12.0 ounce,0.061%,741,14,2.0
12.0 oz.,0.045%,742,6,11.0
16.0 ounce,0.05,743,43,14.0
16.0 ounce,0.078,744,385,1.0
16.0 OZ.,0.06,745,386,2.0
16.0 oz.,0.05,746,105,17.0
16.0 ounce,0.055,747,199,10.0
16.0 ounce,0.045,748,387,2.0
16.0 oz,0.078,749,322,2.0
16.0 oz.,0.057%,750,340,5.0
16.0 oz. Silo Can,0.049,751,388,1.0
12.0 ounce,0.07,752,33,15.0
16.0 ounce,0.05%,753,276,6.0
12.0 oz. Alumi-Tek,0.052,754,243,5.0
12.0 oz,0.052,755,114,17.0
12.0 oz.,0.05%,756,246,16.0
12.0 oz.,0.062,757,113,14.0
12.0 ounce,0.043%,758,303,2.0
12.0 oz.,0.062,759,113,14.0
16.0 ounce,0.049%,760,389,1.0
16.0 ounce,0.07%,761,390,6.0
16.0 oz.,0.051,762,264,5.0
16.0 oz.,0.052,763,73,13.0
16.0 oz,0.048,764,372,3.0
16.0 oz,0.054,765,50,4.0
12.0 oz,0.04%,766,391,3.0
16.0 oz.,0.085,767,328,2.0
12.0 oz.,0.055,768,8,27.0
12.0 oz,0.027000000000000003%,769,392,1.0
12.0 oz.,0.055%,770,39,16.0
12.0 oz.,0.05,771,34,32.0
12.0 oz.,0.045,772,57,15.0
12.0 oz,0.067,773,393,4.0
12.0 oz,0.063%,774,394,1.0
16.0 oz.,0.07,775,118,8.0
16.0 oz,0.07,776,132,4.0
16.0 oz.,0.05%,777,106,5.0
16.0 oz.,0.05,778,105,17.0
16.0 oz,0.05,779,63,15.0
16.0 ounce,0.07%,780,390,6.0
16.0 ounce,0.075%,781,395,1.0
16.0 oz.,0.046,782,396,2.0
16.0 OZ.,0.051,783,397,2.0
16.0 OZ.,0.075,784,398,2.0
16.0 oz,0.069,785,323,2.0
16.0 ounce,0.05,786,43,14.0
12.0 oz.,0.081,787,399,3.0
16.0 oz.,0.08199999999999999%,788,257,2.0
16.0 oz.,0.082,789,278,4.0
16.0 oz.,0.055%,790,130,8.0
12.0 oz.,0.045,791,57,15.0
12.0 oz.,0.055%,792,39,16.0
12.0 oz.,0.048,793,231,14.0
16.0 oz.,0.09%,794,400,3.0
16.0 ounce,0.08,795,59,3.0
16.0 oz.,0.086,796,401,1.0
16.0 ounce,0.05,797,43,14.0
16.0 oz.,0.053%,798,402,3.0
16.0 oz. Alumi-Tek,0.08%,799,403,1.0
16.0 ounce,0.055,800,199,10.0
16.0 ounce,0.075,801,129,4.0
16.0 oz,0.055,802,96,11.0
16.0 oz,0.047%,803,404,1.0
12.0 oz,0.045,804,158,16.0
12.0 oz.,0.075,805,405,4.0
12.0 oz.,0.053,806,77,9.0
12.0 oz,0.047,807,164,12.0
12.0 oz,0.047,808,164,12.0
16.0 oz.,0.065,809,250,14.0
16.0 ounce,0.05,810,43,14.0
16.0 ounce,0.06,811,102,7.0
12.0 ounce,,812,212,
16.0 oz,0.055%,813,406,4.0
12.0 ounce,0.071%,814,407,3.0
12.0 oz.,0.047,815,138,15.0
12.0 oz.,0.04,816,223,8.0
12.0 ounce,0.07,817,33,15.0
12.0 oz. Alumi-Tek,0.078,818,408,1.0
12.0 oz,0.06%,819,148,8.0
12.0 ounce,0.065%,820,86,5.0
12.0 oz,0.045,821,158,16.0
12.0 oz.,0.05,822,34,32.0
12.0 oz.,0.069,823,193,5.0
12.0 oz.,0.052000000000000005%,824,373,10.0
12.0 ounce,0.062%,825,244,3.0
16.0 oz.,0.045,826,409,7.0
16.0 oz.,0.065,827,250,14.0
16.0 oz.,0.062,828,265,7.0
16.0 ounce,0.067,829,410,2.0
16.0 oz.,0.058,830,173,5.0
16.0 oz.,0.052,831,73,13.0
16.0 oz,0.055,832,96,11.0
16.0 ounce,0.088,833,167,3.0
16.0 oz,0.051,834,332,8.0
16.0 ounce,0.07400000000000001%,835,411,2.0
12.0 oz.,,836,219,
12.0 oz.,0.047%,837,180,2.0
12.0 ounce,0.056,838,92,10.0
12.0 oz,0.046,839,155,4.0
12.0 oz,0.063,840,139,5.0
12.0 ounce,0.085,841,412,5.0
12.0 oz.,0.072,842,10,11.0
12.0 oz.,0.047,843,138,15.0
12.0 oz,0.076%,844,413,1.0
12.0 ounce,0.057,845,91,9.0
12.0 oz,0.052,846,114,17.0
16.0 oz,0.055,847,96,11.0
16.0 ounce,0.05,848,43,14.0
16.0 oz.,0.06,849,70,12.0
16.0 oz. Alumi-Tek,0.064,850,414,2.0
12.0 oz. Alumi-Tek,0.04%,851,415,3.0
12.0 oz,0.052,852,114,17.0
12.0 oz,0.06,853,90,10.0
12.0 oz.,0.051,854,190,16.0
12.0 oz.,0.042,855,88,12.0
12.0 oz,0.067,856,393,4.0
12.0 oz.,0.06,857,16,31.0
12.0 oz,0.052,858,114,17.0
12.0 ounce,0.06,859,15,13.0
12.0 oz.,0.05%,860,246,16.0
12.0 oz. Alumi-Tek,0.057,861,95,3.0
12.0 ounce,0.07,862,33,15.0
12.0 oz.,0.055999999999999994%,863,239,9.0
12.0 oz. Alumi-Tek,0.069,864,416,1.0
12.0 ounce,0.055,865,55,27.0
12.0 oz. Alumi-Tek,0.053,866,75,4.0
12.0 oz.,0.065%,867,313,11.0
12.0 oz.,0.06,868,16,31.0
12.0 oz.,0.042,869,88,12.0
12.0 oz.,0.068,870,108,9.0
12.0 ounce,0.042,871,417,6.0
12.0 oz,0.059,872,418,2.0
12.0 ounce,0.044,873,222,2.0
12.0 ounce,0.04,874,320,7.0
12.0 oz,0.045,875,158,16.0
12.0 ounce,0.08,876,419,4.0
12.0 oz,0.065%,877,420,5.0
12.0 oz,0.065,878,40,14.0
12.0 oz.,0.055999999999999994%,879,239,9.0
12.0 oz,0.065%,880,420,5.0
12.0 oz.,0.053%,881,421,1.0
12.0 oz,0.07%,882,124,6.0
12.0 oz.,0.052000000000000005%,883,373,10.0
16.0 oz. Alumi-Tek,0.07%,884,422,2.0
12.0 OZ.,0.05%,885,423,2.0
12.0 oz.,0.072,886,10,11.0
12.0 ounce,0.049,887,23,5.0
12.0 ounce,0.05,888,146,25.0
12.0 oz,0.067,889,393,4.0
16.0 oz,0.072,890,200,3.0
12.0 OZ.,0.057999999999999996%,891,424,1.0
16.0 oz.,0.074,892,425,1.0
16.0 oz.,0.08,893,188,10.0
16.0 oz,0.094,894,426,1.0
16.0 oz.,0.059000000000000004%,895,427,2.0
16.0 ounce,0.046,896,428,1.0
16.0 oz,0.068,897,298,5.0
12.0 oz,0.059000000000000004%,898,215,6.0
16.0 oz,0.05,899,63,15.0
16.0 oz.,0.055,900,66,13.0
16.0 oz.,0.08,901,188,10.0
16.0 oz.,0.08,902,188,10.0
16.0 oz.,0.059,903,429,4.0
16.0 ounce,0.046%,904,47,3.0
16.0 ounce,0.07,905,228,8.0
12.0 ounce,0.07,906,33,15.0
12.0 oz.,0.06,907,16,31.0
12.0 oz.,0.055999999999999994%,908,239,9.0
12.0 oz,0.093,909,430,1.0
12.0 oz.,0.06,910,16,31.0
12.0 ounce,0.06,911,15,13.0
12.0 ounce,0.057999999999999996%,912,194,4.0
12.0 OZ.,0.055,913,431,4.0
12.0 oz.,0.059,914,35,6.0
16.0 oz.,0.054,915,364,7.0
12.0 oz.,0.054000000000000006%,916,432,2.0
16.0 oz,0.042%,917,433,1.0
12.0 ounce,0.042%,918,434,1.0
12.0 oz.,0.042%,919,319,4.0
12.0 ounce,0.052000000000000005%,920,318,3.0
12.0 oz.,0.05,921,34,32.0
12.0 oz.,0.052000000000000005%,922,373,10.0
12.0 oz. Silo Can,0.054,923,435,1.0
12.0 oz.,,924,219,
12.0 oz.,0.043,925,436,1.0
12.0 oz.,0.049,926,25,17.0
12.0 oz.,0.055,927,8,27.0
16.0 oz.,0.053,928,266,7.0
16.0 OZ.,0.057,929,437,1.0
16.0 oz,0.056,930,438,1.0
16.0 oz.,0.062,931,265,7.0
16.0 oz,0.057,932,439,4.0
16.0 oz.,0.053,933,266,7.0
16.0 oz.,0.056,934,356,4.0
16.0 oz.,0.057%,935,340,5.0
16.0 OZ.,0.045,936,440,1.0
16.0 oz.,0.057,937,441,2.0
16.0 oz.,0.057%,938,340,5.0
16.0 oz.,0.06%,939,172,6.0
16.0 oz,0.051,940,332,8.0
16.0 oz,0.075,941,335,4.0
16.0 oz,0.08,942,365,6.0
16.0 oz.,0.055999999999999994%,943,274,5.0
16.0 oz,0.057,944,439,4.0
16.0 oz.,0.042,945,62,4.0
16.0 oz.,0.062%,946,442,1.0
16.0 oz,0.053%,947,443,2.0
12.0 oz,0.05,948,0,28.0
12.0 oz,0.087,949,444,2.0
12.0 oz.,0.061%,950,445,1.0
12.0 ounce,0.071,951,2,4.0
12.0 oz,0.083%,952,446,1.0
12.0 oz.,0.05,953,34,32.0
12.0 ounce,0.095%,954,184,2.0
12.0 OZ.,0.073%,955,447,2.0
12.0 oz.,0.071,956,448,3.0
24.0 oz.,0.045%,957,449,1.0
12.0 ounce,0.045,958,237,10.0
12.0 ounce,0.052,959,135,10.0
12.0 oz,0.052,960,114,17.0
12.0 oz,0.05,961,0,28.0
16.0 ounce,0.07%,962,390,6.0
12.0 ounce,0.048,963,170,11.0
12.0 oz.,0.048,964,231,14.0
12.0 oz.,0.048%,965,89,7.0
16.0 ounce,0.05,966,43,14.0
16.0 OZ.,0.06%,967,450,1.0
16.0 oz.,0.055,968,66,13.0
16.0 oz. Alumi-Tek,0.054000000000000006%,969,451,2.0
16.0 oz.,0.053,970,266,7.0
16.0 oz.,0.09%,971,400,3.0
16.0 ounce,0.07,972,228,8.0
16.0 oz,0.07%,973,163,4.0
16.0 oz.,0.059000000000000004%,974,427,2.0
16.0 oz.,0.048,975,235,7.0
16.0 oz.,0.06%,976,172,6.0
16.0 oz,0.053%,977,443,2.0
16.0 oz,0.054,978,50,4.0
12.0 oz.,0.05%,979,246,16.0
12.0 ounce,0.057,980,91,9.0
12.0 ounce,0.067,981,452,3.0
16.0 ounce,0.058,982,453,4.0
12.0 oz,0.085,983,371,3.0
16.0 oz. Alumi-Tek,0.058,984,454,1.0
12.0 oz.,0.06%,985,178,8.0
16.0 ounce,0.04,986,455,3.0
16.0 ounce,0.055,987,199,10.0
16.0 OZ.,0.06,988,386,2.0
12.0 oz.,0.06%,989,178,8.0
12.0 oz.,0.049%,990,24,5.0
16.0 oz.,0.045,991,409,7.0
16.0 ounce,0.065%,992,69,7.0
16.0 ounce,0.05,993,43,14.0
16.0 ounce,0.05%,994,276,6.0
16.0 ounce,0.065,995,42,8.0
16.0 OZ.,0.075,996,398,2.0
16.0 ounce,0.05%,997,276,6.0
12.0 oz,0.04,998,456,3.0
16.0 oz,0.09,999,457,2.0
12.0 oz.,0.063,1000,458,4.0
12.0 oz,0.069,1001,166,5.0
12.0 ounce,0.047,1002,192,3.0
16.0 oz.,0.07,1003,118,8.0
16.0 oz.,0.08,1004,188,10.0
16.0 oz.,0.057%,1005,340,5.0
16.0 oz,0.055,1006,96,11.0
16.0 oz,0.06,1007,248,6.0
16.0 oz.,0.06,1008,70,12.0
16.0 oz,0.042,1009,459,1.0
16.0 oz,0.052,1010,117,12.0
12.0 oz. Alumi-Tek,0.07,1011,324,3.0
12.0 oz,0.052,1012,114,17.0
12.0 oz. Alumi-Tek,0.046,1013,460,1.0
12.0 oz,0.043,1014,384,3.0
16.0 oz.,0.075,1015,189,7.0
12.0 oz,0.044,1016,22,5.0
12.0 ounce,0.056,1017,92,10.0
12.0 oz,0.052,1018,114,17.0
12.0 ounce,0.062,1019,127,7.0
12.0 oz.,0.048,1020,231,14.0
12.0 oz.,0.05%,1021,246,16.0
12.0 ounce,0.059,1022,217,4.0
12.0 oz.,0.059000000000000004%,1023,461,1.0
12.0 oz.,0.055,1024,8,27.0
12.0 ounce,0.059000000000000004%,1025,462,1.0
12.0 oz,0.05%,1026,131,14.0
12.0 oz.,0.048,1027,231,14.0
12.0 OZ.,0.05,1028,107,11.0
12.0 oz,0.059000000000000004%,1029,215,6.0
12.0 oz.,,1030,219,
12.0 oz.,0.048%,1031,89,7.0
12.0 ounce,0.049,1032,23,5.0
12.0 oz,0.054000000000000006%,1033,463,3.0
19.2 oz.,0.064%,1034,464,1.0
12.0 ounce,0.064,1035,213,2.0
19.2 oz,0.083,1036,465,1.0
16.0 oz.,0.076,1037,466,2.0
16.0 oz,0.062%,1038,295,2.0
16.0 ounce,0.088,1039,167,3.0
12.0 oz,0.072,1040,467,4.0
12.0 oz,0.06%,1041,148,8.0
12.0 OZ.,0.06,1042,128,8.0
16.0 OZ.,0.063%,1043,468,1.0
16.0 oz,0.08%,1044,292,3.0
16.0 oz,0.099,1045,263,5.0
12.0 ounce,0.063,1046,469,2.0
12.0 oz. Alumi-Tek,0.07,1047,324,3.0
12.0 oz,0.044,1048,22,5.0
12.0 oz.,0.045%,1049,6,11.0
12.0 ounce,0.055,1050,55,27.0
16.0 oz. Alumi-Tek,0.045%,1051,470,1.0
16.0 oz.,0.055%,1052,130,8.0
16.0 oz.,0.049,1053,471,1.0
16.0 oz.,0.055,1054,66,13.0
16.0 oz,0.066%,1055,472,1.0
16.0 oz.,0.042,1056,62,4.0
12.0 oz.,0.042,1057,88,12.0
12.0 ounce,0.047%,1058,242,5.0
12.0 oz,0.057999999999999996%,1059,171,7.0
12.0 oz,0.049,1060,218,7.0
12.0 oz.,0.078%,1061,179,2.0
12.0 oz.,0.063,1062,458,4.0
12.0 oz.,0.049,1063,25,17.0
12.0 ounce,0.048,1064,170,11.0
12.0 oz.,0.065,1065,41,18.0
12.0 oz.,0.065,1066,41,18.0
12.0 oz.,0.049,1067,25,17.0
12.0 oz,0.07,1068,93,8.0
12.0 oz.,0.051,1069,190,16.0
12.0 oz.,0.051,1070,190,16.0
12.0 ounce,0.06,1071,15,13.0
12.0 oz.,0.065,1072,41,18.0
16.0 oz,0.068,1073,298,5.0
16.0 oz,0.027000000000000003%,1074,473,1.0
16.0 ounce,0.039,1075,321,3.0
16.0 oz.,0.039,1076,474,1.0
16.0 ounce,0.039,1077,321,3.0
16.0 ounce,0.039%,1078,475,3.0
16.0 ounce,0.039%,1079,475,3.0
16.0 oz,0.039,1080,476,2.0
16.0 ounce,0.039%,1081,475,3.0
16.0 oz,0.039%,1082,477,3.0
16.0 oz. Alumi-Tek,0.039,1083,478,1.0
16.0 oz,0.039%,1084,477,3.0
16.0 oz,0.039,1085,476,2.0
16.0 oz,0.039%,1086,477,3.0
16.0 oz,0.058,1087,479,3.0
16.0 oz.,0.057999999999999996%,1088,247,3.0
16.0 oz.,0.066%,1089,480,1.0
16.0 oz.,0.073%,1090,481,2.0
16.0 oz,0.06,1091,248,6.0
16.0 ounce,0.058,1092,453,4.0
16.0 oz,0.073,1093,482,2.0
16.0 oz,0.051,1094,332,8.0
16.0 oz.,0.066,1095,198,2.0
12.0 oz.,0.055999999999999994%,1096,239,9.0
12.0 oz.,0.051,1097,190,16.0
16.0 oz.,0.06,1098,70,12.0
12.0 oz.,0.065%,1099,313,11.0
12.0 oz.,0.055,1100,8,27.0
12.0 oz,0.068%,1101,483,3.0
12.0 ounce,0.065,1102,7,11.0
12.0 ounce,0.05,1103,146,25.0
12.0 oz.,0.046,1104,214,7.0
12.0 ounce,0.065,1105,7,11.0
12.0 oz,0.054000000000000006%,1106,463,3.0
12.0 oz,0.048,1107,484,4.0
12.0 oz.,0.055,1108,8,27.0
12.0 oz. Alumi-Tek,0.059,1109,361,2.0
12.0 oz,0.057999999999999996%,1110,171,7.0
12.0 oz.,0.07,1111,26,11.0
12.0 oz.,0.055%,1112,39,16.0
12.0 oz.,0.045%,1113,6,11.0
12.0 oz,0.068,1114,485,3.0
12.0 oz,0.053,1115,120,11.0
12.0 oz,0.049,1116,218,7.0
16.0 oz.,,1117,259,
16.0 oz,0.052,1118,117,12.0
12.0 OZ.,0.048,1119,486,3.0
16.0 oz.,0.072,1120,333,4.0
12.0 ounce,0.067%,1121,487,2.0
12.0 oz. Alumi-Tek,0.049%,1122,159,3.0
12.0 OZ.,0.05,1123,107,11.0
12.0 oz.,0.051,1124,190,16.0
12.0 oz.,0.055%,1125,39,16.0
12.0 ounce,0.055,1126,55,27.0
12.0 ounce,0.065,1127,7,11.0
12.0 oz.,0.07%,1128,28,3.0
12.0 oz,0.05,1129,0,28.0
12.0 ounce,0.067,1130,452,3.0
12.0 oz.,0.069%,1131,488,6.0
12.0 ounce,,1132,212,
12.0 oz.,0.045,1133,57,15.0
12.0 oz,0.055,1134,54,15.0
12.0 OZ.,0.055,1135,431,4.0
12.0 oz.,0.06,1136,16,31.0
12.0 oz,0.06%,1137,148,8.0
12.0 ounce,0.05%,1138,208,15.0
12.0 oz,0.05%,1139,131,14.0
12.0 oz,0.09300000000000001%,1140,489,1.0
12.0 oz,0.052,1141,114,17.0
12.0 oz. Alumi-Tek,0.071,1142,490,2.0
12.0 oz.,0.075,1143,405,4.0
12.0 oz.,0.052000000000000005%,1144,373,10.0
12.0 oz.,0.057999999999999996%,1145,94,7.0
12.0 oz.,0.055,1146,8,27.0
12.0 ounce,0.055,1147,55,27.0
12.0 ounce,0.047%,1148,242,5.0
12.0 oz. Alumi-Tek,0.066%,1149,491,1.0
12.0 OZ.,0.095%,1150,492,1.0
12.0 oz.,0.049%,1151,24,5.0
12.0 oz.,0.052,1152,326,11.0
12.0 oz,0.066%,1153,493,1.0
12.0 oz.,0.057,1154,125,9.0
12.0 oz,0.06,1155,90,10.0
12.0 ounce,0.055,1156,55,27.0
12.0 oz,0.057999999999999996%,1157,171,7.0
12.0 ounce,0.05,1158,146,25.0
12.0 oz. Alumi-Tek,0.068,1159,494,2.0
12.0 oz,0.058,1160,241,8.0
16.0 oz.,0.065%,1161,367,4.0
16.0 ounce,0.065%,1162,69,7.0
16.0 oz.,0.065,1163,250,14.0
16.0 oz.,0.055,1164,66,13.0
16.0 ounce,0.065%,1165,69,7.0
16.0 oz.,0.065,1166,250,14.0
12.0 oz.,,1167,219,
12.0 oz.,,1168,219,
12.0 oz.,,1169,219,
12.0 oz,,1170,220,
12.0 oz. Alumi-Tek,,1171,209,
12.0 oz,,1172,220,
12.0 oz,,1173,220,
12.0 oz.,0.051,1174,190,16.0
12.0 oz.,0.055,1175,8,27.0
12.0 OZ.,0.06,1176,128,8.0
12.0 oz. Alumi-Tek,0.057%,1177,495,1.0
12.0 oz.,0.049,1178,25,17.0
16.0 ounce,0.063,1179,496,2.0
16.0 oz.,0.048,1180,235,7.0
24.0 oz.,0.046%,1181,497,1.0
16.0 oz,0.046%,1182,498,2.0
12.0 oz.,0.046,1183,214,7.0
12.0 oz,0.046,1184,155,4.0
12.0 oz.,0.04%,1185,499,3.0
16.0 oz.,0.08,1186,188,10.0
16.0 oz.,0.054,1187,364,7.0
16.0 ounce,0.07200000000000001%,1188,368,2.0
12.0 oz.,0.066%,1189,500,1.0
12.0 oz.,0.048,1190,231,14.0
12.0 ounce,0.045,1191,237,10.0
12.0 ounce,0.068%,1192,31,3.0
12.0 oz,0.05%,1193,131,14.0
12.0 ounce,0.055,1194,55,27.0
12.0 oz,0.05,1195,0,28.0
12.0 ounce,0.048,1196,170,11.0
12.0 oz,0.064,1197,181,3.0
12.0 oz. Alumi-Tek,0.064,1198,501,1.0
12.0 oz.,0.056,1199,101,14.0
16.0 oz,0.05,1200,63,15.0
12.0 oz.,0.051,1201,190,16.0
12.0 oz.,0.057,1202,125,9.0
12.0 oz,0.05%,1203,131,14.0
12.0 oz.,0.05,1204,34,32.0
12.0 OZ.,0.057,1205,79,3.0
16.0 ounce,0.052,1206,307,8.0
16.0 oz.,0.06,1207,70,12.0
12.0 oz,0.058,1208,241,8.0
12.0 oz,0.057,1209,502,3.0
12.0 oz.,0.052,1210,326,11.0
12.0 oz.,0.065,1211,41,18.0
12.0 oz.,0.057,1212,125,9.0
12.0 oz,0.06%,1213,148,8.0
16.0 oz,0.075%,1214,359,3.0
12.0 oz.,0.057,1215,125,9.0
12.0 ounce,0.058,1216,100,6.0
12.0 ounce,0.061,1217,144,4.0
12.0 oz,0.059,1218,418,2.0
12.0 oz.,0.046,1219,214,7.0
16.0 ounce,0.072,1220,503,3.0
12.0 OZ.,0.04,1221,74,2.0
12.0 ounce,0.046,1222,353,6.0
16.0 oz,0.046%,1223,498,2.0
16.0 oz,0.048,1224,372,3.0
16.0 OZ.,0.055,1225,504,1.0
16.0 oz.,0.045%,1226,270,3.0
12.0 oz,0.062,1227,342,5.0
12.0 oz.,0.056,1228,101,14.0
16.0 oz.,0.052,1229,73,13.0
16.0 ounce,0.062,1230,84,4.0
16.0 oz.,0.052,1231,73,13.0
16.0 ounce,0.048%,1232,505,1.0
12.0 oz. Silo Can,0.038%,1233,506,1.0
12.0 oz.,0.051,1234,190,16.0
12.0 oz. Alumi-Tek,0.054000000000000006%,1235,507,1.0
12.0 oz.,0.053,1236,77,9.0
12.0 ounce,0.061,1237,144,4.0
12.0 oz. Silo Can,0.057999999999999996%,1238,508,1.0
12.0 oz,0.05,1239,0,28.0
12.0 oz,0.051,1240,134,9.0
12.0 ounce,0.05,1241,146,25.0
12.0 oz,0.055,1242,54,15.0
12.0 oz.,0.099,1243,509,3.0
12.0 oz,0.043,1244,384,3.0
12.0 ounce,0.085,1245,412,5.0
16.0 OZ.,0.079,1246,510,1.0
12.0 oz.,0.047,1247,138,15.0
12.0 oz.,0.05%,1248,246,16.0
12.0 ounce,0.069,1249,511,1.0
12.0 ounce,0.07,1250,33,15.0
12.0 oz.,0.06,1251,16,31.0
16.0 OZ.,0.051,1252,397,2.0
12.0 oz.,0.055,1253,8,27.0
12.0 ounce,0.051%,1254,512,3.0
12.0 oz.,0.042,1255,88,12.0
12.0 oz.,0.065%,1256,313,11.0
12.0 ounce,0.042,1257,417,6.0
12.0 ounce,0.045,1258,237,10.0
12.0 oz.,0.07200000000000001%,1259,513,2.0
12.0 oz.,0.067,1260,142,4.0
12.0 oz.,0.045,1261,57,15.0
12.0 ounce,0.055,1262,55,27.0
12.0 ounce,0.055,1263,55,27.0
12.0 oz,0.05%,1264,131,14.0
12.0 oz,0.09,1265,514,1.0
12.0 oz,0.06,1266,90,10.0
12.0 ounce,0.085,1267,412,5.0
12.0 ounce,0.099,1268,300,6.0
12.0 ounce,0.08,1269,419,4.0
12.0 ounce,0.06%,1270,147,3.0
12.0 oz,0.095,1271,515,1.0
12.0 OZ.,0.066,1272,516,1.0
12.0 oz,0.047%,1273,517,5.0
12.0 oz.,0.062,1274,113,14.0
16.0 oz,0.07200000000000001%,1275,518,1.0
16.0 ounce,0.05,1276,43,14.0
16.0 oz,0.099,1277,263,5.0
16.0 oz.,0.063,1278,261,8.0
16.0 oz.,0.09699999999999999%,1279,519,1.0
16.0 oz,0.05,1280,63,15.0
16.0 OZ.,0.065,1281,81,3.0
16.0 oz.,0.05,1282,105,17.0
16.0 OZ.,0.08%,1283,520,1.0
12.0 oz,0.08,1284,346,7.0
16.0 oz.,0.05,1285,105,17.0
12.0 ounce,0.05,1286,146,25.0
12.0 oz.,0.065%,1287,313,11.0
12.0 oz.,0.065%,1288,313,11.0
12.0 ounce,0.042,1289,417,6.0
16.0 ounce,0.065,1290,42,8.0
12.0 OZ.,0.051,1291,521,2.0
12.0 oz,0.045,1292,158,16.0
12.0 oz.,0.045%,1293,6,11.0
12.0 ounce,0.048,1294,170,11.0
12.0 oz,0.047%,1295,517,5.0
12.0 oz,0.05,1296,0,28.0
12.0 oz. Alumi-Tek,0.06%,1297,366,3.0
12.0 oz,0.047,1298,164,12.0
12.0 oz.,0.055,1299,8,27.0
16.0 oz,0.055,1300,96,11.0
12.0 oz,0.051,1301,134,9.0
12.0 oz. Alumi-Tek,0.055%,1302,522,3.0
12.0 oz. Alumi-Tek,0.05%,1303,348,3.0
12.0 oz.,0.07,1304,26,11.0
12.0 oz,0.082,1305,76,3.0
12.0 oz.,0.06%,1306,178,8.0
12.0 oz,0.05%,1307,131,14.0
12.0 OZ.,0.068,1308,523,1.0
12.0 ounce,0.055,1309,55,27.0
12.0 oz,0.045,1310,158,16.0
12.0 oz.,0.057,1311,125,9.0
12.0 oz,0.062,1312,342,5.0
12.0 ounce,0.037,1313,524,1.0
12.0 oz.,0.037,1314,525,2.0
12.0 oz.,0.037,1315,525,2.0
16.0 OZ.,0.069%,1316,526,1.0
16.0 oz.,0.069,1317,45,6.0
16.0 ounce,0.069,1318,527,1.0
19.2 oz,0.072,1319,528,1.0
12.0 OZ.,0.072,1320,529,1.0
12.0 oz.,0.042%,1321,319,4.0
12.0 oz.,0.052,1322,326,11.0
12.0 oz,0.052,1323,114,17.0
12.0 ounce,0.054,1324,160,6.0
12.0 oz,0.053%,1325,530,2.0
12.0 ounce,0.053,1326,531,3.0
12.0 oz.,0.071,1327,448,3.0
12.0 oz,0.053,1328,120,11.0
12.0 oz.,0.056,1329,101,14.0
12.0 oz.,0.063,1330,458,4.0
12.0 oz.,0.063,1331,458,4.0
12.0 oz.,0.048,1332,231,14.0
12.0 ounce,0.05%,1333,208,15.0
12.0 oz.,0.057%,1334,177,6.0
16.0 oz.,0.08%,1335,532,2.0
16.0 oz.,0.075,1336,189,7.0
16.0 ounce,0.06,1337,102,7.0
