journal_title,original_index,unique_index,count
Business Wire,699,536,1.0
,700,3,
"Respirology (Carlton, Vic.)",701,537,1.0
Cochrane Database Syst Rev,702,15,2.0
,703,3,
BioMed research international,704,288,2.0
J Appl Physiol,705,538,1.0
Annals of medicine,706,539,1.0
European journal of clinical nutrition,707,540,1.0
Journal of personality and social psychology,708,541,1.0
J Hand Surg Am,709,542,3.0
Physiotherapy Theory and Practice,710,543,1.0
,711,3,
BMC neurology,712,544,1.0
,713,3,
Nicotine & Tobacco Research,714,545,1.0
Pharmacy practice,715,546,1.0
NeuroRehabilitation,716,547,1.0
Microsurgery,717,548,1.0
International Journal of Neuroscience,718,549,1.0
Bjog,719,550,1.0
Behaviour Research and Therapy,720,551,1.0
J Pediatr (Rio J),721,552,1.0
Journal of Cardiovascular Electrophysiology,722,553,1.0
Molecular plant pathology,723,554,1.0
,724,3,
,725,3,
,726,3,
,727,3,
Bioelectromagnetics,728,555,2.0
Journal of Mathematics Teacher Education,729,556,1.0
,730,3,
Occupational and environmental medicine,731,557,1.0
J. Clin. Psychiatry,732,558,1.0
,733,3,
"Violencia contra a crianca: revelando o perfil dos atendimentos em servicos de emergencia, Brasil, 2006 e 2007.",734,559,1.0
Birth,735,560,1.0
Journal of addictive diseases,736,561,1.0
Psychosomatic medicine,737,562,1.0
J. Clin. Oncol.,738,563,1.0
J Hosp Infect,739,564,1.0
Australian and New Zealand Journal of Psychiatry,740,565,1.0
,741,3,
,742,3,
,743,3,
DEV. BIOL. STAND.,744,566,1.0
Circulation,745,497,4.0
Ann Rheum Dis,746,567,2.0
,747,3,
Hawaii J Med Public Health,748,568,1.0
"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz",749,569,1.0
,750,3,
Diabetes forecast,751,570,1.0
,752,3,
Biomedical reports,753,571,1.0
Nihon Koshu Eisei Zasshi,754,572,1.0
Am J Health Syst Pharm,755,573,1.0
Oncology nursing forum,756,574,1.0
,757,3,
Nurs Stand,758,575,1.0
Value Health,759,576,1.0
EXPERIMENTAL CELL RESEARCH,760,577,1.0
Leukemia & Lymphoma,761,578,1.0
RADIOLOGY,762,579,1.0
,763,3,
Headache,764,580,1.0
Res Nurs Health,765,581,1.0
,766,3,
No shinkei geka. Neurological surgery,767,582,1.0
Circulation journal : official journal of the Japanese Circulation Society,768,583,1.0
PLoS One,769,25,6.0
Pr̩vention de l'insuffisance r̩nale induite par les produits de contrnste iodes,770,584,1.0
Ann. Hematol.,771,585,1.0
Journal of the National Cancer Institute,772,158,3.0
"AIDS (London, England)",773,586,1.0
"Oral surgery, oral medicine, and oral pathology",774,587,1.0
Arch Intern Med,775,588,1.0
,776,3,
,777,3,
,778,3,
Operative dentistry,779,589,1.0
Mov Disord,780,590,1.0
Psychological assessment,781,591,1.0
,782,3,
Turkish Online Journal of Educational Technology - TOJET,783,592,1.0
Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,784,451,2.0
European Journal of Cancer,785,593,1.0
Indian Journal of Psychiatry,786,594,1.0
Stomatologii��a,787,595,1.0
BMC medicine,788,596,1.0
,789,3,
"Oral surgery, oral medicine, oral pathology and oral radiology",790,597,1.0
"Journal of cardiovascular medicine (Hagerstown, Md.)",791,347,2.0
"Exposicion severa a plomo ambiental en una poblacion infantil de Antofagasta, Chile.",792,598,1.0
Critical Care Nurse,793,599,1.0
"Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine",794,600,1.0
Journal of clinical epidemiology,795,601,1.0
,796,3,
J Hand Surg Am,797,542,3.0
,798,3,
European journal of preventive cardiology,799,602,1.0
Journal of the National Cancer Institute,800,158,3.0
Alcohol Research & Health,801,603,1.0
,802,3,
European Journal of Cancer Care,803,604,1.0
Brain and Language,804,605,1.0
Chin. J. Evid.-Based Med.,805,606,1.0
Angewandte Chemie (International ed. in English),806,607,1.0
Cardiology in the young,807,207,3.0
Issues Ment Health Nurs,808,608,1.0
Das Mikorklima der Wohnungen und seine hygienische Normierung.,809,609,1.0
,810,3,
,811,3,
,812,3,
Acta clinica Belgica,813,610,1.0
Journal of Biological Chemistry,814,611,1.0
,815,3,
Journal of Oral & Maxillofacial Surgery,816,612,1.0
Acta Endocrinologica. Supplementum,817,613,1.0
,818,3,
Crit. Care Med.,819,614,1.0
,820,3,
"Obesity (Silver Spring, Md.)",821,144,2.0
,822,3,
JAMA internal medicine,823,615,1.0
Journal of hypertension,824,616,1.0
Thorax,825,617,1.0
International Medicine & Health Guidance News [Guo Ji Yi Yao Wei Sheng Dao Bao],826,618,1.0
Journal of the American Geriatrics Society,827,109,2.0
,828,3,
World journal for pediatric & congenital heart surgery,829,619,1.0
,830,3,
CANCER,831,61,2.0
,832,3,
The American journal of medicine,833,620,1.0
Intensive care medicine,834,621,1.0
Clinical & Translational Oncology: Official Publication of the Federation of Spanish Oncology Societes & of the National Cancer Institute of Mexico,835,622,1.0
Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,836,623,1.0
Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology,837,624,1.0
"Shock (Augusta, Ga.)",838,625,1.0
,839,3,
,840,3,
The New England journal of medicine,841,626,1.0
Foot Ankle Int,842,627,1.0
Military Medicine,843,628,1.0
,844,3,
Focus on Alternative and Complementary Therapies,845,135,2.0
Int J Surg,846,629,1.0
,847,3,
Ann Rheum Dis,848,567,2.0
,849,3,
International Journal of Oral & Maxillofacial Implants,850,630,1.0
,851,3,
Circulation,852,497,4.0
Human gene therapy,853,631,1.0
Respiration; international review of thoracic diseases,854,32,2.0
,855,3,
,856,3,
Circulation,857,497,4.0
Pediatrics,858,311,5.0
Value in Health,859,481,2.0
European respiratory journal,860,632,2.0
Oral diseases,861,633,1.0
Prediccion de la masa muscular apendicular esqueletica basado en mediciones antropometricas en Adultos Mayores Chilenos.,862,634,1.0
"Tratamiento antibiotico intravenoso domiciliario del absceso hepatico: seguridad, eficacia y factores pronosticos de reingreso hospitalario.",863,635,1.0
,864,3,
Pediatrics,865,311,5.0
Cochrane Database Syst. Rev.,866,42,3.0
Cancer chemotherapy and pharmacology,867,90,2.0
Japanese Journal of Clinical Oncology,868,636,1.0
,869,3,
Pediatric Infectious Disease Journal,870,637,1.0
Bmj Open,871,638,1.0
The Behavioral and brain sciences,872,639,1.0
,873,3,
Archives of gynecology and obstetrics,874,640,1.0
,875,3,
,876,3,
,877,3,
Psychological medicine,878,641,1.0
Academic Medicine: Journal Of The Association Of American Medical Colleges,879,642,1.0
Nepal Medical College journal : NMCJ,880,67,2.0
Journal of Psychopharmacology,881,643,1.0
Cost Effectiveness and Resource Allocation,882,644,1.0
Nippon Seikeigeka Gakkai zasshi,883,645,1.0
"Basic Rights: Subsistence, Affluence and U.S. Foreign Policy",884,646,1.0
,885,3,
,886,3,
Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,887,477,2.0
PLoS One,888,25,6.0
Pain practice,889,647,1.0
"Child: Care, Health & Development",890,648,1.0
J Hand Surg Am,891,542,3.0
,892,3,
The European respiratory journal,893,479,2.0
,894,3,
Sci Eng Ethics,895,649,1.0
British journal of clinical pharmacology,896,650,1.0
,897,3,
,898,3,
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,899,651,1.0
Anesthesiology,900,652,1.0
,901,3,
Reviews in endocrine & metabolic disorders,902,653,1.0
Autonomic Neuroscience: Basic and Clinical,903,654,1.0
Chest,904,216,3.0
Hospital practice (1995),905,655,1.0
ProQuest LLC,906,165,2.0
The journal of ECT,907,656,1.0
Integrative Physiological and Behavioral Science,908,657,1.0
Cancer,909,327,2.0
Proceedings of the National Academy of Sciences of the United States of America,910,658,1.0
PLoS medicine,911,659,1.0
Psychology of Women Quarterly,912,660,1.0
European journal of radiology,913,661,1.0
Psycho-oncology,914,91,2.0
Bioelectromagnetics,915,555,2.0
,916,3,
Journal of the American College of Cardiology,917,662,1.0
Anaesthesia,918,663,1.0
JAMA neurology,919,664,1.0
La Pediatria medica e chirurgica : Medical and surgical pediatrics,920,665,1.0
Drug Topics,921,666,1.0
European respiratory journal,922,632,2.0
J. Chin. Integr. Med.,923,667,1.0
European Journal Of Anaesthesiology,924,455,2.0
Functional Neurology,925,140,2.0
Medical Teacher,926,668,1.0
Pediatrics,927,311,5.0
,928,3,
Neurosurgical Focus,929,669,1.0
International journal of medical informatics,930,670,1.0
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,931,20,2.0
,932,3,
,933,3,
,934,3,
JRSM open,935,671,1.0
Am J Crit Care,936,672,1.0
J Surg Res,937,673,1.0
Clin Nutr,938,674,1.0
Chronic Illness,939,675,1.0
Pharmacogenomics,940,457,2.0
Tech Coloproctol,941,676,1.0
Am. J. Ther.,942,677,1.0
Aging Ment Health,943,678,1.0
Journal of environmental monitoring : JEM,944,679,1.0
,945,3,
Journal of Consulting and Clinical Psychology,946,178,2.0
,947,3,
,948,3,
,949,3,
PloS one,950,680,1.0
,951,3,
,952,3,
International journal of obesity (2005),953,434,2.0
Neuropsychopharmacology,954,681,1.0
J. Thromb. Haemost.,955,682,1.0
Journal of Environmental Psychology,956,683,1.0
Current opinion in pediatrics,957,684,1.0
Annals of internal medicine,958,294,2.0
European journal of pediatrics,959,685,1.0
Journal of Rheumatology,960,686,1.0
Phytotherapy research : PTR,961,687,1.0
Gait & Posture,962,688,1.0
Current Opinion in Infectious Diseases,963,689,1.0
Brain and behavior,964,690,1.0
"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",965,691,1.0
Laryngo- rhino- otologie,966,692,1.0
Journal of health care for the poor and underserved,967,693,1.0
Acta paediatrica Scandinavica. Supplement,968,694,1.0
Journal of Neurotrauma,969,695,1.0
Pain Practice,970,696,1.0
JOURNAL OF CELL BIOLOGY,971,697,1.0
Am. J. Cardiovasc. Drugs,972,698,1.0
Planta,973,699,1.0
Surgical infections,974,700,1.0
Steroids,975,701,1.0
,976,3,
The Journal of antimicrobial chemotherapy,977,702,1.0
GeneReviews(R),978,703,1.0
Endocrinology,979,182,2.0
Proceedings of SPIE - The International Society for Optical Engineering,980,704,1.0
Clin Obstet Gynecol,981,705,1.0
Int J Epidemiol,982,706,1.0
Am J Clin Nutr,983,340,3.0
Biology of Blood and Marrow Transplantation,984,707,1.0
British Journal of Anaesthesia,985,708,1.0
,986,3,
J Hum Hypertens,987,709,1.0
,988,3,
"Acta radiologica (Stockholm, Sweden : 1987)",989,710,1.0
Am J Clin Nutr,990,340,3.0
American journal of respiratory and critical care medicine,991,6,2.0
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,992,241,3.0
CLINICAL TRIALS,993,711,1.0
Burns : journal of the International Society for Burn Injuries,994,712,1.0
Am Rev Respir Dis,995,713,1.0
Review of Scientific Instruments,996,714,1.0
Female pelvic medicine & reconstructive surgery,997,715,1.0
International Journal of Colorectal Disease,998,716,1.0
European Journal of Health Economics,999,717,1.0
