MeasureName,Stateavg,original_index,unique_index
pneumonia patients assessed and given influenza vaccination,al_pn-7,339,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,340,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,341,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,342,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,343,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,344,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,345,5
surgery pxtients whose doctors ordered trextments to prevent blood clots xfter certxin types of surgeries,al_scip-vte-1,346,45
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scipxvtex2,347,46
heart attack patients given aspirin at arrival,al_ami-1,348,8
heart attack patients given aspirin at discharge,al_ami-2,349,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,350,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,351,11
heart attack patients given beta blocker at discharge,al_ami-5,352,12
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,353,7
heart attack patients given aspirin at arrival,al_ami-1,354,8
heart attack patients given aspirin at discharge,al_ami-2,355,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,356,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,357,11
heart attack patients given beta blocker at discharge,al_ami-5,358,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,359,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,360,14
heart failure patients given discharge instructions,al_hf-1,361,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,362,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,363,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,364,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,365,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,366,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,367,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,368,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,369,23
pneumonia patients assessed and given influenza vaccination,alxpn-7,370,47
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,371,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,372,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_sxip-inf-2,373,34
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,374,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,375,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,376,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,377,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,378,7
heart attack patients given aspirin at arrival,al_ami-1,379,8
heaxt attack patients given aspixin at dischaxge,al_ami-2,380,48
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,381,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,382,11
heart attack patients given beta blocker at discharge,al_ami-5,383,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,384,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,385,14
heart failure patients given discharge instructions,al_hf-1,386,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hx-2,387,49
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,388,17
heart xailure patients given smoking cessation advice/counseling,al_hf-4,389,50
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,390,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,391,20
heart attack patients given aspirin at discharge,al_ami-2,392,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,393,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,394,11
heart attack patients given beta blocker at discharge,al_ami-5,395,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,396,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,397,14
heart failure patients given discharge instructions,al_hf-1,398,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,399,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,400,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,401,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,402,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,403,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,404,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,405,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,406,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,407,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,408,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,409,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,410,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,411,3
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,412,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,413,7
heart attack patients given aspirin at arrival,al_ami-1,414,8
heart attack patients given aspirin at discharge,al_ami-2,415,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,416,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,417,11
heart attack patients given beta blocker at discharge,al_ami-5,418,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,419,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,420,14
heart failure patients given discharge instructions,al_hf-1,421,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,422,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,423,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,424,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,425,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,426,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,427,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,428,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,429,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,430,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,431,25
heart failure patients given discharge instructions,ak_hf-1,432,51
heart failure patients given an evaluation of left ventricular systolic (lvs) function,ak_hf-2,433,52
heart faxlure patxents gxven ace inhxbxtor or arb for left ventrxcular systolxc dysfunctxon (lvsd),ak_hf-3,434,53
heart failure patients given smoking cessation advice/counseling,ak_hf-4,435,54
pneumonia patients assessed and given pneumococcal vaccination,ak_pn-2,436,55
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,ak_pn-3b,437,56
pneumonia patients given smoking cessation advice/counseling,ak_pn-4,438,57
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,ak_pn-5c,439,58
pneumonia patients given the most appropriate initial antibiotic(s),ak_pn-6,440,59
pneumonia patients assessed and given influenza vaccination,ak_pn-7,441,60
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,ak_scip-card-2,442,61
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,ak_scip-inf-1,443,62
surgery patients who were given the  right kind  of antibiotic to help prevent infection,ak_scip-inf-2,444,63
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),ak_scip-inf-3,445,64
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,ak_scip-inf-4,446,65
surgeryxpatientsxneedingxhairxremovedxfromxthexsurgicalxareaxbeforexsurgery& xwhoxhadxhairxremovedxusingxaxsaferxmethodx(electricxclippersxorxhairxremovalxcreamxï¿½cxnotxaxrazor),ak_scip-inf-6,447,66
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,ak_scip-vte-1,448,67
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,ak_scip-vte-2,449,68
heart attack patients given aspirin at arrival,ak_ami-1,450,69
heart attack patients given aspirin at discharge,ak_ami-2,451,70
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,452,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,453,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,454,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,455,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,456,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,457,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,458,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,459,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,460,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,461,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,462,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,463,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,464,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,465,7
heart attack patients given aspirin at arrival,al_ami-1,466,8
heart attack patients given aspirin at discharge,al_ami-2,467,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,468,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,469,11
heart attack patients given beta blocker at discharge,al_ami-5,470,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,471,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,472,14
heaxt failuxe patients given dischaxge instxuctions,al_hf-1,473,71
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,474,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,475,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,476,18
pneumonia patients assessed and given pneumococcal vaccination,ax_pn-2,477,72
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,478,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,479,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,480,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,481,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,482,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,483,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,484,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,485,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,486,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,487,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,488,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,489,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,490,7
heart attack patients given aspirin at arrival,al_ami-1,491,8
heart attack patients given aspirin at discharge,al_ami-2,492,9
hxart attack patixnts givxn ace inhibitor or arb for lxft vxntricular systolic dysfunction (lvsd),al_ami-3,493,73
heart attack patients given smoking cessation advice/counseling,al_ami-4,494,11
heart attack patients given beta blocker at discharge,al_ami-5,495,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,496,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,497,14
heart failure patients given discharge instructions,al_hf-1,498,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,499,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,500,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,501,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,502,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,503,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,504,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,505,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,506,23
pneumonix pxtients assessed xnd given influenzx vxccinxtion,al_pn-7,507,74
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,508,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,509,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,510,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,511,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,512,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,513,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,514,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,515,7
heart attack patients given aspirin at arrival,al_ami-1,516,8
heart attack patients given aspirin at discharge,al_ami-2,517,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,518,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,519,11
heart attack patients given beta blocker at discharge,al_ami-5,520,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,521,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,522,14
heart failure patients given discharge instructions,al_hf-1,523,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,524,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,525,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,526,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,527,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,528,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,529,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,530,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,531,23
pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox,al_pn-7,532,75
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,533,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,534,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,535,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,536,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,537,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,538,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,539,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,540,7
hexrt attxck pxtients given aspirin xt arrivxl,al_ami-1,541,76
heart attack patients given aspirin at discharge,al_ami-2,542,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,543,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,544,11
heaxt attack patients given beta blockex at dischaxge,al_ami-5,545,77
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,546,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,547,14
heart failure patients given discharge instructions,al_hf-1,548,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,549,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,550,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,551,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,552,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,553,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,554,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5x,555,78
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,556,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,557,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,558,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,559,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,560,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,561,3
allxheartxsurgeryxpatientsxwhosexbloodxsugarx(bloodxglucose)xisxkeptxunderxgoodxcontrolxinxthexdaysxrightxafterxsurgery,al_scip-inf-4,562,79
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,563,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scipxvtex1,564,80
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,565,7
heart attack patients given aspirin at arrival,al_ami-1,566,8
heart attack patients given aspirin at discharge,xl_xmi-2,567,81
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,568,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,569,11
heart attack patients given beta blocker at discharge,al_ami-5,570,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,571,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,572,14
heart failure patients given discharge instructions,al_hf-1,573,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,574,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,575,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,576,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,577,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,578,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,579,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,580,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,581,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,582,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,583,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,584,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,585,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,586,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,587,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,588,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,589,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,590,7
heart attack patients given aspirin at arrival,al_ami-1,591,8
heart attack patients given aspirin at discharge,al_ami-2,592,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,593,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,594,11
heart attack patients given beta blocker at discharge,al_ami-5,595,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,596,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,597,14
heart failure patients given discharge instructions,al_hf-1,598,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,599,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,600,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,601,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,602,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,603,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,604,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,605,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,606,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,607,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,608,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,609,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,610,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,611,3
all heaxt suxgexy patients whose blood sugax (blood glucose) is kept undex good contxol in the days xight aftex suxgexy,al_scip-inf-4,612,82
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,613,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,614,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,615,7
heart attack patients given aspirin at arrival,al_ami-1,616,8
heart attack patients given aspirin at discharge,al_ami-2,617,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,618,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,619,11
heart attack patients given beta blocker at discharge,al_ami-5,620,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,621,13
heart attack patients given pci within 90 minutes of arrival,al_amix8a,622,83
heart failure patients given discharge instructions,al_hf-1,623,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,624,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,625,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,626,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,627,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,628,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,629,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,630,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,631,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,632,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,633,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,634,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,635,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,636,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,637,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,638,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,639,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,640,7
heart attack patients given aspirin at arrival,al_ami-1,641,8
heart attack patients given aspirin at discharge,al_ami-2,642,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,643,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,644,11
heart attack patients given beta blocker at discharge,al_ami-5,645,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,alxami-7a,646,84
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,647,14
heart failure patients given discharge instructions,al_hf-1,648,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,649,16
heart failure patients given ace inhibitor or arb for left xentricular systolic dysfunction (lxsd),al_hf-3,650,85
heart faxlure patxents gxven smokxng cessatxon advxce/counselxng,al_hf-4,651,86
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,652,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,653,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,654,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,655,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,656,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,657,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,658,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,659,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,660,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,661,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,662,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,663,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,664,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,665,7
heart attack patients given aspirin at arrival,al_ami-1,666,8
heart attack patients given aspirin at discharge,al_ami-2,667,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,668,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,669,11
heart attack patients given beta blocker at discharge,al_ami-5,670,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,671,13
heartxattackxpatientsxgivenxpcixwithinx90xminutesxofxarrival,al_ami-8a,672,87
