beer_name,brewery_name,original_index,unique_index,count
Caldera IPA (2007),Caldera Brewing Company,510,498,1
Caldera Pale Ale (2010),Caldera Brewing Company,511,499,1
Caldera Pale Ale (2009),Caldera Brewing Company,512,500,1
Caldera Pale Ale (2005),Caldera Brewing Company,513,501,1
Caldera Pale Ale (2007),Caldera Brewing Company,514,502,1
Caldera Pale Ale (2011),Caldera Brewing Company,515,503,1
Ashland Amber Ale,Caldera Brewing Company,516,504,1
Caldera IPA,Caldera Brewing Company,517,505,1
Remain in Light,Cambridge Brewing Company,518,506,1
Flower Child (2014),Cambridge Brewing Company,519,507,1
THP White (2006),Cans Bar and Canteen,520,508,1
THP Amber (2006),Cans Bar and Canteen,521,509,1
THP Light (2006),Cans Bar and Canteen,522,510,1
THP Dark (2006),Cans Bar and Canteen,523,511,1
Imperial Pumpkin Stout,Cape Ann Brewing Company,524,512,1
Dead-Eye DIPA,Cape Ann Brewing Company,525,513,1
Fisherman's IPA,Cape Ann Brewing Company,526,514,1
Fisherman's Pils,Cape Ann Brewing Company,527,515,1
Fisherman's Brew,Cape Ann Brewing Company,528,516,1
Cape Cod Red,Cape Cod Beer,529,517,1
Beach Blonde,Cape Cod Beer,530,518,1
Dark Voyage Black IPA (2013),Capital Brewery,531,519,1
Wisconsin Amber,Capital Brewery,532,520,1
Lake House,Capital Brewery,533,521,2
Ghost Ship White IPA,Capital Brewery,534,522,1
Lake House,Capital Brewery,535,521,2
Mutiny IPA,Capital Brewery,536,523,1
Wisconsin Amber (1998),Capital Brewery,537,524,1
Island Wheat,Capital Brewery,538,525,1
Wisconsin Amber (2013),Capital Brewery,539,526,1
U.S. Pale Ale,Capital Brewery,540,527,1
Supper Club Lager,Capital Brewery,541,528,1
Carolina Lighthouse (2007),Carolina Beer & Beverage,542,529,1
Carolina Blonde (2006),Carolina Beer & Beverage,543,530,1
Carolina Blonde Light (2005),Carolina Beer & Beverage,544,531,1
Santa's Secret,Carolina Brewery,545,532,1
Flagship IPA,Carolina Brewery,546,533,1
Sky Blue Golden Ale,Carolina Brewery,547,534,1
Epitome,Carton Brewing Company,548,535,1
Monkey Chased the Weasel,Carton Brewing Company,549,536,1
077XX,Carton Brewing Company,550,537,1
Boat Beer,Carton Brewing Company,551,538,1
Granny Smith Hard Apple Cider,Cascadia Ciderworks United,552,539,1
Dry Hard Apple Cider,Cascadia Ciderworks United,553,540,1
Farmer Ted's Cream Ale,Catawba Brewing Company,554,541,1
Firewater India Pale Ale,Catawba Brewing Company,555,542,2
White Zombie Ale,Catawba Brewing Company,556,543,2
King Winterbolt Winter Ale,Catawba Brewing Company,557,544,1
White Zombie Ale,Catawba Brewing Company,558,543,2
Firewater India Pale Ale,Catawba Brewing Company,559,542,2
Farmer Ted's Farmhouse Cream Ale,Catawba Brewing Company,560,545,1
Whitecap Wit,Catawba Island Brewing,561,546,1
Seiche Scottish Ale,Catawba Island Brewing,562,547,1
Peanut Butter Jelly Time,Catawba Valley Brewing Company,563,548,1
King Coconut,Catawba Valley Brewing Company,564,549,1
Gone A-Rye,Cedar Creek Brewery,565,550,1
Special Release,Cedar Creek Brewery,566,551,1
Dankosaurus,Cedar Creek Brewery,567,552,1
Scruffy's Smoked Alt,Cedar Creek Brewery,568,553,1
Elliott's Phoned Home Pale Ale,Cedar Creek Brewery,569,554,1
The Lawn Ranger,Cedar Creek Brewery,570,555,1
All American Blonde Ale,Centennial Beer Company,571,556,1
All American Red Ale,Centennial Beer Company,572,557,1
Main St. Virginia Ale,Center of the Universe Brewing C...,573,558,2
Chin Music Amber Lager,Center of the Universe Brewing C...,574,559,1
Main St. Virginia Ale,Center of the Universe Brewing C...,575,558,2
Ray Ray’s Pale Ale,Center of the Universe Brewing C...,576,560,1
Chai Ale,Central Coast Brewing Company,577,561,1
Lucky Day IPA,Central Coast Brewing Company,578,562,1
Terrace Hill Double IPA,Central Coast Brewing Company,579,563,1
Catch 23,Central Coast Brewing Company,580,564,1
Stickin' In My Rye,Champion Brewing Company,581,565,1
Black Me Stout,Champion Brewing Company,582,566,1
Killer Kolsch,Champion Brewing Company,583,567,1
Missile IPA,Champion Brewing Company,584,568,1
Enlighten,Chapman's Brewing,585,569,1
Ale Cider,Chapman's Brewing,586,570,1
Pail Ale,Chapman's Brewing,587,571,1
Englishman,Chapman's Brewing,588,572,1
8 Barrel,Chatham Brewing,589,573,1
Oktoberfest,Chatham Brewing,590,574,1
IPA #11,Cheboygan Brewing Company,591,575,1
Blood Orange Honey,Cheboygan Brewing Company,592,576,1
Lighthouse Amber,Cheboygan Brewing Company,593,577,1
Bay of Bengal Double IPA (2014),Christian Moerlein Brewing Company,594,578,1
Churchkey Pilsner Style Beer,Churchkey Can Company,595,579,1
First Press,Ciderboys,596,580,1
Magic Apple,Ciderboys,597,581,1
Cubano Espresso,Cigar City Brewing Company,598,582,1
Operation Homefront,Cigar City Brewing Company,599,583,1
Wandering Pelican,Cigar City Brewing Company,600,584,1
Sugar Plum,Cigar City Brewing Company,601,585,1
Oktoberfest,Cigar City Brewing Company,602,586,1
Puppy's Breath Porter,Cigar City Brewing Company,603,587,1
Happening Now,Cigar City Brewing Company,604,588,1
Hopped on the High Seas (Hop #529),Cigar City Brewing Company,605,589,1
Hopped on the High Seas (Calypso),Cigar City Brewing Company,606,590,1
Wiregrass Post-Prohibition Ale,Cigar City Brewing Company,607,591,1
Dry-Hopped On The High Seas Caribbean-Style IPA,Cigar City Brewing Company,608,592,1
Hopped on the High Seas (Citra),Cigar City Brewing Company,609,593,1
Hopped on the High Seas (Ahtanum),Cigar City Brewing Company,610,594,1
Gwar Beer,Cigar City Brewing Company,611,595,1
Tropical Heatwave,Cigar City Brewing Company,612,596,1
Humidor Series India Pale Ale,Cigar City Brewing Company,613,597,1
Jai Alai IPA Aged on White Oak,Cigar City Brewing Company,614,598,1
José Martí American Porter,Cigar City Brewing Company,615,599,1
Invasion Pale Ale,Cigar City Brewing Company,616,600,1
Maduro Brown Ale,Cigar City Brewing Company,617,601,2
Maduro Brown Ale,Cigar City Brewing Company,618,601,2
Hotter Than Helles Lager,Cigar City Brewing Company,619,602,1
Tocobaga Red Ale,Cigar City Brewing Company,620,603,1
Jai Alai IPA,Cigar City Brewing Company,621,604,1
Florida Cracker Belgian Wit,Cigar City Brewing Company,622,605,1
Shark Tracker Light lager,Cisco Brewers,623,606,1
Pumple Drumkin,Cisco Brewers,624,607,1
Grey Lady,Cisco Brewers,625,608,1
Summer of Lager,Cisco Brewers,626,609,1
Indie Pale Ale,Cisco Brewers,627,610,1
Sankaty Light Lager,Cisco Brewers,628,611,1
Whale's Tale Pale Ale,Cisco Brewers,629,612,1
Jacaranada Rye IPA,Claremont Craft Ales,630,613,1
Cascadian Dark Ale,Coalition Brewing Company,631,614,1
Wheat the People,Coalition Brewing Company,632,615,1
Tybee Island Blonde,Coastal Empire Beer Company,633,616,1
Savannah Brown Ale,Coastal Empire Beer Company,634,617,1
Rhode Island Blueberry,Coastal Extreme Brewing Company,635,618,1
Newport Storm IPA,Coastal Extreme Brewing Company,636,619,1
Hurricane Amber Ale (2004),Coastal Extreme Brewing Company,637,620,1
Hurricane Amber Ale,Coastal Extreme Brewing Company,638,621,1
Big Blue Van,College Street Brewhouse and Pub,639,622,1
Des Moines IPA,Confluence Brewing Company,640,623,1
Capital Gold Golden Lager,Confluence Brewing Company,641,624,1
Farmer John's Multi-Grain Ale,Confluence Brewing Company,642,625,1
Behemoth,Core Brewing & Distilling Company,643,626,1
Arkansas Red,Core Brewing & Distilling Company,644,627,1
Core Oatmeal Stout,Core Brewing & Distilling Company,645,628,1
Core ESB,Core Brewing & Distilling Company,646,629,1
Chester's Beer (2005),Cottrell Brewing,647,630,1
Heiner Brau Kölsch,Covington Brewhouse,648,631,1
Trigger Blonde Ale,Crabtree Brewing Company,649,632,1
Crabtree Oatmeal Stout,Crabtree Brewing Company,650,633,1
Eclipse Black IPA,Crabtree Brewing Company,651,634,1
Neomexicanus Native,Crazy Mountain Brewing Company,652,635,1
Old Soul,Crazy Mountain Brewing Company,653,636,1
Snowcat Coffee Stout,Crazy Mountain Brewing Company,654,637,1
WinterWonderGrass Festival Ale,Crazy Mountain Brewing Company,655,638,1
Boohai Red Ale,Crazy Mountain Brewing Company,656,639,1
Lava Lake Wit,Crazy Mountain Brewing Company,657,640,1
Mountain Livin' Pale Ale,Crazy Mountain Brewing Company,658,641,1
Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,659,642,1
Tropicalia,Creature Comforts,660,643,1
Athena,Creature Comforts,661,644,1
Aviator Raspberry Blonde,Crooked Fence Brewing Company,662,645,1
3 Picket Porter,Crooked Fence Brewing Company,663,646,1
Rusty Nail Pale Ale,Crooked Fence Brewing Company,664,647,1
Red Water Irish Style Red,Crow Peak Brewing Company,665,648,1
Mjöllnir,Crow Peak Brewing Company,666,649,1
Bear Butte Nut Brown Ale,Crow Peak Brewing Company,667,650,1
Easy Livin' Summer Ale,Crow Peak Brewing Company,668,651,1
Canyon Cream Ale,Crow Peak Brewing Company,669,652,1
Pile O'Dirt Porter,Crow Peak Brewing Company,670,653,1
11th Hour IPA,Crow Peak Brewing Company,671,654,1
South Ridge Amber Ale,Crystal Springs Brewing Company,672,655,1
Summertime Ale,Crystal Springs Brewing Company,673,656,1
Lost River Blonde Ale,Cutters Brewing Company,674,657,1
Monon Wheat,Cutters Brewing Company,675,658,1
Floyd's Folly,Cutters Brewing Company,676,659,1
Half Court IPA,Cutters Brewing Company,677,660,1
Geary's Pale Ale,D.L. Geary Brewing Company,678,661,1
Geary's Summer Ale,D.L. Geary Brewing Company,679,662,1
Stone of Arbroath,DC Brau Brewing Company,680,663,1
The Tradition,DC Brau Brewing Company,681,664,1
El Hefe Speaks,DC Brau Brewing Company,682,665,1
Penn Quarter Porter,DC Brau Brewing Company,683,666,1
On the Wings of Armageddon,DC Brau Brewing Company,684,667,1
The Corruption,DC Brau Brewing Company,685,668,1
The Citizen,DC Brau Brewing Company,686,669,1
The Public,DC Brau Brewing Company,687,670,1
Dank IPA,Dad & Dude's Breweria,688,671,1
Dank IPA (2012),Dad & Dude's Breweria,689,672,1
Lift Off IPA,Daredevil Brewing Company,690,673,1
BrewFarm Select Golden Lager,Dave's Brewfarm,691,674,1
Sprocket Blonde Ale (2006),David's Ale Works,692,675,1
Sprocket Pale Ale (2006),David's Ale Works,693,676,1
Dead Armadillo Amber Ale,Dead Armadillo Craft Brewing,694,677,1
Neato Bandito,Deep Ellum Brewing Company,695,678,1
Oak Cliff Coffee Ale,Deep Ellum Brewing Company,696,679,1
Dream Crusher Double IPA,Deep Ellum Brewing Company,697,680,1
Deep Ellum Pale Ale,Deep Ellum Brewing Company,698,681,1
Double Brown Stout,Deep Ellum Brewing Company,699,682,1
Farmhouse Wit,Deep Ellum Brewing Company,700,683,1
Rye Pils Session Lager,Deep Ellum Brewing Company,701,684,1
Dallas Blonde,Deep Ellum Brewing Company,702,685,1
Deep Ellum IPA,Deep Ellum Brewing Company,703,686,1
Thrasher Session India Pale Ale,Defiance Brewing Company,704,687,1
Gutch English Style Mild Ale,Defiance Brewing Company,705,688,1
Chuli Stout,Denali Brewing Company,706,689,1
Mother Ale,Denali Brewing Company,707,690,1
Twister Creek India Pale Ale,Denali Brewing Company,708,691,1
Single Engine Red,Denali Brewing Company,709,692,1
Incredible Pedal IPA,Denver Beer Company,710,693,1
Graham Cracker Porter,Denver Beer Company,711,694,1
Mirror Pond Pale Ale,Deschutes Brewery,712,695,1
Weissenheimer,Destihl Brewery,713,696,1
Abbey's Single (2015- ),Destihl Brewery,714,697,1
Vertex IPA,Destihl Brewery,715,698,1
Here Gose Nothin',Destihl Brewery,716,699,1
Strawberry Blonde,Destihl Brewery,717,700,1
Hoperation Overload,Destihl Brewery,718,701,1
Abbey's Single Ale (Current),Destihl Brewery,719,702,1
Bravo Four Point,Devil's Backbone Brewing Company,720,703,1
Striped Bass Pale Ale,Devil's Backbone Brewing Company,721,704,1
Deadicated Amber,Devil's Canyon Brewery,722,705,1
Kaleidoscope Collaboration 2012,Devil's Canyon Brewery,723,706,1
California Sunshine Rye IPA,Devil's Canyon Brewery,724,707,1
Full Boar Scotch Ale,Devil's Canyon Brewery,725,708,1
12 Man Pale Ale,Dick's Brewing Company,726,709,1
Filthy Hoppin' IPA,Dirty Bucket Brewing Company,727,710,1
Dock Street Amber Beer (1992),Dock Street Brewery,728,711,1
Dolores River Hefeweizen,Dolores River Brewery,729,712,1
Dolores River ESB,Dolores River Brewery,730,713,1
Snaggletooth Double Pale Ale,Dolores River Brewery,731,714,1
Dolores River Pale Ale,Dolores River Brewery,732,715,1
Dolores River Dry Stout,Dolores River Brewery,733,716,1
Dolores River Mild,Dolores River Brewery,734,717,1
Cranberry Blend,Downeast Cider House,735,718,1
Orignal Blend,Downeast Cider House,736,719,1
Hop Abomination,Dry Dock Brewing Company,737,720,1
Apricot Blonde,Dry Dock Brewing Company,738,721,1
Dry Dock Hefeweizen,Dry Dock Brewing Company,739,722,1
Dry Dock Amber Ale,Dry Dock Brewing Company,740,723,1
Category 3 IPA,Due South Brewing Company,741,724,1
Dundee Summer Wheat Beer,Dundee Brewing Company,742,725,1
Pumpkin Patch Ale,Eddyline Brewery & Restaurant,743,726,1
Crank Yanker IPA,Eddyline Brewery & Restaurant,744,727,1
River Runners Pale Ale,Eddyline Brewery & Restaurant,745,728,1
Pumpkin Patch Ale (2012),Eddyline Brewery & Restaurant,746,729,1
Mountain Fairy Raspberry Wheat,Eddyline Brewery & Restaurant,747,730,1
Boater Beer,Eddyline Brewery & Restaurant,748,731,1
Crank Yanker IPA (2011),Eddyline Brewery & Restaurant,749,732,1
Bleeding Buckeye Red Ale,Elevator Brewing Company,750,733,1
Dottie Seattle Lager,Emerald City Beer Company,751,734,1
Nut Sack Imperial Brown Ale,Engine 15 Brewing,752,735,1
Underachiever,Engine House 9,753,736,1
Lil' Brainless Raspberries,Epic Brewing,754,737,1
Element 29,Epic Brewing,755,738,1
Hop Syndrome,Epic Brewing,756,739,1
Escape to Colorado,Epic Brewing,757,740,1
Little Sister India Style Session Ale,Everybody's Brewing,758,741,1
Country Boy IPA,Everybody's Brewing,759,742,1
Blonde Czich,Evil Czech Brewery,760,743,1
White Reaper,Evil Czech Brewery,761,744,1
Bobblehead,Evil Czech Brewery,762,745,1
Lucky Dog,Evil Czech Brewery,763,746,1
Voodoo,Evil Czech Brewery,764,747,1
General George Patton Pilsner,Evil Czech Brewery,765,748,1
Nomader Weiss,Evil Twin Brewing,766,749,1
Molotov Lite,Evil Twin Brewing,767,750,1
Hipster Ale (Two Roads Brewing),Evil Twin Brewing,768,751,1
Bikini Beer,Evil Twin Brewing,769,752,1
Hipster Ale (Westbrook Brewing),Evil Twin Brewing,770,753,1
Iron Horse Pale Ale,Fargo Brewing Company,771,754,1
Stone's Throw IPA,Fargo Brewing Company,772,755,1
Wood Chipper India Pale Ale,Fargo Brewing Company,773,756,1
Trail Head,Fat Head's Brewery,774,757,1
Hop Stalker Fresh Hop IPA,Fat Head's Brewery,775,758,1
Sudice American Stout,Fate Brewing Company,776,759,1
Parcae Belgian Style Pale Ale,Fate Brewing Company,777,760,1
Norns Roggenbier,Fate Brewing Company,778,761,1
Laimas Kölsch Style Ale,Fate Brewing Company,779,762,1
Moirai India Pale Ale,Fate Brewing Company,780,763,1
Loki Red Ale,Fearless Brewing Company,781,764,1
Peaches & Cream,Fearless Brewing Company,782,765,1
Quaff India Style Session Ale,Fearless Brewing Company,783,766,1
Loki Red Ale (2013),Fearless Brewing Company,784,767,1
Mjolnir Imperial IPA,Fearless Brewing Company,785,768,1
Fearless Scottish Ale,Fearless Brewing Company,786,769,1
Mastermind,Fiddlehead Brewing Company,787,770,1
Hyzer Flip,Fiddlehead Brewing Company,788,771,1
Second Fiddle,Fiddlehead Brewing Company,789,772,1
Hodad Porter,Fiddlehead Brewing Company,790,773,1
Weiss Weiss Baby,Figueroa Mountain Brewing Company,791,774,1
Czech Yo Self,Figueroa Mountain Brewing Company,792,775,1
FMB 101,Figueroa Mountain Brewing Company,793,776,1
Hardcore Chimera,Finch's Beer Company,794,777,1
Sobek & Set,Finch's Beer Company,795,778,1
Nuclear Winter,Finch's Beer Company,796,779,1
Wet Hot American Wheat Ale,Finch's Beer Company,797,780,1
Secret Stache Stout,Finch's Beer Company,798,781,1
Fascist Pig Ale,Finch's Beer Company,799,782,1
Cut Throat Pale Ale,Finch's Beer Company,800,783,1
Threadless IPA,Finch's Beer Company,801,784,1
Cut Throat Pale Ale (2011),Finch's Beer Company,802,785,1
Golden Wing Blonde Ale,Finch's Beer Company,803,786,1
Easy Jack,Firestone Walker Brewing Company,804,787,1
Union Jack,Firestone Walker Brewing Company,805,788,1
Pivo Pils,Firestone Walker Brewing Company,806,789,1
805 Blonde Ale,Firestone Walker Brewing Company,807,790,1
805,Firestone Walker Brewing Company,808,791,1
Deflator,Flat 12 Bierwerks,809,792,1
Hinchtown Hammer Down,Flat 12 Bierwerks,810,793,1
Half Cycle IPA,Flat 12 Bierwerks,811,794,1
Inclined Plane Ale,Flat Rock Brewing Company,812,795,1
Moped Traveler,Flesk Brewing Company,813,796,1
Snake Dog IPA,Flying Dog Brewery,814,797,1
Underdog Atlantic Lager,Flying Dog Brewery,815,798,1
Flying Mouse 8,Flying Mouse Brewery,816,799,1
Flying Mouse 4,Flying Mouse Brewery,817,800,1
La Ferme Urbaine Farmhouse Ale,Foolproof Brewing Company,818,801,1
Backyahd IPA,Foolproof Brewing Company,819,802,1
Raincloud Robust Porter,Foolproof Brewing Company,820,803,1
Barstool American Golden Ale,Foolproof Brewing Company,821,804,1
What the Butler Saw,Forgotten Boardwalk,822,805,1
1916 Shore Shiver,Forgotten Boardwalk,823,806,1
Quick WIT,Fort George Brewery,824,807,1
The Optimist,Fort George Brewery,825,808,1
Suicide Squeeze IPA,Fort George Brewery,826,809,1
Java the Hop,Fort George Brewery,827,810,1
Next Adventure Black IPA,Fort George Brewery,828,811,1
3-Way IPA (2013),Fort George Brewery,829,812,1
Tender Loving Empire NWPA,Fort George Brewery,830,813,1
Quick Wit Belgianesque Ale,Fort George Brewery,831,814,1
Sunrise Oatmeal Pale Ale,Fort George Brewery,832,815,1
Cavatica Stout,Fort George Brewery,833,816,1
1811 Lager,Fort George Brewery,834,817,1
Vortex IPA,Fort George Brewery,835,818,1
Fort Pitt Ale,Fort Pitt Brewing Company,836,819,1
Park,Fort Point Beer Company,837,820,1
Westfalia,Fort Point Beer Company,838,821,1
KSA,Fort Point Beer Company,839,822,1
Villager,Fort Point Beer Company,840,823,1
Dirty Bastard,Founders Brewing Company,841,824,1
Centennial IPA,Founders Brewing Company,842,825,1
All Day IPA,Founders Brewing Company,843,826,1
El Chingon IPA,Four Corners Brewing Company,844,827,1
Block Party Robust Porter,Four Corners Brewing Company,845,828,1
Local Buzz,Four Corners Brewing Company,846,829,1
Feel Like Maplin' Love,Four Fathers Brewing,847,830,1
Father's Beer,Four Fathers Brewing,848,831,1
The 26th,Four Fathers Brewing,849,832,1
The Gadget,Four Fathers Brewing,850,833,1
Leprechaun Lager,Four Horsemen Brewing Company,851,834,1
Sunbru Kölsch,Four Peaks Brewing Company,852,835,2
Kilt Lifter Scottish-Style Ale,Four Peaks Brewing Company,853,836,1
Pumpkin Porter,Four Peaks Brewing Company,854,837,1
Four Peaks Peach Ale,Four Peaks Brewing Company,855,838,1
Hop Knot IPA,Four Peaks Brewing Company,856,839,1
Kilt Lifter Scottish-Style Ale (2009),Four Peaks Brewing Company,857,840,1
Sunbru Kölsch,Four Peaks Brewing Company,858,835,2
Four String Vanilla Porter,Four String Brewing Company,859,841,1
Suncaster Summer Wheat,Four String Brewing Company,860,842,1
Brass Knuckle Pale Ale,Four String Brewing Company,861,843,1
Big Star White IPA,Four String Brewing Company,862,844,1
Old Detroit,Frankenmuth Brewery,863,845,1
Batch 69 IPA,Frankenmuth Brewery,864,846,1
Twisted Helles Summer Lager,Frankenmuth Brewery,865,847,1
OktoberFiesta,Freetail Brewing Company,866,848,1
Texicali,Freetail Brewing Company,867,849,1
Pinata Protest,Freetail Brewing Company,868,850,1
Bat Outta Helles,Freetail Brewing Company,869,851,1
Original,Freetail Brewing Company,870,852,1
Rye Wit,Freetail Brewing Company,871,853,1
Soul Doubt,Freetail Brewing Company,872,854,1
Yo Soy Un Berliner,Freetail Brewing Company,873,855,1
77 Fremont Select Spring Session IPA,Fremont Brewing Company,874,856,1
Fremont Organic Pale Ale,Fremont Brewing Company,875,857,1
Abominable Ale,Fremont Brewing Company,876,858,1
Harvest Ale,Fremont Brewing Company,877,859,1
Fremont Summer Ale,Fremont Brewing Company,878,860,1
Universale Pale Ale,Fremont Brewing Company,879,861,1
Interurban IPA,Fremont Brewing Company,880,862,1
Gateway Kolsch Style Ale,French Broad Brewery,881,863,1
Wee-Heavy-Er Scotch Ale,French Broad Brewery,882,864,1
13 Rebels ESB,French Broad Brewery,883,865,1
Salamander Slam,Frog Level Brewing Company,884,866,1
Cack-A-Lacky,Fullsteam Brewery,885,867,1
No Wake IPA,Geneva Lake Brewing Company,886,868,1
Boathouse Blonde,Geneva Lake Brewing Company,887,869,1
Cedar Point,Geneva Lake Brewing Company,888,870,1
Clean Shave IPA,Glabrous Brewing Company,889,871,1
Might As Well IPL,Golden Road Brewing,890,872,1
Saison Pamplemousse,Golden Road Brewing,891,873,1
2020 IPA,Golden Road Brewing,892,874,1
Wolf Among Weeds IPA,Golden Road Brewing,893,875,1
Better Weather IPA,Golden Road Brewing,894,876,1
Point the Way IPA,Golden Road Brewing,895,877,2
Golden Road Hefeweizen,Golden Road Brewing,896,878,1
Heal the Bay IPA,Golden Road Brewing,897,879,1
Point the Way IPA,Golden Road Brewing,898,877,2
Cabrillo Kölsch,Golden Road Brewing,899,880,1
Get Up Offa That Brown,Golden Road Brewing,900,881,1
Burning Bush Smoked IPA,Golden Road Brewing,901,882,1
Wolf Among Weeds IPA (2012),Golden Road Brewing,902,883,1
Point the Way IPA (2012),Golden Road Brewing,903,884,1
Golden Road Hefeweizen (2012),Golden Road Brewing,904,885,1
Vanilla Porter,Gonzo's BiggDogg Brewing,905,886,1
Descender IPA,Good Life Brewing Company,906,887,1
Sweet As Pacific Ale,Good Life Brewing Company,907,888,1
Good People Pale Ale,Good People Brewing Company,908,889,1
Snake Handler Double IPA,Good People Brewing Company,909,890,1
Coffee Oatmeal Stout,Good People Brewing Company,910,891,1
Good People IPA,Good People Brewing Company,911,892,1
Good People American Brown Ale,Good People Brewing Company,912,893,1
Mountain Rescue Pale Ale,Goodlife Brewing Co.,913,894,1
Goose Island India Pale Ale,Goose Island Brewery Company,914,895,1
312 Urban Pale Ale,Goose Island Brewing Company,915,896,2
312 Urban Pale Ale,Goose Island Brewing Company,916,896,2
312 Urban Wheat Ale,Goose Island Brewing Company,917,897,2
312 Urban Wheat Ale,Goose Island Brewing Company,918,897,2
312 Urban Wheat Ale (2012),Goose Island Brewing Company,919,898,1
Beaver Logger,Gore Range Brewery,920,899,1
White Water Wheat,Grand Canyon Brewing Company,921,900,1
Grand Canyon American Pilsner,Grand Canyon Brewing Company,922,901,1
Grand Canyon Sunset Amber Ale,Grand Canyon Brewing Company,923,902,1
Black Iron India Pale Ale,Grand Canyon Brewing Company,924,903,1
Monarch Classic American Wheat,Grapevine Craft Brewery,925,904,1
Sir William's English Brown Ale,Grapevine Craft Brewery,926,905,1
Lakefire Rye Pale Ale,Grapevine Craft Brewery,927,906,1
Beer Agent Re-Ignition,Great Crescent Brewery,928,907,1
Cherry Ale,Great Crescent Brewery,929,908,1
Bourbon Barrel Aged Coconut Porter,Great Crescent Brewery,930,909,1
Great Crescent IPA,Great Crescent Brewery,931,910,1
Aurora Lager,Great Crescent Brewery,932,911,1
Great Crescent Blonde Ale,Great Crescent Brewery,933,912,1
Great Crescent Coconut Porter,Great Crescent Brewery,934,913,1
Great Crescent Oktoberfest Lager,Great Crescent Brewery,935,914,1
Great Crescent Brown Ale,Great Crescent Brewery,936,915,1
Cherry Ale (1),Great Crescent Brewery,937,916,1
Aurora Lager (2011),Great Crescent Brewery,938,917,1
Frosted Fields Winter Wheat,Great Crescent Brewery,939,918,1
Great Crescent Belgian Style Wit,Great Crescent Brewery,940,919,1
Bourbon's Barrel Stout,Great Crescent Brewery,941,920,1
Great Crescent Stout,Great Crescent Brewery,942,921,1
Great Crescent Coconut Porter (2012),Great Crescent Brewery,943,922,1
Great Crescent Dark Lager,Great Crescent Brewery,944,923,1
Great Crescent Mild Ale,Great Crescent Brewery,945,924,1
Great Crescent IPA (2011),Great Crescent Brewery,946,925,1
Great Crescent Blonde Ale (2011),Great Crescent Brewery,947,926,1
Denver Pale Ale (Artist Series No. 1),Great Divide Brewing Company,948,927,1
Hibernation Ale,Great Divide Brewing Company,949,928,1
Whitewater,Great Divide Brewing Company,950,929,1
Rumble,Great Divide Brewing Company,951,930,1
Orabelle,Great Divide Brewing Company,952,931,1
Lasso,Great Divide Brewing Company,953,932,1
Yeti  Imperial Stout,Great Divide Brewing Company,954,933,1
Colette,Great Divide Brewing Company,955,934,1
Titan IPA,Great Divide Brewing Company,956,935,1
Black Star Double Hopped Golden Lager (24 oz.),Great Northern Brewing Company,957,936,1
Black Star Double Hopped Golden Lager (12 oz.),Great Northern Brewing Company,958,937,1
Commotion APA,Great Raft Brewing Company,959,938,1
Southern Drawl Pale Lager,Great Raft Brewing Company,960,939,1
Chickawawa Lemonale,Great River Brewery,961,940,1
Barrel Aged Farmer,Great River Brewery,962,941,1
Great River Golden Ale,Great River Brewery,963,942,1
Dirty Blonde Chocolate Ale,Great River Brewery,964,943,1
Dos Pistolas,Great River Brewery,965,944,1
Owney Irish Style Red Ale,Great River Brewery,966,945,1
Aaah Bock Lager,Great River Brewery,967,946,1
Widespread Wit,Great River Brewery,968,947,1
Roller Dam Red Ale,Great River Brewery,969,948,1
483 Pale Ale,Great River Brewery,970,949,1
Hop A Potamus Double Dark Rye Pale Ale,Great River Brewery,971,950,1
Farmer Brown Ale,Great River Brewery,972,951,1
Big Cock IPA,Great River Brewery,973,952,1
Oktoberfest,Great River Brewery,974,953,1
40th Annual Bix Street Fest Copper Ale (Current),Great River Brewery,975,954,1
Redband Stout,Great River Brewery,976,955,1
483 Pale Ale (2010),Great River Brewery,977,956,1
Roller Dam Red Ale (2010),Great River Brewery,978,957,1
Pablo Beach Pale Ale,Green Room Brewing,979,958,1
Wild Trail Pale Ale,Greenbrier Valley Brewing Company,980,959,1
Mothman Black IPA,Greenbrier Valley Brewing Company,981,960,1
Autumn Winds Fest Beer,Grey Sail Brewing Company,982,961,1
Captain's Daughter,Grey Sail Brewing Company,983,962,1
Autumn Winds,Grey Sail Brewing of Rhode Island,984,963,1
Flying Jenny Extra Pale Ale,Grey Sail Brewing of Rhode Island,985,964,1
Hazy Day Belgian-Style Wit,Grey Sail Brewing of Rhode Island,986,965,1
Bring Back the Beach Blonde Ale,Grey Sail Brewing of Rhode Island,987,966,1
Leaning Chimney Smoked Porter,Grey Sail Brewing of Rhode Island,988,967,1
Flying Jenny Extra Pale Ale (2012),Grey Sail Brewing of Rhode Island,989,968,1
Flagship Ale,Grey Sail Brewing of Rhode Island,990,969,1
Mr. Blue Sky,Griffin Claw Brewing Company,991,970,1
3 Scrooges,Griffin Claw Brewing Company,992,971,1
Screamin’ Pumpkin,Griffin Claw Brewing Company,993,972,1
Grand Trunk Bohemian Pils,Griffin Claw Brewing Company,994,973,1
El Rojo,Griffin Claw Brewing Company,995,974,1
Norm's Raggedy Ass IPA,Griffin Claw Brewing Company,996,975,1
Grind Line,Griffin Claw Brewing Company,997,976,1
Norm's Gateway IPA,Griffin Claw Brewing Company,998,977,1
