Year,Filming Locations,original_index,unique_index
2004,"Elm Street, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",971,830
1993,"Chicago, Illinois, USA",972,831
1999,,973,139
1971,"New York City, New York, USA",974,832
2001,"Los Angeles, California, USA",975,737
1994,"Compton Apartments - Washington Avenue, Miami, Florida, USA",976,833
1999,"Hollywood, Los Angeles, California, USA",977,834
1992,"San Fernando, California, USA",978,835
2004,"Arlington National Cemetery, Arlington, Virginia, USA",979,836
1995,"777 Ranch - 1829 County Road 432, Hondo, Texas, USA",980,837
2007,,981,3
2000,"Brooklyn, New York City, New York, USA",982,36
2006,"California, USA",983,705
2002,"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",984,838
2014,,985,245
2013,,986,45
2017,,987,99
1973,"Boulder, Colorado, USA",988,839
1982,"Columbia University - Broadway & 116th Street, Manhattan, New York City, New York, USA",989,840
2007,,990,3
1980,"Asbury Park, New Jersey, USA",991,841
1983,"Alpine, New Jersey, USA",992,842
1984,"Brill Building - 1619 Broadway, Manhattan, New York City, New York, USA",993,843
2004,"Downey Studios - 12214 Lakewood Boulevard, Downey, California, USA",994,844
1991,"Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",995,845
2008,"Montréal, Québec, Canada",996,846
1997,"Fox Animation Studios - 2747 E. Camelback Road, Phoenix, Arizona, USA",997,847
2005 2006 2007,"Buckinghamshire, England, UK",998,848
2001,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",999,849
2007,"Kinlochewe, Highland, Scotland, UK",1000,850
2004,"Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",1001,635
1953,,1002,851
2005,"Aurora, Ontario, Canada",1003,852
2012,"Waimea Bay, Waimea Bay Beach Park, O'ahu, Hawaii, USA",1004,853
2011,"New York City, New York, USA",1005,854
2003,"357 S. Lorraine Blvd., Los Angeles, California, USA",1006,855
2008,"Cité du Cinéma, Montréal, Québec, Canada",1007,856
2009,,1008,126
2010,"Albuquerque, New Mexico, USA",1009,857
2009,"Planet Hollywood Resort and Casino - 3667 Las Vegas Boulevard South, Las Vegas, Nevada, USA",1010,858
2007,"1 Charles St. South, Boston, Massachusetts, USA",1011,859
2005,"Showline Studios, Toronto, Ontario, Canada",1012,860
2008,"Barrandov Studios, Prague, Czech Republic",1013,861
1995,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",1014,862
1984,"Tunnel at Lower Grand & West Gen Thad Kosciuszko Way, Los Angeles, California, USA",1015,863
1980,"Banks, Oregon, USA",1016,864
1995,,1017,172
2007,"Burbank, California, USA",1018,865
1987,"Jalisco, Mexico",1019,866
1972,"Pirates World Amusement Park - Sheridan Street, Dania, Florida, USA",1020,867
1985,"Kent Theater, 1170 Coney Island Avenue, Ocean Parkway, Brooklyn, New York City, New York, USA",1021,868
1989,"5th Avenue, Manhattan, New York City, New York, USA",1022,869
1975,,1023,870
2014,,1024,245
2005,"City of Industry, California, USA",1025,871
2008,"Rose Bowl - 1001 Rose Bowl Drive, Pasadena, California, USA",1026,872
2003,"New York City, New York, USA",1027,65
1994,"Aspen, Colorado, USA",1028,873
2004,"Chicago, Illinois, USA",1029,296
2000,"Richmond, Vermont, USA",1030,874
1993,"Miami, Florida, USA",1031,875
1986,,1032,876
1991,,1033,9
1995,,1034,172
1982,"Twyecross, Leicestershire, England, UK",1035,877
1991,"Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",1036,878
1994,,1037,137
1994,Ireland,1038,879
1989,,1039,606
1990,,1040,880
1988,,1041,578
1982,,1042,741
2006,Australia,1043,881
1992,"Santa Monica High School - 601 Pico Boulevard, Santa Monica, California, USA",1044,882
1998,South Africa,1045,883
1994,"Hikone, Shiga, Japan",1046,884
1995,,1047,172
2010,"Alcatraz Prison, Alcatraz Island, San Francisco Bay, California, USA",1048,885
2015,,1049,49
2014,"Waiheke Island, Auckland Region, New Zealand",1050,886
2014,,1051,245
1968,,1052,887
2015,,1053,49
2015,"Howell, Michigan, USA",1054,888
2015,,1055,49
2014,,1056,245
2014,"Connecticut, USA",1057,889
2015,,1058,49
2004,"Chandler Valley Center Studios - 13927 Saticoy Street, Van Nuys, Los Angeles, California, USA",1059,890
2015,"San Francisco, California, USA",1060,445
1955,,1061,891
2012,,1062,47
2000,Botswana,1063,892
2007,,1064,3
2009,"Franklin, Pennsylvania, USA",1065,893
2010 2011 2012,"San Jose, California, USA",1066,894
1922,"General Service Studios - 1040 N. Las Palmas, Hollywood, Los Angeles, California, USA",1067,895
2014,,1068,245
2014,,1069,245
2014,,1070,245
2014,,1071,245
2014,,1072,245
2014,,1073,245
2011,"Delhi, India",1074,896
2013,"Texas, USA",1075,897
2000,,1076,140
2016,,1077,429
1923,"Truckee River, California, USA",1078,898
1982,,1079,741
2015,,1080,49
1990,"Brezice, Slovenia",1081,899
1977,,1082,900
1980,,1083,901
1972,,1084,902
1984,"Los Alamos, California, USA",1085,903
2017,,1086,99
2018,,1087,904
2015,,1088,49
2001,,1089,136
2010,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",1090,905
2010,,1091,20
1914,,1092,906
2010,"Los Angeles, California, USA",1093,735
2015,,1094,49
2011,"Admiral Farragut Academy, St. Petersburg, Florida, USA",1095,907
2002,"Calgary, Alberta, Canada",1096,908
2015,,1097,49
1998,"Bedford, New York, USA",1098,909
2016,,1099,429
2015,"Los Angeles, California, USA",1100,56
2012,"Hamilton, Ontario, Canada",1101,910
1996,"Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA",1102,911
1991,"Santa Clarita, California, USA",1103,505
1991,"Clay County, West Virginia, USA",1104,912
2004,"123 Valentine Lane, Yonkers, New York, USA",1105,913
1987,"Norfolk Broads, Norfolk, England, UK",1106,914
2009,"Babelsberg, Potsdam, Brandenburg, Germany",1107,915
1994,"1435 Flower Street, Glendale, California, USA",1108,916
1998,"2206 Meade Place, Venice Beach, Los Angeles, California, USA",1109,917
1992,"4459 Eagle Rock Blvd, Los Angeles, California, USA",1110,918
1999,"11388 Homedale Street, Brentwood, Los Angeles, California, USA",1111,919
1980,"Epcot Center, Walt Disney World, Lake Buena Vista, Florida, USA",1112,920
1976,"Manhattan, New York City, New York, USA",1113,921
1963,"Bavaria Studios, Bavariafilmplatz 7, Geiselgasteig, Grünwald, Bavaria, Germany",1114,922
2007,,1115,3
1981,"Borehamwood, Hertfordshire, England, UK",1116,923
2006,"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",1117,924
2011,,1118,144
1996,"San Francisco, California, USA",1119,925
2012,,1120,47
1993,"San Francisco, California, USA",1121,926
2006,"Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA",1122,927
2005,,1123,318
2008,,1124,43
2010,"24/7 Productions, 1413 Cole, Hollywood, Los Angeles, California, USA",1125,928
2001,"Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",1126,929
1989,"Cinecittà Studios, Cinecittà, Rome, Lazio, Italy",1127,930
1997,"Grand Manan Island, New Brunswick, Canada",1128,931
1978,"Fort St.Elmo, Valletta, Malta",1129,932
2002,"Bay Area, San Francisco, California, USA",1130,933
1961,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",1131,934
1989,"Beacon Rock, Oregon, USA",1132,935
1998,,1133,763
1992,,1134,936
1997,,1135,937
2002,"Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",1136,938
1999,"AON Tower, Kent Street, Sydney, New South Wales, Australia",1137,939
1977,"Tikal National Park, Guatemala",1138,940
1988,"Los Angeles International Airport - 1 World Way, Los Angeles, California, USA",1139,941
1989,"161 N. Magnolia Avenue, Monrovia, California, USA",1140,942
1990,"161 N. Magnolia Avenue, Monrovia, California, USA",1141,943
1933,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1142,944
1941,"Court of Miracles, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1143,945
1931,"Vasquez Rocks, Vasquez Rocks Natural Area Park - 10700 W. Escondido Canyon Rd., Agua Dulce, California, USA",1144,946
1935,"Court of Miracles, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1145,947
1943,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1146,948
1954,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",1147,344
1939,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1148,949
1932,"Mojave Desert, California, USA",1149,950
1967,"Aldbury, Hertfordshire, England, UK",1150,951
1962,"Bénouville, Calvados, France",1151,952
1957,"Kalugamuwa, Gelioya, Kandy, Sri Lanka",1152,953
1968,"Festung Hohenwerfen, Salzburg, Austria",1153,954
1970,"The coast South of Trieste, Yugoslavia",1154,955
1976,"Naval Air Station Point Mugu, Point Mugu, California, USA",1155,956
1977,"Bemmel, Lingewaard, Gelderland, Netherlands",1156,957
1988,"Cannon Elstree Studios, Borehamwood, Hertfordshire, England, UK",1157,958
1985,"Campo Imperatore, L'Aquila, Abruzzo, Italy",1158,959
1965,"Sierra de Guadarrama mountain range, Madrid, Spain",1159,960
1978,"Brigde on the River Tara near Djurdjevica Tara, Zabljak, Montenegro",1160,961
1970,"Ashiya, Japan",1161,962
1996,,1162,963
2001,,1163,136
2002,,1164,626
1983,"485 West Matheson Drive, Key Biscayne, Florida, USA",1165,964
1943,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",1166,965
1951,USA,1167,966
1953,"Diamond Head, O'ahu, Hawaii, USA",1168,967
1946,"New York Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",1169,968
1954,"George Lewis Mansion - Benedict Canyon Drive, Bel Air, Los Angeles, California, USA",1170,969
1960,"205 Columbus Avenue, New York City, New York, USA",1171,970
1946,"Walnut Hills High School - 3250 Victory Parkway, Cincinnati, Ohio, USA",1172,971
1961,"Bavaria Studios, Bavariafilmplatz 7, Geiselgasteig, Grünwald, Bavaria, Germany",1173,972
1950,"Bel-Air Country Club - 10768 Bellagio Road, Los Angeles, California, USA",1174,973
1957,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",1175,974
1944,"1825 N. Kingsley Drive, Hollywood, Los Angeles, California, USA",1176,975
1945,"Bellevue Hospital - 550 First Avenue, Manhattan, New York City, New York, USA",1177,976
2003,Hungary,1178,977
1937,,1179,978
2012,"Universal Studios Hollywood - 1000 Universal Studios Blvd, Universal City, California, USA",1180,979
2012,"Pittsburgh, Pennsylvania, USA",1181,980
2005,Mexico,1182,981
2000,"Showline Studios, Toronto, Ontario, Canada",1183,982
2014,"Shepperton Studios, Shepperton, Surrey, England, UK",1184,983
2002,"Valhalla, New York, USA",1185,984
2013,"Shepperton Studios, Shepperton, Surrey, England, UK",1186,985
2011,"Galisteo, New Mexico, USA",1187,986
2011,"Stanley Dock, Liverpool, Merseyside, England, UK",1188,987
1940,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",1189,255
2003,"Burlington, Ontario, Canada",1190,988
2008,"Cherry Street Bridge, Toronto, Ontario, Canada",1191,989
2013,"British Columbia, Canada",1192,990
2012,"Thibodaux, Louisiana, USA",1193,991
2013,"Lulworth Cove, Weymouth, Dorset, England, UK",1194,992
2014,"Vancouver, British Columbia, Canada",1195,993
2012,"Los Angeles, California, USA",1196,679
2007,"Brooklyn Bridge, New York City, New York, USA",1197,994
2013,"New York City, New York, USA",1198,995
2014,"New Orleans, Louisiana, USA",1199,361
2014,"Leavesden Studios, Leavesden, Hertfordshire, England, UK",1200,996
2012,"Rock and Pillar Range, Otago, New Zealand",1201,997
2007,"Nipomo, California, USA",1202,998
2012,"Black Mountain, North Carolina, USA",1203,999
2013,"Stone Street Studios, Stone Street, Miramar, Wellington, New Zealand",1204,1000
2003,"Bequia, St Vincent and the Grenadines",1205,1001
2006,Bahamas,1206,1002
1997,"Santa Clarita, California, USA",1207,732
2013,"Atlanta, Georgia, USA",1208,1003
2013,"Fox Studios, Moore Park, Sydney, New South Wales, Australia",1209,1004
2006 2007 2008,"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",1210,1005
1986,,1211,876
2011,"Old Post Office, Chicago, Illinois, USA",1212,1006
2004,"Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA",1213,1007
2009,"Auburn, Sydney, New South Wales, Australia",1214,1008
2006,"British Columbia, Canada",1215,527
1966,"Kanab, Utah, USA",1216,1009
2009,"Tucson International Airport, Tucson, Arizona, USA",1217,1010
2014,"Austin, Texas, USA",1218,1011
2005,"Athens, New York, USA",1219,1012
2002,"American Museum of Natural History - Central Park West at 79th Street, Manhattan, New York City, New York, USA",1220,1013
2008,"Los Angeles, California, USA",1221,178
2009,"Las Vegas, Nevada, USA",1222,1014
1998,"Los Angeles Theatre - 615 S. Broadway, Downtown, Los Angeles, California, USA",1223,1015
2004,"Colton Street & N Edgeware Road, Los Angeles, California, USA",1224,1016
2010,"Hotel Danieli, Venice, Veneto, Italy",1225,1017
2000,"Southwest Marine - 985 South Seaside Avenue, Wilmington, Los Angeles, California, USA",1226,1018
2004,"Downey Studios - 12214 Lakewood Boulevard, Downey, California, USA",1227,844
2005,"Vincent Thomas Bridge, San Pedro, Los Angeles, California, USA",1228,1019
2001,Iceland,1229,1020
2007,"Gallery Bar and Cognac Room, Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA",1230,1021
2010,"Makaryev Monastery, Lyskovo, Nizhny Novgorod, Russia",1231,1022
1978,"Barons , Alberta, Canada",1232,1023
2014,,1233,245
2002,"Camperdown Studios, Camperdown Road, Miramar, Wellington, New Zealand",1234,1024
2003,"Camperdown Studios, Camperdown Road, Miramar, Wellington, New Zealand",1235,1025
2001,"Arrowtown Recreational Reserve, Arrowtown, Otago, New Zealand",1236,1026
1999,"CTV Services, Tunisia",1237,1027
2005,"Chott el Djerid, Nefta, Tunisia",1238,1028
2002,"Chott el Djerid, Nefta, Tunisia",1239,1029
1984,"University of the Pacific, Stockton, California, USA",1240,1030
1999,"Reid Hall, Manhattanville College, Purchase, New York, USA",1241,1031
1964,"Realp, Uri, Switzerland",1242,1032
1985,"Abiquiu, New Mexico, USA",1243,1033
1983,"Agra Fort, Agra, Uttar Pradesh, India",1244,1034
1988,"Pacific Southwest Railway Museum, Campo, California, USA",1245,1035
1993,"Patagonia, Arizona, USA",1246,1036
1990,"Bavispe, Sonora, Mexico",1247,1037
2004,"1272 E Calaveras St. Altadena, California, USA",1248,1038
2004,"1288 S Oakland Avenue, Pasadena, California, USA",1249,1039
2003,"3rd Street Promenade, Santa Monica, California, USA",1250,1040
2009,,1251,126
2010,"9543 Culver Blvd, Culver City, California, USA",1252,1041
2005,UK,1253,819
2010,"Cleveland, Queensland, Australia",1254,1042
2010,"Wales, UK",1255,1043
2009,"Wiltshire, England, UK",1256,1044
2007,"Highland, Scotland, UK",1257,1045
2002,"Oxford, Oxfordshire, England, UK",1258,1046
1995,"Venice Boulevard at Georgia Street, Los Angeles, California, USA",1259,1047
1992,"Brooklyn, New York City, New York, USA",1260,1048
1979,"Baltimore, Maryland, USA",1261,1049
1997,"Chambers Paper Fibers, Plymouth Street, Brooklyn, New York City, New York, USA",1262,1050
2001,Ghana,1263,1051
1992,"Asheville, North Carolina, USA",1264,1052
1998,"New Jersey, USA",1265,1053
2010,"1 State Street Plaza, New York City, New York, USA",1266,1054
1987,"400 East 14th Street, Manhattan, New York City, New York, USA",1267,1055
1994,"Interurban Building - 102 Occidental Ave S, Seattle, Washington, USA",1268,1056
2000,"California, USA",1269,1057
1954,"Stage 20, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",1270,1058
1988,"Building One, Studios at Las Colinas - 6301 North O'Connor Road, Irving, Texas, USA",1271,1059
1995,"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",1272,1060
1993,"MacArthur Park, Los Angeles, California, USA",1273,1061
1989,"Milo Butterfingers - Dallas, Texas, USA",1274,1062
2002,"Los Angeles, California, USA",1275,1063
2002,"New York City, New York, USA",1276,1064
2002 2003 2004,"California, USA",1277,1065
2005,"Portland, Oregon, USA",1278,1066
2002,"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",1279,838
2007,"Koerner Plaza, University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada",1280,1067
1991,"Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",1281,1068
1988,"Old Tucson Studios, Tucson, Arizona, USA",1282,1069
1993,"Bangkok, Thailand",1283,1070
1994,"Las Vegas, New Mexico, USA",1284,1071
1990,"Badlands National Park, Interior, South Dakota, USA",1285,1072
2000,"Alhambra, California, USA",1286,1073
1993,"11219 S St Lawrence Ave, Chicago, Illinois, USA",1287,1074
1987,"40 miles south, Great Falls, Montana, USA",1288,1075
2008,,1289,43
1985,"Tokyo, Japan",1290,1076
2006,"Clifton, New Jersey, USA",1291,1077
2011,"Astoria, Queens, New York City, New York, USA",1292,1078
2012,"Three Clubs, 1123 VINE ST, Hollywood, California, USA",1293,1079
2005,UK,1294,819
2006,"Atlanta, Georgia, USA",1295,1080
2011,"Los Angeles, California, USA",1296,44
2006,"Baton Rouge, Louisiana, USA",1297,1081
2013,"Rickwood Field - 1137 2nd Avenue W, Birmingham, Alabama, USA",1298,1082
2000,"Covington, Georgia, USA",1299,1083
2005 2006 2007,"Franklin Field - 235 S. 33rd Street, University of Pennsylvania, Philadelphia, Pennsylvania, USA",1300,1084
2009,"Agnes Scott College - 141 E. College Avenue, Decatur, Georgia, USA",1301,1085
2006,"Agoura High School - 28545 W. Driver Avenue, Agoura Hills, California, USA",1302,1086
1992 1993 1994,"St. Rita of Cascia High School 6310 S. Claremont Street, Chicago, Illinois, USA",1303,1087
2005,"Safari Inn - 1911 W. Olive Avenue, Burbank, California, USA",1304,1088
2004,"Abbotsford, British Columbia, Canada",1305,1089
2007 2008 2009,"Berwyn, Illinois, USA",1306,1090
1989,USA,1307,1091
1977,"Circuit de Magny-Cours, Nevers, Nièvre, France",1308,1092
1995,"Philadelphia, Pennsylvania, USA",1309,1093
1990,"Atlanta, Georgia, USA",1310,1094
2000,,1311,140
1990 1991 1992,"Glendale, California, USA",1312,1095
1993,"Astoria, Queens, New York City, New York, USA",1313,1096
1984,"Intersection of Washington Street and Water Street, Dumbo, Brooklyn, New York City, New York, USA",1314,1097
1995,"357 Desert Inn Road, Las Vegas, Nevada, USA",1315,1098
1997,"1 Bush Street, San Francisco, California, USA",1316,1099
1994,"MTA Subway, Hollywood and Highland Terminal, Los Angeles, California, USA",1317,1100
2003,"16th Street, Oakland, California, USA",1318,1101
2003,"Alameda, California, USA",1319,1102
2005,"St. Vincent Catholic Church - 621 W. Adams Blvd., Los Angeles, California, USA",1320,1103
1997,"Pacific Electric Building, Los Angeles, California, USA",1321,1104
1995,"Napa, Napa Valley, California, USA",1322,1105
1996,"Warner Road, St. Paul, Minnesota, USA",1323,1106
2005,"El Camino College, Torrance, California, USA",1324,1107
1996,"53rd Street & Blackstone Avenue, Hyde Park, Chicago, Illinois, USA",1325,1108
2001,"Chicago, Illinois, USA",1326,1109
1989,"Chicago, Illinois, USA",1327,1110
1958,"Stage 11, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",1328,1111
1995,"Casa Loma - 1 Austin Terrace, Casa Loma, Toronto, Ontario, Canada",1329,1112
2000,"Chicago, Illinois, USA",1330,1113
2004,"Thiene, Vicenza, Veneto, Italy",1331,1114
2001,"Kahnawake, Québec, Canada",1332,1115
1964,"Backlot, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",1333,1116
1939,"Culver City, California, USA",1334,1117
1971,"Dorset, England, UK",1335,1118
1941,"20th Century Fox Ranch, Malibu Creek State Park - 1925 Las Virgenes Road, Calabasas, California, USA",1336,1119
1956,"Yokohama, Kanagawa, Honshu, Japan",1337,1120
1951 1952 1953,"Cedar City, Utah, USA",1338,1121
1988,USA,1339,1122
2007,"Downtown, Los Angeles, California, USA",1340,1123
1993,"100 Embarcadero Street, San Francisco, California, USA",1341,1124
1949,,1342,1125
1970,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",1343,1126
1941,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",1344,1127
1973,,1345,1128
1940,,1346,1129
1951,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",1347,1130
1955,,1348,891
1963,,1349,1131
1946,"Phoenix, Arizona, USA",1350,1132
1942,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",1351,1133
1950,"Château de Chambord, Chambord, Loir-et-Cher, France",1352,1134
1959,"Loire Valley, Loire, France",1353,1135
2005,"Baldwin Park, California, USA",1354,1136
2004,"Birchmount Collegiate, Toronto, Ontario, Canada",1355,1137
2003,"Fontana di Trevi, Rome, Lazio, Italy",1356,1138
1993,"Astoria, Oregon, USA",1357,1139
2013,Canada,1358,1140
2014,"Santa Clarita, California, USA",1359,1141
1981,"Connecticut, USA",1360,1142
2015,,1361,49
2015,"Budapest, Hungary",1362,1143
2008,"Bronx, New York City, New York, USA",1363,1144
2015,"Nashville, Tennessee, USA",1364,1145
2012,"Fresno, California, USA",1365,1146
2012,"Eagle Ridge Pool, 1200 Lansdowne Drive, Coquitlam, Canada",1366,1147
2010,"Hambleden, Buckinghamshire, England, UK",1367,1148
2011,"990 N. Allen St., Pasadena, California, USA",1368,1149
2013,"Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA",1369,1150
2008,"Santa Paula, California, USA",1370,1151
2006,"Attwood, Melbourne, Victoria, Australia",1371,1152
1988,"Braxton, Mississippi, USA",1372,1153
2013,"Sea World, San Diego, California, USA",1373,1154
1989,"Budapest, Hungary",1374,1155
2005,,1375,318
2007,"Ontario, Canada",1376,1156
2005,"Milovice, Nymburk District, Czech Republic",1377,1157
2002,"Auburn Hills, Michigan, USA",1378,1158
2004,"Baghdad, Iraq",1379,1159
2008,"Kentucky, USA",1380,1160
1954,"Stage 18, Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",1381,1161
1958,"Union St & Montgomery St, San Francisco, California, USA",1382,1162
1941,"California, USA",1383,1163
1972,"Piru Mansion - 829 & 837 Park Road, Piru, California, USA",1384,1164
1963,"17110 Bodega Lane, Bodega, California, USA",1385,1165
1975,"Depoe Bay, Oregon, USA",1386,1166
1997,"3026 Normandy Pl., Evanston, Illinois, USA",1387,1167
1992,"Burbank, California, USA",1388,1168
1984,"Bavaria Studios, Bavariafilmplatz 7, Geiselgasteig, Grünwald, Bavaria, Germany",1389,1169
2011,,1390,144
1908,"Central Park, Manhattan, New York City, New York, USA",1391,1170
1982,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",1392,1171
2004,"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",1393,1172
1998,"2100 Green Street, San Francisco, California, USA",1394,1173
1996,"Kenwood House, Hampstead Heath, Hampstead, London, England, UK",1395,1174
1996,"S. Myrtle Ave. & W. Lime Ave., Monrovia, California, USA",1396,1175
1994,"Los Angeles, California, USA",1397,1176
1997,"950 Mei Ling Way, Los Angeles, California, USA",1398,1177
1991,"Los Angeles, California, USA",1399,1178
1988 1989 1990,"California, USA",1400,1179
1995,"Northern Secondary School, Toronto, Ontario, Canada",1401,1180
1995,"BCE Place, Toronto, Ontario, Canada",1402,1181
1998,"Blair Field, Recreation Park - 4700 E. 10th Street, Long Beach, California, USA",1403,1182
1987,"Antonigasse Tram terminus, Vienna, Austria",1404,1183
1997,"Jaws, Peahi Beach, Maui, Hawaii, USA",1405,1184
1973,"Downtown, Los Angeles, California, USA",1406,1185
2005,"Assateague Island National Seashore, Maryland, USA",1407,1186
2012,"Valparaiso, Chile",1408,1187
2004,"1201 Santa Fe Avenue, Long Beach, California, USA",1409,1188
2007,"Santa Clarita, California, USA",1410,227
2004,"Dresden Room Restaurant - 1760 N. Vermont Avenue, Los Feliz, Los Angeles, California, USA",1411,1189
2013,"Atlanta, Georgia, USA",1412,1003
2005 2006 2007,"Charlotte Motor Speedway, Speedway Parkway, Concord, North Carolina, USA",1413,1190
2008,"Veterans Hospital - 1611 Plummer Street, North Hills, Los Angeles, California, USA",1414,1191
1996,"Pitt Meadows, British Columbia, Canada",1415,1192
1997,"Hollywood Sign, Hollywood, Los Angeles, California, USA",1416,1193
2009,"Amman, Jordan",1417,1194
2007,"Pasadena, California, USA",1418,1195
2000,"Pasadena City College - 1570 E Colorado Blvd, Pasadena, California, USA",1419,1196
2003,"Buckley Country Day School - I.U. Willets Road, Herricks, Long Island, New York, USA",1420,1197
2010,"Chicago Hilton & Towers - 720 S. Michigan Avenue, Downtown, Chicago, Illinois, USA",1421,1198
2012,"7 West 30th Street, New York City, New York, USA",1422,1199
1999,USA,1423,1200
2002,"Bray Studios, Down Place, Oakley Green, Berkshire, England, UK",1424,1201
1986,,1425,876
2010,,1426,20
2002,"Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",1427,1202
2007,"Barrandov Studios, Prague, Czech Republic",1428,1203
2004 2005 2006,,1429,1204
2004,"Britannia Beach, British Columbia, Canada",1430,1205
2009,"Albany, Auckland, New Zealand",1431,1206
2000,"Stage 16, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1432,1207
2007,"BCE Place, Toronto, Ontario, Canada",1433,1208
2009,,1434,126
2004,"London, England, UK",1435,625
1984,"5225 Lankershim Boulevard, North Hollywood, Los Angeles, California, USA",1436,1209
1985,"California, USA",1437,1210
2006,"Tatabánya, Hungary",1438,1211
2007,New Zealand,1439,1212
2005,"Los Angeles, California, USA",1440,701
2008,"Laigueglia, Liguria, Italy",1441,1213
1998,,1442,763
2007,"Cinespace Film Studios, Toronto, Ontario, Canada",1443,1214
1994,"1000 Block Figueroa Terrace, Los Angeles, California, USA",1444,1215
2004,"Flagstaff, Arizona, USA",1445,1216
2005,"Millbrook, Ontario, Canada",1446,1217
2005,"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",1447,1218
2003,"Milbank & McFie House - 3340 Country Club Drive, Midtown, Los Angeles, California, USA",1448,1219
2013,"Burnaby, British Columbia, Canada",1449,1220
2016,,1450,429
2010,"Las Vegas Boulevard South, Las Vegas, Nevada, USA",1451,1221
2007,"Providence, Rhode Island, USA",1452,1222
2008,"Los Angeles, California, USA",1453,178
2011,"Central Park, Manhattan, New York City, New York, USA",1454,1223
2007,"Charlottesville, Virginia, USA",1455,1224
2009,,1456,126
2013,,1457,45
2006,,1458,775
2010,"Beijing, China",1459,1225
2009,"Albuquerque Studios - 5650 University Boulevard SE, Albuquerque, New Mexico, USA",1460,1226
1986,"Acton Lane Power Station, Acton Lane, Acton, London, England, UK",1461,1227
2003,"Santa Clarita, California, USA",1462,29
1979,"Shepperton Studios, Shepperton, Surrey, England, UK",1463,1228
1992,"Buckinghamshire, England, UK",1464,1229
1990,"Valley of Fire State Park - Route 169, Overton, Nevada, USA",1465,1230
1985,"Harold Lloyd's Greenacres Estate - 1740 Green Acres Drive, Beverly Hills, California, USA",1466,1231
1994,"Santa Clarita, California, USA",1467,1232
2004,"Mont-Blanc, Chamonix, Haute-Savoie, France",1468,1233
1990,"Belmont Tunnel - 1304 West 2nd Street, Los Angeles, California, USA",1469,1234
2010,"Hamilton Pool, Dripping Springs, Texas, USA",1470,1235
1987,"Dallas Municipal Building - 106 South Harwood, Dallas, Texas, USA",1471,1236
1987,"Sony Pictures Plaza, Culver City, California, USA",1472,1237
2012,,1473,47
2011,,1474,144
